Entity,Code,Year,Poverty rate (<60% of median) (LIS Key Figures) (%)
Hungary,HUN,1991,14.429
Hungary,HUN,1994,15.682
Hungary,HUN,1999,13.567
Hungary,HUN,2005,12.476
Hungary,HUN,2007,12.163
Hungary,HUN,2009,15.154
Hungary,HUN,2012,16.825
Iceland,ISL,2004,11.198
Iceland,ISL,2007,11.843
Iceland,ISL,2010,11.474
India,IND,2004,26.469
India,IND,2011,26.626
Ireland,IRL,1987,19.994
Ireland,IRL,1994,20.401
Ireland,IRL,1995,20.825
Ireland,IRL,1996,21.857
Ireland,IRL,2000,22.491
Ireland,IRL,2004,22.573
Ireland,IRL,2007,18.936
Ireland,IRL,2010,16.563
Israel,ISR,1979,18.933
Israel,ISR,1986,19.415
Israel,ISR,1992,18.063
Israel,ISR,1997,21.928
Israel,ISR,2001,23.556
Israel,ISR,2005,26.786
Israel,ISR,2007,26.553
Israel,ISR,2010,27.947
Israel,ISR,2012,26.376
Italy,ITA,1986,17.415
Italy,ITA,1987,19.252
Italy,ITA,1989,17.465
Italy,ITA,1991,19.064
Italy,ITA,1993,21.891
Italy,ITA,1995,21.177
Italy,ITA,1998,20.936
Italy,ITA,2000,19.673
Italy,ITA,2004,19.806
Italy,ITA,2008,19.432
Italy,ITA,2010,18.954
Italy,ITA,2014,19.913
Japan,JPN,2008,17.561
Lithuania,LTU,2010,19.299
Lithuania,LTU,2013,20.095
Luxembourg,LUX,1985,10.861
Luxembourg,LUX,1991,12.192
Luxembourg,LUX,1994,10.419
Luxembourg,LUX,1997,13.157
Luxembourg,LUX,2000,12.336
Luxembourg,LUX,2004,13.772
Luxembourg,LUX,2007,14.445
Luxembourg,LUX,2010,13.542
Luxembourg,LUX,2013,16.439
Mexico,MEX,1984,25.105
Mexico,MEX,1989,25.524
Mexico,MEX,1992,25.373
Mexico,MEX,1994,26.741
Mexico,MEX,1996,26.254
Mexico,MEX,1998,28.152
Mexico,MEX,2000,28.162
Mexico,MEX,2002,26.528
Mexico,MEX,2004,25.491
Mexico,MEX,2008,27.296
Mexico,MEX,2010,26.405
Mexico,MEX,2012,25.966
Netherlands,NLD,1983,10.252
Netherlands,NLD,1987,8.307
Netherlands,NLD,1990,12.198
Netherlands,NLD,1993,13.712
Netherlands,NLD,1999,11.062
Netherlands,NLD,2004,11.774
Netherlands,NLD,2007,11.554
Netherlands,NLD,2010,11.106
Netherlands,NLD,2013,12.355
Norway,NOR,1979,12.089
Norway,NOR,1986,12.805
Norway,NOR,1991,12.143
Norway,NOR,1995,13.286
Norway,NOR,2000,12.281
Norway,NOR,2004,12.769
Norway,NOR,2007,13.013
Norway,NOR,2010,12.872
Norway,NOR,2013,13.59
Panama,PAN,2007,29.846
Panama,PAN,2010,28.384
Panama,PAN,2013,29.227
Paraguay,PRY,2010,28.739
Paraguay,PRY,2013,27.304
Peru,PER,2004,33.334
Peru,PER,2007,32.079
Peru,PER,2010,30.355
Peru,PER,2013,29.865
Poland,POL,1986,16.957
Poland,POL,1992,12.336
Poland,POL,1995,17.629
Poland,POL,1999,15.223
Poland,POL,2004,17.23
Poland,POL,2007,15.536
Poland,POL,2010,16.234
Poland,POL,2013,17.324
Romania,ROU,1995,15.189
Romania,ROU,1997,14.406
Russia,RUS,2000,23.476
Russia,RUS,2004,23.899
Russia,RUS,2007,23.77
Russia,RUS,2010,19.169
Russia,RUS,2013,19.51
Serbia,SRB,2006,22.414
Serbia,SRB,2010,20.451
Serbia,SRB,2013,20.797
Slovakia,SVK,1992,6.25
Slovakia,SVK,1996,12.863
Slovakia,SVK,2004,14.303
Slovakia,SVK,2007,12.782
Slovakia,SVK,2010,13.438
Slovakia,SVK,2013,13.838
Slovenia,SVN,1997,12.529
Slovenia,SVN,1999,13.197
Slovenia,SVN,2004,11.674
Slovenia,SVN,2007,13.183
Slovenia,SVN,2010,15.649
Slovenia,SVN,2012,15.918
South Africa,ZAF,2008,30.401
South Africa,ZAF,2010,30.847
South Africa,ZAF,2012,29.827
South Korea,KOR,2006,20.389
South Korea,KOR,2008,20.544
South Korea,KOR,2010,20.518
South Korea,KOR,2012,20.095
Spain,ESP,1980,19.445
Spain,ESP,1985,17.214
Spain,ESP,1990,17.148
Spain,ESP,1995,20.519
Spain,ESP,2000,20.821
Spain,ESP,2004,20.588
Spain,ESP,2007,20.394
Spain,ESP,2010,22.33
Spain,ESP,2013,22.693
Sweden,SWE,1967,15.975
Sweden,SWE,1975,12.547
Sweden,SWE,1981,9.126
Sweden,SWE,1987,11.524
Sweden,SWE,1992,12.085
Sweden,SWE,1995,10.017
Sweden,SWE,2000,12.29
Sweden,SWE,2005,11.969
Switzerland,CHE,1982,13.504
Switzerland,CHE,1992,14.642
Switzerland,CHE,2000,13.826
Switzerland,CHE,2002,14.454
Switzerland,CHE,2004,14.812
Switzerland,CHE,2007,16.731
Switzerland,CHE,2010,16.162
Switzerland,CHE,2013,14.776
Taiwan,TWN,1981,11.787
Taiwan,TWN,1986,11.275
Taiwan,TWN,1991,12.512
Taiwan,TWN,1995,13.91
Taiwan,TWN,1997,14.758
Taiwan,TWN,2000,15.013
Taiwan,TWN,2005,15.79
Taiwan,TWN,2007,16.541
Taiwan,TWN,2010,18.547
Taiwan,TWN,2013,16.823
United Kingdom,GBR,1969,12.357
United Kingdom,GBR,1974,15.401
United Kingdom,GBR,1979,16.83
United Kingdom,GBR,1986,17.664
United Kingdom,GBR,1991,22.768
United Kingdom,GBR,1994,19.967
United Kingdom,GBR,1995,22.094
United Kingdom,GBR,1999,21.806
United Kingdom,GBR,2004,19.036
United Kingdom,GBR,2007,19.485
United Kingdom,GBR,2010,17.176
United Kingdom,GBR,2013,16.256
United States,USA,1974,20.757
United States,USA,1979,21.256
United States,USA,1986,23.904
United States,USA,1991,23.916
United States,USA,1994,23.875
United States,USA,1997,23.733
United States,USA,2000,23.473
United States,USA,2004,23.937
United States,USA,2007,24.337
United States,USA,2010,23.949
United States,USA,2013,24.133
Uruguay,URY,2004,23.76
Uruguay,URY,2007,22.719
Uruguay,URY,2010,22.402
Uruguay,URY,2013,21.457
