Entity,Code,Year,Ozone concentration (parts per billion)
Canada,CAN,2010,57
Canada,CAN,2013,57
Canada,CAN,2015,57
Cape Verde,CPV,1990,43
Cape Verde,CPV,1995,44
Cape Verde,CPV,2000,44
Cape Verde,CPV,2005,44
Cape Verde,CPV,2010,44
Cape Verde,CPV,2013,43
Cape Verde,CPV,2015,43
Central African Republic,CAF,1990,80
Central African Republic,CAF,1995,79
Central African Republic,CAF,2000,79
Central African Republic,CAF,2005,79
Central African Republic,CAF,2010,78
Central African Republic,CAF,2013,78
Central African Republic,CAF,2015,77
Chad,TCD,1990,60
Chad,TCD,1995,60
Chad,TCD,2000,60
Chad,TCD,2005,60
Chad,TCD,2010,60
Chad,TCD,2013,60
Chad,TCD,2015,60
Chile,CHL,1990,45
Chile,CHL,1995,45
Chile,CHL,2000,44
Chile,CHL,2005,44
Chile,CHL,2010,43
Chile,CHL,2013,43
Chile,CHL,2015,43
China,CHN,1990,57
China,CHN,1995,58
China,CHN,2000,59
China,CHN,2005,61
China,CHN,2010,63
China,CHN,2013,64
China,CHN,2015,65
Colombia,COL,1990,39
Colombia,COL,1995,40
Colombia,COL,2000,41
Colombia,COL,2005,43
Colombia,COL,2010,46
Colombia,COL,2013,47
Colombia,COL,2015,48
Comoros,COM,1990,39
Comoros,COM,1995,39
Comoros,COM,2000,40
Comoros,COM,2005,41
Comoros,COM,2010,41
Comoros,COM,2013,41
Comoros,COM,2015,42
Congo,COG,1990,61
Congo,COG,1995,61
Congo,COG,2000,61
Congo,COG,2005,61
Congo,COG,2010,62
Congo,COG,2013,62
Congo,COG,2015,62
Costa Rica,CRI,1990,38
Costa Rica,CRI,1995,39
Costa Rica,CRI,2000,40
Costa Rica,CRI,2005,40
Costa Rica,CRI,2010,40
Costa Rica,CRI,2013,41
Costa Rica,CRI,2015,41
Cote d'Ivoire,CIV,1990,61
Cote d'Ivoire,CIV,1995,61
Cote d'Ivoire,CIV,2000,62
Cote d'Ivoire,CIV,2005,61
Cote d'Ivoire,CIV,2010,61
Cote d'Ivoire,CIV,2013,61
Cote d'Ivoire,CIV,2015,61
Croatia,HRV,1990,69
Croatia,HRV,1995,68
Croatia,HRV,2000,67
Croatia,HRV,2005,66
Croatia,HRV,2010,66
Croatia,HRV,2013,65
Croatia,HRV,2015,65
Cuba,CUB,1990,48
Cuba,CUB,1995,49
Cuba,CUB,2000,49
Cuba,CUB,2005,49
Cuba,CUB,2010,48
Cuba,CUB,2013,48
Cuba,CUB,2015,48
Cyprus,CYP,1990,68
Cyprus,CYP,1995,69
Cyprus,CYP,2000,69
Cyprus,CYP,2005,69
Cyprus,CYP,2010,68
Cyprus,CYP,2013,68
Cyprus,CYP,2015,68
Czech Republic,CZE,1990,58
Czech Republic,CZE,1995,58
Czech Republic,CZE,2000,58
Czech Republic,CZE,2005,58
Czech Republic,CZE,2010,58
Czech Republic,CZE,2013,58
Czech Republic,CZE,2015,58
Democratic Republic of Congo,COD,1990,63
Democratic Republic of Congo,COD,1995,63
Democratic Republic of Congo,COD,2000,63
Democratic Republic of Congo,COD,2005,63
Democratic Republic of Congo,COD,2010,63
Democratic Republic of Congo,COD,2013,63
Democratic Republic of Congo,COD,2015,63
Denmark,DNK,1990,49
Denmark,DNK,1995,50
Denmark,DNK,2000,50
Denmark,DNK,2005,50
Denmark,DNK,2010,50
Denmark,DNK,2013,50
Denmark,DNK,2015,50
Djibouti,DJI,1990,46
Djibouti,DJI,1995,46
Djibouti,DJI,2000,47
Djibouti,DJI,2005,47
Djibouti,DJI,2010,47
Djibouti,DJI,2013,47
Djibouti,DJI,2015,48
Dominica,DMA,1990,40
Dominica,DMA,1995,40
Dominica,DMA,2000,40
Dominica,DMA,2005,40
Dominica,DMA,2010,41
Dominica,DMA,2013,41
Dominica,DMA,2015,41
Dominican Republic,DOM,1990,44
Dominican Republic,DOM,1995,45
Dominican Republic,DOM,2000,45
Dominican Republic,DOM,2005,45
Dominican Republic,DOM,2010,45
Dominican Republic,DOM,2013,45
Dominican Republic,DOM,2015,45
Ecuador,ECU,1990,33
Ecuador,ECU,1995,33
Ecuador,ECU,2000,34
Ecuador,ECU,2005,36
Ecuador,ECU,2010,39
Ecuador,ECU,2013,40
Ecuador,ECU,2015,41
Egypt,EGY,1990,68
Egypt,EGY,1995,69
Egypt,EGY,2000,70
Egypt,EGY,2005,70
Egypt,EGY,2010,70
Egypt,EGY,2013,70
Egypt,EGY,2015,70
El Salvador,SLV,1990,53
El Salvador,SLV,1995,55
El Salvador,SLV,2000,56
El Salvador,SLV,2005,56
El Salvador,SLV,2010,57
El Salvador,SLV,2013,57
El Salvador,SLV,2015,57
Equatorial Guinea,GNQ,1990,53
Equatorial Guinea,GNQ,1995,53
Equatorial Guinea,GNQ,2000,54
Equatorial Guinea,GNQ,2005,53
Equatorial Guinea,GNQ,2010,53
Equatorial Guinea,GNQ,2013,53
Equatorial Guinea,GNQ,2015,53
Eritrea,ERI,1990,46
Eritrea,ERI,1995,47
Eritrea,ERI,2000,47
Eritrea,ERI,2005,47
Eritrea,ERI,2010,47
Eritrea,ERI,2013,47
Eritrea,ERI,2015,47
Estonia,EST,1990,51
Estonia,EST,1995,50
Estonia,EST,2000,49
Estonia,EST,2005,48
Estonia,EST,2010,48
Estonia,EST,2013,48
Estonia,EST,2015,48
Ethiopia,ETH,1990,51
Ethiopia,ETH,1995,51
Ethiopia,ETH,2000,52
Ethiopia,ETH,2005,52
Ethiopia,ETH,2010,52
Ethiopia,ETH,2013,51
Ethiopia,ETH,2015,51
Fiji,FJI,1990,35
Fiji,FJI,1995,35
Fiji,FJI,2000,35
Fiji,FJI,2005,35
Fiji,FJI,2010,36
Fiji,FJI,2013,36
Fiji,FJI,2015,36
Finland,FIN,1990,48
Finland,FIN,1995,48
Finland,FIN,2000,47
Finland,FIN,2005,47
Finland,FIN,2010,47
Finland,FIN,2013,47
Finland,FIN,2015,46
France,FRA,1990,58
France,FRA,1995,58
France,FRA,2000,58
France,FRA,2005,57
France,FRA,2010,57
France,FRA,2013,57
France,FRA,2015,57
Gabon,GAB,1990,51
Gabon,GAB,1995,51
Gabon,GAB,2000,51
Gabon,GAB,2005,51
Gabon,GAB,2010,51
Gabon,GAB,2013,51
Gabon,GAB,2015,51
Gambia,GMB,1990,46
Gambia,GMB,1995,46
Gambia,GMB,2000,46
Gambia,GMB,2005,46
Gambia,GMB,2010,46
Gambia,GMB,2013,46
Gambia,GMB,2015,46
Georgia,GEO,1990,60
Georgia,GEO,1995,60
Georgia,GEO,2000,59
Georgia,GEO,2005,59
Georgia,GEO,2010,59
Georgia,GEO,2013,59
Georgia,GEO,2015,59
Germany,DEU,1990,55
Germany,DEU,1995,55
Germany,DEU,2000,56
Germany,DEU,2005,56
Germany,DEU,2010,55
Germany,DEU,2013,55
Germany,DEU,2015,55
Ghana,GHA,1990,65
Ghana,GHA,1995,66
Ghana,GHA,2000,66
Ghana,GHA,2005,67
Ghana,GHA,2010,66
Ghana,GHA,2013,66
Ghana,GHA,2015,66
Greece,GRC,1990,72
Greece,GRC,1995,72
Greece,GRC,2000,71
Greece,GRC,2005,71
Greece,GRC,2010,70
Greece,GRC,2013,70
Greece,GRC,2015,69
Greenland,GRL,1990,32
Greenland,GRL,1995,33
Greenland,GRL,2000,33
Greenland,GRL,2005,33
Greenland,GRL,2010,34
Greenland,GRL,2013,34
Greenland,GRL,2015,34
Grenada,GRD,1990,38
Grenada,GRD,1995,38
Grenada,GRD,2000,38
Grenada,GRD,2005,38
Grenada,GRD,2010,38
Grenada,GRD,2013,39
Grenada,GRD,2015,39
Guatemala,GTM,1990,55
Guatemala,GTM,1995,57
Guatemala,GTM,2000,58
Guatemala,GTM,2005,58
Guatemala,GTM,2010,58
Guatemala,GTM,2013,57
Guatemala,GTM,2015,57
Guinea,GIN,1990,58
Guinea,GIN,1995,59
Guinea,GIN,2000,60
Guinea,GIN,2005,60
Guinea,GIN,2010,60
Guinea,GIN,2013,60
Guinea,GIN,2015,60
Guinea-Bissau,GNB,1990,52
Guinea-Bissau,GNB,1995,52
Guinea-Bissau,GNB,2000,52
Guinea-Bissau,GNB,2005,52
Guinea-Bissau,GNB,2010,52
Guinea-Bissau,GNB,2013,52
Guinea-Bissau,GNB,2015,52
Guyana,GUY,1990,31
Guyana,GUY,1995,32
Guyana,GUY,2000,32
Guyana,GUY,2005,32
Guyana,GUY,2010,32
Guyana,GUY,2013,32
Guyana,GUY,2015,32
Haiti,HTI,1990,45
Haiti,HTI,1995,46
Haiti,HTI,2000,46
Haiti,HTI,2005,47
Haiti,HTI,2010,47
Haiti,HTI,2013,47
Haiti,HTI,2015,47
Honduras,HND,1990,44
Honduras,HND,1995,45
Honduras,HND,2000,45
Honduras,HND,2005,45
Honduras,HND,2010,45
Honduras,HND,2013,45
Honduras,HND,2015,45
Hungary,HUN,1990,64
Hungary,HUN,1995,63
Hungary,HUN,2000,63
Hungary,HUN,2005,62
Hungary,HUN,2010,62
Hungary,HUN,2013,61
Hungary,HUN,2015,61
Iceland,ISL,1990,44
Iceland,ISL,1995,44
Iceland,ISL,2000,45
Iceland,ISL,2005,45
Iceland,ISL,2010,45
Iceland,ISL,2013,45
Iceland,ISL,2015,45
India,IND,1990,62
India,IND,1995,63
India,IND,2000,65
India,IND,2005,68
India,IND,2010,72
India,IND,2013,74
India,IND,2015,76
Indonesia,IDN,1990,50
Indonesia,IDN,1995,45
Indonesia,IDN,2000,42
Indonesia,IDN,2005,41
Indonesia,IDN,2010,42
Indonesia,IDN,2013,43
Indonesia,IDN,2015,44
Iran,IRN,1990,70
Iran,IRN,1995,71
Iran,IRN,2000,72
Iran,IRN,2005,73
Iran,IRN,2010,73
Iran,IRN,2013,74
Iran,IRN,2015,74
Iraq,IRQ,1990,71
Iraq,IRQ,1995,73
Iraq,IRQ,2000,74
Iraq,IRQ,2005,74
Iraq,IRQ,2010,74
Iraq,IRQ,2013,75
Iraq,IRQ,2015,75
Ireland,IRL,1990,47
Ireland,IRL,1995,47
Ireland,IRL,2000,47
Ireland,IRL,2005,48
Ireland,IRL,2010,48
Ireland,IRL,2013,48
Ireland,IRL,2015,48
Israel,ISR,1990,72
Israel,ISR,1995,72
Israel,ISR,2000,72
Israel,ISR,2005,72
Israel,ISR,2010,72
Israel,ISR,2013,71
Israel,ISR,2015,71
Italy,ITA,1990,81
Italy,ITA,1995,80
Italy,ITA,2000,79
Italy,ITA,2005,77
Italy,ITA,2010,76
Italy,ITA,2013,75
Italy,ITA,2015,74
Jamaica,JAM,1990,43
Jamaica,JAM,1995,43
Jamaica,JAM,2000,44
Jamaica,JAM,2005,44
Jamaica,JAM,2010,44
Jamaica,JAM,2013,44
Jamaica,JAM,2015,44
Japan,JPN,1990,57
Japan,JPN,1995,57
Japan,JPN,2000,57
Japan,JPN,2005,59
Japan,JPN,2010,60
Japan,JPN,2013,61
Japan,JPN,2015,61
Jordan,JOR,1990,71
Jordan,JOR,1995,72
Jordan,JOR,2000,73
Jordan,JOR,2005,73
Jordan,JOR,2010,73
Jordan,JOR,2013,73
Jordan,JOR,2015,73
Kazakhstan,KAZ,1990,54
Kazakhstan,KAZ,1995,53
Kazakhstan,KAZ,2000,52
Kazakhstan,KAZ,2005,52
Kazakhstan,KAZ,2010,52
Kazakhstan,KAZ,2013,52
Kazakhstan,KAZ,2015,52
Kenya,KEN,1990,42
Kenya,KEN,1995,42
Kenya,KEN,2000,42
Kenya,KEN,2005,42
Kenya,KEN,2010,42
Kenya,KEN,2013,42
Kenya,KEN,2015,42
Kuwait,KWT,1990,76
Kuwait,KWT,1995,78
Kuwait,KWT,2000,80
Kuwait,KWT,2005,82
Kuwait,KWT,2010,83
Kuwait,KWT,2013,83
Kuwait,KWT,2015,83
Kyrgyzstan,KGZ,1990,65
Kyrgyzstan,KGZ,1995,64
Kyrgyzstan,KGZ,2000,64
Kyrgyzstan,KGZ,2005,64
Kyrgyzstan,KGZ,2010,64
Kyrgyzstan,KGZ,2013,65
Kyrgyzstan,KGZ,2015,65
Laos,LAO,1990,48
Laos,LAO,1995,49
Laos,LAO,2000,51
Laos,LAO,2005,54
Laos,LAO,2010,58
Laos,LAO,2013,61
Laos,LAO,2015,62
Latvia,LVA,1990,53
Latvia,LVA,1995,51
Latvia,LVA,2000,50
Latvia,LVA,2005,49
Latvia,LVA,2010,49
Latvia,LVA,2013,49
Latvia,LVA,2015,49
Lebanon,LBN,1990,70
Lebanon,LBN,1995,71
Lebanon,LBN,2000,72
Lebanon,LBN,2005,72
Lebanon,LBN,2010,72
Lebanon,LBN,2013,71
Lebanon,LBN,2015,71
Lesotho,LSO,1990,52
Lesotho,LSO,1995,53
Lesotho,LSO,2000,53
Lesotho,LSO,2005,54
Lesotho,LSO,2010,54
Lesotho,LSO,2013,55
Lesotho,LSO,2015,55
Liberia,LBR,1990,54
Liberia,LBR,1995,55
Liberia,LBR,2000,55
Liberia,LBR,2005,55
Liberia,LBR,2010,55
Liberia,LBR,2013,55
Liberia,LBR,2015,55
Libya,LBY,1990,59
Libya,LBY,1995,60
Libya,LBY,2000,60
Libya,LBY,2005,60
Libya,LBY,2010,61
Libya,LBY,2013,61
Libya,LBY,2015,61
Lithuania,LTU,1990,54
Lithuania,LTU,1995,53
Lithuania,LTU,2000,52
Lithuania,LTU,2005,51
Lithuania,LTU,2010,51
Lithuania,LTU,2013,51
Lithuania,LTU,2015,51
Luxembourg,LUX,1990,55
Luxembourg,LUX,1995,55
Luxembourg,LUX,2000,55
Luxembourg,LUX,2005,55
Luxembourg,LUX,2010,55
Luxembourg,LUX,2013,55
Luxembourg,LUX,2015,54
Macedonia,MKD,1990,69
Macedonia,MKD,1995,68
Macedonia,MKD,2000,68
Macedonia,MKD,2005,67
Macedonia,MKD,2010,67
Macedonia,MKD,2013,67
Macedonia,MKD,2015,66
Madagascar,MDG,1990,39
Madagascar,MDG,1995,39
Madagascar,MDG,2000,39
Madagascar,MDG,2005,39
Madagascar,MDG,2010,40
Madagascar,MDG,2013,40
Madagascar,MDG,2015,40
Malawi,MWI,1990,48
Malawi,MWI,1995,48
Malawi,MWI,2000,49
Malawi,MWI,2005,50
Malawi,MWI,2010,51
Malawi,MWI,2013,52
Malawi,MWI,2015,53
Malaysia,MYS,1990,49
Malaysia,MYS,1995,46
Malaysia,MYS,2000,45
Malaysia,MYS,2005,45
Malaysia,MYS,2010,47
Malaysia,MYS,2013,48
Malaysia,MYS,2015,48
Maldives,MDV,1990,50
Maldives,MDV,1995,51
Maldives,MDV,2000,53
Maldives,MDV,2005,56
Maldives,MDV,2010,60
Maldives,MDV,2013,62
Maldives,MDV,2015,64
Mali,MLI,1990,49
Mali,MLI,1995,49
Mali,MLI,2000,50
Mali,MLI,2005,50
Mali,MLI,2010,50
Mali,MLI,2013,50
Mali,MLI,2015,50
Malta,MLT,1990,73
Malta,MLT,1995,72
Malta,MLT,2000,71
Malta,MLT,2005,71
Malta,MLT,2010,70
Malta,MLT,2013,69
Malta,MLT,2015,69
Marshall Islands,MHL,1990,26
Marshall Islands,MHL,1995,25
Marshall Islands,MHL,2000,25
Marshall Islands,MHL,2005,25
Marshall Islands,MHL,2010,25
Marshall Islands,MHL,2013,25
Marshall Islands,MHL,2015,25
Mauritania,MRT,1990,44
Mauritania,MRT,1995,44
Mauritania,MRT,2000,44
Mauritania,MRT,2005,44
Mauritania,MRT,2010,44
Mauritania,MRT,2013,44
Mauritania,MRT,2015,44
Mauritius,MUS,1990,38
Mauritius,MUS,1995,38
Mauritius,MUS,2000,38
Mauritius,MUS,2005,39
Mauritius,MUS,2010,39
Mauritius,MUS,2013,40
Mauritius,MUS,2015,40
Mexico,MEX,1990,62
Mexico,MEX,1995,62
Mexico,MEX,2000,62
Mexico,MEX,2005,62
Mexico,MEX,2010,61
Mexico,MEX,2013,60
Mexico,MEX,2015,59
Micronesia (country),FSM,1990,5
Micronesia (country),FSM,1995,5
Micronesia (country),FSM,2000,5
Micronesia (country),FSM,2005,18
Micronesia (country),FSM,2010,24
Micronesia (country),FSM,2013,33
Micronesia (country),FSM,2015,33
Moldova,MDA,1990,62
Moldova,MDA,1995,60
Moldova,MDA,2000,59
Moldova,MDA,2005,58
Moldova,MDA,2010,58
Moldova,MDA,2013,58
Moldova,MDA,2015,58
Mongolia,MNG,1990,50
Mongolia,MNG,1995,50
Mongolia,MNG,2000,49
Mongolia,MNG,2005,49
Mongolia,MNG,2010,49
Mongolia,MNG,2013,49
Mongolia,MNG,2015,49
Montenegro,MNE,1990,68
Montenegro,MNE,1995,67
Montenegro,MNE,2000,66
Montenegro,MNE,2005,65
Montenegro,MNE,2010,65
Montenegro,MNE,2013,64
Montenegro,MNE,2015,64
Morocco,MAR,1990,58
Morocco,MAR,1995,58
Morocco,MAR,2000,59
Morocco,MAR,2005,59
Morocco,MAR,2010,59
Morocco,MAR,2013,59
Morocco,MAR,2015,58
Mozambique,MOZ,1990,44
Mozambique,MOZ,1995,44
Mozambique,MOZ,2000,45
Mozambique,MOZ,2005,46
Mozambique,MOZ,2010,47
Mozambique,MOZ,2013,47
Mozambique,MOZ,2015,48
Myanmar,MMR,1990,65
Myanmar,MMR,1995,65
Myanmar,MMR,2000,67
Myanmar,MMR,2005,70
Myanmar,MMR,2010,75
Myanmar,MMR,2013,78
Myanmar,MMR,2015,81
Namibia,NAM,1990,57
Namibia,NAM,1995,58
Namibia,NAM,2000,58
Namibia,NAM,2005,59
Namibia,NAM,2010,60
Namibia,NAM,2013,60
Namibia,NAM,2015,61
Nepal,NPL,1990,62
Nepal,NPL,1995,63
Nepal,NPL,2000,66
Nepal,NPL,2005,69
Nepal,NPL,2010,73
Nepal,NPL,2013,76
Nepal,NPL,2015,78
Netherlands,NLD,1990,47
Netherlands,NLD,1995,49
Netherlands,NLD,2000,50
Netherlands,NLD,2005,51
Netherlands,NLD,2010,52
Netherlands,NLD,2013,53
Netherlands,NLD,2015,53
New Zealand,NZL,1990,34
New Zealand,NZL,1995,34
New Zealand,NZL,2000,34
New Zealand,NZL,2005,35
New Zealand,NZL,2010,35
New Zealand,NZL,2013,35
New Zealand,NZL,2015,35
Nicaragua,NIC,1990,40
Nicaragua,NIC,1995,40
Nicaragua,NIC,2000,41
Nicaragua,NIC,2005,41
Nicaragua,NIC,2010,41
Nicaragua,NIC,2013,41
Nicaragua,NIC,2015,41
Niger,NER,1990,52
Niger,NER,1995,52
Niger,NER,2000,52
Niger,NER,2005,52
Niger,NER,2010,52
Niger,NER,2013,52
Niger,NER,2015,52
Nigeria,NGA,1990,66
Nigeria,NGA,1995,67
Nigeria,NGA,2000,67
Nigeria,NGA,2005,68
Nigeria,NGA,2010,67
Nigeria,NGA,2013,67
Nigeria,NGA,2015,67
North Korea,PRK,1990,62
North Korea,PRK,1995,63
North Korea,PRK,2000,64
North Korea,PRK,2005,66
North Korea,PRK,2010,68
North Korea,PRK,2013,69
North Korea,PRK,2015,70
Norway,NOR,1990,46
Norway,NOR,1995,46
Norway,NOR,2000,46
Norway,NOR,2005,46
Norway,NOR,2010,46
Norway,NOR,2013,45
Norway,NOR,2015,45
Oman,OMN,1990,71
Oman,OMN,1995,73
Oman,OMN,2000,75
Oman,OMN,2005,76
Oman,OMN,2010,77
Oman,OMN,2013,78
Oman,OMN,2015,78
Pakistan,PAK,1990,59
Pakistan,PAK,1995,61
Pakistan,PAK,2000,63
Pakistan,PAK,2005,65
Pakistan,PAK,2010,67
Pakistan,PAK,2013,68
Pakistan,PAK,2015,69
Palestine,PSE,1990,72
Palestine,PSE,1995,73
Palestine,PSE,2000,73
Palestine,PSE,2005,73
Palestine,PSE,2010,73
Palestine,PSE,2013,72
Palestine,PSE,2015,72
Panama,PAN,1990,38
Panama,PAN,1995,39
Panama,PAN,2000,40
Panama,PAN,2005,41
Panama,PAN,2010,42
Panama,PAN,2013,42
Panama,PAN,2015,43
Papua New Guinea,PNG,1990,31
Papua New Guinea,PNG,1995,30
Papua New Guinea,PNG,2000,29
Papua New Guinea,PNG,2005,28
Papua New Guinea,PNG,2010,28
Papua New Guinea,PNG,2013,29
Papua New Guinea,PNG,2015,29
Paraguay,PRY,1990,44
Paraguay,PRY,1995,44
Paraguay,PRY,2000,46
Paraguay,PRY,2005,49
Paraguay,PRY,2010,53
Paraguay,PRY,2013,55
Paraguay,PRY,2015,57
Peru,PER,1990,39
Peru,PER,1995,39
Peru,PER,2000,40
Peru,PER,2005,41
Peru,PER,2010,43
Peru,PER,2013,44
Peru,PER,2015,45
Philippines,PHL,1990,39
Philippines,PHL,1995,39
Philippines,PHL,2000,39
Philippines,PHL,2005,39
Philippines,PHL,2010,40
Philippines,PHL,2013,40
Philippines,PHL,2015,40
Poland,POL,1990,56
Poland,POL,1995,57
Poland,POL,2000,57
Poland,POL,2005,56
Poland,POL,2010,56
Poland,POL,2013,56
Poland,POL,2015,55
Portugal,PRT,1990,58
Portugal,PRT,1995,59
Portugal,PRT,2000,59
Portugal,PRT,2005,58
Portugal,PRT,2010,56
Portugal,PRT,2013,55
Portugal,PRT,2015,54
Qatar,QAT,1990,95
Qatar,QAT,1995,102
Qatar,QAT,2000,107
Qatar,QAT,2005,111
Qatar,QAT,2010,114
Qatar,QAT,2013,115
Qatar,QAT,2015,116
Romania,ROU,1990,63
Romania,ROU,1995,61
Romania,ROU,2000,61
Romania,ROU,2005,60
Romania,ROU,2010,60
Romania,ROU,2013,59
Romania,ROU,2015,59
