Entity,Code,Year,Number of observations in Poval per decade (survey observations per decade)
India,IND,2014,2
Indonesia,IDN,1994,3
Indonesia,IDN,2004,8
Indonesia,IDN,2014,10
Iran,IRN,1994,3
Iran,IRN,2004,1
Iran,IRN,2014,3
Jamaica,JAM,1994,3
Jamaica,JAM,2004,4
Jamaica,JAM,2014,0
Kazakhstan,KAZ,1994,2
Kazakhstan,KAZ,2004,5
Kazakhstan,KAZ,2014,9
Kenya,KEN,1994,2
Kenya,KEN,2004,1
Kenya,KEN,2014,1
Kiribati,KIR,1994,0
Kiribati,KIR,2004,0
Kiribati,KIR,2014,1
Kosovo,OWID_KOS,1994,0
Kosovo,OWID_KOS,2004,1
Kosovo,OWID_KOS,2014,7
Kyrgyzstan,KGZ,1994,2
Kyrgyzstan,KGZ,2004,6
Kyrgyzstan,KGZ,2014,10
Laos,LAO,1994,1
Laos,LAO,2004,2
Laos,LAO,2014,2
Latin America & Caribbean,,1994,3
Latin America & Caribbean,,2004,3
Latin America & Caribbean,,2014,6
Latvia,LVA,1994,2
Latvia,LVA,2004,7
Latvia,LVA,2014,8
Lesotho,LSO,1994,2
Lesotho,LSO,2004,1
Lesotho,LSO,2014,1
Liberia,LBR,1994,0
Liberia,LBR,2004,0
Liberia,LBR,2014,1
Lithuania,LTU,1994,2
Lithuania,LTU,2004,8
Lithuania,LTU,2014,8
Low & middle income,,1994,3
Low & middle income,,2004,3
Low & middle income,,2014,6
Low income,,1994,3
Low income,,2004,3
Low income,,2014,6
Lower middle income,,1994,3
Lower middle income,,2004,3
Lower middle income,,2014,6
Macedonia,MKD,1994,0
Macedonia,MKD,2004,5
Macedonia,MKD,2014,3
Madagascar,MDG,1994,1
Madagascar,MDG,2004,3
Madagascar,MDG,2014,3
Malawi,MWI,1994,0
Malawi,MWI,2004,2
Malawi,MWI,2014,1
Malaysia,MYS,1994,3
Malaysia,MYS,2004,3
Malaysia,MYS,2014,2
Maldives,MDV,1994,0
Maldives,MDV,2004,1
Maldives,MDV,2014,1
Mali,MLI,1994,1
Mali,MLI,2004,1
Mali,MLI,2014,2
Mauritania,MRT,1994,2
Mauritania,MRT,2004,3
Mauritania,MRT,2014,2
Mauritius,MUS,1994,0
Mauritius,MUS,2004,0
Mauritius,MUS,2014,2
Mexico,MEX,1994,3
Mexico,MEX,2004,5
Mexico,MEX,2014,5
Micronesia (country),FSM,1994,0
Micronesia (country),FSM,2004,1
Micronesia (country),FSM,2014,2
Middle East & North Africa,,1994,3
Middle East & North Africa,,2004,2
Middle East & North Africa,,2014,2
Middle income,,1994,3
Middle income,,2004,3
Middle income,,2014,6
Moldova,MDA,1994,2
Moldova,MDA,2004,8
Moldova,MDA,2014,10
Mongolia,MNG,1994,0
Mongolia,MNG,2004,3
Mongolia,MNG,2014,5
Montenegro,MNE,1994,0
Montenegro,MNE,2004,0
Montenegro,MNE,2014,10
Morocco,MAR,1994,1
Morocco,MAR,2004,2
Morocco,MAR,2014,1
Mozambique,MOZ,1994,0
Mozambique,MOZ,2004,2
Mozambique,MOZ,2014,1
Namibia,NAM,1994,1
Namibia,NAM,2004,1
Namibia,NAM,2014,1
Nepal,NPL,1994,0
Nepal,NPL,2004,2
Nepal,NPL,2014,1
Nicaragua,NIC,1994,1
Nicaragua,NIC,2004,2
Nicaragua,NIC,2014,3
Niger,NER,1994,2
Niger,NER,2004,0
Niger,NER,2014,4
Nigeria,NGA,1994,2
Nigeria,NGA,2004,2
Nigeria,NGA,2014,1
Pakistan,PAK,1994,2
Pakistan,PAK,2004,4
Pakistan,PAK,2014,5
Palestine,PSE,1994,0
Palestine,PSE,2004,1
Palestine,PSE,2014,4
Panama,PAN,1994,2
Panama,PAN,2004,9
Panama,PAN,2014,10
Papua New Guinea,PNG,1994,0
Papua New Guinea,PNG,2004,1
Papua New Guinea,PNG,2014,1
Paraguay,PRY,1994,1
Paraguay,PRY,2004,7
Paraguay,PRY,2014,10
Peru,PER,1994,2
Peru,PER,2004,8
Peru,PER,2014,10
Philippines,PHL,1994,4
Philippines,PHL,2004,3
Philippines,PHL,2014,3
Poland,POL,1994,4
Poland,POL,2004,8
Poland,POL,2014,10
Romania,ROU,1994,3
Romania,ROU,2004,7
Romania,ROU,2014,7
Russia,RUS,1994,2
Russia,RUS,2004,9
Russia,RUS,2014,8
Rwanda,RWA,1994,0
Rwanda,RWA,2004,1
Rwanda,RWA,2014,3
Saint Lucia,LCA,1994,0
Saint Lucia,LCA,2004,1
Saint Lucia,LCA,2014,0
Samoa,WSM,1994,0
Samoa,WSM,2004,0
Samoa,WSM,2014,1
Sao Tome and Principe,STP,1994,0
Sao Tome and Principe,STP,2004,1
Sao Tome and Principe,STP,2014,1
Senegal,SEN,1994,2
Senegal,SEN,2004,1
Senegal,SEN,2014,2
Serbia,SRB,1994,0
Serbia,SRB,2004,3
Serbia,SRB,2014,7
Seychelles,SYC,1994,0
Seychelles,SYC,2004,1
Seychelles,SYC,2014,2
Sierra Leone,SLE,1994,1
Sierra Leone,SLE,2004,1
Sierra Leone,SLE,2014,1
Slovakia,SVK,1994,2
Slovakia,SVK,2004,2
Slovakia,SVK,2014,8
Slovenia,SVN,1994,2
Slovenia,SVN,2004,4
Slovenia,SVN,2014,8
Solomon Islands,SLB,1994,0
Solomon Islands,SLB,2004,0
Solomon Islands,SLB,2014,1
South Africa,ZAF,1994,1
South Africa,ZAF,2004,2
South Africa,ZAF,2014,3
South Asia,,1994,3
South Asia,,2004,2
South Asia,,2014,6
South Sudan,SSD,1994,0
South Sudan,SSD,2004,0
South Sudan,SSD,2014,1
Sri Lanka,LKA,1994,2
Sri Lanka,LKA,2004,2
Sri Lanka,LKA,2014,3
Sub-Saharan Africa,,1994,2
Sub-Saharan Africa,,2004,3
Sub-Saharan Africa,,2014,6
Sudan,SDN,1994,0
Sudan,SDN,2004,0
Sudan,SDN,2014,1
Suriname,SUR,1994,0
Suriname,SUR,2004,1
Suriname,SUR,2014,0
Swaziland,SWZ,1994,1
Swaziland,SWZ,2004,1
Swaziland,SWZ,2014,1
Tajikistan,TJK,1994,0
Tajikistan,TJK,2004,3
Tajikistan,TJK,2014,5
Tanzania,TZA,1994,1
Tanzania,TZA,2004,1
Tanzania,TZA,2014,2
Thailand,THA,1994,4
Thailand,THA,2004,6
Thailand,THA,2014,8
Timor,TLS,1994,0
Timor,TLS,2004,1
Timor,TLS,2014,1
Togo,TGO,1994,0
Togo,TGO,2004,0
Togo,TGO,2014,2
Tonga,TON,1994,0
Tonga,TON,2004,1
Tonga,TON,2014,1
Trinidad and Tobago,TTO,1994,2
Trinidad and Tobago,TTO,2004,0
Trinidad and Tobago,TTO,2014,0
Tunisia,TUN,1994,2
Tunisia,TUN,2004,2
Tunisia,TUN,2014,2
Turkey,TUR,1994,2
Turkey,TUR,2004,3
Turkey,TUR,2014,9
Turkmenistan,TKM,1994,2
Turkmenistan,TKM,2004,1
Turkmenistan,TKM,2014,0
Tuvalu,TUV,1994,0
Tuvalu,TUV,2004,0
Tuvalu,TUV,2014,1
Uganda,UGA,1994,2
Uganda,UGA,2004,3
Uganda,UGA,2014,3
Ukraine,UKR,1994,3
Ukraine,UKR,2004,6
Ukraine,UKR,2014,10
Upper middle income,,1994,3
Upper middle income,,2004,3
Upper middle income,,2014,6
Uruguay,URY,1994,2
Uruguay,URY,2004,9
Uruguay,URY,2014,10
Uzbekistan,UZB,1994,1
Uzbekistan,UZB,2004,4
Uzbekistan,UZB,2014,0
Vanuatu,VUT,1994,0
Vanuatu,VUT,2004,0
Vanuatu,VUT,2014,1
Venezuela,VEN,1994,3
Venezuela,VEN,2004,7
Venezuela,VEN,2014,2
Vietnam,VNM,1994,1
Vietnam,VNM,2004,3
Vietnam,VNM,2014,5
World,OWID_WRL,1994,3
World,OWID_WRL,2004,3
World,OWID_WRL,2014,6
Zambia,ZMB,1994,2
Zambia,ZMB,2004,4
Zambia,ZMB,2014,2
Zimbabwe,ZWE,1994,0
Zimbabwe,ZWE,2004,0
Zimbabwe,ZWE,2014,1
