Entity,Code,Year,All staff compensation as % of total expenditure in primary public institutions (%) (%)
Denmark,DNK,2011,76.1462097167969
Djibouti,DJI,2014,63.1472702026367
Dominica,DMA,2008,78.1281280517578
Dominica,DMA,2009,92.8280410766602
Dominica,DMA,2011,77.3604965209961
Dominica,DMA,2012,100
Dominican Republic,DOM,2001,76.8510971069336
Dominican Republic,DOM,2004,82.628547668457
Dominican Republic,DOM,2005,71.5717468261719
Dominican Republic,DOM,2007,60.3964385986328
Dominican Republic,DOM,2008,64.0560913085938
Dominican Republic,DOM,2009,70.2493667602539
Dominican Republic,DOM,2010,68.3891372680664
Dominican Republic,DOM,2011,68.6332931518555
Dominican Republic,DOM,2013,42.7501182556152
Dominican Republic,DOM,2014,47.7702903747559
Ecuador,ECU,2010,75.6038131713867
Ecuador,ECU,2011,46.2240409851074
Ecuador,ECU,2012,87.1658020019531
Ecuador,ECU,2013,16.2515201568604
Ecuador,ECU,2014,83.161262512207
El Salvador,SLV,2002,65.5484085083008
El Salvador,SLV,2003,64.8520431518555
El Salvador,SLV,2006,62.9885292053223
El Salvador,SLV,2007,63.7988014221191
El Salvador,SLV,2008,63.7034111022949
Eritrea,ERI,2000,72.5730895996094
Eritrea,ERI,2001,81.6708068847656
Eritrea,ERI,2002,73.3638076782227
Eritrea,ERI,2004,96.2029190063477
Eritrea,ERI,2005,91.0545272827148
Estonia,EST,2001,60.4353408813477
Estonia,EST,2002,58.75
Ethiopia,ETH,2009,84.7502136230469
Ethiopia,ETH,2010,80.179931640625
Ethiopia,ETH,2011,82.7881164550781
Ethiopia,ETH,2012,80.9138870239258
Ethiopia,ETH,2013,76.2107772827148
Finland,FIN,1999,65.0685424804688
Finland,FIN,2000,64.3609466552734
Finland,FIN,2001,61.6305313110352
Finland,FIN,2002,60.3370895385742
Finland,FIN,2003,59.2967987060547
Finland,FIN,2004,59.2199783325195
Finland,FIN,2005,61.4188117980957
Finland,FIN,2006,61.2178497314453
Finland,FIN,2007,61.4533386230469
Finland,FIN,2008,60.2433204650879
Finland,FIN,2009,61.0067481994629
Finland,FIN,2010,60.1978988647461
Finland,FIN,2011,59.6243286132813
Finland,FIN,2012,60.250358581543
Finland,FIN,2013,60.1439514160156
France,FRA,1998,73.9626693725586
France,FRA,1999,73.7710037231445
France,FRA,2000,73.9530868530273
France,FRA,2001,74.5355606079102
France,FRA,2002,74.4663925170898
France,FRA,2003,71.8775100708008
France,FRA,2004,72.8003234863281
France,FRA,2005,71.2315368652344
France,FRA,2006,71.0391006469727
France,FRA,2007,70.7283172607422
France,FRA,2008,72.0088119506836
France,FRA,2009,71.0218811035156
France,FRA,2010,70.7938919067383
France,FRA,2011,70.8753128051758
France,FRA,2012,71.1550979614258
Gambia,GMB,2008,47.443920135498
Gambia,GMB,2009,51.1741790771484
Gambia,GMB,2010,41.9296417236328
Gambia,GMB,2011,50.7422904968262
Gambia,GMB,2012,46.7581481933594
Gambia,GMB,2013,82.1298675537109
Germany,DEU,1998,80.2226715087891
Germany,DEU,2006,75.653938293457
Germany,DEU,2007,74.8848266601563
Germany,DEU,2008,76.5390777587891
Germany,DEU,2009,76.18798828125
Germany,DEU,2010,74.5017166137695
Germany,DEU,2011,74.8727416992188
Germany,DEU,2012,77.2599792480469
Ghana,GHA,2001,98.1877593994141
Ghana,GHA,2004,62.4259910583496
Ghana,GHA,2005,58.7899703979492
Ghana,GHA,2006,56.8596496582031
Ghana,GHA,2007,79.3347702026367
Ghana,GHA,2008,83.1284027099609
Ghana,GHA,2009,84.2911224365234
Ghana,GHA,2010,87.5009536743164
Ghana,GHA,2012,78.4662094116211
Ghana,GHA,2013,83.8304595947266
Guatemala,GTM,2001,89.1317977905273
Guatemala,GTM,2005,87.6366882324219
Guatemala,GTM,2006,58.6797904968262
Guatemala,GTM,2007,71.9395980834961
Guatemala,GTM,2008,72.5962600708008
Guatemala,GTM,2012,80.8506317138672
Guatemala,GTM,2013,90.2171478271484
Guatemala,GTM,2014,87.6941299438477
Guinea,GIN,2008,38.8394508361816
Guinea,GIN,2009,82.6149291992188
Guinea,GIN,2010,77.9783325195313
Guinea,GIN,2011,87.891731262207
Guinea,GIN,2012,85.57763671875
Guinea,GIN,2013,69.034797668457
Guinea-Bissau,GNB,2010,48.6359214782715
Guinea-Bissau,GNB,2011,51.4337196350098
Guinea-Bissau,GNB,2012,49.8293685913086
Guinea-Bissau,GNB,2013,35.565559387207
Guyana,GUY,2002,52.4859809875488
Guyana,GUY,2004,65.3702163696289
Guyana,GUY,2005,63.8672294616699
Guyana,GUY,2006,58.4706611633301
Guyana,GUY,2007,67.9015426635742
Guyana,GUY,2009,71.4454498291016
Guyana,GUY,2010,79.8491668701172
Guyana,GUY,2011,65.6103363037109
Guyana,GUY,2012,60.6808815002441
Honduras,HND,2010,99.8618698120117
Honduras,HND,2013,81.3335037231445
Hungary,HUN,1998,71.662353515625
Hungary,HUN,1999,72.8293914794922
Hungary,HUN,2000,72.4708023071289
Hungary,HUN,2001,71.8908309936523
Hungary,HUN,2002,73.5155792236328
Hungary,HUN,2003,76.4235000610352
Hungary,HUN,2004,76.3180313110352
Hungary,HUN,2005,77.1413421630859
Hungary,HUN,2006,76.4979782104492
Hungary,HUN,2007,79.0141830444336
Hungary,HUN,2008,76.3074188232422
Hungary,HUN,2009,72.0122985839844
Hungary,HUN,2010,66.8553314208984
Hungary,HUN,2011,68.4956130981445
Iceland,ISL,2004,67.695198059082
Iceland,ISL,2005,69.6371002197266
Iceland,ISL,2006,68.6221389770508
Iceland,ISL,2007,68.0850830078125
Iceland,ISL,2008,68.4872436523438
Iceland,ISL,2009,70.6254501342773
Iceland,ISL,2010,72.1974334716797
Iceland,ISL,2011,69.3477096557617
India,IND,1999,86.0208206176758
India,IND,2000,88.4423980712891
India,IND,2001,83.5248107910156
India,IND,2003,83.5248107910156
India,IND,2004,83.1307601928711
India,IND,2005,83.1307601928711
Indonesia,IDN,2007,61.6017189025879
Indonesia,IDN,2008,62.6071014404297
Indonesia,IDN,2009,62.2661781311035
Indonesia,IDN,2010,62.4090194702148
Indonesia,IDN,2011,75.5565872192383
Indonesia,IDN,2012,73.2215423583984
Indonesia,IDN,2013,77.3847274780273
Indonesia,IDN,2014,76.0599212646484
Ireland,IRL,1998,83.1125793457031
Ireland,IRL,1999,81.6118316650391
Ireland,IRL,2000,76.8755493164063
Ireland,IRL,2001,77.183723449707
Ireland,IRL,2002,80.8369903564453
Ireland,IRL,2003,79.8652877807617
Ireland,IRL,2004,82.0025177001953
Ireland,IRL,2005,79.2865371704102
Ireland,IRL,2006,80.0481414794922
Ireland,IRL,2007,79.3641204833984
Ireland,IRL,2008,77.1538619995117
Ireland,IRL,2009,80.366569519043
Ireland,IRL,2010,79.3229064941406
Ireland,IRL,2011,81.8012084960938
Ireland,IRL,2012,85.155632019043
Israel,ISR,1998,64.3398208618164
Israel,ISR,1999,67.4994964599609
Israel,ISR,2000,67.7977523803711
Israel,ISR,2001,68.6071090698242
Israel,ISR,2002,65.3148727416992
Israel,ISR,2003,66.3774566650391
Israel,ISR,2004,69.3276596069336
Israel,ISR,2005,68.5293884277344
Israel,ISR,2006,67.8367080688477
Israel,ISR,2007,75.324577331543
Israel,ISR,2008,73.1391830444336
Israel,ISR,2009,73.5603103637695
Israel,ISR,2010,75.0455627441406
Israel,ISR,2011,75.8152236938477
Israel,ISR,2012,75.382080078125
Italy,ITA,1998,80.5669479370117
Italy,ITA,2000,76.9116897583008
Italy,ITA,2001,76.2206802368164
Italy,ITA,2002,77.5979309082031
Italy,ITA,2003,77.3966979980469
Italy,ITA,2004,74.6493530273438
Italy,ITA,2005,76.4571685791016
Italy,ITA,2006,79.8211898803711
Italy,ITA,2007,78.1660079956055
Italy,ITA,2008,78.9856033325195
Italy,ITA,2009,76.8552322387695
Italy,ITA,2010,79.3340835571289
Italy,ITA,2011,78.5364074707031
Italy,ITA,2012,80.0143127441406
Jamaica,JAM,2003,76.1575164794922
Jamaica,JAM,2004,82.4737167358398
Jamaica,JAM,2005,88.3737716674805
Jamaica,JAM,2007,91.6583099365234
Jamaica,JAM,2008,86.5602416992188
Jamaica,JAM,2009,89.3037796020508
Jamaica,JAM,2011,89.1354827880859
Jamaica,JAM,2012,90.6086807250977
Jamaica,JAM,2014,79.1694412231445
Japan,JPN,1998,78.8659133911133
Japan,JPN,1999,78.5175170898438
Japan,JPN,2000,79.0219879150391
Japan,JPN,2001,78.4406433105469
Japan,JPN,2002,78.5135498046875
Japan,JPN,2003,78.4072494506836
Japan,JPN,2004,78.8286590576172
Japan,JPN,2005,79.0052490234375
Japan,JPN,2006,78.9262084960938
Japan,JPN,2007,79.0145568847656
Japan,JPN,2008,79.3543167114258
Japan,JPN,2010,74.7866668701172
Japan,JPN,2011,74.2562484741211
Japan,JPN,2012,75.6692276000977
Japan,JPN,2013,74.7013473510742
Japan,JPN,2014,72.7800979614258
Jordan,JOR,1998,91.8698501586914
Jordan,JOR,1999,82.5519485473633
Jordan,JOR,2001,84.2380905151367
Jordan,JOR,2002,91.1934280395508
Jordan,JOR,2003,84.2363891601563
Jordan,JOR,2004,90.2462615966797
Jordan,JOR,2005,91.0126419067383
Jordan,JOR,2006,79.9225082397461
Jordan,JOR,2007,80.8289489746094
Jordan,JOR,2008,83.0750732421875
Jordan,JOR,2009,99.964111328125
Jordan,JOR,2010,88.2101669311523
Jordan,JOR,2011,93.2438812255859
Kazakhstan,KAZ,2011,69.1044921875
Kazakhstan,KAZ,2012,69.2969589233398
Kazakhstan,KAZ,2013,66.9627075195313
Kazakhstan,KAZ,2014,63.2568092346191
Kuwait,KWT,2002,94.0219192504883
Kuwait,KWT,2005,89.1859130859375
Kuwait,KWT,2006,88.3713226318359
Kuwait,KWT,2008,86.5174789428711
Kuwait,KWT,2011,73.8189315795898
Latvia,LVA,1999,90.8510589599609
Latvia,LVA,2000,89.2249526977539
Latvia,LVA,2001,74.4000015258789
Latvia,LVA,2002,51.6128997802734
Latvia,LVA,2003,70.3203964233398
Latvia,LVA,2004,70.3947372436523
Latvia,LVA,2006,66.0926513671875
Latvia,LVA,2007,65.3728637695313
Latvia,LVA,2008,65.0462417602539
Latvia,LVA,2009,69.9892272949219
Latvia,LVA,2010,67.0333023071289
Latvia,LVA,2011,66.0744476318359
Latvia,LVA,2013,63.2280006408691
Lebanon,LBN,2013,91.751708984375
Lesotho,LSO,1999,58.5772018432617
Lesotho,LSO,2001,65.9544830322266
Lesotho,LSO,2008,70.0022125244141
Liechtenstein,LIE,2007,84.7709426879883
Liechtenstein,LIE,2008,82.5496978759766
Liechtenstein,LIE,2010,60.1500015258789
Liechtenstein,LIE,2011,73.7647323608398
Lithuania,LTU,2003,76.5465698242188
Lithuania,LTU,2004,78.79052734375
Lithuania,LTU,2005,74.0889663696289
Lithuania,LTU,2006,69.862060546875
Lithuania,LTU,2007,68.9381332397461
Lithuania,LTU,2008,71.8883972167969
Lithuania,LTU,2009,83.2881469726563
Lithuania,LTU,2010,81.0773468017578
Lithuania,LTU,2011,80.6551971435547
Lithuania,LTU,2012,80.0657196044922
Luxembourg,LUX,2008,77.1271209716797
Luxembourg,LUX,2009,71.4378433227539
Luxembourg,LUX,2010,71.8919906616211
Luxembourg,LUX,2011,70.4803924560547
Macao,MAC,2000,87.8342208862305
Macao,MAC,2002,85.0974426269531
Madagascar,MDG,2005,38.6587181091309
Madagascar,MDG,2006,39.4361610412598
Madagascar,MDG,2007,38.7243003845215
Madagascar,MDG,2008,62.015998840332
Madagascar,MDG,2011,65.0735626220703
Madagascar,MDG,2013,73.2539901733398
Malawi,MWI,2009,88.7008514404297
Malawi,MWI,2010,90.5728912353516
Malawi,MWI,2011,86.2561492919922
Malawi,MWI,2012,68.8714218139648
Malawi,MWI,2013,77.041389465332
Malawi,MWI,2014,94.6442413330078
Malaysia,MYS,1998,78.1439514160156
Malaysia,MYS,1999,70.2284698486328
Malaysia,MYS,2000,64.6725387573242
Malaysia,MYS,2001,52.4589500427246
Malaysia,MYS,2002,50.1179885864258
Malaysia,MYS,2003,53.7066993713379
Malaysia,MYS,2004,64.7416687011719
Malaysia,MYS,2007,85.1018371582031
Malaysia,MYS,2009,86.6240081787109
Malaysia,MYS,2011,76.0215530395508
Mali,MLI,2008,58.7314682006836
Mali,MLI,2009,64.8143081665039
Mali,MLI,2010,65.2009811401367
Mali,MLI,2011,70.3470993041992
Mali,MLI,2012,84.0414505004883
Mali,MLI,2013,80.9023895263672
Mali,MLI,2014,83.9547805786133
Malta,MLT,1998,72.9171829223633
Malta,MLT,2002,86.8479385375977
Malta,MLT,2004,89.6635513305664
Malta,MLT,2007,82.0058670043945
Malta,MLT,2008,82.3358917236328
Malta,MLT,2009,88.8531494140625
Malta,MLT,2010,84.046516418457
Malta,MLT,2011,80.6271133422852
Malta,MLT,2012,88.705192565918
Marshall Islands,MHL,2002,75.8251266479492
Mauritania,MRT,2012,100
Mauritius,MUS,2010,80.555793762207
Mexico,MEX,2001,93.0903930664063
Mexico,MEX,2002,93.661750793457
Mexico,MEX,2003,93.6847763061523
Mexico,MEX,2004,93.5951385498047
Mexico,MEX,2005,91.369873046875
Mexico,MEX,2006,92.9851226806641
Mexico,MEX,2007,92.1205978393555
Mexico,MEX,2008,92.2403182983398
Mexico,MEX,2009,90.243537902832
Mexico,MEX,2010,93.7310180664063
Mexico,MEX,2011,92.1802520751953
Moldova,MDA,2008,56.624828338623
Moldova,MDA,2009,65.2176208496094
Moldova,MDA,2010,63.4476890563965
Moldova,MDA,2011,64.5886917114258
Moldova,MDA,2012,65.138427734375
Moldova,MDA,2013,63.5644187927246
Moldova,MDA,2014,61.1908683776855
Monaco,MCO,1998,96.103401184082
Monaco,MCO,1999,92.6540374755859
Monaco,MCO,2000,94.9081726074219
Monaco,MCO,2004,92.5942535400391
Monaco,MCO,2009,89.3107299804688
Monaco,MCO,2010,89.4258728027344
Monaco,MCO,2011,90.1499099731445
Monaco,MCO,2012,93.6050567626953
Monaco,MCO,2013,90.1823120117188
Monaco,MCO,2014,93.0996627807617
Mongolia,MNG,1998,55.7442207336426
Mongolia,MNG,1999,60.4630317687988
Mongolia,MNG,2000,62.9444808959961
Mongolia,MNG,2011,61.5653991699219
Morocco,MAR,1998,87.5165481567383
Morocco,MAR,1999,86.0653533935547
Morocco,MAR,2001,88.3403396606445
Morocco,MAR,2002,91.3459396362305
Morocco,MAR,2004,90.2841415405273
Morocco,MAR,2005,89.6402130126953
Morocco,MAR,2008,90.8427810668945
Morocco,MAR,2009,73.7977981567383
Mozambique,MOZ,2004,77.3498306274414
Mozambique,MOZ,2006,62.9219017028809
Mozambique,MOZ,2012,58.5482711791992
Mozambique,MOZ,2013,58.5482711791992
Namibia,NAM,2000,85.8239135742188
Namibia,NAM,2008,73.5098724365234
Namibia,NAM,2010,88.8660430908203
Netherlands,NLD,1998,69.9968566894531
Netherlands,NLD,1999,75.2482070922852
Netherlands,NLD,2000,75.2629776000977
Netherlands,NLD,2001,75.2463989257813
Netherlands,NLD,2002,75.0608673095703
Netherlands,NLD,2003,75.2222366333008
Netherlands,NLD,2004,75.2280197143555
Netherlands,NLD,2005,75.2289428710938
Netherlands,NLD,2006,75.1898498535156
Netherlands,NLD,2007,75.5821533203125
Netherlands,NLD,2008,73.6849212646484
Netherlands,NLD,2009,73.6927185058594
Netherlands,NLD,2010,73.7665786743164
Netherlands,NLD,2011,73.5373992919922
Netherlands,NLD,2012,72.8931121826172
Netherlands,NLD,2013,73.5246887207031
Nicaragua,NIC,2004,90.1237335205078
Nicaragua,NIC,2005,89.173469543457
Nicaragua,NIC,2006,81.3915405273438
Nicaragua,NIC,2010,76.747802734375
Niger,NER,2009,70.2641677856445
Niger,NER,2010,82.4322280883789
Niger,NER,2011,87.7340393066406
Niger,NER,2012,80.7174377441406
Niger,NER,2013,70.5012512207031
Niger,NER,2014,68.565299987793
Norway,NOR,2002,71.0064010620117
Norway,NOR,2003,69.6064529418945
Norway,NOR,2004,69.7144622802734
Norway,NOR,2005,70.2663269042969
Norway,NOR,2006,69.0740203857422
Norway,NOR,2007,68.2790298461914
Norway,NOR,2008,68.173957824707
Norway,NOR,2009,66.9739837646484
Norway,NOR,2010,68.9721984863281
Norway,NOR,2011,71.2776565551758
Norway,NOR,2012,72.7223281860352
Oman,OMN,1999,87.5717468261719
Oman,OMN,2001,82.8065032958984
Oman,OMN,2002,84.2083511352539
Oman,OMN,2004,85.3010864257813
Oman,OMN,2007,90.4132690429688
Oman,OMN,2008,90.7575302124023
Oman,OMN,2011,82.5102615356445
Panama,PAN,2001,79.4333724975586
Panama,PAN,2002,82.1636199951172
Panama,PAN,2004,95.2085494995117
Panama,PAN,2005,97.2471008300781
Paraguay,PRY,2002,81.1432800292969
Paraguay,PRY,2003,81.1432800292969
Paraguay,PRY,2004,88.6521072387695
Paraguay,PRY,2007,82.7887573242188
Paraguay,PRY,2010,79.3669891357422
Paraguay,PRY,2011,78.2381591796875
Paraguay,PRY,2012,73.8368301391602
Peru,PER,1998,63.7218284606934
Peru,PER,1999,77.6975479125977
Peru,PER,2000,82.9171524047852
Peru,PER,2001,85.6112289428711
Peru,PER,2002,93.6105117797852
Peru,PER,2003,93.6930465698242
Peru,PER,2004,91.5372619628906
Peru,PER,2005,93.5109481811523
Peru,PER,2006,86.403450012207
Peru,PER,2007,81.4558486938477
Peru,PER,2008,70.5890274047852
Peru,PER,2009,65.8437728881836
Peru,PER,2010,64.9379730224609
Peru,PER,2011,65.5244216918945
Peru,PER,2012,61.7867317199707
Peru,PER,2013,55.375560760498
Peru,PER,2014,56.6100807189941
