Entity,Code,Year,Indicator 2.2.2a: Prevalence of wasting in children under 5 (%) - Past - Unscaled (%)
Gambia,GMB,1990,9.998
Gambia,GMB,1995,10.04
Gambia,GMB,2000,9.738
Gambia,GMB,2005,9.905
Gambia,GMB,2010,11.782
Gambia,GMB,2016,12.243
Georgia,GEO,1990,3.041
Georgia,GEO,1995,3.001
Georgia,GEO,2000,3.02
Georgia,GEO,2005,3.086
Georgia,GEO,2010,2.65
Georgia,GEO,2016,2.547
Germany,DEU,1990,0.791
Germany,DEU,1995,0.829
Germany,DEU,2000,0.848
Germany,DEU,2005,0.845
Germany,DEU,2010,0.815
Germany,DEU,2016,0.806
Ghana,GHA,1990,9.543
Ghana,GHA,1995,9.905
Ghana,GHA,2000,8.672
Ghana,GHA,2005,8.727
Ghana,GHA,2010,10.38
Ghana,GHA,2016,7.502
Greece,GRC,1990,1.392
Greece,GRC,1995,1.326
Greece,GRC,2000,1.211
Greece,GRC,2005,1.014
Greece,GRC,2010,1.001
Greece,GRC,2016,0.961
Grenada,GRD,1990,3.614
Grenada,GRD,1995,3.397
Grenada,GRD,2000,3.072
Grenada,GRD,2005,2.693
Grenada,GRD,2010,2.582
Grenada,GRD,2016,2.462
Guatemala,GTM,1990,6.207
Guatemala,GTM,1995,5.12
Guatemala,GTM,2000,3.567
Guatemala,GTM,2005,2.018
Guatemala,GTM,2010,1.635
Guatemala,GTM,2016,1.292
Guinea,GIN,1990,12.037
Guinea,GIN,1995,12.516
Guinea,GIN,2000,11.384
Guinea,GIN,2005,10.081
Guinea,GIN,2010,8.786
Guinea,GIN,2016,8.091
Guinea-Bissau,GNB,1990,12.933
Guinea-Bissau,GNB,1995,12.517
Guinea-Bissau,GNB,2000,11.576
Guinea-Bissau,GNB,2005,9.158
Guinea-Bissau,GNB,2010,7.777
Guinea-Bissau,GNB,2016,6.765
Guyana,GUY,1990,13.061
Guyana,GUY,1995,13.079
Guyana,GUY,2000,11.217
Guyana,GUY,2005,8.37
Guyana,GUY,2010,6.738
Guyana,GUY,2016,6.292
Haiti,HTI,1990,6.592
Haiti,HTI,1995,7.419
Haiti,HTI,2000,7.446
Haiti,HTI,2005,7.842
Haiti,HTI,2010,6.116
Haiti,HTI,2016,4.804
Honduras,HND,1990,2.484
Honduras,HND,1995,2.261
Honduras,HND,2000,1.852
Honduras,HND,2005,1.65
Honduras,HND,2010,1.605
Honduras,HND,2016,1.561
Hungary,HUN,1990,1.926
Hungary,HUN,1995,1.964
Hungary,HUN,2000,2.044
Hungary,HUN,2005,2.028
Hungary,HUN,2010,1.97
Hungary,HUN,2016,1.93
Iceland,ISL,1990,1.269
Iceland,ISL,1995,1.227
Iceland,ISL,2000,1.104
Iceland,ISL,2005,0.958
Iceland,ISL,2010,0.941
Iceland,ISL,2016,0.908
India,IND,1990,21.631
India,IND,1995,20.689
India,IND,2000,19.852
India,IND,2005,20.725
India,IND,2010,19.568
India,IND,2016,15.903
Indonesia,IDN,1990,13.11
Indonesia,IDN,1995,12.565
Indonesia,IDN,2000,12.725
Indonesia,IDN,2005,13.941
Indonesia,IDN,2010,13.921
Indonesia,IDN,2016,12.849
Iran,IRN,1990,10.567
Iran,IRN,1995,7.574
Iran,IRN,2000,5.524
Iran,IRN,2005,4.736
Iran,IRN,2010,4.668
Iran,IRN,2016,4.828
Iraq,IRQ,1990,12.408
Iraq,IRQ,1995,13.055
Iraq,IRQ,2000,10.383
Iraq,IRQ,2005,7.93
Iraq,IRQ,2010,7.675
Iraq,IRQ,2016,7.189
Ireland,IRL,1990,1.391
Ireland,IRL,1995,1.304
Ireland,IRL,2000,1.191
Ireland,IRL,2005,0.982
Ireland,IRL,2010,0.979
Ireland,IRL,2016,0.929
Israel,ISR,1990,1.439
Israel,ISR,1995,1.371
Israel,ISR,2000,1.262
Israel,ISR,2005,1.066
Israel,ISR,2010,1.057
Israel,ISR,2016,1.014
Italy,ITA,1990,1.356
Italy,ITA,1995,1.279
Italy,ITA,2000,1.178
Italy,ITA,2005,1.001
Italy,ITA,2010,0.978
Italy,ITA,2016,0.953
Jamaica,JAM,1990,4.406
Jamaica,JAM,1995,3.554
Jamaica,JAM,2000,3.054
Jamaica,JAM,2005,2.685
Jamaica,JAM,2010,2.399
Jamaica,JAM,2016,2.166
Japan,JPN,1990,2.456
Japan,JPN,1995,2.383
Japan,JPN,2000,2.035
Japan,JPN,2005,1.702
Japan,JPN,2010,1.703
Japan,JPN,2016,1.649
Jordan,JOR,1990,4.246
Jordan,JOR,1995,3.55
Jordan,JOR,2000,3.74
Jordan,JOR,2005,4.496
Jordan,JOR,2010,4
Jordan,JOR,2016,3.384
Kazakhstan,KAZ,1990,4.935
Kazakhstan,KAZ,1995,4.733
Kazakhstan,KAZ,2000,4.232
Kazakhstan,KAZ,2005,4.924
Kazakhstan,KAZ,2010,4.634
Kazakhstan,KAZ,2016,4.2
Kenya,KEN,1990,6.714
Kenya,KEN,1995,6.899
Kenya,KEN,2000,7.084
Kenya,KEN,2005,6.749
Kenya,KEN,2010,6.32
Kenya,KEN,2016,5.506
Kiribati,KIR,1990,11.47
Kiribati,KIR,1995,10.966
Kiribati,KIR,2000,10.085
Kiribati,KIR,2005,9.562
Kiribati,KIR,2010,9.197
Kiribati,KIR,2016,8.74
Kuwait,KWT,1990,8.569
Kuwait,KWT,1995,7.005
Kuwait,KWT,2000,3.161
Kuwait,KWT,2005,2.348
Kuwait,KWT,2010,2.147
Kuwait,KWT,2016,2.049
Kyrgyzstan,KGZ,1990,3.461
Kyrgyzstan,KGZ,1995,3.349
Kyrgyzstan,KGZ,2000,3.035
Kyrgyzstan,KGZ,2005,2.895
Kyrgyzstan,KGZ,2010,2.73
Kyrgyzstan,KGZ,2016,2.875
Laos,LAO,1990,13.313
Laos,LAO,1995,12.132
Laos,LAO,2000,11.496
Laos,LAO,2005,8.571
Laos,LAO,2010,7.17
Laos,LAO,2016,6.517
Latvia,LVA,1990,3.532
Latvia,LVA,1995,3.515
Latvia,LVA,2000,3.351
Latvia,LVA,2005,2.915
Latvia,LVA,2010,2.561
Latvia,LVA,2016,2.455
Lebanon,LBN,1990,4.367
Lebanon,LBN,1995,4.126
Lebanon,LBN,2000,4.851
Lebanon,LBN,2005,4.977
Lebanon,LBN,2010,4.501
Lebanon,LBN,2016,4.282
Lesotho,LSO,1990,16.94
Lesotho,LSO,1995,14.889
Lesotho,LSO,2000,8.705
Lesotho,LSO,2005,5.715
Lesotho,LSO,2010,4.403
Lesotho,LSO,2016,3.539
Liberia,LBR,1990,5.359
Liberia,LBR,1995,5.817
Liberia,LBR,2000,6.726
Liberia,LBR,2005,7.388
Liberia,LBR,2010,7.053
Liberia,LBR,2016,6.383
Libya,LBY,1990,4.705
Libya,LBY,1995,4.166
Libya,LBY,2000,4.41
Libya,LBY,2005,5.272
Libya,LBY,2010,5.321
Libya,LBY,2016,5.027
Lithuania,LTU,1990,3.504
Lithuania,LTU,1995,3.456
Lithuania,LTU,2000,3.255
Lithuania,LTU,2005,2.824
Lithuania,LTU,2010,2.524
Lithuania,LTU,2016,2.393
Luxembourg,LUX,1990,1.232
Luxembourg,LUX,1995,1.182
Luxembourg,LUX,2000,1.093
Luxembourg,LUX,2005,0.927
Luxembourg,LUX,2010,0.91
Luxembourg,LUX,2016,0.893
Macedonia,MKD,1990,2.372
Macedonia,MKD,1995,2.465
Macedonia,MKD,2000,3.148
Macedonia,MKD,2005,4.401
Macedonia,MKD,2010,4.575
Macedonia,MKD,2016,4.021
Madagascar,MDG,1990,9.27
Madagascar,MDG,1995,11.353
Madagascar,MDG,2000,13.008
Madagascar,MDG,2005,22.513
Madagascar,MDG,2010,31.33
Madagascar,MDG,2016,29.243
Malawi,MWI,1990,6.216
Malawi,MWI,1995,8.614
Malawi,MWI,2000,8.067
Malawi,MWI,2005,5.516
Malawi,MWI,2010,4.297
Malawi,MWI,2016,3.448
Malaysia,MYS,1990,11.25
Malaysia,MYS,1995,11.949
Malaysia,MYS,2000,13.339
Malaysia,MYS,2005,11.784
Malaysia,MYS,2010,10.332
Malaysia,MYS,2016,9.624
Maldives,MDV,1990,22.005
Maldives,MDV,1995,20.955
Maldives,MDV,2000,17.901
Maldives,MDV,2005,13.151
Maldives,MDV,2010,10.423
Maldives,MDV,2016,9.742
Mali,MLI,1990,22.453
Mali,MLI,1995,21.397
Mali,MLI,2000,18.54
Mali,MLI,2005,15.367
Mali,MLI,2010,12.944
Mali,MLI,2016,11.092
Malta,MLT,1990,1.417
Malta,MLT,1995,1.341
Malta,MLT,2000,1.198
Malta,MLT,2005,1.027
Malta,MLT,2010,0.992
Malta,MLT,2016,0.946
Marshall Islands,MHL,1990,7.25
Marshall Islands,MHL,1995,6.66
Marshall Islands,MHL,2000,5.461
Marshall Islands,MHL,2005,5.689
Marshall Islands,MHL,2010,5.919
Marshall Islands,MHL,2016,5.747
Mauritania,MRT,1990,18.525
Mauritania,MRT,1995,15.811
Mauritania,MRT,2000,14.671
Mauritania,MRT,2005,12.646
Mauritania,MRT,2010,12.48
Mauritania,MRT,2016,12.304
Mauritius,MUS,1990,16.886
Mauritius,MUS,1995,15.457
Mauritius,MUS,2000,13.622
Mauritius,MUS,2005,12.312
Mauritius,MUS,2010,11.615
Mauritius,MUS,2016,11.116
Mexico,MEX,1990,4.433
Mexico,MEX,1995,3.546
Mexico,MEX,2000,2.959
Mexico,MEX,2005,2.998
Mexico,MEX,2010,2.649
Mexico,MEX,2016,2.276
Micronesia (country),FSM,1990,7.746
Micronesia (country),FSM,1995,6.514
Micronesia (country),FSM,2000,5.081
Micronesia (country),FSM,2005,5.201
Micronesia (country),FSM,2010,5.423
Micronesia (country),FSM,2016,5.369
Moldova,MDA,1990,6.458
Moldova,MDA,1995,6.594
Moldova,MDA,2000,6.178
Moldova,MDA,2005,4.913
Moldova,MDA,2010,3.435
Moldova,MDA,2016,2.926
Mongolia,MNG,1990,5.391
Mongolia,MNG,1995,5.727
Mongolia,MNG,2000,6.07
Mongolia,MNG,2005,3.754
Mongolia,MNG,2010,3.085
Mongolia,MNG,2016,2.611
Montenegro,MNE,1990,5.278
Montenegro,MNE,1995,5.566
Montenegro,MNE,2000,5.163
Montenegro,MNE,2005,4.452
Montenegro,MNE,2010,3.824
Montenegro,MNE,2016,3.542
Morocco,MAR,1990,4.324
Morocco,MAR,1995,4.618
Morocco,MAR,2000,7.227
Morocco,MAR,2005,7.53
Morocco,MAR,2010,5.111
Morocco,MAR,2016,4.403
Mozambique,MOZ,1990,8.104
Mozambique,MOZ,1995,10.061
Mozambique,MOZ,2000,9.046
Mozambique,MOZ,2005,6.147
Mozambique,MOZ,2010,5.221
Mozambique,MOZ,2016,4.677
Myanmar,MMR,1990,13.871
Myanmar,MMR,1995,13.052
Myanmar,MMR,2000,11.187
Myanmar,MMR,2005,9.379
Myanmar,MMR,2010,7.644
Myanmar,MMR,2016,6.845
Namibia,NAM,1990,9.596
Namibia,NAM,1995,9.498
Namibia,NAM,2000,9.617
Namibia,NAM,2005,8.768
Namibia,NAM,2010,8.951
Namibia,NAM,2016,8.188
Nepal,NPL,1990,15.557
Nepal,NPL,1995,14.577
Nepal,NPL,2000,12.082
Nepal,NPL,2005,12.118
Nepal,NPL,2010,12.482
Nepal,NPL,2016,10.276
Netherlands,NLD,1990,1.261
Netherlands,NLD,1995,1.229
Netherlands,NLD,2000,1.108
Netherlands,NLD,2005,0.961
Netherlands,NLD,2010,0.94
Netherlands,NLD,2016,0.899
New Zealand,NZL,1990,1.595
New Zealand,NZL,1995,1.625
New Zealand,NZL,2000,1.246
New Zealand,NZL,2005,1.081
New Zealand,NZL,2010,1.053
New Zealand,NZL,2016,0.955
Nicaragua,NIC,1990,3.146
Nicaragua,NIC,1995,3.378
Nicaragua,NIC,2000,2.694
Nicaragua,NIC,2005,1.966
Nicaragua,NIC,2010,2.113
Nicaragua,NIC,2016,1.999
Niger,NER,1990,17.941
Niger,NER,1995,20.141
Niger,NER,2000,19.702
Niger,NER,2005,18.417
Niger,NER,2010,18.687
Niger,NER,2016,18.426
Nigeria,NGA,1990,11.103
Nigeria,NGA,1995,13.883
Nigeria,NGA,2000,14.033
Nigeria,NGA,2005,12.437
Nigeria,NGA,2010,12.216
Nigeria,NGA,2016,11.617
North Korea,PRK,1990,14.701
North Korea,PRK,1995,14.928
North Korea,PRK,2000,12.103
North Korea,PRK,2005,8.06
North Korea,PRK,2010,6.214
North Korea,PRK,2016,5.8
Norway,NOR,1990,1.274
Norway,NOR,1995,1.224
Norway,NOR,2000,1.112
Norway,NOR,2005,0.964
Norway,NOR,2010,0.924
Norway,NOR,2016,0.908
Oman,OMN,1990,12.183
Oman,OMN,1995,12.436
Oman,OMN,2000,8.933
Oman,OMN,2005,8.043
Oman,OMN,2010,7.569
Oman,OMN,2016,7.515
Pakistan,PAK,1990,17.042
Pakistan,PAK,1995,10.698
Pakistan,PAK,2000,11.125
Pakistan,PAK,2005,16.155
Pakistan,PAK,2010,17.496
Pakistan,PAK,2016,16.289
Palestine,PSE,1990,5.26
Palestine,PSE,1995,5.637
Palestine,PSE,2000,4.877
Palestine,PSE,2005,5.389
Palestine,PSE,2010,4.484
Palestine,PSE,2016,2.888
Panama,PAN,1990,2.46
Panama,PAN,1995,2.087
Panama,PAN,2000,1.786
Panama,PAN,2005,1.731
Panama,PAN,2010,1.696
Panama,PAN,2016,1.553
Papua New Guinea,PNG,1990,8.538
Papua New Guinea,PNG,1995,11.388
Papua New Guinea,PNG,2000,14.006
Papua New Guinea,PNG,2005,14.389
Papua New Guinea,PNG,2010,14.924
Papua New Guinea,PNG,2016,11.924
Paraguay,PRY,1990,1.003
Paraguay,PRY,1995,1.127
Paraguay,PRY,2000,1.523
Paraguay,PRY,2005,1.614
Paraguay,PRY,2010,1.615
Paraguay,PRY,2016,1.578
Peru,PER,1990,2.24
Peru,PER,1995,2.037
Peru,PER,2000,1.783
Peru,PER,2005,1.807
Peru,PER,2010,1.537
Peru,PER,2016,1.264
Philippines,PHL,1990,7.532
Philippines,PHL,1995,8.307
Philippines,PHL,2000,7.469
Philippines,PHL,2005,6.649
Philippines,PHL,2010,6.73
Philippines,PHL,2016,6.841
Poland,POL,1990,4.277
Poland,POL,1995,4.47
Poland,POL,2000,4.616
Poland,POL,2005,4.248
Poland,POL,2010,3.828
Poland,POL,2016,3.543
Portugal,PRT,1990,1.551
Portugal,PRT,1995,1.444
Portugal,PRT,2000,1.316
Portugal,PRT,2005,1.104
Portugal,PRT,2010,1.067
Portugal,PRT,2016,1.049
Qatar,QAT,1990,3.39
Qatar,QAT,1995,3.088
Qatar,QAT,2000,2.905
Qatar,QAT,2005,2.838
Qatar,QAT,2010,2.781
Qatar,QAT,2016,2.676
Romania,ROU,1990,3.298
Romania,ROU,1995,3.588
Romania,ROU,2000,4.174
Romania,ROU,2005,4.475
Romania,ROU,2010,4.254
Romania,ROU,2016,3.973
Russia,RUS,1990,4.265
Russia,RUS,1995,5.062
Russia,RUS,2000,4.574
Russia,RUS,2005,3.33
Russia,RUS,2010,2.682
Russia,RUS,2016,2.277
Rwanda,RWA,1990,6.371
Rwanda,RWA,1995,8.036
Rwanda,RWA,2000,8.514
Rwanda,RWA,2005,5.328
Rwanda,RWA,2010,3.635
Rwanda,RWA,2016,3.344
Saint Lucia,LCA,1990,4.712
Saint Lucia,LCA,1995,4.186
Saint Lucia,LCA,2000,3.639
Saint Lucia,LCA,2005,3.184
Saint Lucia,LCA,2010,2.973
