Entity,Code,Year,"Mammal species, threatened (threatened species)"
Other small states,,2017,237
Pacific island small states,,2017,49
Pakistan,PAK,2017,26
Palau,PLW,2017,4
Palestine,PSE,2017,4
Panama,PAN,2017,17
Papua New Guinea,PNG,2017,40
Paraguay,PRY,2017,10
Peru,PER,2017,50
Philippines,PHL,2017,39
Poland,POL,2017,5
Portugal,PRT,2017,13
Post-demographic dividend,,2017,340
Pre-demographic dividend,,2017,803
Puerto Rico,PRI,2017,2
Qatar,QAT,2017,4
Romania,ROU,2017,9
Russia,RUS,2017,34
Rwanda,RWA,2017,24
Saint Kitts and Nevis,KNA,2017,2
Saint Lucia,LCA,2017,2
Saint Martin (French part),MAF,2017,2
Saint Vincent and the Grenadines,VCT,2017,2
Samoa,WSM,2017,2
San Marino,SMR,2017,0
Sao Tome and Principe,STP,2017,5
Saudi Arabia,SAU,2017,11
Senegal,SEN,2017,19
Serbia,SRB,2017,6
Seychelles,SYC,2017,6
Sierra Leone,SLE,2017,22
Singapore,SGP,2017,14
Sint Maarten (Dutch part),SXM,2017,2
Slovakia,SVK,2017,4
Slovenia,SVN,2017,6
Small states,,2017,347
Solomon Islands,SLB,2017,18
Somalia,SOM,2017,15
South Africa,ZAF,2017,30
South Asia,,2017,255
South Asia (IDA & IBRD),,2017,255
South Korea,KOR,2017,11
South Sudan,SSD,2017,13
Spain,ESP,2017,17
Sri Lanka,LKA,2017,31
Sub-Saharan Africa,,2017,971
Sub-Saharan Africa (IDA & IBRD),,2017,971
Sub-Saharan Africa (excluding high income),,2017,965
Sudan,SDN,2017,15
Suriname,SUR,2017,9
Swaziland,SWZ,2017,9
Sweden,SWE,2017,1
Switzerland,CHE,2017,3
Syrian Arab Republic,,2017,14
Tajikistan,TJK,2017,7
Tanzania,TZA,2017,40
Thailand,THA,2017,59
Timor,TLS,2017,5
Togo,TGO,2017,14
Tonga,TON,2017,2
Trinidad and Tobago,TTO,2017,2
Tunisia,TUN,2017,14
Turkey,TUR,2017,19
Turkmenistan,TKM,2017,10
Turks and Caicos Islands,TCA,2017,2
Tuvalu,TUV,2017,1
Uganda,UGA,2017,30
Ukraine,UKR,2017,11
United Arab Emirates,ARE,2017,9
United Kingdom,GBR,2017,5
United States,USA,2017,36
United States Virgin Islands,VIR,2017,1
Upper middle income,,2017,1008
Uruguay,URY,2017,10
Uzbekistan,UZB,2017,10
Vanuatu,VUT,2017,7
Venezuela,VEN,2017,35
Vietnam,VNM,2017,56
World,OWID_WRL,2017,3434
Yemen,YEM,2017,11
Zambia,ZMB,2017,13
Zimbabwe,ZWE,2017,10
