Entity,Code,Year,Top marignal income tax rate (%)
United Kingdom,GBR,1993,40
United Kingdom,GBR,1994,40
United Kingdom,GBR,1995,40
United Kingdom,GBR,1996,40
United Kingdom,GBR,1997,40
United Kingdom,GBR,1998,40
United Kingdom,GBR,1999,40
United Kingdom,GBR,2000,40
United Kingdom,GBR,2001,40
United Kingdom,GBR,2002,40
United Kingdom,GBR,2003,40
United Kingdom,GBR,2004,40
United Kingdom,GBR,2005,40
United Kingdom,GBR,2006,40
United Kingdom,GBR,2007,40
United Kingdom,GBR,2008,40
United Kingdom,GBR,2009,40
United Kingdom,GBR,2010,50
United Kingdom,GBR,2011,50
United Kingdom,GBR,2012,50
United Kingdom,GBR,2013,45
United States,USA,1900,0
United States,USA,1901,0
United States,USA,1902,0
United States,USA,1903,0
United States,USA,1904,0
United States,USA,1905,0
United States,USA,1906,0
United States,USA,1907,0
United States,USA,1908,0
United States,USA,1909,0
United States,USA,1910,0
United States,USA,1911,0
United States,USA,1912,0
United States,USA,1913,7
United States,USA,1914,7
United States,USA,1915,7
United States,USA,1916,15
United States,USA,1917,67
United States,USA,1918,77
United States,USA,1919,73
United States,USA,1920,73
United States,USA,1921,73
United States,USA,1922,58
United States,USA,1923,43.5
United States,USA,1924,46
United States,USA,1925,25
United States,USA,1926,25
United States,USA,1927,25
United States,USA,1928,25
United States,USA,1929,24
United States,USA,1930,25
United States,USA,1931,25
United States,USA,1932,63
United States,USA,1933,63
United States,USA,1934,63
United States,USA,1935,63
United States,USA,1936,79
United States,USA,1937,79
United States,USA,1938,79
United States,USA,1939,79
United States,USA,1940,81.1
United States,USA,1941,81
United States,USA,1942,88
United States,USA,1943,88
United States,USA,1944,94
United States,USA,1945,94
United States,USA,1946,86.45
United States,USA,1947,86.45
United States,USA,1948,82.13
United States,USA,1949,82.13
United States,USA,1950,84.36
United States,USA,1951,91
United States,USA,1952,92
United States,USA,1953,92
United States,USA,1954,91
United States,USA,1955,91
United States,USA,1956,91
United States,USA,1957,91
United States,USA,1958,91
United States,USA,1959,91
United States,USA,1960,91
United States,USA,1961,91
United States,USA,1962,91
United States,USA,1963,91
United States,USA,1964,77
United States,USA,1965,70
United States,USA,1966,70
United States,USA,1967,70
United States,USA,1968,75.25
United States,USA,1969,77
United States,USA,1970,71.75
United States,USA,1971,70
United States,USA,1972,70
United States,USA,1973,70
United States,USA,1974,70
United States,USA,1975,70
United States,USA,1976,70
United States,USA,1977,70
United States,USA,1978,70
United States,USA,1979,70
United States,USA,1980,70
United States,USA,1981,69.13
United States,USA,1982,50
United States,USA,1983,50
United States,USA,1984,50
United States,USA,1985,50
United States,USA,1986,50
United States,USA,1987,38.5
United States,USA,1988,28
United States,USA,1989,28
United States,USA,1990,28
United States,USA,1991,31
United States,USA,1992,31
United States,USA,1993,39.6
United States,USA,1994,39.6
United States,USA,1995,39.6
United States,USA,1996,39.6
United States,USA,1997,39.6
United States,USA,1998,39.6
United States,USA,1999,39.6
United States,USA,2000,39.6
United States,USA,2001,38.6
United States,USA,2002,38.6
United States,USA,2003,35
United States,USA,2004,35
United States,USA,2005,35
United States,USA,2006,35
United States,USA,2007,35
United States,USA,2008,35
United States,USA,2009,35
United States,USA,2010,35
United States,USA,2011,35
United States,USA,2012,35
United States,USA,2013,39.6
