Entity,Code,Year,"Percentage of teachers in lower secondary education who are trained, both sexes (%) (%)"
Colombia,COL,2012,97.3564605712891
Colombia,COL,2013,98.3775177001953
Colombia,COL,2014,98.9853286743164
Comoros,COM,2003,55.661319732666
Comoros,COM,2011,77.8850402832031
Congo,COG,2012,47.901180267334
Costa Rica,CRI,1999,80.3688735961914
Costa Rica,CRI,2001,84.6501617431641
Costa Rica,CRI,2002,83.7250518798828
Costa Rica,CRI,2006,80.1682586669922
Costa Rica,CRI,2007,85.5859527587891
Costa Rica,CRI,2008,83.4092407226563
Costa Rica,CRI,2009,86.2205581665039
Costa Rica,CRI,2010,88.0170669555664
Costa Rica,CRI,2011,89.7523574829102
Costa Rica,CRI,2013,95.9937591552734
Costa Rica,CRI,2014,95.994987487793
Croatia,HRV,1999,100
Croatia,HRV,2000,100
Croatia,HRV,2001,100
Croatia,HRV,2002,100
Croatia,HRV,2003,100
Cuba,CUB,1999,94.559700012207
Cuba,CUB,2000,86.6410293579102
Cuba,CUB,2001,94.4718322753906
Cuba,CUB,2002,85.7786178588867
Cuba,CUB,2003,83.9545822143555
Cuba,CUB,2004,76.9643783569336
Cuba,CUB,2005,100
Cuba,CUB,2006,100
Cuba,CUB,2007,100
Cuba,CUB,2008,100
Cuba,CUB,2009,100
Cuba,CUB,2010,100
Cuba,CUB,2011,100
Cuba,CUB,2012,100
Cuba,CUB,2013,100
Cuba,CUB,2014,100
Djibouti,DJI,2011,100
Djibouti,DJI,2014,100
Djibouti,DJI,2015,100
Dominica,DMA,1999,31.25
Dominica,DMA,2000,31.4960594177246
Dominica,DMA,2001,31.578950881958
Dominica,DMA,2002,40
Dominica,DMA,2003,27.8637790679932
Dominica,DMA,2004,36.3057289123535
Dominica,DMA,2005,30.9859199523926
Dominica,DMA,2006,26.7206497192383
Dominica,DMA,2007,37.6470603942871
Dominica,DMA,2008,31.8181800842285
Dominica,DMA,2009,32.3943710327148
Dominica,DMA,2010,33.6769790649414
Dominica,DMA,2011,37.0106811523438
Dominica,DMA,2014,46.1538505554199
Dominican Republic,DOM,2004,64.0896072387695
Dominican Republic,DOM,2005,88.2685165405273
Dominican Republic,DOM,2006,88.3104705810547
Dominican Republic,DOM,2007,88.2698822021484
Dominican Republic,DOM,2008,88.814567565918
Dominican Republic,DOM,2009,72.2677764892578
Dominican Republic,DOM,2010,85.0202102661133
Dominican Republic,DOM,2011,85.1218490600586
Dominican Republic,DOM,2012,85.2389526367188
Ecuador,ECU,2000,82.5425872802734
Ecuador,ECU,2001,82.6491317749023
Ecuador,ECU,2002,67.6920471191406
Ecuador,ECU,2003,70.4887008666992
Ecuador,ECU,2004,69.6829986572266
Ecuador,ECU,2005,69.9535369873047
Ecuador,ECU,2006,70.3338317871094
Ecuador,ECU,2007,70.6101531982422
Ecuador,ECU,2010,70.8893127441406
Ecuador,ECU,2011,75.7943725585938
Ecuador,ECU,2012,75.9167175292969
Ecuador,ECU,2013,77.0810699462891
Ecuador,ECU,2014,81.3727798461914
Egypt,EGY,2013,63.8438606262207
Egypt,EGY,2014,65.0180587768555
El Salvador,SLV,2003,94.1840972900391
El Salvador,SLV,2004,93.6555633544922
El Salvador,SLV,2005,92.83251953125
El Salvador,SLV,2006,92.0200576782227
El Salvador,SLV,2007,91.3057632446289
El Salvador,SLV,2008,89.6132278442383
El Salvador,SLV,2009,92.9823379516602
El Salvador,SLV,2011,92.888298034668
Eritrea,ERI,1999,37.7483406066895
Eritrea,ERI,2000,49.1615905761719
Eritrea,ERI,2001,49.6731986999512
Eritrea,ERI,2002,29.8888206481934
Eritrea,ERI,2004,28.2463207244873
Eritrea,ERI,2005,28.9097595214844
Eritrea,ERI,2006,28.462459564209
Eritrea,ERI,2007,36.7635192871094
Eritrea,ERI,2008,41.951789855957
Eritrea,ERI,2009,54.4451103210449
Eritrea,ERI,2010,60.5706481933594
Eritrea,ERI,2011,69.1394729614258
Eritrea,ERI,2012,81.5102081298828
Eritrea,ERI,2013,85.7362365722656
Ethiopia,ETH,2008,64.6277236938477
Ethiopia,ETH,2009,73.3753967285156
Ethiopia,ETH,2010,53.5043487548828
Ethiopia,ETH,2011,65.814567565918
Ethiopia,ETH,2012,72.3579177856445
Fiji,FJI,2012,100
Gambia,GMB,2011,92.2287368774414
Gambia,GMB,2012,77.7822570800781
Gambia,GMB,2013,87.3906707763672
Gambia,GMB,2014,90.4565582275391
Georgia,GEO,2000,76.8341979980469
Georgia,GEO,2008,94.9882888793945
Georgia,GEO,2009,94.5856704711914
Ghana,GHA,1999,83.650032043457
Ghana,GHA,2000,80.0431365966797
Ghana,GHA,2001,78.9835662841797
Ghana,GHA,2002,78.6321029663086
Ghana,GHA,2003,74.4570693969727
Ghana,GHA,2004,80.4060821533203
Ghana,GHA,2005,70.7280502319336
Ghana,GHA,2007,67.6262969970703
Ghana,GHA,2008,65.1718826293945
Ghana,GHA,2009,64.8153991699219
Ghana,GHA,2011,65.757926940918
Ghana,GHA,2012,68.7280883789063
Ghana,GHA,2013,68.8646774291992
Ghana,GHA,2014,68.5149765014648
Ghana,GHA,2015,69.8059234619141
Gibraltar,GIB,1999,98.9795913696289
Gibraltar,GIB,2000,97.6744232177734
Gibraltar,GIB,2001,100
Gibraltar,GIB,2008,82.5806503295898
Gibraltar,GIB,2009,90.7142868041992
Grenada,GRD,2003,30.3999996185303
Grenada,GRD,2005,33.3878898620605
Grenada,GRD,2014,39.9150695800781
Guinea,GIN,2006,87.5042419433594
Guinea,GIN,2008,88.8524932861328
Guyana,GUY,2003,56.954948425293
Guyana,GUY,2005,51.6029014587402
Guyana,GUY,2008,54.2397117614746
Guyana,GUY,2009,56.6160507202148
Heavily indebted poor countries (HIPC),,2008,63.9424896240234
Heavily indebted poor countries (HIPC),,2009,54.5176010131836
Heavily indebted poor countries (HIPC),,2011,57.7817306518555
Heavily indebted poor countries (HIPC),,2012,56.6852989196777
Heavily indebted poor countries (HIPC),,2013,64.5114974975586
Heavily indebted poor countries (HIPC),,2014,54.1853294372559
Honduras,HND,2004,65.3668899536133
Iran,IRN,2004,100
Iran,IRN,2005,100
Iran,IRN,2013,100
Iran,IRN,2014,100
Iraq,IRQ,2000,100
Iraq,IRQ,2004,100
Kenya,KEN,2004,98.6340026855469
Kenya,KEN,2005,98.9130706787109
Kenya,KEN,2006,99.4355316162109
Kenya,KEN,2007,98.6977233886719
Kenya,KEN,2008,98.4159622192383
Kenya,KEN,2009,96.8062896728516
Kiribati,KIR,2005,83.5858612060547
Kiribati,KIR,2006,60.9625701904297
Kiribati,KIR,2007,76.5
Kiribati,KIR,2008,79.22705078125
Kiribati,KIR,2014,86.7373962402344
Kuwait,KWT,2000,100
Kuwait,KWT,2001,100
Kuwait,KWT,2004,100
Kuwait,KWT,2007,100
Kuwait,KWT,2008,100
Kuwait,KWT,2012,79.1443099975586
Laos,LAO,1999,98.0542907714844
Laos,LAO,2000,98.517822265625
Laos,LAO,2001,97.3287811279297
Laos,LAO,2002,97.0482635498047
Laos,LAO,2003,98.1201400756836
Laos,LAO,2004,98.5152893066406
Laos,LAO,2005,91.0397033691406
Laos,LAO,2006,96.7996215820313
Laos,LAO,2008,89.5836868286133
Laos,LAO,2009,99.3319625854492
Laos,LAO,2010,99.3471374511719
Laos,LAO,2011,99.4042587280273
Laos,LAO,2012,99.4741592407227
Laos,LAO,2013,99.585807800293
Laos,LAO,2014,99.5027236938477
Latin America & Caribbean,,2008,82.7566986083984
Latin America & Caribbean,,2009,81.2283020019531
Latin America & Caribbean,,2010,81.6816635131836
Latin America & Caribbean,,2011,81.8923034667969
Latin America & Caribbean (all income levels),,2008,82.4979400634766
Latin America & Caribbean (all income levels),,2009,80.9663772583008
Latin America & Caribbean (all income levels),,2010,81.4689712524414
Latin America & Caribbean (all income levels),,2011,81.7092437744141
Least developed countries: UN classification,,1997,51.5668411254883
Least developed countries: UN classification,,1998,68.1898422241211
Least developed countries: UN classification,,1999,68.351921081543
Least developed countries: UN classification,,2000,68.892219543457
Least developed countries: UN classification,,2001,66.9459533691406
Least developed countries: UN classification,,2002,66.7531433105469
Least developed countries: UN classification,,2003,64.8508377075195
Least developed countries: UN classification,,2004,67.8575134277344
Least developed countries: UN classification,,2005,64.2356491088867
Least developed countries: UN classification,,2006,64.9730987548828
Least developed countries: UN classification,,2007,64.3382186889648
Least developed countries: UN classification,,2008,67.0549468994141
Least developed countries: UN classification,,2009,59.9718208312988
Least developed countries: UN classification,,2010,64.0234603881836
Least developed countries: UN classification,,2011,64.6143798828125
Least developed countries: UN classification,,2012,64.4983062744141
Least developed countries: UN classification,,2013,71.084846496582
Least developed countries: UN classification,,2014,61.0197715759277
Lebanon,LBN,2013,93.5826568603516
Lebanon,LBN,2014,98.5114822387695
Liberia,LBR,2006,55.1127281188965
Liberia,LBR,2008,57.790470123291
Liberia,LBR,2009,63.3893203735352
Liberia,LBR,2011,60.3891487121582
Liberia,LBR,2014,60.4349098205566
Low income,,2011,60.5980491638184
Low income,,2012,60.8343200683594
Low income,,2013,59.7543296813965
Macao,MAC,1999,59.0596313476563
Macao,MAC,2000,60.5769195556641
Macao,MAC,2001,60.8523292541504
Macao,MAC,2002,61.6346206665039
Macao,MAC,2003,63.0769195556641
Macao,MAC,2004,63.2133483886719
Macao,MAC,2005,66.9894409179688
Macao,MAC,2006,68.977783203125
Macao,MAC,2007,72.3037109375
Macao,MAC,2008,72.5473327636719
Macao,MAC,2009,70.049919128418
Macao,MAC,2010,69.7617111206055
Macao,MAC,2011,70.8367233276367
Macao,MAC,2012,73.3160629272461
Macao,MAC,2013,75.2324600219727
Macao,MAC,2014,80
Madagascar,MDG,2014,21.9300899505615
Maldives,MDV,1998,75.3303985595703
Maldives,MDV,1999,79.1970825195313
Maldives,MDV,2000,76.3025207519531
Maldives,MDV,2001,84.5642471313477
Maldives,MDV,2002,83.0519104003906
Maldives,MDV,2005,84.7121429443359
Maldives,MDV,2006,96.2573089599609
Maldives,MDV,2007,89.7236328125
Maldives,MDV,2008,94.9400787353516
Maldives,MDV,2009,95.5683975219727
Maldives,MDV,2010,97.6337127685547
Maldives,MDV,2011,98.3781814575195
Maldives,MDV,2012,93.0968017578125
Maldives,MDV,2013,98.9289169311523
Maldives,MDV,2014,92.8059768676758
Mali,MLI,2005,80
Mali,MLI,2008,76.6864700317383
Mali,MLI,2009,73.7227478027344
Mali,MLI,2011,72.4530029296875
Mauritania,MRT,2003,63.2911415100098
Mauritania,MRT,2006,100
Mauritania,MRT,2007,100
Mauritania,MRT,2008,100
Mauritania,MRT,2009,100
Mauritania,MRT,2011,100
Mauritania,MRT,2014,100
Mexico,MEX,2009,89.2966690063477
Mexico,MEX,2010,89.8130187988281
Middle East & North Africa,,2012,72.1054306030273
Middle East & North Africa,,2013,75.5038299560547
Middle East & North Africa,,2014,74.3695602416992
Middle East & North Africa (all income levels),,2012,75.9203720092773
Middle East & North Africa (all income levels),,2013,79.0007629394531
Middle East & North Africa (all income levels),,2014,77.6194305419922
Mongolia,MNG,1998,100
Mongolia,MNG,1999,100
Mongolia,MNG,2000,100
Mongolia,MNG,2001,100
Mongolia,MNG,2002,100
Mongolia,MNG,2003,100
Mongolia,MNG,2004,100
Mongolia,MNG,2005,100
Mongolia,MNG,2006,100
Mongolia,MNG,2007,100
Mozambique,MOZ,2006,60.4106292724609
Mozambique,MOZ,2007,57.5151100158691
Mozambique,MOZ,2008,61.7009582519531
Mozambique,MOZ,2013,85.2429275512695
Myanmar,MMR,1999,62.0983009338379
Myanmar,MMR,2000,62.0989990234375
Myanmar,MMR,2001,57.5000381469727
Myanmar,MMR,2002,59.9986305236816
Myanmar,MMR,2003,59.9992904663086
Myanmar,MMR,2004,79.7003173828125
Myanmar,MMR,2005,79.0008163452148
Myanmar,MMR,2006,93.8097305297852
Myanmar,MMR,2007,96.0006103515625
Myanmar,MMR,2008,97.0004577636719
Myanmar,MMR,2009,94.5191802978516
Myanmar,MMR,2010,98.3488311767578
Myanmar,MMR,2014,93.2489318847656
Nepal,NPL,1999,32.794750213623
Nepal,NPL,2000,32.6449584960938
Nepal,NPL,2002,27.8768997192383
Nepal,NPL,2003,25.7954502105713
Nepal,NPL,2007,46.4451713562012
Nepal,NPL,2008,52.345630645752
Nepal,NPL,2010,57.1822395324707
Nepal,NPL,2011,63.5753402709961
Nepal,NPL,2012,77.2805404663086
Nepal,NPL,2013,79.408203125
Nepal,NPL,2014,79.9004898071289
Nepal,NPL,2015,80.579963684082
Nicaragua,NIC,1999,47.8035087585449
Nicaragua,NIC,2000,43.6994705200195
Nicaragua,NIC,2001,43.7064399719238
Nicaragua,NIC,2004,42.439079284668
Nicaragua,NIC,2005,49.4462394714355
Nicaragua,NIC,2006,48.9011611938477
Nicaragua,NIC,2007,59.3020896911621
Nicaragua,NIC,2008,57.1522102355957
Niger,NER,2003,30.0165195465088
Niger,NER,2004,30.8025302886963
Niger,NER,2006,19.6018695831299
Niger,NER,2008,15.6020803451538
Niger,NER,2010,13.6857099533081
Niger,NER,2013,24.1540107727051
Niger,NER,2014,15.3775997161865
Nigeria,NGA,2006,70.7209396362305
Nigeria,NGA,2008,92.2476806640625
Nigeria,NGA,2010,85.0063095092773
Oman,OMN,1999,99.93212890625
Oman,OMN,2000,100
Oman,OMN,2001,100
Palestine,PSE,2007,100
Palestine,PSE,2008,100
Palestine,PSE,2009,100
Palestine,PSE,2010,100
Palestine,PSE,2011,100
Palestine,PSE,2012,100
Palestine,PSE,2013,100
Palestine,PSE,2014,100
Panama,PAN,1999,74.0563812255859
Panama,PAN,2000,80.3550186157227
Panama,PAN,2001,92.7863693237305
Panama,PAN,2002,81.0136337280273
Panama,PAN,2004,82.0025482177734
Panama,PAN,2005,82.5036773681641
Panama,PAN,2006,89.7329864501953
Panama,PAN,2007,90.0224227905273
Panama,PAN,2008,89.9871597290039
Panama,PAN,2009,87.8633575439453
Panama,PAN,2010,86.5493316650391
Panama,PAN,2011,85.2560119628906
Panama,PAN,2012,84.9738388061523
Paraguay,PRY,2012,85.905517578125
Qatar,QAT,2006,72.7515029907227
Qatar,QAT,2007,64.2390899658203
Qatar,QAT,2008,54.730541229248
Saint Kitts and Nevis,KNA,2002,40.3703689575195
Saint Kitts and Nevis,KNA,2003,39.4736785888672
Saint Kitts and Nevis,KNA,2004,35.4243507385254
Saint Kitts and Nevis,KNA,2005,39.0243911743164
Saint Kitts and Nevis,KNA,2007,39.730640411377
Saint Kitts and Nevis,KNA,2008,35.6060600280762
Saint Kitts and Nevis,KNA,2009,49.6598587036133
Saint Kitts and Nevis,KNA,2010,49.1525382995605
Saint Kitts and Nevis,KNA,2011,55.5999984741211
Saint Kitts and Nevis,KNA,2012,53.3333282470703
Saint Lucia,LCA,2011,65.6616363525391
Saint Lucia,LCA,2012,65.4545516967773
Saint Lucia,LCA,2013,56.8894996643066
Saint Lucia,LCA,2014,71.7829513549805
Saint Vincent and the Grenadines,VCT,2001,58.9473686218262
Saint Vincent and the Grenadines,VCT,2002,54.1805992126465
Saint Vincent and the Grenadines,VCT,2003,50.3205108642578
Saint Vincent and the Grenadines,VCT,2004,53.8095207214355
Saint Vincent and the Grenadines,VCT,2008,55.7103118896484
Saint Vincent and the Grenadines,VCT,2009,49.3624801635742
Saint Vincent and the Grenadines,VCT,2010,64.3025970458984
Sao Tome and Principe,STP,2011,37.5969009399414
Sao Tome and Principe,STP,2012,34.4827613830566
Saudi Arabia,SAU,2013,100
Saudi Arabia,SAU,2014,100
Serbia,SRB,2007,100
Serbia,SRB,2009,92.7297973632813
Serbia,SRB,2011,53.0545806884766
Serbia,SRB,2012,42.5060691833496
Sierra Leone,SLE,2011,59.0276718139648
Sierra Leone,SLE,2012,60.7470283508301
Sierra Leone,SLE,2013,64.3210296630859
Singapore,SGP,2007,94.4269714355469
Singapore,SGP,2008,96.5291900634766
Singapore,SGP,2009,91.5773773193359
Solomon Islands,SLB,2010,70.7692337036133
South Sudan,SSD,2011,44.3310012817383
Sri Lanka,LKA,2013,72.0618591308594
Sub-Saharan Africa,,2006,71.8633728027344
Sub-Saharan Africa,,2007,63.6407508850098
Sub-Saharan Africa,,2008,70.6232528686523
Sub-Saharan Africa,,2009,61.2848892211914
Sub-Saharan Africa,,2010,63.8813591003418
Sub-Saharan Africa,,2011,63.4956512451172
Sub-Saharan Africa,,2012,61.9991798400879
Sub-Saharan Africa,,2013,67.7283706665039
Sub-Saharan Africa (all income levels),,2006,71.862548828125
Sub-Saharan Africa (all income levels),,2007,63.6417388916016
Sub-Saharan Africa (all income levels),,2008,70.6217880249023
Sub-Saharan Africa (all income levels),,2009,61.2847213745117
Sub-Saharan Africa (all income levels),,2010,63.8805694580078
Sub-Saharan Africa (all income levels),,2011,63.4950981140137
Sub-Saharan Africa (all income levels),,2012,61.9985694885254
Sub-Saharan Africa (all income levels),,2013,67.7258605957031
Suriname,SUR,2008,100
Suriname,SUR,2009,100
Suriname,SUR,2013,3.82962989807129
Suriname,SUR,2014,13.8640098571777
Tajikistan,TJK,2003,93.9520263671875
Tonga,TON,1998,90.8450698852539
Trinidad and Tobago,TTO,1999,52.4118690490723
Trinidad and Tobago,TTO,2000,52.398868560791
Trinidad and Tobago,TTO,2001,55.3984184265137
Trinidad and Tobago,TTO,2002,57.3962783813477
Trinidad and Tobago,TTO,2003,58.0028495788574
Trinidad and Tobago,TTO,2007,42.1026802062988
Trinidad and Tobago,TTO,2009,40.3775405883789
Turks and Caicos Islands,TCA,1999,100
Turks and Caicos Islands,TCA,2001,100
Turks and Caicos Islands,TCA,2002,100
United Arab Emirates,ARE,1999,53.537281036377
United Arab Emirates,ARE,2000,51.4480781555176
United Arab Emirates,ARE,2001,53.7234001159668
United Arab Emirates,ARE,2002,53.313419342041
United Arab Emirates,ARE,2004,49.7719802856445
United Arab Emirates,ARE,2005,49.2477989196777
Vanuatu,VUT,2013,66.7458419799805
Vietnam,VNM,1999,86.190071105957
Vietnam,VNM,2000,86.3181381225586
Vietnam,VNM,2001,90.8401489257813
Vietnam,VNM,2002,91.1931381225586
Vietnam,VNM,2005,94.58984375
Vietnam,VNM,2006,97.4655914306641
Vietnam,VNM,2007,97.9888610839844
Vietnam,VNM,2008,98.2002105712891
Vietnam,VNM,2009,97.0823135375977
Vietnam,VNM,2010,99.0643768310547
Vietnam,VNM,2011,99.234748840332
Vietnam,VNM,2012,99.0771484375
Vietnam,VNM,2013,91.4541625976563
Vietnam,VNM,2014,100
Zambia,ZMB,1998,81.9571228027344
Zambia,ZMB,1999,94.1529769897461
Zambia,ZMB,2012,92.6537170410156
