Entity,Code,Year,Solar (terawatt-hours)
Algeria,DZA,2017,0.6815789412000001
Algeria,DZA,2018,0.26052631653
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.000044775500000000005
Argentina,ARG,1999,0.000023608899999999997
Argentina,ARG,2000,0.000026400099999999998
Argentina,ARG,2001,0.000018375400000000014
Argentina,ARG,2002,0.000010118100000000007
Argentina,ARG,2003,0.000047683
Argentina,ARG,2004,0.000012793000000000011
Argentina,ARG,2005,0.00002907499999999999
Argentina,ARG,2006,0.00002442299999999998
Argentina,ARG,2007,0.00004884600000000004
Argentina,ARG,2008,0.00009187700000000003
Argentina,ARG,2009,-0.0001779390000000001
Argentina,ARG,2010,0.000025585999999999995
Argentina,ARG,2011,0.004021747040000001
Argentina,ARG,2012,0.01726044353
Argentina,ARG,2013,0.01816081487
Argentina,ARG,2014,0.0022892724600000053
Argentina,ARG,2015,-0.0033184227900000043
Argentina,ARG,2016,-0.0010789499899999944
Argentina,ARG,2017,0.005642108419999993
Argentina,ARG,2018,0.24134612053
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.01434210437
Australia,AUS,1992,0.01749999827
Australia,AUS,1993,0.006578951439999994
Australia,AUS,1994,0.007368419100000002
Australia,AUS,1995,0.009868427159999998
Australia,AUS,1996,0.011710526120000009
Australia,AUS,1997,0.013289473069999988
Australia,AUS,1998,0.013026309430000008
Australia,AUS,1999,0.013157891250000012
Australia,AUS,2000,0.016184214959999985
Australia,AUS,2001,0.019473679050000012
Australia,AUS,2002,0.010921058459999994
Australia,AUS,2003,0.012894739240000008
Australia,AUS,2004,0.02565789666000004
Australia,AUS,2005,0.029210524389999937
Australia,AUS,2006,0.03539473036999999
Australia,AUS,2007,0.0427631611
Australia,AUS,2008,0.06697368100000001
Australia,AUS,2009,0.39747903335
Australia,AUS,2010,1.8089638107
Australia,AUS,2011,2.80762708425
Australia,AUS,2012,0.96698271161
Australia,AUS,2013,3.777368420230001
Australia,AUS,2014,2.9068421025299997
Australia,AUS,2015,2.6473684172999974
Australia,AUS,2016,3.991039478750002
Australia,AUS,2017,3.896092100599997
Australia,AUS,2018,8.22628684887001
Austria,AUT,1966,0
Austria,AUT,1967,0
Austria,AUT,1968,0
Austria,AUT,1969,0
Austria,AUT,1970,0
Austria,AUT,1971,0
Austria,AUT,1972,0
Austria,AUT,1973,0
Austria,AUT,1974,0
Austria,AUT,1975,0
Austria,AUT,1976,0
Austria,AUT,1977,0
Austria,AUT,1978,0
Austria,AUT,1979,0
Austria,AUT,1980,0
Austria,AUT,1981,0
Austria,AUT,1982,0
Austria,AUT,1983,0
Austria,AUT,1984,0
Austria,AUT,1985,0
Austria,AUT,1986,0
Austria,AUT,1987,0
Austria,AUT,1988,0
Austria,AUT,1989,0
Austria,AUT,1990,0
Austria,AUT,1991,0
Austria,AUT,1992,0
Austria,AUT,1993,0.00263157825
Austria,AUT,1994,0
Austria,AUT,1995,0
Austria,AUT,1996,0
Austria,AUT,1997,0.00263157825
Austria,AUT,1998,0
Austria,AUT,1999,0
Austria,AUT,2000,0.0026315782499999997
Austria,AUT,2001,0.005263156500000001
Austria,AUT,2002,0.010526324630000004
Austria,AUT,2003,0.0157894695
Austria,AUT,2004,0.00789473475
Austria,AUT,2005,0.007943092289999995
Austria,AUT,2006,0.0036013109099999954
Austria,AUT,2007,0.004872376870000007
Austria,AUT,2008,0.015477715720000007
Austria,AUT,2009,0.04945887773999999
Austria,AUT,2010,0.10499700071000001
Austria,AUT,2011,0.22436005196000006
Austria,AUT,2012,0.43003443878000003
Austria,AUT,2013,0.75918671041
Austria,AUT,2014,0.4191368496600001
Austria,AUT,2015,0.3996105216000001
Austria,AUT,2016,0.41820526339999997
Austria,AUT,2017,0.4551447368899999
Austria,AUT,2018,0.81492229915
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
Azerbaijan,AZE,1988,0
Azerbaijan,AZE,1989,0
Azerbaijan,AZE,1990,0
Azerbaijan,AZE,1991,0
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,0
Azerbaijan,AZE,1997,0
Azerbaijan,AZE,1998,0
Azerbaijan,AZE,1999,0
Azerbaijan,AZE,2000,0
Azerbaijan,AZE,2001,0
Azerbaijan,AZE,2002,0
Azerbaijan,AZE,2003,0
Azerbaijan,AZE,2004,0
Azerbaijan,AZE,2005,0
Azerbaijan,AZE,2006,0
Azerbaijan,AZE,2007,0
Azerbaijan,AZE,2008,0
Azerbaijan,AZE,2009,0
Azerbaijan,AZE,2010,0
Azerbaijan,AZE,2011,0
Azerbaijan,AZE,2012,0
Azerbaijan,AZE,2013,0.0021052626000000003
Azerbaijan,AZE,2014,0.00552632014
Azerbaijan,AZE,2015,0.004473677210000001
Azerbaijan,AZE,2016,0.08078948135
Azerbaijan,AZE,2017,0.0049999928599999965
Azerbaijan,AZE,2018,0.005421057010000022
Bangladesh,BGD,1966,0
Bangladesh,BGD,1967,0
Bangladesh,BGD,1968,0
Bangladesh,BGD,1969,0
Bangladesh,BGD,1970,0
Bangladesh,BGD,1971,0
Bangladesh,BGD,1972,0
Bangladesh,BGD,1973,0
Bangladesh,BGD,1974,0
Bangladesh,BGD,1975,0
Bangladesh,BGD,1976,0
Bangladesh,BGD,1977,0
Bangladesh,BGD,1978,0
Bangladesh,BGD,1979,0
Bangladesh,BGD,1980,0
Bangladesh,BGD,1981,0
Bangladesh,BGD,1982,0
Bangladesh,BGD,1983,0
Bangladesh,BGD,1984,0
Bangladesh,BGD,1985,0
Bangladesh,BGD,1986,0
Bangladesh,BGD,1987,0
Bangladesh,BGD,1988,0
Bangladesh,BGD,1989,0
Bangladesh,BGD,1990,0
Bangladesh,BGD,1991,0
Bangladesh,BGD,1992,0
Bangladesh,BGD,1993,0
Bangladesh,BGD,1994,0
Bangladesh,BGD,1995,0
Bangladesh,BGD,1996,0
Bangladesh,BGD,1997,0
Bangladesh,BGD,1998,0
Bangladesh,BGD,1999,0
Bangladesh,BGD,2000,0
Bangladesh,BGD,2001,0
Bangladesh,BGD,2002,0.00026283800000000005
Bangladesh,BGD,2003,0.00210558824
Bangladesh,BGD,2004,0.00263157825
Bangladesh,BGD,2005,0.00394736156
Bangladesh,BGD,2006,0.005263156500000001
Bangladesh,BGD,2007,0.009473693330000003
Bangladesh,BGD,2008,0.01631578514999999
Bangladesh,BGD,2009,0.026052630490000006
Bangladesh,BGD,2010,0.05052631402999999
Bangladesh,BGD,2011,0.03710527076999999
Bangladesh,BGD,2012,0.08552631057000001
Bangladesh,BGD,2013,0.10184210734999999
Bangladesh,BGD,2014,0.09999999676000004
Bangladesh,BGD,2015,0.09684210286000006
Bangladesh,BGD,2016,0.05236842461999991
Bangladesh,BGD,2017,0.10712016188000006
Bangladesh,BGD,2018,0.09000709371000004
Belarus,BLR,1986,0
Belarus,BLR,1987,0
Belarus,BLR,1988,0
Belarus,BLR,1989,0
Belarus,BLR,1990,0
Belarus,BLR,1991,0
Belarus,BLR,1992,0
Belarus,BLR,1993,0
Belarus,BLR,1994,0
Belarus,BLR,1995,0
Belarus,BLR,1996,0
Belarus,BLR,1997,0
Belarus,BLR,1998,0
Belarus,BLR,1999,0
Belarus,BLR,2000,0
Belarus,BLR,2001,0
Belarus,BLR,2002,0
Belarus,BLR,2003,0
Belarus,BLR,2004,0
Belarus,BLR,2005,0
Belarus,BLR,2006,0
Belarus,BLR,2007,0
Belarus,BLR,2008,0
Belarus,BLR,2009,0
Belarus,BLR,2010,0
Belarus,BLR,2011,0
Belarus,BLR,2012,0
Belarus,BLR,2013,0.0010525150000000002
Belarus,BLR,2014,0.0042106415
Belarus,BLR,2015,0.018421059380000004
Belarus,BLR,2016,0.044736841879999996
Belarus,BLR,2017,0.16578946464
Belarus,BLR,2018,0.11969991420000003
Belgium,BEL,1966,0
Belgium,BEL,1967,0
Belgium,BEL,1968,0
Belgium,BEL,1969,0
Belgium,BEL,1970,0
Belgium,BEL,1971,0
Belgium,BEL,1972,0
Belgium,BEL,1973,0
Belgium,BEL,1974,0
Belgium,BEL,1975,0
Belgium,BEL,1976,0
Belgium,BEL,1977,0
Belgium,BEL,1978,0
Belgium,BEL,1979,0
Belgium,BEL,1980,0
Belgium,BEL,1981,0
Belgium,BEL,1982,0
Belgium,BEL,1983,0
Belgium,BEL,1984,0
Belgium,BEL,1985,0
Belgium,BEL,1986,0
Belgium,BEL,1987,0
Belgium,BEL,1988,0
Belgium,BEL,1989,0
Belgium,BEL,1990,0
Belgium,BEL,1991,0
Belgium,BEL,1992,0
Belgium,BEL,1993,0
Belgium,BEL,1994,0
Belgium,BEL,1995,0
Belgium,BEL,1996,0
Belgium,BEL,1997,0
Belgium,BEL,1998,0
Belgium,BEL,1999,0
Belgium,BEL,2000,0
Belgium,BEL,2001,0
Belgium,BEL,2002,0
Belgium,BEL,2003,0
Belgium,BEL,2004,0.00263157825
Belgium,BEL,2005,0
Belgium,BEL,2006,0.00263157825
Belgium,BEL,2007,0.010526312999999999
Belgium,BEL,2008,0.09473685189
Belgium,BEL,2009,0.32631578441
Belgium,BEL,2010,1.03684210962
Belgium,BEL,2011,1.6026315729300005
Belgium,BEL,2012,2.57631579292
Belgium,BEL,2013,1.3052631609
Belgium,BEL,2014,0.6289473645699992
Belgium,BEL,2015,0.4473684188000009
Belgium,BEL,2016,0.10263157501000109
Belgium,BEL,2017,0.5147368452599999
Belgium,BEL,2018,1.8003269074999988
Brazil,BRA,1966,0
Brazil,BRA,1967,0
Brazil,BRA,1968,0
Brazil,BRA,1969,0
Brazil,BRA,1970,0
Brazil,BRA,1971,0
Brazil,BRA,1972,0
Brazil,BRA,1973,0
Brazil,BRA,1974,0
Brazil,BRA,1975,0
Brazil,BRA,1976,0
Brazil,BRA,1977,0
Brazil,BRA,1978,0
Brazil,BRA,1979,0
Brazil,BRA,1980,0
Brazil,BRA,1981,0
Brazil,BRA,1982,0
Brazil,BRA,1983,0
Brazil,BRA,1984,0
Brazil,BRA,1985,0
Brazil,BRA,1986,0
Brazil,BRA,1987,0
Brazil,BRA,1988,0
Brazil,BRA,1989,0
Brazil,BRA,1990,0
Brazil,BRA,1991,0
Brazil,BRA,1992,0
Brazil,BRA,1993,0
Brazil,BRA,1994,0
Brazil,BRA,1995,0
Brazil,BRA,1996,0
Brazil,BRA,1997,0
Brazil,BRA,1998,0
Brazil,BRA,1999,0
Brazil,BRA,2000,0
Brazil,BRA,2001,0
Brazil,BRA,2002,0
Brazil,BRA,2003,0
Brazil,BRA,2004,0
Brazil,BRA,2005,0
Brazil,BRA,2006,0
Brazil,BRA,2007,0
Brazil,BRA,2008,0
Brazil,BRA,2009,0
Brazil,BRA,2010,0
Brazil,BRA,2011,0
Brazil,BRA,2012,0.0025789525
Brazil,BRA,2013,0.010035759600000001
Brazil,BRA,2014,0.02970582283
Brazil,BRA,2015,0.11272528690000001
Brazil,BRA,2016,0.06932415051999999
Brazil,BRA,2017,1.9646126596600002
Brazil,BRA,2018,6.066486852510002
Bulgaria,BGR,1966,0
Bulgaria,BGR,1967,0
Bulgaria,BGR,1968,0
Bulgaria,BGR,1969,0
Bulgaria,BGR,1970,0
Bulgaria,BGR,1971,0
Bulgaria,BGR,1972,0
Bulgaria,BGR,1973,0
Bulgaria,BGR,1974,0
Bulgaria,BGR,1975,0
Bulgaria,BGR,1976,0
Bulgaria,BGR,1977,0
Bulgaria,BGR,1978,0
Bulgaria,BGR,1979,0
Bulgaria,BGR,1980,0
Bulgaria,BGR,1981,0
Bulgaria,BGR,1982,0
Bulgaria,BGR,1983,0
Bulgaria,BGR,1984,0
Bulgaria,BGR,1985,0
Bulgaria,BGR,1986,0
Bulgaria,BGR,1987,0
Bulgaria,BGR,1988,0
Bulgaria,BGR,1989,0
Bulgaria,BGR,1990,0
Bulgaria,BGR,1991,0
Bulgaria,BGR,1992,0
Bulgaria,BGR,1993,0
Bulgaria,BGR,1994,0
Bulgaria,BGR,1995,0
Bulgaria,BGR,1996,0
Bulgaria,BGR,1997,0
Bulgaria,BGR,1998,0
Bulgaria,BGR,1999,0
Bulgaria,BGR,2000,0
Bulgaria,BGR,2001,0
Bulgaria,BGR,2002,0
Bulgaria,BGR,2003,0
Bulgaria,BGR,2004,0
Bulgaria,BGR,2005,0
Bulgaria,BGR,2006,0
Bulgaria,BGR,2007,0
Bulgaria,BGR,2008,0
Bulgaria,BGR,2009,0.00789473475
Bulgaria,BGR,2010,0.031578950630000005
Bulgaria,BGR,2011,0.22631578765
Bulgaria,BGR,2012,1.8763157923400002
Bulgaria,BGR,2013,1.4394736865400004
Bulgaria,BGR,2014,-0.2868421106600003
Bulgaria,BGR,2015,0.34473684379000025
Bulgaria,BGR,2016,0.007894734749999799
Bulgaria,BGR,2017,0.04464474391000017
Bulgaria,BGR,2018,-0.7879635986200002
Canada,CAN,1966,0
Canada,CAN,1967,0
Canada,CAN,1968,0
Canada,CAN,1969,0
Canada,CAN,1970,0
Canada,CAN,1971,0
Canada,CAN,1972,0
Canada,CAN,1973,0
Canada,CAN,1974,0
Canada,CAN,1975,0
Canada,CAN,1976,0
Canada,CAN,1977,0
Canada,CAN,1978,0
Canada,CAN,1979,0
Canada,CAN,1980,0
Canada,CAN,1981,0
Canada,CAN,1982,0
Canada,CAN,1983,0
Canada,CAN,1984,0
Canada,CAN,1985,0
Canada,CAN,1986,0
Canada,CAN,1987,0
Canada,CAN,1988,0
Canada,CAN,1989,0
Canada,CAN,1990,0
Canada,CAN,1991,0
Canada,CAN,1992,0.00540165817
Canada,CAN,1993,0
Canada,CAN,1994,0
Canada,CAN,1995,0.0047091498199999995
Canada,CAN,1996,0.005401658170000002
Canada,CAN,1997,0.0027700799200000015
Canada,CAN,1998,0.008310251389999999
Canada,CAN,1999,0.008310251390000006
Canada,CAN,2000,0.008310251389999995
Canada,CAN,2001,0.008310239760000004
Canada,CAN,2002,0.008310251389999995
Canada,CAN,2003,0.00013851330000000384
Canada,CAN,2004,-0.022437677590000003
Canada,CAN,2005,0.011080331310000004
Canada,CAN,2006,0.011080331309999997
Canada,CAN,2007,0.016482001110000005
Canada,CAN,2008,0.017036007789999988
Canada,CAN,2009,0.19441827969000003
Canada,CAN,2010,0.38131578728
Canada,CAN,2011,0.83526315752
Canada,CAN,2012,0.8142105315200003
Canada,CAN,2013,1.6257894731599998
Canada,CAN,2014,1.634210523560001
Canada,CAN,2015,2.0400000060099996
Canada,CAN,2016,0.35872141870000007
Canada,CAN,2017,0.6865390780500009
Canada,CAN,2018,0.6685576559299982
Chile,CHL,1966,0
Chile,CHL,1967,0
Chile,CHL,1968,0
Chile,CHL,1969,0
Chile,CHL,1970,0
Chile,CHL,1971,0
Chile,CHL,1972,0
Chile,CHL,1973,0
Chile,CHL,1974,0
Chile,CHL,1975,0
Chile,CHL,1976,0
Chile,CHL,1977,0
Chile,CHL,1978,0
Chile,CHL,1979,0
Chile,CHL,1980,0
Chile,CHL,1981,0
Chile,CHL,1982,0
Chile,CHL,1983,0
Chile,CHL,1984,0
Chile,CHL,1985,0
Chile,CHL,1986,0
Chile,CHL,1987,0
Chile,CHL,1988,0
Chile,CHL,1989,0
Chile,CHL,1990,0
Chile,CHL,1991,0
Chile,CHL,1992,0
Chile,CHL,1993,0
Chile,CHL,1994,0
Chile,CHL,1995,0
Chile,CHL,1996,0
Chile,CHL,1997,0
Chile,CHL,1998,0
Chile,CHL,1999,0
Chile,CHL,2000,0
Chile,CHL,2001,0
Chile,CHL,2002,0
Chile,CHL,2003,0
Chile,CHL,2004,0
Chile,CHL,2005,0
Chile,CHL,2006,0
Chile,CHL,2007,0
Chile,CHL,2008,0
Chile,CHL,2009,0
Chile,CHL,2010,0
Chile,CHL,2011,0
Chile,CHL,2012,0.0008955100000000001
Chile,CHL,2013,0.016884910830000002
Chile,CHL,2014,1.2704869255600002
Chile,CHL,2015,2.0303837637699997
Chile,CHL,2016,3.6256626064699997
Chile,CHL,2017,3.3081818539400016
Chile,CHL,2018,3.21782240612
China,CHN,1966,0
China,CHN,1967,0
China,CHN,1968,0
China,CHN,1969,0
China,CHN,1970,0
China,CHN,1971,0
China,CHN,1972,0
China,CHN,1973,0
China,CHN,1974,0
China,CHN,1975,0
China,CHN,1976,0
China,CHN,1977,0
China,CHN,1978,0
China,CHN,1979,0
China,CHN,1980,0
China,CHN,1981,0
China,CHN,1982,0
China,CHN,1983,0
China,CHN,1984,0
China,CHN,1985,0
China,CHN,1986,0
China,CHN,1987,0
China,CHN,1988,0
China,CHN,1989,0
China,CHN,1990,0.0052631565
China,CHN,1991,0
China,CHN,1992,0.0026315782499999997
China,CHN,1993,0.0026315782500000006
China,CHN,1994,0.0026315782500000006
China,CHN,1995,0.005263156499999998
China,CHN,1996,0.005263168130000006
China,CHN,1997,0.005263156499999998
China,CHN,1998,0.00789473475
China,CHN,1999,0.00789473475
China,CHN,2000,0.013157891249999998
China,CHN,2001,0.023684215879999998
China,CHN,2002,0.04473684188
China,CHN,2003,0.04210526363
China,CHN,2004,0.03157895062999999
China,CHN,2005,0.02105262600000002
China,CHN,2006,0.028947372380000003
China,CHN,2007,0.04999999838000002
China,CHN,2008,0.09999999675999999
China,CHN,2009,0.33421053079000007
China,CHN,2010,1.11052631225
China,CHN,2011,5.023684216700001
China,CHN,2012,2.5908155186800004
China,CHN,2013,12.577306845010002
China,CHN,2014,39.83755300392
China,CHN,2015,52.75748252154001
China,CHN,2016,47.70000001294001
China,CHN,2017,147.6684209973
China,CHN,2018,157.1052631604
Colombia,COL,1966,0
Colombia,COL,1967,0
Colombia,COL,1968,0
Colombia,COL,1969,0
Colombia,COL,1970,0
Colombia,COL,1971,0
Colombia,COL,1972,0
Colombia,COL,1973,0
Colombia,COL,1974,0
Colombia,COL,1975,0
Colombia,COL,1976,0
Colombia,COL,1977,0
Colombia,COL,1978,0
Colombia,COL,1979,0
Colombia,COL,1980,0
Colombia,COL,1981,0
Colombia,COL,1982,0
Colombia,COL,1983,0
Colombia,COL,1984,0
Colombia,COL,1985,0
Colombia,COL,1986,0
Colombia,COL,1987,0
Colombia,COL,1988,0
Colombia,COL,1989,0
Colombia,COL,1990,0
Colombia,COL,1991,0
Colombia,COL,1992,0
Colombia,COL,1993,0
Colombia,COL,1994,0
Colombia,COL,1995,0
Colombia,COL,1996,0
Colombia,COL,1997,0
Colombia,COL,1998,0
Colombia,COL,1999,0
Colombia,COL,2000,0.00482898534
Colombia,COL,2001,0.0021940460199999998
Colombia,COL,2002,0.0052171017
Colombia,COL,2003,0.004615132900000001
Colombia,COL,2004,0.0040703255500000035
Colombia,COL,2005,0.004156643409999997
Colombia,COL,2006,-0.02508223492
Colombia,COL,2007,0
Colombia,COL,2008,0
Colombia,COL,2009,0
Colombia,COL,2010,0
Colombia,COL,2011,0
Colombia,COL,2012,0
Colombia,COL,2013,0
Colombia,COL,2014,0
Colombia,COL,2015,0
Colombia,COL,2016,0
Colombia,COL,2017,0
Colombia,COL,2018,0.031578473800000006
Croatia,HRV,1991,0
Croatia,HRV,1992,0
Croatia,HRV,1993,0
Croatia,HRV,1994,0
Croatia,HRV,1995,0
Croatia,HRV,1996,0
Croatia,HRV,1997,0
Croatia,HRV,1998,0
Croatia,HRV,1999,0
Croatia,HRV,2000,0
Croatia,HRV,2001,0
Croatia,HRV,2002,0
Croatia,HRV,2003,0
Croatia,HRV,2004,0
Croatia,HRV,2005,0
Croatia,HRV,2006,0
Croatia,HRV,2007,0
Croatia,HRV,2008,0
Croatia,HRV,2009,0.0000433799
Croatia,HRV,2010,0
Croatia,HRV,2011,0
Croatia,HRV,2012,0.0052197766
Croatia,HRV,2013,0.024457785330000002
Croatia,HRV,2014,0.06238432018000001
Croatia,HRV,2015,0.05789473313
Croatia,HRV,2016,0.023684215879999998
Croatia,HRV,2017,0.033421049589999974
Croatia,HRV,2018,-0.013442977440000003
Cyprus,CYP,1966,0
Cyprus,CYP,1967,0
Cyprus,CYP,1968,0
Cyprus,CYP,1969,0
Cyprus,CYP,1970,0
Cyprus,CYP,1971,0
Cyprus,CYP,1972,0
Cyprus,CYP,1973,0
Cyprus,CYP,1974,0
Cyprus,CYP,1975,0
Cyprus,CYP,1976,0
Cyprus,CYP,1977,0
Cyprus,CYP,1978,0
Cyprus,CYP,1979,0
Cyprus,CYP,1980,0
Cyprus,CYP,1981,0
Cyprus,CYP,1982,0
Cyprus,CYP,1983,0
Cyprus,CYP,1984,0
Cyprus,CYP,1985,0
Cyprus,CYP,1986,0
Cyprus,CYP,1987,0
Cyprus,CYP,1988,0
Cyprus,CYP,1989,0
Cyprus,CYP,1990,0
Cyprus,CYP,1991,0
Cyprus,CYP,1992,0
Cyprus,CYP,1993,0
Cyprus,CYP,1994,0
Cyprus,CYP,1995,0
Cyprus,CYP,1996,0
Cyprus,CYP,1997,0
Cyprus,CYP,1998,0
Cyprus,CYP,1999,0
Cyprus,CYP,2000,0
Cyprus,CYP,2001,0
Cyprus,CYP,2002,0
Cyprus,CYP,2003,0
Cyprus,CYP,2004,0.0010525150000000002
Cyprus,CYP,2005,0.00043696236
Cyprus,CYP,2006,0.0011473692799999998
Cyprus,CYP,2007,0.00192368341
Cyprus,CYP,2008,0.0033342047
Cyprus,CYP,2009,0.0026315782500000006
Cyprus,CYP,2010,0.007894734749999998
Cyprus,CYP,2011,0.013157902879999999
Cyprus,CYP,2012,0.026315782500000003
Cyprus,CYP,2013,0.06578947951000001
Cyprus,CYP,2014,0.09631578721
Cyprus,CYP,2015,0.11331316013999998
Cyprus,CYP,2016,0.050731571899999994
Cyprus,CYP,2017,0.0686394807900001
Cyprus,CYP,2018,0.05213157966999998
Czech Republic,CZE,1966,0
Czech Republic,CZE,1967,0
Czech Republic,CZE,1968,0
Czech Republic,CZE,1969,0
Czech Republic,CZE,1970,0
Czech Republic,CZE,1971,0
Czech Republic,CZE,1972,0
Czech Republic,CZE,1973,0
Czech Republic,CZE,1974,0
Czech Republic,CZE,1975,0
Czech Republic,CZE,1976,0
Czech Republic,CZE,1977,0
Czech Republic,CZE,1978,0
Czech Republic,CZE,1979,0
Czech Republic,CZE,1980,0
Czech Republic,CZE,1981,0
Czech Republic,CZE,1982,0
Czech Republic,CZE,1983,0
Czech Republic,CZE,1984,0
Czech Republic,CZE,1985,0
Czech Republic,CZE,1986,0
Czech Republic,CZE,1987,0
Czech Republic,CZE,1988,0
Czech Republic,CZE,1989,0
Czech Republic,CZE,1990,0
Czech Republic,CZE,1991,0
Czech Republic,CZE,1992,0
Czech Republic,CZE,1993,0
Czech Republic,CZE,1994,0
Czech Republic,CZE,1995,0
Czech Republic,CZE,1996,0
Czech Republic,CZE,1997,0
Czech Republic,CZE,1998,0
Czech Republic,CZE,1999,0
Czech Republic,CZE,2000,0
Czech Republic,CZE,2001,0
Czech Republic,CZE,2002,0
Czech Republic,CZE,2003,0
Czech Republic,CZE,2004,0.00026283800000000005
Czech Republic,CZE,2005,-0.00008373600000000005
Czech Republic,CZE,2006,0.00026865300000000004
Czech Republic,CZE,2007,0.00416802918
Czech Republic,CZE,2008,0.029428947420000004
Czech Republic,CZE,2009,0.19965789706999998
Czech Republic,CZE,2010,1.3865657927400001
Czech Republic,CZE,2011,3.9534157891000006
Czech Republic,CZE,2012,0.14500000227999887
Czech Republic,CZE,2013,-0.27078947751999927
Czech Republic,CZE,2014,0.13868421448000046
