Entity,Code,Year,"Annual freshwater withdrawals, domestic (% of total freshwater withdrawal) (% of total freshwater withdrawal)"
Latvia,LVA,2012,62.68
Latvia,LVA,2013,64.29
Least developed countries: UN classification,,2015,25.25
Lebanon,LBN,1975,11.05
Lebanon,LBN,1994,28.46
Lebanon,LBN,2000,30.29
Lebanon,LBN,2005,29.01
Lesotho,LSO,1987,22
Lesotho,LSO,2000,45.66
Liberia,LBR,1987,27
Liberia,LBR,2000,54.36
Libya,LBY,1985,12.62
Libya,LBY,1990,8.613
Libya,LBY,1994,10.87
Libya,LBY,2000,14.1
Libya,LBY,2012,12.01
Lithuania,LTU,1995,4.71
Lithuania,LTU,2001,6.214
Lithuania,LTU,2011,23.74
Low & middle income,,2014,85.11
Low & middle income,,2015,13.5029184306374
Low income,,2015,25.25
Luxembourg,LUX,1995,74.34
Luxembourg,LUX,1999,76.2
Luxembourg,LUX,2012,91.24
Luxembourg,LUX,2013,94.66
Macedonia,MKD,1996,13.83
Macedonia,MKD,2002,33.5
Macedonia,MKD,2007,41.07
Madagascar,MDG,1984,1
Madagascar,MDG,2000,1.786
Madagascar,MDG,2006,2.913
Malawi,MWI,1994,10.15
Malawi,MWI,2002,9.026
Malawi,MWI,2005,10.55
Malaysia,MYS,1990,8.083
Malaysia,MYS,1996,24.45
Malaysia,MYS,2000,32.81
Malaysia,MYS,2005,34.84
Maldives,MDV,1987,97.06
Maldives,MDV,2008,94.92
Mali,MLI,1987,1.985
Mali,MLI,2006,2.063
Malta,MLT,1995,87.5
Malta,MLT,2002,63.94
Malta,MLT,2007,61.76
Malta,MLT,2012,37.09
Malta,MLT,2013,33.77
Mauritania,MRT,1980,12.05
Mauritania,MRT,2000,4.741
Mauritania,MRT,2005,7.067
Mauritius,MUS,1975,16.22
Mauritius,MUS,1995,17.56
Mauritius,MUS,2003,29.52
Mexico,MEX,2002,13.22
Mexico,MEX,2007,14.14
Mexico,MEX,2012,14.48
Mexico,MEX,2015,14.57
Middle East & North Africa,,2015,44.47
Middle East & North Africa (IDA & IBRD),,2015,44.47
Middle East & North Africa (excluding high income),,2015,44.47
Middle income,,2014,85.11
Middle income,,2015,13.4778360577794
Moldova,MDA,1992,13.7
Moldova,MDA,2007,13.71
Monaco,MCO,1990,100
Monaco,MCO,1997,100
Monaco,MCO,2002,100
Monaco,MCO,2007,100
Monaco,MCO,2009,100
Mongolia,MNG,1993,19.86
Mongolia,MNG,2006,18.15
Mongolia,MNG,2009,12.89
Montenegro,MNE,2010,59.91
Morocco,MAR,1992,4.918
Morocco,MAR,2002,20.24
Morocco,MAR,2010,10.19
Mozambique,MOZ,1990,8.76
Mozambique,MOZ,2001,19.22
Mozambique,MOZ,2015,25.25
Myanmar,MMR,1987,0.9809
Myanmar,MMR,2000,10
Namibia,NAM,1991,28.51
Namibia,NAM,1995,26.01
Namibia,NAM,2002,25.35
Nepal,NPL,2000,2.114
Nepal,NPL,2006,1.554
Netherlands,NLD,1991,16.03
Netherlands,NLD,1996,19.47
Netherlands,NLD,2002,14.62
Netherlands,NLD,2007,11.4
Netherlands,NLD,2012,11.35
New Zealand,NZL,1985,46
New Zealand,NZL,2000,19.75
New Zealand,NZL,2006,23.41
New Zealand,NZL,2010,15.57
Nicaragua,NIC,2001,13.04
Nicaragua,NIC,2011,18.51
Niger,NER,1988,16
Niger,NER,2005,29.93
Nigeria,NGA,1987,20.13
Nigeria,NGA,2000,31.45
Nigeria,NGA,2005,35.43
Nigeria,NGA,2010,40.1
North Korea,PRK,2005,10.43
Norway,NOR,1996,32.27
Norway,NOR,2002,33.68
Norway,NOR,2007,31.34
OECD members,,2014,3.488
OECD members,,2015,16.0021239397342
Oman,OMN,1991,4.579
Oman,OMN,2000,7.353
Oman,OMN,2003,10.14
Other small states,,2014,3.488
Other small states,,2015,28.75
Pakistan,PAK,1975,1
Pakistan,PAK,1991,1.607
Pakistan,PAK,2000,3.702
Pakistan,PAK,2008,5.259
Palestine,PSE,2001,36.34
Palestine,PSE,2005,47.85
Panama,PAN,2010,56.03
Papua New Guinea,PNG,2000,56.93
Papua New Guinea,PNG,2005,57
Paraguay,PRY,1987,15
Paraguay,PRY,2000,20.41
Paraguay,PRY,2012,15
Peru,PER,2008,9.18
Philippines,PHL,2006,7.412
Philippines,PHL,2009,7.645
Poland,POL,1992,21.21
Poland,POL,1997,17.91
Portugal,PRT,1991,4.651
Portugal,PRT,1998,7.828
Portugal,PRT,2007,10.67
Post-demographic dividend,,2015,21.317388896333
Pre-demographic dividend,,2015,25.25
Puerto Rico,PRI,1990,13.51
Puerto Rico,PRI,2000,18.29
Puerto Rico,PRI,2005,21.71
Puerto Rico,PRI,2010,22.6
Qatar,QAT,1975,23.33
Qatar,QAT,1994,23.13
Qatar,QAT,2000,23.82
Qatar,QAT,2005,39.19
Romania,ROU,1970,15.33
Romania,ROU,1975,13.89
Romania,ROU,1980,11.7
Romania,ROU,1985,13.02
Romania,ROU,1990,11.02
Romania,ROU,1997,16.45
Romania,ROU,2002,20.17
Romania,ROU,2012,16.24
Romania,ROU,2013,15.27
Russia,RUS,1994,18.55
Russia,RUS,2001,20.24
Rwanda,RWA,2000,24
Saint Kitts and Nevis,KNA,2012,98.72
Saint Lucia,LCA,2007,29.14
Saint Vincent and the Grenadines,VCT,2013,100
Saudi Arabia,SAU,1992,8.913
Saudi Arabia,SAU,2006,8.999
Senegal,SEN,1987,5
Senegal,SEN,2002,4.412
Seychelles,SYC,1989,83.19
Seychelles,SYC,2005,65.69
Sierra Leone,SLE,1987,7.027
Sierra Leone,SLE,2000,50.56
Sierra Leone,SLE,2005,52.31
Singapore,SGP,1975,45
Slovakia,SVK,1997,36.79
Slovakia,SVK,2002,38.02
Slovakia,SVK,2007,52.11
Slovakia,SVK,2012,45.96
Slovenia,SVN,2002,20.81
Slovenia,SVN,2007,17.91
Slovenia,SVN,2012,17.42
Slovenia,SVN,2013,14.19
Small states,,2014,4.15167003056341
Small states,,2015,28.75
Somalia,SOM,1987,2.963
Somalia,SOM,2000,0.304
Somalia,SOM,2003,0.4548
South Africa,ZAF,1990,17.14
South Africa,ZAF,1995,23.97
South Africa,ZAF,2000,30.52
South Africa,ZAF,2013,27
South Korea,KOR,1990,21.73
South Korea,KOR,1997,27
South Korea,KOR,2002,29.54
South Korea,KOR,2005,23.71
South Sudan,SSD,2011,29.33
Spain,ESP,1986,12
Spain,ESP,1991,18.43
Spain,ESP,1997,13.03
Spain,ESP,2002,15.16
Spain,ESP,2007,16.58
Spain,ESP,2012,14.21
Sri Lanka,LKA,1990,1.996
Sri Lanka,LKA,2000,3.82
Sri Lanka,LKA,2005,6.216
Sub-Saharan Africa,,2015,25.25
Sub-Saharan Africa (IDA & IBRD),,2015,25.25
Sub-Saharan Africa (excluding high income),,2015,25.25
Sudan,SDN,2011,3.528
Suriname,SUR,1987,6.087
Suriname,SUR,2000,4.478
Suriname,SUR,2006,8.005
Swaziland,SWZ,1980,1.674
Swaziland,SWZ,2000,2.303
Sweden,SWE,1970,24.09
Sweden,SWE,1975,25.1
Sweden,SWE,1980,24.5
Sweden,SWE,1992,34.17
Sweden,SWE,1997,38.8
Sweden,SWE,2002,38.79
Sweden,SWE,2007,38.02
Sweden,SWE,2010,37.9
Switzerland,CHE,1975,43.46
Switzerland,CHE,1980,42.6
Switzerland,CHE,1985,43.2
Switzerland,CHE,1992,44.23
Switzerland,CHE,1997,41.27
Switzerland,CHE,2002,42.45
Switzerland,CHE,2012,59.95
Syrian Arab Republic,,1997,8.101
Syrian Arab Republic,,2002,8.435
Syrian Arab Republic,,2005,8.801
Tajikistan,TJK,1994,3.471
Tajikistan,TJK,2000,3.679
Tajikistan,TJK,2006,5.631
Tanzania,TZA,2002,10.17
Thailand,THA,2007,4.779
Timor,TLS,2004,8.447
Togo,TGO,1987,61.54
Togo,TGO,2002,52.66
Trinidad and Tobago,TTO,1997,63.16
Trinidad and Tobago,TTO,2000,63.06
Trinidad and Tobago,TTO,2005,62.03
Trinidad and Tobago,TTO,2011,62
Tunisia,TUN,1990,8.488
Tunisia,TUN,1995,10.96
Tunisia,TUN,2001,12.81
Tunisia,TUN,2011,15.01
Turkey,TUR,1992,16.46
Turkey,TUR,2000,15.24
Turkey,TUR,2003,15.46
Turkmenistan,TKM,1994,1.468
Turkmenistan,TKM,2000,2.397
Turkmenistan,TKM,2004,2.701
Uganda,UGA,1970,32
Uganda,UGA,2002,47.7
Uganda,UGA,2008,51.49
Ukraine,UKR,1992,17.83
Ukraine,UKR,2000,18.11
Ukraine,UKR,2005,22
Ukraine,UKR,2010,21.99
United Arab Emirates,ARE,1980,11
United Arab Emirates,ARE,1995,23.72
United Arab Emirates,ARE,2000,17.69
United Arab Emirates,ARE,2005,15.43
United Kingdom,GBR,1980,51.63
United Kingdom,GBR,1985,61.95
United Kingdom,GBR,2002,46.25
United Kingdom,GBR,2007,70.36
United Kingdom,GBR,2012,71.41
United States,USA,1990,10.85
United States,USA,2000,11.44
United States,USA,2005,11.64
United States,USA,2010,12.79
Upper middle income,,2014,85.11
Upper middle income,,2015,13.4778360577794
Uruguay,URY,1965,6
Uruguay,URY,2000,11.2
Uzbekistan,UZB,1994,4.448
Uzbekistan,UZB,2001,5.695
Uzbekistan,UZB,2005,7.321
Venezuela,VEN,1970,43
Venezuela,VEN,2000,48.67
Venezuela,VEN,2007,22.64
Vietnam,VNM,1980,3.487
Vietnam,VNM,1985,3.866
Vietnam,VNM,2005,1.47
World,OWID_WRL,2014,4.15167003056341
World,OWID_WRL,2015,13.7362096205082
Yemen,YEM,1990,6.855
Yemen,YEM,2000,8
Yemen,YEM,2005,7.433
Zambia,ZMB,1992,17.23
Zambia,ZMB,1994,15.83
Zambia,ZMB,2002,18.45
Zimbabwe,ZWE,1987,14.02
Zimbabwe,ZWE,2002,14.01
Zimbabwe,ZWE,2007,11.9
