Entity,Code,Year,Genuine saving ($),GSTFP ($),Net investment ($),Green investment ($)
Argentina,ARG,1962,315.61,795.23,329.42,285
Argentina,ARG,1963,197.57,630.67,207.28,167.3
Argentina,ARG,1964,173.46,675.83,179.84,139.97
Argentina,ARG,1965,199.04,769.74,198.03,162.27
Argentina,ARG,1966,203.29,752.89,202.66,166.57
Argentina,ARG,1967,210.19,761.82,211.25,172.6
Argentina,ARG,1968,233.91,803.74,233.87,193.79
Argentina,ARG,1969,260.34,894.86,275.95,235.49
Argentina,ARG,1970,313.57,978.83,323.79,284.02
Argentina,ARG,1971,334.4,1012.03,341.45,288.86
Argentina,ARG,1972,358.15,1024.86,386.09,333.73
Argentina,ARG,1973,300.97,992.26,330.14,280.52
Argentina,ARG,1974,283.6,1016.7,354.28,261.16
Argentina,ARG,1975,374.88,1060.85,425.95,336.76
Argentina,ARG,1976,424.01,1070.06,505.09,408.5
Argentina,ARG,1977,417.27,1097.62,495.62,390.23
Argentina,ARG,1978,355.35,948.08,436.92,333.13
Argentina,ARG,1979,319.57,963.79,448.36,298.64
Argentina,ARG,1980,277.53,893.67,447.79,260.18
Argentina,ARG,1981,191.1,719.72,342.34,173.68
Argentina,ARG,1982,65,540.99,187.64,37.29
Argentina,ARG,1983,51.24,545.85,163.5,23.9
Argentina,ARG,1984,134.08,630.4,229.56,103.54
Argentina,ARG,1985,10.76,427.41,100.2,-11.67
Argentina,ARG,1986,34.45,498.56,75.35,12.18
Argentina,ARG,1987,61.73,531.92,110.62,39.56
Argentina,ARG,1988,68.29,504.77,110.14,47.46
Argentina,ARG,1989,24.7,394.34,79.03,7.65
Argentina,ARG,1990,-28.24,326.97,35.61,-44.96
Argentina,ARG,1991,5.31,423.95,41.25,-31.87
Argentina,ARG,1992,79.1,554.61,91.56,18.44
Argentina,ARG,1993,123.7,629.06,122,57.22
Argentina,ARG,1994,82.29,616.47,79.12,2.32
Argentina,ARG,1995,70.4,547.35,86.45,-0.02
Argentina,ARG,1996,47.75,562.74,99.28,-26.02
Argentina,ARG,1997,105.02,661.68,145.85,33.46
Argentina,ARG,1998,152.31,729.4,145.92,58.19
Argentina,ARG,1999,220.24,735.57,233.04,124.88
Argentina,ARG,2000,26.34,525.72,87.1,-73.06
Australia,AUS,1900,-208.56,742.03,33.49,-247.06
Australia,AUS,1901,-119.4,806.15,118.64,-157.34
Australia,AUS,1902,68.12,1086.06,304.38,26.47
Australia,AUS,1903,-134.01,804.3,135.86,-174.45
Australia,AUS,1904,402.08,1448.29,683.81,359.23
Australia,AUS,1905,189.5,1201.81,487.81,147.09
Australia,AUS,1906,340.43,1393.6,657.6,299.18
Australia,AUS,1907,580.66,1765.37,922.08,538.43
Australia,AUS,1908,228.49,1283.95,467.68,187.43
Australia,AUS,1909,425.14,1496.63,628.89,384.48
Australia,AUS,1910,663.81,1767.18,849.93,622.5
Australia,AUS,1911,494.36,1642.56,672.06,452.07
Australia,AUS,1912,240.71,1281.19,416.38,198.26
Australia,AUS,1913,581.25,1654.8,749.91,536.03
Australia,AUS,1914,583.43,1617.35,698.82,538.47
Australia,AUS,1915,-254.42,631.05,-140.73,-296.22
Australia,AUS,1916,68.09,1053.79,187.87,26.29
Australia,AUS,1917,291.53,1226.79,423.52,250.79
Australia,AUS,1918,290.25,1196.22,416.13,250.06
Australia,AUS,1919,299.64,1202.99,353.72,260.21
Australia,AUS,1920,306.89,1154.19,353.62,260.69
Australia,AUS,1921,700.32,1648.05,712.91,638.35
Australia,AUS,1922,751.39,1734.96,768.17,690.47
Australia,AUS,1923,473.67,1490.41,499.48,420.99
Australia,AUS,1924,395.82,1454.26,433.75,342.52
Australia,AUS,1925,793.09,1916.8,820.97,740.57
Australia,AUS,1926,282.33,1354.49,308.4,228.13
Australia,AUS,1927,266.31,1363.06,285.38,210.08
Australia,AUS,1928,326.96,1390.48,328.52,269.28
Australia,AUS,1929,313.68,1349.3,302.59,251.8
Australia,AUS,1930,-75.79,971.21,-103.24,-144.11
Australia,AUS,1931,-43.7,917.24,-63.02,-114.55
Australia,AUS,1932,101.58,1119.59,117.34,31.43
Australia,AUS,1933,36.37,1156.49,67.37,-29.12
Australia,AUS,1934,197.07,1385.92,243.36,133.23
Australia,AUS,1935,28.42,1267.86,98.26,-34.6
Australia,AUS,1936,120.89,1443.17,206.9,57.48
Australia,AUS,1937,294.69,1669.24,402.74,230.67
Australia,AUS,1938,335.92,1803.31,432.13,267.63
Australia,AUS,1939,158.47,1560.6,278.69,90.04
Australia,AUS,1940,358.08,1840.45,494.38,291.57
Australia,AUS,1941,364.47,1966.01,499.03,287.66
Australia,AUS,1942,701.9,2529.06,829.46,636.06
Australia,AUS,1943,1037.02,2972.31,1128.6,973.81
Australia,AUS,1944,1526.84,3374.69,1603.2,1462.8
Australia,AUS,1945,1134.48,2824.56,1192.52,1068.66
Australia,AUS,1946,998.36,2585.24,1074.63,929.7
Australia,AUS,1947,485.51,1992.81,590.68,407.08
Australia,AUS,1948,699.86,2301.16,819.02,622.16
Australia,AUS,1949,646.89,2270.95,751.33,568.78
Australia,AUS,1950,537.58,2239.27,675.14,455.99
Australia,AUS,1951,1018.71,2765.95,1173.94,941.31
Australia,AUS,1952,212.62,1972.22,340.6,117.61
Australia,AUS,1953,866.31,2577.77,948.52,768.5
Australia,AUS,1954,890.65,2677.59,980.01,789.19
Australia,AUS,1955,632.77,2481.76,725.05,520.76
Australia,AUS,1956,731.21,2620.86,817.75,610.22
Australia,AUS,1957,968.31,2844.03,1021.9,846.1
Australia,AUS,1958,775.91,2652.49,795.08,643.16
Australia,AUS,1959,875.62,2848.66,892.31,730.44
Australia,AUS,1960,494.87,2527.75,506.61,341.95
Australia,AUS,1961,651.67,2673.72,591.27,485.13
Australia,AUS,1962,691.35,2690.36,622.81,508.45
Australia,AUS,1963,724.45,2818.32,654.53,530.14
Australia,AUS,1964,910.41,3082.23,851.51,704.05
Australia,AUS,1965,926.55,3176.03,848.38,698.11
Australia,AUS,1966,818.57,3067.27,753.21,576.26
Australia,AUS,1967,1011.98,3354.73,938.22,757.11
Australia,AUS,1968,735.02,3134.2,689.41,459.82
Australia,AUS,1969,1092.19,3570.36,1037.78,801.95
Australia,AUS,1970,867.55,3440.99,865.28,547.27
Australia,AUS,1971,889,3430.78,902.77,535.84
Australia,AUS,1972,859.52,3440.6,849.93,466.07
Australia,AUS,1973,998.41,3556.33,961.91,574.23
Australia,AUS,1974,1102.6,3701.87,1041.76,639.22
Australia,AUS,1975,1347.42,3939.42,1263.85,783.47
Australia,AUS,1976,1339.61,3949,1220.12,736.52
Australia,AUS,1977,1401.44,4071.01,1271.22,759.56
Australia,AUS,1978,1167.02,3816,998.37,493.93
Australia,AUS,1979,1513.46,4245.08,1331.02,798.07
Australia,AUS,1980,1521.15,4298.9,1444.69,824.16
Australia,AUS,1981,1540.8,4372.7,1429.79,794.68
Australia,AUS,1982,1760.05,4647.42,1509.34,890.26
Australia,AUS,1983,985.15,3777.2,815.63,198.71
Australia,AUS,1984,1048.05,3954.22,928.21,256.29
Australia,AUS,1985,1096.19,4119.22,1023.4,250.57
Australia,AUS,1986,1129.83,4260.52,1056.53,330.05
Australia,AUS,1987,953.01,4117.3,1046.43,255.54
Australia,AUS,1988,1013.54,4306.95,1200.9,318.99
Australia,AUS,1989,1038.67,4422.05,1154.96,234.54
Australia,AUS,1990,1065.51,4532.71,1317.72,243.69
Australia,AUS,1991,447.22,3856.63,712.6,-401.96
Australia,AUS,1992,171.75,,345.69,-765.8
Australia,AUS,1993,474.09,,620.62,-475.07
Australia,AUS,1994,195.24,,487.01,-664.3
Australia,AUS,1995,532.7,,800.31,-407.96
Australia,AUS,1996,533.33,,957.49,-336.32
Australia,AUS,1997,835.91,,1151.07,-137.79
Australia,AUS,1998,630.46,,911.27,-379
Australia,AUS,1999,630.27,,982.38,-343.63
Australia,AUS,2000,995.23,,1365.31,-77.01
Brazil,BRA,1900,0,0,0,0
Brazil,BRA,1901,-27.91,5.71,97.81,-31.48
Brazil,BRA,1902,-2.1,35.64,127.97,-5.9
Brazil,BRA,1903,9.74,47.02,130.8,5.94
Brazil,BRA,1904,7.81,43.94,122.91,4.03
Brazil,BRA,1905,84.48,120.41,196.08,80.63
Brazil,BRA,1906,77.3,114.1,175.54,73.31
Brazil,BRA,1907,113.64,158.11,216.46,109.11
Brazil,BRA,1908,112.82,146.17,207.57,108.77
Brazil,BRA,1909,124.62,162.85,218.2,120.17
Brazil,BRA,1910,158.96,199.96,249.49,154.21
Brazil,BRA,1911,131.85,170.17,258.01,127.11
Brazil,BRA,1912,167.35,210.4,292.07,162.15
Brazil,BRA,1913,182.01,223.26,299.43,176.75
Brazil,BRA,1914,-34.87,3.55,76.97,-39.98
Brazil,BRA,1915,-84.03,-42.12,27.92,-89.34
Brazil,BRA,1916,-74.48,-30.08,27.78,-79.9
Brazil,BRA,1917,-67.39,-16.35,14.01,-73.15
Brazil,BRA,1918,-58.14,-8.98,8.12,-63.75
Brazil,BRA,1919,-7.25,55.47,50.52,-13.57
Brazil,BRA,1920,22.06,95.38,67.8,15.16
Brazil,BRA,1921,6.45,81.34,57.32,-0.64
Brazil,BRA,1922,24.25,108.16,76.92,16.62
Brazil,BRA,1923,-8.7,83.94,39.97,-16.83
Brazil,BRA,1924,25.23,114.4,71.59,17.05
Brazil,BRA,1925,52.12,137.13,97.33,43.85
Brazil,BRA,1926,60.94,145.91,103.01,52.43
Brazil,BRA,1927,78.06,171.61,117.92,68.87
Brazil,BRA,1928,74.41,186.46,113.24,64.08
Brazil,BRA,1929,107.52,214.62,145.68,97.09
Brazil,BRA,1930,5.22,98.5,41.88,-4.65
Brazil,BRA,1931,-12.19,77.51,8.74,-21.91
Brazil,BRA,1932,-19.4,78.33,3.67,-29.54
Brazil,BRA,1933,-1.93,113.11,21.47,-12.78
Brazil,BRA,1934,19.63,154.14,42.18,9.14
Brazil,BRA,1935,68.98,204.34,89.24,57.35
Brazil,BRA,1936,45.16,203.57,64.22,34.02
Brazil,BRA,1937,69.31,230.49,86.42,57.65
Brazil,BRA,1938,50.78,219.54,66.03,36.98
Brazil,BRA,1939,11.5,178.28,25.06,-3.02
Brazil,BRA,1940,19.85,184.79,32.62,4.49
Brazil,BRA,1941,-18.68,163.38,19.52,-33.08
Brazil,BRA,1942,-35.95,127.07,-1.88,-47.83
Brazil,BRA,1943,-38.46,170.03,-4.87,-49.59
Brazil,BRA,1944,-21.71,194.56,8.13,-33.25
Brazil,BRA,1945,14.23,228.21,40.96,1.65
Brazil,BRA,1946,57.5,299.22,77.67,42.83
Brazil,BRA,1947,100.4,334.42,114.64,84.45
Brazil,BRA,1948,33.78,289.82,43.29,15.84
Brazil,BRA,1949,47.87,321.02,55.06,28.01
Brazil,BRA,1950,52.92,341.97,57.14,31.08
Brazil,BRA,1951,27.28,331.52,81.09,2.4
Brazil,BRA,1952,28.38,359.77,77.28,1.55
Brazil,BRA,1953,37.93,373.33,81.88,9.39
Brazil,BRA,1954,55.25,452.64,97.42,25.74
Brazil,BRA,1955,24.02,446.95,62.99,-5.25
Brazil,BRA,1956,46.95,475.99,84.86,18.35
Brazil,BRA,1957,65.62,544.17,98.54,33.23
Brazil,BRA,1958,114.47,642,136.39,74.28
Brazil,BRA,1959,128.87,679.27,155.19,94.65
Brazil,BRA,1960,-64.73,496.85,110.18,-102.95
Brazil,BRA,1961,-81.45,562.99,58.3,-125.06
Brazil,BRA,1962,-17.66,637.43,106.73,-66.27
Brazil,BRA,1963,8.66,633.42,132.76,-35.33
Brazil,BRA,1964,-37.91,594.4,88.71,-76.33
Brazil,BRA,1965,-11.47,616.28,89.27,-70.02
Brazil,BRA,1966,21.38,653.74,112.22,-39.72
Brazil,BRA,1967,34.66,687.62,116.2,-29.44
Brazil,BRA,1968,115.97,877.76,184.72,44.38
Brazil,BRA,1969,160.02,1019.89,210.77,76.95
Brazil,BRA,1970,300.92,1130.31,335.99,218.49
Brazil,BRA,1971,35.3,995.99,392.68,-54.59
Brazil,BRA,1972,109.14,1232.61,431.68,3.06
Brazil,BRA,1973,211.45,1571.88,505.59,105.52
Brazil,BRA,1974,272.16,1735.23,553.65,165.88
Brazil,BRA,1975,372.74,1853.03,630.51,264.8
Brazil,BRA,1976,386.49,2065.09,620.24,272.05
Brazil,BRA,1977,373.35,2095.57,582.24,257.9
Brazil,BRA,1978,439.1,2216.24,625.95,322.13
Brazil,BRA,1979,521.96,2437.17,694.15,401.93
Brazil,BRA,1980,797.8,3010.92,961.02,670.14
Brazil,BRA,1981,778.56,2649.36,927.56,651.3
Brazil,BRA,1982,707.03,2503.82,836.13,576.83
Brazil,BRA,1983,490.32,2090.67,635.14,367.25
Brazil,BRA,1984,429.38,2150.41,583.75,314.78
Brazil,BRA,1985,425.66,2369.31,550.15,282.24
Brazil,BRA,1986,658.27,2814.74,659.01,474.14
Brazil,BRA,1987,885.57,3086.62,866.58,688
Brazil,BRA,1988,958.38,3039.73,916.57,750.01
Brazil,BRA,1989,1077.3,3203.54,1046.66,872.41
Brazil,BRA,1990,691.49,2523.97,679.33,504.08
Brazil,BRA,1991,505.41,2315.92,537.61,317.74
Brazil,BRA,1992,540.44,2272.98,558.6,355.3
Brazil,BRA,1993,621.33,2482.41,606.96,429.09
Brazil,BRA,1994,589.73,2618.62,560.51,387.78
Brazil,BRA,1995,479.95,2614.32,444.16,271.62
Brazil,BRA,1996,419.91,2564.85,387.06,215.19
Brazil,BRA,1997,509.21,2720.97,469.79,303.52
Brazil,BRA,1998,597.61,2719.33,522.72,369.06
Brazil,BRA,1999,640.02,2687.31,570.06,411.09
Brazil,BRA,2000,678.35,2873.88,645.96,459.47
Chile,CHL,1900,-77.13,-15.47,-3.88,-90.27
Chile,CHL,1901,-20.22,42.83,68.97,-35.98
Chile,CHL,1902,-57.6,10.01,-7.11,-74.03
Chile,CHL,1903,-48.11,10.87,5.32,-63.89
Chile,CHL,1904,34.6,101.67,94.82,17.8
Chile,CHL,1905,122.61,186.62,181.03,101.92
Chile,CHL,1906,247.32,317.75,315.48,224.03
Chile,CHL,1907,297.69,371.34,374.63,279.15
Chile,CHL,1908,190.92,277.87,273.58,172.45
Chile,CHL,1909,77.69,163.48,147.13,57.46
Chile,CHL,1910,131.77,235.92,190.89,108.79
Chile,CHL,1911,236.24,331.19,280.42,211.92
Chile,CHL,1912,292.37,391.14,361.21,257.54
Chile,CHL,1913,253.95,352.98,318.33,227.85
Chile,CHL,1914,-13.67,55.78,32.19,-34.71
Chile,CHL,1915,-192.42,-126.96,-101.15,-209.89
Chile,CHL,1916,-278.53,-179.45,-28.5,-300.12
Chile,CHL,1917,-303.01,-200.83,-49.48,-321.39
Chile,CHL,1918,-241.84,-136.45,-54.78,-262.9
Chile,CHL,1919,-121.49,-44.72,-59.9,-139.47
Chile,CHL,1920,-97.41,0.34,-16.15,-115.93
Chile,CHL,1921,-13.26,58.68,0.89,-27.79
Chile,CHL,1922,-19.17,56.78,65.23,-43.86
Chile,CHL,1923,-79.46,29.41,84.68,-111.43
Chile,CHL,1924,-62.64,60.77,70.55,-88.66
Chile,CHL,1925,-56.3,75.13,80.74,-82.02
Chile,CHL,1926,63.98,170.23,169.1,27
Chile,CHL,1927,13.84,113.67,147.54,-22.58
Chile,CHL,1928,-44.1,103.84,197.87,-88.59
Chile,CHL,1929,195.42,350.83,508.88,160.52
Chile,CHL,1930,415.09,502.18,475.03,373.15
Chile,CHL,1931,141.49,203.88,158.75,108.97
Chile,CHL,1932,14.86,59.25,-0.07,-6.64
Chile,CHL,1933,-29.21,38.71,40.51,-65.41
Chile,CHL,1934,-68.44,30.74,104.33,-100.71
Chile,CHL,1935,88.04,196.64,233.62,56.73
Chile,CHL,1936,92.2,208.95,220.43,53.25
Chile,CHL,1937,-101.31,46.15,251.64,-141.2
Chile,CHL,1938,69.1,214.78,255.92,32.63
Chile,CHL,1939,-294.03,-146.92,-86.38,-325.1
Chile,CHL,1940,-252.57,-98.92,-44.63,-284.08
Chile,CHL,1941,-334.37,-190,-83.25,-369.3
Chile,CHL,1942,-375.92,-222.44,-151.79,-406.16
Chile,CHL,1943,-374.62,-216.76,-174.62,-409.67
Chile,CHL,1944,-320.32,-161.73,-142.09,-355.14
Chile,CHL,1945,-273.69,-92.46,-124.11,-324.21
Chile,CHL,1946,-125.08,79.28,-29.77,-178.21
Chile,CHL,1947,-161.28,-8.84,38.17,-197.88
Chile,CHL,1948,-223.08,-24.13,42.92,-277.77
Chile,CHL,1949,-56.91,122.64,80.57,-100.42
Chile,CHL,1950,-164.87,26.75,-9.64,-216.13
Chile,CHL,1951,-225.8,-25.06,-45.36,-292.82
Chile,CHL,1952,-214.57,1.29,-43.89,-282.88
Chile,CHL,1953,-263.83,-32.93,-66.3,-338.35
Chile,CHL,1954,-458.2,-232.69,-245.37,-502.94
Chile,CHL,1955,-549.22,-332.43,-172.13,-578.15
Chile,CHL,1956,-579.65,-369.3,-158.66,-636.98
Chile,CHL,1957,-212.09,33.13,29.75,-297.66
Chile,CHL,1958,-198.68,53.51,-26.49,-275.1
Chile,CHL,1959,-365.49,-124.73,-94.79,-433.15
Chile,CHL,1960,-366.31,-87.45,-14.47,-463.54
Chile,CHL,1961,-314.69,-50.4,-24.7,-420.05
Chile,CHL,1962,-524.86,-233.25,-183.38,-621.38
Chile,CHL,1963,-580.66,-274.83,-211.72,-665.08
Chile,CHL,1964,-610.01,-306.25,-219.29,-681.77
Chile,CHL,1965,-594.75,-299.31,-218.42,-674.48
Chile,CHL,1966,-578.35,-225.81,-174.22,-679.6
Chile,CHL,1967,-593.78,-232.62,-236.05,-708.81
Chile,CHL,1968,-522.67,-150.4,-149.66,-646.29
Chile,CHL,1969,-625.52,-239.81,-219.92,-749.58
Chile,CHL,1970,-464.71,-79.37,-45.67,-605.68
Chile,CHL,1971,-690.09,-251.35,-305.21,-923.7
Chile,CHL,1972,-1052.81,-640.87,-583.44,-1123.33
Chile,CHL,1973,-1238.62,-885.83,-683.24,-1270.26
Chile,CHL,1974,-1539.33,-1192.37,-732.63,-1556.3
Chile,CHL,1975,-1068.17,-815.14,-567.59,-1112.04
Chile,CHL,1976,-1118.93,-853.87,-442.47,-1185.75
Chile,CHL,1977,-909.59,-597.06,-277.54,-1004.91
Chile,CHL,1978,-655.1,-300.21,-152.76,-794.94
Chile,CHL,1979,-648.8,-246.31,4.31,-814.11
Chile,CHL,1980,-430.82,18.22,207.46,-690.31
Chile,CHL,1981,-45.64,433.49,395.51,-317.42
Chile,CHL,1982,-530.69,-189.23,-211.97,-744.12
Chile,CHL,1983,-552.46,-239.85,-201.8,-790.32
Chile,CHL,1984,-445.8,-106.87,-157.24,-696.8
Chile,CHL,1985,-201.64,137.05,20.73,-452.01
Chile,CHL,1986,-34.52,329.25,94.44,-275.15
Chile,CHL,1987,152.81,547.48,386.06,-69.92
Chile,CHL,1988,163.2,595.08,549.78,-77.07
Chile,CHL,1989,244.05,740.53,724.2,10.65
Chile,CHL,1990,53.95,554.68,450.49,-128.63
Chile,CHL,1991,116.27,669.59,449.3,-85.34
Chile,CHL,1992,435.07,1093.03,757.56,199
Chile,CHL,1993,649.32,1352.71,846.82,406.18
Chile,CHL,1994,678.43,1411.91,974.4,416.45
Chile,CHL,1995,875.56,1706.43,1322.08,524.5
Chile,CHL,1996,1123.4,2036.76,1520.21,784.82
Chile,CHL,1997,1365.48,2326.84,1753.53,1024.51
Chile,CHL,1998,1331.43,2302.32,1526.16,1001.02
Chile,CHL,1999,1062.91,1979.35,1317.91,774.61
Chile,CHL,2000,519.33,1485.28,870,192.66
Colombia,COL,1900,-73.69,-56.46,-37.33,-76.34
Colombia,COL,1901,-79.17,-62.13,-44.67,-81.81
Colombia,COL,1902,-82.28,-65.42,-21.26,-84.9
Colombia,COL,1903,-63.54,-46.87,-13.98,-66.14
Colombia,COL,1904,-65.11,-48.63,-21.53,-67.69
Colombia,COL,1905,-62.31,-46.02,-22.32,-64.86
Colombia,COL,1906,-62.15,-46.1,-24.26,-64.97
Colombia,COL,1907,-54.52,-38.12,-20.38,-57.8
Colombia,COL,1908,-58.36,-41.76,-19.34,-61.72
Colombia,COL,1909,-52.58,-35.83,-14.13,-55.71
Colombia,COL,1910,-43.89,-26.93,-9.19,-47.51
Colombia,COL,1911,-52.08,-35.02,-3.53,-55.51
Colombia,COL,1912,-44.8,-27.51,1.74,-47.73
Colombia,COL,1913,-25.84,-8.32,18.64,-29.18
Colombia,COL,1914,-32.02,-14.35,11.2,-35.81
Colombia,COL,1915,-59.01,-41.05,-16.76,-62.44
Colombia,COL,1916,-57.42,-39.07,-21.28,-60.82
Colombia,COL,1917,-55.64,-37.08,-24.62,-58.81
Colombia,COL,1918,-71.38,-52.35,-44.89,-74.41
Colombia,COL,1919,-51.31,-31.21,-28.59,-55.16
Colombia,COL,1920,20.72,41.67,40.18,18.03
Colombia,COL,1921,8.19,29.8,28.9,4.69
Colombia,COL,1922,-12.89,9.72,8.17,-15.15
Colombia,COL,1923,7.38,30.95,30.62,5.2
Colombia,COL,1924,27.52,51.93,48.88,25.36
Colombia,COL,1925,74.21,99.42,96.02,72.11
Colombia,COL,1926,149.09,176.16,184.29,147.11
Colombia,COL,1927,168.22,197.14,231.06,166.66
Colombia,COL,1928,184.06,214.48,273.87,182.69
Colombia,COL,1929,113.48,144.37,227.58,112.01
Colombia,COL,1930,-13.63,16.37,43.84,-15.43
Colombia,COL,1931,-66.97,-38.03,-35.65,-69.17
Colombia,COL,1932,-73.44,-42.23,-53.18,-75.96
Colombia,COL,1933,-57.27,-23.99,-27.32,-59.81
Colombia,COL,1934,-87.19,-51.48,0.31,-89.4
Colombia,COL,1935,-70.03,-33.15,7.75,-73.45
Colombia,COL,1936,-47.33,-8.23,42.19,-53.98
Colombia,COL,1937,-3.93,36.03,90.55,-11.29
Colombia,COL,1938,52.32,95.09,130.56,44.4
Colombia,COL,1939,11.9,57.42,97.8,4.15
Colombia,COL,1940,-42.59,3.99,58.04,-49.93
Colombia,COL,1941,-67.3,-19.89,33,-74.51
Colombia,COL,1942,-111.09,-64.72,-70.46,-116.66
Colombia,COL,1943,-65.16,-19.72,-21.98,-70.43
Colombia,COL,1944,4.72,52.07,72.79,-0.91
Colombia,COL,1945,43.41,91.8,106.87,37.39
Colombia,COL,1946,97.89,149.67,150.5,90.64
Colombia,COL,1947,246.41,298.91,282.87,238.92
Colombia,COL,1948,115.3,168.01,147.52,108.56
Colombia,COL,1949,99.67,155.61,151.5,92.66
Colombia,COL,1950,135.24,190.82,194.28,126.37
Colombia,COL,1951,47.26,102.84,134.31,38.59
Colombia,COL,1952,69.36,126.22,163.1,59.41
Colombia,COL,1953,161.2,219.28,244.68,149.97
Colombia,COL,1954,187.8,247.63,268.15,176.14
Colombia,COL,1955,222.65,282.5,300.86,210.81
Colombia,COL,1956,187.57,247.48,272.27,175.19
Colombia,COL,1957,109.65,168.51,202.29,99.24
Colombia,COL,1958,156.14,214.1,238.21,140.79
Colombia,COL,1959,173,232.71,259.93,157.3
Colombia,COL,1960,165.16,225.09,314.26,146.12
Colombia,COL,1961,213.2,273.8,328.6,183.46
Colombia,COL,1962,221.21,282.64,323.81,183.16
Colombia,COL,1963,175.27,236.28,279.86,137.42
Colombia,COL,1964,192.28,254.55,293.25,155.03
Colombia,COL,1965,147.52,209.68,254.83,108.42
Colombia,COL,1966,237.88,300.76,339.01,199.15
Colombia,COL,1967,288.14,351.18,377.42,247.69
Colombia,COL,1968,365.26,429.56,440.39,323.11
Colombia,COL,1969,432.12,497.91,484.54,359.4
Colombia,COL,1970,567.88,635.34,639.73,518.02
Colombia,COL,1971,415.64,484.75,631.61,363.87
Colombia,COL,1972,379.42,451.44,574.98,325.01
Colombia,COL,1973,396.57,471.09,575.65,339.33
Colombia,COL,1974,384.1,460.48,621.86,324.81
Colombia,COL,1975,365.06,440.77,580.33,306.3
Colombia,COL,1976,414.39,491.05,612.32,354.13
Colombia,COL,1977,354.93,432.2,539.33,293.15
Colombia,COL,1978,450.37,531.44,618.13,388.95
Colombia,COL,1979,429.93,512.74,628.36,364.47
Colombia,COL,1980,451.96,535.43,708.4,385.58
Colombia,COL,1981,572.64,655.3,769.83,474.02
