Entity,Code,Year, (% of children under 5 who received ORS packet)
Cote d'Ivoire,CIV,1987,4
Cote d'Ivoire,CIV,1989,16
Cote d'Ivoire,CIV,1994,11.1
Cote d'Ivoire,CIV,1999,23.6
Cote d'Ivoire,CIV,2000,16.1
Cote d'Ivoire,CIV,2006,10.2
Cote d'Ivoire,CIV,2012,17.2
Cote d'Ivoire,CIV,2016,16.5
Croatia,HRV,1996,4.59999990463257
Cuba,CUB,1986,20
Cuba,CUB,1987,70
Cuba,CUB,1989,75
Cuba,CUB,2011,51.1
Cuba,CUB,2014,60.9
Cyprus,CYP,1986,5
Cyprus,CYP,1987,2
Cyprus,CYP,1989,4
Democratic Republic of Congo,COD,1986,18
Democratic Republic of Congo,COD,1987,10
Democratic Republic of Congo,COD,1989,40
Democratic Republic of Congo,COD,1995,17.7000007629395
Democratic Republic of Congo,COD,2001,16.8
Democratic Republic of Congo,COD,2007,30.8
Democratic Republic of Congo,COD,2010,26.6
Democratic Republic of Congo,COD,2014,39.1
Djibouti,DJI,1987,22
Djibouti,DJI,1989,51
Djibouti,DJI,2006,61.573461
Djibouti,DJI,2012,93.6
Dominican Republic,DOM,1986,11
Dominican Republic,DOM,1987,41
Dominican Republic,DOM,1989,22
Dominican Republic,DOM,1991,25.2
Dominican Republic,DOM,1996,35.1
Dominican Republic,DOM,1999,41.5
Dominican Republic,DOM,2000,28
Dominican Republic,DOM,2002,28.2
Dominican Republic,DOM,2007,40.5
Dominican Republic,DOM,2010,31.9
Dominican Republic,DOM,2013,48
Dominican Republic,DOM,2014,47.5
Early-demographic dividend,,1986,25.9384353488798
Early-demographic dividend,,1987,32.7356644448317
Early-demographic dividend,,1989,29.7853129165941
East Asia & Pacific,,1986,11.6173716263717
East Asia & Pacific,,1987,18.3894960817158
East Asia & Pacific,,1989,39.3386193332705
East Asia & Pacific,,1994,17.0071802649046
East Asia & Pacific (IDA & IBRD),,1986,11.7610121344951
East Asia & Pacific (IDA & IBRD),,1987,18.6092662286709
East Asia & Pacific (IDA & IBRD),,1989,39.2040469502785
East Asia & Pacific (IDA & IBRD),,1994,17.0071802649046
East Asia & Pacific (excluding high income),,1986,11.6182351459789
East Asia & Pacific (excluding high income),,1987,18.3894960817158
East Asia & Pacific (excluding high income),,1989,39.3386193332705
East Asia & Pacific (excluding high income),,1994,17.0071802649046
Ecuador,ECU,1986,11
Ecuador,ECU,1987,24
Ecuador,ECU,1989,70
Ecuador,ECU,1999,29.3999996185303
Ecuador,ECU,2012,45.8
Egypt,EGY,1986,61
Egypt,EGY,1987,83
Egypt,EGY,1989,83
Egypt,EGY,1992,29
Egypt,EGY,1995,40.2
Egypt,EGY,2000,33.7
Egypt,EGY,2003,28.2
Egypt,EGY,2005,33.5
Egypt,EGY,2008,28.4
Egypt,EGY,2014,28.4
El Salvador,SLV,1986,15
El Salvador,SLV,1987,26
El Salvador,SLV,1989,45
El Salvador,SLV,1998,46.5999984741211
El Salvador,SLV,2003,51.4
El Salvador,SLV,2008,57.6
El Salvador,SLV,2014,69.8
Equatorial Guinea,GNQ,1986,12
Equatorial Guinea,GNQ,1987,21
Equatorial Guinea,GNQ,1989,21
Equatorial Guinea,GNQ,2000,28.9
Equatorial Guinea,GNQ,2011,40.4
Eritrea,ERI,1995,32.8
Eritrea,ERI,2002,44.7
Eritrea,ERI,2010,43.4
Ethiopia,ETH,1986,11
Ethiopia,ETH,1987,23
Ethiopia,ETH,1989,32
Ethiopia,ETH,2000,13.1
Ethiopia,ETH,2005,19.9
Ethiopia,ETH,2011,26.3
Ethiopia,ETH,2016,29.5
Fiji,FJI,1987,16
Fiji,FJI,1989,16
Fragile and conflict affected situations,,1986,14.4531071676092
Fragile and conflict affected situations,,1987,17.792238436492
Fragile and conflict affected situations,,1989,33.340208870852
Gabon,GAB,1986,7
Gabon,GAB,1987,7
Gabon,GAB,1989,10
Gabon,GAB,1996,24.7999992370605
Gabon,GAB,2000,24.8
Gabon,GAB,2012,26.1
Gambia,GMB,1986,3
Gambia,GMB,1987,3
Gambia,GMB,1989,39
Gambia,GMB,2000,33
Gambia,GMB,2006,38.7
Gambia,GMB,2010,38.9
Gambia,GMB,2013,59.2
Georgia,GEO,1999,25.3999996185303
Georgia,GEO,2005,40
Ghana,GHA,1986,3
Ghana,GHA,1987,36
Ghana,GHA,1988,33.5
Ghana,GHA,1989,21
Ghana,GHA,1993,28.5
Ghana,GHA,1998,29.2
Ghana,GHA,2003,38.6
Ghana,GHA,2006,28.8
Ghana,GHA,2008,44.5
Ghana,GHA,2011,35
Ghana,GHA,2014,48.6
Grenada,GRD,1989,70
Guatemala,GTM,1986,5
Guatemala,GTM,1987,17
Guatemala,GTM,1989,24
Guatemala,GTM,1995,21.5
Guatemala,GTM,1999,30.4
Guatemala,GTM,2002,33.8
Guatemala,GTM,2009,37.1
Guatemala,GTM,2015,48.8
Guinea,GIN,1986,1
Guinea,GIN,1987,1
Guinea,GIN,1989,63
Guinea,GIN,1992,24.5
Guinea,GIN,1999,34.5
Guinea,GIN,2003,40.1
Guinea,GIN,2005,33.1
Guinea,GIN,2012,34.3
Guinea,GIN,2016,34.3
Guinea-Bissau,GNB,1986,1
Guinea-Bissau,GNB,1987,1
Guinea-Bissau,GNB,1989,5
Guinea-Bissau,GNB,2000,39
Guinea-Bissau,GNB,2006,23.417568
Guinea-Bissau,GNB,2010,18.7
Guinea-Bissau,GNB,2014,35.1
Guyana,GUY,1986,10
Guyana,GUY,1987,10
Guyana,GUY,1989,10
Guyana,GUY,2000,34.1
Guyana,GUY,2006,39
Guyana,GUY,2009,49.8
Guyana,GUY,2014,42.5
Haiti,HTI,1986,9
Haiti,HTI,1987,16
Haiti,HTI,1989,24
Haiti,HTI,1995,25.7
Haiti,HTI,2000,34.8
Haiti,HTI,2006,40.3
Haiti,HTI,2012,52.9
Haiti,HTI,2017,50.6
Heavily indebted poor countries (HIPC),,1986,11.5745013406385
Heavily indebted poor countries (HIPC),,1987,18.5481328259601
Heavily indebted poor countries (HIPC),,1989,33.1538927249174
Honduras,HND,1986,40
Honduras,HND,1987,56
Honduras,HND,1989,66
Honduras,HND,1996,29.8999996185303
Honduras,HND,2006,55.7
Honduras,HND,2012,59.7
IBRD only,,1986,19.6908788369255
IBRD only,,1987,25.3116187896013
IBRD only,,1989,34.6328588891359
IDA & IBRD total,,1986,20.0984280828346
IDA & IBRD total,,1987,24.7221239371352
IDA & IBRD total,,1989,34.5946400628222
IDA blend,,1986,23.8965213760511
IDA blend,,1987,29.8811704259094
IDA blend,,1989,46.4654381325073
IDA blend,,2013,35.6644237871295
IDA only,,1986,20.0060638098044
IDA only,,1987,19.7437793833309
IDA only,,1989,28.7087372234231
IDA total,,1986,21.2580701931576
IDA total,,1987,23.0141189943048
IDA total,,1989,34.4862017789755
India,IND,1986,21
India,IND,1987,23
India,IND,1989,13
India,IND,1993,17.5
India,IND,1999,26.8
India,IND,2006,26
India,IND,2014,39.3
India,IND,2016,20.5
Indonesia,IDN,1986,20
Indonesia,IDN,1987,72
Indonesia,IDN,1989,39
Indonesia,IDN,1991,43.2
Indonesia,IDN,1994,45.1
Indonesia,IDN,1997,47.7
Indonesia,IDN,2000,43.2
Indonesia,IDN,2003,35.5
Indonesia,IDN,2007,34.7
Indonesia,IDN,2012,38.8
Iran,IRN,1986,27
Iran,IRN,1987,31
Iran,IRN,1989,71
Iran,IRN,1995,36.9000015258789
Iran,IRN,2010,61.38
Iran,IRN,2011,61.38
Iraq,IRQ,1986,31
Iraq,IRQ,1987,51
Iraq,IRQ,1989,70
Iraq,IRQ,2000,26.5
Iraq,IRQ,2006,30.7
Iraq,IRQ,2011,22.8
Isle of Man,IMN,1986,29.1199308323382
Isle of Man,IMN,1987,42.9684303838975
Isle of Man,IMN,1989,56.8526531478591
Jamaica,JAM,1986,6
Jamaica,JAM,1987,6
Jamaica,JAM,1989,15
Jamaica,JAM,2000,24.4
Jamaica,JAM,2005,40.270395
Jamaica,JAM,2011,64.1
Jordan,JOR,1986,32
Jordan,JOR,1987,47
Jordan,JOR,1989,68
Jordan,JOR,1990,41.7
Jordan,JOR,1997,24
Jordan,JOR,2002,18.2
Jordan,JOR,2007,19.8
Jordan,JOR,2012,20.4
Kazakhstan,KAZ,1995,28.2
Kazakhstan,KAZ,1999,32
Kazakhstan,KAZ,2006,74.046292
Kazakhstan,KAZ,2011,61.8
Kenya,KEN,1986,23
Kenya,KEN,1987,26
Kenya,KEN,1989,80
Kenya,KEN,1993,31.6
Kenya,KEN,1998,36.9
Kenya,KEN,2000,39.2
Kenya,KEN,2003,29.2
Kenya,KEN,2009,38.8
Kenya,KEN,2014,53.8
Kiribati,KIR,1986,19
Kiribati,KIR,1987,19
Kiribati,KIR,1989,84
Kiribati,KIR,2009,61.5
Kuwait,KWT,1986,10
Kuwait,KWT,1987,10
Kuwait,KWT,1989,3
Kuwait,KWT,1996,29.2000007629395
Kyrgyzstan,KGZ,1997,40.4
Kyrgyzstan,KGZ,2006,20.169107
Kyrgyzstan,KGZ,2012,35.4
Kyrgyzstan,KGZ,2014,33.4
Laos,LAO,1986,4
Laos,LAO,1987,20
Laos,LAO,1989,30
Laos,LAO,2000,31.9
Laos,LAO,2006,46.2
Laos,LAO,2012,42.3
Late-demographic dividend,,1986,12.8438300402317
Late-demographic dividend,,1987,14.1906548358691
Late-demographic dividend,,1989,41.0874745205526
Latin America & Caribbean,,1986,34.9531615588358
Latin America & Caribbean,,1987,39.5943519076032
Latin America & Caribbean,,1989,50.1181076195565
Latin America & Caribbean (IDA & IBRD),,1986,35.2038772156434
Latin America & Caribbean (IDA & IBRD),,1987,39.1117210906181
Latin America & Caribbean (IDA & IBRD),,1989,49.7296934855999
Latin America & Caribbean (excluding high income),,1986,37.0326557493749
Latin America & Caribbean (excluding high income),,1987,41.8668410344367
Latin America & Caribbean (excluding high income),,1989,50.0971379254827
Least developed countries: UN classification,,1986,20.5468752555786
Least developed countries: UN classification,,1987,18.8145460361775
Least developed countries: UN classification,,1989,27.4092944002457
Lebanon,LBN,1986,4
Lebanon,LBN,1987,10
Lebanon,LBN,1989,10
Lebanon,LBN,2000,44.4
Lesotho,LSO,1987,68
Lesotho,LSO,1989,68
Lesotho,LSO,1996,35
Lesotho,LSO,2000,53.9
Lesotho,LSO,2004,41.9
Lesotho,LSO,2009,51.3
Lesotho,LSO,2014,53.4
Liberia,LBR,1986,6.5
Liberia,LBR,1987,9
Liberia,LBR,1989,9
Liberia,LBR,2007,53.1
Liberia,LBR,2013,60.4
Libya,LBY,1986,12
Libya,LBY,1987,10
Libya,LBY,1989,60
Libya,LBY,1995,40.4000015258789
Low & middle income,,1986,20.1052081489213
Low & middle income,,1987,24.8059192392413
Low & middle income,,1989,34.5613235824313
Low income,,1986,11.7878141505455
Low income,,1987,15.6312387834621
Low income,,1989,31.0227557122711
Lower middle income,,1986,24.9915509619688
Lower middle income,,1987,32.4238872225785
Lower middle income,,1989,28.1857997240289
Macedonia,MKD,1996,30.7999992370605
Macedonia,MKD,2005,24
Macedonia,MKD,2011,62
Madagascar,MDG,1986,12
Madagascar,MDG,1987,2
Madagascar,MDG,1989,11
Madagascar,MDG,1992,14.2
Madagascar,MDG,1997,23.1
Madagascar,MDG,2000,10.4
Madagascar,MDG,2004,12.4
Madagascar,MDG,2009,16.9
Madagascar,MDG,2013,14.6
Malawi,MWI,1986,10
Malawi,MWI,1987,42
Malawi,MWI,1989,14
Malawi,MWI,1992,32.1
Malawi,MWI,1996,49.7000007629395
Malawi,MWI,2000,47.9
Malawi,MWI,2004,61.1
Malawi,MWI,2006,55.246186
Malawi,MWI,2010,69
Malawi,MWI,2014,63.5
Malawi,MWI,2016,64.7
Malaysia,MYS,1986,7
Malaysia,MYS,1987,11
Malaysia,MYS,1989,20
Maldives,MDV,1986,12
Maldives,MDV,1987,12
Maldives,MDV,1989,27
Maldives,MDV,1996,51.2000007629395
Maldives,MDV,2009,57
Mali,MLI,1986,2
Mali,MLI,1987,3
Mali,MLI,1989,41
Mali,MLI,1996,15.7
Mali,MLI,2001,12
Mali,MLI,2006,14
Mali,MLI,2010,21.6
Mali,MLI,2013,36.8
Mali,MLI,2015,20.9
Marshall Islands,MHL,2007,38.2
Mauritania,MRT,1986,2
Mauritania,MRT,1987,2
Mauritania,MRT,1989,54
Mauritania,MRT,1996,13.8999996185303
Mauritania,MRT,2001,22.6
Mauritania,MRT,2007,20.1
Mauritania,MRT,2011,18.8
Mauritania,MRT,2015,25.4
Mauritius,MUS,1986,4
Mauritius,MUS,1987,4
Mauritius,MUS,1989,7
Mexico,MEX,1986,75
Mexico,MEX,1987,72
Mexico,MEX,1989,72
Mexico,MEX,1993,41.9000015258789
Mexico,MEX,1997,80.5
Mexico,MEX,2012,52.32
Mexico,MEX,2015,61.4
Middle East & North Africa,,1986,28.9119477430736
Middle East & North Africa,,1987,42.7713145452286
Middle East & North Africa,,1989,55.8455816782372
Middle East & North Africa (IDA & IBRD),,1986,29.3370098811109
Middle East & North Africa (IDA & IBRD),,1987,43.4245220317367
Middle East & North Africa (IDA & IBRD),,1989,57.7144490847752
Middle East & North Africa (excluding high income),,1986,29.3370098811109
Middle East & North Africa (excluding high income),,1987,43.4245220317367
Middle East & North Africa (excluding high income),,1989,57.7144490847752
Middle income,,1986,21.168981551862
Middle income,,1987,25.96025887958
Middle income,,1989,35.0181161635376
Moldova,MDA,2000,7.5
Moldova,MDA,2005,33.3
Moldova,MDA,2012,41.5
Mongolia,MNG,1986,5
Mongolia,MNG,1987,59
Mongolia,MNG,1989,59
Mongolia,MNG,2000,55.9
Mongolia,MNG,2005,38
Mongolia,MNG,2010,30.6
Mongolia,MNG,2013,41.8
Montenegro,MNE,2005,16.3
Morocco,MAR,1986,15
Morocco,MAR,1987,44
Morocco,MAR,1989,14
Morocco,MAR,1992,14
Morocco,MAR,1995,28.2
Morocco,MAR,2004,22.9
Morocco,MAR,2011,22.1
Mozambique,MOZ,1986,14
Mozambique,MOZ,1987,14
Mozambique,MOZ,1989,30
Mozambique,MOZ,1997,41.9
Mozambique,MOZ,2003,48.5
Mozambique,MOZ,2008,45.7
Mozambique,MOZ,2011,55
Myanmar,MMR,1986,21
Myanmar,MMR,1987,21
Myanmar,MMR,1989,19
Myanmar,MMR,2000,44.9
Myanmar,MMR,2003,53.1
Myanmar,MMR,2010,60.6
Myanmar,MMR,2016,61.9
Namibia,NAM,1992,63.5
Namibia,NAM,2000,61.1
Namibia,NAM,2007,63.1
Namibia,NAM,2013,71.6
Nauru,NRU,2007,23.3
Nepal,NPL,1986,25
Nepal,NPL,1987,23
Nepal,NPL,1989,14
Nepal,NPL,1996,25.9
Nepal,NPL,2001,32.2
Nepal,NPL,2006,29.3
Nepal,NPL,2011,39
Nepal,NPL,2014,44
Nepal,NPL,2016,37
Nicaragua,NIC,1986,23
Nicaragua,NIC,1987,23
Nicaragua,NIC,1989,38
Nicaragua,NIC,1998,55.7
Nicaragua,NIC,2001,50
Nicaragua,NIC,2007,58.6
Nicaragua,NIC,2012,65.4
Niger,NER,1986,1
Niger,NER,1987,24
Niger,NER,1989,54
Niger,NER,1992,10.4
Niger,NER,1998,19.6
Niger,NER,2000,14.3
Niger,NER,2006,17.6
Niger,NER,2012,44.3
Niger,NER,2015,40.8
Nigeria,NGA,1986,18
Nigeria,NGA,1987,20
Nigeria,NGA,1989,35
Nigeria,NGA,1990,11.6
Nigeria,NGA,1999,34.3
Nigeria,NGA,2003,18.2
Nigeria,NGA,2008,25.5
Nigeria,NGA,2011,26
Nigeria,NGA,2013,33.7
Nigeria,NGA,2017,36.8
North Korea,PRK,1986,0
North Korea,PRK,1987,0
North Korea,PRK,1989,52
North Korea,PRK,1998,81.1999969482422
North Korea,PRK,2009,74
Oman,OMN,1986,19
Oman,OMN,1987,19
Oman,OMN,1989,19
Oman,OMN,1996,82
Oman,OMN,2014,58.7
Other small states,,1989,39.9511758553955
Pacific island small states,,1987,29.688967863295
Pacific island small states,,1989,39.5874967396631
Pakistan,PAK,1986,34
Pakistan,PAK,1987,42
Pakistan,PAK,1989,42
Pakistan,PAK,1991,38.8
Pakistan,PAK,1995,46
Pakistan,PAK,2007,41.1
Pakistan,PAK,2013,38
Palestine,PSE,2010,31.4
Palestine,PSE,2014,31.5
Panama,PAN,1986,34
Panama,PAN,1987,34
Panama,PAN,1989,29
Panama,PAN,1996,34.7999992370605
Panama,PAN,2013,52.4
Papua New Guinea,PNG,1986,5
Papua New Guinea,PNG,1987,20
Papua New Guinea,PNG,1989,46
Papua New Guinea,PNG,1996,16.7000007629395
Paraguay,PRY,1986,17
Paraguay,PRY,1987,36
Paraguay,PRY,1989,52
Paraguay,PRY,1990,24.1
Paraguay,PRY,1996,21.1000003814697
Paraguay,PRY,2016,28.2
Peru,PER,1986,6
Peru,PER,1987,18
Peru,PER,1989,25
Peru,PER,1992,19.8
Peru,PER,1996,26
Peru,PER,2000,21.9
Peru,PER,2006,25
Peru,PER,2008,29.7
Peru,PER,2009,32
Peru,PER,2010,32.2
Peru,PER,2011,29.8
Peru,PER,2012,30.9
Peru,PER,2013,29.5
Peru,PER,2014,28.2
Peru,PER,2015,32
Philippines,PHL,1986,25
Philippines,PHL,1987,24
Philippines,PHL,1989,25
Philippines,PHL,1993,27.2
Philippines,PHL,1998,43.4
Philippines,PHL,2003,42.2
Philippines,PHL,2008,46.5
Philippines,PHL,2011,55.3
Philippines,PHL,2013,49.1
Pre-demographic dividend,,1986,14.1924829643073
Pre-demographic dividend,,1987,18.2733864583812
Pre-demographic dividend,,1989,37.2708646581387
Qatar,QAT,1986,15
Qatar,QAT,1987,15
Qatar,QAT,1989,15
Qatar,QAT,1998,21.1000003814697
Rwanda,RWA,1986,8
Rwanda,RWA,1987,24
Rwanda,RWA,1989,24
Rwanda,RWA,1992,27.5
Rwanda,RWA,2000,13.6
Rwanda,RWA,2005,11.6
Rwanda,RWA,2008,21.3
Rwanda,RWA,2010,29.1
Rwanda,RWA,2015,27.5
Saint Kitts and Nevis,KNA,1986,2
Saint Kitts and Nevis,KNA,1987,2
Saint Kitts and Nevis,KNA,1989,2
Saint Lucia,LCA,1987,75
Saint Lucia,LCA,1989,75
Saint Vincent and the Grenadines,VCT,1989,98
Samoa,WSM,1986,6
Samoa,WSM,1987,7
Samoa,WSM,2009,68
Samoa,WSM,2014,63
Sao Tome and Principe,STP,1986,26
Sao Tome and Principe,STP,1987,46
Sao Tome and Principe,STP,1989,46
Sao Tome and Principe,STP,2000,31.1
Sao Tome and Principe,STP,2006,31.4
Sao Tome and Principe,STP,2009,49
Sao Tome and Principe,STP,2014,49.1
Saudi Arabia,SAU,1986,28
Saudi Arabia,SAU,1987,43
Saudi Arabia,SAU,1989,45
Saudi Arabia,SAU,1996,52.0999984741211
Senegal,SEN,1986,3
Senegal,SEN,1987,9
Senegal,SEN,1989,27
Senegal,SEN,1993,6.6
Senegal,SEN,1996,11
Senegal,SEN,1997,15.1
Senegal,SEN,2000,13
Senegal,SEN,2005,15
Senegal,SEN,2011,22.4
Senegal,SEN,2013,17.2
Senegal,SEN,2014,22.6
Senegal,SEN,2015,31.6
Serbia,SRB,2005,17
Serbia,SRB,2010,36
Seychelles,SYC,1989,88
Sierra Leone,SLE,1986,31
Sierra Leone,SLE,1987,31
Sierra Leone,SLE,1989,55
Sierra Leone,SLE,2000,41.5
Sierra Leone,SLE,2005,53.998034
Sierra Leone,SLE,2008,68
Sierra Leone,SLE,2010,72.6
Sierra Leone,SLE,2013,85.1
Small states,,1987,25.6683091232576
Small states,,1989,38.1257033960222
Solomon Islands,SLB,1986,15
Solomon Islands,SLB,1987,75
Solomon Islands,SLB,1989,77
Solomon Islands,SLB,2007,37.7
Solomon Islands,SLB,2015,36.6
Somalia,SOM,1986,5
Somalia,SOM,1987,12
Somalia,SOM,1989,7
Somalia,SOM,1999,29.8
Somalia,SOM,2006,13.218151
South Africa,ZAF,1998,51.2
South Africa,ZAF,2003,40
South Africa,ZAF,2016,51.4
South Asia,,1986,25.4556723987303
South Asia,,1987,25.35697597055
South Asia,,1989,18.0419015021276
South Asia,,1993,17.7331490195801
South Asia,,1999,26.8
South Asia,,2006,30.3426976635783
South Asia,,2014,43.50057793046
South Asia,,2016,20.8704737247346
South Asia (IDA & IBRD),,1986,25.4556723987303
South Asia (IDA & IBRD),,1987,25.35697597055
South Asia (IDA & IBRD),,1989,18.0419015021276
South Asia (IDA & IBRD),,1993,17.7331490195801
South Asia (IDA & IBRD),,1999,26.8
South Asia (IDA & IBRD),,2006,30.3426976635783
South Asia (IDA & IBRD),,2014,43.50057793046
South Asia (IDA & IBRD),,2016,20.8704737247346
South Sudan,SSD,2010,38.6
Sri Lanka,LKA,1986,15
Sri Lanka,LKA,1987,40
Sri Lanka,LKA,1989,58
Sri Lanka,LKA,1993,34.4000015258789
Sri Lanka,LKA,2007,51.1
Sub-Saharan Africa,,1986,12.7938422385265
Sub-Saharan Africa,,1987,18.7924306771569
Sub-Saharan Africa,,1989,36.5400920065885
Sub-Saharan Africa (IDA & IBRD),,1986,12.7938422385265
Sub-Saharan Africa (IDA & IBRD),,1987,18.7924306771569
Sub-Saharan Africa (IDA & IBRD),,1989,36.5400920065885
Sub-Saharan Africa (excluding high income),,1986,12.7938422385265
Sub-Saharan Africa (excluding high income),,1987,18.7924306771569
Sub-Saharan Africa (excluding high income),,1989,36.5350278236106
Sudan,SDN,1986,8
Sudan,SDN,1987,25
Sudan,SDN,1989,36
Sudan,SDN,1995,17.1700000762939
Sudan,SDN,2000,27.4
Sudan,SDN,2006,31.3
Sudan,SDN,2010,22
Sudan,SDN,2014,19.6
Suriname,SUR,1986,34
Suriname,SUR,1987,34
Suriname,SUR,1989,47
Suriname,SUR,2000,35.5
Suriname,SUR,2006,43.6
Suriname,SUR,2010,42.4
