Entity,Code,Year,Total wealth per capita ($)
Egypt,EGY,1995,27391.07
Egypt,EGY,2000,28622.75
Egypt,EGY,2005,32246.54
Egypt,EGY,2010,38784.54
Egypt,EGY,2014,38469.82
El Salvador,SLV,1995,29414.05
El Salvador,SLV,2000,37009.07
El Salvador,SLV,2005,37199.38
El Salvador,SLV,2010,42715.21
El Salvador,SLV,2014,44130.87
Estonia,EST,1995,156808.28
Estonia,EST,2000,159094.89
Estonia,EST,2005,203152.55
Estonia,EST,2010,211744.75
Estonia,EST,2014,258903.14
Ethiopia,ETH,1995,6680.27
Ethiopia,ETH,2000,6750.3
Ethiopia,ETH,2005,8026.21
Ethiopia,ETH,2010,9684.97
Ethiopia,ETH,2014,13124.76
Finland,FIN,1995,462987.92
Finland,FIN,2000,489242.87
Finland,FIN,2005,633969.88
Finland,FIN,2010,693065.54
Finland,FIN,2014,726421.7
France,FRA,1995,510773.09
France,FRA,2000,559815.57
France,FRA,2005,582193.85
France,FRA,2010,618124.85
France,FRA,2014,641707.49
Gabon,GAB,1995,202598.74
Gabon,GAB,2000,199508.76
Gabon,GAB,2005,174142.93
Gabon,GAB,2010,174743.65
Gabon,GAB,2014,199901.47
Gambia,GMB,1995,4726.33
Gambia,GMB,2000,4724.7
Gambia,GMB,2005,5048.71
Gambia,GMB,2010,5302.34
Gambia,GMB,2014,5207.73
Georgia,GEO,1995,23159.3
Georgia,GEO,2000,27764.57
Georgia,GEO,2005,28836.77
Georgia,GEO,2010,33366.39
Georgia,GEO,2014,44327.39
Germany,DEU,1995,524487.37
Germany,DEU,2000,542968.58
Germany,DEU,2005,531389.17
Germany,DEU,2010,641262.44
Germany,DEU,2014,729063.65
Ghana,GHA,1995,18293.98
Ghana,GHA,2000,16514.09
Ghana,GHA,2005,20292.72
Ghana,GHA,2010,18991.52
Ghana,GHA,2014,25044.2
Greece,GRC,1995,264239.39
Greece,GRC,2000,290159.6
Greece,GRC,2005,316304.85
Greece,GRC,2010,305996.76
Greece,GRC,2014,227925.22
Guatemala,GTM,1995,33396.48
Guatemala,GTM,2000,35027.95
Guatemala,GTM,2005,39871.29
Guatemala,GTM,2010,41429.67
Guatemala,GTM,2014,43139.98
Guinea,GIN,1995,4589.44
Guinea,GIN,2000,4866.61
Guinea,GIN,2005,6203.52
Guinea,GIN,2010,7881.33
Guinea,GIN,2014,8942.75
Guyana,GUY,1995,56312.86
Guyana,GUY,2000,58879.25
Guyana,GUY,2005,54937.62
Guyana,GUY,2010,60436.71
Guyana,GUY,2014,69650.36
Haiti,HTI,1995,11076.54
Haiti,HTI,2000,12777.51
Haiti,HTI,2005,11791.97
Haiti,HTI,2010,11028.25
Haiti,HTI,2014,15040.42
Honduras,HND,1995,33872.34
Honduras,HND,2000,36108.21
Honduras,HND,2005,38739.18
Honduras,HND,2010,45038.75
Honduras,HND,2014,44778.34
Hungary,HUN,1995,107195.41
Hungary,HUN,2000,116747.4
Hungary,HUN,2005,137337.24
Hungary,HUN,2010,141808.87
Hungary,HUN,2014,165518.86
Iceland,ISL,1995,693999.41
Iceland,ISL,2000,815367.81
Iceland,ISL,2005,971269.57
Iceland,ISL,2010,693875.01
Iceland,ISL,2014,825857.21
India,IND,1995,8732.61
India,IND,2000,9773.08
India,IND,2005,11988.86
India,IND,2010,15335.38
India,IND,2014,18211.06
Indonesia,IDN,1995,33080.52
Indonesia,IDN,2000,25099.24
Indonesia,IDN,2005,29348.19
Indonesia,IDN,2010,40706.2
Indonesia,IDN,2014,46918.68
Iraq,IRQ,1995,11653.19
Iraq,IRQ,2000,18032.64
Iraq,IRQ,2005,50295.5
Iraq,IRQ,2010,91290.57
Iraq,IRQ,2014,101704.77
Ireland,IRL,1995,428153.48
Ireland,IRL,2000,624893.88
Ireland,IRL,2005,726766.67
Ireland,IRL,2010,626392.76
Ireland,IRL,2014,627255.98
Italy,ITA,1995,401114.61
Italy,ITA,2000,412772.46
Italy,ITA,2005,435534.27
Italy,ITA,2010,448662.83
Italy,ITA,2014,427465.53
Jamaica,JAM,1995,80091.5
Jamaica,JAM,2000,70505.31
Jamaica,JAM,2005,75731.35
Jamaica,JAM,2010,72492.65
Jamaica,JAM,2014,71766.19
Japan,JPN,1995,542452.52
Japan,JPN,2000,564578.52
Japan,JPN,2005,529738.51
Japan,JPN,2010,545379.62
Japan,JPN,2014,584500.34
Jordan,JOR,1995,48915.38
Jordan,JOR,2000,48448.51
Jordan,JOR,2005,42860.63
Jordan,JOR,2010,54361.28
Jordan,JOR,2014,49286.94
Kazakhstan,KAZ,1995,102799.42
Kazakhstan,KAZ,2000,96506.34
Kazakhstan,KAZ,2005,138592.88
Kazakhstan,KAZ,2010,171820.63
Kazakhstan,KAZ,2014,180911.37
Kenya,KEN,1995,21471.23
Kenya,KEN,2000,16319.51
Kenya,KEN,2005,17717.21
Kenya,KEN,2010,18292.55
Kenya,KEN,2014,19412.19
Kuwait,KWT,1995,787563.1
Kuwait,KWT,2000,855006.08
Kuwait,KWT,2005,1065404.11
Kuwait,KWT,2010,1109188.13
Kuwait,KWT,2014,1123143.56
Kyrgyzstan,KGZ,1995,15537.5
Kyrgyzstan,KGZ,2000,17660.28
Kyrgyzstan,KGZ,2005,20466.69
Kyrgyzstan,KGZ,2010,23941.29
Kyrgyzstan,KGZ,2014,24428.87
Laos,LAO,1995,15908.99
Laos,LAO,2000,20334.37
Laos,LAO,2005,26128.58
Laos,LAO,2010,32550.15
Laos,LAO,2014,39306.96
Latvia,LVA,1995,98414.9
Latvia,LVA,2000,115345.37
Latvia,LVA,2005,172726.67
Latvia,LVA,2010,178861.09
Latvia,LVA,2014,236906.45
Lebanon,LBN,1995,90164.35
Lebanon,LBN,2000,79796.48
Lebanon,LBN,2005,65795.25
Lebanon,LBN,2010,78907.48
Lebanon,LBN,2014,65148.33
Liberia,LBR,1995,8383.84
Liberia,LBR,2000,7100.68
Liberia,LBR,2005,6944.26
Liberia,LBR,2010,8085.33
Liberia,LBR,2014,10226.71
Lithuania,LTU,1995,81929.5
Lithuania,LTU,2000,105430.61
Lithuania,LTU,2005,141001.7
Lithuania,LTU,2010,145168.76
Lithuania,LTU,2014,169045.98
Luxembourg,LUX,1995,1121945.49
Luxembourg,LUX,2000,1280147.3
Luxembourg,LUX,2005,1300146.2
Luxembourg,LUX,2010,1173624.9
Luxembourg,LUX,2014,1288606.99
Macedonia,MKD,1995,46499.25
Macedonia,MKD,2000,41716.7
Macedonia,MKD,2005,41568.17
Macedonia,MKD,2010,52878.91
Macedonia,MKD,2014,52209.94
Madagascar,MDG,1995,11607.23
Madagascar,MDG,2000,9792.57
Madagascar,MDG,2005,8756.99
Madagascar,MDG,2010,9361.44
Madagascar,MDG,2014,9237.24
Malawi,MWI,1995,5528.31
Malawi,MWI,2000,6216.7
Malawi,MWI,2005,5495.78
Malawi,MWI,2010,8135.17
Malawi,MWI,2014,10442.48
Malaysia,MYS,1995,129605.82
Malaysia,MYS,2000,131249.31
Malaysia,MYS,2005,141325.14
Malaysia,MYS,2010,214414.59
Malaysia,MYS,2014,239202.86
Maldives,MDV,1995,17326.56
Maldives,MDV,2000,24186.01
Maldives,MDV,2005,35101.06
Maldives,MDV,2010,48973.7
Maldives,MDV,2014,44991.05
Mali,MLI,1995,11680.46
Mali,MLI,2000,11517.07
Mali,MLI,2005,12922.64
Mali,MLI,2010,16972.48
Mali,MLI,2014,17165.31
Malta,MLT,1995,192000.46
Malta,MLT,2000,222024.98
Malta,MLT,2005,239680.6
Malta,MLT,2010,242777.8
Malta,MLT,2014,303804.22
Mauritania,MRT,1995,17842.92
Mauritania,MRT,2000,17680.54
Mauritania,MRT,2005,22676.75
Mauritania,MRT,2010,31343.68
Mauritania,MRT,2014,29379.65
Mauritius,MUS,1995,63211.94
Mauritius,MUS,2000,74546.77
Mauritius,MUS,2005,123565.79
Mauritius,MUS,2010,192535.42
Mauritius,MUS,2014,97018.2
Mexico,MEX,1995,116247.05
Mexico,MEX,2000,120269.67
Mexico,MEX,2005,122942.22
Mexico,MEX,2010,117554.46
Mexico,MEX,2014,114445.57
Moldova,MDA,1995,31321.07
Moldova,MDA,2000,24374.75
Moldova,MDA,2005,32747.76
Moldova,MDA,2010,31796.19
Moldova,MDA,2014,35380.42
Mongolia,MNG,1995,57682.31
Mongolia,MNG,2000,53499.75
Mongolia,MNG,2005,62682.65
Mongolia,MNG,2010,69556.65
Mongolia,MNG,2014,79003.56
Morocco,MAR,1995,21662.36
Morocco,MAR,2000,23101.35
Morocco,MAR,2005,27956.3
Morocco,MAR,2010,34756.16
Morocco,MAR,2014,40488.29
Mozambique,MOZ,1995,4422.75
Mozambique,MOZ,2000,5361.72
Mozambique,MOZ,2005,5017.68
Mozambique,MOZ,2010,6965.11
Mozambique,MOZ,2014,7717.73
Namibia,NAM,1995,61998.12
Namibia,NAM,2000,49303.24
Namibia,NAM,2005,52458.14
Namibia,NAM,2010,77755.65
Namibia,NAM,2014,84397.69
Nepal,NPL,1995,9525.09
Nepal,NPL,2000,11021.67
Nepal,NPL,2005,12015.89
Nepal,NPL,2010,15066.23
Nepal,NPL,2014,14368.36
Netherlands,NLD,1995,595510.38
Netherlands,NLD,2000,638690.88
Netherlands,NLD,2005,641786.23
Netherlands,NLD,2010,740882.76
Netherlands,NLD,2014,792396.44
Nicaragua,NIC,1995,21843.38
Nicaragua,NIC,2000,22667.31
Nicaragua,NIC,2005,28794.56
Nicaragua,NIC,2010,32222.25
Nicaragua,NIC,2014,37083.95
Niger,NER,1995,10346.44
Niger,NER,2000,10656.69
Niger,NER,2005,11345.25
Niger,NER,2010,12244.12
Niger,NER,2014,11622.74
Nigeria,NGA,1995,48162.21
Nigeria,NGA,2000,35903.08
Nigeria,NGA,2005,41776.54
Nigeria,NGA,2010,45242.79
Nigeria,NGA,2014,37408.04
Norway,NOR,1995,1287244.79
Norway,NOR,2000,1307768.3
Norway,NOR,2005,1363646.41
Norway,NOR,2010,1499655.4
Norway,NOR,2014,1671756.08
Oman,OMN,1995,274632.98
Oman,OMN,2000,304961.8
Oman,OMN,2005,310635.97
Oman,OMN,2010,333584.61
Oman,OMN,2014,277573.69
Pakistan,PAK,1995,14998.09
Pakistan,PAK,2000,18703.84
Pakistan,PAK,2005,19482.18
Pakistan,PAK,2010,20363.53
Pakistan,PAK,2014,22181.66
Palestine,PSE,1995,21502.36
Palestine,PSE,2000,32281.31
Palestine,PSE,2005,35697.58
Palestine,PSE,2010,31183.02
Palestine,PSE,2014,30567.43
Panama,PAN,1995,75745.32
Panama,PAN,2000,93157.97
Panama,PAN,2005,90240.85
Panama,PAN,2010,116676.91
Panama,PAN,2014,136125.43
Papua New Guinea,PNG,1995,48452.65
Papua New Guinea,PNG,2000,41240.98
Papua New Guinea,PNG,2005,41602.73
Papua New Guinea,PNG,2010,48896.36
Papua New Guinea,PNG,2014,50489.34
Paraguay,PRY,1995,53274.09
Paraguay,PRY,2000,58545.2
Paraguay,PRY,2005,62785.04
Paraguay,PRY,2010,71594.4
Paraguay,PRY,2014,85574.86
Peru,PER,1995,39145.04
Peru,PER,2000,39445.74
Peru,PER,2005,48341.34
Peru,PER,2010,69655.26
Peru,PER,2014,81931.33
Philippines,PHL,1995,24166.01
Philippines,PHL,2000,21412.43
Philippines,PHL,2005,23230.41
Philippines,PHL,2010,27289.68
Philippines,PHL,2014,30823.25
Poland,POL,1995,82187.19
Poland,POL,2000,103167.15
Poland,POL,2005,109438.63
Poland,POL,2010,146589.79
Poland,POL,2014,154931.84
Portugal,PRT,1995,275673.7
Portugal,PRT,2000,318459.88
Portugal,PRT,2005,336061.18
Portugal,PRT,2010,320380.31
Portugal,PRT,2014,274452.78
Qatar,QAT,1995,733338.23
Qatar,QAT,2000,1185091.44
Qatar,QAT,2005,1339511.27
Qatar,QAT,2010,1330800.64
Qatar,QAT,2014,1597124.62
Romania,ROU,1995,75994.15
Romania,ROU,2000,66613.06
Romania,ROU,2005,96527.78
Romania,ROU,2010,101417.4
Romania,ROU,2014,107021.78
Russia,RUS,1995,137042.57
Russia,RUS,2000,122308.74
Russia,RUS,2005,158164.54
Russia,RUS,2010,197143.49
Russia,RUS,2014,188714.6
Rwanda,RWA,1995,8623.56
Rwanda,RWA,2000,8043.43
Rwanda,RWA,2005,9551.68
Rwanda,RWA,2010,12250.61
Rwanda,RWA,2014,21619.33
Saudi Arabia,SAU,1995,341680.26
Saudi Arabia,SAU,2000,316511.81
Saudi Arabia,SAU,2005,360812.38
Saudi Arabia,SAU,2010,456534.75
Saudi Arabia,SAU,2014,512868.75
Senegal,SEN,1995,11286.1
Senegal,SEN,2000,12054.47
Senegal,SEN,2005,12657.22
Senegal,SEN,2010,13181.32
Senegal,SEN,2014,13085.09
Sierra Leone,SLE,1995,6766.73
Sierra Leone,SLE,2000,6348.49
Sierra Leone,SLE,2005,5825.97
Sierra Leone,SLE,2010,8501.02
Sierra Leone,SLE,2014,14741.64
Singapore,SGP,1995,418122.19
Singapore,SGP,2000,508559.77
Singapore,SGP,2005,617095.02
Singapore,SGP,2010,695410.68
Singapore,SGP,2014,775196.02
Slovakia,SVK,1995,111156.79
Slovakia,SVK,2000,128466.65
Slovakia,SVK,2005,152490.84
Slovakia,SVK,2010,205495.22
Slovakia,SVK,2014,213211.42
Slovenia,SVN,1995,247535.85
Slovenia,SVN,2000,284539.88
Slovenia,SVN,2005,329598.65
Slovenia,SVN,2010,365275.24
Slovenia,SVN,2014,351776.14
Solomon Islands,SLB,1995,31356.55
Solomon Islands,SLB,2000,25070.22
Solomon Islands,SLB,2005,24757.43
Solomon Islands,SLB,2010,30343.34
Solomon Islands,SLB,2014,31245.16
South Africa,ZAF,1995,63217.05
South Africa,ZAF,2000,59943.76
South Africa,ZAF,2005,56672.97
South Africa,ZAF,2010,71102.4
South Africa,ZAF,2014,77348.21
South Korea,KOR,1995,221953.06
South Korea,KOR,2000,251977.71
South Korea,KOR,2005,316093.14
South Korea,KOR,2010,369120.12
South Korea,KOR,2014,424052.13
Spain,ESP,1995,348391.22
Spain,ESP,2000,402746.91
Spain,ESP,2005,459648.97
Spain,ESP,2010,404617.51
Spain,ESP,2014,342470.34
Sri Lanka,LKA,1995,20844.28
Sri Lanka,LKA,2000,24732.31
Sri Lanka,LKA,2005,28917.43
Sri Lanka,LKA,2010,38529.78
Sri Lanka,LKA,2014,44969.69
Suriname,SUR,1995,146444.33
Suriname,SUR,2000,132017.79
Suriname,SUR,2005,140589.85
Suriname,SUR,2010,142448
Suriname,SUR,2014,161690.18
Swaziland,SWZ,1995,36579.38
Swaziland,SWZ,2000,40918.86
Swaziland,SWZ,2005,41290.8
Swaziland,SWZ,2010,44971.68
Swaziland,SWZ,2014,52670.1
Sweden,SWE,1995,560142.61
Sweden,SWE,2000,648253.2
Sweden,SWE,2005,722871.13
Sweden,SWE,2010,821027.42
Sweden,SWE,2014,886129.18
Switzerland,CHE,1995,1219131.45
Switzerland,CHE,2000,1288622.69
Switzerland,CHE,2005,1326356.42
Switzerland,CHE,2010,1398076.26
Switzerland,CHE,2014,1466756.7
Tajikistan,TJK,1995,20616.82
Tajikistan,TJK,2000,20869.44
Tajikistan,TJK,2005,23354.45
Tajikistan,TJK,2010,38333.69
Tajikistan,TJK,2014,42285.62
Tanzania,TZA,1995,20900.4
Tanzania,TZA,2000,16378.01
Tanzania,TZA,2005,15420.37
Tanzania,TZA,2010,16163.87
Tanzania,TZA,2014,17450.6
Thailand,THA,1995,38416.07
Thailand,THA,2000,44850.1
Thailand,THA,2005,54484.61
Thailand,THA,2010,57057.64
Thailand,THA,2014,62598.94
Togo,TGO,1995,12830.89
Togo,TGO,2000,14627.87
Togo,TGO,2005,12879.58
Togo,TGO,2010,17533.11
Togo,TGO,2014,18923.75
Tunisia,TUN,1995,28918.39
Tunisia,TUN,2000,32390.09
Tunisia,TUN,2005,35782.93
Tunisia,TUN,2010,42079.08
Tunisia,TUN,2014,45150.39
Turkey,TUR,1995,45282.75
Turkey,TUR,2000,41608.14
Turkey,TUR,2005,36997.25
Turkey,TUR,2010,40238.88
Turkey,TUR,2014,45998
Turkmenistan,TKM,1995,86961.31
Turkmenistan,TKM,2000,92265
Turkmenistan,TKM,2005,109526.22
Turkmenistan,TKM,2010,118246.63
Turkmenistan,TKM,2014,146830.97
Uganda,UGA,1995,9010.45
Uganda,UGA,2000,8907.3
Uganda,UGA,2005,12453.15
Uganda,UGA,2010,13978.79
Uganda,UGA,2014,13732.08
Ukraine,UKR,1995,54953.57
Ukraine,UKR,2000,43943.56
Ukraine,UKR,2005,52474.22
Ukraine,UKR,2010,61363.97
Ukraine,UKR,2014,56053.44
United Arab Emirates,ARE,1995,1296028.1
United Arab Emirates,ARE,2000,1196284.17
United Arab Emirates,ARE,2005,992980
United Arab Emirates,ARE,2010,672803.56
United Arab Emirates,ARE,2014,738270.42
United Kingdom,GBR,1995,498991.58
United Kingdom,GBR,2000,587733.93
United Kingdom,GBR,2005,665092.06
United Kingdom,GBR,2010,621646.78
United Kingdom,GBR,2014,647693.55
United States,USA,1995,782762.08
United States,USA,2000,907706.85
United States,USA,2005,970026.39
United States,USA,2010,944554.33
United States,USA,2014,983279.87
Uruguay,URY,1995,131723.59
Uruguay,URY,2000,160595.42
Uruguay,URY,2005,145775.6
Uruguay,URY,2010,226838.66
Uruguay,URY,2014,254600.66
Venezuela,VEN,1995,118234.94
Venezuela,VEN,2000,107392.3
Venezuela,VEN,2005,107460.98
Venezuela,VEN,2010,113285.86
Venezuela,VEN,2014,162559.82
Vietnam,VNM,1995,13027.09
Vietnam,VNM,2000,17108.92
Vietnam,VNM,2005,21138.92
Vietnam,VNM,2010,23828.06
Vietnam,VNM,2014,27368.14
Yemen,YEM,1995,17521.75
Yemen,YEM,2000,22433.65
Yemen,YEM,2005,25707.76
Yemen,YEM,2010,28114.73
Yemen,YEM,2014,22908.59
Zambia,ZMB,1995,34491.08
Zambia,ZMB,2000,26250.61
Zambia,ZMB,2005,26610.05
Zambia,ZMB,2010,34678.24
Zambia,ZMB,2014,40965.41
Zimbabwe,ZWE,1995,24949.09
Zimbabwe,ZWE,2000,24547.93
Zimbabwe,ZWE,2005,15772.61
Zimbabwe,ZWE,2010,19005.41
Zimbabwe,ZWE,2014,18957.62
