Entity,Code,Year,Percentage of teachers in tertiary education who are female (%) (%)
Cambodia,KHM,2000,18.569709777832
Cambodia,KHM,2001,17.79660987854
Cambodia,KHM,2002,17.8739395141602
Cambodia,KHM,2004,15.6171998977661
Cambodia,KHM,2005,15.6124897003174
Cambodia,KHM,2006,11.4075403213501
Cambodia,KHM,2011,11.9910802841187
Cameroon,CMR,1971,9.54545021057129
Cameroon,CMR,1972,9.35251998901367
Cameroon,CMR,1973,13.4146299362183
Cameroon,CMR,2001,14.3198900222778
Cameroon,CMR,2008,17.8664608001709
Cameroon,CMR,2010,19.0082607269287
Canada,CAN,1993,33.7389183044434
Canada,CAN,1994,33.8096199035645
Canada,CAN,1995,33.7747383117676
Canada,CAN,1999,41.1520004272461
Canada,CAN,2000,41.1516609191895
Cape Verde,CPV,2003,45.8620681762695
Cape Verde,CPV,2004,45.8823509216309
Cape Verde,CPV,2005,41.4432983398438
Cape Verde,CPV,2006,42.9889297485352
Cape Verde,CPV,2007,38.8135604858398
Cape Verde,CPV,2008,42.8030281066895
Cape Verde,CPV,2009,40.3803100585938
Cape Verde,CPV,2010,42.1166305541992
Cape Verde,CPV,2011,38.7609214782715
Cape Verde,CPV,2012,37.2340393066406
Cape Verde,CPV,2013,37.7969818115234
Cape Verde,CPV,2014,39.505298614502
Cayman Islands,CYM,1999,42.1052589416504
Cayman Islands,CYM,2000,45.4545516967773
Cayman Islands,CYM,2001,33.3333282470703
Cayman Islands,CYM,2006,24.4897994995117
Cayman Islands,CYM,2007,44
Cayman Islands,CYM,2008,58.8235282897949
Central African Republic,CAF,1980,10.7526903152466
Central African Republic,CAF,1981,15.3153200149536
Central African Republic,CAF,1982,12.1359195709229
Central African Republic,CAF,1983,13.4210500717163
Central African Republic,CAF,1984,15.9574499130249
Central African Republic,CAF,1986,7.77095985412598
Central African Republic,CAF,1989,13.9896402359009
Central African Republic,CAF,1999,5
Central African Republic,CAF,2000,9.23077011108398
Central African Republic,CAF,2008,20.8589000701904
Central African Republic,CAF,2011,9.375
Chad,TCD,1973,24.3902397155762
Chad,TCD,1974,16.4705905914307
Chad,TCD,1975,18.0851097106934
Chad,TCD,1977,11.2903203964233
Chad,TCD,1985,7.80142021179199
Chad,TCD,1997,5.11363983154297
Chad,TCD,2000,4.64548015594482
Chad,TCD,2001,4.72812986373901
Chad,TCD,2003,4.2219500541687
Chad,TCD,2004,3.21058011054993
Chad,TCD,2005,1.22511005401611
Chad,TCD,2008,4.00395011901855
Chad,TCD,2009,3.70994997024536
Chile,CHL,1983,21.3481502532959
Chile,CHL,1984,22.1399803161621
Chile,CHL,2007,38.6942100524902
Chile,CHL,2008,39.0402297973633
Chile,CHL,2009,40.0764198303223
Chile,CHL,2010,41.0696182250977
Chile,CHL,2011,41.249568939209
Chile,CHL,2012,42.0690994262695
Chile,CHL,2013,42.5726013183594
China,CHN,1974,21.5934505462646
China,CHN,1975,21.2599601745605
China,CHN,1976,24.3945999145508
China,CHN,1977,24.68922996521
China,CHN,1978,26.760290145874
China,CHN,1979,25.3997497558594
China,CHN,1980,26.2217197418213
China,CHN,1987,31.8544902801514
China,CHN,1994,30.1942596435547
China,CHN,2001,45.372989654541
China,CHN,2002,45.3729095458984
China,CHN,2003,44.3989715576172
China,CHN,2004,43.5764198303223
China,CHN,2005,42.5156707763672
China,CHN,2006,41.6107406616211
China,CHN,2007,42.5077514648438
China,CHN,2008,43.144359588623
China,CHN,2009,44.4198913574219
China,CHN,2010,44.659538269043
China,CHN,2011,45.1257781982422
Colombia,COL,1975,13.8703699111938
Colombia,COL,1977,17.9046497344971
Colombia,COL,1978,18.864330291748
Colombia,COL,1979,18.5559406280518
Colombia,COL,1980,19.8612499237061
Colombia,COL,1981,20.479850769043
Colombia,COL,1982,21.4018306732178
Colombia,COL,1984,22.7327308654785
Colombia,COL,1985,24.2764892578125
Colombia,COL,1986,23.6072902679443
Colombia,COL,1987,23.3278408050537
Colombia,COL,1988,24.0716800689697
Colombia,COL,1989,25.2605094909668
Colombia,COL,1990,26.6278991699219
Colombia,COL,1991,25.9840507507324
Colombia,COL,1992,26.9287300109863
Colombia,COL,1994,27.7874698638916
Colombia,COL,1997,29.7188606262207
Colombia,COL,1999,33.6780204772949
Colombia,COL,2000,31.7530307769775
Colombia,COL,2001,33.9587516784668
Colombia,COL,2002,33.0421600341797
Colombia,COL,2004,33.2015914916992
Colombia,COL,2005,34.3257904052734
Colombia,COL,2006,35.2689514160156
Colombia,COL,2007,35.2683486938477
Colombia,COL,2009,65.6478500366211
Colombia,COL,2013,35.9344215393066
Colombia,COL,2014,35.7797317504883
Comoros,COM,1990,31.25
Comoros,COM,1999,10.4477596282959
Comoros,COM,2003,14.3999996185303
Comoros,COM,2009,18.9944095611572
Comoros,COM,2010,20.0873394012451
Comoros,COM,2012,9.09090995788574
Congo,COG,1971,20.5128192901611
Congo,COG,1972,30.5970096588135
Congo,COG,1973,23.4482803344727
Congo,COG,1974,20.4819297790527
Congo,COG,1975,8.44443988800049
Congo,COG,1976,15.1515197753906
Congo,COG,1978,11.8110198974609
Congo,COG,1980,10.5960302352905
Congo,COG,1981,9.24658012390137
Congo,COG,1982,10.451979637146
Congo,COG,1983,10.8796300888062
Congo,COG,1984,8.84955978393555
Congo,COG,1991,8.54316997528076
Congo,COG,1992,7.8516001701355
Congo,COG,1999,4.97737979888916
Congo,COG,2000,4.9612398147583
Congo,COG,2001,5.01221990585327
Congo,COG,2002,5.26918983459473
Congo,COG,2009,5.04273986816406
Congo,COG,2011,6.62588977813721
Congo,COG,2012,7.26560020446777
Costa Rica,CRI,1986,32.86376953125
Cote d'Ivoire,CIV,1974,23.3695697784424
Cote d'Ivoire,CIV,2008,32.2131004333496
Cote d'Ivoire,CIV,2010,11.9392700195313
Cote d'Ivoire,CIV,2011,15.013279914856
Cote d'Ivoire,CIV,2013,27.4621105194092
Cote d'Ivoire,CIV,2014,15.0866899490356
Croatia,HRV,1993,34.5648918151855
Croatia,HRV,1994,33.4111099243164
Croatia,HRV,1995,32.7767906188965
Croatia,HRV,1996,34.2134399414063
Croatia,HRV,1997,33.8688316345215
Croatia,HRV,2007,41.2160606384277
Croatia,HRV,2008,41.6342086791992
Croatia,HRV,2009,42.4007987976074
Croatia,HRV,2010,43.6549797058105
Croatia,HRV,2011,46.3018608093262
Croatia,HRV,2012,47.7466888427734
Croatia,HRV,2014,48.0049896240234
Cuba,CUB,1982,37.8190307617188
Cuba,CUB,1983,39.6252708435059
Cuba,CUB,1984,36.1708793640137
Cuba,CUB,1985,39.7527809143066
Cuba,CUB,1986,42.594108581543
Cuba,CUB,1987,43.3226699829102
Cuba,CUB,1988,43.428768157959
Cuba,CUB,1989,44.5728492736816
Cuba,CUB,1990,45.0222511291504
Cuba,CUB,1991,44.462459564209
Cuba,CUB,1992,45.574951171875
Cuba,CUB,1993,47.1065483093262
Cuba,CUB,1995,45.415599822998
Cuba,CUB,1996,45.2039909362793
Cuba,CUB,1997,45.4195098876953
Cuba,CUB,1998,47.6384506225586
Cuba,CUB,1999,47.6959686279297
Cuba,CUB,2000,47.9898796081543
Cuba,CUB,2001,48.5123596191406
Cuba,CUB,2002,47.3077392578125
Cuba,CUB,2003,36.6271896362305
Cuba,CUB,2004,45.6393089294434
Cuba,CUB,2005,58.8261795043945
Cuba,CUB,2006,57.5845909118652
Cuba,CUB,2007,55.8483085632324
Cuba,CUB,2008,58.6926193237305
Cuba,CUB,2009,59.4443397521973
Cuba,CUB,2010,60.224739074707
Cuba,CUB,2011,52.1928787231445
Cuba,CUB,2012,55.6381683349609
Cuba,CUB,2014,53.8074684143066
Cyprus,CYP,1971,21.875
Cyprus,CYP,1972,18.5185203552246
Cyprus,CYP,1973,18.8118801116943
Cyprus,CYP,1974,18.2608699798584
Cyprus,CYP,1978,30.8270702362061
Cyprus,CYP,1979,29.6703300476074
Cyprus,CYP,1980,26.8292694091797
Cyprus,CYP,1981,25.1101303100586
Cyprus,CYP,1982,23.0769195556641
Cyprus,CYP,1983,26.6666698455811
Cyprus,CYP,1984,24.3542404174805
Cyprus,CYP,1985,26.5517196655273
Cyprus,CYP,1986,31.4868793487549
Cyprus,CYP,1987,30.6878299713135
Cyprus,CYP,1988,34.8519401550293
Cyprus,CYP,1989,38.1395301818848
Cyprus,CYP,1990,42.2037391662598
Cyprus,CYP,1991,41.1337203979492
Cyprus,CYP,1992,37.5257682800293
Cyprus,CYP,1993,36.5714302062988
Cyprus,CYP,1994,38.0689697265625
Cyprus,CYP,1995,38.5276107788086
Cyprus,CYP,1996,38.9370918273926
Cyprus,CYP,1997,35.721019744873
Cyprus,CYP,1999,33.5495796203613
Cyprus,CYP,2000,33.5489807128906
Cyprus,CYP,2002,38.0035018920898
Cyprus,CYP,2003,41.1236000061035
Cyprus,CYP,2004,41.5068511962891
Cyprus,CYP,2005,41.5575485229492
Cyprus,CYP,2006,39.7562408447266
Cyprus,CYP,2007,39.8574600219727
Cyprus,CYP,2008,39.6750717163086
