Entity,Code,Year,International migrant stock (% of population) (% of population)
Bermuda,BMU,2000,27.5911610837823
Bermuda,BMU,2005,28.0633867698544
Bermuda,BMU,2010,29.5274728711261
Bermuda,BMU,2015,30.8463970066447
Bhutan,BTN,1990,4.44571012408848
Bhutan,BTN,1995,5.4965936132459
Bhutan,BTN,2000,5.69616102462481
Bhutan,BTN,2005,6.18570158316735
Bhutan,BTN,2010,6.72270307644888
Bhutan,BTN,2015,6.59576939457687
Bolivia,BOL,1990,1.07577820282411
Bolivia,BOL,1995,1.10481218007918
Bolivia,BOL,2000,1.11107220662312
Bolivia,BOL,2005,1.18071471896316
Bolivia,BOL,2010,1.23858606033628
Bolivia,BOL,2015,1.33326744185504
Bosnia and Herzegovina,BIH,1990,1.23702340359921
Bosnia and Herzegovina,BIH,1995,1.79095182144719
Bosnia and Herzegovina,BIH,2000,2.18704635371873
Bosnia and Herzegovina,BIH,2005,1.23316856129726
Bosnia and Herzegovina,BIH,2010,1.01145737783482
Bosnia and Herzegovina,BIH,2015,0.913364839954483
Botswana,BWA,1990,1.99374698328905
Botswana,BWA,1995,2.54826044175853
Botswana,BWA,2000,3.2860008096378
Botswana,BWA,2005,4.76549662205479
Botswana,BWA,2010,5.9043934777821
Botswana,BWA,2015,7.10033436685768
Brazil,BRA,1990,0.530953063465134
Brazil,BRA,1995,0.45562763292131
Brazil,BRA,2000,0.389447556993318
Brazil,BRA,2005,0.338807605548494
Brazil,BRA,2010,0.298351263974025
Brazil,BRA,2015,0.34331320024167
British Virgin Islands,VGB,1990,48.8182757154141
British Virgin Islands,VGB,1995,54.5237449118046
British Virgin Islands,VGB,2000,58.4120525117473
British Virgin Islands,VGB,2005,59.5968751348785
British Virgin Islands,VGB,2010,57.1502038717261
British Virgin Islands,VGB,2015,57.4692034399177
Brunei,BRN,1990,28.4892523128058
Brunei,BRN,1995,28.7271617911257
Brunei,BRN,2000,29.1317001155636
Brunei,BRN,2005,27.2019873497122
Brunei,BRN,2010,25.5750034324768
Brunei,BRN,2015,24.2759719084662
Bulgaria,BGR,1990,0.243846835166228
Bulgaria,BGR,1995,0.388065922990301
Bulgaria,BGR,2000,0.541965449702581
Bulgaria,BGR,2005,0.794963797478306
Bulgaria,BGR,2010,1.02988985050822
Bulgaria,BGR,2015,1.428196392424
Burkina Faso,BFA,1990,3.96839961897771
Burkina Faso,BFA,1995,4.30974572928349
Burkina Faso,BFA,2000,4.48002678165918
Burkina Faso,BFA,2005,4.44773623821136
Burkina Faso,BFA,2010,4.31103604603512
Burkina Faso,BFA,2015,3.89203985292924
Burundi,BDI,1990,5.9344669945045
Burundi,BDI,1995,4.08481767197786
Burundi,BDI,2000,1.85645994952323
Burundi,BDI,2005,2.17884243843718
Burundi,BDI,2010,2.48658800012726
Burundi,BDI,2015,2.56563222872762
Cambodia,KHM,1990,0.425969734669974
Cambodia,KHM,1995,0.862409215837846
Cambodia,KHM,2000,1.19762369029764
Cambodia,KHM,2005,0.856084860891747
Cambodia,KHM,2010,0.570727950527118
Cambodia,KHM,2015,0.474794450779274
Cameroon,CMR,1990,2.19831075446886
Cameroon,CMR,1995,1.77222923168869
Cameroon,CMR,2000,1.43387189359828
Cameroon,CMR,2005,1.42735706004066
Cameroon,CMR,2010,1.40399052658132
Cameroon,CMR,2015,1.63631370372888
Canada,CAN,1990,15.6649883379774
Canada,CAN,1995,16.6036336893101
Canada,CAN,2000,17.9530044114855
Canada,CAN,2005,18.8458650895004
Canada,CAN,2010,20.5450110095849
Canada,CAN,2015,21.801663648343
Cape Verde,CPV,1990,2.61709684225332
Cape Verde,CPV,1995,2.5642672861269
Cape Verde,CPV,2000,2.51335082293037
Cape Verde,CPV,2005,2.67805931374203
Cape Verde,CPV,2010,2.93099826868606
Cape Verde,CPV,2015,2.86723201832078
Caribbean small states,,1990,3.44096378658055
Caribbean small states,,1995,3.69294739090454
Caribbean small states,,2000,3.97798644344685
Caribbean small states,,2005,4.33690888620814
Caribbean small states,,2010,4.64792337158645
Caribbean small states,,2015,4.89605748358386
Cayman Islands,CYM,1990,37.5344875844696
Cayman Islands,CYM,1995,45.2134377368022
Cayman Islands,CYM,2000,46.1868777737795
Cayman Islands,CYM,2005,44.5365362071448
Cayman Islands,CYM,2010,43.3389180132951
Cayman Islands,CYM,2015,39.5650941351076
Central African Republic,CAF,1990,2.28855836548856
Central African Republic,CAF,1995,2.9891121876349
Central African Republic,CAF,2000,3.31528203608757
Central African Republic,CAF,2005,2.32884933652365
Central African Republic,CAF,2010,2.10273493224818
Central African Republic,CAF,2015,1.6651721924121
Central Europe and the Baltics,,1990,3.44119228362063
Central Europe and the Baltics,,1995,3.33967901553609
Central Europe and the Baltics,,2000,3.02273188460915
Central Europe and the Baltics,,2005,3.14434682721334
Central Europe and the Baltics,,2010,3.22912906734273
Central Europe and the Baltics,,2015,3.27849803749078
Chad,TCD,1990,1.24776309990128
Chad,TCD,1995,1.27947276307216
Chad,TCD,2000,1.25639418643967
Chad,TCD,2005,3.49686509602965
Chad,TCD,2010,3.50462913928439
Chad,TCD,2015,3.68277137079953
Channel Islands,OWID_CIS,1990,43.8333961285002
Channel Islands,OWID_CIS,1995,42.0124956612287
Channel Islands,OWID_CIS,2000,43.2348293830896
Channel Islands,OWID_CIS,2005,45.9766166768202
Channel Islands,OWID_CIS,2010,48.6148273938953
Channel Islands,OWID_CIS,2015,50.2816264692227
Chile,CHL,1990,0.818045411675431
Chile,CHL,1995,1.00336156453867
Chile,CHL,2000,1.16893524206073
Chile,CHL,2005,1.69839899441937
Chile,CHL,2010,2.17123101856662
Chile,CHL,2015,2.61551321666127
China,CHN,1990,0.0325964938683881
China,CHN,1995,0.0360142639641385
China,CHN,2000,0.0400034781168831
China,CHN,2005,0.0520026556666107
China,CHN,2010,0.0633766452975853
China,CHN,2015,0.071076396299372
Colombia,COL,1990,0.304266834868313
Colombia,COL,1995,0.285623249625153
Colombia,COL,2000,0.271282821567065
Colombia,COL,2005,0.248609030487619
Colombia,COL,2010,0.270636192032419
Colombia,COL,2015,0.276047226979187
Comoros,COM,1990,3.39135336172509
Comoros,COM,1995,2.9065378857069
Comoros,COM,2000,2.51946335193246
Comoros,COM,2005,2.13519507558613
Comoros,COM,2010,1.80593821338352
Comoros,COM,2015,1.59231629704974
Congo,COG,1990,5.430496210507
Congo,COG,1995,7.04209825019651
Congo,COG,2000,9.80944395611959
Congo,COG,2005,8.99886557167024
Congo,COG,2010,10.3207316731258
Congo,COG,2015,8.50579936930912
Costa Rica,CRI,1990,13.4893026278475
Costa Rica,CRI,1995,10.3758126419676
Costa Rica,CRI,2000,7.92128291023959
Costa Rica,CRI,2005,8.43192650952495
Costa Rica,CRI,2010,8.91924423461473
Costa Rica,CRI,2015,8.77100991087492
Cote d'Ivoire,CIV,1990,14.9304585460897
Cote d'Ivoire,CIV,1995,14.4150582393917
Cote d'Ivoire,CIV,2000,12.0725346756147
Cote d'Ivoire,CIV,2005,11.0894890347837
Cote d'Ivoire,CIV,2010,10.407388702806
Cote d'Ivoire,CIV,2015,9.58259865535208
Croatia,HRV,1990,9.95395251711863
Croatia,HRV,1995,14.6008176293255
Croatia,HRV,2000,13.2179060443728
Croatia,HRV,2005,13.231283473761
Croatia,HRV,2010,13.280619957488
Croatia,HRV,2015,13.6047139871854
Cuba,CUB,1990,0.326542546164356
Cuba,CUB,1995,0.240114475931153
Cuba,CUB,2000,0.160280124104204
Cuba,CUB,2005,0.151167049046572
Cuba,CUB,2010,0.131038430481849
Cuba,CUB,2015,0.117089665081063
Curacao,CUW,2010,23.4592324108262
Curacao,CUW,2015,23.925115932902
Cyprus,CYP,1990,5.71411054628749
Cyprus,CYP,1995,7.24126683883005
Cyprus,CYP,2000,8.48903886091932
Cyprus,CYP,2005,11.3467546528812
Cyprus,CYP,2010,17.0268690794928
Cyprus,CYP,2015,16.834034154295
Czech Republic,CZE,1990,1.06932581639085
Czech Republic,CZE,1995,1.60215860665841
Czech Republic,CZE,2000,2.15130843680363
Czech Republic,CZE,2005,3.1526134074332
Czech Republic,CZE,2010,3.78604264341224
Czech Republic,CZE,2015,3.84222568016916
Democratic Republic of Congo,COD,1990,2.15714037449536
Democratic Republic of Congo,COD,1995,4.30727140060526
Democratic Republic of Congo,COD,2000,1.54923558332444
Democratic Republic of Congo,COD,2005,1.11049055567156
Democratic Republic of Congo,COD,2010,0.893177895255218
Democratic Republic of Congo,COD,2015,0.70624628058302
Denmark,DNK,1990,4.57536594912546
Denmark,DNK,1995,5.79270425193528
Denmark,DNK,2000,6.9502871990863
Denmark,DNK,2005,8.12860900915002
Denmark,DNK,2010,9.18291776249834
Denmark,DNK,2015,10.0989913532723
Djibouti,DJI,1990,20.7733073173385
Djibouti,DJI,1995,15.0926671063539
Djibouti,DJI,2000,13.9098098156283
Djibouti,DJI,2005,11.8307155905787
Djibouti,DJI,2010,12.2261381171446
Djibouti,DJI,2015,12.6541204084874
Dominica,DMA,1990,3.5514888337469
Dominica,DMA,1995,4.37316967225749
Dominica,DMA,2000,5.34307323583863
Dominica,DMA,2005,6.72507158855717
Dominica,DMA,2010,8.1006646338893
Dominica,DMA,2015,9.24600990643918
Dominican Republic,DOM,1990,4.05296975936732
Dominican Republic,DOM,1995,4.09736177243482
Dominican Republic,DOM,2000,4.1530615093062
Dominican Republic,DOM,2005,4.07034754288603
Dominican Republic,DOM,2010,3.97778011944454
Dominican Republic,DOM,2015,3.94707985294239
Early-demographic dividend,,1990,2.08889822677595
Early-demographic dividend,,1995,1.68644831492826
Early-demographic dividend,,2000,1.54524106380506
Early-demographic dividend,,2005,1.46383457892977
Early-demographic dividend,,2010,1.55891132505538
Early-demographic dividend,,2015,1.64603555157974
East Asia & Pacific,,1990,0.638675004054141
East Asia & Pacific,,1995,0.695981909937319
East Asia & Pacific,,2000,0.774455651656273
East Asia & Pacific,,2005,0.886947569270121
East Asia & Pacific,,2010,1.04672265111494
East Asia & Pacific,,2015,1.13354526033843
East Asia & Pacific (IDA & IBRD),,1990,0.158750076314394
East Asia & Pacific (IDA & IBRD),,1995,0.184665034770086
East Asia & Pacific (IDA & IBRD),,2000,0.226025126185276
East Asia & Pacific (IDA & IBRD),,2005,0.291402967497887
East Asia & Pacific (IDA & IBRD),,2010,0.378954863341399
East Asia & Pacific (IDA & IBRD),,2015,0.415425218892789
East Asia & Pacific (excluding high income),,1990,0.160026664144878
East Asia & Pacific (excluding high income),,1995,0.185434310441933
East Asia & Pacific (excluding high income),,2000,0.226191036625457
East Asia & Pacific (excluding high income),,2005,0.290805178305024
East Asia & Pacific (excluding high income),,2010,0.377358801384971
East Asia & Pacific (excluding high income),,2015,0.413520263310151
Ecuador,ECU,1990,0.769840924204486
Ecuador,ECU,1995,1.00600704020497
Ecuador,ECU,2000,1.19984042564985
Ecuador,ECU,2005,1.36440360090023
Ecuador,ECU,2010,2.17859196560599
Ecuador,ECU,2015,2.40029910130242
Egypt,EGY,1990,0.308007800306231
Egypt,EGY,1995,0.26740812819804
Egypt,EGY,2000,0.253826357115738
Egypt,EGY,2005,0.365616849751305
Egypt,EGY,2010,0.360446632326273
Egypt,EGY,2015,0.537267286680377
El Salvador,SLV,1990,0.901737634713243
El Salvador,SLV,1995,0.707439937746287
El Salvador,SLV,2000,0.545662334587555
El Salvador,SLV,2005,0.605645743564289
El Salvador,SLV,2010,0.667803188510155
El Salvador,SLV,2015,0.686271613393632
Equatorial Guinea,GNQ,1990,0.726091323208688
Equatorial Guinea,GNQ,1995,0.809444786452896
Equatorial Guinea,GNQ,2000,0.850825773786203
Equatorial Guinea,GNQ,2005,1.05262148766669
Equatorial Guinea,GNQ,2010,1.18812696408722
Equatorial Guinea,GNQ,2015,1.28097413201429
Eritrea,ERI,1990,0.37743506622794
Eritrea,ERI,1995,0.391897209154592
Eritrea,ERI,2000,0.366377042484122
Eritrea,ERI,2005,0.341519151818552
Eritrea,ERI,2010,0.334267017850319
Estonia,EST,1990,24.4037640865765
Estonia,EST,1995,22.0333743639556
Estonia,EST,2000,17.83317669005
Estonia,EST,2005,17.2388840286148
Estonia,EST,2010,16.3570151844209
Estonia,EST,2015,15.4163092221449
Ethiopia,ETH,1990,2.40420280094339
Ethiopia,ETH,1995,1.40975385494748
Ethiopia,ETH,2000,0.920154796542265
Ethiopia,ETH,2005,0.671260321204072
Ethiopia,ETH,2010,0.648364822592643
Ethiopia,ETH,2015,1.07952601222951
Euro area,,1990,6.50093700696442
Euro area,,1995,7.21573852436421
Euro area,,2000,8.18188347960732
Euro area,,2005,10.1099800782986
Euro area,,2010,11.866659012457
Euro area,,2015,12.219103172069
Europe & Central Asia,,1990,6.96591112086735
Europe & Central Asia,,1995,7.18138826000857
Europe & Central Asia,,2000,7.44161961318081
Europe & Central Asia,,2005,8.24933466165845
Europe & Central Asia,,2010,9.02317709657115
Europe & Central Asia,,2015,9.47409950176326
Europe & Central Asia (IDA & IBRD),,1990,7.36555135199498
Europe & Central Asia (IDA & IBRD),,1995,7.0890707686565
Europe & Central Asia (IDA & IBRD),,2000,6.70118041517165
Europe & Central Asia (IDA & IBRD),,2005,6.4384182908752
Europe & Central Asia (IDA & IBRD),,2010,6.13706210618791
Europe & Central Asia (IDA & IBRD),,2015,6.47922543738165
Europe & Central Asia (excluding high income),,1990,7.77240081104061
Europe & Central Asia (excluding high income),,1995,7.45447841540164
Europe & Central Asia (excluding high income),,2000,7.07391493978025
Europe & Central Asia (excluding high income),,2005,6.80662266601414
Europe & Central Asia (excluding high income),,2010,6.48582689979924
Europe & Central Asia (excluding high income),,2015,6.85879629879379
European Union,,1990,5.67988773704204
European Union,,1995,6.3165505592002
European Union,,2000,7.0654451114267
European Union,,2005,8.66935848568595
European Union,,2010,10.2451835486653
European Union,,2015,10.7257816818978
Faeroe Islands,FRO,1990,8.92132164643668
Faeroe Islands,FRO,1995,6.57611283702578
Faeroe Islands,FRO,2000,7.72837753543697
Faeroe Islands,FRO,2005,9.48134969071312
Faeroe Islands,FRO,2010,10.492721395186
Faeroe Islands,FRO,2015,11.4462955662981
Fiji,FJI,1990,1.82302031494896
Fiji,FJI,1995,1.6764711192034
Fiji,FJI,2000,1.56787960893614
Fiji,FJI,2005,1.51310505950208
Fiji,FJI,2010,1.55252851321934
Fiji,FJI,2015,1.54134137387981
Finland,FIN,1990,1.26847286935963
Finland,FIN,1995,1.95234071809585
Finland,FIN,2000,2.63118851760713
Finland,FIN,2005,3.66289593105173
Finland,FIN,2010,4.62274947542641
Finland,FIN,2015,5.73968325726902
Fragile and conflict affected situations,,1990,3.42361869077466
Fragile and conflict affected situations,,1995,3.28526858845096
Fragile and conflict affected situations,,2000,2.55532244017832
Fragile and conflict affected situations,,2005,2.29394221936137
Fragile and conflict affected situations,,2010,2.39409339724891
Fragile and conflict affected situations,,2015,2.53708099811756
France,FRA,1990,10.3563845150594
France,FRA,1995,10.4561480959131
France,FRA,2000,10.572513601125
France,FRA,2005,11.0016541016987
France,FRA,2010,11.430036776973
France,FRA,2015,12.0884793768866
French Polynesia,PYF,1990,13.0211221454857
French Polynesia,PYF,1995,13.17843866171
French Polynesia,PYF,2000,12.7826457113716
French Polynesia,PYF,2005,12.6669386858336
French Polynesia,PYF,2010,11.8031074552814
French Polynesia,PYF,2015,10.6300660621578
Gabon,GAB,1990,13.4394798108518
Gabon,GAB,1995,14.0799982327748
Gabon,GAB,2000,15.8800956194968
Gabon,GAB,2005,15.5411942571258
Gabon,GAB,2010,15.8237436573243
Gabon,GAB,2015,15.5558595298651
Gambia,GMB,1990,12.8841167917924
Gambia,GMB,1995,14.1581577599165
Gambia,GMB,2000,14.8522658750406
Gambia,GMB,2005,12.6275388013678
Gambia,GMB,2010,10.9724028678052
Gambia,GMB,2015,9.67088648285922
Georgia,GEO,1990,6.19562006472527
Georgia,GEO,1995,5.4952070624413
Georgia,GEO,2000,4.60832310374145
Georgia,GEO,2005,4.46464383290137
Georgia,GEO,2010,4.28697273402332
Georgia,GEO,2015,4.22024835167253
Germany,DEU,1990,7.51812758939894
Germany,DEU,1995,9.14611048008342
Germany,DEU,2000,10.9805597775469
Germany,DEU,2005,12.676388329431
Germany,DEU,2010,14.4286016089924
Germany,DEU,2015,14.8790512953233
Ghana,GHA,1990,1.12693512420479
Ghana,GHA,1995,1.5087353725087
Ghana,GHA,2000,1.01780112121151
Ghana,GHA,2005,1.42329554565849
Ghana,GHA,2010,1.3858898201617
Ghana,GHA,2015,1.45739715218881
Gibraltar,GIB,1990,32.4563038050162
Gibraltar,GIB,1995,30.7165109034268
Gibraltar,GIB,2000,29.4468209571862
Gibraltar,GIB,2005,31.6746905089409
Gibraltar,GIB,2010,33.7400754913445
Gibraltar,GIB,2015,34.3452214669274
Greece,GRC,1990,6.10101703192651
Greece,GRC,1995,8.06161428316757
Greece,GRC,2000,10.1484549250906
Greece,GRC,2005,10.7564892225255
Greece,GRC,2010,11.3598566550025
Greece,GRC,2015,11.3423773738507
Greenland,GRL,1990,16.9343380752837
Greenland,GRL,1995,13.1161640595603
Greenland,GRL,2000,12.0251361839997
Greenland,GRL,2005,11.7395045037136
Greenland,GRL,2010,11.0105047218194
Greenland,GRL,2015,10.6948350122806
Grenada,GRD,1990,4.4274349334275
Grenada,GRD,1995,5.5300090770351
Grenada,GRD,2000,6.71619759889785
Grenada,GRD,2005,6.70416023156647
Grenada,GRD,2010,6.6681314902032
Grenada,GRD,2015,6.60613152351978
Guam,GUM,1990,53.4594810012109
Guam,GUM,1995,49.4030035311414
Guam,GUM,2000,47.6861866501854
Guam,GUM,2005,47.1859394827053
Guam,GUM,2010,47.3005519317612
Guam,GUM,2015,44.7885334196663
Guatemala,GTM,1990,2.88535943529034
Guatemala,GTM,1995,1.50799132674233
Guatemala,GTM,2000,0.411672509936982
Guatemala,GTM,2005,0.43426994566316
Guatemala,GTM,2010,0.450602931892124
Guatemala,GTM,2015,0.46718767180629
Guinea,GIN,1990,6.68902079885557
Guinea,GIN,1995,9.84995230212057
Guinea,GIN,2000,6.36509259685436
Guinea,GIN,2005,2.37470735150801
Guinea,GIN,2010,1.86254484260751
Guinea,GIN,2015,1.81156655898875
Guinea-Bissau,GNB,1990,1.45501643615651
Guinea-Bissau,GNB,1995,2.36781646183303
Guinea-Bissau,GNB,2000,1.55459517809427
Guinea-Bissau,GNB,2005,1.41757087854393
Guinea-Bissau,GNB,2010,1.28876829951854
Guinea-Bissau,GNB,2015,1.21090371816247
Guyana,GUY,1990,0.568527326797004
Guyana,GUY,1995,0.874094358706197
Guyana,GUY,2000,1.16003653913001
Guyana,GUY,2005,1.46371356036068
Guyana,GUY,2010,1.74232307974121
Guyana,GUY,2015,2.00551438236962
Haiti,HTI,1990,0.268798840745138
Haiti,HTI,1995,0.287193825524572
Haiti,HTI,2000,0.302156856277346
Haiti,HTI,2005,0.328906993095091
Haiti,HTI,2010,0.351053445346957
Haiti,HTI,2015,0.369048200333356
Heavily indebted poor countries (HIPC),,1990,3.31748393423207
Heavily indebted poor countries (HIPC),,1995,2.98792379447809
Heavily indebted poor countries (HIPC),,2000,2.2099070893661
Heavily indebted poor countries (HIPC),,2005,1.88955453551205
Heavily indebted poor countries (HIPC),,2010,1.64386334761494
Heavily indebted poor countries (HIPC),,2015,1.6653366395256
High income,,1990,7.61185668414724
High income,,1995,8.44126872046798
High income,,2000,9.40551509408074
High income,,2005,10.7159312141928
High income,,2010,12.44210500504
High income,,2015,13.2410823920508
Honduras,HND,1990,5.5150516084573
Honduras,HND,1995,2.67283786336086
Honduras,HND,2000,0.455880751167693
Honduras,HND,2005,0.405149224998587
Honduras,HND,2010,0.363652113074911
Honduras,HND,2015,0.3476135161844
Hong Kong,HKG,1990,38.2889192572912
Hong Kong,HKG,1995,39.7721343549953
Hong Kong,HKG,2000,39.3472575079951
Hong Kong,HKG,2005,39.7698051798584
Hong Kong,HKG,2010,39.7500847206791
Hong Kong,HKG,2015,38.9499399216491
Hungary,HUN,1990,3.34624900132989
Hungary,HUN,1995,3.11277228329151
Hungary,HUN,2000,2.90447689692006
Hungary,HUN,2005,3.63300621911885
Hungary,HUN,2010,4.35978033343808
Hungary,HUN,2015,4.56246525249104
IBRD only,,1990,1.52124634267441
IBRD only,,1995,1.37228928176347
IBRD only,,2000,1.27656168832347
IBRD only,,2005,1.23784963200089
IBRD only,,2010,1.25276894984934
IBRD only,,2015,1.36236189268126
IDA & IBRD total,,1990,1.8084592369253
IDA & IBRD total,,1995,1.58782701149885
IDA & IBRD total,,2000,1.43375650719767
IDA & IBRD total,,2005,1.34355744704285
IDA & IBRD total,,2010,1.35407411061916
IDA & IBRD total,,2015,1.42196947643195
IDA blend,,1990,3.58821080997275
IDA blend,,1995,2.34228503436413
IDA blend,,2000,2.22363819028757
IDA blend,,2005,1.77451425653434
IDA blend,,2010,1.8644570329104
IDA blend,,2015,1.6876529834139
IDA only,,1990,2.70294220183157
IDA only,,1995,2.47845348597658
IDA only,,2000,1.9098017848921
IDA only,,2005,1.6783092722959
IDA only,,2010,1.59090654262123
IDA only,,2015,1.56085118026297
IDA total,,1990,3.00304538902893
IDA total,,1995,2.43260782527068
IDA total,,2000,2.01491286439463
IDA total,,2005,1.71030286724172
IDA total,,2010,1.68123055562528
IDA total,,2015,1.60299406887744
Iceland,ISL,1990,3.76093866499235
Iceland,ISL,1995,4.76268816319816
Iceland,ISL,2000,5.65121224405613
Iceland,ISL,2005,8.59054069992755
Iceland,ISL,2010,11.0334484124738
Iceland,ISL,2015,11.3901495029218
India,IND,1990,0.860692478072776
India,IND,1995,0.723532002626331
India,IND,2000,0.608579704980214
India,IND,2005,0.517653228474756
India,IND,2010,0.441598735186028
India,IND,2015,0.399752709149401
Indonesia,IDN,1990,0.256624866680176
Indonesia,IDN,1995,0.192406654327478
Indonesia,IDN,2000,0.138180206385892
Indonesia,IDN,2005,0.127983196000129
Indonesia,IDN,2010,0.126407039657274
Indonesia,IDN,2015,0.127675543243526
Iran,IRN,1990,7.64048856957112
Iran,IRN,1995,4.87024970990721
Iran,IRN,2000,4.25786235402481
Iran,IRN,2005,3.66350900853461
Iran,IRN,2010,3.71910512401908
Iran,IRN,2015,3.44639753479213
Iraq,IRQ,1990,0.478520555735618
Iraq,IRQ,1995,0.986558401452901
Iraq,IRQ,2000,0.893010492454406
Iraq,IRQ,2005,0.491955055261526
