Entity,Code,Year,"Percentage of teachers in upper secondary education who are trained, both sexes (%) (%)"
Bolivia,BOL,2001,78.0163497924805
Bolivia,BOL,2002,79.2883071899414
Bolivia,BOL,2003,73.1348571777344
Brunei,BRN,2014,90.4008178710938
Burkina Faso,BFA,2009,50.3567085266113
Burundi,BDI,2014,75.0294876098633
Cambodia,KHM,2001,99.0709533691406
Cambodia,KHM,2002,97.0288009643555
Cambodia,KHM,2006,98.4250106811523
Cambodia,KHM,2007,99.7818908691406
Cameroon,CMR,2013,70.6510925292969
Cape Verde,CPV,2002,100
Cape Verde,CPV,2003,100
Cape Verde,CPV,2004,100
Cape Verde,CPV,2005,100
Cape Verde,CPV,2007,100
Cape Verde,CPV,2008,100
Cape Verde,CPV,2009,100
Cape Verde,CPV,2010,100
Cape Verde,CPV,2011,100
Cape Verde,CPV,2012,100
Cape Verde,CPV,2014,100
Cayman Islands,CYM,1999,100
Cayman Islands,CYM,2000,100
Cayman Islands,CYM,2001,100
Cayman Islands,CYM,2004,100
Cayman Islands,CYM,2005,100
Cayman Islands,CYM,2006,99.4285736083984
Cayman Islands,CYM,2011,100
Cayman Islands,CYM,2012,99.0797500610352
Colombia,COL,2007,96.6386795043945
Colombia,COL,2009,96.6284713745117
Colombia,COL,2010,96.6422500610352
Colombia,COL,2011,97.4579620361328
Colombia,COL,2012,97.6386871337891
Colombia,COL,2013,97.9682693481445
Colombia,COL,2014,99.2450790405273
Comoros,COM,2003,44.8325004577637
Congo,COG,2012,84.217041015625
Costa Rica,CRI,1999,80.3545532226563
Costa Rica,CRI,2001,84.5969467163086
Costa Rica,CRI,2002,86.1988067626953
Costa Rica,CRI,2006,80.4378890991211
Costa Rica,CRI,2007,85.2725296020508
Costa Rica,CRI,2008,82.9838714599609
Costa Rica,CRI,2009,85.8503570556641
Costa Rica,CRI,2010,87.726188659668
Costa Rica,CRI,2011,89.5220794677734
Costa Rica,CRI,2013,95.2923889160156
Costa Rica,CRI,2014,95.0716705322266
Croatia,HRV,1999,100
Croatia,HRV,2000,100
Croatia,HRV,2001,100
Croatia,HRV,2002,100
Croatia,HRV,2003,100
Cuba,CUB,1999,94.263557434082
Cuba,CUB,2000,87.9276580810547
Cuba,CUB,2001,93.5265884399414
Cuba,CUB,2002,82.0005874633789
Cuba,CUB,2003,85.1577377319336
Cuba,CUB,2004,80.2334213256836
Cuba,CUB,2005,100
Cuba,CUB,2006,100
Cuba,CUB,2007,100
Cuba,CUB,2008,100
Cuba,CUB,2009,100
Cuba,CUB,2010,100
Cuba,CUB,2011,100
Cuba,CUB,2012,100
Cuba,CUB,2013,100
Cuba,CUB,2014,100
Djibouti,DJI,2011,100
Djibouti,DJI,2014,100
Djibouti,DJI,2015,100
Dominica,DMA,1999,29.1666698455811
Dominica,DMA,2000,29.3478298187256
Dominica,DMA,2001,31.4814796447754
Dominica,DMA,2002,32.8125
Dominica,DMA,2003,34.306568145752
Dominica,DMA,2004,35.1144981384277
Dominica,DMA,2005,31.9148902893066
Dominica,DMA,2006,43.269229888916
Dominica,DMA,2007,43.9252281188965
Dominica,DMA,2008,30
Dominica,DMA,2009,41.25
Dominica,DMA,2010,45.4545516967773
Dominica,DMA,2011,45.2755889892578
Dominica,DMA,2012,44.3548393249512
Dominica,DMA,2014,46.4843788146973
Dominican Republic,DOM,1999,72.5944290161133
Dominican Republic,DOM,2000,75.9591979980469
Dominican Republic,DOM,2002,79.6206283569336
Dominican Republic,DOM,2004,79.4365692138672
Dominican Republic,DOM,2005,82.445426940918
Dominican Republic,DOM,2006,74.4312515258789
Dominican Republic,DOM,2007,82.4451065063477
Dominican Republic,DOM,2008,83.0934066772461
Dominican Republic,DOM,2009,92.9653625488281
Dominican Republic,DOM,2010,93.3194808959961
Dominican Republic,DOM,2011,76.0079574584961
Dominican Republic,DOM,2012,92.8639907836914
Ecuador,ECU,2000,86.6184692382813
Ecuador,ECU,2001,91.4109802246094
Ecuador,ECU,2002,66.9138565063477
Ecuador,ECU,2003,69.4831085205078
Ecuador,ECU,2004,69.1687164306641
Ecuador,ECU,2005,69.7306823730469
Ecuador,ECU,2006,70.1219329833984
Ecuador,ECU,2007,70.4058074951172
Ecuador,ECU,2010,72.8682403564453
Ecuador,ECU,2011,73.2055892944336
Ecuador,ECU,2012,73.1023712158203
Ecuador,ECU,2013,74.1785202026367
Ecuador,ECU,2014,81.1113891601563
Egypt,EGY,2014,61.5117301940918
El Salvador,SLV,2003,83.5713195800781
El Salvador,SLV,2004,83.3600006103516
El Salvador,SLV,2005,83.1503372192383
El Salvador,SLV,2007,82.7481536865234
El Salvador,SLV,2008,83.2420425415039
El Salvador,SLV,2009,92.5155715942383
El Salvador,SLV,2011,88.8634490966797
Eritrea,ERI,1999,77.5700912475586
Eritrea,ERI,2000,73.2548370361328
Eritrea,ERI,2001,74.6436614990234
Eritrea,ERI,2002,68.9413299560547
Eritrea,ERI,2004,76.8849792480469
Eritrea,ERI,2005,81.7004470825195
Eritrea,ERI,2006,78.9628829956055
Eritrea,ERI,2007,82.9994888305664
Eritrea,ERI,2009,78.2722473144531
Eritrea,ERI,2010,75.1555099487305
Eritrea,ERI,2011,73.7446212768555
Eritrea,ERI,2013,80.0065002441406
Ethiopia,ETH,2008,61.6666717529297
Ethiopia,ETH,2009,74.5045394897461
Ethiopia,ETH,2012,86.4349136352539
Fiji,FJI,2008,94.7740936279297
Fiji,FJI,2012,100
Gambia,GMB,2014,93.5565719604492
Georgia,GEO,2000,92.975212097168
Georgia,GEO,2008,95.2521667480469
Georgia,GEO,2009,94.8391876220703
Ghana,GHA,1999,43.9623184204102
Ghana,GHA,2000,48.0667495727539
Ghana,GHA,2001,53.7912788391113
Ghana,GHA,2008,78.8636779785156
Ghana,GHA,2009,84.7704620361328
Ghana,GHA,2011,82.6314315795898
Ghana,GHA,2012,78.2865600585938
Ghana,GHA,2013,81.8139266967773
Ghana,GHA,2014,81.3526077270508
Ghana,GHA,2015,82.8784332275391
Gibraltar,GIB,1999,100
Gibraltar,GIB,2000,100
Gibraltar,GIB,2001,100
Gibraltar,GIB,2008,100
Gibraltar,GIB,2009,100
Grenada,GRD,2003,31.25
Grenada,GRD,2014,40
Guinea,GIN,2008,94.4624176025391
Guyana,GUY,2003,57.2696990966797
Guyana,GUY,2005,64.3984222412109
Guyana,GUY,2008,57.1245193481445
Guyana,GUY,2009,49.9369506835938
Heavily indebted poor countries (HIPC),,2009,54.4674682617188
Heavily indebted poor countries (HIPC),,2011,43.189811706543
Heavily indebted poor countries (HIPC),,2012,43.9895782470703
Heavily indebted poor countries (HIPC),,2013,45.8347587585449
Heavily indebted poor countries (HIPC),,2014,44.5838890075684
Honduras,HND,2004,62.3815689086914
Honduras,HND,2008,61.5808296203613
Iran,IRN,2013,100
Iran,IRN,2014,100
Iraq,IRQ,2000,100
Iraq,IRQ,2004,100
Kenya,KEN,2006,96.6702194213867
Kenya,KEN,2007,92.5575103759766
Kenya,KEN,2008,96.3292999267578
Kenya,KEN,2009,89.3056869506836
Kenya,KEN,2012,99.6136474609375
Kiribati,KIR,2005,43.0605010986328
Kiribati,KIR,2006,36.3984718322754
Kiribati,KIR,2007,35.5731201171875
Kiribati,KIR,2008,33.5999984741211
Kuwait,KWT,1999,100
Kuwait,KWT,2000,100
Kuwait,KWT,2001,100
Kuwait,KWT,2004,100
Kuwait,KWT,2005,100
Kuwait,KWT,2007,100
Kuwait,KWT,2008,100
Laos,LAO,1999,96.0546798706055
Laos,LAO,2000,95.5652389526367
Laos,LAO,2001,92.7889175415039
Laos,LAO,2002,95.0980377197266
Laos,LAO,2003,98.1838302612305
Laos,LAO,2004,93.7724075317383
Laos,LAO,2005,89.813591003418
Laos,LAO,2006,91.2217788696289
Laos,LAO,2008,89.3510589599609
Laos,LAO,2009,99.3357009887695
Laos,LAO,2010,99.3546981811523
Laos,LAO,2011,99.4168167114258
Laos,LAO,2012,99.4817276000977
Laos,LAO,2013,99.6249618530273
Laos,LAO,2014,99.9363784790039
Latin America & Caribbean,,2008,82.3397827148438
Latin America & Caribbean,,2009,84.6634216308594
Latin America & Caribbean,,2010,83.1721572875977
Latin America & Caribbean,,2011,81.8909301757813
Latin America & Caribbean (all income levels),,2009,84.3412704467773
Latin America & Caribbean (all income levels),,2011,81.6253967285156
Least developed countries: UN classification,,1998,56.8859596252441
Least developed countries: UN classification,,1999,55.9119911193848
Least developed countries: UN classification,,2000,54.1055107116699
Least developed countries: UN classification,,2001,53.1626281738281
Least developed countries: UN classification,,2002,48.6716613769531
Least developed countries: UN classification,,2003,49.9653091430664
Least developed countries: UN classification,,2004,47.221851348877
Least developed countries: UN classification,,2005,48.1619911193848
Least developed countries: UN classification,,2006,50.6874084472656
Least developed countries: UN classification,,2007,48.2115783691406
Least developed countries: UN classification,,2008,47.773380279541
Least developed countries: UN classification,,2009,53.8932495117188
Least developed countries: UN classification,,2010,47.3735885620117
Least developed countries: UN classification,,2011,47.4190788269043
Least developed countries: UN classification,,2012,45.4703483581543
Least developed countries: UN classification,,2013,48.8639984130859
Least developed countries: UN classification,,2014,48.6143188476563
Lebanon,LBN,2013,98.791862487793
Lebanon,LBN,2014,99.1880874633789
Liberia,LBR,2014,42.3820381164551
Low income,,2011,49.2292518615723
Low income,,2012,46.5204200744629
Low income,,2013,44.535701751709
Macao,MAC,1999,58.4139289855957
Macao,MAC,2000,60.3669700622559
Macao,MAC,2001,56.8627510070801
Macao,MAC,2002,57.924259185791
Macao,MAC,2003,62.8495292663574
Macao,MAC,2004,64.7331771850586
Macao,MAC,2005,66.0998916625977
Macao,MAC,2006,66.8610305786133
Macao,MAC,2007,66.3177871704102
Macao,MAC,2008,69.2610778808594
Macao,MAC,2009,72.9853515625
Macao,MAC,2010,72.6713485717773
Macao,MAC,2011,73.2972106933594
Macao,MAC,2012,75.1134567260742
Macao,MAC,2013,78.3475799560547
Macao,MAC,2014,83.2742691040039
Madagascar,MDG,2014,17.3947296142578
Maldives,MDV,1998,79.0697708129883
Maldives,MDV,2002,54.3478317260742
Mali,MLI,2008,83.7962265014648
Mauritania,MRT,2006,100
Mauritania,MRT,2014,75.8585510253906
Mexico,MEX,2009,90.6829681396484
Mexico,MEX,2010,92.8117904663086
Middle East & North Africa,,2013,71.8953399658203
Middle East & North Africa,,2014,77.3724899291992
Middle East & North Africa (all income levels),,2013,78.2074432373047
Middle East & North Africa (all income levels),,2014,82.8172225952148
Mongolia,MNG,1998,100
Mongolia,MNG,1999,100
Mongolia,MNG,2000,100
Mongolia,MNG,2001,100
Mongolia,MNG,2002,100
Mongolia,MNG,2003,100
Mongolia,MNG,2004,100
Mongolia,MNG,2005,100
Mongolia,MNG,2006,100
Morocco,MAR,2008,100
Mozambique,MOZ,2006,80.9809799194336
Mozambique,MOZ,2007,81.538459777832
Mozambique,MOZ,2008,76.9638671875
Mozambique,MOZ,2013,95.0577392578125
Myanmar,MMR,1999,97.1319427490234
Myanmar,MMR,2000,97.1309432983398
Myanmar,MMR,2001,90.2971725463867
Myanmar,MMR,2002,87.2533721923828
Myanmar,MMR,2003,92.9994735717773
Myanmar,MMR,2004,97.7816314697266
Myanmar,MMR,2005,98.0006103515625
Myanmar,MMR,2006,100
Myanmar,MMR,2007,100
Myanmar,MMR,2008,100
Myanmar,MMR,2009,100
Myanmar,MMR,2010,100
Myanmar,MMR,2014,95.1589965820313
Nepal,NPL,2002,28.5002498626709
Nepal,NPL,2008,63.8704299926758
Nepal,NPL,2010,72.3033905029297
Nepal,NPL,2011,74.264030456543
Nepal,NPL,2012,59.0727615356445
Nepal,NPL,2013,80.0928268432617
Nepal,NPL,2014,80.453727722168
Nepal,NPL,2015,83.0304489135742
Nicaragua,NIC,1999,47.8126907348633
Nicaragua,NIC,2000,46.7119483947754
Nicaragua,NIC,2001,46.6848297119141
Nicaragua,NIC,2004,53.5828590393066
Nicaragua,NIC,2005,58.6502799987793
Nicaragua,NIC,2006,61.0181007385254
Nicaragua,NIC,2007,61.1656188964844
Nicaragua,NIC,2008,62.4542808532715
Niger,NER,2003,25.9072608947754
Niger,NER,2004,28.8533802032471
Niger,NER,2006,25.0841808319092
Niger,NER,2010,26.7331199645996
Niger,NER,2013,25.2010192871094
Niger,NER,2014,16.776439666748
Nigeria,NGA,2006,69.1499633789063
Nigeria,NGA,2008,93.3176422119141
Oman,OMN,1999,100
Oman,OMN,2000,100
Oman,OMN,2001,100
Oman,OMN,2009,100
Palestine,PSE,2002,100
Palestine,PSE,2003,100
Palestine,PSE,2004,100
Palestine,PSE,2005,100
Palestine,PSE,2007,100
Palestine,PSE,2008,100
Palestine,PSE,2009,100
Palestine,PSE,2010,100
Palestine,PSE,2011,100
Palestine,PSE,2012,100
Palestine,PSE,2013,100
Palestine,PSE,2014,100
Panama,PAN,1999,81.8242263793945
Panama,PAN,2000,84.0598983764648
Panama,PAN,2001,94.4820938110352
Panama,PAN,2002,81.2797317504883
Panama,PAN,2004,85.4580764770508
Panama,PAN,2005,83.6099014282227
Panama,PAN,2006,90.2747497558594
Panama,PAN,2007,91.3859329223633
Panama,PAN,2008,92.2607498168945
Panama,PAN,2009,92.5515899658203
Panama,PAN,2010,90.8642578125
Panama,PAN,2011,90.118278503418
Panama,PAN,2012,91.8122634887695
Panama,PAN,2013,94.4112701416016
Paraguay,PRY,2012,75.440559387207
Qatar,QAT,2006,64.3527221679688
Qatar,QAT,2008,50.9488182067871
Saint Kitts and Nevis,KNA,2002,40.5228805541992
Saint Kitts and Nevis,KNA,2003,42.3841094970703
Saint Kitts and Nevis,KNA,2004,35.3333282470703
Saint Kitts and Nevis,KNA,2005,39.0728492736816
Saint Kitts and Nevis,KNA,2007,40
Saint Kitts and Nevis,KNA,2008,35.9477081298828
Saint Kitts and Nevis,KNA,2009,50.3401412963867
Saint Kitts and Nevis,KNA,2010,43.529411315918
Saint Kitts and Nevis,KNA,2011,55.5045890808105
Saint Kitts and Nevis,KNA,2012,52.8846206665039
Saint Lucia,LCA,2011,64.2180099487305
Saint Lucia,LCA,2012,64.4549789428711
Saint Lucia,LCA,2013,66.0332489013672
Saint Lucia,LCA,2014,71.0526275634766
Saint Vincent and the Grenadines,VCT,2001,59.1666717529297
Saint Vincent and the Grenadines,VCT,2002,54.0983581542969
Saint Vincent and the Grenadines,VCT,2003,50.4000015258789
Saint Vincent and the Grenadines,VCT,2004,54.1935501098633
Saint Vincent and the Grenadines,VCT,2008,56.066951751709
Saint Vincent and the Grenadines,VCT,2009,45.6973304748535
Saint Vincent and the Grenadines,VCT,2010,60.7003898620605
Samoa,WSM,2009,71.8676071166992
Samoa,WSM,2014,100
Sao Tome and Principe,STP,2011,87.0588226318359
Saudi Arabia,SAU,2013,100
Saudi Arabia,SAU,2014,100
Serbia,SRB,2007,100
Serbia,SRB,2009,76.2197036743164
Serbia,SRB,2011,34.1176490783691
Serbia,SRB,2012,37.1785011291504
Sierra Leone,SLE,2011,67.5454483032227
Sierra Leone,SLE,2012,67.5038604736328
Sierra Leone,SLE,2013,64.0922927856445
Singapore,SGP,2007,95.0363693237305
Singapore,SGP,2008,97.5283126831055
Singapore,SGP,2009,91.6819305419922
Solomon Islands,SLB,2010,70.8661422729492
Somalia,SOM,2007,54.2014999389648
Sub-Saharan Africa,,2006,70.3000793457031
Sub-Saharan Africa,,2007,59.2824096679688
Sub-Saharan Africa,,2008,67.1664199829102
Sub-Saharan Africa,,2009,68.0459365844727
Sub-Saharan Africa,,2010,53.7056083679199
Sub-Saharan Africa,,2011,51.0501518249512
Sub-Saharan Africa,,2012,50.978141784668
Sub-Saharan Africa,,2013,51.3379402160645
Sub-Saharan Africa (all income levels),,2006,70.3203201293945
Sub-Saharan Africa (all income levels),,2007,59.3085594177246
Sub-Saharan Africa (all income levels),,2008,67.1908111572266
Sub-Saharan Africa (all income levels),,2009,68.0730361938477
Sub-Saharan Africa (all income levels),,2010,53.7340812683105
Sub-Saharan Africa (all income levels),,2011,51.0769195556641
Sub-Saharan Africa (all income levels),,2012,51.0016288757324
Sub-Saharan Africa (all income levels),,2013,51.3621215820313
Suriname,SUR,2009,100
Suriname,SUR,2013,43.4909515380859
Syria,SYR,2003,92.6946105957031
Syria,SYR,2004,85.0402221679688
Syria,SYR,2006,85.6029205322266
Syria,SYR,2007,86.5900268554688
Syria,SYR,2010,84.2150268554688
Syria,SYR,2013,91.6968612670898
Tajikistan,TJK,2003,94.3452529907227
Tonga,TON,1998,37.8896903991699
Turks and Caicos Islands,TCA,1999,100
United Arab Emirates,ARE,1999,49.7353210449219
United Arab Emirates,ARE,2000,48.8424987792969
United Arab Emirates,ARE,2001,50.8311309814453
United Arab Emirates,ARE,2002,49.9374504089355
United Arab Emirates,ARE,2004,44.0330505371094
United Arab Emirates,ARE,2005,43.0894317626953
Yemen,YEM,2013,94.5517425537109
