Entity,Code,Year,"Index of Democracy (How Was Life, OECD (2014))"
Latin America and Caribbean,,1843,0
Latin America and Caribbean,,1844,0
Latin America and Caribbean,,1845,0.001157662
Latin America and Caribbean,,1846,0.001159458
Latin America and Caribbean,,1847,0.001161198
Latin America and Caribbean,,1848,0.00116288
Latin America and Caribbean,,1849,0.001687192
Latin America and Caribbean,,1850,0.0020703371
Latin America and Caribbean,,1851,0.018579705
Latin America and Caribbean,,1852,0.019593136
Latin America and Caribbean,,1853,0.021949641
Latin America and Caribbean,,1854,0.016928531
Latin America and Caribbean,,1855,0.01673173
Latin America and Caribbean,,1856,0.051372826
Latin America and Caribbean,,1857,0.32253906
Latin America and Caribbean,,1858,0.62972671
Latin America and Caribbean,,1859,0.36110151
Latin America and Caribbean,,1860,0.33110854
Latin America and Caribbean,,1861,0.3268238
Latin America and Caribbean,,1862,0.01806022
Latin America and Caribbean,,1863,0.016511703
Latin America and Caribbean,,1864,0.039119296
Latin America and Caribbean,,1865,0.036037881
Latin America and Caribbean,,1866,0.023459598
Latin America and Caribbean,,1867,0.059304014
Latin America and Caribbean,,1868,0.056529894
Latin America and Caribbean,,1869,0.034541737
Latin America and Caribbean,,1870,0.034850072
Latin America and Caribbean,,1871,0.051025912
Latin America and Caribbean,,1872,0.03910381
Latin America and Caribbean,,1873,0.048264597
Latin America and Caribbean,,1874,0.071425311
Latin America and Caribbean,,1875,0.086571626
Latin America and Caribbean,,1876,0.036950409
Latin America and Caribbean,,1877,0.37083271
Latin America and Caribbean,,1878,0.051961951
Latin America and Caribbean,,1879,0.052112956
Latin America and Caribbean,,1880,0.062250938
Latin America and Caribbean,,1881,0.099252857
Latin America and Caribbean,,1882,0.094776995
Latin America and Caribbean,,1883,0.089004189
Latin America and Caribbean,,1884,0.17245066
Latin America and Caribbean,,1885,0.1737743
Latin America and Caribbean,,1886,0.12871255
Latin America and Caribbean,,1887,0.14419582
Latin America and Caribbean,,1888,0.1101675
Latin America and Caribbean,,1889,0.11006776
Latin America and Caribbean,,1890,0.12162716
Latin America and Caribbean,,1891,0.18022013
Latin America and Caribbean,,1892,0.17783503
Latin America and Caribbean,,1893,0.14773047
Latin America and Caribbean,,1894,0.21147056
Latin America and Caribbean,,1895,0.16760056
Latin America and Caribbean,,1896,0.24247533
Latin America and Caribbean,,1897,0.20476304
Latin America and Caribbean,,1898,0.20031796
Latin America and Caribbean,,1899,0.18266541
Latin America and Caribbean,,1900,0.18166727
Latin America and Caribbean,,1901,0.16684781
Latin America and Caribbean,,1902,0.25664222
Latin America and Caribbean,,1903,0.30650628
Latin America and Caribbean,,1904,0.269678
Latin America and Caribbean,,1905,0.2694287
Latin America and Caribbean,,1906,0.25632313
Latin America and Caribbean,,1907,0.25645018
Latin America and Caribbean,,1908,0.25275138
Latin America and Caribbean,,1909,0.33878058
Latin America and Caribbean,,1910,0.53766954
Latin America and Caribbean,,1911,0.52815032
Latin America and Caribbean,,1912,0.54567307
Latin America and Caribbean,,1913,0.28998467
Latin America and Caribbean,,1914,0.13412704
Latin America and Caribbean,,1915,0.23210642
Latin America and Caribbean,,1916,0.63603699
Latin America and Caribbean,,1917,0.7942003
Latin America and Caribbean,,1918,0.90815574
Latin America and Caribbean,,1919,1.2255812
Latin America and Caribbean,,1920,1.3015043
Latin America and Caribbean,,1921,1.267226
Latin America and Caribbean,,1922,1.537129
Latin America and Caribbean,,1923,1.6080475
Latin America and Caribbean,,1924,1.6016223
Latin America and Caribbean,,1925,1.5512432
Latin America and Caribbean,,1926,0.8815847
Latin America and Caribbean,,1927,0.81199616
Latin America and Caribbean,,1928,0.82976061
Latin America and Caribbean,,1929,0.94639301
Latin America and Caribbean,,1930,0.79740143
Latin America and Caribbean,,1931,1.3562595
Latin America and Caribbean,,1932,1.3519051
Latin America and Caribbean,,1933,1.214051
Latin America and Caribbean,,1934,0.78047156
Latin America and Caribbean,,1935,0.78786945
Latin America and Caribbean,,1936,0.7139498
Latin America and Caribbean,,1937,1.29967
Latin America and Caribbean,,1938,1.370937
Latin America and Caribbean,,1939,1.4159533
Latin America and Caribbean,,1940,1.5380822
Latin America and Caribbean,,1941,1.6480674
Latin America and Caribbean,,1942,2.1743419
Latin America and Caribbean,,1943,1.5215456
Latin America and Caribbean,,1944,1.5383486
Latin America and Caribbean,,1945,3.8116291
Latin America and Caribbean,,1946,5.2076416
Latin America and Caribbean,,1947,5.0824742
Latin America and Caribbean,,1948,5.072598
Latin America and Caribbean,,1949,3.9683568
Latin America and Caribbean,,1950,4.9392204
Latin America and Caribbean,,1951,5.8032799
Latin America and Caribbean,,1952,5.9152322
Latin America and Caribbean,,1953,5.7978539
Latin America and Caribbean,,1954,5.6957293
Latin America and Caribbean,,1955,4.6579137
Latin America and Caribbean,,1956,5.1404047
Latin America and Caribbean,,1957,5.8559494
Latin America and Caribbean,,1958,8.7487154
Latin America and Caribbean,,1959,8.7412071
Latin America and Caribbean,,1960,8.6779766
Latin America and Caribbean,,1961,8.6601105
Latin America and Caribbean,,1962,6.7578888
Latin America and Caribbean,,1963,9.4169264
Latin America and Caribbean,,1964,6.0975466
Latin America and Caribbean,,1965,6.0704551
Latin America and Caribbean,,1966,3.8021007
Latin America and Caribbean,,1967,3.8995147
Latin America and Caribbean,,1968,3.6190579
Latin America and Caribbean,,1969,3.4848251
Latin America and Caribbean,,1970,4.3164163
Latin America and Caribbean,,1971,4.5211415
Latin America and Caribbean,,1972,4.1069651
Latin America and Caribbean,,1973,4.6536708
Latin America and Caribbean,,1974,4.4258509
Latin America and Caribbean,,1975,4.4439888
Latin America and Caribbean,,1976,2.5379536
Latin America and Caribbean,,1977,2.6169653
Latin America and Caribbean,,1978,2.7889974
Latin America and Caribbean,,1979,2.780376
Latin America and Caribbean,,1980,3.3792124
Latin America and Caribbean,,1981,3.5490677
Latin America and Caribbean,,1982,4.9878411
Latin America and Caribbean,,1983,6.7461696
Latin America and Caribbean,,1984,7.4746113
Latin America and Caribbean,,1985,7.6828337
Latin America and Caribbean,,1986,7.4226146
Latin America and Caribbean,,1987,7.4914484
Latin America and Caribbean,,1988,10.93703
Latin America and Caribbean,,1989,16.364292
Latin America and Caribbean,,1990,16.677952
Latin America and Caribbean,,1991,16.706919
Latin America and Caribbean,,1992,16.630636
Latin America and Caribbean,,1993,16.476315
Latin America and Caribbean,,1994,19.235199
Latin America and Caribbean,,1995,18.932224
Latin America and Caribbean,,1996,19.163662
Latin America and Caribbean,,1997,18.964802
Latin America and Caribbean,,1998,19.942923
Latin America and Caribbean,,1999,19.80171
Latin America and Caribbean,,2000,19.613686
Middle East and North Africa,,1820,0
Middle East and North Africa,,1821,0
Middle East and North Africa,,1822,0
Middle East and North Africa,,1823,0
Middle East and North Africa,,1824,0
Middle East and North Africa,,1825,0
Middle East and North Africa,,1826,0
Middle East and North Africa,,1827,0
Middle East and North Africa,,1828,0
Middle East and North Africa,,1829,0
Middle East and North Africa,,1830,0
Middle East and North Africa,,1831,0
Middle East and North Africa,,1832,0
Middle East and North Africa,,1833,0
Middle East and North Africa,,1834,0
Middle East and North Africa,,1835,0
Middle East and North Africa,,1836,0
Middle East and North Africa,,1837,0
Middle East and North Africa,,1838,0
Middle East and North Africa,,1839,0
Middle East and North Africa,,1840,0
Middle East and North Africa,,1841,0
Middle East and North Africa,,1842,0
Middle East and North Africa,,1843,0
Middle East and North Africa,,1844,0
Middle East and North Africa,,1845,0
Middle East and North Africa,,1846,0
Middle East and North Africa,,1847,0
Middle East and North Africa,,1848,0
Middle East and North Africa,,1849,0
Middle East and North Africa,,1850,0
Middle East and North Africa,,1851,0
Middle East and North Africa,,1852,0
Middle East and North Africa,,1853,0
Middle East and North Africa,,1854,0
Middle East and North Africa,,1855,0
Middle East and North Africa,,1856,0
Middle East and North Africa,,1857,0
Middle East and North Africa,,1858,0
Middle East and North Africa,,1859,0
Middle East and North Africa,,1860,0
Middle East and North Africa,,1861,0
Middle East and North Africa,,1862,0
Middle East and North Africa,,1863,0
Middle East and North Africa,,1864,0
Middle East and North Africa,,1865,0
Middle East and North Africa,,1866,0
Middle East and North Africa,,1867,0
Middle East and North Africa,,1868,0
Middle East and North Africa,,1869,0
Middle East and North Africa,,1870,0
Middle East and North Africa,,1871,0
Middle East and North Africa,,1872,0
Middle East and North Africa,,1873,0
Middle East and North Africa,,1874,0
Middle East and North Africa,,1875,0
Middle East and North Africa,,1876,0
Middle East and North Africa,,1877,0
Middle East and North Africa,,1878,0
Middle East and North Africa,,1879,0
Middle East and North Africa,,1880,0
Middle East and North Africa,,1881,0
Middle East and North Africa,,1882,0
Middle East and North Africa,,1883,0
Middle East and North Africa,,1884,0
Middle East and North Africa,,1885,0
Middle East and North Africa,,1886,0
Middle East and North Africa,,1887,0
Middle East and North Africa,,1888,0
Middle East and North Africa,,1889,0
Middle East and North Africa,,1890,0
Middle East and North Africa,,1891,0
Middle East and North Africa,,1892,0
Middle East and North Africa,,1893,0
Middle East and North Africa,,1894,0
Middle East and North Africa,,1895,0
Middle East and North Africa,,1896,0
Middle East and North Africa,,1897,0
Middle East and North Africa,,1898,0
Middle East and North Africa,,1899,0
Middle East and North Africa,,1900,0
Middle East and North Africa,,1901,0
Middle East and North Africa,,1902,0
Middle East and North Africa,,1903,0
Middle East and North Africa,,1904,0
Middle East and North Africa,,1905,0
Middle East and North Africa,,1906,0
Middle East and North Africa,,1907,0
Middle East and North Africa,,1908,0
Middle East and North Africa,,1909,0
Middle East and North Africa,,1910,0
Middle East and North Africa,,1911,0
Middle East and North Africa,,1912,0
Middle East and North Africa,,1913,0
Middle East and North Africa,,1914,0.046874765
Middle East and North Africa,,1915,0
Middle East and North Africa,,1916,0
Middle East and North Africa,,1917,0
Middle East and North Africa,,1918,0
Middle East and North Africa,,1919,0
Middle East and North Africa,,1920,0
Middle East and North Africa,,1921,0.046448458
Middle East and North Africa,,1922,0.046530612
Middle East and North Africa,,1923,0.046612259
Middle East and North Africa,,1924,0.046693396
Middle East and North Africa,,1925,0
Middle East and North Africa,,1926,0
Middle East and North Africa,,1927,0
Middle East and North Africa,,1928,0
Middle East and North Africa,,1929,0
Middle East and North Africa,,1930,0
Middle East and North Africa,,1931,0
Middle East and North Africa,,1932,0
Middle East and North Africa,,1933,0
Middle East and North Africa,,1934,0
Middle East and North Africa,,1935,0
Middle East and North Africa,,1936,0
Middle East and North Africa,,1937,0
Middle East and North Africa,,1938,0
Middle East and North Africa,,1939,0
Middle East and North Africa,,1940,0
Middle East and North Africa,,1941,0.045370758
Middle East and North Africa,,1942,0.045198213
Middle East and North Africa,,1943,0.045024484
Middle East and North Africa,,1944,0.044849575
Middle East and North Africa,,1945,0.091974854
Middle East and North Africa,,1946,0.092661589
Middle East and North Africa,,1947,0.083025962
Middle East and North Africa,,1948,0.082652859
Middle East and North Africa,,1949,0.91552269
Middle East and North Africa,,1950,0.91779083
Middle East and North Africa,,1951,0.98923856
Middle East and North Africa,,1952,0.98438793
Middle East and North Africa,,1953,0.9888894
Middle East and North Africa,,1954,0.83832854
Middle East and North Africa,,1955,0.97180033
Middle East and North Africa,,1956,1.0024561
Middle East and North Africa,,1957,0.95959759
Middle East and North Africa,,1958,0.95193249
Middle East and North Africa,,1959,0.83400798
Middle East and North Africa,,1960,0.83716476
Middle East and North Africa,,1961,0.85573953
Middle East and North Africa,,1962,0.84750062
Middle East and North Africa,,1963,0.86256528
Middle East and North Africa,,1964,0.85388905
Middle East and North Africa,,1965,0.84027451
Middle East and North Africa,,1966,0.83158779
Middle East and North Africa,,1967,0.8961103
Middle East and North Africa,,1968,0.88587129
Middle East and North Africa,,1969,0.77798438
Middle East and North Africa,,1970,0.77048934
Middle East and North Africa,,1971,0.73931158
Middle East and North Africa,,1972,0.73201138
Middle East and North Africa,,1973,0.79403132
Middle East and North Africa,,1974,0.78382897
Middle East and North Africa,,1975,0.71744895
Middle East and North Africa,,1976,0.70918572
Middle East and North Africa,,1977,0.784639
Middle East and North Africa,,1978,0.77709287
Middle East and North Africa,,1979,0.76953989
Middle East and North Africa,,1980,1.5532403
Middle East and North Africa,,1981,1.3341842
Middle East and North Africa,,1982,1.3133429
Middle East and North Africa,,1983,1.2929312
Middle East and North Africa,,1984,1.0072892
Middle East and North Africa,,1985,1.0701121
Middle East and North Africa,,1986,1.0560387
Middle East and North Africa,,1987,1.0421445
Middle East and North Africa,,1988,1.0952998
Middle East and North Africa,,1989,0.9922514
Middle East and North Africa,,1990,0.98076117
Middle East and North Africa,,1991,0.9757489
Middle East and North Africa,,1992,0.96473032
Middle East and North Africa,,1993,1.2089244
Middle East and North Africa,,1994,1.1989728
Middle East and North Africa,,1995,1.1891049
Middle East and North Africa,,1996,1.5763185
Middle East and North Africa,,1997,1.688004
Middle East and North Africa,,1998,1.6698589
Middle East and North Africa,,1999,1.7121111
Middle East and North Africa,,2000,1.3848742
South and South-East Asia,,1820,0
South and South-East Asia,,1821,0
South and South-East Asia,,1822,0
South and South-East Asia,,1823,0
South and South-East Asia,,1824,0
South and South-East Asia,,1825,0
South and South-East Asia,,1826,0
South and South-East Asia,,1827,0
South and South-East Asia,,1828,0
South and South-East Asia,,1829,0
South and South-East Asia,,1830,0
South and South-East Asia,,1831,0
South and South-East Asia,,1832,0
South and South-East Asia,,1833,0
South and South-East Asia,,1834,0
South and South-East Asia,,1835,0
South and South-East Asia,,1836,0
South and South-East Asia,,1837,0
South and South-East Asia,,1838,0
South and South-East Asia,,1839,0
South and South-East Asia,,1840,0
South and South-East Asia,,1841,0
South and South-East Asia,,1842,0
South and South-East Asia,,1843,0
South and South-East Asia,,1844,0
South and South-East Asia,,1845,0
South and South-East Asia,,1846,0
South and South-East Asia,,1847,0
South and South-East Asia,,1848,0
South and South-East Asia,,1849,0
South and South-East Asia,,1850,0
South and South-East Asia,,1851,0
South and South-East Asia,,1852,0
South and South-East Asia,,1853,0
South and South-East Asia,,1854,0
South and South-East Asia,,1855,0
South and South-East Asia,,1856,0
South and South-East Asia,,1857,0
South and South-East Asia,,1858,0
South and South-East Asia,,1859,0
South and South-East Asia,,1860,0
South and South-East Asia,,1861,0
South and South-East Asia,,1862,0
South and South-East Asia,,1863,0
South and South-East Asia,,1864,0
South and South-East Asia,,1865,0
South and South-East Asia,,1866,0
South and South-East Asia,,1867,0
South and South-East Asia,,1868,0
South and South-East Asia,,1869,0
South and South-East Asia,,1870,0
South and South-East Asia,,1871,0
South and South-East Asia,,1872,0
South and South-East Asia,,1873,0
South and South-East Asia,,1874,0
South and South-East Asia,,1875,0
South and South-East Asia,,1876,0
South and South-East Asia,,1877,0
South and South-East Asia,,1878,0
South and South-East Asia,,1879,0
South and South-East Asia,,1880,0
South and South-East Asia,,1881,0
South and South-East Asia,,1882,0
South and South-East Asia,,1883,0
South and South-East Asia,,1884,0
South and South-East Asia,,1885,0
South and South-East Asia,,1886,0
South and South-East Asia,,1887,0
South and South-East Asia,,1888,0
South and South-East Asia,,1889,0
South and South-East Asia,,1890,0
South and South-East Asia,,1891,0
South and South-East Asia,,1892,0
South and South-East Asia,,1893,0
South and South-East Asia,,1894,0
South and South-East Asia,,1895,0
South and South-East Asia,,1896,0
South and South-East Asia,,1897,0
South and South-East Asia,,1898,0
South and South-East Asia,,1899,0
South and South-East Asia,,1900,0
South and South-East Asia,,1901,0
South and South-East Asia,,1902,0
South and South-East Asia,,1903,0
South and South-East Asia,,1904,0
South and South-East Asia,,1905,0
South and South-East Asia,,1906,0
South and South-East Asia,,1907,0
South and South-East Asia,,1908,0
South and South-East Asia,,1909,0
South and South-East Asia,,1910,0
South and South-East Asia,,1911,0
South and South-East Asia,,1912,0
South and South-East Asia,,1913,0
South and South-East Asia,,1914,0
South and South-East Asia,,1915,0
South and South-East Asia,,1916,0
South and South-East Asia,,1917,0
South and South-East Asia,,1918,0
South and South-East Asia,,1919,0
South and South-East Asia,,1920,0
South and South-East Asia,,1921,0
South and South-East Asia,,1922,0
South and South-East Asia,,1923,0
South and South-East Asia,,1924,0
South and South-East Asia,,1925,0
South and South-East Asia,,1926,0
South and South-East Asia,,1927,0
