Entity,Code,Year,Existence of nationally representative learning assessment at the end of primary education (GEM Report (2017/18))
Rwanda,RWA,2015,Yes
Saint Kitts and Nevis,KNA,2015,Yes
Samoa,WSM,2015,Yes
Sao Tome and Principe,STP,2015,Yes
Saudi Arabia,SAU,2015,Yes
Senegal,SEN,2015,Yes
Serbia,SRB,2015,Yes
Seychelles,SYC,2015,No
Singapore,SGP,2015,No
Slovakia,SVK,2015,Yes
Slovenia,SVN,2015,Yes
Solomon Islands,SLB,2015,Yes
South Africa,ZAF,2015,Yes
South Korea,KOR,2015,Yes
South Sudan,SSD,2015,Yes
Spain,ESP,2015,No
Sri Lanka,LKA,2015,Yes
Sudan,SDN,2015,No
Swaziland,SWZ,2015,Yes
Sweden,SWE,2015,Yes
Syria,SYR,2015,No
Tajikistan,TJK,2015,Yes
Tanzania,TZA,2015,No
Thailand,THA,2015,Yes
Timor,TLS,2015,No
Togo,TGO,2015,Yes
Tokelau,TKL,2015,Yes
Tonga,TON,2015,Yes
Trinidad and Tobago,TTO,2015,Yes
Tunisia,TUN,2015,Yes
Turkey,TUR,2015,Yes
Tuvalu,TUV,2015,Yes
Uganda,UGA,2015,Yes
Ukraine,UKR,2015,No
United Arab Emirates,ARE,2015,Yes
United Kingdom,GBR,2015,Yes
United States,USA,2015,No
Uruguay,URY,2015,Yes
Vanuatu,VUT,2015,Yes
Venezuela,VEN,2015,Yes
Vietnam,VNM,2015,Yes
Yemen,YEM,2015,No
Zambia,ZMB,2015,Yes
Zimbabwe,ZWE,2015,No
