Entity,Code,Year,Marine protected areas (% of territorial waters) (% of territorial waters)
Georgia,GEO,2016,0.667918104
Georgia,GEO,2017,0.667756100327337
Germany,DEU,2016,45.35655161
Germany,DEU,2017,45.3573960418849
Ghana,GHA,2016,0.092609498
Ghana,GHA,2017,0.0974062095921647
Gibraltar,GIB,2016,12.889618
Gibraltar,GIB,2017,12.8217275107356
Greece,GRC,2016,1.457183473
Greece,GRC,2017,4.51786536462105
Greenland,GRL,2016,4.518723191
Greenland,GRL,2017,4.51873918534929
Grenada,GRD,2016,0.041854536
Grenada,GRD,2017,0.0862502716404704
Guam,GUM,2016,0.008887348
Guam,GUM,2017,0.00906741557270616
Guatemala,GTM,2016,0.807866388
Guatemala,GTM,2017,0.900143643771587
Guinea,GIN,2016,0.529344095
Guinea,GIN,2017,0.529571455146597
Guinea-Bissau,GNB,2016,10.00970832
Guinea-Bissau,GNB,2017,10.0094124457438
Guyana,GUY,2016,0.012416916
Guyana,GUY,2017,0.0127123723136723
Haiti,HTI,2017,0
High income,,2016,21.0932371776051
High income,,2017,21.9375196035593
Honduras,HND,2016,4.182820296
Honduras,HND,2017,4.15706760137244
IBRD only,,2016,2.77715007627006
IBRD only,,2017,7.21179191477942
IDA & IBRD total,,2016,2.83803110664485
IDA & IBRD total,,2017,6.49801143768296
Iceland,ISL,2016,0.380321832
Iceland,ISL,2017,0.380335278189585
India,IND,2016,0.170691586
India,IND,2017,0.17070584961861
Indonesia,IDN,2016,2.882554139
Indonesia,IDN,2017,3.05732314978845
Iran,IRN,2016,0.804713155
Iran,IRN,2017,0.804553421456393
Iraq,IRQ,2017,0
Ireland,IRL,2016,2.332323504
Ireland,IRL,2017,2.33211062388034
Isle of Man,IMN,2016,0
Israel,ISR,2016,0.032310178
Israel,ISR,2017,0.0325519366905822
Italy,ITA,2016,8.783571883
Italy,ITA,2017,8.7946484947005
Jamaica,JAM,2016,0.754599099
Jamaica,JAM,2017,0.754597261190083
Japan,JPN,2016,0.493492038
Japan,JPN,2017,8.23376220860353
Jordan,JOR,2016,35.21878335
Jordan,JOR,2017,35.5909103031074
Kazakhstan,KAZ,2016,1.049670403
Kazakhstan,KAZ,2017,1.04921248631761
Kenya,KEN,2016,0.8042676
Kenya,KEN,2017,0.804183961345371
Kiribati,KIR,2016,11.81415422
Kiribati,KIR,2017,11.8179006386751
Kuwait,KWT,2016,1.479513778
Kuwait,KWT,2017,1.47927564445082
Late-demographic dividend,,2016,3.00969273144816
Late-demographic dividend,,2017,8.98465458918947
Latin America & Caribbean,,2016,2.73469739729038
Latin America & Caribbean,,2017,17.5371990251169
Latin America & Caribbean (IDA & IBRD),,2016,2.72753237943001
Latin America & Caribbean (IDA & IBRD),,2017,17.6313923809806
Latin America & Caribbean (excluding high income),,2016,2.03555979219032
Latin America & Caribbean (excluding high income),,2017,19.8057311801956
Latvia,LVA,2016,16.03554066
Latvia,LVA,2017,16.0363617853212
Lebanon,LBN,2016,0.212261465
Lebanon,LBN,2017,0.21142857872149
Liberia,LBR,2016,0.101708173
Liberia,LBR,2017,0.10334249125498
Libya,LBY,2016,0.636498998
Libya,LBY,2017,0.636429927635224
Lithuania,LTU,2016,21.51590839
Lithuania,LTU,2017,25.5910267323495
Low & middle income,,2016,2.62477408739638
Low & middle income,,2017,6.32122716709612
Lower middle income,,2016,3.0320117795357
Lower middle income,,2017,3.13117947096567
Madagascar,MDG,2016,0.357265832
Madagascar,MDG,2017,0.746184480636302
Malaysia,MYS,2016,1.407442088
Malaysia,MYS,2017,1.54462068653388
Maldives,MDV,2016,0.048692672
Maldives,MDV,2017,0.0515050354543078
Malta,MLT,2016,6.264284958
Malta,MLT,2017,6.270051159836
Marshall Islands,MHL,2016,0.268783505
Marshall Islands,MHL,2017,0.268803312449119
Mauritania,MRT,2016,4.153705011
Mauritania,MRT,2017,4.15343412031411
Mauritius,MUS,2016,0.003906042
Mauritius,MUS,2017,0.00387822523923533
Mexico,MEX,2016,2.251405222
Mexico,MEX,2017,21.7820205104146
Micronesia (country),FSM,2016,0.017563565
Micronesia (country),FSM,2017,0.0157723799070518
Middle East & North Africa,,2016,1.39291693537782
Middle East & North Africa,,2017,1.5698592317832
Middle East & North Africa (IDA & IBRD),,2016,1.38162606957757
Middle East & North Africa (IDA & IBRD),,2017,1.30563171778744
Middle East & North Africa (excluding high income),,2016,1.38162606957757
Middle East & North Africa (excluding high income),,2017,1.30563171778744
Middle income,,2016,2.76758687360303
Middle income,,2017,6.78974643068601
Monaco,MCO,2016,99.92962702
Monaco,MCO,2017,99.8319954581051
Montenegro,MNE,2017,0.0012194317877657
Morocco,MAR,2016,0.460641915
Morocco,MAR,2017,0.259984460474417
Mozambique,MOZ,2016,2.232030941
Mozambique,MOZ,2017,2.23203079290958
Myanmar,MMR,2016,0.052319647
Myanmar,MMR,2017,2.32704768669274
Namibia,NAM,2016,1.714150861
Namibia,NAM,2017,1.71419850958611
Netherlands,NLD,2016,21.49053812
Netherlands,NLD,2017,26.674686164467
New Caledonia,NCL,2016,96.34122446
New Caledonia,NCL,2017,96.5933353380651
New Zealand,NZL,2016,30.34299947
New Zealand,NZL,2017,30.3711096049962
Nicaragua,NIC,2016,2.930758541
Nicaragua,NIC,2017,2.97423143422297
Nigeria,NGA,2016,0.0169521
Nigeria,NGA,2017,0.0167093086853826
North America,,2016,20.8219459353601
North America,,2017,20.8092945851192
North Korea,PRK,2016,0.022420113
North Korea,PRK,2017,0.0220855166086922
Northern Mariana Islands,MNP,2016,33.22808145
Northern Mariana Islands,MNP,2017,33.2506864536383
Norway,NOR,2016,0.746612096
Norway,NOR,2017,0.830781615307169
OECD members,,2016,22.6911393909347
OECD members,,2017,24.622156121978
Oman,OMN,2016,0.12319562
Oman,OMN,2017,0.123193766688499
Other small states,,2016,2.13647693386384
Other small states,,2017,7.42305730106662
Pacific island small states,,2016,1.06815911842668
Pacific island small states,,2017,1.0683910239058
Pakistan,PAK,2016,0.766350953
Pakistan,PAK,2017,0.766529034487532
Palau,PLW,2016,82.98527096
Palau,PLW,2017,82.987627518726
Panama,PAN,2016,1.681379615
Panama,PAN,2017,1.68141684962454
Papua New Guinea,PNG,2016,0.190497411
Papua New Guinea,PNG,2017,0.190475345710919
Peru,PER,2016,0.480837131
Peru,PER,2017,0.481531062400898
Philippines,PHL,2016,1.159055757
Philippines,PHL,2017,1.15906292876311
Poland,POL,2016,22.57274867
Poland,POL,2017,22.5718228259043
Portugal,PRT,2016,8.356609453
Portugal,PRT,2017,16.5639347523567
Post-demographic dividend,,2016,24.349863153758
Post-demographic dividend,,2017,24.8861543211663
Puerto Rico,PRI,2016,1.746109145
Puerto Rico,PRI,2017,1.74720503989319
Qatar,QAT,2016,0.181319695
Qatar,QAT,2017,1.68232793319086
Romania,ROU,2016,8.426852898
Romania,ROU,2017,23.0963049640615
Russia,RUS,2016,2.974555675
Russia,RUS,2017,2.97456010539994
Saint Kitts and Nevis,KNA,2016,0.165645188
Saint Kitts and Nevis,KNA,2017,0.169900821555798
Saint Lucia,LCA,2016,0.218504785
Saint Lucia,LCA,2017,0.218554217784975
Saint Martin (French part),MAF,2016,96.56592121
Saint Martin (French part),MAF,2017,96.4019006131393
Saint Vincent and the Grenadines,VCT,2016,0.219112649
Saint Vincent and the Grenadines,VCT,2017,0.220097096415405
Samoa,WSM,2016,0.085408327
Samoa,WSM,2017,0.0868040515315485
Sao Tome and Principe,STP,2016,0.026573694
Sao Tome and Principe,STP,2017,0.0267864929962601
Saudi Arabia,SAU,2016,1.526743887
Saudi Arabia,SAU,2017,2.49410110479624
Senegal,SEN,2016,1.102720254
Senegal,SEN,2017,1.11482648349117
Seychelles,SYC,2016,0.036096789
Seychelles,SYC,2017,0.0361027859453036
Sierra Leone,SLE,2016,0.537853547
Sierra Leone,SLE,2017,0.537561270535741
Singapore,SGP,2017,0.0131785692156559
Sint Maarten (Dutch part),SXM,2016,5.427135678
Sint Maarten (Dutch part),SXM,2017,8.69125972364776
Slovenia,SVN,2016,100
Slovenia,SVN,2017,100
Small states,,2016,1.87411657559473
Small states,,2017,5.82896651661397
Solomon Islands,SLB,2016,0.118030274
Solomon Islands,SLB,2017,0.118055184897544
South Africa,ZAF,2016,12.07881781
South Africa,ZAF,2017,12.0564621192386
South Asia,,2016,0.457762834538541
South Asia,,2017,0.457814282975681
South Asia (IDA & IBRD),,2016,0.457762834538541
South Asia (IDA & IBRD),,2017,0.457814282975681
South Korea,KOR,2016,1.630492643
South Korea,KOR,2017,1.63364032173735
Spain,ESP,2016,8.729888608
Spain,ESP,2017,8.37411263885255
Sri Lanka,LKA,2016,0.07470721
Sri Lanka,LKA,2017,0.0746256541871951
Sudan,SDN,2016,15.9645193
Sudan,SDN,2017,15.9643552354566
Suriname,SUR,2016,1.543279605
Suriname,SUR,2017,1.54322371356405
Sweden,SWE,2016,8.204257955
Sweden,SWE,2017,15.2131849830871
Syrian Arab Republic,,2016,0.245011565
Syrian Arab Republic,,2017,0.246979556483572
Tanzania,TZA,2016,2.495788254
Tanzania,TZA,2017,3.01503117538247
Thailand,THA,2016,1.881452831
Thailand,THA,2017,1.88138445843919
Timor,TLS,2016,1.374075617
Timor,TLS,2017,1.3743454660287
Togo,TGO,2016,0.199730686
Togo,TGO,2017,0.199648310814398
Tonga,TON,2016,1.505116498
Tonga,TON,2017,1.50513952862475
Trinidad and Tobago,TTO,2016,0.048813631
Trinidad and Tobago,TTO,2017,0.0489089122943094
Tunisia,TUN,2016,1.04
Tunisia,TUN,2017,1.03551613107214
Turkey,TUR,2016,0.105499246
Turkey,TUR,2017,0.105570641629233
Turkmenistan,TKM,2016,2.994150365
Turkmenistan,TKM,2017,2.99386284449424
Turks and Caicos Islands,TCA,2016,0.09724965
Turks and Caicos Islands,TCA,2017,0.0971332601341424
Tuvalu,TUV,2016,0.008471103
Tuvalu,TUV,2017,0.00848309165420097
Ukraine,UKR,2016,3.415059478
Ukraine,UKR,2017,3.41515562380437
United Arab Emirates,ARE,2016,4.269708103
United Arab Emirates,ARE,2017,11.2703538609644
United Kingdom,GBR,2016,20.23542286
United Kingdom,GBR,2017,28.8733055538075
United States,USA,2016,41.08291724
United States,USA,2017,41.0574077685482
United States Virgin Islands,VIR,2016,0.849285185
United States Virgin Islands,VIR,2017,0.850065911232453
Upper middle income,,2016,2.68206889076615
Upper middle income,,2017,7.96259631444399
Uruguay,URY,2016,0.716383034
Uruguay,URY,2017,0.716039761481013
Vanuatu,VUT,2016,0.007716134
Vanuatu,VUT,2017,0.00763734601990884
Venezuela,VEN,2016,3.485976129
Venezuela,VEN,2017,3.48596490918941
Vietnam,VNM,2016,0.560849723
Vietnam,VNM,2017,0.560890835455187
World,OWID_WRL,2016,8.76132886177817
World,OWID_WRL,2017,11.4768965961385
Yemen,YEM,2016,0.467506305
Yemen,YEM,2017,0.46757350017511
