Entity,Code,Year,Percentage of children under 5 with symptoms of pneumonia taken for care to a health provider (%)
Cote d'Ivoire,CIV,2000,38
Cote d'Ivoire,CIV,2006,35
Cote d'Ivoire,CIV,2012,38.2
Cote d'Ivoire,CIV,2016,44
Cuba,CUB,2011,96.5
Cuba,CUB,2014,92.6
Democratic Republic of Congo,COD,2001,36
Democratic Republic of Congo,COD,2007,42
Democratic Republic of Congo,COD,2010,40.3
Democratic Republic of Congo,COD,2014,41.6
Djibouti,DJI,2002,62
Djibouti,DJI,2006,62
Djibouti,DJI,2012,94.4
Dominican Republic,DOM,1991,41
Dominican Republic,DOM,1996,48
Dominican Republic,DOM,1999,61
Dominican Republic,DOM,2000,68
Dominican Republic,DOM,2002,64
Dominican Republic,DOM,2007,70
Dominican Republic,DOM,2010,68.4
Dominican Republic,DOM,2013,66
Dominican Republic,DOM,2014,73.4
Egypt,EGY,1992,59
Egypt,EGY,1995,62
Egypt,EGY,2000,66
Egypt,EGY,2003,70
Egypt,EGY,2005,63
Egypt,EGY,2008,73
Egypt,EGY,2014,68.1
El Salvador,SLV,2003,62
El Salvador,SLV,2008,67
El Salvador,SLV,2014,79.7
Equatorial Guinea,GNQ,2011,54.3
Eritrea,ERI,2002,44
Eritrea,ERI,2010,44.8
Ethiopia,ETH,2000,16
Ethiopia,ETH,2005,19
Ethiopia,ETH,2011,27
Ethiopia,ETH,2016,31.3
Gabon,GAB,2000,48
Gabon,GAB,2012,67.7
Gambia,GMB,2000,75
Gambia,GMB,2006,69
Gambia,GMB,2010,68.8
Gambia,GMB,2013,68
Georgia,GEO,2000,99
Georgia,GEO,2005,74
Ghana,GHA,1993,43
Ghana,GHA,1998,26
Ghana,GHA,2003,44
Ghana,GHA,2006,34
Ghana,GHA,2008,51
Ghana,GHA,2011,41.3
Ghana,GHA,2014,55.9
Guatemala,GTM,1995,40.5
Guatemala,GTM,1999,37
Guatemala,GTM,2002,64
Guatemala,GTM,2015,52
Guinea,GIN,1999,39
Guinea,GIN,2003,33
Guinea,GIN,2005,42
Guinea,GIN,2012,37.3
Guinea,GIN,2016,29.6
Guinea-Bissau,GNB,2000,64
Guinea-Bissau,GNB,2006,57
Guinea-Bissau,GNB,2010,52.1
Guinea-Bissau,GNB,2014,34.3
Guyana,GUY,2000,78
Guyana,GUY,2006,64
Guyana,GUY,2009,65
Guyana,GUY,2014,83.6
Haiti,HTI,1995,17
Haiti,HTI,2000,26
Haiti,HTI,2006,31
Haiti,HTI,2012,37.9
Haiti,HTI,2017,78.1
Honduras,HND,2006,56
Honduras,HND,2012,63.9
India,IND,1993,69
India,IND,1999,67
India,IND,2006,69
India,IND,2014,76.9
India,IND,2016,73.2
Indonesia,IDN,1991,64.4
Indonesia,IDN,1994,63
Indonesia,IDN,1997,69
Indonesia,IDN,2003,61
Indonesia,IDN,2007,66
Indonesia,IDN,2012,75.3
Iran,IRN,2000,93
Iran,IRN,2010,75.9
Iraq,IRQ,2000,76
Iraq,IRQ,2006,82
Iraq,IRQ,2011,74.4
Jamaica,JAM,2000,39
Jamaica,JAM,2005,75
Jamaica,JAM,2011,82.3
Jordan,JOR,1997,76
Jordan,JOR,2002,78
Jordan,JOR,2007,75
Jordan,JOR,2012,77.2
Kazakhstan,KAZ,1995,48
Kazakhstan,KAZ,1999,48
Kazakhstan,KAZ,2006,71
Kazakhstan,KAZ,2011,81.2
Kenya,KEN,1993,52
Kenya,KEN,1998,57
Kenya,KEN,2003,49
Kenya,KEN,2009,55.9
Kenya,KEN,2014,65.7
Kiribati,KIR,2009,81.1
Kyrgyzstan,KGZ,1997,48
Kyrgyzstan,KGZ,2006,62
Kyrgyzstan,KGZ,2014,59.7
Laos,LAO,2000,36
Laos,LAO,2006,32
Laos,LAO,2012,54.4
Lebanon,LBN,2000,73.6
Lesotho,LSO,2000,49
Lesotho,LSO,2004,59
Lesotho,LSO,2009,65.5
Lesotho,LSO,2014,63.1
Liberia,LBR,2007,62
Liberia,LBR,2013,50.7
Macedonia,MKD,2006,93
Madagascar,MDG,1992,42
Madagascar,MDG,1997,37
Madagascar,MDG,2000,47
Madagascar,MDG,2004,48
Madagascar,MDG,2009,42
Madagascar,MDG,2013,40.5
Malawi,MWI,1992,54
Malawi,MWI,2000,27
Malawi,MWI,2004,37
Malawi,MWI,2006,52
Malawi,MWI,2010,70.3
Malawi,MWI,2014,68.2
Malawi,MWI,2016,77.6
Maldives,MDV,2001,22
Mali,MLI,1996,22
Mali,MLI,2001,36
Mali,MLI,2006,38
Mali,MLI,2010,55.9
Mali,MLI,2015,23
Mauritania,MRT,2001,41
Mauritania,MRT,2007,45
Mauritania,MRT,2011,43.1
Mauritania,MRT,2015,33.7
Mexico,MEX,2015,73.1
Moldova,MDA,2000,78
Moldova,MDA,2005,60
Moldova,MDA,2012,79.2
Mongolia,MNG,2000,78
Mongolia,MNG,2005,63
Mongolia,MNG,2010,86.8
Mongolia,MNG,2013,70.3
Montenegro,MNE,2005,89.4
Morocco,MAR,1992,17
Morocco,MAR,1997,28
Morocco,MAR,2004,38
Morocco,MAR,2011,70.1
Mozambique,MOZ,1997,39
Mozambique,MOZ,2003,55
Mozambique,MOZ,2008,65
Mozambique,MOZ,2011,50.2
Myanmar,MMR,2000,48
Myanmar,MMR,2003,66
Myanmar,MMR,2010,69.3
Myanmar,MMR,2016,58.2
Namibia,NAM,1992,67
Namibia,NAM,2000,53
Namibia,NAM,2013,68
Nauru,NRU,2007,69
Nepal,NPL,1996,18
Nepal,NPL,2001,26
Nepal,NPL,2006,43
Nepal,NPL,2011,50
Nepal,NPL,2014,50.1
Nepal,NPL,2016,84.9
Nicaragua,NIC,1998,58
Nicaragua,NIC,2001,58
Niger,NER,1992,14
Niger,NER,1998,26
Niger,NER,2000,27
Niger,NER,2006,47
Niger,NER,2012,53.1
Niger,NER,2015,59.3
Nigeria,NGA,1990,37
Nigeria,NGA,2003,33
Nigeria,NGA,2008,45.4
Nigeria,NGA,2011,39.7
Nigeria,NGA,2013,34.5
Nigeria,NGA,2017,23.7
North Korea,PRK,2004,93
North Korea,PRK,2009,79.8
Oman,OMN,2014,56.3
Pakistan,PAK,1991,66
Pakistan,PAK,2007,69
Pakistan,PAK,2013,64.4
Palestine,PSE,2000,65
Palestine,PSE,2010,64.8
Palestine,PSE,2014,76.5
Panama,PAN,2013,81.6
Papua New Guinea,PNG,1996,75
Papua New Guinea,PNG,2006,63
Paraguay,PRY,1990,51
Paraguay,PRY,2016,89.4
Peru,PER,1992,33
Peru,PER,1996,46
Peru,PER,2000,58
Peru,PER,2004,68
Peru,PER,2006,67
Peru,PER,2009,72
Peru,PER,2010,68.4
Peru,PER,2011,61.6
Peru,PER,2012,59.3
Peru,PER,2013,59.6
Peru,PER,2014,60.4
Peru,PER,2015,62.4
Philippines,PHL,1993,51
Philippines,PHL,1998,58
Philippines,PHL,2003,55
Philippines,PHL,2008,50
Philippines,PHL,2013,64
Rwanda,RWA,1992,30
Rwanda,RWA,2000,16
Rwanda,RWA,2005,28
Rwanda,RWA,2008,28
Rwanda,RWA,2010,50.2
Rwanda,RWA,2015,53.9
Samoa,WSM,2009,63.8
Samoa,WSM,2014,77.8
Sao Tome and Principe,STP,2000,47
Sao Tome and Principe,STP,2009,74.7
Sao Tome and Principe,STP,2014,68.9
Senegal,SEN,1993,31
Senegal,SEN,2000,27
Senegal,SEN,2005,47
Senegal,SEN,2011,49.9
Senegal,SEN,2013,53
Senegal,SEN,2014,42.2
Senegal,SEN,2015,48.2
Serbia,SRB,2005,93
Serbia,SRB,2010,89.7
Sierra Leone,SLE,2000,50
Sierra Leone,SLE,2005,48
Sierra Leone,SLE,2008,46
Sierra Leone,SLE,2010,73.7
Sierra Leone,SLE,2013,71.7
Solomon Islands,SLB,2007,73
Solomon Islands,SLB,2015,79
Somalia,SOM,2006,13
South Africa,ZAF,1998,75
South Africa,ZAF,2003,65
South Africa,ZAF,2016,87.6
South Sudan,SSD,2010,47.6
Sri Lanka,LKA,2007,58.2
Sudan,SDN,2000,57
Sudan,SDN,2010,55.8
Sudan,SDN,2014,48.3
Suriname,SUR,2000,58
Suriname,SUR,2006,74
Suriname,SUR,2010,75.8
Swaziland,SWZ,2000,60
Swaziland,SWZ,2007,73.4
Swaziland,SWZ,2010,57.6
Swaziland,SWZ,2014,59.6
Syria,SYR,2002,66
Syria,SYR,2006,77
Tajikistan,TJK,2000,51
Tajikistan,TJK,2005,64
Tajikistan,TJK,2012,63
Tanzania,TZA,1992,65
Tanzania,TZA,1996,70
Tanzania,TZA,1999,68
Tanzania,TZA,2005,59
Tanzania,TZA,2010,70.6
Tanzania,TZA,2016,55.4
Thailand,THA,2006,84
Thailand,THA,2012,83.3
Thailand,THA,2016,79.5
Timor,TLS,2002,57
Timor,TLS,2010,70.9
Togo,TGO,1998,26
Togo,TGO,2000,30
Togo,TGO,2006,23
Togo,TGO,2010,32.1
Togo,TGO,2014,48.5
Trinidad and Tobago,TTO,2000,74
Trinidad and Tobago,TTO,2006,74
Tunisia,TUN,2000,43
Tunisia,TUN,2006,59
Tunisia,TUN,2012,59.5
Turkey,TUR,1993,37.3
Turkmenistan,TKM,2000,51
Turkmenistan,TKM,2016,59.3
Uganda,UGA,1995,61
Uganda,UGA,2001,67
Uganda,UGA,2006,73
Uganda,UGA,2011,78.7
Uganda,UGA,2016,80
Ukraine,UKR,2012,92.3
Uruguay,URY,2013,91.1
Uzbekistan,UZB,1996,87
Uzbekistan,UZB,2006,68
Vanuatu,VUT,2013,72.1
Venezuela,VEN,2000,72
Vietnam,VNM,1997,69
Vietnam,VNM,2000,60
Vietnam,VNM,2002,71
Vietnam,VNM,2006,83
Vietnam,VNM,2011,73
Vietnam,VNM,2014,81.1
Yemen,YEM,1992,28
Yemen,YEM,1997,32
Yemen,YEM,2003,47
Yemen,YEM,2006,43.7
Yemen,YEM,2013,34
Zambia,ZMB,1992,62
Zambia,ZMB,1996,71
Zambia,ZMB,2002,69
Zambia,ZMB,2007,68
Zambia,ZMB,2014,69.7
Zimbabwe,ZWE,2006,25
Zimbabwe,ZWE,2009,42.6
Zimbabwe,ZWE,2011,48
Zimbabwe,ZWE,2014,58.6
Zimbabwe,ZWE,2015,50.9
