Entity,Code,Year, (hectare per person)
Brazil,BRA,1930,1.865012982
Brazil,BRA,1940,2.531988627
Brazil,BRA,1950,2.359900221
Brazil,BRA,1960,2.069418489
Brazil,BRA,1970,2.033783187
Brazil,BRA,1980,1.840361865
Brazil,BRA,1990,1.614500213
Brazil,BRA,2000,1.498707127
Brazil,BRA,2001,1.492947292
Brazil,BRA,2002,1.489238152
Brazil,BRA,2003,1.486691594
Brazil,BRA,2004,1.490047642
Brazil,BRA,2005,1.475104803
Brazil,BRA,2006,1.46077148
Brazil,BRA,2007,1.438837578
Brazil,BRA,2008,1.433118073
Brazil,BRA,2009,1.418087731
Brazil,BRA,2010,1.402779649
Brazil,BRA,2011,1.401262409
Brazil,BRA,2012,1.391159475
Brazil,BRA,2013,1.382683874
Brazil,BRA,2014,1.376371962
Brazil,BRA,2015,1.369854652
Brazil,BRA,2016,1.361434077
Canada,CAN,"10,000 BCE",0
Canada,CAN,"9,000 BCE",0
Canada,CAN,"8,000 BCE",0
Canada,CAN,"7,000 BCE",0
Canada,CAN,"6,000 BCE",0
Canada,CAN,"5,000 BCE",0
Canada,CAN,"4,000 BCE",0
Canada,CAN,"3,000 BCE",0
Canada,CAN,"2,000 BCE",0
Canada,CAN,"1,000 BCE",0
Canada,CAN,0,0
Canada,CAN,100,0
Canada,CAN,200,0
Canada,CAN,300,0
Canada,CAN,400,0
Canada,CAN,500,0
Canada,CAN,600,0
Canada,CAN,700,0
Canada,CAN,800,0
Canada,CAN,900,0
Canada,CAN,1000,0
Canada,CAN,1100,0
Canada,CAN,1200,0
Canada,CAN,1300,0
Canada,CAN,1400,0
Canada,CAN,1500,0.004999991
Canada,CAN,1600,0.004999989
Canada,CAN,1700,0.112515831
Canada,CAN,1710,0.130021774
Canada,CAN,1720,0.149156682
Canada,CAN,1730,0.167634459
Canada,CAN,1740,0.191500503
Canada,CAN,1750,0.216396512
Canada,CAN,1760,0.24603989
Canada,CAN,1770,0.350162393
Canada,CAN,1780,0.407889764
Canada,CAN,1790,0.477595859
Canada,CAN,1800,0.591837889
Canada,CAN,1810,0.713983691
Canada,CAN,1820,0.839152283
Canada,CAN,1830,0.988822148
Canada,CAN,1840,1.169179863
Canada,CAN,1850,1.384421296
Canada,CAN,1860,1.546077943
Canada,CAN,1870,1.922373786
Canada,CAN,1880,2.033444955
Canada,CAN,1890,2.284196764
Canada,CAN,1900,2.256811016
Canada,CAN,1910,2.81044281
Canada,CAN,1920,3.375295179
Canada,CAN,1930,3.425915965
Canada,CAN,1940,4.184453245
Canada,CAN,1950,4.25809936
Canada,CAN,1960,3.873348887
Canada,CAN,1970,3.161886501
Canada,CAN,1980,2.7009092
Canada,CAN,1990,2.442401861
Canada,CAN,2000,2.204312516
Canada,CAN,2001,2.177277284
Canada,CAN,2002,2.154517198
Canada,CAN,2003,2.132282908
Canada,CAN,2004,2.11049487
Canada,CAN,2005,2.089170611
Canada,CAN,2006,2.068308992
Canada,CAN,2007,2.04297251
Canada,CAN,2008,2.018027352
Canada,CAN,2009,1.993574819
Canada,CAN,2010,1.85991644
Canada,CAN,2011,1.820130894
Canada,CAN,2012,1.879568494
Canada,CAN,2013,1.781101916
Canada,CAN,2014,1.747757438
Canada,CAN,2015,1.740053481
Canada,CAN,2016,1.708060682
China,CHN,"10,000 BCE",0
China,CHN,"9,000 BCE",0
China,CHN,"8,000 BCE",0.001076264
China,CHN,"7,000 BCE",0.029018076
China,CHN,"6,000 BCE",3.200811515
China,CHN,"5,000 BCE",4.548445138
China,CHN,"4,000 BCE",4.473066731
China,CHN,"3,000 BCE",4.409329006
China,CHN,"2,000 BCE",4.369281631
China,CHN,"1,000 BCE",5.040613974
China,CHN,0,2.017438579
China,CHN,100,1.30630918
China,CHN,200,1.407892393
China,CHN,300,1.901003931
China,CHN,400,1.694157797
China,CHN,500,1.598626322
China,CHN,600,1.477386934
China,CHN,700,1.617267581
China,CHN,800,1.834760024
China,CHN,900,1.752083421
China,CHN,1000,1.875491584
China,CHN,1100,1.497105348
China,CHN,1200,1.555705589
China,CHN,1300,1.780484441
China,CHN,1400,1.661051568
China,CHN,1500,1.557175447
China,CHN,1600,1.546163386
China,CHN,1700,1.559126842
China,CHN,1710,1.54580064
China,CHN,1720,1.450122493
China,CHN,1730,1.416404541
China,CHN,1740,1.33221181
China,CHN,1750,1.188079216
China,CHN,1760,1.136776181
China,CHN,1770,1.084040347
China,CHN,1780,0.984468621
China,CHN,1790,0.962003103
China,CHN,1800,0.98475102
China,CHN,1810,0.932626822
China,CHN,1820,0.932203732
China,CHN,1830,0.90359747
China,CHN,1840,0.890791462
China,CHN,1850,0.883036806
China,CHN,1860,0.896918161
China,CHN,1870,0.954922293
China,CHN,1880,0.945644507
China,CHN,1890,0.949402294
China,CHN,1900,0.938813086
China,CHN,1910,0.933964602
China,CHN,1920,0.874090688
China,CHN,1930,0.846122099
China,CHN,1940,0.796555723
China,CHN,1950,0.761978955
China,CHN,1960,0.731921914
China,CHN,1970,0.61155678
China,CHN,1980,0.561956344
China,CHN,1990,0.563220901
China,CHN,2000,0.502941916
China,CHN,2001,0.501859433
China,CHN,2002,0.498264758
China,CHN,2003,0.483947199
China,CHN,2004,0.48562009
China,CHN,2005,0.48009401
China,CHN,2006,0.47801191
China,CHN,2007,0.46919725
China,CHN,2008,0.466532227
China,CHN,2009,0.465131034
China,CHN,2010,0.461001413
China,CHN,2011,0.459651739
China,CHN,2012,0.458284272
China,CHN,2013,0.45665577
China,CHN,2014,0.454761961
China,CHN,2015,0.453455665
China,CHN,2016,0.451821938
Europe (excl. Russia),,"10,000 BCE",0
Europe (excl. Russia),,"9,000 BCE",0
Europe (excl. Russia),,"8,000 BCE",0
Europe (excl. Russia),,"7,000 BCE",0.151576432
Europe (excl. Russia),,"6,000 BCE",0.588959075
Europe (excl. Russia),,"5,000 BCE",1.732114486
Europe (excl. Russia),,"4,000 BCE",1.931906264
Europe (excl. Russia),,"3,000 BCE",2.249273655
Europe (excl. Russia),,"2,000 BCE",2.16154444
Europe (excl. Russia),,"1,000 BCE",2.088837378
Europe (excl. Russia),,0,1.830215101
Europe (excl. Russia),,100,1.839775333
Europe (excl. Russia),,200,1.801201885
Europe (excl. Russia),,300,1.761433544
Europe (excl. Russia),,400,1.712982573
Europe (excl. Russia),,500,1.689502633
Europe (excl. Russia),,600,1.692275336
Europe (excl. Russia),,700,1.895976048
Europe (excl. Russia),,800,2.195519005
Europe (excl. Russia),,900,2.522377077
Europe (excl. Russia),,1000,2.602049638
Europe (excl. Russia),,1100,2.975061007
Europe (excl. Russia),,1200,2.692962604
Europe (excl. Russia),,1300,2.236782085
Europe (excl. Russia),,1400,2.349559182
Europe (excl. Russia),,1500,2.027977346
Europe (excl. Russia),,1600,1.756872387
Europe (excl. Russia),,1700,1.692381754
Europe (excl. Russia),,1710,1.618673582
Europe (excl. Russia),,1720,1.556119773
Europe (excl. Russia),,1730,1.493328854
Europe (excl. Russia),,1740,1.431803114
Europe (excl. Russia),,1750,1.386962378
Europe (excl. Russia),,1760,1.354974173
Europe (excl. Russia),,1770,1.323493779
Europe (excl. Russia),,1780,1.291933362
Europe (excl. Russia),,1790,1.258512148
Europe (excl. Russia),,1800,1.230379964
Europe (excl. Russia),,1810,1.202918554
Europe (excl. Russia),,1820,1.172360672
Europe (excl. Russia),,1830,1.12581732
Europe (excl. Russia),,1840,1.090224768
Europe (excl. Russia),,1850,1.073333357
Europe (excl. Russia),,1860,1.038113369
Europe (excl. Russia),,1870,1.007122581
Europe (excl. Russia),,1880,0.964245186
Europe (excl. Russia),,1890,0.922274261
Europe (excl. Russia),,1900,0.883183858
Europe (excl. Russia),,1910,0.841299785
Europe (excl. Russia),,1920,0.819600581
Europe (excl. Russia),,1930,0.784299403
Europe (excl. Russia),,1940,0.755156543
Europe (excl. Russia),,1950,0.719169174
Europe (excl. Russia),,1960,0.661306838
Europe (excl. Russia),,1970,0.594539448
Europe (excl. Russia),,1980,0.548016958
Europe (excl. Russia),,1990,0.517640781
Europe (excl. Russia),,2000,0.479288187
Europe (excl. Russia),,2001,0.474750787
Europe (excl. Russia),,2002,0.4702402
Europe (excl. Russia),,2003,0.46333753
Europe (excl. Russia),,2004,0.461401082
Europe (excl. Russia),,2005,0.458047682
Europe (excl. Russia),,2006,0.455762456
Europe (excl. Russia),,2007,0.449571319
Europe (excl. Russia),,2008,0.448461288
Europe (excl. Russia),,2009,0.444299051
Europe (excl. Russia),,2010,0.441352697
Europe (excl. Russia),,2011,0.437147407
Europe (excl. Russia),,2012,0.434624322
Europe (excl. Russia),,2013,0.43041415
Europe (excl. Russia),,2014,0.426872598
Europe (excl. Russia),,2015,0.423045547
Europe (excl. Russia),,2016,0.41934389
Greenland,GRL,1000,0
Greenland,GRL,1100,0
Greenland,GRL,1200,0
Greenland,GRL,1300,0
Greenland,GRL,1400,0
Greenland,GRL,1500,0
Greenland,GRL,1600,0
Greenland,GRL,1700,0
Greenland,GRL,1710,0
Greenland,GRL,1720,0
Greenland,GRL,1730,0
Greenland,GRL,1740,0
Greenland,GRL,1750,0
Greenland,GRL,1760,0
Greenland,GRL,1770,0
Greenland,GRL,1780,0
Greenland,GRL,1790,0
Greenland,GRL,1800,0
Greenland,GRL,1810,0
Greenland,GRL,1820,0
Greenland,GRL,1830,0
Greenland,GRL,1840,0
Greenland,GRL,1850,0
Greenland,GRL,1860,0
Greenland,GRL,1870,0
Greenland,GRL,1880,0
Greenland,GRL,1890,0
Greenland,GRL,1900,0
Greenland,GRL,1910,0
Greenland,GRL,1920,0
Greenland,GRL,1930,0
Greenland,GRL,1940,0
Greenland,GRL,1950,0
Greenland,GRL,1960,0
Greenland,GRL,1970,0
Greenland,GRL,1980,0
Greenland,GRL,1990,0
Greenland,GRL,2000,0
Greenland,GRL,2001,0
Greenland,GRL,2002,0
Greenland,GRL,2003,0
Greenland,GRL,2004,0
Greenland,GRL,2005,0
Greenland,GRL,2006,0
Greenland,GRL,2007,0
Greenland,GRL,2008,0
Greenland,GRL,2009,0
Greenland,GRL,2010,0
Greenland,GRL,2011,0
Greenland,GRL,2012,0
Greenland,GRL,2013,0
Greenland,GRL,2014,0
Greenland,GRL,2015,0
Greenland,GRL,2016,0
India,IND,"10,000 BCE",0
India,IND,"9,000 BCE",0
India,IND,"8,000 BCE",0
India,IND,"7,000 BCE",2.218844662
India,IND,"6,000 BCE",2.017151569
India,IND,"5,000 BCE",1.833792402
India,IND,"4,000 BCE",1.667118846
India,IND,"3,000 BCE",1.524365744
India,IND,"2,000 BCE",1.386708332
India,IND,"1,000 BCE",1.26159024
India,IND,0,1.147837365
India,IND,100,1.052629516
India,IND,200,0.95852481
India,IND,300,0.872980959
India,IND,400,0.795213248
India,IND,500,0.724510007
India,IND,600,0.66023646
India,IND,700,0.601801076
India,IND,800,0.548684935
India,IND,900,0.500399448
India,IND,1000,0.456496241
India,IND,1100,0.41658352
India,IND,1200,0.380300263
India,IND,1300,0.347318463
India,IND,1400,0.317330128
India,IND,1500,0.290070363
India,IND,1600,0.265291575
India,IND,1700,0.242759235
India,IND,1710,0.254450347
India,IND,1720,0.266864239
India,IND,1730,0.280047174
India,IND,1740,0.294046086
India,IND,1750,0.308915145
India,IND,1760,0.324707936
India,IND,1770,0.341477005
India,IND,1780,0.359290018
India,IND,1790,0.378208425
India,IND,1800,0.398311661
India,IND,1810,0.419663771
India,IND,1820,0.450639933
India,IND,1830,0.459524626
India,IND,1840,0.501758602
India,IND,1850,0.493322777
India,IND,1860,0.476435763
India,IND,1870,0.461221346
India,IND,1880,0.465742976
India,IND,1890,0.435882717
India,IND,1900,0.434696414
India,IND,1910,0.473460463
India,IND,1920,0.478746126
India,IND,1930,0.467588736
India,IND,1940,0.439308081
India,IND,1950,0.416868817
India,IND,1960,0.381446996
India,IND,1970,0.31424534
India,IND,1980,0.251808949
India,IND,1990,0.202494547
India,IND,2000,0.169465917
India,IND,2001,0.168495227
India,IND,2002,0.165494967
India,IND,2003,0.1631696
India,IND,2004,0.160534015
India,IND,2005,0.157908915
India,IND,2006,0.155638325
India,IND,2007,0.153150554
India,IND,2008,0.150937557
India,IND,2009,0.149039442
India,IND,2010,0.146638637
India,IND,2011,0.144790435
India,IND,2012,0.142610209
India,IND,2013,0.140797227
India,IND,2014,0.138839764
India,IND,2015,0.137030008
India,IND,2016,0.13519465
Latin America and the Caribbean (excl. Brazil),,"10,000 BCE",0
Latin America and the Caribbean (excl. Brazil),,"9,000 BCE",0
Latin America and the Caribbean (excl. Brazil),,"8,000 BCE",0
Latin America and the Caribbean (excl. Brazil),,"7,000 BCE",0
Latin America and the Caribbean (excl. Brazil),,"6,000 BCE",0.008058584
Latin America and the Caribbean (excl. Brazil),,"5,000 BCE",0.075865837
Latin America and the Caribbean (excl. Brazil),,"4,000 BCE",0.213334496
Latin America and the Caribbean (excl. Brazil),,"3,000 BCE",0.602016627
Latin America and the Caribbean (excl. Brazil),,"2,000 BCE",0.706608555
Latin America and the Caribbean (excl. Brazil),,"1,000 BCE",0.658491836
Latin America and the Caribbean (excl. Brazil),,0,0.607594409
Latin America and the Caribbean (excl. Brazil),,100,0.6078488
Latin America and the Caribbean (excl. Brazil),,200,0.607889874
Latin America and the Caribbean (excl. Brazil),,300,0.607724258
Latin America and the Caribbean (excl. Brazil),,400,0.607377539
Latin America and the Caribbean (excl. Brazil),,500,0.606785175
Latin America and the Caribbean (excl. Brazil),,600,0.605938538
Latin America and the Caribbean (excl. Brazil),,700,0.604776889
Latin America and the Caribbean (excl. Brazil),,800,0.603239229
Latin America and the Caribbean (excl. Brazil),,900,0.596432542
Latin America and the Caribbean (excl. Brazil),,1000,0.590266943
Latin America and the Caribbean (excl. Brazil),,1100,0.58220197
Latin America and the Caribbean (excl. Brazil),,1200,0.574765961
Latin America and the Caribbean (excl. Brazil),,1300,0.567378003
Latin America and the Caribbean (excl. Brazil),,1400,0.55937495
Latin America and the Caribbean (excl. Brazil),,1500,0.631847184
Latin America and the Caribbean (excl. Brazil),,1600,2.969374145
Latin America and the Caribbean (excl. Brazil),,1700,3.421385072
Latin America and the Caribbean (excl. Brazil),,1710,3.44164202
Latin America and the Caribbean (excl. Brazil),,1720,3.457995336
Latin America and the Caribbean (excl. Brazil),,1730,3.471080895
Latin America and the Caribbean (excl. Brazil),,1740,3.480846712
Latin America and the Caribbean (excl. Brazil),,1750,3.487162502
Latin America and the Caribbean (excl. Brazil),,1760,3.490114421
Latin America and the Caribbean (excl. Brazil),,1770,3.488877421
Latin America and the Caribbean (excl. Brazil),,1780,3.481071302
Latin America and the Caribbean (excl. Brazil),,1790,3.469299304
Latin America and the Caribbean (excl. Brazil),,1800,3.452740738
Latin America and the Caribbean (excl. Brazil),,1810,3.385061551
Latin America and the Caribbean (excl. Brazil),,1820,3.380621559
Latin America and the Caribbean (excl. Brazil),,1830,3.35812593
Latin America and the Caribbean (excl. Brazil),,1840,3.301359997
Latin America and the Caribbean (excl. Brazil),,1850,3.240926147
Latin America and the Caribbean (excl. Brazil),,1860,3.241855298
Latin America and the Caribbean (excl. Brazil),,1870,3.163363654
Latin America and the Caribbean (excl. Brazil),,1880,3.082623189
Latin America and the Caribbean (excl. Brazil),,1890,3.176492633
Latin America and the Caribbean (excl. Brazil),,1900,3.224248063
Latin America and the Caribbean (excl. Brazil),,1910,3.293480182
Latin America and the Caribbean (excl. Brazil),,1920,3.310622321
Latin America and the Caribbean (excl. Brazil),,1930,3.304438756
Latin America and the Caribbean (excl. Brazil),,1940,3.176651965
Latin America and the Caribbean (excl. Brazil),,1950,2.879806266
Latin America and the Caribbean (excl. Brazil),,1960,2.788784666
Latin America and the Caribbean (excl. Brazil),,1970,2.158194034
Latin America and the Caribbean (excl. Brazil),,1980,1.772475508
Latin America and the Caribbean (excl. Brazil),,1990,1.510089927
Latin America and the Caribbean (excl. Brazil),,2000,1.309772147
Latin America and the Caribbean (excl. Brazil),,2001,1.28322962
Latin America and the Caribbean (excl. Brazil),,2002,1.264938214
Latin America and the Caribbean (excl. Brazil),,2003,1.251271068
Latin America and the Caribbean (excl. Brazil),,2004,1.243945744
Latin America and the Caribbean (excl. Brazil),,2005,1.231544791
Latin America and the Caribbean (excl. Brazil),,2006,1.220630391
Latin America and the Caribbean (excl. Brazil),,2007,1.215836432
Latin America and the Caribbean (excl. Brazil),,2008,1.203836544
Latin America and the Caribbean (excl. Brazil),,2009,1.190321828
Latin America and the Caribbean (excl. Brazil),,2010,1.191188768
Latin America and the Caribbean (excl. Brazil),,2011,1.178831977
Latin America and the Caribbean (excl. Brazil),,2012,1.173775598
Latin America and the Caribbean (excl. Brazil),,2013,1.167923824
Latin America and the Caribbean (excl. Brazil),,2014,1.162198567
Latin America and the Caribbean (excl. Brazil),,2015,1.154302336
Latin America and the Caribbean (excl. Brazil),,2016,1.149281881
Middle East,,"10,000 BCE",0
Middle East,,"9,000 BCE",0
Middle East,,"8,000 BCE",0.03213914
Middle East,,"7,000 BCE",0.976650498
Middle East,,"6,000 BCE",1.453832799
Middle East,,"5,000 BCE",2.344359488
Middle East,,"4,000 BCE",4.783044857
Middle East,,"3,000 BCE",3.948043301
Middle East,,"2,000 BCE",2.722915763
Middle East,,"1,000 BCE",2.310153725
Middle East,,0,2.126122018
Middle East,,100,2.096601042
Middle East,,200,2.079865841
Middle East,,300,2.078194849
Middle East,,400,2.055853312
Middle East,,500,2.119737306
Middle East,,600,2.400870907
Middle East,,700,2.341902744
Middle East,,800,2.280751254
Middle East,,900,2.364495273
Middle East,,1000,2.338370017
Middle East,,1100,2.315099536
Middle East,,1200,2.350594125
Middle East,,1300,2.310949673
Middle East,,1400,2.357710325
Middle East,,1500,2.389479943
Middle East,,1600,2.398828867
Middle East,,1700,2.451053642
Middle East,,1710,2.481575614
Middle East,,1720,2.516780982
Middle East,,1730,2.559675955
Middle East,,1740,2.61208752
Middle East,,1750,2.676513639
Middle East,,1760,2.755952887
Middle East,,1770,2.852900107
Middle East,,1780,2.972655506
Middle East,,1790,3.120030387
Middle East,,1800,3.301934643
Middle East,,1810,3.690231332
Middle East,,1820,3.953974248
Middle East,,1830,4.279659313
Middle East,,1840,4.672622678
Middle East,,1850,5.158246886
Middle East,,1860,5.099083164
Middle East,,1870,5.026777695
Middle East,,1880,4.848741928
Middle East,,1890,4.717364078
Middle East,,1900,4.629266506
Middle East,,1910,4.554600758
Middle East,,1920,4.439050024
Middle East,,1930,4.371981948
Middle East,,1940,4.156031404
Middle East,,1950,3.988755607
Middle East,,1960,3.902419896
Middle East,,1970,2.917222758
Middle East,,1980,2.090852644
Middle East,,1990,1.778509547
Middle East,,2000,1.488035784
Middle East,,2001,1.453264369
Middle East,,2002,1.420526603
Middle East,,2003,1.384643691
Middle East,,2004,1.352163263
Middle East,,2005,1.231630783
Middle East,,2006,1.202019633
Middle East,,2007,1.176133519
Middle East,,2008,1.149981226
Middle East,,2009,1.122259585
Middle East,,2010,1.094272061
Middle East,,2011,1.070861658
Middle East,,2012,1.048947746
Middle East,,2013,1.024734734
Middle East,,2014,1.003608046
Middle East,,2015,0.98346018
Middle East,,2016,0.963344485
Oceania,,"10,000 BCE",0
Oceania,,"9,000 BCE",0
Oceania,,"8,000 BCE",0
Oceania,,"7,000 BCE",0
Oceania,,"6,000 BCE",0
Oceania,,"5,000 BCE",0
Oceania,,"4,000 BCE",0.003996364
Oceania,,"3,000 BCE",0.006657707
Oceania,,"2,000 BCE",0.016892886
Oceania,,"1,000 BCE",0.055141575
Oceania,,0,0.084007019
Oceania,,100,0.093611863
Oceania,,200,0.099561484
Oceania,,300,0.109273618
Oceania,,400,0.122612153
Oceania,,500,0.132267233
Oceania,,600,0.145422677
Oceania,,700,0.154847457
Oceania,,800,0.171151936
Oceania,,900,0.183607577
Oceania,,1000,0.199089524
Oceania,,1100,0.217313027
Oceania,,1200,0.480891947
Oceania,,1300,0.554386979
Oceania,,1400,0.563870475
Oceania,,1500,1.253319825
Oceania,,1600,1.725134129
Oceania,,1700,2.075371007
Oceania,,1710,1.990744013
Oceania,,1720,1.965809408
Oceania,,1730,1.939650287
Oceania,,1740,1.913864972
Oceania,,1750,1.888320698
Oceania,,1760,1.85952087
Oceania,,1770,1.832257336
Oceania,,1780,1.801438418
Oceania,,1790,2.143557781
Oceania,,1800,2.320716265
Oceania,,1810,3.159963624
Oceania,,1820,4.270219905
Oceania,,1830,5.852196442
Oceania,,1840,8.054901706
Oceania,,1850,9.972537524
Oceania,,1860,11.16340496
Oceania,,1870,12.90371026
Oceania,,1880,14.92976727
Oceania,,1890,16.8996043
Oceania,,1900,20.33147802
Oceania,,1910,23.59363821
Oceania,,1920,25.81859581
Oceania,,1930,28.34405826
Oceania,,1940,30.59144921
Oceania,,1950,31.98315185
Oceania,,1960,31.06777193
Oceania,,1970,25.95044397
Oceania,,1980,22.60717242
Oceania,,1990,19.31872064
Oceania,,2000,16.95125612
Oceania,,2001,16.71518801
Oceania,,2002,16.15592432
Oceania,,2003,15.76181179
Oceania,,2004,15.54704166
Oceania,,2005,15.41745054
Oceania,,2006,14.9917089
Oceania,,2007,14.59200875
Oceania,,2008,14.24485679
Oceania,,2009,13.96344808
Oceania,,2010,13.42421756
Oceania,,2011,13.54452602
Oceania,,2012,13.22290879
Oceania,,2013,12.91602187
Oceania,,2014,12.73699603
Oceania,,2015,12.58603808
Oceania,,2016,12.3046479
Rest of Asia (excl. India & China),,"10,000 BCE",0
Rest of Asia (excl. India & China),,"9,000 BCE",0
Rest of Asia (excl. India & China),,"8,000 BCE",0
Rest of Asia (excl. India & China),,"7,000 BCE",0.146801193
Rest of Asia (excl. India & China),,"6,000 BCE",3.712471358
Rest of Asia (excl. India & China),,"5,000 BCE",3.788643464
Rest of Asia (excl. India & China),,"4,000 BCE",3.245025651
Rest of Asia (excl. India & China),,"3,000 BCE",3.170866087
Rest of Asia (excl. India & China),,"2,000 BCE",2.53431491
Rest of Asia (excl. India & China),,"1,000 BCE",2.057051474
Rest of Asia (excl. India & China),,0,1.70947306
Rest of Asia (excl. India & China),,100,1.701283079
Rest of Asia (excl. India & China),,200,1.67767867
Rest of Asia (excl. India & China),,300,1.667208604
Rest of Asia (excl. India & China),,400,1.697768588
Rest of Asia (excl. India & China),,500,1.777774546
Rest of Asia (excl. India & China),,600,1.708407204
Rest of Asia (excl. India & China),,700,1.594791229
Rest of Asia (excl. India & China),,800,1.517859476
Rest of Asia (excl. India & China),,900,1.432601314
Rest of Asia (excl. India & China),,1000,1.390179552
Rest of Asia (excl. India & China),,1100,1.339896654
Rest of Asia (excl. India & China),,1200,1.285238591
Rest of Asia (excl. India & China),,1300,1.244409864
Rest of Asia (excl. India & China),,1400,1.17448609
Rest of Asia (excl. India & China),,1500,1.114531321
Rest of Asia (excl. India & China),,1600,1.033334059
Rest of Asia (excl. India & China),,1700,0.907146009
Rest of Asia (excl. India & China),,1710,0.892760883
Rest of Asia (excl. India & China),,1720,0.892801012
Rest of Asia (excl. India & China),,1730,0.893179967
Rest of Asia (excl. India & China),,1740,0.893891539
Rest of Asia (excl. India & China),,1750,0.894790135
Rest of Asia (excl. India & China),,1760,0.896369624
Rest of Asia (excl. India & China),,1770,0.898209986
Rest of Asia (excl. India & China),,1780,0.900338919
Rest of Asia (excl. India & China),,1790,0.902714386
Rest of Asia (excl. India & China),,1800,0.905362023
Rest of Asia (excl. India & China),,1810,0.896910174
Rest of Asia (excl. India & China),,1820,0.88927187
Rest of Asia (excl. India & China),,1830,0.877756434
Rest of Asia (excl. India & China),,1840,0.872917673
Rest of Asia (excl. India & China),,1850,0.861398017
Rest of Asia (excl. India & China),,1860,0.838281101
Rest of Asia (excl. India & China),,1870,0.816515558
Rest of Asia (excl. India & China),,1880,0.827091899
