Entity,Code,Year,"Urban share of total population, by territory and region (De Vries (1984)) (%)"
Northern Italy,,1550,15.1
Northern Italy,,1600,16.6
Northern Italy,,1650,14.3
Northern Italy,,1700,13.6
Northern Italy,,1750,14.2
Northern Italy,,1800,14.3
Poland,POL,1500,0
Poland,POL,1550,0.3
Poland,POL,1600,0.4
Poland,POL,1650,0.7
Poland,POL,1700,0.5
Poland,POL,1750,1
Poland,POL,1800,2.5
Poland,POL,1850,9.3
Poland,POL,1890,14.6
Poland,POL,1980,27
Portugal,PRT,1500,3
Portugal,PRT,1550,11.5
Portugal,PRT,1600,14.1
Portugal,PRT,1650,16.6
Portugal,PRT,1700,11.5
Portugal,PRT,1750,9.1
Portugal,PRT,1800,8.7
Portugal,PRT,1850,13.2
Portugal,PRT,1890,12.7
Portugal,PRT,1980,10.7
Rest of northern Europe,,1500,3.3
Rest of northern Europe,,1550,3.5
Rest of northern Europe,,1600,4.3
Rest of northern Europe,,1650,5
Rest of northern Europe,,1700,6.1
Rest of northern Europe,,1750,6.5
Rest of northern Europe,,1800,6.4
Rest of northern Europe,,1850,11
Rest of northern Europe,,1890,23.8
Rest of northern Europe,,1980,45.3
Scandinavia,,1500,0.9
Scandinavia,,1550,0.8
Scandinavia,,1600,1.4
Scandinavia,,1650,2.4
Scandinavia,,1700,4
Scandinavia,,1750,4.6
Scandinavia,,1800,4.6
Scandinavia,,1850,5.8
Scandinavia,,1890,13.2
Scandinavia,,1980,32.9
Scotland,,1500,1.6
Scotland,,1550,1.4
Scotland,,1600,3
Scotland,,1650,3.5
Scotland,,1700,5.3
Scotland,,1750,9.2
Scotland,,1800,17.3
Scotland,,1850,32
Scotland,,1890,50.3
Scotland,,1980,31.2
Southern Italy,,1550,11.9
Southern Italy,,1600,14.9
Southern Italy,,1650,13.5
Southern Italy,,1700,12.2
Southern Italy,,1750,13.8
Southern Italy,,1800,15.3
Spain,ESP,1500,6.1
Spain,ESP,1550,8.6
Spain,ESP,1600,11.4
Spain,ESP,1650,9.5
Spain,ESP,1700,9
Spain,ESP,1750,8.6
Spain,ESP,1800,11.1
Spain,ESP,1850,17.3
Spain,ESP,1890,26.8
Spain,ESP,1980,36.1
Switzerland,CHE,1500,1.5
Switzerland,CHE,1550,1.5
Switzerland,CHE,1600,2.5
Switzerland,CHE,1650,2.2
Switzerland,CHE,1700,3.3
Switzerland,CHE,1750,4.6
Switzerland,CHE,1800,3.7
Switzerland,CHE,1850,7.7
Switzerland,CHE,1890,16
Switzerland,CHE,1980,34.4
