Entity,Code,Year,Gap to reaching the target percent of people receiving ART - All ages (%)
Equatorial Guinea,GNQ,2015,49
Equatorial Guinea,GNQ,2016,38
Eritrea,ERI,2015,24
Eritrea,ERI,2016,22
Estonia,EST,2016,47
Ethiopia,ETH,2015,26
Ethiopia,ETH,2016,22
Fiji,FJI,2015,50
Fiji,FJI,2016,49
France,FRA,2013,6
France,FRA,2015,6
Gabon,GAB,2015,25
Gabon,GAB,2016,18
Gambia,GMB,2015,57
Gambia,GMB,2016,51
Georgia,GEO,2015,49
Georgia,GEO,2016,49
Germany,DEU,2014,12
Germany,DEU,2015,9
Ghana,GHA,2015,53
Ghana,GHA,2016,47
Greece,GRC,2013,28
Greece,GRC,2014,32
Grenada,GRD,2015,38
Guatemala,GTM,2015,45
Guatemala,GTM,2016,45
Guinea,GIN,2015,53
Guinea,GIN,2016,46
Guinea-Bissau,GNB,2015,56
Guinea-Bissau,GNB,2016,48
Guyana,GUY,2015,25
Guyana,GUY,2016,23
Haiti,HTI,2015,35
Haiti,HTI,2016,26
Honduras,HND,2015,33
Honduras,HND,2016,30
Hungary,HUN,2015,35
Iceland,ISL,2016,0
India,IND,2015,37
India,IND,2016,32
Indonesia,IDN,2015,71
Indonesia,IDN,2016,68
Iran,IRN,2015,70
Iran,IRN,2016,67
Ireland,IRL,2015,4
Ireland,IRL,2016,4
Israel,ISR,2015,30
Italy,ITA,2012,3
Jamaica,JAM,2015,49
Jamaica,JAM,2016,46
Jordan,JOR,2015,31
Jordan,JOR,2016,26
Kazakhstan,KAZ,2015,54
Kazakhstan,KAZ,2016,50
Kenya,KEN,2015,24
Kenya,KEN,2016,17
Kiribati,KIR,2015,56
Kiribati,KIR,2016,55
Kuwait,KWT,2015,10
Kuwait,KWT,2016,1
Kyrgyzstan,KGZ,2015,56
Kyrgyzstan,KGZ,2016,53
Laos,LAO,2015,46
Laos,LAO,2016,40
Latvia,LVA,2015,67
Latvia,LVA,2016,55
Lebanon,LBN,2015,37
Lebanon,LBN,2016,30
Lesotho,LSO,2015,41
Lesotho,LSO,2016,28
Liberia,LBR,2015,64
Liberia,LBR,2016,62
Libya,LBY,2016,33
Lithuania,LTU,2015,60
Lithuania,LTU,2016,58
Luxembourg,LUX,2015,16
Luxembourg,LUX,2016,6
Macedonia,MKD,2015,40
Macedonia,MKD,2016,33
Madagascar,MDG,2015,77
Madagascar,MDG,2016,76
Malawi,MWI,2015,23
Malawi,MWI,2016,15
Malaysia,MYS,2015,55
Malaysia,MYS,2016,44
Maldives,MDV,2015,0
Maldives,MDV,2016,0
Mali,MLI,2015,49
Mali,MLI,2016,46
Malta,MLT,2015,6
Malta,MLT,2016,9
Mauritania,MRT,2015,60
Mauritania,MRT,2016,58
Mauritius,MUS,2015,50
Mauritius,MUS,2016,50
Mexico,MEX,2015,26
Mexico,MEX,2016,21
Micronesia (country),FSM,2015,0
Micronesia (country),FSM,2016,60
Moldova,MDA,2015,60
Moldova,MDA,2016,52
Mongolia,MNG,2015,48
Mongolia,MNG,2016,48
Montenegro,MNE,2015,30
Montenegro,MNE,2016,21
Morocco,MAR,2015,40
Morocco,MAR,2016,33
Mozambique,MOZ,2015,37
Mozambique,MOZ,2016,27
Myanmar,MMR,2015,34
Myanmar,MMR,2016,26
Namibia,NAM,2015,18
Namibia,NAM,2016,17
Nepal,NPL,2015,45
Nepal,NPL,2016,41
Netherlands,NLD,2014,6
Netherlands,NLD,2015,4
Nicaragua,NIC,2015,43
Nicaragua,NIC,2016,38
Niger,NER,2015,55
Niger,NER,2016,49
Nigeria,NGA,2015,55
Nigeria,NGA,2016,51
Oman,OMN,2015,16
Oman,OMN,2016,11
Pakistan,PAK,2015,76
Pakistan,PAK,2016,74
Panama,PAN,2014,36
Panama,PAN,2016,27
Papua New Guinea,PNG,2015,33
Papua New Guinea,PNG,2016,29
Paraguay,PRY,2015,51
Paraguay,PRY,2016,46
Peru,PER,2015,28
Peru,PER,2016,21
Philippines,PHL,2015,54
Philippines,PHL,2016,49
Poland,POL,2016,45
Portugal,PRT,2014,34
Portugal,PRT,2016,11
Qatar,QAT,2015,0
Qatar,QAT,2016,0
Romania,ROU,2015,6
Romania,ROU,2016,13
Rwanda,RWA,2015,7
Rwanda,RWA,2016,1
Saint Lucia,LCA,2015,48
Saint Vincent and the Grenadines,VCT,2016,31
Samoa,WSM,2016,0
Sao Tome and Principe,STP,2015,34
Saudi Arabia,SAU,2016,7
Senegal,SEN,2015,37
Senegal,SEN,2016,29
Serbia,SRB,2014,39
Serbia,SRB,2015,18
Serbia,SRB,2016,19
Seychelles,SYC,2015,29
Seychelles,SYC,2016,20
Sierra Leone,SLE,2015,60
Sierra Leone,SLE,2016,55
Singapore,SGP,2016,0
Slovakia,SVK,2015,23
Slovakia,SVK,2016,22
Slovenia,SVN,2016,27
Somalia,SOM,2015,71
Somalia,SOM,2016,70
South Africa,ZAF,2015,32
South Africa,ZAF,2016,25
South Sudan,SSD,2015,72
South Sudan,SSD,2016,71
Spain,ESP,2014,6
Spain,ESP,2015,2
Spain,ESP,2016,4
Sri Lanka,LKA,2015,58
Sri Lanka,LKA,2016,54
Sudan,SDN,2015,73
Sudan,SDN,2016,71
Suriname,SUR,2015,43
Suriname,SUR,2016,33
Swaziland,SWZ,2015,12
Swaziland,SWZ,2016,2
Sweden,SWE,2015,0
Sweden,SWE,2016,0
Switzerland,CHE,2015,6
Tajikistan,TJK,2015,61
Tajikistan,TJK,2016,51
Tanzania,TZA,2015,26
Tanzania,TZA,2016,19
Thailand,THA,2015,20
Thailand,THA,2016,12
Togo,TGO,2015,42
Togo,TGO,2016,30
Trinidad and Tobago,TTO,2015,18
Trinidad and Tobago,TTO,2016,19
Tunisia,TUN,2015,54
Tunisia,TUN,2016,52
Uganda,UGA,2015,21
Uganda,UGA,2016,14
Ukraine,UKR,2015,54
Ukraine,UKR,2016,44
United Kingdom,GBR,2015,0
Uruguay,URY,2015,29
Uruguay,URY,2016,28
Uzbekistan,UZB,2015,45
Venezuela,VEN,2016,20
Vietnam,VNM,2015,38
Vietnam,VNM,2016,34
Yemen,YEM,2015,66
Yemen,YEM,2016,63
Zambia,ZMB,2015,17
Zambia,ZMB,2016,16
Zimbabwe,ZWE,2015,13
Zimbabwe,ZWE,2016,6
