Entity,Code,Year,Risk of impoverishing expenditure for surgical care (% of people at risk) (% of people at risk)
Gabon,GAB,2014,26.8
Gambia,GMB,2014,77.1
Georgia,GEO,2014,45.1
Germany,DEU,2014,0
Ghana,GHA,2014,53.9
Greece,GRC,2014,1.1
Grenada,GRD,2014,25.6
Guatemala,GTM,2014,52.4
Guinea,GIN,2014,80.7
Guinea-Bissau,GNB,2014,67.8
Guyana,GUY,2014,37.2
Haiti,HTI,2014,74.5
Heavily indebted poor countries (HIPC),,2014,80.4930734860992
High income,,2014,1.97974461754956
Honduras,HND,2014,61.8
Hungary,HUN,2014,5.6
Iceland,ISL,2014,1.6
India,IND,2014,67.3
Indonesia,IDN,2014,48.4
Iran,IRN,2014,37.6
Iraq,IRQ,2014,5.6
Ireland,IRL,2014,0.7
Israel,ISR,2014,4.2
Italy,ITA,2014,1.1
Jamaica,JAM,2014,21
Japan,JPN,2014,0
Jordan,JOR,2014,17.2
Kazakhstan,KAZ,2014,9.5
Kenya,KEN,2014,75.2
Kiribati,KIR,2014,34.1
Kuwait,KWT,2014,4.4
Kyrgyzstan,KGZ,2014,65.1
Laos,LAO,2014,76.4
Late-demographic dividend,,2014,44.7560715748738
Latin America & Caribbean,,2014,33.7477905436969
Latin America & Caribbean (IDA & IBRD),,2014,33.7532729871216
Latin America & Caribbean (excluding high income),,2014,34.0643901290986
Latvia,LVA,2014,27.2
Least developed countries: UN classification,,2014,81.1914155682402
Lebanon,LBN,2014,13.3
Lesotho,LSO,2014,61.4
Liberia,LBR,2014,85.6
Libya,LBY,2014,20.4
Lithuania,LTU,2014,12.1
Low & middle income,,2014,55.1983718691555
Low income,,2014,86.8057036378728
Lower middle income,,2014,61.6977869846407
Luxembourg,LUX,2014,0.1
Macedonia,MKD,2014,38.1
Madagascar,MDG,2014,87
Malawi,MWI,2014,91.8
Malaysia,MYS,2014,29.1
Maldives,MDV,2014,8.8
Mali,MLI,2014,77.7
Malta,MLT,2014,6.1
Marshall Islands,MHL,2014,16.9
Mauritania,MRT,2014,68.6
Mauritius,MUS,2014,22.1
Mexico,MEX,2014,17.8
Micronesia (country),FSM,2014,50.6
Middle East & North Africa,,2014,30.6993648427775
Middle East & North Africa (IDA & IBRD),,2014,34.18783208402
Middle East & North Africa (excluding high income),,2014,34.18783208402
Middle income,,2014,51.9314702404814
Moldova,MDA,2014,41.9
Monaco,MCO,2014,0
Mongolia,MNG,2014,54
Montenegro,MNE,2014,1.7
Morocco,MAR,2014,43.5
Mozambique,MOZ,2014,80.5
Namibia,NAM,2014,55.7
Nepal,NPL,2014,87.5
Netherlands,NLD,2014,0.1
New Zealand,NZL,2014,1.6
Nicaragua,NIC,2014,35.5
Niger,NER,2014,93.4
Nigeria,NGA,2014,65.3
North America,,2014,1.28958448215886
Norway,NOR,2014,0
OECD members,,2014,3.34619534771108
Oman,OMN,2014,10.3
Other small states,,2014,40.9411935112539
Pacific island small states,,2014,34.108329935429
Pakistan,PAK,2014,62.8
Palau,PLW,2014,4.8
Panama,PAN,2014,33.6
Papua New Guinea,PNG,2014,55.8
Paraguay,PRY,2014,59.4
Peru,PER,2014,39.8
Philippines,PHL,2014,50.6
Poland,POL,2014,2
Portugal,PRT,2014,4.9
Post-demographic dividend,,2014,1.97557380238974
Pre-demographic dividend,,2014,72.3102290222392
Qatar,QAT,2014,7.7
Romania,ROU,2014,0.8
Russia,RUS,2014,18.1
Rwanda,RWA,2014,83
Saint Kitts and Nevis,KNA,2014,23.1
Saint Lucia,LCA,2014,22
Saint Vincent and the Grenadines,VCT,2014,24.4
Samoa,WSM,2014,18.4
San Marino,SMR,2014,0
Sao Tome and Principe,STP,2014,80.5
Saudi Arabia,SAU,2014,14.9
Senegal,SEN,2014,60.1
Serbia,SRB,2014,6.2
Seychelles,SYC,2014,39.2
Sierra Leone,SLE,2014,84.3
Singapore,SGP,2014,15.3
Slovakia,SVK,2014,0.2
Slovenia,SVN,2014,1.1
Small states,,2014,36.9822659114199
Solomon Islands,SLB,2014,56.8
South Africa,ZAF,2014,50.1
South Asia,,2014,68.2454756608562
South Asia (IDA & IBRD),,2014,68.2454756608562
South Korea,KOR,2014,0.4
Spain,ESP,2014,0.6
Sri Lanka,LKA,2014,44.2
Sub-Saharan Africa,,2014,75.0264003436388
Sub-Saharan Africa (IDA & IBRD),,2014,75.0264003436388
Sub-Saharan Africa (excluding high income),,2014,75.0298894610441
Sudan,SDN,2014,65.2
Suriname,SUR,2014,33.3
Swaziland,SWZ,2014,44.4
Sweden,SWE,2014,0
Switzerland,CHE,2014,0.6
Syria,SYR,2014,35.7
Tajikistan,TJK,2014,85.3
Tanzania,TZA,2014,85.5
Thailand,THA,2014,29.4
Timor,TLS,2014,72
Togo,TGO,2014,80.5
Tonga,TON,2014,16
Trinidad and Tobago,TTO,2014,9.6
Tunisia,TUN,2014,22.4
Turkey,TUR,2014,7.4
Turkmenistan,TKM,2014,45.7
Tuvalu,TUV,2014,16.5
Uganda,UGA,2014,85
Ukraine,UKR,2014,15.3
United Arab Emirates,ARE,2014,2.2
United Kingdom,GBR,2014,0.6
United States,USA,2014,1.4
Upper middle income,,2014,40.9038890037994
Uruguay,URY,2014,18.5
Uzbekistan,UZB,2014,74.8
Vanuatu,VUT,2014,37
Venezuela,VEN,2014,24.8
Vietnam,VNM,2014,63.6
World,OWID_WRL,2014,46.6683581316589
Yemen,YEM,2014,53.8
Zambia,ZMB,2014,52.5
