Entity,Code,Year,Net foreign assets ($),Human capital ($),Natural capital ($),Produced capital ($)
Sub-Saharan Africa (developing countries),,2010,-261612450000,5778590480000,6521464930000,3359081020000
Sub-Saharan Africa (developing countries),,2014,-312340380000,10996483290000,8000046010000,3484009920000
Upper middle income,,1995,-1305752070000,61178951540000,16976516840000,20102197350000
Upper middle income,,2000,-1579757150000,74189568860000,18253128540000,24419632530000
Upper middle income,,2010,-1267086990000,82916612820000,24967223400000,33118831050000
Upper middle income,,2014,-948381010000,148041338460000,41651250710000,62667857040000
World,OWID_WRL,1995,-2889906480000,481496974870000,52457234550000,164780756400000
World,OWID_WRL,2000,-3885055440000,558192578450000.06,54204838630000,187895790800000
World,OWID_WRL,2010,-3285300820000,602829243370000,69998536090000,226921802830000
World,OWID_WRL,2014,-4581318860000,742071731940000,107427308060000,303548363090000
