Entity,Code,Year,"Youth literacy rate, population 15-24 years, male (%) (%)"
Europe & Central Asia,,1987,99.1286697387695
Europe & Central Asia,,1988,99.1286697387695
Europe & Central Asia,,1989,99.1286697387695
Europe & Central Asia,,1990,99.1286697387695
Europe & Central Asia,,1991,99.1286697387695
Europe & Central Asia,,1992,99.1286697387695
Europe & Central Asia,,1993,99.1286697387695
Europe & Central Asia,,1994,99.1286697387695
Europe & Central Asia,,1995,99.2681503295898
Europe & Central Asia,,1996,99.2681503295898
Europe & Central Asia,,1997,99.2681503295898
Europe & Central Asia,,1998,99.2681503295898
Europe & Central Asia,,1999,99.2681503295898
Europe & Central Asia,,2000,99.2681503295898
Europe & Central Asia,,2001,99.2681503295898
Europe & Central Asia,,2002,99.2681503295898
Europe & Central Asia,,2003,99.2681503295898
Europe & Central Asia,,2004,99.2681503295898
Europe & Central Asia,,2005,99.6876678466797
Europe & Central Asia,,2006,99.6876678466797
Europe & Central Asia,,2007,99.6876678466797
Europe & Central Asia,,2008,99.6876678466797
Europe & Central Asia,,2009,99.6876678466797
Europe & Central Asia,,2010,99.6876678466797
Europe & Central Asia,,2011,99.6876678466797
Europe & Central Asia,,2012,99.6876678466797
Europe & Central Asia,,2013,99.6876678466797
Europe & Central Asia,,2014,99.6876678466797
Europe & Central Asia (all income levels),,1985,99.4618148803711
Europe & Central Asia (all income levels),,1986,99.4618148803711
Europe & Central Asia (all income levels),,1987,99.4618148803711
Europe & Central Asia (all income levels),,1988,99.4618148803711
Europe & Central Asia (all income levels),,1989,99.4618148803711
Europe & Central Asia (all income levels),,1990,99.4618148803711
Europe & Central Asia (all income levels),,1991,99.4618148803711
Europe & Central Asia (all income levels),,1992,99.4618148803711
Europe & Central Asia (all income levels),,1993,99.4618148803711
Europe & Central Asia (all income levels),,1994,99.4618148803711
Europe & Central Asia (all income levels),,1995,99.4999008178711
Europe & Central Asia (all income levels),,1996,99.4999008178711
Europe & Central Asia (all income levels),,1997,99.4999008178711
Europe & Central Asia (all income levels),,1998,99.4999008178711
Europe & Central Asia (all income levels),,1999,99.4999008178711
Europe & Central Asia (all income levels),,2000,99.4999008178711
Europe & Central Asia (all income levels),,2001,99.4999008178711
Europe & Central Asia (all income levels),,2002,99.4999008178711
Europe & Central Asia (all income levels),,2003,99.4999008178711
Europe & Central Asia (all income levels),,2004,99.4999008178711
Europe & Central Asia (all income levels),,2005,99.7425537109375
Europe & Central Asia (all income levels),,2006,99.7425537109375
Europe & Central Asia (all income levels),,2007,99.7425537109375
Europe & Central Asia (all income levels),,2008,99.7425537109375
Europe & Central Asia (all income levels),,2009,99.7425537109375
Europe & Central Asia (all income levels),,2010,99.7425537109375
Europe & Central Asia (all income levels),,2011,99.7425537109375
Europe & Central Asia (all income levels),,2012,99.7425537109375
Europe & Central Asia (all income levels),,2013,99.7425537109375
Europe & Central Asia (all income levels),,2014,99.7425537109375
Gabon,GAB,1993,94.4075469970703
Gabon,GAB,2004,97.7942810058594
Gabon,GAB,2012,87.3895874023438
Gabon,GAB,2015,87.762809753418
Gambia,GMB,2000,64.3404922485352
Gambia,GMB,2014,74.8632507324219
Gambia,GMB,2015,75.5630493164063
Georgia,GEO,2002,99.7884826660156
Georgia,GEO,2014,99.7395401000977
Georgia,GEO,2015,99.7350692749023
Ghana,GHA,2000,75.9458999633789
Ghana,GHA,2010,88.3107528686523
Ghana,GHA,2015,91.3194122314453
Greece,GRC,1981,99.0480575561523
Greece,GRC,1991,98.9884262084961
Greece,GRC,2001,98.8944625854492
Greece,GRC,2005,99.533561706543
Greece,GRC,2014,99.5029678344727
Greece,GRC,2015,99.6897277832031
Grenada,GRD,1970,98.8453598022461
Guam,GUM,1980,95.3572616577148
Guam,GUM,1990,99.9000015258789
Guam,GUM,2015,99.991081237793
Guatemala,GTM,1994,81.721061706543
Guatemala,GTM,2002,86.378776550293
Guatemala,GTM,2012,95.4664077758789
Guatemala,GTM,2013,94.1822814941406
Guatemala,GTM,2014,95.4818572998047
Guatemala,GTM,2015,95.4965362548828
Guinea,GIN,1996,44.1200485229492
Guinea,GIN,2003,59.4623718261719
Guinea,GIN,2010,37.5671501159668
Guinea,GIN,2015,43.0347900390625
Guinea-Bissau,GNB,1979,59.6943702697754
Guinea-Bissau,GNB,2000,74.8012390136719
Guinea-Bissau,GNB,2014,80.3871536254883
Guinea-Bissau,GNB,2015,80.767951965332
Guyana,GUY,2009,92.4212112426758
Guyana,GUY,2015,94.0117034912109
Haiti,HTI,1982,51.2613487243652
Haiti,HTI,2003,82.6573715209961
Haiti,HTI,2006,74.3674087524414
Haiti,HTI,2015,82.5374603271484
Heavily indebted poor countries (HIPC),,1985,65.1201324462891
Heavily indebted poor countries (HIPC),,1986,65.1201324462891
Heavily indebted poor countries (HIPC),,1987,65.1201324462891
Heavily indebted poor countries (HIPC),,1988,65.1201324462891
Heavily indebted poor countries (HIPC),,1989,65.1201324462891
Heavily indebted poor countries (HIPC),,1990,65.1201324462891
Heavily indebted poor countries (HIPC),,1991,65.1201324462891
Heavily indebted poor countries (HIPC),,1992,65.1201324462891
Heavily indebted poor countries (HIPC),,1993,65.1201324462891
Heavily indebted poor countries (HIPC),,1994,65.1201324462891
Heavily indebted poor countries (HIPC),,1995,70.6976089477539
Heavily indebted poor countries (HIPC),,1996,70.6976089477539
Heavily indebted poor countries (HIPC),,1997,70.6976089477539
Heavily indebted poor countries (HIPC),,1998,70.6976089477539
Heavily indebted poor countries (HIPC),,1999,70.6976089477539
Heavily indebted poor countries (HIPC),,2000,70.6976089477539
Heavily indebted poor countries (HIPC),,2001,70.6976089477539
Heavily indebted poor countries (HIPC),,2002,70.6976089477539
Heavily indebted poor countries (HIPC),,2003,70.6976089477539
Heavily indebted poor countries (HIPC),,2004,70.6976089477539
Heavily indebted poor countries (HIPC),,2005,74.6337432861328
Heavily indebted poor countries (HIPC),,2006,74.6337432861328
Heavily indebted poor countries (HIPC),,2007,74.6337432861328
Heavily indebted poor countries (HIPC),,2008,74.6337432861328
Heavily indebted poor countries (HIPC),,2009,74.6337432861328
Heavily indebted poor countries (HIPC),,2010,74.6337432861328
Heavily indebted poor countries (HIPC),,2011,74.6337432861328
Heavily indebted poor countries (HIPC),,2012,74.6337432861328
Heavily indebted poor countries (HIPC),,2013,74.6337432861328
Heavily indebted poor countries (HIPC),,2014,74.6337432861328
Honduras,HND,2001,86.8909912109375
Honduras,HND,2007,92.6952590942383
Honduras,HND,2010,94.4480133056641
Honduras,HND,2011,94.9314422607422
Honduras,HND,2012,94.0028305053711
Honduras,HND,2013,93.8507385253906
Honduras,HND,2014,95.0473709106445
Honduras,HND,2015,96.2366180419922
Hungary,HUN,1980,99.4216613769531
Hungary,HUN,1994,99.1106796264648
Hungary,HUN,2004,98.9113464355469
Hungary,HUN,2014,98.7050018310547
Hungary,HUN,2015,99.280647277832
India,IND,1981,66.3148727416992
India,IND,1991,73.5097198486328
India,IND,2001,84.1922378540039
India,IND,2006,88.4118423461914
India,IND,2011,90.0448303222656
India,IND,2015,91.8351593017578
Indonesia,IDN,1980,89.5912094116211
Indonesia,IDN,1990,97.4022674560547
Indonesia,IDN,2004,98.8670806884766
Indonesia,IDN,2006,97.027473449707
Indonesia,IDN,2008,99.537483215332
Indonesia,IDN,2009,99.5500335693359
Indonesia,IDN,2011,98.803840637207
Indonesia,IDN,2014,99.6815567016602
Indonesia,IDN,2015,99.6983489990234
Iran,IRN,1976,70.9001693725586
Iran,IRN,1986,84.5260772705078
Iran,IRN,1991,92.4355010986328
Iran,IRN,1996,95.5168228149414
Iran,IRN,2002,97.5680618286133
Iran,IRN,2005,98.109977722168
Iran,IRN,2006,97.1454772949219
Iran,IRN,2008,98.2565231323242
Iran,IRN,2012,98.3339233398438
Iran,IRN,2013,98.109016418457
Iran,IRN,2015,98.2679290771484
Iraq,IRQ,2000,88.9121704101563
Iraq,IRQ,2014,82.8409271240234
Iraq,IRQ,2015,82.4230804443359
Israel,ISR,1983,99.054573059082
Italy,ITA,1981,99.6975936889648
Italy,ITA,2001,99.8044662475586
Italy,ITA,2011,99.8510284423828
Italy,ITA,2015,99.8972473144531
Jamaica,JAM,1999,87.311393737793
Jamaica,JAM,2014,93.8555908203125
Jamaica,JAM,2015,94.1602401733398
Jordan,JOR,1979,95.7921371459961
Jordan,JOR,2003,99.3287887573242
Jordan,JOR,2005,98.9309997558594
Jordan,JOR,2007,98.9520416259766
Jordan,JOR,2010,98.7587280273438
Jordan,JOR,2011,99.0508270263672
Jordan,JOR,2012,99.0020370483398
Jordan,JOR,2015,99.1066284179688
Kazakhstan,KAZ,1989,99.6977081298828
Kazakhstan,KAZ,1999,99.816032409668
Kazakhstan,KAZ,2009,99.8039093017578
Kazakhstan,KAZ,2015,99.8125076293945
Kenya,KEN,2000,93.3095169067383
Kenya,KEN,2007,83.2054214477539
Kenya,KEN,2015,85.203498840332
Kuwait,KWT,1975,77.6922302246094
Kuwait,KWT,1980,81.2881622314453
Kuwait,KWT,1985,90.6923294067383
Kuwait,KWT,1995,93.7998886108398
Kuwait,KWT,2005,99.6909713745117
Kuwait,KWT,2006,98.5221786499023
Kuwait,KWT,2007,98.3988418579102
Kuwait,KWT,2008,98.5651626586914
Kuwait,KWT,2012,98.7363815307617
Kuwait,KWT,2013,99.2522888183594
Kuwait,KWT,2015,99.5914306640625
Kyrgyzstan,KGZ,1999,99.6507797241211
Kyrgyzstan,KGZ,2009,99.7046279907227
Kyrgyzstan,KGZ,2015,99.6920166015625
Laos,LAO,1995,78.815788269043
Laos,LAO,2000,88.0619735717773
Laos,LAO,2001,82.5993270874023
Laos,LAO,2005,89.1874923706055
Laos,LAO,2015,93.1019897460938
Latin America & Caribbean,,1985,93.5166625976563
Latin America & Caribbean,,1986,93.5166625976563
Latin America & Caribbean,,1987,93.5166625976563
Latin America & Caribbean,,1988,93.5166625976563
Latin America & Caribbean,,1989,93.5166625976563
Latin America & Caribbean,,1990,93.5166625976563
Latin America & Caribbean,,1991,93.5166625976563
Latin America & Caribbean,,1992,93.5166625976563
Latin America & Caribbean,,1993,93.5166625976563
Latin America & Caribbean,,1994,93.5166625976563
Latin America & Caribbean,,1995,95.8967056274414
Latin America & Caribbean,,1996,95.8967056274414
Latin America & Caribbean,,1997,95.8967056274414
Latin America & Caribbean,,1998,95.8967056274414
Latin America & Caribbean,,1999,95.8967056274414
Latin America & Caribbean,,2000,95.8967056274414
Latin America & Caribbean,,2001,95.8967056274414
Latin America & Caribbean,,2002,95.8967056274414
Latin America & Caribbean,,2003,95.8967056274414
Latin America & Caribbean,,2004,95.8967056274414
Latin America & Caribbean,,2005,97.6651229858398
Latin America & Caribbean,,2006,97.6651229858398
Latin America & Caribbean,,2007,97.6651229858398
Latin America & Caribbean,,2008,97.6651229858398
Latin America & Caribbean,,2009,97.6651229858398
Latin America & Caribbean,,2010,97.6651229858398
Latin America & Caribbean,,2011,97.6651229858398
Latin America & Caribbean,,2012,97.6651229858398
Latin America & Caribbean,,2013,97.6651229858398
Latin America & Caribbean,,2014,97.6651229858398
Latin America & Caribbean (all income levels),,1985,93.6802520751953
Latin America & Caribbean (all income levels),,1986,93.6802520751953
Latin America & Caribbean (all income levels),,1987,93.6802520751953
Latin America & Caribbean (all income levels),,1988,93.6802520751953
Latin America & Caribbean (all income levels),,1989,93.6802520751953
Latin America & Caribbean (all income levels),,1990,93.6802520751953
Latin America & Caribbean (all income levels),,1991,93.6802520751953
Latin America & Caribbean (all income levels),,1992,93.6802520751953
Latin America & Caribbean (all income levels),,1993,93.6802520751953
Latin America & Caribbean (all income levels),,1994,93.6802520751953
Latin America & Caribbean (all income levels),,1995,95.9468002319336
Latin America & Caribbean (all income levels),,1996,95.9468002319336
Latin America & Caribbean (all income levels),,1997,95.9468002319336
Latin America & Caribbean (all income levels),,1998,95.9468002319336
Latin America & Caribbean (all income levels),,1999,95.9468002319336
Latin America & Caribbean (all income levels),,2000,95.9468002319336
Latin America & Caribbean (all income levels),,2001,95.9468002319336
Latin America & Caribbean (all income levels),,2002,95.9468002319336
Latin America & Caribbean (all income levels),,2003,95.9468002319336
Latin America & Caribbean (all income levels),,2004,95.9468002319336
Latin America & Caribbean (all income levels),,2005,97.7121429443359
Latin America & Caribbean (all income levels),,2006,97.7121429443359
Latin America & Caribbean (all income levels),,2007,97.7121429443359
Latin America & Caribbean (all income levels),,2008,97.7121429443359
Latin America & Caribbean (all income levels),,2009,97.7121429443359
Latin America & Caribbean (all income levels),,2010,97.7121429443359
Latin America & Caribbean (all income levels),,2011,97.7121429443359
Latin America & Caribbean (all income levels),,2012,97.7121429443359
Latin America & Caribbean (all income levels),,2013,97.7121429443359
Latin America & Caribbean (all income levels),,2014,97.7121429443359
Latvia,LVA,1989,99.7500534057617
Latvia,LVA,2000,99.7181777954102
Latvia,LVA,2011,99.8021926879883
Latvia,LVA,2015,99.7931900024414
Least developed countries: UN classification,,1985,64.4596557617188
Least developed countries: UN classification,,1986,64.4596557617188
Least developed countries: UN classification,,1987,64.4596557617188
Least developed countries: UN classification,,1988,64.4596557617188
Least developed countries: UN classification,,1989,64.4596557617188
Least developed countries: UN classification,,1990,64.4596557617188
Least developed countries: UN classification,,1991,64.4596557617188
Least developed countries: UN classification,,1992,64.4596557617188
Least developed countries: UN classification,,1993,64.4596557617188
Least developed countries: UN classification,,1994,64.4596557617188
Least developed countries: UN classification,,1995,72.0466156005859
Least developed countries: UN classification,,1996,72.0466156005859
Least developed countries: UN classification,,1997,72.0466156005859
Least developed countries: UN classification,,1998,72.0466156005859
Least developed countries: UN classification,,1999,72.0466156005859
