Entity,Code,Year,Researchers in R&D (per million people) (per million people)
Cape Verde,CPV,2002,131.75346
Cape Verde,CPV,2011,50.48883
Central Europe and the Baltics,,1996,1405.39223300822
Central Europe and the Baltics,,1997,1394.39841352821
Central Europe and the Baltics,,1998,1405.01595052356
Central Europe and the Baltics,,1999,1380.51686444219
Central Europe and the Baltics,,2000,1373.22307421628
Central Europe and the Baltics,,2001,1388.09146290975
Central Europe and the Baltics,,2002,1409.50389165341
Central Europe and the Baltics,,2003,1420.94288244958
Central Europe and the Baltics,,2004,1489.90444758405
Central Europe and the Baltics,,2005,1608.11289636111
Central Europe and the Baltics,,2006,1614.04856961794
Central Europe and the Baltics,,2007,1676.98835276977
Central Europe and the Baltics,,2008,1741.8418244602
Central Europe and the Baltics,,2009,1758.57214540695
Central Europe and the Baltics,,2010,1830.5550363848
Central Europe and the Baltics,,2011,1846.64646253076
Central Europe and the Baltics,,2012,1919.63065460065
Central Europe and the Baltics,,2013,1996.35429898178
Central Europe and the Baltics,,2014,2103.282682412
Central Europe and the Baltics,,2015,2142.79065392361
Chile,CHL,2007,337.18288
Chile,CHL,2008,357.9897
Chile,CHL,2009,288.71137
Chile,CHL,2010,319.71699
Chile,CHL,2011,353.36854
Chile,CHL,2012,390.95003
Chile,CHL,2013,335.28419
Chile,CHL,2014,427.0332
Chile,CHL,2015,455.49715
China,CHN,1996,442.56548
China,CHN,1997,471.99494
China,CHN,1998,386.77167
China,CHN,1999,420.60209
China,CHN,2000,547.30387
China,CHN,2001,581.53188
China,CHN,2002,631.07801
China,CHN,2003,667.53208
China,CHN,2004,713.28449
China,CHN,2005,856.84548
China,CHN,2006,932.31417
China,CHN,2007,1078.62521
China,CHN,2008,1200.2949
China,CHN,2009,863.9263
China,CHN,2010,902.95975
China,CHN,2011,977.68206
China,CHN,2012,1035.87909
China,CHN,2013,1089.19205
China,CHN,2014,1113.07185
China,CHN,2015,1176.57712
Colombia,COL,1996,70.12003
Colombia,COL,1997,74.16146
Colombia,COL,2000,99.27162
Colombia,COL,2001,111.15058
Colombia,COL,2002,126.83357
Colombia,COL,2003,138.34698
Colombia,COL,2004,110.36751
Colombia,COL,2005,121.6043
Colombia,COL,2006,137.3184
Colombia,COL,2007,153.70441
Colombia,COL,2008,166.81551
Colombia,COL,2009,172.03084
Colombia,COL,2010,182.26513
Colombia,COL,2011,168.04303
Colombia,COL,2012,146.00372
Colombia,COL,2013,115.96463
Colombia,COL,2014,114.8903
Congo,COG,1996,50.7886
Congo,COG,1997,49.58871
Congo,COG,1998,40.72115
Congo,COG,1999,36.36251
Congo,COG,2000,32.72473
Costa Rica,CRI,2003,132.81725
Costa Rica,CRI,2004,109.62401
Costa Rica,CRI,2005,124.01588
Costa Rica,CRI,2008,263.00901
Costa Rica,CRI,2009,342.00328
Costa Rica,CRI,2010,384.57536
Costa Rica,CRI,2011,409.08712
Costa Rica,CRI,2012,339.69698
Costa Rica,CRI,2013,357.80813
Costa Rica,CRI,2014,572.97725
Cote d'Ivoire,CIV,2005,69.98405
Croatia,HRV,1998,1054.37935
Croatia,HRV,1999,1239.36954
Croatia,HRV,2000,1529.3348
Croatia,HRV,2001,1509.82498
Croatia,HRV,2002,1949.61523
Croatia,HRV,2003,1334.99123
Croatia,HRV,2004,1628.26151
Croatia,HRV,2005,1308.11483
Croatia,HRV,2006,1322.64535
Croatia,HRV,2007,1406.66505
Croatia,HRV,2008,1541.61308
Croatia,HRV,2009,1600.54535
Croatia,HRV,2010,1645.80643
Croatia,HRV,2011,1591.5583
Croatia,HRV,2012,1560.05986
Croatia,HRV,2013,1528.50394
Croatia,HRV,2014,1437.31468
Croatia,HRV,2015,1501.53868
Cyprus,CYP,1998,345.60424
Cyprus,CYP,1999,402.60856
Cyprus,CYP,2000,434.37809
Cyprus,CYP,2001,471.97958
Cyprus,CYP,2002,609.48271
Cyprus,CYP,2003,677.83199
Cyprus,CYP,2004,795.28883
Cyprus,CYP,2005,916.65065
Cyprus,CYP,2006,986.91676
Cyprus,CYP,2007,1029.19752
Cyprus,CYP,2008,1011.38118
Cyprus,CYP,2009,1065.75189
Cyprus,CYP,2010,1077.70041
Cyprus,CYP,2011,1061.47137
Cyprus,CYP,2012,1012.84477
Cyprus,CYP,2013,1026.80653
Cyprus,CYP,2014,1048.39624
Cyprus,CYP,2015,1013.76958
Czech Republic,CZE,1996,1255.29187
Czech Republic,CZE,1997,1219.72077
Czech Republic,CZE,1998,1220.23966
Czech Republic,CZE,1999,1316.567
Czech Republic,CZE,2000,1349.7015
Czech Republic,CZE,2001,1462.96546
Czech Republic,CZE,2002,1464.42152
Czech Republic,CZE,2003,1548.10404
Czech Republic,CZE,2004,1596.11502
Czech Republic,CZE,2005,2362.36532
Czech Republic,CZE,2006,2557.30588
Czech Republic,CZE,2007,2698.59737
Czech Republic,CZE,2008,2864.51845
Czech Republic,CZE,2009,2749.45014
Czech Republic,CZE,2010,2781.85443
Czech Republic,CZE,2011,2912.62889
Czech Republic,CZE,2012,3149.99155
Czech Republic,CZE,2013,3249.88938
Czech Republic,CZE,2014,3418.46171
Czech Republic,CZE,2015,3611.90621
Denmark,DNK,1996,3178.10864
Denmark,DNK,1997,3318.56206
Denmark,DNK,1999,3561.4852
Denmark,DNK,2001,3632.88055
Denmark,DNK,2002,4758.17173
Denmark,DNK,2003,4622.36787
Denmark,DNK,2004,4846.94659
Denmark,DNK,2005,5201.29439
Denmark,DNK,2006,5301.9463
Denmark,DNK,2007,5519.31521
Denmark,DNK,2008,6496.76342
Denmark,DNK,2009,6660.14333
Denmark,DNK,2010,6743.89777
Denmark,DNK,2011,7025.99462
Denmark,DNK,2012,7155.95436
Denmark,DNK,2013,7088.55317
Denmark,DNK,2014,7333.05129
Denmark,DNK,2015,7483.57626
Early-demographic dividend,,2005,182.59093205544
East Asia & Pacific,,1996,898.100515990995
East Asia & Pacific,,1997,883.502589759569
East Asia & Pacific,,1998,872.599888055593
East Asia & Pacific,,1999,861.793786264308
East Asia & Pacific,,2000,938.750445686059
East Asia & Pacific,,2001,915.484079102077
East Asia & Pacific,,2002,980.701836080434
East Asia & Pacific,,2003,1070.22609924885
East Asia & Pacific,,2004,1223.90249742158
East Asia & Pacific,,2005,1253.64293659565
East Asia & Pacific,,2006,1457.3777327235
East Asia & Pacific,,2007,1454.24137514281
East Asia & Pacific,,2008,1692.35496894621
East Asia & Pacific,,2009,1128.74303563672
East Asia & Pacific,,2010,1475.34493596747
East Asia & Pacific,,2011,1403.3349342008
East Asia & Pacific,,2012,1575.76721453253
East Asia & Pacific,,2013,1479.10362081737
East Asia & Pacific,,2014,1657.97252817807
East Asia & Pacific,,2015,1671.12130107521
East Asia & Pacific (IDA & IBRD),,1996,421.01605294428
East Asia & Pacific (IDA & IBRD),,1997,438.354713711427
East Asia & Pacific (IDA & IBRD),,1998,369.782980679054
East Asia & Pacific (IDA & IBRD),,1999,395.323675383361
East Asia & Pacific (IDA & IBRD),,2000,495.797419147079
East Asia & Pacific (IDA & IBRD),,2001,501.498329464281
East Asia & Pacific (IDA & IBRD),,2002,541.32937306008
East Asia & Pacific (IDA & IBRD),,2003,615.571965051989
East Asia & Pacific (IDA & IBRD),,2004,709.212329860158
East Asia & Pacific (IDA & IBRD),,2005,786.276767536559
East Asia & Pacific (IDA & IBRD),,2006,921.288047407743
East Asia & Pacific (IDA & IBRD),,2007,984.018725395753
East Asia & Pacific (IDA & IBRD),,2008,1188.23604788156
East Asia & Pacific (IDA & IBRD),,2009,700.287474326336
East Asia & Pacific (IDA & IBRD),,2010,914.3873730849
East Asia & Pacific (IDA & IBRD),,2011,915.54071071436
East Asia & Pacific (IDA & IBRD),,2012,1051.46431450971
East Asia & Pacific (IDA & IBRD),,2013,998.63181333244
East Asia & Pacific (IDA & IBRD),,2014,1125.25410849572
East Asia & Pacific (IDA & IBRD),,2015,1173.06990736149
East Asia & Pacific (excluding high income),,1996,421.01605294428
East Asia & Pacific (excluding high income),,1997,438.354713711427
East Asia & Pacific (excluding high income),,1998,369.782980679054
East Asia & Pacific (excluding high income),,1999,395.323675383361
East Asia & Pacific (excluding high income),,2000,495.797419147079
East Asia & Pacific (excluding high income),,2001,501.498329464281
East Asia & Pacific (excluding high income),,2002,541.311898512861
East Asia & Pacific (excluding high income),,2003,615.563336659986
East Asia & Pacific (excluding high income),,2004,709.187331565873
East Asia & Pacific (excluding high income),,2005,786.248953316491
East Asia & Pacific (excluding high income),,2006,921.288047407743
East Asia & Pacific (excluding high income),,2007,984.018725395753
East Asia & Pacific (excluding high income),,2008,1188.23604788156
East Asia & Pacific (excluding high income),,2009,700.287474326336
East Asia & Pacific (excluding high income),,2010,914.3873730849
East Asia & Pacific (excluding high income),,2011,915.54071071436
East Asia & Pacific (excluding high income),,2012,1051.46431450971
East Asia & Pacific (excluding high income),,2013,998.63181333244
East Asia & Pacific (excluding high income),,2014,1125.25410849572
East Asia & Pacific (excluding high income),,2015,1173.06990736149
Ecuador,ECU,1996,84.13589
Ecuador,ECU,1997,78.1552
Ecuador,ECU,1998,83.36151
Ecuador,ECU,2001,39.99143
Ecuador,ECU,2002,42.07448
Ecuador,ECU,2003,48.53419
Ecuador,ECU,2006,70.5209
Ecuador,ECU,2007,65.04533
Ecuador,ECU,2008,103.23306
Ecuador,ECU,2009,118.34982
Ecuador,ECU,2010,141.30002
Ecuador,ECU,2011,180.29544
Ecuador,ECU,2012,282.16233
Ecuador,ECU,2013,351.69467
Ecuador,ECU,2014,400.71896
Egypt,EGY,2007,636.07747
Egypt,EGY,2008,442.26912
Egypt,EGY,2009,437.05784
Egypt,EGY,2010,496.7285
Egypt,EGY,2011,496.11617
Egypt,EGY,2012,521.73978
Egypt,EGY,2013,543.88625
Egypt,EGY,2014,681.61169
Egypt,EGY,2015,679.81262
El Salvador,SLV,2015,65.28925
Estonia,EST,1998,2117.48109
Estonia,EST,1999,2138.44928
Estonia,EST,2000,1905.4494
Estonia,EST,2001,1926.34618
Estonia,EST,2002,2212.28218
Estonia,EST,2003,2197.55406
Estonia,EST,2004,2470.75829
Estonia,EST,2005,2457.10214
Estonia,EST,2006,2603.43909
Estonia,EST,2007,2745.05982
Estonia,EST,2008,2969.53373
Estonia,EST,2009,3229.0105
Estonia,EST,2010,3060.60631
Estonia,EST,2011,3396.66342
Estonia,EST,2012,3460.62053
Estonia,EST,2013,3338.5099
Estonia,EST,2014,3284.44776
Estonia,EST,2015,3189.1924
Ethiopia,ETH,2005,20.98986
Ethiopia,ETH,2007,19.9649
Ethiopia,ETH,2010,42.26728
Ethiopia,ETH,2013,45.12264
Euro area,,1996,2131.40146882588
Euro area,,1997,2145.24306005676
Euro area,,1998,2238.56295849569
Euro area,,1999,2299.77260801188
Euro area,,2000,2452.77013744873
Euro area,,2001,2481.81504578225
Euro area,,2002,2578.31373679108
Euro area,,2003,2591.08338813189
Euro area,,2004,2731.92410446402
Euro area,,2005,2765.12998013892
Euro area,,2006,2885.54410875032
Euro area,,2007,2998.96204422783
Euro area,,2008,3178.10171262323
Euro area,,2009,3254.84075313621
Euro area,,2010,3365.49484247613
Euro area,,2011,3403.75414484704
Euro area,,2012,3522.37041694598
Euro area,,2013,3561.19607958014
Euro area,,2014,3572.78144726565
Euro area,,2015,3513.58021499819
Europe & Central Asia,,1996,2283.099081608
Europe & Central Asia,,1997,2264.98616653067
Europe & Central Asia,,1998,2212.61438965157
Europe & Central Asia,,1999,2309.18757732515
Europe & Central Asia,,2000,2299.46251413584
Europe & Central Asia,,2001,2374.2219124446
Europe & Central Asia,,2002,2385.85188180233
Europe & Central Asia,,2003,2452.04849343291
Europe & Central Asia,,2004,2530.93489157326
Europe & Central Asia,,2005,2582.02680618632
Europe & Central Asia,,2006,2573.43470785254
Europe & Central Asia,,2007,2571.03226997155
Europe & Central Asia,,2008,2641.81326157562
Europe & Central Asia,,2009,2664.17646880164
Europe & Central Asia,,2010,2716.12263314989
Europe & Central Asia,,2011,2740.528331769
Europe & Central Asia,,2012,2813.4795655028
Europe & Central Asia,,2013,2842.27204195103
Europe & Central Asia,,2014,2914.75704387918
Europe & Central Asia,,2015,3067.04866964119
Europe & Central Asia (IDA & IBRD),,2000,2065.96251474606
Europe & Central Asia (IDA & IBRD),,2001,2056.44181539957
Europe & Central Asia (IDA & IBRD),,2002,2025.92720575272
Europe & Central Asia (IDA & IBRD),,2003,1995.00375394801
Europe & Central Asia (IDA & IBRD),,2004,1977.48455931415
Europe & Central Asia (IDA & IBRD),,2005,1959.33377913277
Europe & Central Asia (IDA & IBRD),,2006,1882.37369892444
Europe & Central Asia (IDA & IBRD),,2007,1842.44973966455
Europe & Central Asia (IDA & IBRD),,2008,1809.55846009219
Europe & Central Asia (IDA & IBRD),,2009,1795.63805196755
Europe & Central Asia (IDA & IBRD),,2010,1810.98480013629
Europe & Central Asia (IDA & IBRD),,2011,1819.71912160982
Europe & Central Asia (IDA & IBRD),,2012,1830.96565234257
Europe & Central Asia (IDA & IBRD),,2013,1834.49091388136
Europe & Central Asia (IDA & IBRD),,2014,1899.62919410219
Europe & Central Asia (IDA & IBRD),,2015,2118.99340951506
Europe & Central Asia (excluding high income),,2000,2165.41934455103
Europe & Central Asia (excluding high income),,2001,2150.90983258909
Europe & Central Asia (excluding high income),,2002,2105.96408021488
Europe & Central Asia (excluding high income),,2003,2071.08454830998
Europe & Central Asia (excluding high income),,2004,2037.51901302785
Europe & Central Asia (excluding high income),,2005,2017.27151300953
Europe & Central Asia (excluding high income),,2006,1929.48343725666
Europe & Central Asia (excluding high income),,2007,1875.28964733008
Europe & Central Asia (excluding high income),,2008,1835.58598260254
Europe & Central Asia (excluding high income),,2009,1821.44790717397
Europe & Central Asia (excluding high income),,2010,1828.30973720482
Europe & Central Asia (excluding high income),,2011,1839.75209154851
Europe & Central Asia (excluding high income),,2012,1844.52142464753
Europe & Central Asia (excluding high income),,2013,1836.39288653803
Europe & Central Asia (excluding high income),,2014,1890.29916713759
European Union,,1996,2030.18081369687
European Union,,1997,2084.17412278845
European Union,,1998,2109.17551329429
European Union,,1999,2225.84626846368
European Union,,2000,2269.1346127672
European Union,,2001,2389.31284831459
European Union,,2002,2456.2053465467
European Union,,2003,2559.61508464276
European Union,,2004,2689.64938791416
European Union,,2005,2789.10601352585
European Union,,2006,2876.05877718701
European Union,,2007,2938.41793855947
European Union,,2008,3081.57059260901
European Union,,2009,3135.25668062116
European Union,,2010,3221.99836925453
European Union,,2011,3239.65634006749
European Union,,2012,3343.72474556818
European Union,,2013,3435.7535990056
European Union,,2014,3487.32245077579
European Union,,2015,3485.4150820148
Faeroe Islands,FRO,2003,1780.24344
Finland,FIN,1997,5151.61683
Finland,FIN,1998,5905.13249
Finland,FIN,1999,6326.68962
Finland,FIN,2000,6731.88277
Finland,FIN,2001,7109.64323
Finland,FIN,2002,7427.94337
Finland,FIN,2003,8002.60846
Finland,FIN,2004,7841.79882
Finland,FIN,2005,7544.64803
Finland,FIN,2006,7673.05548
Finland,FIN,2007,7373.23969
Finland,FIN,2008,7692.44228
Finland,FIN,2009,7648.88133
Finland,FIN,2010,7717.4749
Finland,FIN,2011,7413.63475
Finland,FIN,2012,7460.10245
Finland,FIN,2013,7187.92619
Finland,FIN,2014,6985.94438
Finland,FIN,2015,6816.7699
France,FRA,1996,2649.18224
France,FRA,1997,2638.28223
France,FRA,1998,2645.38383
France,FRA,1999,2714.09473
France,FRA,2000,2897.42654
France,FRA,2001,2970.46248
France,FRA,2002,3103.08065
France,FRA,2003,3188.46222
France,FRA,2004,3325.36438
France,FRA,2005,3306.6814
France,FRA,2006,3418.13213
France,FRA,2007,3580.19482
France,FRA,2008,3653.99215
France,FRA,2009,3741.42203
France,FRA,2010,3867.99292
France,FRA,2011,3939.51136
France,FRA,2012,4073.40585
France,FRA,2013,4169.84829
France,FRA,2014,4168.78202
Gambia,GMB,2008,97.68401
Gambia,GMB,2009,109.21967
Gambia,GMB,2011,33.50296
Georgia,GEO,2013,561.63442
Georgia,GEO,2014,1059.61573
Georgia,GEO,2015,1288.26555
Germany,DEU,1996,2811.61389
Germany,DEU,1997,2875.74074
Germany,DEU,1998,2898.56684
Germany,DEU,1999,3107.28263
Germany,DEU,2000,3148.80136
Germany,DEU,2001,3231.71759
Germany,DEU,2002,3253.51966
Germany,DEU,2003,3297.09098
Germany,DEU,2004,3318.86921
Germany,DEU,2005,3349.64573
Germany,DEU,2006,3452.20997
Germany,DEU,2007,3597.23882
Germany,DEU,2008,3751.78161
Germany,DEU,2009,3940.73576
Germany,DEU,2010,4077.76719
Germany,DEU,2011,4211.25463
Germany,DEU,2012,4379.07515
Germany,DEU,2013,4399.67239
Germany,DEU,2014,4363.7795
Germany,DEU,2015,4431.08151
Ghana,GHA,2007,17.41385
Ghana,GHA,2010,38.67959
Greece,GRC,1997,1015.39239
Greece,GRC,1999,1351.66163
Greece,GRC,2001,1307.94346
Greece,GRC,2003,1417.21172
Greece,GRC,2005,1769.95323
Greece,GRC,2006,1793.70335
Greece,GRC,2007,1887.82947
Greece,GRC,2011,2212.33265
Greece,GRC,2012,2232.28916
Greece,GRC,2013,2643.85404
Greece,GRC,2014,2715.90725
Greece,GRC,2015,3201.2703
Greenland,GRL,2001,536.05978
Greenland,GRL,2002,539.49835
Greenland,GRL,2003,646.90122
Greenland,GRL,2004,701.46446
Guam,GUM,2003,285.12954
Guam,GUM,2004,316.06761
Guam,GUM,2005,303.02839
Guatemala,GTM,2005,29.43072
Guatemala,GTM,2006,24.09185
Guatemala,GTM,2007,33.84639
Guatemala,GTM,2008,38.27972
Guatemala,GTM,2009,38.4241
Guatemala,GTM,2010,24.6398
Guatemala,GTM,2011,24.58589
Guatemala,GTM,2012,26.74256
High income,,1996,2844.44241040481
High income,,1997,2802.9435002973
High income,,1998,2884.08310387913
High income,,1999,2950.18632515358
High income,,2000,3018.80801638137
High income,,2001,3115.52576854563
High income,,2002,3150.44222511808
High income,,2003,3308.5936674314
High income,,2004,3368.01764218757
High income,,2005,3437.6779453884
High income,,2006,3543.92852589453
High income,,2007,3534.04537520011
High income,,2008,3640.41915812069
High income,,2009,3697.34372671639
High income,,2010,3734.24025254347
High income,,2011,3795.90807558619
High income,,2012,3857.21935538931
High income,,2013,3910.74950937842
High income,,2014,4014.10846805916
Hong Kong,HKG,1998,1039.53622
Hong Kong,HKG,1999,1184.30858
Hong Kong,HKG,2000,1139.23457
Hong Kong,HKG,2001,1338.25044
Hong Kong,HKG,2002,1552.06131
Hong Kong,HKG,2003,1970.26113
Hong Kong,HKG,2004,2132.94785
Hong Kong,HKG,2005,2634.13843
Hong Kong,HKG,2006,2672.91226
Hong Kong,HKG,2007,2842.5983
Hong Kong,HKG,2008,2669.89504
Hong Kong,HKG,2009,2774.82183
Hong Kong,HKG,2010,2942.98906
Hong Kong,HKG,2011,2893.29777
Hong Kong,HKG,2012,2990.20341
Hong Kong,HKG,2013,3135.98821
Hong Kong,HKG,2014,3297.55528
Hong Kong,HKG,2015,3248.49825
Hungary,HUN,1996,1007.07546
Hungary,HUN,1997,1081.73353
Hungary,HUN,1998,1140.82193
Hungary,HUN,1999,1226.84727
Hungary,HUN,2000,1409.02199
Hungary,HUN,2001,1438.41032
Hungary,HUN,2002,1471.75957
Hungary,HUN,2003,1496.82428
Hungary,HUN,2004,1473.13297
Hungary,HUN,2005,1572.70767
Hungary,HUN,2006,1741.03963
Hungary,HUN,2007,1728.01685
Hungary,HUN,2008,1841.06598
Hungary,HUN,2009,1999.41186
Hungary,HUN,2010,2131.08159
Hungary,HUN,2011,2304.47041
Hungary,HUN,2012,2393.67348
Hungary,HUN,2013,2522.84572
Hungary,HUN,2014,2650.57829
Hungary,HUN,2015,2568.84231
IBRD only,,1996,514.875939060853
IBRD only,,1998,463.275771696597
IBRD only,,2000,496.854404021647
IBRD only,,2005,623.627762015416
IBRD only,,2010,678.3960561437
IBRD only,,2015,853.535079636641
IDA & IBRD total,,2005,580.222033614936
IDA & IBRD total,,2010,627.215867941627
IDA blend,,2007,138.00054164637
Iceland,ISL,1997,4915.35862
Iceland,ISL,1998,5132.28314
Iceland,ISL,1999,5666.79599
Iceland,ISL,2001,6546.33023
Iceland,ISL,2003,6614.35906
Iceland,ISL,2005,7261.79043
Iceland,ISL,2006,7975.61875
Iceland,ISL,2007,7230.48966
Iceland,ISL,2008,7443.31732
Iceland,ISL,2009,7969.49761
Iceland,ISL,2011,7034.54506
Iceland,ISL,2013,5679.51886
Iceland,ISL,2015,5902.52713
India,IND,1996,152.48388
India,IND,1998,115.63131
India,IND,2000,110.05039
India,IND,2005,135.2997
India,IND,2010,156.63804
India,IND,2015,215.85286
Indonesia,IDN,2000,212.64966
Indonesia,IDN,2001,199.21818
Indonesia,IDN,2009,89.5267
Iran,IRN,2006,712.68676
Iran,IRN,2008,748.20738
Iran,IRN,2009,712.21617
Iran,IRN,2010,738.18869
Iran,IRN,2012,691.41402
Iraq,IRQ,2007,370.71388
Iraq,IRQ,2008,381.02649
Iraq,IRQ,2009,401.9935
Iraq,IRQ,2010,416.25421
Iraq,IRQ,2011,425.47706
Iraq,IRQ,2014,67.87005
Iraq,IRQ,2015,64.2722
Ireland,IRL,1996,1747.72053
Ireland,IRL,1997,1901.61499
Ireland,IRL,1998,2061.87346
Ireland,IRL,1999,2079.0136
Ireland,IRL,2000,2216.79968
Ireland,IRL,2001,2293.62266
Ireland,IRL,2002,2362.77639
Ireland,IRL,2003,2484.29467
Ireland,IRL,2004,2672.47734
Ireland,IRL,2005,2756.38128
Ireland,IRL,2006,2834.69129
Ireland,IRL,2007,2892.64578
Ireland,IRL,2008,3236.9488
Ireland,IRL,2009,3112.57637
Ireland,IRL,2010,3070.16993
Ireland,IRL,2011,3281.74051
Ireland,IRL,2012,3481.89409
Ireland,IRL,2013,3605.94126
Ireland,IRL,2014,4433.47014
Ireland,IRL,2015,4575.19636
Israel,ISR,2011,7296.25321
Israel,ISR,2012,8255.40441
Italy,ITA,1996,1338.91133
Italy,ITA,1997,1151.62494
Italy,ITA,1998,1146.34139
Italy,ITA,1999,1141.36435
Italy,ITA,2000,1156.83949
Italy,ITA,2001,1162.88275
Italy,ITA,2002,1235.64588
Italy,ITA,2003,1212.58399
Italy,ITA,2004,1234.17581
Italy,ITA,2005,1406.284
Italy,ITA,2006,1500.88077
Italy,ITA,2007,1572.57868
Italy,ITA,2008,1614.4224
Italy,ITA,2009,1712.54417
Italy,ITA,2010,1735.6563
Italy,ITA,2011,1778.70461
Italy,ITA,2012,1853.01357
Italy,ITA,2013,1943.46953
Italy,ITA,2014,1976.68063
