Entity,Code,Year,Urban population living in slum households (urban population living in slums),Urban population not living in slum households (urban population not living in slums)
Cote d'Ivoire,CIV,2009,5659137,4269173
Cote d'Ivoire,CIV,2014,6747743,5301798
Democratic Republic of Congo,COD,2005,15677095,4842663
Democratic Republic of Congo,COD,2007,15520125,6940259
Democratic Republic of Congo,COD,2009,15185856,9426553
Democratic Republic of Congo,COD,2014,23147539,7798369
Djibouti,DJI,2014,462320,242436
Dominica,DMA,1990,7427,37312
Dominican Republic,DOM,1990,1106860,2860381
Dominican Republic,DOM,1995,1109156,3436564
Dominican Republic,DOM,2000,1110286,4176791
Dominican Republic,DOM,2005,1095212,5127582
Dominican Republic,DOM,2007,1078040,5576528
Dominican Republic,DOM,2009,1048673,6036956
Dominican Republic,DOM,2014,982872,7140034
Early-demographic dividend,,1990,345729329,364999436
Early-demographic dividend,,1995,368017911,458915037
Early-demographic dividend,,2000,373301333,575970587
Early-demographic dividend,,2005,357746783,722520580
Early-demographic dividend,,2007,358093896,778315963
Early-demographic dividend,,2009,372474581,822395459
Early-demographic dividend,,2014,365633057,983303891
East Asia & Pacific,,1990,282690290,322776564
East Asia & Pacific,,1995,300585278,414634446
East Asia & Pacific,,2000,316146031,517708548
East Asia & Pacific,,2005,325185661,656435839
East Asia & Pacific,,2007,318472320,722303969
East Asia & Pacific,,2009,318659509,781975309
East Asia & Pacific,,2014,322343897,927485767
East Asia & Pacific (IDA & IBRD),,1990,202307339,237068800
East Asia & Pacific (IDA & IBRD),,1995,226836762,312903998
East Asia & Pacific (IDA & IBRD),,2000,246880448,404281899
East Asia & Pacific (IDA & IBRD),,2005,259847780,524541563
East Asia & Pacific (IDA & IBRD),,2007,256727835,582265779
East Asia & Pacific (IDA & IBRD),,2009,258950903,635453222
East Asia & Pacific (IDA & IBRD),,2014,267026813,768320947
East Asia & Pacific (excluding high income),,1990,210687750,240563862
East Asia & Pacific (excluding high income),,1995,232273144,320403070
East Asia & Pacific (excluding high income),,2000,252059536,412762974
East Asia & Pacific (excluding high income),,2005,264595765,534126081
East Asia & Pacific (excluding high income),,2007,261179306,592361840
East Asia & Pacific (excluding high income),,2009,263218253,645925097
East Asia & Pacific (excluding high income),,2014,270967563,779659738
Ecuador,ECU,2005,1822372,6653778
Ecuador,ECU,2014,3636368,6464653
Egypt,EGY,1990,12530765,12430918
Egypt,EGY,1995,10693241,16585436
Egypt,EGY,2000,8406864,21510802
Egypt,EGY,2005,5649042,27386292
Egypt,EGY,2007,4933880,29329178
Egypt,EGY,2009,4649468,30842653
Egypt,EGY,2014,4191532,35351222
El Salvador,SLV,2005,1074136,2642598
Equatorial Guinea,GNQ,2005,195096,99167
Equatorial Guinea,GNQ,2014,297247,151767
Eritrea,ERI,1990,343840,148063
Ethiopia,ETH,1990,5795894,273105
Ethiopia,ETH,1995,7567646,356591
Ethiopia,ETH,2000,8689536,1118067
Ethiopia,ETH,2005,9853752,2192400
Ethiopia,ETH,2007,10325735,2728291
Ethiopia,ETH,2009,11035130,3408758
Ethiopia,ETH,2014,13691416,4835534
Fragile and conflict affected situations,,2005,83137361,60665904
Fragile and conflict affected situations,,2014,117959664,76958442
Gabon,GAB,2005,452984,717518
Gabon,GAB,2014,603237,1027133
Gambia,GMB,2005,343190,412735
Gambia,GMB,2007,289214,541862
Gambia,GMB,2014,393873,737947
Ghana,GHA,1990,3491598,1839086
Ghana,GHA,1995,3955859,2771792
Ghana,GHA,2000,4334516,3985093
Ghana,GHA,2005,4626757,5564337
Ghana,GHA,2007,4728529,6319437
Ghana,GHA,2009,4795690,7163636
Ghana,GHA,2014,5456028,8939824
Grenada,GRD,2005,2219,34756
Guatemala,GTM,1990,2232075,1576927
Guatemala,GTM,1995,2391624,2095476
Guatemala,GTM,2000,2528921,2728710
Guatemala,GTM,2005,2650215,3527443
Guatemala,GTM,2007,2684126,3894614
Guatemala,GTM,2009,2708356,4289979
Guatemala,GTM,2014,2808068,5331259
Guinea,GIN,1990,1361234,331843
Guinea,GIN,1995,1596179,723849
Guinea,GIN,2000,1565520,1166627
Guinea,GIN,2005,1451265,1724369
Guinea,GIN,2007,1550188,1841908
Guinea,GIN,2014,1875003,2455258
Guinea-Bissau,GNB,2005,468939,95368
Guinea-Bissau,GNB,2014,689550,148299
Guyana,GUY,2005,71621,140904
Guyana,GUY,2007,70729,140402
Guyana,GUY,2009,69867,140575
Guyana,GUY,2014,71911,145343
Haiti,HTI,1990,1890541,133593
Haiti,HTI,1995,2380276,168199
Haiti,HTI,2000,2842643,200872
Haiti,HTI,2005,2862659,1221020
Haiti,HTI,2007,3174836,1354174
Haiti,HTI,2009,3489554,1488412
Haiti,HTI,2014,4517867,1554535
Heavily indebted poor countries (HIPC),,1990,67085892,22820678
Heavily indebted poor countries (HIPC),,1995,80257416,31699008
Heavily indebted poor countries (HIPC),,2000,92026136,43457920
Heavily indebted poor countries (HIPC),,2005,107775365,58047349
Heavily indebted poor countries (HIPC),,2007,113826328,66146827
Heavily indebted poor countries (HIPC),,2009,121803960,73804175
Heavily indebted poor countries (HIPC),,2014,149451647,91237944
Honduras,HND,2005,1248475,2328818
Honduras,HND,2014,1311487,3457558
IBRD only,,1990,582230339,749765386
IBRD only,,1995,606931894,921474225
IBRD only,,2000,615672174,1118075239
IBRD only,,2005,599662749,1365252036
IBRD only,,2007,593593614,1467572149
IBRD only,,2009,599849717,1560189739
IBRD only,,2014,566307344,1851131816
IDA & IBRD total,,1990,727616364,819346420
IDA & IBRD total,,1995,778639469,1010726738
IDA & IBRD total,,2000,809228431,1236597469
IDA & IBRD total,,2005,830329055,1511826443
IDA & IBRD total,,2007,838244731,1630147424
IDA & IBRD total,,2009,859123740,1740722577
IDA & IBRD total,,2014,876655673,2071659736
IDA blend,,1990,51532614,34839860
IDA blend,,1995,59285210,43510832
IDA blend,,2000,67746541,53657100
IDA blend,,2005,79262238,65780400
IDA blend,,2007,84237695,71689512
IDA blend,,2009,89596968,78274325
IDA blend,,2014,95489657,106905614
IDA only,,2005,147726731,84471344
IDA only,,2007,159193816,92105369
IDA only,,2009,172849386,99086182
IDA only,,2014,195506799,132974179
IDA total,,1990,150395548,64571511
IDA total,,1995,176383230,84576858
IDA total,,2000,200575642,111502845
IDA total,,2005,226766540,150474173
IDA total,,2007,241935248,165291144
IDA total,,2009,259178150,180628711
IDA total,,2014,291691020,239185229
India,IND,1990,122038857,100254143
India,IND,1995,123177827,132377830
India,IND,2000,120909252,170438344
India,IND,2005,116400117,218082977
India,IND,2007,113247346,239548125
India,IND,2009,109194189,262214616
India,IND,2014,100504920,318265579
Indonesia,IDN,1990,28189244,27301393
Indonesia,IDN,1995,30269223,40785291
Indonesia,IDN,2000,30564817,58286394
Indonesia,IDN,2005,27390142,76754885
Indonesia,IDN,2007,25469068,85266011
Indonesia,IDN,2009,27041932,90531684
Indonesia,IDN,2014,29479518,105747627
Iran,IRN,1990,16437877,15234333
Iran,IRN,2005,14415397,33160170
Iraq,IRQ,1990,2057904,10119041
Iraq,IRQ,1995,2348987,11550342
Iraq,IRQ,2000,2727891,13413474
Iraq,IRQ,2005,9806340,8766274
Iraq,IRQ,2007,10324165,9229178
Iraq,IRQ,2009,10888063,9733268
Iraq,IRQ,2014,11460428,12820139
Jamaica,JAM,2005,876941,572548
Jordan,JOR,2005,732890,3905654
Jordan,JOR,2007,895635,4164450
Jordan,JOR,2009,1099231,4509091
Jordan,JOR,2014,948292,6402810
Kenya,KEN,1990,2151779,1767673
Kenya,KEN,1995,2736867,2257416
Kenya,KEN,2000,3428359,2827771
Kenya,KEN,2005,4281779,3531687
Kenya,KEN,2007,4679296,3859565
Kenya,KEN,2009,5102520,4225671
Kenya,KEN,2014,6494169,5102561
Laos,LAO,2005,1249608,326190
Laos,LAO,2014,775424,1694079
Late-demographic dividend,,1990,303165734,413326462
Late-demographic dividend,,1995,318030756,503014359
Late-demographic dividend,,2000,330454016,601206318
Late-demographic dividend,,2005,328952805,735172861
Late-demographic dividend,,2007,331575756,787731677
Late-demographic dividend,,2009,328478455,847426269
Late-demographic dividend,,2014,315690483,1002757818
Latin America & Caribbean,,1990,111147720,202298431
Latin America & Caribbean,,1995,116478436,237967649
Latin America & Caribbean,,2000,119357749,275531296
Latin America & Caribbean,,2005,109697214,321443361
Latin America & Caribbean,,2007,110427631,335306944
Latin America & Caribbean,,2014,101692168,394964709
Latin America & Caribbean (IDA & IBRD),,1990,107025207,194795103
Latin America & Caribbean (IDA & IBRD),,1995,112474823,229788191
Latin America & Caribbean (IDA & IBRD),,2000,115521309,266675068
Latin America & Caribbean (IDA & IBRD),,2005,106405339,311797251
Latin America & Caribbean (IDA & IBRD),,2007,107217388,325559231
Latin America & Caribbean (IDA & IBRD),,2014,99041770,384670759
Latin America & Caribbean (excluding high income),,1990,104844293,190803511
Latin America & Caribbean (excluding high income),,1995,110152652,225043952
Latin America & Caribbean (excluding high income),,2000,113111451,261112033
Latin America & Caribbean (excluding high income),,2005,106545181,302855577
Latin America & Caribbean (excluding high income),,2007,104945025,318659336
Latin America & Caribbean (excluding high income),,2014,96923706,376444359
Least developed countries: UN classification,,2005,139772500,60486871
Least developed countries: UN classification,,2007,149149412,68231792
Least developed countries: UN classification,,2009,155189419,80837402
Least developed countries: UN classification,,2014,181720870,108246427
Lebanon,LBN,2005,1832999,1618977
Lesotho,LSO,2005,152248,281506
Lesotho,LSO,2007,205010,256724
Lesotho,LSO,2009,263044,226796
Lesotho,LSO,2014,292016,282818
Liberia,LBR,2009,1235019,573208
Liberia,LBR,2014,1422395,742590
Libya,LBY,1990,1182570,2177003
Low & middle income,,1990,722003300,806024968
Low & middle income,,1995,770486213,1000143259
Low & middle income,,2000,801977046,1225516487
Low & middle income,,2005,828259001,1495841681
Low & middle income,,2007,832141617,1618278604
Low & middle income,,2009,853196709,1728713463
Low & middle income,,2014,871478191,2059424622
Low income,,1990,55092575,17889932
Low income,,1995,67232553,22475879
Low income,,2000,77044337,31029694
Low income,,2005,91704864,39659129
Low income,,2007,95516416,46692115
Low income,,2009,102011524,52272018
Low income,,2014,123568416,65873652
Lower middle income,,1990,325837744,250800357
Lower middle income,,1995,342480841,328484023
Lower middle income,,2000,349750731,421672084
Lower middle income,,2005,351066151,535996725
Lower middle income,,2007,350153894,587636377
Lower middle income,,2009,350538866,640293548
Lower middle income,,2014,363276954,769685481
Madagascar,MDG,1990,2542001,191333
Madagascar,MDG,1995,3079837,396277
Madagascar,MDG,2000,3596213,679902
Madagascar,MDG,2005,4258536,1025008
Madagascar,MDG,2007,4553962,1284451
Madagascar,MDG,2009,4905545,1532178
Madagascar,MDG,2014,6277080,1853853
Malawi,MWI,1990,724411,366570
Malawi,MWI,1995,872657,441585
Malawi,MWI,2000,1103607,558452
Malawi,MWI,2005,1303431,659567
Malawi,MWI,2007,1427571,681101
Malawi,MWI,2009,1564045,705977
Malawi,MWI,2014,1833199,915225
Mali,MLI,1990,1859744,114507
Mali,MLI,1995,2078414,372546
Mali,MLI,2000,2344938,765060
Mali,MLI,2005,2704063,1399220
Mali,MLI,2007,3029189,1567456
Mali,MLI,2009,3388263,1753259
Mali,MLI,2014,3738189,2901578
Mauritania,MRT,2014,1924053,484023
Mexico,MEX,1990,14082162,46879578
Mexico,MEX,1995,14834862,54164498
Mexico,MEX,2000,15125388,60881586
Mexico,MEX,2005,11919310,70853678
Mexico,MEX,2007,12388014,73639858
Mexico,MEX,2014,10888993,87210047
Middle East & North Africa,,1990,55393681,84979976
Middle East & North Africa,,2005,57111893,153617293
Middle East & North Africa (IDA & IBRD),,1990,45631175,70764009
Middle East & North Africa (IDA & IBRD),,2005,49001613,123773068
Middle East & North Africa (excluding high income),,1990,46156289,71578347
Middle East & North Africa (excluding high income),,2005,49689641,125510955
Middle income,,1990,669647295,787990687
Middle income,,1995,711449292,972044625
Middle income,,2000,734568788,1187321037
Middle income,,2005,740009797,1455242562
Middle income,,2007,739200776,1571541613
Middle income,,2009,753433244,1676740700
Middle income,,2014,744366209,1999592458
Mongolia,MNG,1990,853293,392390
Mongolia,MNG,1995,870702,434699
Mongolia,MNG,2000,888953,480774
Mongolia,MNG,2005,914170,664707
Mongolia,MNG,2007,968833,704453
Mongolia,MNG,2014,889209,1193248
Morocco,MAR,1990,4502684,7536579
Morocco,MAR,1995,4926497,9069232
Morocco,MAR,2000,3723641,11663304
Morocco,MAR,2005,2204081,14620964
Morocco,MAR,2007,2296989,15237280
Morocco,MAR,2009,2396019,15894205
Morocco,MAR,2014,2683869,17803683
Mozambique,MOZ,1990,2503805,808107
Mozambique,MOZ,1995,3332056,1000917
Mozambique,MOZ,2000,4111237,1146099
Mozambique,MOZ,2005,4989986,1286726
Mozambique,MOZ,2007,5389826,1347456
Mozambique,MOZ,2009,5822141,1410332
Mozambique,MOZ,2014,6978072,1711930
Myanmar,MMR,2005,6395865,7630155
Myanmar,MMR,2014,7142644,10278438
Namibia,NAM,1990,134589,256658
Namibia,NAM,1995,168288,325224
Namibia,NAM,2000,208433,406413
Namibia,NAM,2005,252363,492071
Namibia,NAM,2007,269743,533063
Namibia,NAM,2009,290666,576994
Namibia,NAM,2014,359563,723459
Nepal,NPL,1990,1172011,488061
Nepal,NPL,1995,1568855,762281
Nepal,NPL,2000,2040731,1147911
Nepal,NPL,2005,2363030,1529935
Nepal,NPL,2007,2463742,1683971
Nepal,NPL,2009,2560895,1846841
Nepal,NPL,2014,2805686,2361323
Nicaragua,NIC,1990,1932705,236436
Nicaragua,NIC,1995,1839487,629623
Nicaragua,NIC,2000,1650910,1100607
Nicaragua,NIC,2005,1369013,1639807
Nicaragua,NIC,2007,1418013,1698498
Niger,NER,1990,1029464,201952
Niger,NER,1995,1242229,252631
Niger,NER,2000,1517851,319741
Niger,NER,2005,1869421,407584
Niger,NER,2007,2044435,451823
Niger,NER,2009,2243681,502563
Niger,NER,2014,2479076,1057409
Nigeria,NGA,1990,21857450,6418682
Nigeria,NGA,1995,25567043,9218049
Nigeria,NGA,2000,29668698,12958742
Nigeria,NGA,2005,35722301,18566911
Nigeria,NGA,2007,38369750,21396215
Nigeria,NGA,2009,41229514,24527287
Nigeria,NGA,2014,41582713,41251376
North Korea,PRK,1990,8115809,3732088
Oman,OMN,1990,724714,473160
Pakistan,PAK,1990,16791145,16132668
Pakistan,PAK,1995,19473736,19630152
Pakistan,PAK,2000,22366641,23560754
Pakistan,PAK,2005,25390093,28062734
Pakistan,PAK,2007,26707850,30117363
Pakistan,PAK,2009,28180706,32292912
Pakistan,PAK,2014,32336751,38733032
Panama,PAN,2005,487709,1632765
Panama,PAN,2014,667712,1920318
Paraguay,PRY,2005,584974,2738742
Peru,PER,1990,9985754,5053032
Peru,PER,1995,9602382,7453359
Peru,PER,2000,8745081,10183665
Peru,PER,2005,7478907,13238288
Peru,PER,2007,7742271,13704463
Peru,PER,2014,8292642,15954848
Philippines,PHL,1990,16344417,13755799
Philippines,PHL,1995,17131623,16592044
Philippines,PHL,2000,17653205,19747652
Philippines,PHL,2005,17570189,22636194
Philippines,PHL,2007,17398523,23732737
Philippines,PHL,2009,17170897,24811736
Philippines,PHL,2014,17056326,27477163
Pre-demographic dividend,,1990,75664241,40729531
Pre-demographic dividend,,1995,90382754,53150199
Pre-demographic dividend,,2000,107290622,66571276
Pre-demographic dividend,,2005,140818879,73904860
Pre-demographic dividend,,2007,148049462,85828889
Pre-demographic dividend,,2009,157624269,97172658
Pre-demographic dividend,,2014,185847383,130212737
Rwanda,RWA,1990,376215,15676
Rwanda,RWA,1995,512584,70561
Rwanda,RWA,2000,954739,243177
Rwanda,RWA,2005,1241391,492395
Rwanda,RWA,2007,1360526,631459
Rwanda,RWA,2009,1493143,800472
Rwanda,RWA,2014,1680408,1478253
Saint Lucia,LCA,2005,4497,33296
Sao Tome and Principe,STP,2014,106854,16534
Saudi Arabia,SAU,2005,3484541,15874019
Senegal,SEN,1990,2075029,864106
Senegal,SEN,1995,2072312,1393093
Senegal,SEN,2000,1949996,2037725
Senegal,SEN,2005,2003235,2623173
Senegal,SEN,2007,2026091,2903572
Senegal,SEN,2009,2044177,3224321
Senegal,SEN,2014,2486926,3825068
Sierra Leone,SLE,2005,2022011,62536
Sierra Leone,SLE,2014,2118154,683637
Somalia,SOM,2005,2689889,969824
Somalia,SOM,2007,2922674,1048351
Somalia,SOM,2009,3173067,1138166
Somalia,SOM,2014,3886565,1394094
South Africa,ZAF,1990,8845557,10300671
South Africa,ZAF,1995,8961009,13610803
South Africa,ZAF,2000,8480034,17062236
South Africa,ZAF,2005,8134472,20208635
South Africa,ZAF,2007,6815229,22816202
South Africa,ZAF,2009,7130300,23871003
South Africa,ZAF,2014,8007512,26807756
South Asia,,1990,160517627,122954919
South Asia,,1995,169578081,160057568
South Asia,,2000,173088540,206356993
South Asia,,2005,175206258,264687842
South Asia,,2007,173744435,291809958
South Asia,,2009,171248566,320592207
South Asia,,2014,171792629,389528324
South Asia (IDA & IBRD),,1990,160517627,122954919
South Asia (IDA & IBRD),,1995,169578081,160057568
South Asia (IDA & IBRD),,2000,173088540,206356993
South Asia (IDA & IBRD),,2005,175206258,264687842
South Asia (IDA & IBRD),,2007,173744435,291809958
South Asia (IDA & IBRD),,2009,171248566,320592207
South Asia (IDA & IBRD),,2014,171792629,389528324
South Sudan,SSD,2014,2049399,94324
Sri Lanka,LKA,1990,786334,2384367
Sub-Saharan Africa,,1990,92981896,45472719
Sub-Saharan Africa,,1995,109300497,61532458
Sub-Saharan Africa,,2000,126521366,79685012
Sub-Saharan Africa,,2005,153188252,98212833
Sub-Saharan Africa,,2007,159188041,113562562
Sub-Saharan Africa,,2009,169061613,127334774
Sub-Saharan Africa,,2014,201445485,163060702
Sub-Saharan Africa (IDA & IBRD),,1990,92981896,45472719
Sub-Saharan Africa (IDA & IBRD),,1995,109300497,61532458
Sub-Saharan Africa (IDA & IBRD),,2000,126521366,79685012
Sub-Saharan Africa (IDA & IBRD),,2005,153188252,98212833
Sub-Saharan Africa (IDA & IBRD),,2007,159188041,113562562
Sub-Saharan Africa (IDA & IBRD),,2009,169061613,127334774
Sub-Saharan Africa (IDA & IBRD),,2014,201445485,163060702
Sub-Saharan Africa (excluding high income),,1990,92958903,45461474
Sub-Saharan Africa (excluding high income),,1995,109276638,61519026
Sub-Saharan Africa (excluding high income),,2000,126496416,79669299
Sub-Saharan Africa (excluding high income),,2005,153162475,98196307
Sub-Saharan Africa (excluding high income),,2007,159162471,113544321
Sub-Saharan Africa (excluding high income),,2009,169035699,127315257
Sub-Saharan Africa (excluding high income),,2014,201418443,163038813
Sudan,SDN,2014,11622774,1065844
Suriname,SUR,2005,12976,319731
Suriname,SUR,2014,26433,335665
Swaziland,SWZ,2014,90268,185782
Syria,SYR,2005,1033136,8806255
Syria,SYR,2007,2408754,8296819
Syria,SYR,2014,2121983,8872746
Tanzania,TZA,1990,3721231,1086561
Tanzania,TZA,1995,4536119,1618723
Tanzania,TZA,2000,5344970,2279809
Tanzania,TZA,2005,6501589,3289961
Tanzania,TZA,2007,7118081,3832813
Tanzania,TZA,2009,7782190,4473228
Tanzania,TZA,2014,8183536,7957561
Thailand,THA,2005,6382385,18165251
Thailand,THA,2007,7034979,19512110
Thailand,THA,2009,7718756,20869229
Thailand,THA,2014,8410816,25232447
Togo,TGO,2005,1241788,757870
Togo,TGO,2014,1460828,1392352
Trinidad and Tobago,TTO,2005,31720,96702
Tunisia,TUN,2014,594149,6832708
Turkey,TUR,1990,7470044,24453219
Turkey,TUR,1995,7521033,28812461
Turkey,TUR,2000,7328669,33613618
Turkey,TUR,2005,7134180,38892786
Turkey,TUR,2007,6768666,41236059
Turkey,TUR,2009,6504942,43533076
Turkey,TUR,2014,6681659,49466736
Uganda,UGA,1990,1448650,482883
Uganda,UGA,1995,1797585,599195
Uganda,UGA,2000,2178319,726106
Uganda,UGA,2005,2480947,1238614
Uganda,UGA,2007,2637634,1522672
Uganda,UGA,2009,2794652,1855352
Uganda,UGA,2014,3281641,2840823
Upper middle income,,1990,336992779,544007102
Upper middle income,,1995,359139184,653389869
Upper middle income,,2000,376066985,774400025
Upper middle income,,2005,384495379,923694104
Upper middle income,,2007,381739979,991212139
Upper middle income,,2009,392743297,1046598233
Upper middle income,,2014,371440043,1239556189
Venezuela,VEN,2005,7590674,16130183
Vietnam,VNM,1990,8089868,5281815
Vietnam,VNM,1995,8721609,7252033
Vietnam,VNM,2000,9233817,9687939
Vietnam,VNM,2005,9283162,13194227
Vietnam,VNM,2007,9194161,14811480
Vietnam,VNM,2009,9010961,16588359
Vietnam,VNM,2014,8131734,21764346
Yemen,YEM,2005,4002349,1953527
Yemen,YEM,2007,5018586,1516031
Yemen,YEM,2014,5429950,3500888
Zambia,ZMB,1990,1803081,1360219
Zambia,ZMB,1995,1935816,1454405
Zambia,ZMB,2000,2096423,1568653
Zambia,ZMB,2005,2523970,1888565
Zambia,ZMB,2007,2730994,2035138
Zambia,ZMB,2009,2953055,2200618
Zambia,ZMB,2014,3413945,2908176
Zimbabwe,ZWE,1990,118075,2833806
Zimbabwe,ZWE,1995,132910,3459262
Zimbabwe,ZWE,2000,136158,3989829
Zimbabwe,ZWE,2005,790078,3623767
Zimbabwe,ZWE,2007,944561,3553350
Zimbabwe,ZWE,2009,1110938,3498764
Zimbabwe,ZWE,2014,1257246,3751702
