Entity,Code,Year,Literacy rate (%)
Haiti,HTI,2006,48.7
Honduras,HND,2011,85.1
Hong Kong,HKG,2002,93.5
Hungary,HUN,2011,99
Iceland,ISL,2003,99
India,IND,2006,62.8
Indonesia,IDN,2011,92.8
Iran,IRN,2008,85
Iraq,IRQ,2011,78.5
Ireland,IRL,2003,99
Israel,ISR,2004,97.1
Italy,ITA,2011,99
Jamaica,JAM,2011,87
Japan,JPN,2002,99
Jordan,JOR,2011,95.9
Kazakhstan,KAZ,2009,99.7
Kenya,KEN,2010,87.4
Kosovo,OWID_KOS,2007,91.9
Kuwait,KWT,2008,93.9
Kyrgyzstan,KGZ,2009,99.2
Laos,LAO,2005,72.7
Latvia,LVA,2011,99.8
Lebanon,LBN,2007,89.6
Lesotho,LSO,2010,89.6
Liberia,LBR,2010,60.8
Libya,LBY,2011,89.5
Liechtenstein,LIE,2011,100
Lithuania,LTU,2011,99.7
Luxembourg,LUX,2000,100
Macao,MAC,2011,95.6
Macedonia,MKD,2011,97.4
Madagascar,MDG,2009,64.5
Malawi,MWI,2010,74.8
Malaysia,MYS,2010,93.1
Maldives,MDV,2006,98.4
Mali,MLI,2011,33.4
Malta,MLT,2005,92.4
Marshall Islands,MHL,1999,93.7
Mauritania,MRT,2011,58.6
Mauritius,MUS,2011,88.8
Mexico,MEX,2011,93.5
Micronesia (country),FSM,1980,89
Moldova,MDA,2011,99
Monaco,MCO,2003,99
Mongolia,MNG,2011,97.4
Montenegro,MNE,2011,98.5
Montserrat,MSR,1970,97
Morocco,MAR,2011,67.1
Mozambique,MOZ,2010,56.1
Myanmar,MMR,2011,92.7
Namibia,NAM,2010,88.8
Nepal,NPL,2011,57.4
Netherlands,NLD,2003,99
New Caledonia,NCL,1996,96.2
New Zealand,NZL,2003,99
Nicaragua,NIC,2005,78
Niger,NER,2005,28.7
Nigeria,NGA,2010,61.3
Niue,NIU,2011,95
North Korea,PRK,2008,100
Northern Mariana Islands,MNP,1980,97
Norway,NOR,2011,100
Oman,OMN,2010,86.9
Pakistan,PAK,2009,54.9
Palau,PLW,1980,92
Panama,PAN,2010,94.1
Papua New Guinea,PNG,2011,62.4
Paraguay,PRY,2010,93.9
Peru,PER,2007,89.6
Philippines,PHL,2008,95.4
Poland,POL,2011,99.7
Portugal,PRT,2011,95.4
Puerto Rico,PRI,2011,90.3
Qatar,QAT,2010,96.3
Romania,ROU,2011,97.7
Russia,RUS,2010,99.7
Rwanda,RWA,2010,71.1
Saint Helena,SHN,1987,97
Saint Kitts and Nevis,KNA,2003,97.8
Saint Lucia,LCA,2001,90.1
Saint Pierre and Miquelon,SPM,1982,99
Saint Vincent and the Grenadines,VCT,1970,96
Samoa,WSM,2003,98.8
San Marino,SMR,2011,96
Sao Tome and Principe,STP,2008,69.5
Saudi Arabia,SAU,2011,87.2
Senegal,SEN,2009,49.7
Serbia,SRB,2011,98
Seychelles,SYC,2011,91.8
Sierra Leone,SLE,2011,43.3
Singapore,SGP,2010,95.9
Slovakia,SVK,2004,99.6
Slovenia,SVN,2011,99.7
Solomon Islands,SLB,2011,84.1
Somalia,SOM,2001,37.8
South Africa,ZAF,2011,93
South Korea,KOR,2002,97.9
South Sudan,SSD,2009,27
Spain,ESP,2010,97.7
Sri Lanka,LKA,2010,91.2
Sudan,SDN,2011,71.9
Suriname,SUR,2010,94.7
Swaziland,SWZ,2011,87.8
Sweden,SWE,2003,99
Switzerland,CHE,2003,99
Syria,SYR,2011,84.1
Taiwan,TWN,2003,96.1
Tajikistan,TJK,2011,99.7
Tanzania,TZA,2010,67.8
Thailand,THA,2005,93.5
Timor,TLS,2010,58.3
Togo,TGO,2011,60.4
Tonga,TON,2006,99
Trinidad and Tobago,TTO,2011,98.8
Tunisia,TUN,2010,79.1
Turkey,TUR,2011,94.1
Turkmenistan,TKM,2011,99.6
Turks and Caicos Islands,TCA,1970,98
Uganda,UGA,2010,73.2
Ukraine,UKR,2011,99.7
United Arab Emirates,ARE,2005,90
United Kingdom,GBR,2003,99
United States,USA,2003,99
Uruguay,URY,2010,98.1
Uzbekistan,UZB,2011,99.4
Vanuatu,VUT,2011,83.2
Vatican,VAT,2011,100
Venezuela,VEN,2009,95.5
Vietnam,VNM,2011,93.4
Wallis and Futuna,WLF,1969,50
Yemen,YEM,2011,65.3
Zambia,ZMB,2007,61.4
Zimbabwe,ZWE,2011,83.6
