Entity,Code,Year,Urban population living in slums (urban population living in slums)
East Asia & Pacific,,1990,282690290
East Asia & Pacific,,1995,300585278
East Asia & Pacific,,2000,316146031
East Asia & Pacific,,2005,325185661
East Asia & Pacific,,2007,318472320
East Asia & Pacific,,2009,318659509
East Asia & Pacific,,2014,322343897
East Asia & Pacific (IDA & IBRD),,1990,202307339
East Asia & Pacific (IDA & IBRD),,1995,226836762
East Asia & Pacific (IDA & IBRD),,2000,246880448
East Asia & Pacific (IDA & IBRD),,2005,259847780
East Asia & Pacific (IDA & IBRD),,2007,256727835
East Asia & Pacific (IDA & IBRD),,2009,258950903
East Asia & Pacific (IDA & IBRD),,2014,267026813
East Asia & Pacific (excluding high income),,1990,210687750
East Asia & Pacific (excluding high income),,1995,232273144
East Asia & Pacific (excluding high income),,2000,252059536
East Asia & Pacific (excluding high income),,2005,264595765
East Asia & Pacific (excluding high income),,2007,261179306
East Asia & Pacific (excluding high income),,2009,263218253
East Asia & Pacific (excluding high income),,2014,270967563
Ecuador,ECU,2005,1822372
Ecuador,ECU,2014,3636368
Egypt,EGY,1990,12530765
Egypt,EGY,1995,10693241
Egypt,EGY,2000,8406864
Egypt,EGY,2005,5649042
Egypt,EGY,2007,4933880
Egypt,EGY,2009,4649468
Egypt,EGY,2014,4191532
El Salvador,SLV,2005,1074136
Equatorial Guinea,GNQ,2005,195096
Equatorial Guinea,GNQ,2014,297247
Eritrea,ERI,1990,343840
Ethiopia,ETH,1990,5795894
Ethiopia,ETH,1995,7567646
Ethiopia,ETH,2000,8689536
Ethiopia,ETH,2005,9853752
Ethiopia,ETH,2007,10325735
Ethiopia,ETH,2009,11035130
Ethiopia,ETH,2014,13691416
Fragile and conflict affected situations,,2005,83137361
Fragile and conflict affected situations,,2014,117959664
Gabon,GAB,2005,452984
Gabon,GAB,2014,603237
Gambia,GMB,2005,343190
Gambia,GMB,2007,289214
Gambia,GMB,2014,393873
Ghana,GHA,1990,3491598
Ghana,GHA,1995,3955859
Ghana,GHA,2000,4334516
Ghana,GHA,2005,4626757
Ghana,GHA,2007,4728529
Ghana,GHA,2009,4795690
Ghana,GHA,2014,5456028
Grenada,GRD,2005,2219
Guatemala,GTM,1990,2232075
Guatemala,GTM,1995,2391624
Guatemala,GTM,2000,2528921
Guatemala,GTM,2005,2650215
Guatemala,GTM,2007,2684126
Guatemala,GTM,2009,2708356
Guatemala,GTM,2014,2808068
Guinea,GIN,1990,1361234
Guinea,GIN,1995,1596179
Guinea,GIN,2000,1565520
Guinea,GIN,2005,1451265
Guinea,GIN,2007,1550188
Guinea,GIN,2014,1875003
Guinea-Bissau,GNB,2005,468939
Guinea-Bissau,GNB,2014,689550
Guyana,GUY,2005,71621
Guyana,GUY,2007,70729
Guyana,GUY,2009,69867
Guyana,GUY,2014,71911
Haiti,HTI,1990,1890541
Haiti,HTI,1995,2380276
Haiti,HTI,2000,2842643
Haiti,HTI,2005,2862659
Haiti,HTI,2007,3174836
Haiti,HTI,2009,3489554
Haiti,HTI,2014,4517867
Heavily indebted poor countries (HIPC),,1990,67085892
Heavily indebted poor countries (HIPC),,1995,80257416
Heavily indebted poor countries (HIPC),,2000,92026136
Heavily indebted poor countries (HIPC),,2005,107775365
Heavily indebted poor countries (HIPC),,2007,113826328
Heavily indebted poor countries (HIPC),,2009,121803960
Heavily indebted poor countries (HIPC),,2014,149451647
Honduras,HND,2005,1248475
Honduras,HND,2014,1311487
IBRD only,,1990,582230339
IBRD only,,1995,606931894
IBRD only,,2000,615672174
IBRD only,,2005,599662749
IBRD only,,2007,593593614
IBRD only,,2009,599849717
IBRD only,,2014,566307344
IDA & IBRD total,,1990,727616364
IDA & IBRD total,,1995,778639469
IDA & IBRD total,,2000,809228431
IDA & IBRD total,,2005,830329055
IDA & IBRD total,,2007,838244731
IDA & IBRD total,,2009,859123740
IDA & IBRD total,,2014,876655673
IDA blend,,1990,51532614
IDA blend,,1995,59285210
IDA blend,,2000,67746541
IDA blend,,2005,79262238
IDA blend,,2007,84237695
IDA blend,,2009,89596968
IDA blend,,2014,95489657
IDA only,,2005,147726731
IDA only,,2007,159193816
IDA only,,2009,172849386
IDA only,,2014,195506799
IDA total,,1990,150395548
IDA total,,1995,176383230
IDA total,,2000,200575642
IDA total,,2005,226766540
IDA total,,2007,241935248
IDA total,,2009,259178150
IDA total,,2014,291691020
India,IND,1990,122038857
India,IND,1995,123177827
India,IND,2000,120909252
India,IND,2005,116400117
India,IND,2007,113247346
India,IND,2009,109194189
India,IND,2014,100504920
Indonesia,IDN,1990,28189244
Indonesia,IDN,1995,30269223
Indonesia,IDN,2000,30564817
Indonesia,IDN,2005,27390142
Indonesia,IDN,2007,25469068
Indonesia,IDN,2009,27041932
Indonesia,IDN,2014,29479518
Iran,IRN,1990,16437877
Iran,IRN,2005,14415397
Iraq,IRQ,1990,2057904
Iraq,IRQ,1995,2348987
Iraq,IRQ,2000,2727891
Iraq,IRQ,2005,9806340
Iraq,IRQ,2007,10324165
Iraq,IRQ,2009,10888063
Iraq,IRQ,2014,11460428
Jamaica,JAM,2005,876941
Jordan,JOR,2005,732890
Jordan,JOR,2007,895635
Jordan,JOR,2009,1099231
Jordan,JOR,2014,948292
Kenya,KEN,1990,2151779
Kenya,KEN,1995,2736867
Kenya,KEN,2000,3428359
Kenya,KEN,2005,4281779
Kenya,KEN,2007,4679296
Kenya,KEN,2009,5102520
Kenya,KEN,2014,6494169
Laos,LAO,2005,1249608
Laos,LAO,2014,775424
Late-demographic dividend,,1990,303165734
Late-demographic dividend,,1995,318030756
Late-demographic dividend,,2000,330454016
Late-demographic dividend,,2005,328952805
Late-demographic dividend,,2007,331575756
Late-demographic dividend,,2009,328478455
Late-demographic dividend,,2014,315690483
Latin America & Caribbean,,1990,111147720
Latin America & Caribbean,,1995,116478436
Latin America & Caribbean,,2000,119357749
Latin America & Caribbean,,2005,109697214
Latin America & Caribbean,,2007,110427631
Latin America & Caribbean,,2014,101692168
Latin America & Caribbean (IDA & IBRD),,1990,107025207
Latin America & Caribbean (IDA & IBRD),,1995,112474823
Latin America & Caribbean (IDA & IBRD),,2000,115521309
Latin America & Caribbean (IDA & IBRD),,2005,106405339
Latin America & Caribbean (IDA & IBRD),,2007,107217388
Latin America & Caribbean (IDA & IBRD),,2014,99041770
Latin America & Caribbean (excluding high income),,1990,104844293
Latin America & Caribbean (excluding high income),,1995,110152652
Latin America & Caribbean (excluding high income),,2000,113111451
Latin America & Caribbean (excluding high income),,2005,106545181
Latin America & Caribbean (excluding high income),,2007,104945025
Latin America & Caribbean (excluding high income),,2014,96923706
Least developed countries: UN classification,,2005,139772500
Least developed countries: UN classification,,2007,149149412
Least developed countries: UN classification,,2009,155189419
Least developed countries: UN classification,,2014,181720870
Lebanon,LBN,2005,1832999
Lesotho,LSO,2005,152248
Lesotho,LSO,2007,205010
Lesotho,LSO,2009,263044
Lesotho,LSO,2014,292016
Liberia,LBR,2009,1235019
Liberia,LBR,2014,1422395
Libya,LBY,1990,1182570
Low & middle income,,1990,722003300
Low & middle income,,1995,770486213
Low & middle income,,2000,801977046
Low & middle income,,2005,828259001
Low & middle income,,2007,832141617
Low & middle income,,2009,853196709
Low & middle income,,2014,871478191
Low income,,1990,55092575
Low income,,1995,67232553
Low income,,2000,77044337
Low income,,2005,91704864
Low income,,2007,95516416
Low income,,2009,102011524
Low income,,2014,123568416
Lower middle income,,1990,325837744
Lower middle income,,1995,342480841
Lower middle income,,2000,349750731
Lower middle income,,2005,351066151
Lower middle income,,2007,350153894
Lower middle income,,2009,350538866
Lower middle income,,2014,363276954
Madagascar,MDG,1990,2542001
Madagascar,MDG,1995,3079837
Madagascar,MDG,2000,3596213
Madagascar,MDG,2005,4258536
Madagascar,MDG,2007,4553962
Madagascar,MDG,2009,4905545
Madagascar,MDG,2014,6277080
Malawi,MWI,1990,724411
Malawi,MWI,1995,872657
Malawi,MWI,2000,1103607
Malawi,MWI,2005,1303431
Malawi,MWI,2007,1427571
Malawi,MWI,2009,1564045
Malawi,MWI,2014,1833199
Mali,MLI,1990,1859744
Mali,MLI,1995,2078414
Mali,MLI,2000,2344938
Mali,MLI,2005,2704063
Mali,MLI,2007,3029189
Mali,MLI,2009,3388263
Mali,MLI,2014,3738189
Mauritania,MRT,2014,1924053
Mexico,MEX,1990,14082162
Mexico,MEX,1995,14834862
Mexico,MEX,2000,15125388
Mexico,MEX,2005,11919310
Mexico,MEX,2007,12388014
Mexico,MEX,2014,10888993
Middle East & North Africa,,1990,55393681
Middle East & North Africa,,2005,57111893
Middle East & North Africa (IDA & IBRD),,1990,45631175
Middle East & North Africa (IDA & IBRD),,2005,49001613
Middle East & North Africa (excluding high income),,1990,46156289
Middle East & North Africa (excluding high income),,2005,49689641
Middle income,,1990,669647295
Middle income,,1995,711449292
Middle income,,2000,734568788
Middle income,,2005,740009797
Middle income,,2007,739200776
Middle income,,2009,753433244
Middle income,,2014,744366209
Mongolia,MNG,1990,853293
Mongolia,MNG,1995,870702
Mongolia,MNG,2000,888953
Mongolia,MNG,2005,914170
Mongolia,MNG,2007,968833
Mongolia,MNG,2014,889209
Morocco,MAR,1990,4502684
Morocco,MAR,1995,4926497
Morocco,MAR,2000,3723641
Morocco,MAR,2005,2204081
Morocco,MAR,2007,2296989
Morocco,MAR,2009,2396019
Morocco,MAR,2014,2683869
Mozambique,MOZ,1990,2503805
Mozambique,MOZ,1995,3332056
Mozambique,MOZ,2000,4111237
Mozambique,MOZ,2005,4989986
Mozambique,MOZ,2007,5389826
Mozambique,MOZ,2009,5822141
Mozambique,MOZ,2014,6978072
Myanmar,MMR,2005,6395865
Myanmar,MMR,2014,7142644
Namibia,NAM,1990,134589
Namibia,NAM,1995,168288
Namibia,NAM,2000,208433
Namibia,NAM,2005,252363
Namibia,NAM,2007,269743
Namibia,NAM,2009,290666
Namibia,NAM,2014,359563
Nepal,NPL,1990,1172011
Nepal,NPL,1995,1568855
Nepal,NPL,2000,2040731
Nepal,NPL,2005,2363030
Nepal,NPL,2007,2463742
Nepal,NPL,2009,2560895
Nepal,NPL,2014,2805686
Nicaragua,NIC,1990,1932705
Nicaragua,NIC,1995,1839487
Nicaragua,NIC,2000,1650910
Nicaragua,NIC,2005,1369013
Nicaragua,NIC,2007,1418013
Niger,NER,1990,1029464
Niger,NER,1995,1242229
Niger,NER,2000,1517851
Niger,NER,2005,1869421
Niger,NER,2007,2044435
Niger,NER,2009,2243681
Niger,NER,2014,2479076
Nigeria,NGA,1990,21857450
Nigeria,NGA,1995,25567043
Nigeria,NGA,2000,29668698
Nigeria,NGA,2005,35722301
Nigeria,NGA,2007,38369750
Nigeria,NGA,2009,41229514
Nigeria,NGA,2014,41582713
North Korea,PRK,1990,8115809
Oman,OMN,1990,724714
Pakistan,PAK,1990,16791145
Pakistan,PAK,1995,19473736
Pakistan,PAK,2000,22366641
Pakistan,PAK,2005,25390093
Pakistan,PAK,2007,26707850
Pakistan,PAK,2009,28180706
Pakistan,PAK,2014,32336751
Panama,PAN,2005,487709
Panama,PAN,2014,667712
Paraguay,PRY,2005,584974
Peru,PER,1990,9985754
Peru,PER,1995,9602382
Peru,PER,2000,8745081
Peru,PER,2005,7478907
Peru,PER,2007,7742271
Peru,PER,2014,8292642
Philippines,PHL,1990,16344417
Philippines,PHL,1995,17131623
Philippines,PHL,2000,17653205
Philippines,PHL,2005,17570189
Philippines,PHL,2007,17398523
Philippines,PHL,2009,17170897
Philippines,PHL,2014,17056326
Pre-demographic dividend,,1990,75664241
Pre-demographic dividend,,1995,90382754
Pre-demographic dividend,,2000,107290622
Pre-demographic dividend,,2005,140818879
Pre-demographic dividend,,2007,148049462
Pre-demographic dividend,,2009,157624269
Pre-demographic dividend,,2014,185847383
Rwanda,RWA,1990,376215
Rwanda,RWA,1995,512584
Rwanda,RWA,2000,954739
Rwanda,RWA,2005,1241391
Rwanda,RWA,2007,1360526
Rwanda,RWA,2009,1493143
Rwanda,RWA,2014,1680408
Saint Lucia,LCA,2005,4497
Sao Tome and Principe,STP,2014,106854
Saudi Arabia,SAU,2005,3484541
Senegal,SEN,1990,2075029
Senegal,SEN,1995,2072312
Senegal,SEN,2000,1949996
Senegal,SEN,2005,2003235
Senegal,SEN,2007,2026091
Senegal,SEN,2009,2044177
Senegal,SEN,2014,2486926
Sierra Leone,SLE,2005,2022011
Sierra Leone,SLE,2014,2118154
Somalia,SOM,2005,2689889
Somalia,SOM,2007,2922674
Somalia,SOM,2009,3173067
Somalia,SOM,2014,3886565
South Africa,ZAF,1990,8845557
South Africa,ZAF,1995,8961009
South Africa,ZAF,2000,8480034
South Africa,ZAF,2005,8134472
South Africa,ZAF,2007,6815229
South Africa,ZAF,2009,7130300
South Africa,ZAF,2014,8007512
South Asia,,1990,160517627
South Asia,,1995,169578081
South Asia,,2000,173088540
South Asia,,2005,175206258
South Asia,,2007,173744435
South Asia,,2009,171248566
South Asia,,2014,171792629
South Asia (IDA & IBRD),,1990,160517627
South Asia (IDA & IBRD),,1995,169578081
South Asia (IDA & IBRD),,2000,173088540
South Asia (IDA & IBRD),,2005,175206258
South Asia (IDA & IBRD),,2007,173744435
South Asia (IDA & IBRD),,2009,171248566
South Asia (IDA & IBRD),,2014,171792629
South Sudan,SSD,2014,2049399
Sri Lanka,LKA,1990,786334
Sub-Saharan Africa,,1990,92981896
Sub-Saharan Africa,,1995,109300497
Sub-Saharan Africa,,2000,126521366
Sub-Saharan Africa,,2005,153188252
Sub-Saharan Africa,,2007,159188041
Sub-Saharan Africa,,2009,169061613
Sub-Saharan Africa,,2014,201445485
Sub-Saharan Africa (IDA & IBRD),,1990,92981896
Sub-Saharan Africa (IDA & IBRD),,1995,109300497
Sub-Saharan Africa (IDA & IBRD),,2000,126521366
Sub-Saharan Africa (IDA & IBRD),,2005,153188252
Sub-Saharan Africa (IDA & IBRD),,2007,159188041
Sub-Saharan Africa (IDA & IBRD),,2009,169061613
Sub-Saharan Africa (IDA & IBRD),,2014,201445485
Sub-Saharan Africa (excluding high income),,1990,92958903
Sub-Saharan Africa (excluding high income),,1995,109276638
Sub-Saharan Africa (excluding high income),,2000,126496416
Sub-Saharan Africa (excluding high income),,2005,153162475
Sub-Saharan Africa (excluding high income),,2007,159162471
Sub-Saharan Africa (excluding high income),,2009,169035699
Sub-Saharan Africa (excluding high income),,2014,201418443
Sudan,SDN,2014,11622774
Suriname,SUR,2005,12976
Suriname,SUR,2014,26433
Swaziland,SWZ,2014,90268
Syria,SYR,2005,1033136
Syria,SYR,2007,2408754
Syria,SYR,2014,2121983
Tanzania,TZA,1990,3721231
Tanzania,TZA,1995,4536119
Tanzania,TZA,2000,5344970
Tanzania,TZA,2005,6501589
Tanzania,TZA,2007,7118081
Tanzania,TZA,2009,7782190
Tanzania,TZA,2014,8183536
Thailand,THA,2005,6382385
Thailand,THA,2007,7034979
Thailand,THA,2009,7718756
Thailand,THA,2014,8410816
Togo,TGO,2005,1241788
Togo,TGO,2014,1460828
Trinidad and Tobago,TTO,2005,31720
Tunisia,TUN,2014,594149
Turkey,TUR,1990,7470044
Turkey,TUR,1995,7521033
Turkey,TUR,2000,7328669
Turkey,TUR,2005,7134180
Turkey,TUR,2007,6768666
Turkey,TUR,2009,6504942
Turkey,TUR,2014,6681659
Uganda,UGA,1990,1448650
Uganda,UGA,1995,1797585
Uganda,UGA,2000,2178319
Uganda,UGA,2005,2480947
Uganda,UGA,2007,2637634
Uganda,UGA,2009,2794652
Uganda,UGA,2014,3281641
Upper middle income,,1990,336992779
Upper middle income,,1995,359139184
Upper middle income,,2000,376066985
Upper middle income,,2005,384495379
Upper middle income,,2007,381739979
Upper middle income,,2009,392743297
Upper middle income,,2014,371440043
Venezuela,VEN,2005,7590674
Vietnam,VNM,1990,8089868
Vietnam,VNM,1995,8721609
Vietnam,VNM,2000,9233817
Vietnam,VNM,2005,9283162
Vietnam,VNM,2007,9194161
Vietnam,VNM,2009,9010961
Vietnam,VNM,2014,8131734
Yemen,YEM,2005,4002349
Yemen,YEM,2007,5018586
Yemen,YEM,2014,5429950
Zambia,ZMB,1990,1803081
Zambia,ZMB,1995,1935816
Zambia,ZMB,2000,2096423
Zambia,ZMB,2005,2523970
Zambia,ZMB,2007,2730994
Zambia,ZMB,2009,2953055
Zambia,ZMB,2014,3413945
Zimbabwe,ZWE,1990,118075
Zimbabwe,ZWE,1995,132910
Zimbabwe,ZWE,2000,136158
Zimbabwe,ZWE,2005,790078
Zimbabwe,ZWE,2007,944561
Zimbabwe,ZWE,2009,1110938
Zimbabwe,ZWE,2014,1257246
