Entity,Code,Year,Percentage of graduates from Science and Technology programmes in tertiary education who are female (%) (%)
Belgium,BEL,2009,27.1506404876709
Belgium,BEL,2010,23.9946899414063
Belgium,BEL,2011,24.6724090576172
Belgium,BEL,2012,24.2000293731689
Belgium,BEL,2013,24.5463409423828
Benin,BEN,1999,20.0483093261719
Benin,BEN,2009,19.150520324707
Benin,BEN,2010,17.521369934082
Benin,BEN,2011,19.1690292358398
Bermuda,BMU,2001,26.6666698455811
Bermuda,BMU,2005,38.8888893127441
Bermuda,BMU,2007,18.9189205169678
Bermuda,BMU,2009,24.2424201965332
Bermuda,BMU,2010,38.0952415466309
Bermuda,BMU,2011,39.130428314209
Bermuda,BMU,2012,25.7142906188965
Bermuda,BMU,2014,100
Bhutan,BTN,2013,24.9427890777588
Bosnia and Herzegovina,BIH,2013,41.5702209472656
Bosnia and Herzegovina,BIH,2014,42.0876388549805
Brazil,BRA,2001,37.9359817504883
Brazil,BRA,2002,37.3928489685059
Brazil,BRA,2003,37.1201286315918
Brazil,BRA,2004,36.3881912231445
Brazil,BRA,2005,35.2989692687988
Brazil,BRA,2007,32.6852798461914
Brazil,BRA,2008,33.5338897705078
Brazil,BRA,2009,31.5901203155518
Brazil,BRA,2010,29.2876605987549
Brazil,BRA,2011,30.4491291046143
Brazil,BRA,2012,31.0992794036865
Brazil,BRA,2014,33.8319702148438
Brunei,BRN,1999,52.307689666748
Brunei,BRN,2000,48.8372116088867
Brunei,BRN,2001,42.7480888366699
Brunei,BRN,2003,48.4375
Brunei,BRN,2004,42.4050598144531
Brunei,BRN,2005,44.1988983154297
Brunei,BRN,2006,62.3376617431641
Brunei,BRN,2007,39.130428314209
Brunei,BRN,2008,49.1379318237305
Brunei,BRN,2009,50.3936996459961
Brunei,BRN,2010,41.6893692016602
Brunei,BRN,2011,50.531909942627
Brunei,BRN,2012,49.4350318908691
Brunei,BRN,2013,52.6698989868164
Brunei,BRN,2014,50.8440895080566
Bulgaria,BGR,1999,46.0100402832031
Bulgaria,BGR,2000,45.629020690918
Bulgaria,BGR,2001,40.1338195800781
Bulgaria,BGR,2002,39.6680107116699
Bulgaria,BGR,2003,42.1267318725586
Bulgaria,BGR,2004,41.6761589050293
Bulgaria,BGR,2005,41.1359214782715
Bulgaria,BGR,2007,41.2477607727051
Bulgaria,BGR,2008,36.9560813903809
Bulgaria,BGR,2009,37.4010696411133
Bulgaria,BGR,2010,38.815299987793
Bulgaria,BGR,2011,38.7551193237305
Bulgaria,BGR,2012,37.6329116821289
Bulgaria,BGR,2013,38.3217391967773
Bulgaria,BGR,2014,37.1656303405762
Burkina Faso,BFA,2011,15.165340423584
Burkina Faso,BFA,2012,18.7525806427002
Burkina Faso,BFA,2013,19.6825408935547
Burundi,BDI,2004,9.90991020202637
Burundi,BDI,2010,35.2059898376465
Burundi,BDI,2011,19.5548496246338
Burundi,BDI,2012,33.5
Cambodia,KHM,2000,25
Cambodia,KHM,2001,21.6828498840332
Cambodia,KHM,2002,18.1222705841064
Cambodia,KHM,2004,12.0551900863647
Cambodia,KHM,2007,11.3596496582031
Cambodia,KHM,2008,9.63105010986328
Canada,CAN,1998,29.7854804992676
Canada,CAN,1999,30.598840713501
Canada,CAN,2002,31.6026706695557
Cayman Islands,CYM,2006,53.8461494445801
Cayman Islands,CYM,2007,15
Cayman Islands,CYM,2008,32.9113883972168
Chad,TCD,2000,4.08163022994995
Chile,CHL,2003,24.2605304718018
Chile,CHL,2004,24.7856197357178
Chile,CHL,2006,25.7410106658936
Chile,CHL,2007,22.0260105133057
Chile,CHL,2008,22.5232696533203
Chile,CHL,2009,20.7253494262695
Chile,CHL,2010,19.4959392547607
Chile,CHL,2012,19.3281402587891
Chile,CHL,2014,18.2441596984863
Colombia,COL,2002,36.7843704223633
Colombia,COL,2004,38.0091590881348
Colombia,COL,2005,36.7845916748047
Colombia,COL,2006,36.5503196716309
Colombia,COL,2007,37.6684913635254
Colombia,COL,2008,26.6793594360352
Colombia,COL,2009,36.845890045166
Colombia,COL,2011,34.28125
Colombia,COL,2012,33.865291595459
Colombia,COL,2013,33.995719909668
Colombia,COL,2014,33.7118492126465
Comoros,COM,1999,36
Costa Rica,CRI,2001,31.7073192596436
Costa Rica,CRI,2002,29.6483993530273
Costa Rica,CRI,2007,31.2001991271973
Costa Rica,CRI,2010,28.6500091552734
Costa Rica,CRI,2011,31.6096706390381
Costa Rica,CRI,2013,32.1814308166504
Costa Rica,CRI,2014,33.9529495239258
Croatia,HRV,1999,33.9524688720703
Croatia,HRV,2001,38.5379295349121
Croatia,HRV,2002,35.9845085144043
Croatia,HRV,2003,34.783878326416
Croatia,HRV,2005,32.7329902648926
Croatia,HRV,2006,35.2654418945313
Croatia,HRV,2007,34.942081451416
Croatia,HRV,2008,33.1765098571777
Croatia,HRV,2009,34.0414505004883
Croatia,HRV,2010,37.596061706543
Croatia,HRV,2012,34.5582809448242
Cuba,CUB,2012,39.9167213439941
Cuba,CUB,2013,39.1241912841797
Cyprus,CYP,1999,38.7362594604492
Cyprus,CYP,2002,35.3887405395508
Cyprus,CYP,2003,27.6381893157959
Cyprus,CYP,2004,37.1244583129883
Cyprus,CYP,2006,35.9404106140137
Cyprus,CYP,2007,31.5118408203125
Cyprus,CYP,2008,37.4060211181641
Cyprus,CYP,2009,36.9951515197754
Cyprus,CYP,2010,39.2857093811035
Cyprus,CYP,2011,32.9089088439941
Cyprus,CYP,2012,48.6792488098145
Cyprus,CYP,2013,38.5892105102539
Cyprus,CYP,2014,38.0434799194336
Czech Republic,CZE,1999,25.3835105895996
Czech Republic,CZE,2000,26.9501991271973
Czech Republic,CZE,2001,27.1228904724121
Czech Republic,CZE,2002,28.6208305358887
Czech Republic,CZE,2003,29.2689800262451
Czech Republic,CZE,2004,29.370569229126
Czech Republic,CZE,2005,27.3777008056641
Czech Republic,CZE,2006,26.4813003540039
Czech Republic,CZE,2007,29.2765293121338
Czech Republic,CZE,2008,30.0531406402588
Czech Republic,CZE,2009,30.9874496459961
Czech Republic,CZE,2010,29.799430847168
Czech Republic,CZE,2011,32.0368385314941
Czech Republic,CZE,2012,32.3744087219238
Czech Republic,CZE,2013,32.7528991699219
Czech Republic,CZE,2014,32.649959564209
Denmark,DNK,1999,30.5017395019531
Denmark,DNK,2000,31.9773292541504
Denmark,DNK,2001,28.547779083252
Denmark,DNK,2002,28.5205593109131
Denmark,DNK,2003,30.2893695831299
Denmark,DNK,2004,32.2747802734375
Denmark,DNK,2005,33.9302787780762
Denmark,DNK,2006,34.0990791320801
Denmark,DNK,2007,35.9747695922852
Denmark,DNK,2008,36.3796310424805
Denmark,DNK,2009,36.4979286193848
Denmark,DNK,2010,36.6990814208984
Denmark,DNK,2011,37.9235992431641
Denmark,DNK,2012,37.2492408752441
Denmark,DNK,2013,35.3371200561523
Denmark,DNK,2014,36.0171012878418
Dominican Republic,DOM,2012,34.9784812927246
Dominican Republic,DOM,2014,40.1903495788574
Ecuador,ECU,2007,35.1259384155273
Ecuador,ECU,2008,31.8945407867432
Ecuador,ECU,2012,29.6882991790771
Ecuador,ECU,2013,26.1336898803711
Egypt,EGY,2013,33.9986000061035
Egypt,EGY,2014,37.365478515625
El Salvador,SLV,2002,32.9178199768066
El Salvador,SLV,2003,34.7283401489258
El Salvador,SLV,2005,34.3094787597656
El Salvador,SLV,2006,32.5322189331055
El Salvador,SLV,2007,34.3539505004883
El Salvador,SLV,2008,34.214729309082
El Salvador,SLV,2009,31.2005405426025
El Salvador,SLV,2010,31.1737308502197
El Salvador,SLV,2011,29.5648498535156
El Salvador,SLV,2012,28.6112308502197
El Salvador,SLV,2013,28.0952396392822
El Salvador,SLV,2014,24.8164806365967
Eritrea,ERI,1999,9.4117603302002
Eritrea,ERI,2000,8.0882396697998
Eritrea,ERI,2002,3.19148993492126
Eritrea,ERI,2003,8.78787994384766
Eritrea,ERI,2004,7.98319005966187
Eritrea,ERI,2014,20.9062805175781
Estonia,EST,1999,34.0067291259766
Estonia,EST,2000,35.4088516235352
Estonia,EST,2001,33.3575096130371
Estonia,EST,2002,39.9046096801758
Estonia,EST,2003,42.5443801879883
Estonia,EST,2004,40.6231994628906
Estonia,EST,2005,43.5402717590332
Estonia,EST,2006,42.8571395874023
Estonia,EST,2007,38.6721687316895
Estonia,EST,2008,42.0600891113281
Estonia,EST,2009,39.7574081420898
Estonia,EST,2010,39.0046806335449
Estonia,EST,2011,37.7509994506836
Estonia,EST,2012,36.1660118103027
Estonia,EST,2014,38.6014595031738
Ethiopia,ETH,1999,10.9734497070313
Ethiopia,ETH,2000,7.81759023666382
Ethiopia,ETH,2002,11.2429103851318
Ethiopia,ETH,2003,12.0573396682739
Ethiopia,ETH,2004,14.978630065918
Ethiopia,ETH,2005,10.7600498199463
Ethiopia,ETH,2008,16.3780193328857
Ethiopia,ETH,2010,17.3201198577881
Finland,FIN,1998,24.0247592926025
Finland,FIN,1999,25.1197395324707
Finland,FIN,2000,27.3060207366943
Finland,FIN,2001,26.773250579834
Finland,FIN,2002,27.6328907012939
Finland,FIN,2003,30.011100769043
Finland,FIN,2004,29.7076797485352
Finland,FIN,2006,28.4644508361816
Finland,FIN,2007,28.9295997619629
Finland,FIN,2009,29.0567207336426
Finland,FIN,2010,27.590669631958
Finland,FIN,2011,28.8076190948486
Finland,FIN,2012,27.820520401001
Finland,FIN,2013,27.0474491119385
Finland,FIN,2014,26.9403305053711
France,FRA,1999,31.1902198791504
France,FRA,2000,30.2993297576904
France,FRA,2002,29.6581497192383
France,FRA,2003,30.2698802947998
France,FRA,2004,28.3531894683838
France,FRA,2005,27.9362697601318
France,FRA,2006,28.129789352417
France,FRA,2007,28.2219009399414
France,FRA,2008,28.5403995513916
France,FRA,2009,29.0918502807617
France,FRA,2012,29.8428497314453
France,FRA,2013,30.314769744873
France,FRA,2014,30.3479499816895
Gambia,GMB,2004,8.51064014434814
Gambia,GMB,2011,49.7887306213379
Gambia,GMB,2012,45.6571197509766
Georgia,GEO,1999,39.8621482849121
Georgia,GEO,2000,42.3467292785645
Georgia,GEO,2001,41.2443389892578
Georgia,GEO,2002,38.7188911437988
Georgia,GEO,2003,39.8253707885742
Georgia,GEO,2004,37.8530082702637
Georgia,GEO,2006,38.2270088195801
Georgia,GEO,2007,34.5595016479492
Georgia,GEO,2010,40.4915885925293
Georgia,GEO,2012,42.1109313964844
Georgia,GEO,2013,38.3323707580566
Georgia,GEO,2014,42.735538482666
Germany,DEU,1999,20.8736095428467
Germany,DEU,2000,21.6090908050537
Germany,DEU,2001,22.3305492401123
Germany,DEU,2002,23.0384101867676
Germany,DEU,2014,27.199649810791
Ghana,GHA,2012,17.0597991943359
Ghana,GHA,2013,23.4274005889893
Ghana,GHA,2014,22.2365608215332
Greece,GRC,2004,40.475830078125
Greece,GRC,2005,40.9004592895508
Greece,GRC,2007,44.1940689086914
Greece,GRC,2008,41.8839416503906
Greece,GRC,2010,39.5213890075684
Greece,GRC,2011,38.877269744873
Greece,GRC,2012,37.9845390319824
Guatemala,GTM,2002,31.9148902893066
Guatemala,GTM,2007,33.7917518615723
Guyana,GUY,2004,30.2520999908447
Guyana,GUY,2005,26.3374500274658
Guyana,GUY,2006,33.6538505554199
Guyana,GUY,2007,35.1111106872559
Guyana,GUY,2008,28.8990802764893
Guyana,GUY,2009,29.6650695800781
Guyana,GUY,2010,24.5762691497803
Guyana,GUY,2011,22.4576301574707
Guyana,GUY,2012,25.1012096405029
Honduras,HND,2003,47.9700889587402
Honduras,HND,2012,39.183349609375
Honduras,HND,2013,37.1172485351563
Honduras,HND,2014,39.6691207885742
Hong Kong,HKG,2003,25.475959777832
Hong Kong,HKG,2004,25.6784000396729
Hong Kong,HKG,2005,25.5340690612793
Hong Kong,HKG,2006,25.2422409057617
Hungary,HUN,1999,24.574390411377
Hungary,HUN,2000,22.6420307159424
Hungary,HUN,2001,28.9649295806885
Hungary,HUN,2002,27.8343906402588
Hungary,HUN,2003,26.8957500457764
Hungary,HUN,2004,28.3598899841309
Hungary,HUN,2005,29.980899810791
Hungary,HUN,2006,27.8581295013428
Hungary,HUN,2008,25.6892509460449
Hungary,HUN,2009,28.717399597168
Hungary,HUN,2010,29.1782703399658
Hungary,HUN,2011,27.1375503540039
Hungary,HUN,2012,27.8233699798584
Hungary,HUN,2014,29.09494972229
Iceland,ISL,1999,35.408561706543
Iceland,ISL,2000,37.8917388916016
Iceland,ISL,2001,35.6234092712402
Iceland,ISL,2002,33.3333282470703
Iceland,ISL,2003,35.8536605834961
Iceland,ISL,2004,38.1263618469238
Iceland,ISL,2005,37.209300994873
Iceland,ISL,2006,39.3877601623535
Iceland,ISL,2007,34.2105293273926
Iceland,ISL,2008,35.0305480957031
Iceland,ISL,2009,36.7265510559082
Iceland,ISL,2010,43.3021812438965
Iceland,ISL,2012,35.1902198791504
India,IND,2013,42.0782890319824
Indonesia,IDN,2014,37.0156402587891
Iran,IRN,2004,29.7268905639648
Iran,IRN,2005,37.0902709960938
Iran,IRN,2006,33.7436790466309
Iran,IRN,2007,37.0902709960938
Iran,IRN,2009,38.0574798583984
Iran,IRN,2011,28.3753700256348
Iran,IRN,2012,26.9013900756836
Iran,IRN,2013,32.0480499267578
Iran,IRN,2014,31.9793491363525
Iraq,IRQ,2004,16.2672805786133
Ireland,IRL,1998,34.9633293151855
Ireland,IRL,1999,38.6380081176758
Ireland,IRL,2000,37.9076805114746
Ireland,IRL,2001,36.3584594726563
Ireland,IRL,2002,35.4623489379883
Ireland,IRL,2003,34.6735305786133
Ireland,IRL,2004,31.2618103027344
Ireland,IRL,2005,30.4668502807617
Ireland,IRL,2006,29.1310901641846
Ireland,IRL,2007,31.2531299591064
Ireland,IRL,2008,30.3809604644775
Ireland,IRL,2009,30.7372493743896
Ireland,IRL,2010,28.7179508209229
Ireland,IRL,2012,28.6104907989502
Israel,ISR,1999,29.2340106964111
Israel,ISR,2000,30.9078197479248
Italy,ITA,1998,37.8362884521484
Italy,ITA,1999,37.1117897033691
Italy,ITA,2000,36.5614891052246
Italy,ITA,2001,36.3204612731934
Italy,ITA,2002,35.7188301086426
Italy,ITA,2003,35.7271118164063
Italy,ITA,2004,36.389289855957
Italy,ITA,2005,37.1012115478516
Italy,ITA,2006,37.5746002197266
Italy,ITA,2007,38.0853309631348
Italy,ITA,2008,39.0282402038574
Italy,ITA,2011,39.987419128418
Italy,ITA,2012,45.1787605285645
Japan,JPN,1998,12.1739597320557
Japan,JPN,1999,12.6172704696655
Japan,JPN,2000,12.9264402389526
Japan,JPN,2001,13.7831697463989
Japan,JPN,2002,14.160719871521
Japan,JPN,2003,14.4263496398926
Japan,JPN,2004,14.6082801818848
Japan,JPN,2005,14.6695003509521
Japan,JPN,2006,14.6191101074219
Japan,JPN,2007,14.3640804290771
Japan,JPN,2008,14.1862802505493
Japan,JPN,2009,14.1137104034424
Japan,JPN,2010,14.3478403091431
Japan,JPN,2011,14.5497999191284
Japan,JPN,2012,14.3672399520874
Japan,JPN,2013,14.5872802734375
Japan,JPN,2014,14.6686697006226
Jordan,JOR,2004,37.2886581420898
Jordan,JOR,2005,34.7169799804688
Jordan,JOR,2007,40.2763290405273
Jordan,JOR,2011,44.6233596801758
Kazakhstan,KAZ,2013,33.9898796081543
Kazakhstan,KAZ,2014,30.9960403442383
Kazakhstan,KAZ,2015,32.3876609802246
Kenya,KEN,2000,19.7557506561279
Kenya,KEN,2001,18.5530204772949
Kuwait,KWT,2013,28.1764698028564
Kyrgyzstan,KGZ,1999,50.4636192321777
Kyrgyzstan,KGZ,2001,45.319091796875
Kyrgyzstan,KGZ,2002,50.1379890441895
Kyrgyzstan,KGZ,2003,44.0623016357422
Kyrgyzstan,KGZ,2004,45.4409599304199
Kyrgyzstan,KGZ,2005,56.8935012817383
Kyrgyzstan,KGZ,2006,44.2135810852051
Kyrgyzstan,KGZ,2007,40.248420715332
Kyrgyzstan,KGZ,2008,42.4025497436523
Kyrgyzstan,KGZ,2009,42.4341583251953
Kyrgyzstan,KGZ,2010,41.379810333252
Kyrgyzstan,KGZ,2011,39.1434707641602
Kyrgyzstan,KGZ,2012,41.6901397705078
Kyrgyzstan,KGZ,2013,33.0537986755371
Laos,LAO,1999,20.0514106750488
Laos,LAO,2000,12.2388095855713
Laos,LAO,2001,15.602840423584
Laos,LAO,2004,21.3166103363037
Laos,LAO,2005,13.219090461731
Laos,LAO,2006,14.7245798110962
Laos,LAO,2009,15.969220161438
Laos,LAO,2011,18.5280303955078
Laos,LAO,2012,17.4274997711182
Laos,LAO,2013,19.9818096160889
Laos,LAO,2014,24.2391300201416
Latvia,LVA,1999,36.1882400512695
Latvia,LVA,2000,31.3862590789795
Latvia,LVA,2001,41.1645812988281
Latvia,LVA,2002,39.1618995666504
Latvia,LVA,2003,37.8000717163086
Latvia,LVA,2004,32.7436485290527
Latvia,LVA,2005,32.8048782348633
Latvia,LVA,2006,32.427059173584
Latvia,LVA,2007,32.697811126709
Latvia,LVA,2008,32.2000694274902
Latvia,LVA,2009,31.8181800842285
Latvia,LVA,2010,31.5443305969238
Latvia,LVA,2011,29.0256404876709
Latvia,LVA,2012,30.0893707275391
Latvia,LVA,2013,30.7572994232178
Latvia,LVA,2014,31.5520191192627
Lebanon,LBN,2000,31.6877899169922
Lebanon,LBN,2001,32.1541709899902
Lebanon,LBN,2002,31.9684600830078
Lebanon,LBN,2004,38.0357513427734
Lebanon,LBN,2005,29.2172603607178
Lebanon,LBN,2006,33.3224601745605
Lebanon,LBN,2007,34.8199882507324
Lebanon,LBN,2008,37.2240180969238
Lebanon,LBN,2009,43.7549896240234
Lebanon,LBN,2010,42.9133911132813
Lebanon,LBN,2011,43.1738014221191
Lesotho,LSO,2012,30.3329200744629
Lesotho,LSO,2013,37.9310302734375
Lesotho,LSO,2014,31.5884494781494
Liberia,LBR,2000,64.4006195068359
Liberia,LBR,2010,22.8464393615723
Liberia,LBR,2012,35.2201309204102
Liechtenstein,LIE,2003,36
Liechtenstein,LIE,2004,50
Liechtenstein,LIE,2006,19.5652198791504
Liechtenstein,LIE,2007,30.4347801208496
Liechtenstein,LIE,2008,25.8064498901367
Liechtenstein,LIE,2009,25.8064498901367
Liechtenstein,LIE,2010,62.1621589660645
Liechtenstein,LIE,2011,44.4444389343262
Liechtenstein,LIE,2012,40.6779708862305
Liechtenstein,LIE,2014,51.0638313293457
Lithuania,LTU,1999,37.8826713562012
Lithuania,LTU,2000,35.9079818725586
Lithuania,LTU,2001,35.6583595275879
Lithuania,LTU,2002,36.87255859375
Lithuania,LTU,2003,35.7476005554199
Lithuania,LTU,2004,35.642261505127
Lithuania,LTU,2005,35.1749305725098
Lithuania,LTU,2006,31.5666999816895
Lithuania,LTU,2007,32.4765281677246
Lithuania,LTU,2008,33.4524688720703
Lithuania,LTU,2009,30.3098106384277
Lithuania,LTU,2010,28.7003993988037
Lithuania,LTU,2011,28.816650390625
Lithuania,LTU,2012,27.2426700592041
Lithuania,LTU,2013,26.6804294586182
Luxembourg,LUX,2008,48.1818199157715
Luxembourg,LUX,2012,41.0526313781738
Luxembourg,LUX,2013,31.3725490570068
Luxembourg,LUX,2014,27.6264591217041
Macao,MAC,2005,18.808780670166
Macao,MAC,2006,13.7583904266357
Macao,MAC,2007,17.0370407104492
Macao,MAC,2008,10.9022598266602
Macao,MAC,2009,16.1511993408203
Macao,MAC,2010,15.4761896133423
Macao,MAC,2011,15.9203996658325
Macao,MAC,2012,14.6341495513916
Macao,MAC,2013,17.7177200317383
Macao,MAC,2014,19.8511199951172
Macedonia,MKD,1999,41.9698295593262
Macedonia,MKD,2000,41.5959281921387
Macedonia,MKD,2001,41.3930282592773
Macedonia,MKD,2002,44.0643882751465
Macedonia,MKD,2003,41.1037101745605
Macedonia,MKD,2004,45.202018737793
Macedonia,MKD,2005,46.9164695739746
Macedonia,MKD,2006,45.9636383056641
Macedonia,MKD,2007,39.7711982727051
Macedonia,MKD,2008,42.799388885498
Macedonia,MKD,2009,41.6702690124512
Macedonia,MKD,2010,39.444709777832
Macedonia,MKD,2011,37.5989990234375
Macedonia,MKD,2012,38.5881309509277
Macedonia,MKD,2013,38.3913803100586
Madagascar,MDG,2005,31.6346206665039
Madagascar,MDG,2006,35.0185012817383
Madagascar,MDG,2007,33.1660118103027
Madagascar,MDG,2008,30.5648899078369
Madagascar,MDG,2009,28.2834491729736
Madagascar,MDG,2010,30.2998600006104
Madagascar,MDG,2013,28.2256507873535
Malaysia,MYS,2004,42.7236099243164
Malaysia,MYS,2006,45.6844482421875
Malaysia,MYS,2007,42.1779899597168
Malaysia,MYS,2008,41.8192291259766
Malaysia,MYS,2009,41.7063102722168
Malaysia,MYS,2010,42.1838684082031
Malaysia,MYS,2011,42.0896415710449
Malaysia,MYS,2012,45.8790092468262
Malaysia,MYS,2013,44.884220123291
Malaysia,MYS,2014,43.1214714050293
Malta,MLT,2000,20.5882396697998
Malta,MLT,2001,26.3440895080566
Malta,MLT,2002,25.6410293579102
Malta,MLT,2003,26.3736305236816
Malta,MLT,2004,30.66037940979
Malta,MLT,2005,30.0970897674561
Malta,MLT,2006,25.9259300231934
Malta,MLT,2007,37.767219543457
Malta,MLT,2008,28.412260055542
Malta,MLT,2009,30.607479095459
Malta,MLT,2010,32.2515182495117
Malta,MLT,2011,30.7270202636719
Malta,MLT,2012,24.9244709014893
Mauritania,MRT,2015,33.5492210388184
Mauritius,MUS,2014,40.8844108581543
Mexico,MEX,2000,31.3861408233643
Mexico,MEX,2001,32.1270408630371
Mexico,MEX,2002,32.915111541748
Mexico,MEX,2003,34.3278999328613
Mexico,MEX,2005,33.2825317382813
Mexico,MEX,2006,33.8921813964844
Mexico,MEX,2007,33.5973510742188
Mexico,MEX,2008,33.8566513061523
Mexico,MEX,2009,33.3892784118652
Mexico,MEX,2010,33.0101585388184
Mexico,MEX,2011,32.3751411437988
Mexico,MEX,2012,32.0080795288086
Moldova,MDA,2013,34.2601890563965
Mongolia,MNG,1999,51.2637100219727
Mongolia,MNG,2000,49.4928092956543
Mongolia,MNG,2001,49.7674407958984
Mongolia,MNG,2002,51.5250205993652
Mongolia,MNG,2003,51.2258415222168
Mongolia,MNG,2004,51.124439239502
Mongolia,MNG,2005,51.4088096618652
Mongolia,MNG,2006,47.7346992492676
Mongolia,MNG,2007,47.144458770752
Mongolia,MNG,2008,47.8595199584961
Mongolia,MNG,2009,44.6017684936523
Mongolia,MNG,2010,42.528148651123
Mongolia,MNG,2011,40.8312187194824
Mongolia,MNG,2013,40.7196998596191
Mongolia,MNG,2014,40.3913192749023
Morocco,MAR,2001,28.1354694366455
Morocco,MAR,2007,20.1711807250977
Morocco,MAR,2008,16.8324794769287
Morocco,MAR,2009,36.738899230957
Morocco,MAR,2010,38.4469909667969
Mozambique,MOZ,2004,22.9024906158447
Mozambique,MOZ,2005,13.2118501663208
Mozambique,MOZ,2008,21.1081790924072
Mozambique,MOZ,2009,21.0083999633789
Mozambique,MOZ,2010,23.39089012146
Mozambique,MOZ,2011,20.2008895874023
Mozambique,MOZ,2012,27.3816699981689
Mozambique,MOZ,2013,34.8408699035645
Mozambique,MOZ,2014,26.0299606323242
Myanmar,MMR,2011,66.2311706542969
Myanmar,MMR,2012,64.8559036254883
Namibia,NAM,2001,34.6938781738281
Namibia,NAM,2003,35.2458992004395
Namibia,NAM,2005,40.860221862793
Namibia,NAM,2006,33.165828704834
Namibia,NAM,2008,38.3561592102051
Nepal,NPL,2013,23.052209854126
Netherlands,NLD,1999,17.1037197113037
Netherlands,NLD,2000,17.6475296020508
Netherlands,NLD,2001,17.3878707885742
Netherlands,NLD,2002,17.8405494689941
