Entity,Code,Year,"Literacy rate, adult total (% of people ages 15 and above) (% of people ages 15 and above)"
East Asia & Pacific,,2012,95.12052
East Asia & Pacific,,2013,95.2035
East Asia & Pacific,,2014,95.51643
East Asia & Pacific,,2015,95.63301
East Asia & Pacific,,2016,95.74399
East Asia & Pacific (IDA & IBRD),,1976,63.52885
East Asia & Pacific (IDA & IBRD),,1977,63.69738
East Asia & Pacific (IDA & IBRD),,1978,64.83481
East Asia & Pacific (IDA & IBRD),,1979,66.0139
East Asia & Pacific (IDA & IBRD),,1980,66.53323
East Asia & Pacific (IDA & IBRD),,1981,68.25838
East Asia & Pacific (IDA & IBRD),,1982,68.93415
East Asia & Pacific (IDA & IBRD),,1983,70.45556
East Asia & Pacific (IDA & IBRD),,1984,71.51686
East Asia & Pacific (IDA & IBRD),,1985,72.53196
East Asia & Pacific (IDA & IBRD),,1986,73.47626
East Asia & Pacific (IDA & IBRD),,1987,74.73917
East Asia & Pacific (IDA & IBRD),,1988,79.09659
East Asia & Pacific (IDA & IBRD),,1989,79.79894
East Asia & Pacific (IDA & IBRD),,1990,79.52593
East Asia & Pacific (IDA & IBRD),,1991,80.97195
East Asia & Pacific (IDA & IBRD),,1992,81.47959
East Asia & Pacific (IDA & IBRD),,1993,81.94565
East Asia & Pacific (IDA & IBRD),,1994,82.49114
East Asia & Pacific (IDA & IBRD),,1995,83.02863
East Asia & Pacific (IDA & IBRD),,1996,83.56768
East Asia & Pacific (IDA & IBRD),,1997,89.26415
East Asia & Pacific (IDA & IBRD),,1998,89.63708
East Asia & Pacific (IDA & IBRD),,1999,89.97146
East Asia & Pacific (IDA & IBRD),,2000,90.45229
East Asia & Pacific (IDA & IBRD),,2001,90.73628
East Asia & Pacific (IDA & IBRD),,2002,91.11236
East Asia & Pacific (IDA & IBRD),,2003,91.48216
East Asia & Pacific (IDA & IBRD),,2004,92.03041
East Asia & Pacific (IDA & IBRD),,2005,92.3994
East Asia & Pacific (IDA & IBRD),,2006,92.82903
East Asia & Pacific (IDA & IBRD),,2007,93.92203
East Asia & Pacific (IDA & IBRD),,2008,94.16535
East Asia & Pacific (IDA & IBRD),,2009,94.47115
East Asia & Pacific (IDA & IBRD),,2010,94.55668
East Asia & Pacific (IDA & IBRD),,2011,94.39024
East Asia & Pacific (IDA & IBRD),,2012,94.61723
East Asia & Pacific (IDA & IBRD),,2013,94.70958
East Asia & Pacific (IDA & IBRD),,2014,95.06234
East Asia & Pacific (IDA & IBRD),,2015,95.1932
East Asia & Pacific (IDA & IBRD),,2016,95.31731
East Asia & Pacific (excluding high income),,1976,64.01993
East Asia & Pacific (excluding high income),,1977,64.1843
East Asia & Pacific (excluding high income),,1978,65.30334
East Asia & Pacific (excluding high income),,1979,66.46397
East Asia & Pacific (excluding high income),,1980,66.97471
East Asia & Pacific (excluding high income),,1981,68.67846
East Asia & Pacific (excluding high income),,1982,69.34541
East Asia & Pacific (excluding high income),,1983,70.84641
East Asia & Pacific (excluding high income),,1984,71.89396
East Asia & Pacific (excluding high income),,1985,72.89674
East Asia & Pacific (excluding high income),,1986,73.82719
East Asia & Pacific (excluding high income),,1987,75.07429
East Asia & Pacific (excluding high income),,1988,79.37541
East Asia & Pacific (excluding high income),,1989,80.06918
East Asia & Pacific (excluding high income),,1990,79.79885
East Asia & Pacific (excluding high income),,1991,81.22664
East Asia & Pacific (excluding high income),,1992,81.72661
East Asia & Pacific (excluding high income),,1993,82.1846
East Asia & Pacific (excluding high income),,1994,82.72142
East Asia & Pacific (excluding high income),,1995,83.25121
East Asia & Pacific (excluding high income),,1996,83.78144
East Asia & Pacific (excluding high income),,1997,89.40332
East Asia & Pacific (excluding high income),,1998,89.77128
East Asia & Pacific (excluding high income),,1999,90.10101
East Asia & Pacific (excluding high income),,2000,90.57497
East Asia & Pacific (excluding high income),,2001,90.85471
East Asia & Pacific (excluding high income),,2002,91.22521
East Asia & Pacific (excluding high income),,2003,91.58946
East Asia & Pacific (excluding high income),,2004,92.1301
East Asia & Pacific (excluding high income),,2005,92.49397
East Asia & Pacific (excluding high income),,2006,92.91788
East Asia & Pacific (excluding high income),,2007,93.9971
East Asia & Pacific (excluding high income),,2008,94.23727
East Asia & Pacific (excluding high income),,2009,94.53922
East Asia & Pacific (excluding high income),,2010,94.62366
East Asia & Pacific (excluding high income),,2011,94.45929
East Asia & Pacific (excluding high income),,2012,94.68354
East Asia & Pacific (excluding high income),,2013,94.77481
East Asia & Pacific (excluding high income),,2014,95.12328
East Asia & Pacific (excluding high income),,2015,95.2526
East Asia & Pacific (excluding high income),,2016,95.37519
Ecuador,ECU,1982,83.5526885986328
Ecuador,ECU,1990,88.2987594604492
Ecuador,ECU,2001,90.9840316772461
Ecuador,ECU,2007,84.1927185058594
Ecuador,ECU,2009,84.2069625854492
Ecuador,ECU,2010,91.8540420532227
Ecuador,ECU,2011,91.5868988037109
Ecuador,ECU,2012,92.0647277832031
Ecuador,ECU,2013,93.2946319580078
Ecuador,ECU,2014,94.2226409912109
Ecuador,ECU,2015,94.4556579589844
Ecuador,ECU,2016,94.350227355957
Egypt,EGY,1976,38.1967582702637
Egypt,EGY,1986,44.4239883422852
Egypt,EGY,1996,55.5870018005371
Egypt,EGY,2005,71.4088592529297
Egypt,EGY,2006,66.3699111938477
Egypt,EGY,2010,72.0478515625
Egypt,EGY,2012,73.865592956543
Egypt,EGY,2013,75.0607299804688
El Salvador,SLV,1992,74.1431579589844
El Salvador,SLV,2006,83.5594635009766
El Salvador,SLV,2007,82.0286331176758
El Salvador,SLV,2008,83.951301574707
El Salvador,SLV,2009,84.1028900146484
El Salvador,SLV,2010,84.4927215576172
El Salvador,SLV,2011,85.4939880371094
El Salvador,SLV,2013,86.767578125
El Salvador,SLV,2015,87.9698486328125
Equatorial Guinea,GNQ,2000,88.3082962036133
Eritrea,ERI,2002,52.5139503479004
Eritrea,ERI,2008,64.662971496582
Estonia,EST,1989,99.7264404296875
Estonia,EST,2000,99.7671966552734
Estonia,EST,2011,99.8857879638672
Ethiopia,ETH,1994,27.011360168457
Ethiopia,ETH,2004,35.9000015258789
Ethiopia,ETH,2005,29.8203392028809
Ethiopia,ETH,2007,38.995979309082
Euro area,,1988,97.2506
Euro area,,1989,97.31565
Euro area,,1990,97.37944
Euro area,,1991,97.44066
Euro area,,1992,97.49543
Euro area,,1993,97.55447
Euro area,,1994,97.61132
Euro area,,1995,97.72449
Euro area,,1996,97.83815
Euro area,,1997,97.94287
Euro area,,1998,98.07697
Euro area,,1999,98.17881
Euro area,,2000,98.2806
Euro area,,2001,98.37608
Euro area,,2002,98.42798
Euro area,,2003,98.52063
Euro area,,2004,98.56268
Euro area,,2005,98.54646
Euro area,,2006,98.6545
Euro area,,2007,98.63316
Euro area,,2008,98.6521
Euro area,,2009,98.61392
Euro area,,2010,98.64773
Euro area,,2011,98.77452
Euro area,,2012,98.81927
Euro area,,2013,98.86477
Euro area,,2014,98.8867
Euro area,,2015,98.91283
Euro area,,2016,98.94653
Europe & Central Asia,,1987,96.50375
Europe & Central Asia,,1988,96.70758
Europe & Central Asia,,1989,96.76774
Europe & Central Asia,,1990,96.894
Europe & Central Asia,,1991,96.93921
Europe & Central Asia,,1992,97.01623
Europe & Central Asia,,1993,97.09146
Europe & Central Asia,,1994,97.16499
Europe & Central Asia,,1995,97.27277
Europe & Central Asia,,1996,97.40359
Europe & Central Asia,,1997,97.50205
Europe & Central Asia,,1998,97.70623
Europe & Central Asia,,1999,97.78225
Europe & Central Asia,,2000,97.88235
Europe & Central Asia,,2001,97.96304
Europe & Central Asia,,2002,98.02866
Europe & Central Asia,,2003,98.10574
Europe & Central Asia,,2004,98.19539
Europe & Central Asia,,2005,98.27818
Europe & Central Asia,,2006,98.30433
Europe & Central Asia,,2007,98.33823
Europe & Central Asia,,2008,98.35742
Europe & Central Asia,,2009,98.56719
Europe & Central Asia,,2010,98.71305
Europe & Central Asia,,2011,98.87012
Europe & Central Asia,,2012,98.94292
Europe & Central Asia,,2013,98.98037
Europe & Central Asia,,2014,99.00192
Europe & Central Asia,,2015,99.02565
Europe & Central Asia,,2016,99.06869
Europe & Central Asia (IDA & IBRD),,1983,94.60724
Europe & Central Asia (IDA & IBRD),,1984,95.20041
Europe & Central Asia (IDA & IBRD),,1985,95.36546
Europe & Central Asia (IDA & IBRD),,1986,95.4184
Europe & Central Asia (IDA & IBRD),,1987,95.53598
Europe & Central Asia (IDA & IBRD),,1988,95.66518
Europe & Central Asia (IDA & IBRD),,1989,95.74159
Europe & Central Asia (IDA & IBRD),,1990,95.93623
Europe & Central Asia (IDA & IBRD),,1991,95.98281
Europe & Central Asia (IDA & IBRD),,1992,96.09748
Europe & Central Asia (IDA & IBRD),,1993,96.20728
Europe & Central Asia (IDA & IBRD),,1994,96.31522
Europe & Central Asia (IDA & IBRD),,1995,96.42752
Europe & Central Asia (IDA & IBRD),,1996,96.58856
Europe & Central Asia (IDA & IBRD),,1997,96.68915
Europe & Central Asia (IDA & IBRD),,1998,96.98323
Europe & Central Asia (IDA & IBRD),,1999,97.03974
Europe & Central Asia (IDA & IBRD),,2000,97.14596
Europe & Central Asia (IDA & IBRD),,2001,97.21642
Europe & Central Asia (IDA & IBRD),,2002,97.29258
Europe & Central Asia (IDA & IBRD),,2003,97.35817
Europe & Central Asia (IDA & IBRD),,2004,97.48861
Europe & Central Asia (IDA & IBRD),,2005,97.67028
Europe & Central Asia (IDA & IBRD),,2006,97.63778
Europe & Central Asia (IDA & IBRD),,2007,97.72247
Europe & Central Asia (IDA & IBRD),,2008,97.74492
Europe & Central Asia (IDA & IBRD),,2009,98.20237
Europe & Central Asia (IDA & IBRD),,2010,98.4725
Europe & Central Asia (IDA & IBRD),,2011,98.69315
Europe & Central Asia (IDA & IBRD),,2012,98.80603
Europe & Central Asia (IDA & IBRD),,2013,98.84606
Europe & Central Asia (IDA & IBRD),,2014,98.87219
Europe & Central Asia (IDA & IBRD),,2015,98.89842
Europe & Central Asia (IDA & IBRD),,2016,98.95928
Europe & Central Asia (excluding high income),,1983,94.12606
Europe & Central Asia (excluding high income),,1984,94.78561
Europe & Central Asia (excluding high income),,1985,94.96654
Europe & Central Asia (excluding high income),,1986,95.0232
Europe & Central Asia (excluding high income),,1987,95.14988
Europe & Central Asia (excluding high income),,1988,95.28923
Europe & Central Asia (excluding high income),,1989,95.3741
Europe & Central Asia (excluding high income),,1990,95.58887
Europe & Central Asia (excluding high income),,1991,95.63856
Europe & Central Asia (excluding high income),,1992,95.76532
Europe & Central Asia (excluding high income),,1993,95.88623
Europe & Central Asia (excluding high income),,1994,96.00478
Europe & Central Asia (excluding high income),,1995,96.12787
Europe & Central Asia (excluding high income),,1996,96.30593
Europe & Central Asia (excluding high income),,1997,96.41598
Europe & Central Asia (excluding high income),,1998,96.73808
Europe & Central Asia (excluding high income),,1999,96.79916
Europe & Central Asia (excluding high income),,2000,96.91603
Europe & Central Asia (excluding high income),,2001,96.99275
Europe & Central Asia (excluding high income),,2002,97.07689
Europe & Central Asia (excluding high income),,2003,97.14916
Europe & Central Asia (excluding high income),,2004,97.29369
Europe & Central Asia (excluding high income),,2005,97.49521
Europe & Central Asia (excluding high income),,2006,97.45829
Europe & Central Asia (excluding high income),,2007,97.55205
Europe & Central Asia (excluding high income),,2008,97.573
Europe & Central Asia (excluding high income),,2009,98.08223
Europe & Central Asia (excluding high income),,2010,98.38273
Europe & Central Asia (excluding high income),,2011,98.62805
Europe & Central Asia (excluding high income),,2012,98.75351
Europe & Central Asia (excluding high income),,2013,98.79772
Europe & Central Asia (excluding high income),,2014,98.82647
Europe & Central Asia (excluding high income),,2015,98.85536
Europe & Central Asia (excluding high income),,2016,98.92272
European Union,,1988,97.68678
European Union,,1989,97.7411
European Union,,1990,97.79302
European Union,,1991,97.84146
European Union,,1993,97.9316
European Union,,1994,97.97699
European Union,,1995,98.07452
European Union,,1996,98.17098
European Union,,1997,98.26261
European Union,,1998,98.3763
European Union,,1999,98.44225
European Union,,2000,98.53034
European Union,,2001,98.61364
European Union,,2002,98.66837
European Union,,2003,98.74722
European Union,,2004,98.79398
European Union,,2005,98.78767
European Union,,2006,98.86331
European Union,,2007,98.8532
European Union,,2008,98.87294
European Union,,2009,98.88927
European Union,,2010,98.91522
European Union,,2011,99.00245
European Union,,2012,99.03498
European Union,,2013,99.06807
European Union,,2014,99.08536
European Union,,2015,99.10534
European Union,,2016,99.12999
Fragile and conflict affected situations,,1987,56.03445
Fragile and conflict affected situations,,1988,56.52131
Fragile and conflict affected situations,,1989,56.69969
Fragile and conflict affected situations,,1990,57.11448
Fragile and conflict affected situations,,1991,57.48915
Fragile and conflict affected situations,,1992,57.90137
Fragile and conflict affected situations,,1993,58.11633
Fragile and conflict affected situations,,1994,59.05419
Fragile and conflict affected situations,,1995,59.55121
Fragile and conflict affected situations,,1996,60.05709
Fragile and conflict affected situations,,1997,60.85283
Fragile and conflict affected situations,,1998,61.71507
Fragile and conflict affected situations,,1999,62.20517
Fragile and conflict affected situations,,2000,63.02628
Fragile and conflict affected situations,,2001,63.82038
Fragile and conflict affected situations,,2002,64.15433
Fragile and conflict affected situations,,2003,64.30351
Fragile and conflict affected situations,,2004,64.60603
Fragile and conflict affected situations,,2005,64.79391
Fragile and conflict affected situations,,2006,62.87312
Fragile and conflict affected situations,,2007,62.93235
Fragile and conflict affected situations,,2008,62.54976
Fragile and conflict affected situations,,2009,60.69243
Fragile and conflict affected situations,,2010,60.99425
Fragile and conflict affected situations,,2011,60.3371
Fragile and conflict affected situations,,2012,60.79125
Fragile and conflict affected situations,,2013,60.52207
Fragile and conflict affected situations,,2014,61.32968
Fragile and conflict affected situations,,2015,61.68165
Fragile and conflict affected situations,,2016,61.95271
Gabon,GAB,1993,72.2336730957031
Gabon,GAB,2012,82.2837982177734
Gambia,GMB,2000,36.8177299499512
Gambia,GMB,2013,41.9500503540039
Georgia,GEO,2002,99.6523513793945
Georgia,GEO,2014,99.5861892700195
Ghana,GHA,2000,57.8974685668945
Ghana,GHA,2010,71.4970703125
Greece,GRC,1981,90.512321472168
Greece,GRC,1991,92.6104507446289
Greece,GRC,2001,95.9943618774414
Greece,GRC,2005,93.0443115234375
Greece,GRC,2007,93.9315490722656
Greece,GRC,2009,93.9051132202148
Greece,GRC,2011,97.1287536621094
Greenland,GRL,2015,100
Grenada,GRD,1970,97.7944717407227
Guatemala,GTM,1994,64.2116394042969
Guatemala,GTM,2002,69.1017303466797
Guatemala,GTM,2012,78.2648620605469
Guatemala,GTM,2013,77.0386734008789
Guatemala,GTM,2014,81.2858963012695
Guinea,GIN,1996,20.5537490844727
Guinea,GIN,2003,29.7040195465088
Guinea,GIN,2010,25.3077392578125
Guinea,GIN,2014,32.0038604736328
Guinea-Bissau,GNB,1979,19.9582500457764
Guinea-Bissau,GNB,2000,41.3577690124512
Guinea-Bissau,GNB,2014,45.5811614990234
Guyana,GUY,2009,84.994010925293
Guyana,GUY,2014,85.6397323608398
Haiti,HTI,1982,34.734691619873
Haiti,HTI,2003,58.7439002990723
Haiti,HTI,2006,48.6850204467773
