Entity,Code,Year,Suite of Food Security Indicators - Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average) - 210091 - Value - 6121 - % (%)
Netherlands,NLD,2016,5.3
Netherlands,NLD,2017,4.3
New Zealand,NZL,2015,10.6
New Zealand,NZL,2016,11.8
New Zealand,NZL,2017,14
Niger,NER,2015,66.4
Niger,NER,2016,74
Niger,NER,2017,83
Nigeria,NGA,2015,36.4
Nigeria,NGA,2016,36.4
North Africa (exc Sudan),,2015,25.9
North Africa (exc Sudan),,2016,28.7
North Africa (exc Sudan),,2017,30.8
Northern Africa,,2015,25.9
Northern Africa,,2016,28.7
Northern Africa,,2017,30.8
Northern Africa and Western Asia,,2015,27.5
Northern Africa and Western Asia,,2016,28.9
Northern Africa and Western Asia,,2017,30
Northern America,,2015,9.9
Northern America,,2016,9.4
Northern America,,2017,8.8
Northern Europe,,2015,8.6
Northern Europe,,2016,7.1
Northern Europe,,2017,6
Norway,NOR,2015,5
Norway,NOR,2016,5.2
Norway,NOR,2017,5.1
Palestine,PSE,2017,26.3
Philippines,PHL,2015,45.4
Philippines,PHL,2016,47.3
Philippines,PHL,2017,52.5
Poland,POL,2015,8.7
Poland,POL,2016,6
Poland,POL,2017,5.3
Portugal,PRT,2015,15.7
Portugal,PRT,2016,14.3
Portugal,PRT,2017,11.5
Romania,ROU,2015,19.2
Romania,ROU,2016,16.6
Romania,ROU,2017,14.7
Russia,RUS,2015,8.2
Russia,RUS,2016,8.8
Russia,RUS,2017,6.2
Saint Lucia,LCA,2015,22.2
Saint Lucia,LCA,2016,22.2
Saint Lucia,LCA,2017,22.2
Serbia,SRB,2015,10.6
Serbia,SRB,2016,12
Serbia,SRB,2017,11.7
Seychelles,SYC,2015,14.3
Seychelles,SYC,2016,14.3
Seychelles,SYC,2017,14.3
Sierra Leone,SLE,2015,83
Sierra Leone,SLE,2016,88.7
Sierra Leone,SLE,2017,90.8
Singapore,SGP,2015,2.8
Singapore,SGP,2016,3
Singapore,SGP,2017,4.1
Slovakia,SVK,2015,5.7
Slovakia,SVK,2016,4.9
Slovakia,SVK,2017,4.7
South Africa,ZAF,2015,45.4
South Africa,ZAF,2016,48.3
South Africa,ZAF,2017,51.1
South America,,2015,23.8
South America,,2016,28.2
South America,,2017,30.8
South Asia (exc India),,2015,38.6
South Asia (exc India),,2016,35.9
South Asia (exc India),,2017,35.6
South Eastern Asia,,2015,18.7
South Eastern Asia,,2016,19.3
South Eastern Asia,,2017,20.3
South Korea,KOR,2015,4.8
South Korea,KOR,2016,5.1
South Korea,KOR,2017,5.4
Southern Africa,,2015,48.3
Southern Africa,,2016,51.1
Southern Africa,,2017,53.6
Southern Asia,,2015,30.8
Southern Asia,,2016,29.7
Southern Asia,,2017,30.9
Southern Europe,,2015,9.8
Southern Europe,,2016,9.6
Southern Europe,,2017,9.4
Spain,ESP,2015,7.1
Spain,ESP,2016,7.6
Spain,ESP,2017,7.5
Sub-Saharan Africa,,2015,55
Sub-Saharan Africa,,2016,57.1
Sub-Saharan Africa,,2017,58.2
Sub-Saharan Africa (inc. Sudan),,2015,53.9
Sub-Saharan Africa (inc. Sudan),,2016,56
Sub-Saharan Africa (inc. Sudan),,2017,57.2
Swaziland,SWZ,2017,63.5
Sweden,SWE,2015,4.5
Sweden,SWE,2016,5.3
Sweden,SWE,2017,5.4
Switzerland,CHE,2015,4
Switzerland,CHE,2016,4.1
Switzerland,CHE,2017,3.1
Taiwan,TWN,2015,3.6
Taiwan,TWN,2016,3.5
Taiwan,TWN,2017,3.1
Tajikistan,TJK,2015,18.8
Tajikistan,TJK,2016,24.3
Tajikistan,TJK,2017,29.6
Tanzania,TZA,2015,61.2
Tanzania,TZA,2016,67.8
Tanzania,TZA,2017,69.3
Togo,TGO,2015,66.9
Togo,TGO,2016,68.8
Togo,TGO,2017,68.1
United Kingdom,GBR,2015,9.3
United Kingdom,GBR,2016,7.3
United Kingdom,GBR,2017,5.6
United States,USA,2015,10.5
United States,USA,2016,9.9
United States,USA,2017,9.2
Upper middle income,,2015,26
Upper middle income,,2016,27.7
Upper middle income,,2017,28.6
Uruguay,URY,2015,20.6
Uruguay,URY,2016,22.4
Uruguay,URY,2017,25.3
Vietnam,VNM,2015,16.4
Vietnam,VNM,2016,16.1
Vietnam,VNM,2017,14.5
Western Africa,,2015,45.4
Western Africa,,2016,46.8
Western Africa,,2017,47.6
Western Asia,,2015,28.8
Western Asia,,2016,29.2
Western Asia,,2017,29.3
World,OWID_WRL,2015,23.5
World,OWID_WRL,2016,24.3
World,OWID_WRL,2017,25.4
