Entity,Code,Year,Government expenditure on primary education as % of GDP (%) (%)
Austria,AUT,2004,1.00836002826691
Austria,AUT,2005,1.00134003162384
Austria,AUT,2006,0.975390017032623
Austria,AUT,2007,0.933350026607513
Austria,AUT,2008,0.944970011711121
Austria,AUT,2009,1.00511002540588
Austria,AUT,2010,0.980859994888306
Austria,AUT,2011,0.960640013217926
Austria,AUT,2012,0.852580010890961
Austria,AUT,2013,0.90719997882843
Bangladesh,BGD,1999,0.948310017585754
Bangladesh,BGD,2000,0.987959980964661
Bangladesh,BGD,2002,0.909839987754822
Bangladesh,BGD,2003,0.940090000629425
Bangladesh,BGD,2004,0.77581000328064
Bangladesh,BGD,2006,0.894219994544983
Bangladesh,BGD,2007,1.01856005191803
Bangladesh,BGD,2008,0.930610001087189
Bangladesh,BGD,2009,0.867470026016235
Barbados,BRB,1999,0.971350014209747
Barbados,BRB,2000,1.27779996395111
Barbados,BRB,2001,1.73666000366211
Barbados,BRB,2002,1.53090000152588
Barbados,BRB,2003,1.64191997051239
Barbados,BRB,2004,1.61436998844147
Barbados,BRB,2005,1.54998004436493
Barbados,BRB,2008,1.86538994312286
Belgium,BEL,2001,1.33229005336761
Belgium,BEL,2002,1.33200001716614
Belgium,BEL,2003,1.41250002384186
Belgium,BEL,2004,1.37953996658325
Belgium,BEL,2005,1.36146998405457
Belgium,BEL,2006,1.3773900270462
Belgium,BEL,2007,1.37546002864838
Belgium,BEL,2008,1.49600994586945
Belgium,BEL,2009,1.46116995811462
Belgium,BEL,2010,1.50694000720978
Belgium,BEL,2011,1.48869001865387
Belgium,BEL,2012,1.54683995246887
Belize,BLZ,1999,3.23768997192383
Belize,BLZ,2000,3.04442000389099
Belize,BLZ,2004,2.25998997688293
Belize,BLZ,2005,2.49234008789063
Belize,BLZ,2006,2.56291007995605
Belize,BLZ,2008,2.691890001297
Belize,BLZ,2009,2.76097989082336
Belize,BLZ,2010,3.04916000366211
Belize,BLZ,2012,2.44004011154175
Belize,BLZ,2013,2.48957991600037
Benin,BEN,2000,1.48404002189636
Benin,BEN,2001,1.78989005088806
Benin,BEN,2002,1.59318995475769
Benin,BEN,2003,1.64089000225067
Benin,BEN,2004,1.79595005512238
Benin,BEN,2005,1.66907000541687
Benin,BEN,2006,1.86346995830536
Benin,BEN,2007,1.84833002090454
Benin,BEN,2008,2.14402008056641
Benin,BEN,2009,2.42622995376587
Benin,BEN,2010,2.65676999092102
Benin,BEN,2012,2.49990010261536
Benin,BEN,2013,2.29116010665894
Benin,BEN,2014,2.14399003982544
Bermuda,BMU,1998,0.713360011577606
Bermuda,BMU,2004,0.709909975528717
Bermuda,BMU,2005,0.810370028018951
Bermuda,BMU,2010,0.815599977970123
Bermuda,BMU,2014,0.533720016479492
Bhutan,BTN,2004,1.24276995658875
Bhutan,BTN,2005,1.57959997653961
Bhutan,BTN,2008,1.12118005752563
Bhutan,BTN,2009,1.37896001338959
Bhutan,BTN,2010,1.20465004444122
Bhutan,BTN,2011,1.46613001823425
Bhutan,BTN,2013,1.21968996524811
Bhutan,BTN,2014,1.88734996318817
Bolivia,BOL,1998,2.34657001495361
Bolivia,BOL,1999,2.51810002326965
Bolivia,BOL,2000,2.21570992469788
Bolivia,BOL,2001,2.08067011833191
Bolivia,BOL,2002,2.72834992408752
Bolivia,BOL,2003,2.81489992141724
Bolivia,BOL,2006,2.21410989761353
Bolivia,BOL,2008,2.89272999763489
Bolivia,BOL,2009,3.27302002906799
Bolivia,BOL,2010,2.99575996398926
Bolivia,BOL,2011,2.4941999912262
Bolivia,BOL,2012,2.41546010971069
Bolivia,BOL,2013,2.20580005645752
Bolivia,BOL,2014,2.35821008682251
Botswana,BWA,2005,3.20687007904053
Botswana,BWA,2007,2.4382700920105
Botswana,BWA,2009,1.71680998802185
Brazil,BRA,1998,1.55915999412537
Brazil,BRA,1999,1.28578996658325
Brazil,BRA,2000,1.21616005897522
Brazil,BRA,2001,1.1530100107193
Brazil,BRA,2002,1.05606997013092
Brazil,BRA,2004,1.3082400560379
Brazil,BRA,2005,1.52277994155884
Brazil,BRA,2006,1.55956995487213
Brazil,BRA,2007,1.6029599905014
Brazil,BRA,2008,1.68300998210907
Brazil,BRA,2009,1.77162003517151
Brazil,BRA,2010,1.76909005641937
Brazil,BRA,2011,1.6808500289917
Brazil,BRA,2012,1.70888996124268
Brunei,BRN,2010,0.584119975566864
Bulgaria,BGR,1998,0.645539999008179
Bulgaria,BGR,2001,0.705879986286163
Bulgaria,BGR,2002,0.68231999874115
Bulgaria,BGR,2003,0.766470015048981
Bulgaria,BGR,2004,0.453319996595383
Bulgaria,BGR,2005,0.83542001247406
Bulgaria,BGR,2006,0.771269977092743
Bulgaria,BGR,2007,0.72596001625061
Bulgaria,BGR,2008,0.795870006084442
Bulgaria,BGR,2009,0.79900997877121
Bulgaria,BGR,2010,0.76691997051239
Bulgaria,BGR,2011,0.664600014686584
Bulgaria,BGR,2012,0.656359970569611
Burkina Faso,BFA,2005,3.15515995025635
Burkina Faso,BFA,2006,2.97777009010315
Burkina Faso,BFA,2007,3.07590007781982
Burkina Faso,BFA,2010,2.37681007385254
Burkina Faso,BFA,2011,2.80837988853455
Burkina Faso,BFA,2012,2.45750999450684
Burkina Faso,BFA,2013,2.70869994163513
Burkina Faso,BFA,2014,2.94353008270264
Burundi,BDI,1999,1.2804399728775
Burundi,BDI,2000,0.999480009078979
Burundi,BDI,2001,1.16393995285034
Burundi,BDI,2002,1.28817999362946
Burundi,BDI,2004,1.89709997177124
Burundi,BDI,2005,1.8724000453949
Burundi,BDI,2008,2.6895899772644
Burundi,BDI,2009,3.36638998985291
Burundi,BDI,2010,3.08516001701355
Burundi,BDI,2011,2.98093008995056
Burundi,BDI,2012,2.56094002723694
Burundi,BDI,2013,2.45991992950439
Cambodia,KHM,1998,0.873820006847382
Cambodia,KHM,2000,1.04419994354248
Cambodia,KHM,2001,1.28205001354218
Cambodia,KHM,2002,1.10490000247955
Cambodia,KHM,2010,1.08896994590759
Cambodia,KHM,2012,0.769569993019104
Cambodia,KHM,2013,1.00457000732422
Cameroon,CMR,2005,1.09513998031616
Cameroon,CMR,2006,1.14225995540619
Cameroon,CMR,2007,1.24515998363495
Cameroon,CMR,2008,0.962589979171753
Cameroon,CMR,2009,1.1832400560379
Cameroon,CMR,2010,1.13183999061584
Cameroon,CMR,2011,0.998319983482361
Cameroon,CMR,2012,1.07325994968414
Cameroon,CMR,2013,1.02597999572754
Cape Verde,CPV,2002,3.45097994804382
Cape Verde,CPV,2005,3.41736006736755
Cape Verde,CPV,2006,3.17845988273621
Cape Verde,CPV,2007,2.2182400226593
Cape Verde,CPV,2008,2.00434994697571
Cape Verde,CPV,2009,2.34031009674072
Cape Verde,CPV,2011,2.17570996284485
Cape Verde,CPV,2013,1.93412005901337
Central African Republic,CAF,2006,0.742290019989014
Central African Republic,CAF,2007,0.629719972610474
Central African Republic,CAF,2009,0.631569981575012
Central African Republic,CAF,2010,0.641589999198914
Chad,TCD,1998,0.948189973831177
Chad,TCD,2004,0.725709974765778
Chad,TCD,2005,0.775950014591217
Chad,TCD,2009,1.36951005458832
Chad,TCD,2010,1.02305996417999
Chad,TCD,2011,0.918210029602051
Chile,CHL,1998,1.42586994171143
Chile,CHL,2000,1.59423995018005
Chile,CHL,2002,1.68567001819611
Chile,CHL,2003,1.53262996673584
Chile,CHL,2004,1.31781005859375
Chile,CHL,2005,1.20642995834351
Chile,CHL,2006,1.08529996871948
Chile,CHL,2007,1.1428200006485
Chile,CHL,2008,1.38067996501923
Chile,CHL,2009,1.54326999187469
Chile,CHL,2010,1.32692003250122
Chile,CHL,2011,1.33236002922058
Chile,CHL,2012,1.46711003780365
Chile,CHL,2013,1.33106005191803
China,CHN,1998,0.667590022087097
China,CHN,1999,0.618009984493256
Colombia,COL,1998,1.76446998119354
Colombia,COL,1999,2.00554990768433
Colombia,COL,2000,1.56448996067047
Colombia,COL,2001,1.65303003787994
Colombia,COL,2002,1.70220994949341
Colombia,COL,2004,1.97133004665375
Colombia,COL,2005,1.89511001110077
Colombia,COL,2006,1.57668995857239
Colombia,COL,2007,1.48661994934082
Colombia,COL,2008,1.45844995975494
Colombia,COL,2009,1.82335996627808
Colombia,COL,2010,1.73362994194031
Colombia,COL,2011,1.58666002750397
Colombia,COL,2012,1.53327000141144
Colombia,COL,2013,1.68825995922089
Colombia,COL,2014,1.66279995441437
Comoros,COM,1998,1.57351005077362
Comoros,COM,2002,1.75460004806519
Comoros,COM,2008,4.81102991104126
Comoros,COM,2011,2.86803007125854
Comoros,COM,2012,2.87067008018494
Congo,COG,2002,1.13445997238159
Congo,COG,2005,0.500329971313477
Congo,COG,2010,1.92833995819092
Costa Rica,CRI,1999,2.30029010772705
Costa Rica,CRI,2000,2.04436993598938
Costa Rica,CRI,2001,2.01218008995056
Costa Rica,CRI,2002,2.14987993240356
Costa Rica,CRI,2004,2.22498989105225
Costa Rica,CRI,2006,1.83480000495911
Costa Rica,CRI,2007,1.84492003917694
Costa Rica,CRI,2008,1.99443995952606
Costa Rica,CRI,2009,2.59404993057251
Costa Rica,CRI,2010,2.85442996025085
Costa Rica,CRI,2011,2.60225009918213
Costa Rica,CRI,2012,2.68357992172241
Costa Rica,CRI,2013,2.53254008293152
Costa Rica,CRI,2014,2.5458300113678
Cote d'Ivoire,CIV,1998,1.63534998893738
Cote d'Ivoire,CIV,1999,1.70651996135712
Cote d'Ivoire,CIV,2000,1.5391800403595
Cote d'Ivoire,CIV,2001,1.54872000217438
Cote d'Ivoire,CIV,2012,2.07497000694275
Cote d'Ivoire,CIV,2014,1.84508001804352
Cuba,CUB,1998,2.17701005935669
Cuba,CUB,1999,2.42540001869202
Cuba,CUB,2000,2.65822005271912
Cuba,CUB,2001,2.60429000854492
Cuba,CUB,2002,3.23158001899719
Cuba,CUB,2004,3.26132988929749
Cuba,CUB,2005,3.2003800868988
Cuba,CUB,2006,2.6550600528717
Cuba,CUB,2007,3.57695007324219
Cuba,CUB,2008,3.58206009864807
Cuba,CUB,2009,3.34247994422913
Cuba,CUB,2010,3.72729992866516
Curacao,CUW,2013,1.35401999950409
Cyprus,CYP,1999,1.49837005138397
Cyprus,CYP,2000,1.38338005542755
Cyprus,CYP,2001,1.60476994514465
Cyprus,CYP,2002,1.66522002220154
Cyprus,CYP,2003,1.87732005119324
Cyprus,CYP,2004,1.69804000854492
Cyprus,CYP,2005,1.73188996315002
Cyprus,CYP,2006,1.7773300409317
Cyprus,CYP,2007,1.78675997257233
Cyprus,CYP,2008,1.89158999919891
Cyprus,CYP,2009,2.02326989173889
Cyprus,CYP,2010,2.06573009490967
Cyprus,CYP,2011,2.08123993873596
Czech Republic,CZE,1998,0.622770011425018
Czech Republic,CZE,1999,0.661819994449615
Czech Republic,CZE,2000,0.665950000286102
Czech Republic,CZE,2001,0.630010008811951
Czech Republic,CZE,2002,0.640649974346161
Czech Republic,CZE,2003,0.652040004730225
Czech Republic,CZE,2004,0.610509991645813
Czech Republic,CZE,2005,0.566150009632111
Czech Republic,CZE,2006,0.572960019111633
Czech Republic,CZE,2007,0.538150012493134
Czech Republic,CZE,2008,0.551900029182434
Czech Republic,CZE,2009,0.665170013904572
Czech Republic,CZE,2010,0.658959984779358
Czech Republic,CZE,2011,0.68927001953125
Czech Republic,CZE,2012,0.716419994831085
Democratic Republic of Congo,COD,2010,0.534189999103546
Democratic Republic of Congo,COD,2013,1.38261997699738
Denmark,DNK,1998,1.79091000556946
Denmark,DNK,1999,1.67980003356934
Denmark,DNK,2000,1.69936001300812
Denmark,DNK,2001,1.83255004882813
Denmark,DNK,2002,1.85198998451233
Denmark,DNK,2003,1.91132998466492
Denmark,DNK,2004,1.88138997554779
Denmark,DNK,2005,1.88004994392395
Denmark,DNK,2006,1.83074998855591
Denmark,DNK,2007,1.81330001354218
Denmark,DNK,2008,1.8045699596405
Denmark,DNK,2009,2.06738996505737
Denmark,DNK,2010,2.04102993011475
Denmark,DNK,2011,1.84619998931885
Djibouti,DJI,1998,2.28652000427246
Djibouti,DJI,2006,1.45489001274109
Djibouti,DJI,2007,1.59836995601654
Djibouti,DJI,2008,1.59657001495361
Djibouti,DJI,2010,1.53056001663208
Dominica,DMA,1998,3.38339996337891
Dominica,DMA,2007,1.6745400428772
Dominica,DMA,2008,2.06086993217468
Dominica,DMA,2009,1.58120000362396
Dominica,DMA,2010,1.7288099527359
Dominica,DMA,2011,1.70695996284485
Dominica,DMA,2012,1.54972004890442
Dominican Republic,DOM,2001,1.12313997745514
Dominican Republic,DOM,2002,1.23719000816345
Dominican Republic,DOM,2004,0.638790011405945
Dominican Republic,DOM,2005,0.968850016593933
Dominican Republic,DOM,2007,1.20364999771118
Dominican Republic,DOM,2008,0.930040001869202
Dominican Republic,DOM,2009,0.940689980983734
Dominican Republic,DOM,2010,0.961019992828369
Dominican Republic,DOM,2011,0.913770020008087
Dominican Republic,DOM,2012,1.1224000453949
Dominican Republic,DOM,2013,1.89718997478485
Dominican Republic,DOM,2014,1.90251994132996
Ecuador,ECU,1999,0.591669976711273
Ecuador,ECU,2000,0.440670013427734
Ecuador,ECU,2010,1.22772002220154
Ecuador,ECU,2011,1.15324997901917
Ecuador,ECU,2012,1.05880999565125
Ecuador,ECU,2013,0.995280027389526
Ecuador,ECU,2014,1.86100995540619
El Salvador,SLV,1998,1.34996998310089
El Salvador,SLV,1999,1.36001002788544
El Salvador,SLV,2000,1.36102998256683
El Salvador,SLV,2002,1.68174004554749
El Salvador,SLV,2003,1.57769000530243
El Salvador,SLV,2005,1.39356005191803
El Salvador,SLV,2006,1.45861005783081
El Salvador,SLV,2007,1.41717994213104
El Salvador,SLV,2008,1.4215099811554
El Salvador,SLV,2009,1.91067004203796
El Salvador,SLV,2010,1.48772001266479
Equatorial Guinea,GNQ,1998,0.764310002326965
Eritrea,ERI,2001,1.07383000850677
Eritrea,ERI,2002,0.916670024394989
Eritrea,ERI,2004,0.726360023021698
Estonia,EST,1998,1.58698999881744
Estonia,EST,1999,1.91508996486664
Estonia,EST,2001,1.5406299829483
Estonia,EST,2002,1.53217995166779
Estonia,EST,2003,1.39262998104095
Estonia,EST,2004,1.26514005661011
Estonia,EST,2005,1.22554004192352
Estonia,EST,2007,1.08831000328064
Estonia,EST,2008,1.40780997276306
Estonia,EST,2009,1.49520003795624
Estonia,EST,2010,1.35845005512238
Estonia,EST,2011,1.22651994228363
Estonia,EST,2012,1.26806998252869
Ethiopia,ETH,2009,1.50144994258881
Ethiopia,ETH,2010,1.27681994438171
Ethiopia,ETH,2011,1.45451998710632
Ethiopia,ETH,2012,1.3615700006485
Ethiopia,ETH,2013,1.08171999454498
Fiji,FJI,2004,2.40955996513367
Fiji,FJI,2011,1.85336995124817
Fiji,FJI,2013,1.49681997299194
Finland,FIN,1999,1.24600005149841
Finland,FIN,2000,1.22353005409241
Finland,FIN,2001,1.26459002494812
Finland,FIN,2002,1.30130004882813
Finland,FIN,2003,1.33384001255035
Finland,FIN,2004,1.31936001777649
Finland,FIN,2005,1.25308001041412
Finland,FIN,2006,1.22444999217987
Finland,FIN,2007,1.15855002403259
Finland,FIN,2008,1.19081997871399
Finland,FIN,2009,1.28358995914459
Finland,FIN,2010,1.30204999446869
Finland,FIN,2011,1.29711997509003
Finland,FIN,2012,1.32326996326447
Finland,FIN,2013,1.33651995658875
France,FRA,1999,1.13449001312256
France,FRA,2000,1.11268997192383
France,FRA,2001,1.09072005748749
France,FRA,2002,1.09019005298615
France,FRA,2003,1.07641994953156
France,FRA,2004,1.07892000675201
France,FRA,2005,1.11136996746063
France,FRA,2006,1.09354996681213
France,FRA,2007,1.14122998714447
France,FRA,2008,1.12509000301361
France,FRA,2009,1.15302002429962
France,FRA,2010,1.15930998325348
France,FRA,2011,1.14303004741669
France,FRA,2012,1.16949999332428
Gabon,GAB,1998,1.3085800409317
Gambia,GMB,2001,0.669730007648468
Gambia,GMB,2002,0.815609991550446
Gambia,GMB,2003,0.742449998855591
Gambia,GMB,2004,0.632759988307953
Gambia,GMB,2005,0.699989974498749
Gambia,GMB,2006,0.767210006713867
Gambia,GMB,2007,0.819679975509644
Gambia,GMB,2008,2.1565101146698
Gambia,GMB,2009,1.85539996623993
Gambia,GMB,2010,2.71334004402161
Gambia,GMB,2011,2.48821997642517
Gambia,GMB,2012,2.45190000534058
Gambia,GMB,2013,1.43393003940582
Georgia,GEO,2008,1.05104005336761
Georgia,GEO,2011,0.842429995536804
Georgia,GEO,2012,0.681060016155243
Germany,DEU,1998,0.776950001716614
Germany,DEU,2006,0.630680024623871
Germany,DEU,2007,0.60904997587204
Germany,DEU,2008,0.595160007476807
Germany,DEU,2009,0.661260008811951
Germany,DEU,2010,0.662509977817535
Germany,DEU,2011,0.635160028934479
Germany,DEU,2012,0.632759988307953
Ghana,GHA,2001,2.22397994995117
Ghana,GHA,2004,2.99180006980896
Ghana,GHA,2005,2.92828989028931
Ghana,GHA,2006,1.94075000286102
Ghana,GHA,2007,1.88931000232697
Ghana,GHA,2008,1.99076998233795
Ghana,GHA,2009,1.76191997528076
Ghana,GHA,2010,1.71019005775452
Ghana,GHA,2011,3.70317006111145
Ghana,GHA,2012,2.55829000473022
Ghana,GHA,2013,1.51216995716095
Grenada,GRD,2003,1.42870998382568
Guatemala,GTM,2000,1.1316100358963
Guatemala,GTM,2001,1.43606996536255
Guatemala,GTM,2002,1.29920995235443
Guatemala,GTM,2004,0.992860019207001
Guatemala,GTM,2005,1.06494998931885
Guatemala,GTM,2006,2.00380992889404
Guatemala,GTM,2007,1.88390004634857
Guatemala,GTM,2008,1.9040299654007
Guatemala,GTM,2010,1.55720996856689
Guatemala,GTM,2011,1.64760994911194
Guatemala,GTM,2012,1.64309000968933
Guatemala,GTM,2013,1.49820005893707
Guinea,GIN,2008,0.99481999874115
Guinea,GIN,2009,1.34100997447968
Guinea,GIN,2010,1.43630003929138
Guinea,GIN,2011,1.07631003856659
Guinea,GIN,2012,1.07662999629974
Guinea,GIN,2013,1.42123997211456
Guinea-Bissau,GNB,2010,0.870970010757446
Guinea-Bissau,GNB,2011,0.936429977416992
Guinea-Bissau,GNB,2012,1.1612800359726
Guinea-Bissau,GNB,2013,1.51760005950928
Guyana,GUY,2002,3.62221002578735
Guyana,GUY,2003,2.6966700553894
Guyana,GUY,2004,1.77632999420166
Guyana,GUY,2006,1.46591997146606
Guyana,GUY,2007,1.27359998226166
Guyana,GUY,2009,1.09996998310089
Guyana,GUY,2010,1.06388998031616
Guyana,GUY,2011,1.02401995658875
Guyana,GUY,2012,0.975950002670288
Honduras,HND,2010,3.05496001243591
Honduras,HND,2013,2.87286996841431
Hong Kong,HKG,2001,0.910650014877319
Hong Kong,HKG,2002,0.935029983520508
Hong Kong,HKG,2003,1.00189995765686
Hong Kong,HKG,2004,1.04728996753693
Hong Kong,HKG,2005,0.955389976501465
Hong Kong,HKG,2006,0.853320002555847
Hong Kong,HKG,2007,0.741810023784637
Hong Kong,HKG,2008,0.697679996490479
Hong Kong,HKG,2009,0.715139985084534
Hong Kong,HKG,2010,0.734669983386993
Hong Kong,HKG,2011,0.700940012931824
Hong Kong,HKG,2012,0.654560029506683
Hong Kong,HKG,2013,0.659730017185211
Hong Kong,HKG,2014,0.673460006713867
Hungary,HUN,1998,0.870549976825714
Hungary,HUN,1999,0.865260004997253
Hungary,HUN,2000,0.929960012435913
Hungary,HUN,2001,0.942130029201508
Hungary,HUN,2002,0.939059972763062
Hungary,HUN,2003,0.982720017433167
Hungary,HUN,2004,1.01568996906281
Hungary,HUN,2005,1.07523000240326
Hungary,HUN,2006,1.04007995128632
Hungary,HUN,2007,0.986450016498566
Hungary,HUN,2008,0.846029996871948
Hungary,HUN,2009,0.843349993228912
Hungary,HUN,2010,0.856299996376038
Hungary,HUN,2011,0.74752002954483
Hungary,HUN,2012,0.731360018253326
Iceland,ISL,1999,2.35359001159668
Iceland,ISL,2000,2.40725994110107
Iceland,ISL,2001,2.34460997581482
Iceland,ISL,2002,2.68842005729675
Iceland,ISL,2003,2.55590009689331
Iceland,ISL,2004,2.51055002212524
Iceland,ISL,2005,2.5862500667572
Iceland,ISL,2006,2.55458998680115
Iceland,ISL,2007,2.42097997665405
Iceland,ISL,2008,2.42385005950928
Iceland,ISL,2009,2.39904999732971
Iceland,ISL,2010,2.33558011054993
Iceland,ISL,2011,2.37284994125366
India,IND,1999,1.30379998683929
India,IND,2000,1.59627997875214
India,IND,2001,1.45378005504608
India,IND,2003,1.28113996982574
India,IND,2004,1.19848001003265
India,IND,2005,1.11530005931854
India,IND,2006,1.0936199426651
India,IND,2009,0.856670022010803
India,IND,2010,0.836759984493256
India,IND,2011,0.988420009613037
India,IND,2012,1.04105997085571
Indonesia,IDN,2007,1.47289001941681
Indonesia,IDN,2008,1.42317998409271
Indonesia,IDN,2009,1.69015002250671
Indonesia,IDN,2010,1.24994003772736
Indonesia,IDN,2011,1.36355996131897
Indonesia,IDN,2012,1.42299997806549
Indonesia,IDN,2013,1.42945003509521
Indonesia,IDN,2014,1.43976998329163
Iran,IRN,2001,1.05006003379822
Iran,IRN,2002,1.16367995738983
Iran,IRN,2003,1.05587005615234
Iran,IRN,2004,0.998009979724884
Iran,IRN,2005,0.941699981689453
Iran,IRN,2006,1.25466001033783
Iran,IRN,2007,1.35713005065918
Iran,IRN,2008,1.13059997558594
Iran,IRN,2009,1.01357996463776
Iran,IRN,2010,0.955420017242432
Iran,IRN,2011,0.995649993419647
Iran,IRN,2012,0.819239974021912
Iran,IRN,2013,0.825890004634857
Iran,IRN,2014,0.790840029716492
Ireland,IRL,1998,1.40375995635986
Ireland,IRL,1999,1.30904996395111
Ireland,IRL,2000,1.27602994441986
Ireland,IRL,2001,1.30768001079559
Ireland,IRL,2002,1.33550000190735
Ireland,IRL,2003,1.43518996238708
Ireland,IRL,2004,1.50322997570038
Ireland,IRL,2005,1.52339994907379
Ireland,IRL,2006,1.54021000862122
Ireland,IRL,2007,1.65349996089935
Ireland,IRL,2008,1.95991003513336
Ireland,IRL,2009,2.20223999023438
Ireland,IRL,2010,2.15439009666443
Ireland,IRL,2011,2.05503010749817
Ireland,IRL,2012,2.13069009780884
Israel,ISR,1998,2.41096997261047
Israel,ISR,1999,2.28471994400024
Israel,ISR,2000,2.16664004325867
Israel,ISR,2001,2.32313990592957
Israel,ISR,2002,2.36947989463806
Israel,ISR,2003,2.28296995162964
Israel,ISR,2004,2.19392991065979
Israel,ISR,2005,2.15549993515015
Israel,ISR,2006,2.14125990867615
Israel,ISR,2007,2.07831001281738
Israel,ISR,2008,2.08913993835449
Israel,ISR,2009,2.0904700756073
Israel,ISR,2010,2.27591991424561
Israel,ISR,2011,2.36980009078979
Israel,ISR,2012,2.43527007102966
Israel,ISR,2013,2.33143997192383
Italy,ITA,1998,1.09917998313904
Italy,ITA,1999,1.16738998889923
Italy,ITA,2000,1.10944998264313
Italy,ITA,2001,1.12374997138977
Italy,ITA,2002,1.14769005775452
Italy,ITA,2003,1.16797995567322
Italy,ITA,2004,1.13392996788025
Italy,ITA,2005,1.04401004314423
Italy,ITA,2006,1.13645005226135
Italy,ITA,2007,1.03262996673584
Italy,ITA,2008,1.11037003993988
Italy,ITA,2009,1.1416300535202
Italy,ITA,2010,1.08633995056152
Italy,ITA,2011,1.02381002902985
Italy,ITA,2012,0.97843998670578
Jamaica,JAM,2003,1.55078995227814
Jamaica,JAM,2004,1.27684998512268
Jamaica,JAM,2005,1.58010005950928
Jamaica,JAM,2007,2.0254499912262
Jamaica,JAM,2008,1.8714200258255
Jamaica,JAM,2009,2.05832004547119
Jamaica,JAM,2010,2.31384992599487
Jamaica,JAM,2011,2.22273993492126
Jamaica,JAM,2012,2.27938008308411
Jamaica,JAM,2013,2.27152991294861
Jamaica,JAM,2014,2.19440007209778
Japan,JPN,1998,1.23957002162933
Japan,JPN,1999,1.264279961586
Japan,JPN,2000,1.2676500082016
Japan,JPN,2001,1.25735998153687
Japan,JPN,2002,1.27553999423981
Japan,JPN,2003,1.28813004493713
Japan,JPN,2004,1.26930999755859
Japan,JPN,2005,1.24396002292633
Japan,JPN,2006,1.23605000972748
Japan,JPN,2007,1.22800004482269
Japan,JPN,2008,1.2108199596405
Japan,JPN,2010,1.32003998756409
Japan,JPN,2011,1.28881001472473
Japan,JPN,2012,1.28892004489899
Japan,JPN,2013,1.27534997463226
Japan,JPN,2014,1.24485003948212
Jordan,JOR,1998,2.019779920578
Jordan,JOR,1999,2.06055998802185
Jordan,JOR,2001,2.18221998214722
Jordan,JOR,2002,2.18519997596741
Jordan,JOR,2003,2.40149998664856
Jordan,JOR,2004,2.19979000091553
Jordan,JOR,2005,2.29625010490417
Jordan,JOR,2006,1.86853003501892
Jordan,JOR,2007,1.79319000244141
Jordan,JOR,2008,1.74129998683929
Jordan,JOR,2009,1.7024199962616
Jordan,JOR,2011,1.65349996089935
Kenya,KEN,2000,3.53149008750916
Kenya,KEN,2001,3.44050002098084
Kenya,KEN,2003,4.08832979202271
Kenya,KEN,2004,4.22208976745605
Kenya,KEN,2006,3.81456995010376
Kiribati,KIR,1999,4.57568979263306
Kiribati,KIR,2000,4.34638977050781
Kiribati,KIR,2001,4.11605978012085
Kuwait,KWT,2001,1.23675000667572
Kuwait,KWT,2002,1.23008000850677
