Entity,Code,Year,"Rate of violent deaths in conflicts and one-sided violence (per 100,000)"
Civil conflicts with foreign state intervention,,1955,0
Civil conflicts with foreign state intervention,,1956,0
Civil conflicts with foreign state intervention,,1957,0
Civil conflicts with foreign state intervention,,1958,0.0057051508
Civil conflicts with foreign state intervention,,1959,0.0008436779
Civil conflicts with foreign state intervention,,1960,0.00043069976
Civil conflicts with foreign state intervention,,1961,0
Civil conflicts with foreign state intervention,,1962,0.69926983
Civil conflicts with foreign state intervention,,1963,1.7259455
Civil conflicts with foreign state intervention,,1964,1.3920221
Civil conflicts with foreign state intervention,,1965,0
Civil conflicts with foreign state intervention,,1966,0
Civil conflicts with foreign state intervention,,1967,0
Civil conflicts with foreign state intervention,,1968,0
Civil conflicts with foreign state intervention,,1969,0.041880719
Civil conflicts with foreign state intervention,,1970,0.041032042
Civil conflicts with foreign state intervention,,1971,1.0360231
Civil conflicts with foreign state intervention,,1972,1.0217564
Civil conflicts with foreign state intervention,,1973,0.96323979
Civil conflicts with foreign state intervention,,1974,0.94486988
Civil conflicts with foreign state intervention,,1975,1.6280596
Civil conflicts with foreign state intervention,,1976,0.3420248
Civil conflicts with foreign state intervention,,1977,0.30510607
Civil conflicts with foreign state intervention,,1978,1.093255
Civil conflicts with foreign state intervention,,1979,0.9239856
Civil conflicts with foreign state intervention,,1980,1.4465387
Civil conflicts with foreign state intervention,,1981,1.3106045
Civil conflicts with foreign state intervention,,1982,1.0405082
Civil conflicts with foreign state intervention,,1983,1.6099255
Civil conflicts with foreign state intervention,,1984,2.1060052
Civil conflicts with foreign state intervention,,1985,2.1401985
Civil conflicts with foreign state intervention,,1986,2.0308754
Civil conflicts with foreign state intervention,,1987,1.5772364
Civil conflicts with foreign state intervention,,1988,0.76235229
Civil conflicts with foreign state intervention,,1989,0.20429288
Civil conflicts with foreign state intervention,,1990,0.064090639
Civil conflicts with foreign state intervention,,1991,0.010873736
Civil conflicts with foreign state intervention,,1992,0.11903122
Civil conflicts with foreign state intervention,,1993,0.15238655
Civil conflicts with foreign state intervention,,1994,0.017405713
Civil conflicts with foreign state intervention,,1995,0.032083008
Civil conflicts with foreign state intervention,,1996,0.080200955
Civil conflicts with foreign state intervention,,1997,0.25267404
Civil conflicts with foreign state intervention,,1998,0.17471877
Civil conflicts with foreign state intervention,,1999,0.17577516
Civil conflicts with foreign state intervention,,2000,0.051365986
Civil conflicts with foreign state intervention,,2001,0.0922262
Civil conflicts with foreign state intervention,,2002,0.023972105
Civil conflicts with foreign state intervention,,2003,0.021750528
Civil conflicts with foreign state intervention,,2004,0.087486617
Civil conflicts with foreign state intervention,,2005,0.077673048
Civil conflicts with foreign state intervention,,2006,0.10816306
Civil conflicts with foreign state intervention,,2007,0.1612636
Civil conflicts with foreign state intervention,,2008,0.15157311
Civil conflicts with foreign state intervention,,2009,0.16782348
Civil conflicts with foreign state intervention,,2010,0.15931368
Civil conflicts with foreign state intervention,,2011,0.16856238
Civil conflicts with foreign state intervention,,2012,0.20069741
Civil conflicts with foreign state intervention,,2013,0.18140514
Civil conflicts with foreign state intervention,,2014,0.54495138
Civil conflicts with foreign state intervention,,2015,1.2015693
Civil conflicts with foreign state intervention,,2016,1.0751081
Colonial or imperial conflicts,,1946,1.7626684
Colonial or imperial conflicts,,1947,1.7419674
Colonial or imperial conflicts,,1948,1.7555102
Colonial or imperial conflicts,,1949,1.7433223
Colonial or imperial conflicts,,1950,1.7293236
Colonial or imperial conflicts,,1951,1.7132688
Colonial or imperial conflicts,,1952,1.7685276
Colonial or imperial conflicts,,1953,1.7219783
Colonial or imperial conflicts,,1954,2.4615614
Colonial or imperial conflicts,,1955,0.86400592
Colonial or imperial conflicts,,1956,0.84264076
Colonial or imperial conflicts,,1957,0.85573423
Colonial or imperial conflicts,,1958,0.83106172
Colonial or imperial conflicts,,1959,0.81603903
Colonial or imperial conflicts,,1960,0.67192477
Colonial or imperial conflicts,,1961,0.84300429
Colonial or imperial conflicts,,1962,0.82870746
Colonial or imperial conflicts,,1963,0.2193436
Colonial or imperial conflicts,,1964,0.21587427
Colonial or imperial conflicts,,1965,0.2138754
Colonial or imperial conflicts,,1966,0.21178609
Colonial or imperial conflicts,,1967,0.21110302
Colonial or imperial conflicts,,1968,0.19971891
Colonial or imperial conflicts,,1969,0.19421455
Colonial or imperial conflicts,,1970,0.19027898
Colonial or imperial conflicts,,1971,0.18646872
Colonial or imperial conflicts,,1972,0.18277884
Colonial or imperial conflicts,,1973,0.1792199
Colonial or imperial conflicts,,1974,0.14157996
Colonial or imperial conflicts,,1975,0
Colonial or imperial conflicts,,1976,0
Colonial or imperial conflicts,,1977,0
Colonial or imperial conflicts,,1978,0
Colonial or imperial conflicts,,1979,0
Colonial or imperial conflicts,,1980,0
Colonial or imperial conflicts,,1981,0
Colonial or imperial conflicts,,1982,0
Colonial or imperial conflicts,,1983,0
Colonial or imperial conflicts,,1984,0
Colonial or imperial conflicts,,1985,0
Colonial or imperial conflicts,,1986,0
Colonial or imperial conflicts,,1987,0
Colonial or imperial conflicts,,1988,0
Colonial or imperial conflicts,,1989,0
Colonial or imperial conflicts,,1990,0
Colonial or imperial conflicts,,1991,0
Colonial or imperial conflicts,,1992,0
Colonial or imperial conflicts,,1993,0
Colonial or imperial conflicts,,1994,0
Colonial or imperial conflicts,,1995,0
Colonial or imperial conflicts,,1996,0
Colonial or imperial conflicts,,1997,0
Colonial or imperial conflicts,,1998,0
Colonial or imperial conflicts,,1999,0
Colonial or imperial conflicts,,2000,0
Colonial or imperial conflicts,,2001,0
Colonial or imperial conflicts,,2002,0
Colonial or imperial conflicts,,2003,0
Colonial or imperial conflicts,,2004,0
Colonial or imperial conflicts,,2005,0
Colonial or imperial conflicts,,2006,0
Colonial or imperial conflicts,,2007,0
Colonial or imperial conflicts,,2008,0
Colonial or imperial conflicts,,2009,0
Colonial or imperial conflicts,,2010,0
Colonial or imperial conflicts,,2011,0
Colonial or imperial conflicts,,2012,0
Colonial or imperial conflicts,,2013,0
Colonial or imperial conflicts,,2014,0
Colonial or imperial conflicts,,2015,0
Colonial or imperial conflicts,,2016,0
Conflicts between states,,1946,0
Conflicts between states,,1947,0
Conflicts between states,,1948,1.2166504
Conflicts between states,,1949,0.05331545
Conflicts between states,,1950,19.701807
Conflicts between states,,1951,13.544399
Conflicts between states,,1952,3.8040972
Conflicts between states,,1953,1.8674722
Conflicts between states,,1954,0.036891144
Conflicts between states,,1955,0
Conflicts between states,,1956,0.18926021
Conflicts between states,,1957,0.0013997452
Conflicts between states,,1958,0
Conflicts between states,,1959,0
Conflicts between states,,1960,0
Conflicts between states,,1961,0.045332253
Conflicts between states,,1962,0.067176111
Conflicts between states,,1963,0.021445956
Conflicts between states,,1964,0.005680094
Conflicts between states,,1965,2.2757595
Conflicts between states,,1966,2.3047848
Conflicts between states,,1967,2.6841025
Conflicts between states,,1968,5.224299
Conflicts between states,,1969,4.1062784
Conflicts between states,,1970,4.0435166
Conflicts between states,,1971,4.0139875
Conflicts between states,,1972,6.2783628
Conflicts between states,,1973,4.2354159
Conflicts between states,,1974,4.7211881
Conflicts between states,,1975,0.72334677
Conflicts between states,,1976,0
Conflicts between states,,1977,0
Conflicts between states,,1978,0.0012831632
Conflicts between states,,1979,1.0315921
Conflicts between states,,1980,0.80637306
Conflicts between states,,1981,2.1145921
Conflicts between states,,1982,2.0985851
Conflicts between states,,1983,2.0528023
Conflicts between states,,1984,1.3628759
Conflicts between states,,1985,1.3281703
Conflicts between states,,1986,1.3041131
Conflicts between states,,1987,1.4591348
Conflicts between states,,1988,1.2649629
Conflicts between states,,1989,0.016631609
Conflicts between states,,1990,0.020396756
Conflicts between states,,1991,0.40538472
Conflicts between states,,1992,0.00045577894
Conflicts between states,,1993,0
Conflicts between states,,1994,0
Conflicts between states,,1995,0.0017262053
Conflicts between states,,1996,0.0013928553
Conflicts between states,,1997,0.00093312777
Conflicts between states,,1998,0.017163765
Conflicts between states,,1999,0.7947821
Conflicts between states,,2000,0.81651843
Conflicts between states,,2001,0.022919549
Conflicts between states,,2002,0.00039794331
Conflicts between states,,2003,0.12828645
Conflicts between states,,2004,0
Conflicts between states,,2005,0
Conflicts between states,,2006,0
Conflicts between states,,2007,0
Conflicts between states,,2008,0.0005174657
Conflicts between states,,2009,0
Conflicts between states,,2010,0
Conflicts between states,,2011,0.00041349255
Conflicts between states,,2012,0.0051708343
Conflicts between states,,2013,0
Conflicts between states,,2014,0.00059181487
Conflicts between states,,2015,0.00039458615
Conflicts between states,,2016,0.0012362043
Non-state conflicts,,1989,0.079881541
Non-state conflicts,,1990,0.098895073
Non-state conflicts,,1991,0.071040504
Non-state conflicts,,1992,0.16415334
Non-state conflicts,,1993,0.19279915
Non-state conflicts,,1994,0.091203108
Non-state conflicts,,1995,0.077382825
Non-state conflicts,,1996,0.070536941
Non-state conflicts,,1997,0.058023583
Non-state conflicts,,1998,0.058323313
Non-state conflicts,,1999,0.08809422
Non-state conflicts,,2000,0.10341751
Non-state conflicts,,2001,0.077526748
Non-state conflicts,,2002,0.096381865
Non-state conflicts,,2003,0.053625625
Non-state conflicts,,2004,0.06343323
Non-state conflicts,,2005,0.032563169
Non-state conflicts,,2006,0.046392392
Non-state conflicts,,2007,0.04189112
Non-state conflicts,,2008,0.062258519
Non-state conflicts,,2009,0.088118285
Non-state conflicts,,2010,0.084260195
Non-state conflicts,,2011,0.094618507
Non-state conflicts,,2012,0.063458957
Non-state conflicts,,2013,0.065346509
Non-state conflicts,,2014,0.1769664
Non-state conflicts,,2015,0.15096322
Non-state conflicts,,2016,0.12656313
One-sided violence,,1989,0.15441722
One-sided violence,,1990,0.18453132
One-sided violence,,1991,0.16273555
One-sided violence,,1992,0.19273978
One-sided violence,,1993,0.13974752
One-sided violence,,1994,9.0072441
One-sided violence,,1995,0.34768218
One-sided violence,,1996,0.67379808
One-sided violence,,1997,0.30179048
One-sided violence,,1998,0.2897746
One-sided violence,,1999,0.20554766
One-sided violence,,2000,0.11298232
One-sided violence,,2001,0.11508128
One-sided violence,,2002,0.19505589
One-sided violence,,2003,0.17379986
One-sided violence,,2004,0.12542233
One-sided violence,,2005,0.071721792
One-sided violence,,2006,0.063331224
One-sided violence,,2007,0.068232089
One-sided violence,,2008,0.059227649
One-sided violence,,2009,0.081501745
One-sided violence,,2010,0.047346756
One-sided violence,,2011,0.079704255
One-sided violence,,2012,0.05183515
One-sided violence,,2013,0.12664106
One-sided violence,,2014,0.19132136
One-sided violence,,2015,0.13648599
One-sided violence,,2016,0.084841236
State-based conflicts,,1946,12.391846
State-based conflicts,,1947,16.474419
State-based conflicts,,1948,19.381514
State-based conflicts,,1949,17.555738
State-based conflicts,,1950,21.642324
State-based conflicts,,1951,15.309499
State-based conflicts,,1952,5.6235428
State-based conflicts,,1953,3.6405761
State-based conflicts,,1954,2.5494361
State-based conflicts,,1955,1.0835602
State-based conflicts,,1956,1.4179376
State-based conflicts,,1957,1.0963854
State-based conflicts,,1958,1.5519729
State-based conflicts,,1959,1.7196856
State-based conflicts,,1960,1.1064346
State-based conflicts,,1961,1.4257221
State-based conflicts,,1962,1.6598403
State-based conflicts,,1963,1.9755325
State-based conflicts,,1964,1.7281609
State-based conflicts,,1965,2.736949
State-based conflicts,,1966,2.6025121
State-based conflicts,,1967,3.4459455
State-based conflicts,,1968,6.3651419
State-based conflicts,,1969,5.2296019
State-based conflicts,,1970,5.412591
State-based conflicts,,1971,5.3389349
State-based conflicts,,1972,7.5610752
State-based conflicts,,1973,5.4906206
State-based conflicts,,1974,5.9569206
State-based conflicts,,1975,2.8831196
State-based conflicts,,1976,2.2884815
State-based conflicts,,1977,0.79324251
State-based conflicts,,1978,2.1034079
State-based conflicts,,1979,3.3473787
State-based conflicts,,1980,2.5593336
State-based conflicts,,1981,4.0271525
State-based conflicts,,1982,4.732482
State-based conflicts,,1983,4.5882149
State-based conflicts,,1984,4.973752
State-based conflicts,,1985,4.4652486
State-based conflicts,,1986,4.3212581
State-based conflicts,,1987,3.6143832
State-based conflicts,,1988,2.7539325
State-based conflicts,,1989,1.0405295
State-based conflicts,,1990,1.5006777
State-based conflicts,,1991,1.3010693
State-based conflicts,,1992,0.66428864
State-based conflicts,,1993,0.66058707
State-based conflicts,,1994,0.58853954
State-based conflicts,,1995,0.49571735
State-based conflicts,,1996,0.48192793
State-based conflicts,,1997,0.67312443
State-based conflicts,,1998,0.66417915
State-based conflicts,,1999,1.3320427
State-based conflicts,,2000,1.2626207
State-based conflicts,,2001,0.35926634
State-based conflicts,,2002,0.31052312
State-based conflicts,,2003,0.34036785
State-based conflicts,,2004,0.2970725
State-based conflicts,,2005,0.18640611
State-based conflicts,,2006,0.29786885
State-based conflicts,,2007,0.28642809
State-based conflicts,,2008,0.42272514
State-based conflicts,,2009,0.50434679
State-based conflicts,,2010,0.30393702
State-based conflicts,,2011,0.32695854
State-based conflicts,,2012,0.87068677
State-based conflicts,,2013,1.2587941
State-based conflicts,,2014,1.44195
State-based conflicts,,2015,1.3317555
State-based conflicts,,2016,1.1748241
