Entity,Code,Year,Number of rhinos poached (rhinos poached)
Nepal,NPL,2016,0
Nepal,NPL,2017,1
Rwanda,RWA,2017,0
South Africa,ZAF,1990,14
South Africa,ZAF,1991,5
South Africa,ZAF,1992,18
South Africa,ZAF,1993,14
South Africa,ZAF,1994,27
South Africa,ZAF,1995,14
South Africa,ZAF,1996,6
South Africa,ZAF,1997,6
South Africa,ZAF,1998,12
South Africa,ZAF,1999,13
South Africa,ZAF,2000,12
South Africa,ZAF,2001,9
South Africa,ZAF,2002,25
South Africa,ZAF,2003,22
South Africa,ZAF,2004,10
South Africa,ZAF,2005,11
South Africa,ZAF,2006,36
South Africa,ZAF,2007,13
South Africa,ZAF,2008,83
South Africa,ZAF,2009,122
South Africa,ZAF,2010,333
South Africa,ZAF,2011,448
South Africa,ZAF,2012,668
South Africa,ZAF,2013,1004
South Africa,ZAF,2014,1215
South Africa,ZAF,2015,1175
South Africa,ZAF,2016,1054
South Africa,ZAF,2017,1028
South Africa,ZAF,2018,778
Swaziland,SWZ,2006,0
Swaziland,SWZ,2007,0
Swaziland,SWZ,2008,0
Swaziland,SWZ,2009,0
Swaziland,SWZ,2010,0
Swaziland,SWZ,2011,2
Swaziland,SWZ,2012,0
Swaziland,SWZ,2013,0
Swaziland,SWZ,2014,1
Swaziland,SWZ,2015,0
Swaziland,SWZ,2016,0
Swaziland,SWZ,2017,0
Tanzania,TZA,2006,0
Tanzania,TZA,2007,0
Tanzania,TZA,2008,2
Tanzania,TZA,2009,0
Tanzania,TZA,2010,1
Tanzania,TZA,2011,2
Tanzania,TZA,2012,2
Tanzania,TZA,2013,0
Tanzania,TZA,2014,2
Tanzania,TZA,2015,2
Tanzania,TZA,2016,0
Tanzania,TZA,2017,2
Uganda,UGA,2006,0
Uganda,UGA,2007,0
Uganda,UGA,2008,0
Uganda,UGA,2009,0
Uganda,UGA,2010,0
Uganda,UGA,2011,0
Uganda,UGA,2012,0
Uganda,UGA,2013,0
Uganda,UGA,2014,0
Uganda,UGA,2015,0
Uganda,UGA,2016,0
Uganda,UGA,2017,0
Zambia,ZMB,2006,0
Zambia,ZMB,2007,1
Zambia,ZMB,2008,0
Zambia,ZMB,2009,0
Zambia,ZMB,2010,0
Zambia,ZMB,2011,0
Zambia,ZMB,2012,0
Zambia,ZMB,2013,0
Zambia,ZMB,2014,0
Zambia,ZMB,2015,0
Zambia,ZMB,2016,0
Zambia,ZMB,2017,0
Zimbabwe,ZWE,1980,0
Zimbabwe,ZWE,1981,0
Zimbabwe,ZWE,1982,0
Zimbabwe,ZWE,1983,0
Zimbabwe,ZWE,1984,19
Zimbabwe,ZWE,1985,71
Zimbabwe,ZWE,1986,159
Zimbabwe,ZWE,1987,184
Zimbabwe,ZWE,1988,141
Zimbabwe,ZWE,1989,126
Zimbabwe,ZWE,1990,172
Zimbabwe,ZWE,1991,153
Zimbabwe,ZWE,1992,105
Zimbabwe,ZWE,1993,4
Zimbabwe,ZWE,2006,21
Zimbabwe,ZWE,2007,38
Zimbabwe,ZWE,2008,164
Zimbabwe,ZWE,2009,39
Zimbabwe,ZWE,2010,52
Zimbabwe,ZWE,2011,42
Zimbabwe,ZWE,2012,31
Zimbabwe,ZWE,2013,38
Zimbabwe,ZWE,2014,20
Zimbabwe,ZWE,2015,50
Zimbabwe,ZWE,2016,35
Zimbabwe,ZWE,2017,36
