Entity,Code,Year,"Age-standardised death rates from air pollution (per 100,000)- IHME GBD SDG indicators (Percent)"
Belize,BLZ,2010,69.6
Belize,BLZ,2015,71.1
Benin,BEN,1990,261.9
Benin,BEN,1995,265.4
Benin,BEN,2000,272.5
Benin,BEN,2005,258.6
Benin,BEN,2010,255.2
Benin,BEN,2015,246.2
Bhutan,BTN,1990,224.7
Bhutan,BTN,1995,211.9
Bhutan,BTN,2000,180.5
Bhutan,BTN,2005,150.3
Bhutan,BTN,2010,129
Bhutan,BTN,2015,127.3
Bolivia,BOL,1990,166.3
Bolivia,BOL,1995,141.3
Bolivia,BOL,2000,121.5
Bolivia,BOL,2005,113.9
Bolivia,BOL,2010,91.9
Bolivia,BOL,2015,79.2
Bosnia and Herzegovina,BIH,1990,167.9
Bosnia and Herzegovina,BIH,1995,158.2
Bosnia and Herzegovina,BIH,2000,125.9
Bosnia and Herzegovina,BIH,2005,95.9
Bosnia and Herzegovina,BIH,2010,89
Bosnia and Herzegovina,BIH,2015,82.3
Botswana,BWA,1990,238.7
Botswana,BWA,1995,227.7
Botswana,BWA,2000,245.9
Botswana,BWA,2005,229.7
Botswana,BWA,2010,181.2
Botswana,BWA,2015,148.9
Brazil,BRA,1990,112.5
Brazil,BRA,1995,99.6
Brazil,BRA,2000,82.5
Brazil,BRA,2005,61
Brazil,BRA,2010,44.9
Brazil,BRA,2015,42
Brunei,BRN,1990,20.5
Brunei,BRN,1995,19.3
Brunei,BRN,2000,15.9
Brunei,BRN,2005,20.8
Brunei,BRN,2010,16.4
Brunei,BRN,2015,11.3
Bulgaria,BGR,1990,155.6
Bulgaria,BGR,1995,140
Bulgaria,BGR,2000,121.5
Bulgaria,BGR,2005,96.9
Bulgaria,BGR,2010,87.2
Bulgaria,BGR,2015,79.6
Burkina Faso,BFA,1990,254.4
Burkina Faso,BFA,1995,246.3
Burkina Faso,BFA,2000,247.1
Burkina Faso,BFA,2005,226.8
Burkina Faso,BFA,2010,216.4
Burkina Faso,BFA,2015,209.3
Burundi,BDI,1990,416.7
Burundi,BDI,1995,414.1
Burundi,BDI,2000,349.8
Burundi,BDI,2005,263.7
Burundi,BDI,2010,221
Burundi,BDI,2015,228.3
Cambodia,KHM,1990,266
Cambodia,KHM,1995,261.3
Cambodia,KHM,2000,247.4
Cambodia,KHM,2005,222.8
Cambodia,KHM,2010,191.3
Cambodia,KHM,2015,171.8
Cameroon,CMR,1990,260.9
Cameroon,CMR,1995,271.2
Cameroon,CMR,2000,295.7
Cameroon,CMR,2005,276.7
Cameroon,CMR,2010,250.8
Cameroon,CMR,2015,233.3
Canada,CAN,1990,25.2
Canada,CAN,1995,22.7
Canada,CAN,2000,19.7
Canada,CAN,2005,17.1
Canada,CAN,2010,13.3
Canada,CAN,2015,12.9
Cape Verde,CPV,1990,177.7
Cape Verde,CPV,1995,186.8
Cape Verde,CPV,2000,176.4
Cape Verde,CPV,2005,152.6
Cape Verde,CPV,2010,128.8
Cape Verde,CPV,2015,110.9
Central African Republic,CAF,1990,414.9
Central African Republic,CAF,1995,417.3
Central African Republic,CAF,2000,410.2
Central African Republic,CAF,2005,401.1
Central African Republic,CAF,2010,393.4
Central African Republic,CAF,2015,391.4
Chad,TCD,1990,241.7
Chad,TCD,1995,252.6
Chad,TCD,2000,289.9
Chad,TCD,2005,277.2
Chad,TCD,2010,274.5
Chad,TCD,2015,260.7
Chile,CHL,1990,75.1
Chile,CHL,1995,59.2
Chile,CHL,2000,44.6
Chile,CHL,2005,37.4
Chile,CHL,2010,33.2
Chile,CHL,2015,30.1
China,CHN,1990,273.3
China,CHN,1995,247.9
China,CHN,2000,221.9
China,CHN,2005,197.2
China,CHN,2010,151
China,CHN,2015,121
Colombia,COL,1990,82.5
Colombia,COL,1995,75.1
Colombia,COL,2000,66.3
Colombia,COL,2005,62.5
Colombia,COL,2010,53.4
Colombia,COL,2015,43.7
Comoros,COM,1990,269.3
Comoros,COM,1995,254.3
Comoros,COM,2000,212.7
Comoros,COM,2005,165.2
Comoros,COM,2010,151.5
Comoros,COM,2015,152.5
Congo,COG,1990,389.1
Congo,COG,1995,393.9
Congo,COG,2000,363.5
Congo,COG,2005,298.5
Congo,COG,2010,270.5
Congo,COG,2015,252.7
Costa Rica,CRI,1990,65.6
Costa Rica,CRI,1995,55.4
Costa Rica,CRI,2000,45.8
Costa Rica,CRI,2005,35
Costa Rica,CRI,2010,25
Costa Rica,CRI,2015,26.4
Cote d'Ivoire,CIV,1990,266.3
Cote d'Ivoire,CIV,1995,299.9
Cote d'Ivoire,CIV,2000,294.8
Cote d'Ivoire,CIV,2005,264
Cote d'Ivoire,CIV,2010,241.1
Cote d'Ivoire,CIV,2015,226.9
Croatia,HRV,1990,112.6
Croatia,HRV,1995,96.1
Croatia,HRV,2000,84.2
Croatia,HRV,2005,64.8
Croatia,HRV,2010,55.2
Croatia,HRV,2015,52.2
Cuba,CUB,1990,76.6
Cuba,CUB,1995,88
Cuba,CUB,2000,82
Cuba,CUB,2005,59.9
Cuba,CUB,2010,42.8
Cuba,CUB,2015,43.5
Cyprus,CYP,1990,49.7
Cyprus,CYP,1995,44.9
Cyprus,CYP,2000,38.4
Cyprus,CYP,2005,28.4
Cyprus,CYP,2010,24.6
Cyprus,CYP,2015,22.5
Czech Republic,CZE,1990,113
Czech Republic,CZE,1995,85.1
Czech Republic,CZE,2000,67.3
Czech Republic,CZE,2005,54.1
Czech Republic,CZE,2010,48.4
Czech Republic,CZE,2015,44.6
Denmark,DNK,1990,45.2
Denmark,DNK,1995,40.6
Denmark,DNK,2000,32.6
Denmark,DNK,2005,26.6
Denmark,DNK,2010,24
Denmark,DNK,2015,22.6
Djibouti,DJI,1990,145.5
Djibouti,DJI,1995,130
Djibouti,DJI,2000,138.9
Djibouti,DJI,2005,136
Djibouti,DJI,2010,133
Djibouti,DJI,2015,133.8
Dominica,DMA,1990,78.2
Dominica,DMA,1995,65.2
Dominica,DMA,2000,51.3
Dominica,DMA,2005,43.1
Dominica,DMA,2010,37.4
Dominica,DMA,2015,35.4
Dominican Republic,DOM,1990,75.6
Dominican Republic,DOM,1995,66.6
Dominican Republic,DOM,2000,63.1
Dominican Republic,DOM,2005,58.2
Dominican Republic,DOM,2010,56.4
Dominican Republic,DOM,2015,52.3
Ecuador,ECU,1990,77.7
Ecuador,ECU,1995,67
Ecuador,ECU,2000,55.8
Ecuador,ECU,2005,45.7
Ecuador,ECU,2010,34.6
Ecuador,ECU,2015,29.9
Egypt,EGY,1990,142.1
Egypt,EGY,1995,130.9
Egypt,EGY,2000,114.7
Egypt,EGY,2005,115.9
Egypt,EGY,2010,122
Egypt,EGY,2015,115
El Salvador,SLV,1990,127.3
El Salvador,SLV,1995,111.4
El Salvador,SLV,2000,90.3
El Salvador,SLV,2005,75.4
El Salvador,SLV,2010,60.1
El Salvador,SLV,2015,56.2
Equatorial Guinea,GNQ,1990,418.6
Equatorial Guinea,GNQ,1995,398.9
Equatorial Guinea,GNQ,2000,319.5
Equatorial Guinea,GNQ,2005,246.6
Equatorial Guinea,GNQ,2010,226.9
Equatorial Guinea,GNQ,2015,214.5
Eritrea,ERI,1990,316.4
Eritrea,ERI,1995,251.7
Eritrea,ERI,2000,220.5
Eritrea,ERI,2005,219.4
Eritrea,ERI,2010,229.5
Eritrea,ERI,2015,228.4
Estonia,EST,1990,113.5
Estonia,EST,1995,108.4
Estonia,EST,2000,81.4
Estonia,EST,2005,58.3
Estonia,EST,2010,35.7
Estonia,EST,2015,33
Ethiopia,ETH,1990,337.2
Ethiopia,ETH,1995,295.4
Ethiopia,ETH,2000,263.2
Ethiopia,ETH,2005,231.3
Ethiopia,ETH,2010,192.1
Ethiopia,ETH,2015,181.4
Fiji,FJI,1990,138.3
Fiji,FJI,1995,131.2
Fiji,FJI,2000,114
Fiji,FJI,2005,90.2
Fiji,FJI,2010,67.6
Fiji,FJI,2015,58.6
Finland,FIN,1990,34
Finland,FIN,1995,27.1
Finland,FIN,2000,22
Finland,FIN,2005,16.9
Finland,FIN,2010,15
Finland,FIN,2015,14.2
France,FRA,1990,27
France,FRA,1995,24
France,FRA,2000,22.1
France,FRA,2005,17.6
France,FRA,2010,15.5
France,FRA,2015,15.4
Gabon,GAB,1990,261.9
Gabon,GAB,1995,242.1
Gabon,GAB,2000,211.8
Gabon,GAB,2005,169.1
Gabon,GAB,2010,126.4
Gabon,GAB,2015,114.8
Gambia,GMB,1990,250.7
Gambia,GMB,1995,236
Gambia,GMB,2000,231.8
Gambia,GMB,2005,218.9
Gambia,GMB,2010,209
Gambia,GMB,2015,201.1
Georgia,GEO,1990,181.3
Georgia,GEO,1995,158.8
Georgia,GEO,2000,155.7
Georgia,GEO,2005,145.3
Georgia,GEO,2010,122.8
Georgia,GEO,2015,105.3
Germany,DEU,1990,49.7
Germany,DEU,1995,40.7
Germany,DEU,2000,34.7
Germany,DEU,2005,27.9
Germany,DEU,2010,24.8
Germany,DEU,2015,23.8
Ghana,GHA,1990,280.8
Ghana,GHA,1995,249.3
Ghana,GHA,2000,252.8
Ghana,GHA,2005,242.6
Ghana,GHA,2010,224.1
Ghana,GHA,2015,204.9
Greece,GRC,1990,40.3
Greece,GRC,1995,36.4
Greece,GRC,2000,34.7
Greece,GRC,2005,29.1
Greece,GRC,2010,27.8
Greece,GRC,2015,29.1
Grenada,GRD,1990,113.4
Grenada,GRD,1995,86.8
Grenada,GRD,2000,69
Grenada,GRD,2005,58.8
Grenada,GRD,2010,48.3
Grenada,GRD,2015,47.7
Guatemala,GTM,1990,170.1
Guatemala,GTM,1995,157.9
Guatemala,GTM,2000,144
Guatemala,GTM,2005,121.6
Guatemala,GTM,2010,100.3
Guatemala,GTM,2015,89.3
Guinea,GIN,1990,270.1
Guinea,GIN,1995,266.8
Guinea,GIN,2000,274.3
Guinea,GIN,2005,258.3
Guinea,GIN,2010,262.6
Guinea,GIN,2015,258.7
Guinea-Bissau,GNB,1990,297.5
Guinea-Bissau,GNB,1995,295.5
Guinea-Bissau,GNB,2000,302.2
Guinea-Bissau,GNB,2005,301.9
Guinea-Bissau,GNB,2010,304
Guinea-Bissau,GNB,2015,290.3
Guyana,GUY,1990,136.1
Guyana,GUY,1995,143
Guyana,GUY,2000,107.5
Guyana,GUY,2005,96
Guyana,GUY,2010,79.4
Guyana,GUY,2015,75.1
Haiti,HTI,1990,300.3
Haiti,HTI,1995,266.2
Haiti,HTI,2000,237.6
Haiti,HTI,2005,224.4
Haiti,HTI,2010,212.4
Haiti,HTI,2015,201.7
Honduras,HND,1990,134
Honduras,HND,1995,158.1
Honduras,HND,2000,157.2
Honduras,HND,2005,147.7
Honduras,HND,2010,128.2
Honduras,HND,2015,116.9
Hungary,HUN,1990,133.8
Hungary,HUN,1995,115.4
Hungary,HUN,2000,95.8
Hungary,HUN,2005,80.4
Hungary,HUN,2010,71
Hungary,HUN,2015,57.4
Iceland,ISL,1990,27.4
Iceland,ISL,1995,23.9
Iceland,ISL,2000,19.6
Iceland,ISL,2005,16.1
Iceland,ISL,2010,13.7
Iceland,ISL,2015,12.7
India,IND,1990,312.9
India,IND,1995,301.8
India,IND,2000,287.9
India,IND,2005,259.8
India,IND,2010,241.5
India,IND,2015,223.1
Indonesia,IDN,1990,139.7
Indonesia,IDN,1995,129.2
Indonesia,IDN,2000,116.2
Indonesia,IDN,2005,111.5
Indonesia,IDN,2010,99.2
Indonesia,IDN,2015,82.5
Iran,IRN,1990,103.8
Iran,IRN,1995,93
Iran,IRN,2000,86.7
Iran,IRN,2005,80.9
Iran,IRN,2010,80.2
Iran,IRN,2015,73.6
Iraq,IRQ,1990,133.5
Iraq,IRQ,1995,139.8
Iraq,IRQ,2000,141.6
Iraq,IRQ,2005,141.1
Iraq,IRQ,2010,147.8
Iraq,IRQ,2015,113.8
Ireland,IRL,1990,40.4
Ireland,IRL,1995,36.1
Ireland,IRL,2000,31.1
Ireland,IRL,2005,23.7
Ireland,IRL,2010,20.1
Ireland,IRL,2015,20
Israel,ISR,1990,45.8
Israel,ISR,1995,38.8
Israel,ISR,2000,31.1
Israel,ISR,2005,26.1
Israel,ISR,2010,21.9
Israel,ISR,2015,23.4
Italy,ITA,1990,38.1
Italy,ITA,1995,32.2
Italy,ITA,2000,28.3
Italy,ITA,2005,23
Italy,ITA,2010,20.5
Italy,ITA,2015,23.6
Jamaica,JAM,1990,80.1
Jamaica,JAM,1995,72.1
Jamaica,JAM,2000,56.2
Jamaica,JAM,2005,45.5
Jamaica,JAM,2010,40.5
Jamaica,JAM,2015,42
Japan,JPN,1990,27.4
Japan,JPN,1995,24.1
Japan,JPN,2000,20.7
Japan,JPN,2005,19.6
Japan,JPN,2010,17.2
Japan,JPN,2015,17.3
Jordan,JOR,1990,77
Jordan,JOR,1995,71.8
Jordan,JOR,2000,66.6
Jordan,JOR,2005,59
Jordan,JOR,2010,44.7
Jordan,JOR,2015,43.7
Kazakhstan,KAZ,1990,162.9
Kazakhstan,KAZ,1995,181.5
Kazakhstan,KAZ,2000,162.6
Kazakhstan,KAZ,2005,142.6
Kazakhstan,KAZ,2010,106.1
Kazakhstan,KAZ,2015,95.8
Kenya,KEN,1990,160.2
Kenya,KEN,1995,161.7
Kenya,KEN,2000,149.7
Kenya,KEN,2005,139.4
Kenya,KEN,2010,134.4
Kenya,KEN,2015,129
Kiribati,KIR,1990,139.7
Kiribati,KIR,1995,129.3
Kiribati,KIR,2000,120
Kiribati,KIR,2005,106.6
Kiribati,KIR,2010,84.7
Kiribati,KIR,2015,70.3
Kuwait,KWT,1990,61.6
Kuwait,KWT,1995,76.2
Kuwait,KWT,2000,65.8
Kuwait,KWT,2005,68.1
Kuwait,KWT,2010,76.7
Kuwait,KWT,2015,55.2
Kyrgyzstan,KGZ,1990,222.7
Kyrgyzstan,KGZ,1995,231
Kyrgyzstan,KGZ,2000,203.8
Kyrgyzstan,KGZ,2005,186.9
Kyrgyzstan,KGZ,2010,161.8
Kyrgyzstan,KGZ,2015,133.5
Laos,LAO,1990,314.7
Laos,LAO,1995,303.2
Laos,LAO,2000,280
Laos,LAO,2005,247.2
Laos,LAO,2010,212.7
Laos,LAO,2015,191.1
Latvia,LVA,1990,137.2
Latvia,LVA,1995,138.5
Latvia,LVA,2000,97.1
Latvia,LVA,2005,85.5
Latvia,LVA,2010,64.9
Latvia,LVA,2015,59.3
Lebanon,LBN,1990,78
Lebanon,LBN,1995,63
Lebanon,LBN,2000,51.9
Lebanon,LBN,2005,46.3
Lebanon,LBN,2010,47.3
Lebanon,LBN,2015,46
Lesotho,LSO,1990,222
Lesotho,LSO,1995,216.2
Lesotho,LSO,2000,239.8
Lesotho,LSO,2005,308.3
Lesotho,LSO,2010,288.7
Lesotho,LSO,2015,275.9
Liberia,LBR,1990,229.8
Liberia,LBR,1995,208.3
Liberia,LBR,2000,189.9
Liberia,LBR,2005,188.4
Liberia,LBR,2010,192.1
Liberia,LBR,2015,177.1
Libya,LBY,1990,81
Libya,LBY,1995,73.3
Libya,LBY,2000,72.8
Libya,LBY,2005,70.4
Libya,LBY,2010,72.9
Libya,LBY,2015,82
Lithuania,LTU,1990,121.9
Lithuania,LTU,1995,118.7
Lithuania,LTU,2000,85.6
Lithuania,LTU,2005,77.1
Lithuania,LTU,2010,63.8
Lithuania,LTU,2015,55.6
Luxembourg,LUX,1990,50.6
Luxembourg,LUX,1995,41.1
Luxembourg,LUX,2000,34.9
Luxembourg,LUX,2005,28.4
Luxembourg,LUX,2010,23.3
Luxembourg,LUX,2015,20.9
Macedonia,MKD,1990,161.6
Macedonia,MKD,1995,159.5
Macedonia,MKD,2000,143.1
Macedonia,MKD,2005,120.4
Macedonia,MKD,2010,107.8
Macedonia,MKD,2015,89.3
Madagascar,MDG,1990,284.6
Madagascar,MDG,1995,282
Madagascar,MDG,2000,273.1
Madagascar,MDG,2005,259.3
Madagascar,MDG,2010,249.2
Madagascar,MDG,2015,246.9
Malawi,MWI,1990,225.5
Malawi,MWI,1995,236.1
Malawi,MWI,2000,245.9
Malawi,MWI,2005,212
Malawi,MWI,2010,182.5
Malawi,MWI,2015,167.8
Malaysia,MYS,1990,82.9
Malaysia,MYS,1995,74.1
Malaysia,MYS,2000,65.8
Malaysia,MYS,2005,67.8
Malaysia,MYS,2010,57.4
Malaysia,MYS,2015,53.5
Maldives,MDV,1990,147.5
Maldives,MDV,1995,120.5
Maldives,MDV,2000,86
Maldives,MDV,2005,57.8
Maldives,MDV,2010,43.4
Maldives,MDV,2015,43.5
Mali,MLI,1990,230
Mali,MLI,1995,223.3
Mali,MLI,2000,205.4
Mali,MLI,2005,180.6
Mali,MLI,2010,177.6
Mali,MLI,2015,175.4
Malta,MLT,1990,42.2
Malta,MLT,1995,35.3
Malta,MLT,2000,32.4
Malta,MLT,2005,24.3
Malta,MLT,2010,24.7
Malta,MLT,2015,24.6
Marshall Islands,MHL,1990,105.7
Marshall Islands,MHL,1995,107.3
Marshall Islands,MHL,2000,113
Marshall Islands,MHL,2005,107.9
Marshall Islands,MHL,2010,92.3
Marshall Islands,MHL,2015,77
Mauritania,MRT,1990,255.8
Mauritania,MRT,1995,244.2
Mauritania,MRT,2000,215.2
Mauritania,MRT,2005,177.6
Mauritania,MRT,2010,161.4
Mauritania,MRT,2015,157.9
Mauritius,MUS,1990,114.7
Mauritius,MUS,1995,98.1
Mauritius,MUS,2000,80.1
Mauritius,MUS,2005,61.5
Mauritius,MUS,2010,40.8
Mauritius,MUS,2015,39.2
Mexico,MEX,1990,63.2
Mexico,MEX,1995,59.8
Mexico,MEX,2000,55.1
Mexico,MEX,2005,50.1
Mexico,MEX,2010,43.6
Mexico,MEX,2015,42.3
Moldova,MDA,1990,202.7
Moldova,MDA,1995,229.1
Moldova,MDA,2000,168.8
Moldova,MDA,2005,125.5
Moldova,MDA,2010,103
Moldova,MDA,2015,75.6
Mongolia,MNG,1990,227.4
Mongolia,MNG,1995,245.9
Mongolia,MNG,2000,253.8
Mongolia,MNG,2005,235.3
Mongolia,MNG,2010,196
Mongolia,MNG,2015,161.8
Montenegro,MNE,1990,126.5
Montenegro,MNE,1995,128.2
Montenegro,MNE,2000,118.3
Montenegro,MNE,2005,96.9
Montenegro,MNE,2010,90.8
Montenegro,MNE,2015,86.9
Morocco,MAR,1990,76.7
Morocco,MAR,1995,67.3
Morocco,MAR,2000,56.4
Morocco,MAR,2005,49.9
Morocco,MAR,2010,45.9
Morocco,MAR,2015,46.6
Mozambique,MOZ,1990,201.1
Mozambique,MOZ,1995,195.4
Mozambique,MOZ,2000,203.6
Mozambique,MOZ,2005,190.5
Mozambique,MOZ,2010,192.1
Mozambique,MOZ,2015,185.8
Myanmar,MMR,1990,237.9
Myanmar,MMR,1995,231.6
Myanmar,MMR,2000,220
Myanmar,MMR,2005,202.7
Myanmar,MMR,2010,178.3
Myanmar,MMR,2015,166.4
Namibia,NAM,1990,265.4
Namibia,NAM,1995,266.9
Namibia,NAM,2000,306.7
Namibia,NAM,2005,258.4
Namibia,NAM,2010,181.3
Namibia,NAM,2015,154.9
Nepal,NPL,1990,256
Nepal,NPL,1995,234.2
Nepal,NPL,2000,217.2
Nepal,NPL,2005,210.5
Nepal,NPL,2010,209.6
Nepal,NPL,2015,197.2
Netherlands,NLD,1990,44.8
Netherlands,NLD,1995,41.1
Netherlands,NLD,2000,37.2
Netherlands,NLD,2005,29.9
Netherlands,NLD,2010,25.5
Netherlands,NLD,2015,24
New Zealand,NZL,1990,22.8
New Zealand,NZL,1995,19.5
New Zealand,NZL,2000,16.3
New Zealand,NZL,2005,13.2
New Zealand,NZL,2010,9.2
New Zealand,NZL,2015,9
Nicaragua,NIC,1990,85
Nicaragua,NIC,1995,79.8
Nicaragua,NIC,2000,73
Nicaragua,NIC,2005,72.8
Nicaragua,NIC,2010,64.6
Nicaragua,NIC,2015,59.8
Niger,NER,1990,308.8
Niger,NER,1995,293.8
Niger,NER,2000,278.1
Niger,NER,2005,257.7
Niger,NER,2010,245.2
Niger,NER,2015,236.8
Nigeria,NGA,1990,281
Nigeria,NGA,1995,258.4
Nigeria,NGA,2000,241.8
Nigeria,NGA,2005,213.2
Nigeria,NGA,2010,177.9
Nigeria,NGA,2015,153.2
North Korea,PRK,1990,200
North Korea,PRK,1995,196.5
North Korea,PRK,2000,202.6
North Korea,PRK,2005,197.4
North Korea,PRK,2010,184.4
North Korea,PRK,2015,169.6
Norway,NOR,1990,35.6
Norway,NOR,1995,30.4
Norway,NOR,2000,25.8
Norway,NOR,2005,19.5
Norway,NOR,2010,17.7
Norway,NOR,2015,16.5
Oman,OMN,1990,87
Oman,OMN,1995,79.2
Oman,OMN,2000,76.3
Oman,OMN,2005,70.2
Oman,OMN,2010,71.5
Oman,OMN,2015,65.1
Pakistan,PAK,1990,247.5
Pakistan,PAK,1995,268.8
Pakistan,PAK,2000,281.6
Pakistan,PAK,2005,262.1
Pakistan,PAK,2010,236.3
Pakistan,PAK,2015,227.9
Palestine,PSE,1990,64.7
Palestine,PSE,1995,58.8
Palestine,PSE,2000,53.2
Palestine,PSE,2005,52.6
Palestine,PSE,2010,58.5
Palestine,PSE,2015,61.9
Panama,PAN,1990,69.6
Panama,PAN,1995,60
Panama,PAN,2000,49.1
Panama,PAN,2005,43.7
Panama,PAN,2010,35.3
Panama,PAN,2015,32.2
Papua New Guinea,PNG,1990,340.7
Papua New Guinea,PNG,1995,320.1
Papua New Guinea,PNG,2000,306.4
Papua New Guinea,PNG,2005,295.8
Papua New Guinea,PNG,2010,272.2
Papua New Guinea,PNG,2015,256.8
Paraguay,PRY,1990,116.1
Paraguay,PRY,1995,111.5
Paraguay,PRY,2000,102.2
Paraguay,PRY,2005,97.4
Paraguay,PRY,2010,85.2
Paraguay,PRY,2015,71.7
Peru,PER,1990,142.3
Peru,PER,1995,118.9
Peru,PER,2000,97.7
Peru,PER,2005,89.9
Peru,PER,2010,71.3
Peru,PER,2015,61.4
Philippines,PHL,1990,152
Philippines,PHL,1995,142.4
Philippines,PHL,2000,142
Philippines,PHL,2005,164.1
Philippines,PHL,2010,155
Philippines,PHL,2015,142.9
Poland,POL,1990,137.5
Poland,POL,1995,111.4
Poland,POL,2000,86.5
Poland,POL,2005,71.3
Poland,POL,2010,64.3
Poland,POL,2015,53.1
Portugal,PRT,1990,36.2
Portugal,PRT,1995,32.1
Portugal,PRT,2000,29.3
Portugal,PRT,2005,24.7
Portugal,PRT,2010,19.5
Portugal,PRT,2015,17.8
Qatar,QAT,1990,90
Qatar,QAT,1995,95.2
Qatar,QAT,2000,90.7
Qatar,QAT,2005,77.3
Qatar,QAT,2010,57
Qatar,QAT,2015,51.9
Romania,ROU,1990,159.6
Romania,ROU,1995,153.2
Romania,ROU,2000,127.9
Romania,ROU,2005,101.7
Romania,ROU,2010,88.9
Romania,ROU,2015,74.3
Russia,RUS,1990,115
Russia,RUS,1995,131
Russia,RUS,2000,119.6
Russia,RUS,2005,106.1
Russia,RUS,2010,82
Russia,RUS,2015,68.1
Rwanda,RWA,1990,348.7
Rwanda,RWA,1995,450.8
Rwanda,RWA,2000,326.5
Rwanda,RWA,2005,205.1
Rwanda,RWA,2010,191.6
Rwanda,RWA,2015,191.7
Saint Lucia,LCA,1990,100.9
Saint Lucia,LCA,1995,80
Saint Lucia,LCA,2000,63.6
Saint Lucia,LCA,2005,51.4
Saint Lucia,LCA,2010,37.3
Saint Lucia,LCA,2015,37.4
Saint Vincent and the Grenadines,VCT,1990,126.5
Saint Vincent and the Grenadines,VCT,1995,116.3
Saint Vincent and the Grenadines,VCT,2000,84.4
Saint Vincent and the Grenadines,VCT,2005,61.6
Saint Vincent and the Grenadines,VCT,2010,51.3
Saint Vincent and the Grenadines,VCT,2015,47.7
Samoa,WSM,1990,110.3
Samoa,WSM,1995,97.3
Samoa,WSM,2000,88.9
Samoa,WSM,2005,80.3
Samoa,WSM,2010,67.8
Samoa,WSM,2015,60
Sao Tome and Principe,STP,1990,245.7
Sao Tome and Principe,STP,1995,247.9
Sao Tome and Principe,STP,2000,252
Sao Tome and Principe,STP,2005,244.1
Sao Tome and Principe,STP,2010,218.2
Sao Tome and Principe,STP,2015,198
Saudi Arabia,SAU,1990,83
