Entity,Code,Year,Government expenditure on tertiary education as % of GDP (%) (%)
Belgium,BEL,2004,1.25501000881195
Belgium,BEL,2005,1.25171005725861
Belgium,BEL,2006,1.2869199514389
Belgium,BEL,2007,1.26925003528595
Belgium,BEL,2008,1.34106004238129
Belgium,BEL,2009,1.43869996070862
Belgium,BEL,2010,1.42053997516632
Belgium,BEL,2011,1.40314996242523
Belgium,BEL,2012,1.43382000923157
Belize,BLZ,1999,0.349159985780716
Belize,BLZ,2000,0.328319996595383
Belize,BLZ,2004,0.570609986782074
Belize,BLZ,2008,0.522669970989227
Belize,BLZ,2009,0.665769994258881
Belize,BLZ,2010,0.573780000209808
Belize,BLZ,2012,0.593270003795624
Belize,BLZ,2013,0.8435999751091
Benin,BEN,2000,0.628470003604889
Benin,BEN,2001,0.592149972915649
Benin,BEN,2002,0.64002001285553
Benin,BEN,2003,0.642830014228821
Benin,BEN,2004,0.683499991893768
Benin,BEN,2005,0.769829988479614
Benin,BEN,2006,0.723100006580353
Benin,BEN,2007,0.651160001754761
Benin,BEN,2008,0.669439971446991
Benin,BEN,2009,0.780889987945557
Benin,BEN,2010,0.784789979457855
Benin,BEN,2012,1.21028995513916
Benin,BEN,2013,0.961449980735779
Benin,BEN,2014,0.891480028629303
Bermuda,BMU,1998,0.0398599989712238
Bermuda,BMU,2010,0.356539994478226
Bermuda,BMU,2014,0.325080007314682
Bhutan,BTN,2005,0.99576997756958
Bhutan,BTN,2008,0.930610001087189
Bhutan,BTN,2009,0.61216002702713
Bhutan,BTN,2010,0.608120024204254
Bhutan,BTN,2011,0.513610005378723
Bhutan,BTN,2013,1.01874005794525
Bhutan,BTN,2014,0.60971999168396
Bolivia,BOL,1998,1.49337005615234
Bolivia,BOL,1999,1.36889004707336
Bolivia,BOL,2000,1.57913994789124
Bolivia,BOL,2001,1.56667995452881
Bolivia,BOL,2002,1.56307995319366
Bolivia,BOL,2003,1.37867999076843
Bolivia,BOL,2006,1.52778005599976
Bolivia,BOL,2008,2.04764008522034
Bolivia,BOL,2009,2.40340995788574
Bolivia,BOL,2010,2.26945996284485
Bolivia,BOL,2011,1.98104000091553
Bolivia,BOL,2012,1.60609996318817
Bolivia,BOL,2013,1.68967998027802
Bolivia,BOL,2014,1.91040003299713
Botswana,BWA,2005,2.97579002380371
Botswana,BWA,2007,2.43367004394531
Botswana,BWA,2009,3.99856996536255
Brazil,BRA,1998,1.01603996753693
Brazil,BRA,1999,0.797309994697571
Brazil,BRA,2000,0.869289994239807
Brazil,BRA,2001,0.829670011997223
Brazil,BRA,2002,0.883279979228973
Brazil,BRA,2004,0.751609981060028
Brazil,BRA,2005,0.850350022315979
Brazil,BRA,2006,0.811529994010925
Brazil,BRA,2007,0.805079996585846
Brazil,BRA,2008,0.838890016078949
Brazil,BRA,2009,0.874830007553101
Brazil,BRA,2010,0.926069974899292
Brazil,BRA,2011,0.962140023708344
Brazil,BRA,2012,0.967880010604858
Brunei,BRN,2010,0.498959988355637
Brunei,BRN,2014,1.20214998722076
Bulgaria,BGR,1998,0.404130011796951
Bulgaria,BGR,2001,0.5382199883461
Bulgaria,BGR,2002,0.515839993953705
Bulgaria,BGR,2003,0.790170013904572
Bulgaria,BGR,2004,0.494720011949539
Bulgaria,BGR,2005,0.693840026855469
Bulgaria,BGR,2006,0.676339983940125
Bulgaria,BGR,2007,0.600250005722046
Bulgaria,BGR,2008,0.815739989280701
Bulgaria,BGR,2009,0.888629972934723
Bulgaria,BGR,2010,0.579779982566834
Bulgaria,BGR,2011,0.609839975833893
Bulgaria,BGR,2012,0.627359986305237
Burkina Faso,BFA,2005,0.424430012702942
Burkina Faso,BFA,2006,0.495629996061325
Burkina Faso,BFA,2007,0.697549998760223
Burkina Faso,BFA,2010,0.742129981517792
Burkina Faso,BFA,2011,0.686460018157959
Burkina Faso,BFA,2012,0.709410011768341
Burkina Faso,BFA,2013,0.983959972858429
Burkina Faso,BFA,2014,0.553040027618408
Burundi,BDI,1999,0.830560028553009
Burundi,BDI,2000,0.712279975414276
Burundi,BDI,2001,0.806309998035431
Burundi,BDI,2002,0.749180018901825
Burundi,BDI,2004,0.684679985046387
Burundi,BDI,2005,0.555930018424988
Burundi,BDI,2008,1.10152995586395
Burundi,BDI,2009,1.15939998626709
Burundi,BDI,2010,1.22500002384186
Burundi,BDI,2011,1.04719996452332
Burundi,BDI,2012,1.19789004325867
Burundi,BDI,2013,1.31219005584717
Cambodia,KHM,1998,0.0574899986386299
Cambodia,KHM,2001,0.0853599980473518
Cambodia,KHM,2010,0.378529995679855
Cambodia,KHM,2012,0.0721800029277802
Cambodia,KHM,2013,0.123290002346039
Cameroon,CMR,2004,0.345059990882874
Cameroon,CMR,2005,0.394879996776581
Cameroon,CMR,2006,0.31029000878334
Cameroon,CMR,2007,0.357320010662079
Cameroon,CMR,2008,0.26172000169754
Cameroon,CMR,2009,0.298460006713867
Cameroon,CMR,2010,0.299600005149841
Cameroon,CMR,2011,0.460790008306503
Cameroon,CMR,2012,0.230399996042252
Cameroon,CMR,2013,0.3091099858284
Canada,CAN,1998,1.71352994441986
Canada,CAN,2007,1.76601004600525
Canada,CAN,2008,1.60539996623993
Canada,CAN,2009,1.75767004489899
Canada,CAN,2010,1.90082001686096
Canada,CAN,2011,1.87696003913879
Canada,CAN,2012,1.73045003414154
Cape Verde,CPV,2002,1.37946999073029
Cape Verde,CPV,2005,0.590690016746521
Cape Verde,CPV,2006,0.72817999124527
Cape Verde,CPV,2008,0.622099995613098
Cape Verde,CPV,2009,0.741479992866516
Cape Verde,CPV,2011,0.835739970207214
Cape Verde,CPV,2013,0.796840012073517
Central African Republic,CAF,2006,0.322899997234344
Central African Republic,CAF,2007,0.279410004615784
Central African Republic,CAF,2008,0.225519999861717
Central African Republic,CAF,2009,0.29611998796463
Central African Republic,CAF,2010,0.246619999408722
Central African Republic,CAF,2011,0.335310012102127
Chad,TCD,1998,0.27344998717308
Chad,TCD,2004,0.28014999628067
Chad,TCD,2005,0.317440003156662
Chad,TCD,2009,0.286119997501373
Chad,TCD,2010,0.391609996557236
Chad,TCD,2011,0.367680013179779
Chad,TCD,2013,0.903699994087219
Chile,CHL,1998,0.56726998090744
Chile,CHL,2000,0.53864997625351
Chile,CHL,2002,0.562430024147034
Chile,CHL,2003,0.506529986858368
Chile,CHL,2004,0.527360022068024
Chile,CHL,2005,0.450410008430481
Chile,CHL,2006,0.4478699862957
Chile,CHL,2007,0.493550002574921
Chile,CHL,2008,0.550490021705627
Chile,CHL,2009,0.661710023880005
Chile,CHL,2010,0.933659970760345
Chile,CHL,2011,0.886539995670319
Chile,CHL,2012,0.965960025787354
Chile,CHL,2013,1.16736996173859
China,CHN,1998,0.288419991731644
China,CHN,1999,0.454719990491867
Colombia,COL,1998,0.769230008125305
Colombia,COL,1999,0.846870005130768
Colombia,COL,2000,0.697950005531311
Colombia,COL,2001,0.737089991569519
Colombia,COL,2002,0.566709995269775
Colombia,COL,2004,0.542890012264252
Colombia,COL,2005,0.551869988441467
Colombia,COL,2006,0.569549977779388
Colombia,COL,2008,0.861949980258942
Colombia,COL,2009,0.930199980735779
Colombia,COL,2010,1.06684005260468
Colombia,COL,2011,0.918959975242615
Colombia,COL,2012,0.96356999874115
Colombia,COL,2013,0.869459986686707
Colombia,COL,2014,0.969430029392242
Comoros,COM,1998,0.125469997525215
Comoros,COM,2002,0.297600001096725
Comoros,COM,2008,1.13856995105743
Comoros,COM,2011,0.458460003137589
Comoros,COM,2012,0.416029989719391
Congo,COG,2002,0.817049980163574
Congo,COG,2005,0.475690007209778
Congo,COG,2010,0.676360011100769
Congo,COG,2013,0.705449998378754
Costa Rica,CRI,1999,0.841449975967407
Costa Rica,CRI,2000,0.854080021381378
Costa Rica,CRI,2001,0.901539981365204
Costa Rica,CRI,2002,0.953760027885437
Costa Rica,CRI,2004,0.919019997119904
Costa Rica,CRI,2006,0.974039971828461
Costa Rica,CRI,2007,0.989730000495911
Costa Rica,CRI,2008,1.05445003509521
Costa Rica,CRI,2009,1.19406998157501
Costa Rica,CRI,2010,1.25458002090454
Costa Rica,CRI,2011,1.29925000667572
Costa Rica,CRI,2012,1.35117995738983
Costa Rica,CRI,2013,1.41963005065918
Costa Rica,CRI,2014,1.52019000053406
Cote d'Ivoire,CIV,1998,0.890619993209839
Cote d'Ivoire,CIV,1999,0.851729989051819
Cote d'Ivoire,CIV,2000,0.816389977931976
Cote d'Ivoire,CIV,2001,0.712580025196075
Cote d'Ivoire,CIV,2002,0.708840012550354
Cote d'Ivoire,CIV,2003,0.741890013217926
Cote d'Ivoire,CIV,2004,0.834720015525818
Cote d'Ivoire,CIV,2005,0.821150004863739
Cote d'Ivoire,CIV,2006,0.848739981651306
Cote d'Ivoire,CIV,2007,0.902559995651245
Cote d'Ivoire,CIV,2014,0.992150008678436
Croatia,HRV,1999,0.744340002536774
Croatia,HRV,2000,0.91686999797821
Croatia,HRV,2002,0.729770004749298
Croatia,HRV,2003,0.717320024967194
Croatia,HRV,2004,0.691919982433319
Croatia,HRV,2007,0.786379992961884
Croatia,HRV,2008,0.937609970569611
Croatia,HRV,2009,0.827400028705597
Croatia,HRV,2010,0.778829991817474
Croatia,HRV,2011,0.921280026435852
Cuba,CUB,1998,1.02032005786896
Cuba,CUB,1999,1.07556998729706
Cuba,CUB,2000,1.35383999347687
Cuba,CUB,2001,1.42960000038147
Cuba,CUB,2002,1.67866003513336
Cuba,CUB,2004,2.23629999160767
Cuba,CUB,2005,2.32908010482788
Cuba,CUB,2006,2.07347011566162
Cuba,CUB,2007,2.98099994659424
Curacao,CUW,2013,0.258830010890961
Cyprus,CYP,1999,0.707710027694702
Cyprus,CYP,2000,0.859539985656738
Cyprus,CYP,2001,0.660619974136353
Cyprus,CYP,2002,0.810890018939972
Cyprus,CYP,2003,1.42830002307892
Cyprus,CYP,2004,1.35925996303558
Cyprus,CYP,2005,1.45000994205475
Cyprus,CYP,2006,1.50466001033783
Cyprus,CYP,2007,1.47990000247955
Cyprus,CYP,2008,1.70134997367859
Cyprus,CYP,2009,1.88191998004913
Cyprus,CYP,2010,1.36278998851776
Cyprus,CYP,2011,1.35862004756927
Czech Republic,CZE,1998,0.681580007076263
Czech Republic,CZE,1999,0.705359995365143
Czech Republic,CZE,2000,0.694819986820221
Czech Republic,CZE,2001,0.726419985294342
Czech Republic,CZE,2002,0.796450018882751
Czech Republic,CZE,2003,0.861320018768311
Czech Republic,CZE,2004,0.864679992198944
Czech Republic,CZE,2005,0.819260001182556
Czech Republic,CZE,2006,1.12767994403839
Czech Republic,CZE,2007,0.98852002620697
Czech Republic,CZE,2008,0.889729976654053
Czech Republic,CZE,2009,0.97079998254776
Czech Republic,CZE,2010,0.917940020561218
Czech Republic,CZE,2011,1.10496997833252
Czech Republic,CZE,2012,1.00012004375458
Democratic Republic of Congo,COD,2010,0.384550005197525
Democratic Republic of Congo,COD,2013,0.492799997329712
Denmark,DNK,1998,2.11798000335693
Denmark,DNK,1999,2.29911994934082
Denmark,DNK,2000,2.42541003227234
Denmark,DNK,2001,2.63668990135193
Denmark,DNK,2002,2.62651991844177
Denmark,DNK,2003,2.43618988990784
Denmark,DNK,2004,2.4491400718689
Denmark,DNK,2005,2.31796002388
Denmark,DNK,2006,2.19332003593445
Denmark,DNK,2007,2.22300004959106
Denmark,DNK,2008,2.12059998512268
Denmark,DNK,2009,2.34615993499756
Denmark,DNK,2010,2.35520005226135
Denmark,DNK,2011,2.38503003120422
Djibouti,DJI,2010,0.740859985351563
Dominican Republic,DOM,2007,0.29815000295639
Ecuador,ECU,1999,0.123860001564026
Ecuador,ECU,2000,0.0593900009989738
Ecuador,ECU,2010,1.08316004276276
Ecuador,ECU,2011,1.14700996875763
Ecuador,ECU,2012,1.11061000823975
El Salvador,SLV,1998,0.204349994659424
El Salvador,SLV,2000,0.170980006456375
El Salvador,SLV,2002,0.207049995660782
El Salvador,SLV,2003,0.212750002741814
El Salvador,SLV,2005,0.304659992456436
El Salvador,SLV,2006,0.29355001449585
El Salvador,SLV,2007,0.300790011882782
El Salvador,SLV,2009,0.415349990129471
El Salvador,SLV,2010,0.426620006561279
El Salvador,SLV,2011,0.28659000992775
Equatorial Guinea,GNQ,1998,0.659210026264191
Eritrea,ERI,2001,0.568530023097992
Eritrea,ERI,2002,0.524670004844666
Eritrea,ERI,2004,1.00443994998932
Estonia,EST,1998,1.05040001869202
Estonia,EST,1999,1.12149000167847
Estonia,EST,2001,1.02402997016907
Estonia,EST,2002,1.07763004302979
Estonia,EST,2003,1.01988995075226
Estonia,EST,2004,0.853739976882935
Estonia,EST,2005,0.918020009994507
Estonia,EST,2007,1.02498996257782
Estonia,EST,2008,1.09637999534607
Estonia,EST,2009,1.31405997276306
Estonia,EST,2010,1.20129001140594
Estonia,EST,2011,1.25865995883942
Estonia,EST,2012,1.02438998222351
Ethiopia,ETH,2009,1.73025000095367
Ethiopia,ETH,2010,1.97564995288849
Ethiopia,ETH,2011,2.46186995506287
Ethiopia,ETH,2012,2.60733008384705
Ethiopia,ETH,2013,1.92137002944946
Fiji,FJI,1998,0.888310015201569
Fiji,FJI,1999,0.769140005111694
Fiji,FJI,2000,0.844569981098175
Fiji,FJI,2001,0.901239991188049
Fiji,FJI,2002,0.849950015544891
Fiji,FJI,2004,0.979560017585754
Fiji,FJI,2011,0.540700018405914
Fiji,FJI,2013,0.8748499751091
Finland,FIN,1999,1.985759973526
Finland,FIN,2000,1.94547998905182
Finland,FIN,2001,1.92645001411438
Finland,FIN,2002,1.95652997493744
Finland,FIN,2003,1.97788000106812
Finland,FIN,2004,1.98634004592896
Finland,FIN,2005,1.92007994651794
Finland,FIN,2006,1.8795200586319
Finland,FIN,2007,1.7833000421524
Finland,FIN,2008,1.81274998188019
Finland,FIN,2009,2.05893993377686
Finland,FIN,2010,2.08303999900818
Finland,FIN,2011,2.07575011253357
Finland,FIN,2012,2.05452990531921
Finland,FIN,2013,2.01324009895325
France,FRA,1999,0.992519974708557
France,FRA,2000,0.971509993076324
France,FRA,2001,0.955730020999908
France,FRA,2002,0.957310020923615
France,FRA,2003,1.15968000888824
France,FRA,2004,1.17613005638123
France,FRA,2005,1.16053998470306
France,FRA,2006,1.16514003276825
France,FRA,2007,1.19439005851746
France,FRA,2008,1.20859003067017
France,FRA,2009,1.3051700592041
France,FRA,2010,1.28605997562408
France,FRA,2011,1.25701999664307
France,FRA,2012,1.23637998104095
Gabon,GAB,1998,0.33542999625206
Gambia,GMB,2001,0.307489991188049
Gambia,GMB,2002,0.398440003395081
Gambia,GMB,2003,0.354579985141754
Gambia,GMB,2004,0.160060003399849
Gambia,GMB,2005,0.162550002336502
Gambia,GMB,2006,0.166539996862411
Gambia,GMB,2007,0.196360006928444
Gambia,GMB,2008,0.318599998950958
Gambia,GMB,2009,0.268330007791519
Gambia,GMB,2010,0.410430014133453
Gambia,GMB,2011,0.297549992799759
Gambia,GMB,2012,0.30103999376297
Gambia,GMB,2013,0.296920001506805
Georgia,GEO,2008,0.337989985942841
Georgia,GEO,2011,0.300909996032715
Georgia,GEO,2012,0.380219995975494
Germany,DEU,1998,1.03552997112274
Germany,DEU,2006,1.07778000831604
Germany,DEU,2007,1.10157001018524
Germany,DEU,2008,1.17525005340576
Germany,DEU,2009,1.29048001766205
Germany,DEU,2010,1.33466994762421
Germany,DEU,2011,1.35233998298645
Germany,DEU,2012,1.32298004627228
Ghana,GHA,2001,0.760070025920868
Ghana,GHA,2004,1.47225999832153
Ghana,GHA,2005,1.63824999332428
Ghana,GHA,2006,1.06786000728607
Ghana,GHA,2007,1.43613994121552
Ghana,GHA,2008,1.4886200428009
Ghana,GHA,2009,1.26945996284485
Ghana,GHA,2010,1.43770003318787
Ghana,GHA,2011,1.0686000585556
Ghana,GHA,2012,1.46667003631592
Ghana,GHA,2013,1.19684994220734
Greece,GRC,1998,0.896000027656555
Greece,GRC,1999,0.881420016288757
Greece,GRC,2000,0.774160027503967
Greece,GRC,2001,1.02715003490448
Greece,GRC,2002,1.11029005050659
Greece,GRC,2003,1.06076002120972
Greece,GRC,2004,1.27047002315521
Greece,GRC,2005,1.43079996109009
Grenada,GRD,2003,0.383520007133484
Guatemala,GTM,2006,0.354550004005432
Guatemala,GTM,2007,0.331719994544983
Guatemala,GTM,2008,0.343820005655289
Guatemala,GTM,2010,0.317649990320206
Guatemala,GTM,2011,0.363510012626648
Guatemala,GTM,2012,0.379379987716675
Guatemala,GTM,2013,0.349519997835159
Guinea,GIN,2004,0.569660007953644
Guinea,GIN,2005,0.56511002779007
Guinea,GIN,2008,0.839389979839325
Guinea,GIN,2009,1.10018002986908
Guinea,GIN,2010,1.33782005310059
Guinea,GIN,2011,1.32729005813599
Guinea,GIN,2012,0.825150012969971
Guinea,GIN,2013,1.22643995285034
Guinea-Bissau,GNB,2010,0.0934500023722649
Guinea-Bissau,GNB,2011,0.117380000650883
Guinea-Bissau,GNB,2012,0.119529999792576
Guinea-Bissau,GNB,2013,0.091839998960495
Guyana,GUY,2002,0.408870011568069
Guyana,GUY,2004,0.342689990997314
Guyana,GUY,2006,0.266689985990524
Guyana,GUY,2007,0.221009999513626
Guyana,GUY,2009,0.24685999751091
Guyana,GUY,2010,0.193800002336502
Guyana,GUY,2011,0.138830006122589
Guyana,GUY,2012,0.16168999671936
Honduras,HND,2010,0.889750003814697
Honduras,HND,2012,0.974290013313293
Honduras,HND,2013,1.08624994754791
Honduras,HND,2014,0.985339999198914
Hong Kong,HKG,2004,1.38349997997284
Hong Kong,HKG,2005,1.1724100112915
Hong Kong,HKG,2006,1.14833998680115
Hong Kong,HKG,2007,1.06036996841431
Hong Kong,HKG,2008,1.00590002536774
Hong Kong,HKG,2009,1.99865996837616
Hong Kong,HKG,2010,0.975019991397858
Hong Kong,HKG,2011,0.979489982128143
Hong Kong,HKG,2012,1.15113997459412
Hong Kong,HKG,2013,1.46170997619629
Hong Kong,HKG,2014,1.04416000843048
Hungary,HUN,1998,0.864000022411346
Hungary,HUN,1999,0.915499985218048
Hungary,HUN,2000,1.02436995506287
Hungary,HUN,2001,1.0422500371933
Hungary,HUN,2002,1.09694004058838
Hungary,HUN,2003,1.20254004001617
Hungary,HUN,2004,1.0011500120163
Hungary,HUN,2005,1.01108002662659
Hungary,HUN,2006,1.02119994163513
Hungary,HUN,2007,1.02031004428864
Hungary,HUN,2008,1.00190997123718
Hungary,HUN,2009,1.10193002223969
Hungary,HUN,2010,0.965210020542145
Hungary,HUN,2011,1.08279001712799
Hungary,HUN,2012,0.800920009613037
Iceland,ISL,1999,1.16563999652863
Iceland,ISL,2000,1.17655003070831
Iceland,ISL,2001,1.21309995651245
Iceland,ISL,2002,1.34117996692657
Iceland,ISL,2003,1.3622499704361
Iceland,ISL,2004,1.33945000171661
Iceland,ISL,2005,1.4125200510025
Iceland,ISL,2006,1.32571005821228
Iceland,ISL,2007,1.33326995372772
Iceland,ISL,2008,1.4293999671936
Iceland,ISL,2009,1.50065994262695
Iceland,ISL,2010,1.54840004444122
Iceland,ISL,2011,1.36870002746582
India,IND,1999,0.761330008506775
India,IND,2000,0.86259001493454
India,IND,2003,0.713329970836639
India,IND,2004,0.659359991550446
India,IND,2005,0.612810015678406
India,IND,2006,0.626929998397827
India,IND,2009,1.1703599691391
India,IND,2010,1.19758999347687
India,IND,2011,1.29123997688293
India,IND,2012,1.23057997226715
Indonesia,IDN,2007,0.388350009918213
Indonesia,IDN,2008,0.318580001592636
Indonesia,IDN,2009,0.428849995136261
Indonesia,IDN,2010,0.451469987630844
Indonesia,IDN,2011,0.496870011091232
Indonesia,IDN,2012,0.585330009460449
Indonesia,IDN,2013,0.552299976348877
Indonesia,IDN,2014,0.496199995279312
Iran,IRN,2001,0.788999974727631
Iran,IRN,2002,0.827809989452362
Iran,IRN,2003,0.745119988918304
Iran,IRN,2004,0.672410011291504
Iran,IRN,2005,0.644550025463104
Iran,IRN,2006,0.910090029239655
Iran,IRN,2007,0.96408998966217
Iran,IRN,2008,0.838609993457794
Iran,IRN,2009,0.878709971904755
Iran,IRN,2010,0.826749980449677
Iran,IRN,2011,0.996349990367889
Iran,IRN,2012,0.891049981117249
Iran,IRN,2013,0.722790002822876
Iran,IRN,2014,0.83653998374939
Ireland,IRL,1998,1.0939199924469
Ireland,IRL,1999,1.12399995326996
Ireland,IRL,2000,1.25258994102478
Ireland,IRL,2001,1.16931998729706
Ireland,IRL,2002,1.13487005233765
Ireland,IRL,2003,1.04358994960785
Ireland,IRL,2004,1.05232000350952
Ireland,IRL,2005,1.05499994754791
Ireland,IRL,2006,1.08891999721527
Ireland,IRL,2007,1.10118997097015
Ireland,IRL,2008,1.26778995990753
Ireland,IRL,2009,1.4626499414444
Ireland,IRL,2010,1.35446000099182
Ireland,IRL,2011,1.25009000301361
Ireland,IRL,2012,1.2353800535202
Israel,ISR,1998,1.21036994457245
Israel,ISR,1999,1.17800998687744
Israel,ISR,2000,1.11925995349884
Israel,ISR,2001,1.13892996311188
Israel,ISR,2002,1.08103001117706
Israel,ISR,2003,1.17456996440887
Israel,ISR,2004,0.979330003261566
Israel,ISR,2005,0.95209002494812
Israel,ISR,2006,0.946009993553162
Israel,ISR,2007,0.963440001010895
Israel,ISR,2008,0.882820010185242
Israel,ISR,2009,0.948679983615875
Israel,ISR,2010,0.933200001716614
Israel,ISR,2011,0.902180016040802
Israel,ISR,2012,0.924639999866486
Israel,ISR,2013,0.926379978656769
Italy,ITA,1998,0.726979970932007
Italy,ITA,1999,0.836480021476746
Italy,ITA,2000,0.794969975948334
Italy,ITA,2001,0.763400018215179
Italy,ITA,2002,0.822369992733002
Italy,ITA,2003,0.747529983520508
Italy,ITA,2004,0.743520021438599
Italy,ITA,2005,0.732209980487823
Italy,ITA,2006,0.770389974117279
Italy,ITA,2007,0.727729976177216
Italy,ITA,2008,0.806460022926331
Italy,ITA,2009,0.828369975090027
Italy,ITA,2010,0.816089987754822
Italy,ITA,2011,0.801400005817413
Jamaica,JAM,2001,1.15500998497009
Jamaica,JAM,2002,1.03990995883942
Jamaica,JAM,2003,0.629710018634796
Jamaica,JAM,2004,0.73650997877121
Jamaica,JAM,2005,1.01895999908447
Jamaica,JAM,2007,1.0978000164032
Jamaica,JAM,2008,0.972779989242554
Jamaica,JAM,2009,1.25672996044159
Jamaica,JAM,2010,1.39174997806549
Jamaica,JAM,2011,1.24354004859924
Jamaica,JAM,2012,1.07458996772766
Jamaica,JAM,2013,1.10230994224548
Jamaica,JAM,2014,1.05397999286652
Japan,JPN,1998,0.412569999694824
Japan,JPN,1999,0.464489996433258
