Entity,Code,Year,Year of last polio case (WHO (GPEI) (2017))
Suriname,SUR,0,1982
Swaziland,SWZ,0,1989
Sweden,SWE,0,1977
Switzerland,CHE,0,1984
Syria,SYR,0,1998
Tajikistan,TJK,0,1997
Tanzania,TZA,0,1996
Thailand,THA,0,1997
Timor,TLS,0,1985
Togo,TGO,0,1999
Tokelau,TKL,0,1950
Tonga,TON,0,1982
Trinidad and Tobago,TTO,0,1972
Tunisia,TUN,0,1994
Turkey,TUR,0,1998
Turkmenistan,TKM,0,1996
Turks and Caicos Islands,TCA,0,1977
Tuvalu,TUV,0,1936
Uganda,UGA,0,1996
Ukraine,UKR,0,1996
United Arab Emirates,ARE,0,1992
United Kingdom,GBR,0,1982
United States,USA,0,1979
Uruguay,URY,0,1978
Uzbekistan,UZB,0,1995
Vanuatu,VUT,0,1989
Venezuela,VEN,0,1989
Vietnam,VNM,0,1997
Wallis and Futuna,WLF,0,1972
Yemen,YEM,0,1999
Zambia,ZMB,0,1995
Zimbabwe,ZWE,0,1991
