Entity,Code,Year,15.2.1 - Above-ground biomass in forest per hectare (tonnes per hectare) - AG_LND_FRSTBIOPHA (tonnes per hectare)
Costa Rica,CRI,2015,134.07
Cote d'Ivoire,CIV,2000,94.45
Cote d'Ivoire,CIV,2005,94.45
Cote d'Ivoire,CIV,2010,94.45
Cote d'Ivoire,CIV,2015,94.45
Croatia,HRV,2000,191.49
Croatia,HRV,2005,203.25
Croatia,HRV,2010,212.56
Croatia,HRV,2015,216.78
Cuba,CUB,2000,202.38
Cuba,CUB,2005,209.83
Cuba,CUB,2010,164.29
Cuba,CUB,2015,160.34
Cyprus,CYP,2000,24.12
Cyprus,CYP,2005,25.32
Cyprus,CYP,2010,29.96
Cyprus,CYP,2015,33.61
Czech Republic,CZE,2000,219.98
Czech Republic,CZE,2005,230.56
Czech Republic,CZE,2010,235.79
Czech Republic,CZE,2015,246.31
Democratic Republic of Congo,COD,2000,218.63
Democratic Republic of Congo,COD,2005,218.63
Democratic Republic of Congo,COD,2010,218.63
Democratic Republic of Congo,COD,2015,218.64
Denmark,DNK,2000,107.6
Denmark,DNK,2005,112.96
Denmark,DNK,2010,109.01
Denmark,DNK,2015,111.07
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2000,73.43949
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2005,75.13195
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2010,76.62172
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2015,78.09973
Developing regions,,2000,161.29981
Developing regions,,2005,159.79806
Developing regions,,2010,159.14009
Developing regions,,2015,159.27027
Djibouti,DJI,2000,60.71
Djibouti,DJI,2005,60.71
Djibouti,DJI,2010,60.71
Djibouti,DJI,2015,60.71
Dominican Republic,DOM,2000,122.81
Dominican Republic,DOM,2005,122.76
Dominican Republic,DOM,2010,122.84
Dominican Republic,DOM,2015,122.84
Eastern Africa,,2000,121.32514
Eastern Africa,,2005,122.0502
Eastern Africa,,2010,122.82148
Eastern Africa,,2015,123.97271
Eastern Asia,,2000,48.87828
Eastern Asia,,2005,49.23445
Eastern Asia,,2010,52.16701
Eastern Asia,,2015,53.88767
Eastern Asia (excluding Japan),,2000,48.87828
Eastern Asia (excluding Japan),,2005,49.23445
Eastern Asia (excluding Japan),,2010,52.16701
Eastern Asia (excluding Japan),,2015,53.88767
Eastern Europe,,2000,66.10235
Eastern Europe,,2005,66.6311
Eastern Europe,,2010,67.26089
Eastern Europe,,2015,68.46791
Eastern and South-Eastern Asia,,2000,117.62783
Eastern and South-Eastern Asia,,2005,111.91576
Eastern and South-Eastern Asia,,2010,107.93663
Eastern and South-Eastern Asia,,2015,104.88057
Ecuador,ECU,2000,189.58
Ecuador,ECU,2005,189.66
Ecuador,ECU,2010,189.75
Ecuador,ECU,2015,189.85
Egypt,EGY,2000,168
Egypt,EGY,2005,168
Egypt,EGY,2010,168
Egypt,EGY,2015,168
Equatorial Guinea,GNQ,2000,213.94
Equatorial Guinea,GNQ,2005,213.89
Equatorial Guinea,GNQ,2010,213.96
Equatorial Guinea,GNQ,2015,213.9
Estonia,EST,2000,114.23
Estonia,EST,2005,112.78
Estonia,EST,2010,118.25
Estonia,EST,2015,119.76
Ethiopia,ETH,2000,31.08
Ethiopia,ETH,2005,30.46
Ethiopia,ETH,2010,29.85
Europe,,2000,68.14406
Europe,,2005,69.29067
Europe,,2010,70.43882
Europe,,2015,72.02782
Europe and Northern America,,2000,72.4025
Europe and Northern America,,2005,74.08123
Europe and Northern America,,2010,75.55759
Europe and Northern America,,2015,77.01981
"Europe, Western",,2000,137.16257
"Europe, Western",,2005,143.52445
"Europe, Western",,2010,147.31276
"Europe, Western",,2015,154.22962
Faeroe Islands,FRO,2000,0
Faeroe Islands,FRO,2005,0
Faeroe Islands,FRO,2010,0
Faeroe Islands,FRO,2015,0
Federated States of Micronesia,,2000,500.34
Federated States of Micronesia,,2005,500.37
Federated States of Micronesia,,2010,500.4
Federated States of Micronesia,,2015,500.43
Finland,FIN,2000,48.7
Finland,FIN,2005,51.37
Finland,FIN,2010,53.7
Finland,FIN,2015,53.7
France,FRA,2000,112.3
France,FRA,2005,120.42
France,FRA,2010,124.15
France,FRA,2015,130.91
French Guiana,GUF,2000,350.04
French Guiana,GUF,2005,350.02
French Guiana,GUF,2010,349.96
French Guiana,GUF,2015,350.06
French Polynesia,PYF,2010,232.13
French Polynesia,PYF,2015,232.13
Gabon,GAB,2000,223.27
Gabon,GAB,2005,223.27
Gabon,GAB,2010,223.27
Gabon,GAB,2015,223.26
Gambia,GMB,2000,112.86
Gambia,GMB,2005,112.72
Gambia,GMB,2010,112.81
Gambia,GMB,2015,112.58
Georgia,GEO,2000,116.47
Georgia,GEO,2005,118.73
Georgia,GEO,2010,119.33
Georgia,GEO,2015,119.33
Germany,DEU,2000,158.62
Germany,DEU,2005,164.88
Germany,DEU,2010,169.87
Germany,DEU,2015,179.79
Ghana,GHA,2000,142.46
Ghana,GHA,2005,130.58
Ghana,GHA,2010,129.64
Ghana,GHA,2015,125.42
Greece,GRC,2000,33.88
Greece,GRC,2005,33.85
Greece,GRC,2010,33.82
Greece,GRC,2015,33.79
Greenland,GRL,2000,0
Greenland,GRL,2005,0
Greenland,GRL,2010,0
Greenland,GRL,2015,0
Grenada,GRD,2000,137.49
Grenada,GRD,2005,87.52
Grenada,GRD,2010,112.48
Guadeloupe,GLP,2000,307.96
Guadeloupe,GLP,2005,303.17
Guadeloupe,GLP,2010,302.67
Guadeloupe,GLP,2015,303.51
Guam,GUM,2000,112
Guam,GUM,2005,112
Guam,GUM,2010,112
Guam,GUM,2015,112
Guatemala,GTM,2000,124.05
Guatemala,GTM,2005,123.92
Guatemala,GTM,2010,121.98
Guatemala,GTM,2015,124.01
Guinea,GIN,2000,152.52
Guinea,GIN,2005,152.59
Guinea,GIN,2010,152.51
Guinea,GIN,2015,152.42
Guinea-Bissau,GNB,2000,84.43
Guinea-Bissau,GNB,2005,84.46
Guinea-Bissau,GNB,2010,84.57
Guinea-Bissau,GNB,2015,83.67
Guyana,GUY,2000,472.03
Guyana,GUY,2005,471.99
Guyana,GUY,2010,472.01
Guyana,GUY,2015,471.98
Haiti,HTI,2000,95.96
Haiti,HTI,2005,96
Haiti,HTI,2010,96.04
Haiti,HTI,2015,96.08
Honduras,HND,2000,109.04
Honduras,HND,2005,109.12
Honduras,HND,2010,109.01
Honduras,HND,2015,108.89
Hungary,HUN,2000,92.33
Hungary,HUN,2005,93.29
Hungary,HUN,2010,94.82
Hungary,HUN,2015,98.6
Iceland,ISL,2000,12.15
Iceland,ISL,2005,12.6
Iceland,ISL,2010,14.75
Iceland,ISL,2015,20.33
India,IND,2000,42.76
India,IND,2005,45.43
India,IND,2010,47.16
India,IND,2015,43.86
Indonesia,IDN,2000,244.31
Indonesia,IDN,2005,233.76
Indonesia,IDN,2010,220.54
Indonesia,IDN,2015,206.32
Iran,IRN,2000,44.39
Iran,IRN,2005,39.47
Iran,IRN,2010,40.12
Iran,IRN,2015,25.78
Ireland,IRL,2000,86.51
Ireland,IRL,2005,88.14
Ireland,IRL,2010,109.44
Israel,ISR,2000,47.71
Israel,ISR,2005,47.74
Israel,ISR,2010,48.7
Israel,ISR,2015,46.61
Italy,ITA,2000,95.23
Italy,ITA,2005,99.78
Italy,ITA,2010,105.34
Italy,ITA,2015,110.57
Jamaica,JAM,2000,232.5
Jamaica,JAM,2005,232.52
Jamaica,JAM,2010,232.99
Jamaica,JAM,2015,233.32
Japan,JPN,2000,88.52
Japan,JPN,2005,90.31
Japan,JPN,2010,104.86
Jordan,JOR,2000,36
Jordan,JOR,2005,36
Jordan,JOR,2010,36
Jordan,JOR,2015,36
Kazakhstan,KAZ,2000,62.6
Kazakhstan,KAZ,2005,63.21
Kazakhstan,KAZ,2010,63.74
Kazakhstan,KAZ,2015,63.74
Kenya,KEN,2000,233.34
Kenya,KEN,2005,233.01
Kenya,KEN,2010,239.95
Kenya,KEN,2015,246.09
Kyrgyzstan,KGZ,2000,58.49
Kyrgyzstan,KGZ,2005,63.5
Kyrgyzstan,KGZ,2010,41.06
Kyrgyzstan,KGZ,2015,43.64
Landlocked developing countries,,2000,107.73934
Landlocked developing countries,,2005,108.17257
Landlocked developing countries,,2010,108.8747
Landlocked developing countries,,2015,109.5809
Laos,LAO,2000,121.2
Laos,LAO,2005,116.42
Laos,LAO,2010,108.05
Laos,LAO,2015,100.53
Latin America and the Caribbean	,,2000,188.45978
Latin America and the Caribbean	,,2005,189.14027
Latin America and the Caribbean	,,2010,189.91735
Latin America and the Caribbean	,,2015,192.12512
Latvia,LVA,2000,107.71
Latvia,LVA,2005,109.83
Latvia,LVA,2010,118.99
Latvia,LVA,2015,128.81
Least Developed Countries (LDCs),,2000,152.89216
Least Developed Countries (LDCs),,2005,152.88064
Least Developed Countries (LDCs),,2010,153.27853
Least Developed Countries (LDCs),,2015,153.93134
Lebanon,LBN,2005,20.37
Lebanon,LBN,2010,21.28
Lebanon,LBN,2015,21.22
Lesotho,LSO,2000,90.48
Lesotho,LSO,2005,90.7
Lesotho,LSO,2010,90.45
Lesotho,LSO,2015,89.8
Liberia,LBR,2000,231.85
Liberia,LBR,2005,231.85
Liberia,LBR,2010,231.85
Liberia,LBR,2015,239.76
Libya,LBY,2000,49.26
Libya,LBY,2005,49.26
Libya,LBY,2010,49.26
Libya,LBY,2015,49.26
Liechtenstein,LIE,2000,118.84
Liechtenstein,LIE,2005,118.84
Liechtenstein,LIE,2010,118.84
Liechtenstein,LIE,2015,118.84
Lithuania,LTU,2000,117.38
Lithuania,LTU,2005,115.61
Lithuania,LTU,2010,118.85
Lithuania,LTU,2015,124.36
Luxembourg,LUX,2000,201.5
Luxembourg,LUX,2005,201.5
Luxembourg,LUX,2010,201.5
Luxembourg,LUX,2015,201.5
Macedonia,MKD,2000,109.39
Macedonia,MKD,2005,104.62
Macedonia,MKD,2010,102.2
Macedonia,MKD,2015,102.2
Madagascar,MDG,2000,222.3
Madagascar,MDG,2005,222.23
Madagascar,MDG,2010,222.26
Madagascar,MDG,2015,222.32
Malawi,MWI,2000,76.25
Malawi,MWI,2005,76.43
Malawi,MWI,2010,76
Malawi,MWI,2015,76.26
Malaysia,MYS,2000,206.61
Malaysia,MYS,2005,201.72
Malaysia,MYS,2010,196.85
Malaysia,MYS,2015,215.45
Mali,MLI,2000,37.51
Mali,MLI,2005,37.51
Mali,MLI,2010,37.51
Mali,MLI,2015,37.51
Malta,MLT,2000,288.18
Malta,MLT,2005,288.18
Malta,MLT,2010,288.18
Malta,MLT,2015,288.18
Marshall Islands,MHL,2000,287.27
Marshall Islands,MHL,2005,287.27
Marshall Islands,MHL,2010,287.27
Marshall Islands,MHL,2015,287.27
Martinique,MTQ,2000,292.78
Martinique,MTQ,2005,292.78
Martinique,MTQ,2010,292.78
Martinique,MTQ,2015,292.78
Mauritania,MRT,2000,49.84
Mauritania,MRT,2005,49.81
Mauritania,MRT,2010,50
Mauritania,MRT,2015,69.4
Mauritius,MUS,2000,115.51
Mauritius,MUS,2005,115.71
Mauritius,MUS,2010,115.63
Mauritius,MUS,2015,115.8
Melanesia,OWID_MNS,2000,286.21053
Melanesia,OWID_MNS,2005,286.31784
Melanesia,OWID_MNS,2010,286.41993
Melanesia,OWID_MNS,2015,286.51641
Mexico,MEX,2000,50.77
Mexico,MEX,2005,50.76
Mexico,MEX,2010,50.83
Mexico,MEX,2015,50.94
Micronesia (country),FSM,2000,346.19719
Micronesia (country),FSM,2005,347.52765
Micronesia (country),FSM,2010,348.56457
Micronesia (country),FSM,2015,349.60978
Middle Africa,,2000,203.68263
Middle Africa,,2005,203.64552
Middle Africa,,2010,203.78383
Middle Africa,,2015,203.9874
Moldova,MDA,2000,139.2
Moldova,MDA,2005,131.13
Moldova,MDA,2010,129.53
Moldova,MDA,2015,129.58
Mongolia,MNG,2000,91.74
Mongolia,MNG,2005,91.74
Mongolia,MNG,2010,76.68
Montenegro,MNE,2000,91.34
Montenegro,MNE,2005,91.34
Montenegro,MNE,2010,117.13
Montenegro,MNE,2015,117.13
Morocco,MAR,2000,69.5
Morocco,MAR,2005,68.14
Morocco,MAR,2010,64.35
Morocco,MAR,2015,65.16
Mozambique,MOZ,2000,68.98
Mozambique,MOZ,2005,68.94
Mozambique,MOZ,2010,69.23
Mozambique,MOZ,2015,68.9
Myanmar,MMR,2000,92.26
Myanmar,MMR,2005,92.25
Myanmar,MMR,2010,92.25
Myanmar,MMR,2015,94.72
Namibia,NAM,2000,48.33
Namibia,NAM,2005,48.34
Namibia,NAM,2010,48.31
Namibia,NAM,2015,48.29
Nepal,NPL,2000,197.44
Nepal,NPL,2005,197.47
Nepal,NPL,2010,197.47
Nepal,NPL,2015,197.47
Netherlands,NLD,2000,111.11
Netherlands,NLD,2005,115.07
Netherlands,NLD,2010,128.69
Netherlands,NLD,2015,143.62
New Caledonia,NCL,2000,126.5
New Caledonia,NCL,2005,126.5
New Caledonia,NCL,2010,126.5
New Caledonia,NCL,2015,126.5
New Zealand,NZL,2000,207.81
New Zealand,NZL,2005,211.04
New Zealand,NZL,2010,216.04
New Zealand,NZL,2015,219.96
Nicaragua,NIC,2000,192.45
Nicaragua,NIC,2005,192.44
Nicaragua,NIC,2010,192.45
Nicaragua,NIC,2015,192.45
Niger,NER,2000,51.2
Niger,NER,2005,51.34
Niger,NER,2010,50.66
Niger,NER,2015,49.91
Nigeria,NGA,2000,202.48
Nigeria,NGA,2005,203.9
Nigeria,NGA,2010,205.84
Nigeria,NGA,2015,209.07
North Korea,PRK,2000,46.44
North Korea,PRK,2005,46.83
North Korea,PRK,2010,46.95
North Korea,PRK,2015,46.91
Northern Africa,,2000,142.02194
Northern Africa,,2005,133.26389
Northern Africa,,2010,131.55848
Northern Africa,,2015,131.82106
Northern Africa (exc. Sudan),,2000,57.63132
Northern Africa (exc. Sudan),,2005,57.17471
Northern Africa (exc. Sudan),,2010,54.01504
Northern Africa (exc. Sudan),,2015,54.18076
Northern Africa and Western Asia,,2000,123.55073
Northern Africa and Western Asia,,2005,117.92566
Northern Africa and Western Asia,,2010,118.04541
Northern Africa and Western Asia,,2015,119.75282
Northern America,,2000,86.40814
Northern America,,2005,89.80263
Northern America,,2010,92.29716
Northern America,,2015,93.3036
Northern Europe,,2000,59.16194
Northern Europe,,2005,62.72088
Northern Europe,,2010,65.57012
Northern Europe,,2015,67.54579
Northern Mariana Islands,MNP,2000,157.9
Northern Mariana Islands,MNP,2005,157.92
Northern Mariana Islands,MNP,2010,157.92
Northern Mariana Islands,MNP,2015,157.92
Norway,NOR,2000,48.3
Norway,NOR,2005,52.76
Norway,NOR,2010,57.1
Norway,NOR,2015,61.43
Oceania,,2000,269.46814
Oceania,,2005,270.18305
Oceania,,2010,271.37187
Oceania,,2015,272.28324
Oceania (exc. Australia and New Zealand),,2000,286.40362
Oceania (exc. Australia and New Zealand),,2005,286.51734
Oceania (exc. Australia and New Zealand),,2010,286.62295
Oceania (exc. Australia and New Zealand),,2015,286.72363
Pakistan,PAK,2000,201.32
Pakistan,PAK,2005,200.84
Pakistan,PAK,2010,197.98
Pakistan,PAK,2015,184.78
Palau,PLW,2000,416.3
Palau,PLW,2005,416.35
Palau,PLW,2010,416.35
Palau,PLW,2015,416.35
Panama,PAN,2000,211.42
Panama,PAN,2005,211.42
Panama,PAN,2010,211.32
Panama,PAN,2015,211.39
Papua New Guinea,PNG,2000,300
Papua New Guinea,PNG,2005,300.01
Papua New Guinea,PNG,2010,300
Papua New Guinea,PNG,2015,300.01
Peru,PER,2000,196.33
Peru,PER,2005,196.59
Peru,PER,2010,196.31
Peru,PER,2015,216.35
Philippines,PHL,2000,158.53
Philippines,PHL,2005,153.76
Philippines,PHL,2010,148.95
Philippines,PHL,2015,144.28
Poland,POL,2000,106.86
Poland,POL,2005,115.65
Poland,POL,2010,145.78
Poland,POL,2015,154.53
Polynesia,OWID_PYA,2000,187.2185
Polynesia,OWID_PYA,2005,187.26867
Polynesia,OWID_PYA,2010,186.95438
Polynesia,OWID_PYA,2015,187.34748
Portugal,PRT,2000,49.06
Portugal,PRT,2005,46.42
Portugal,PRT,2010,47.55
Puerto Rico,PRI,2000,63.74
Puerto Rico,PRI,2005,68.83
Puerto Rico,PRI,2010,76.91
Puerto Rico,PRI,2015,84.46
Reunion,REU,2000,120.69
Reunion,REU,2005,121.18
Reunion,REU,2010,120.45
Reunion,REU,2015,120.45
Romania,ROU,2000,107.45
Romania,ROU,2005,107.49
Romania,ROU,2010,107.44
Romania,ROU,2015,160.62
Russia,RUS,2000,63.6
Russia,RUS,2005,63.77
Russia,RUS,2010,63.79
Russia,RUS,2015,64.3
Rwanda,RWA,2000,88.08
Rwanda,RWA,2005,154.29
Rwanda,RWA,2010,152.24
Rwanda,RWA,2015,152.08
Sao Tome and Principe,STP,2000,244.64
Sao Tome and Principe,STP,2005,244.64
Sao Tome and Principe,STP,2010,240.67
Sao Tome and Principe,STP,2015,240.67
Saudi Arabia,SAU,2000,10.08
Saudi Arabia,SAU,2005,10.08
Saudi Arabia,SAU,2010,10.08
Saudi Arabia,SAU,2015,10.08
Senegal,SEN,2000,65.3
Senegal,SEN,2005,65.26
Senegal,SEN,2010,65.27
Senegal,SEN,2015,65.27
Serbia,SRB,2000,92.56
Serbia,SRB,2005,97.62
Serbia,SRB,2010,143.46
Serbia,SRB,2015,144.93
Seychelles,SYC,2000,150.49
Seychelles,SYC,2005,150.49
Seychelles,SYC,2010,150.49
Seychelles,SYC,2015,150.49
Sierra Leone,SLE,2000,136
Sierra Leone,SLE,2005,136
Sierra Leone,SLE,2010,136
Sierra Leone,SLE,2015,117.42
Slovakia,SVK,2000,164.13
Slovakia,SVK,2005,173.86
Slovakia,SVK,2010,180.81
Slovakia,SVK,2015,186.7
Slovenia,SVN,2000,150.77
Slovenia,SVN,2005,169.19
Slovenia,SVN,2010,183.8
Slovenia,SVN,2015,195.51
Small Island Developing States (SIDS),,2000,301.23972
Small Island Developing States (SIDS),,2005,301.00949
Small Island Developing States (SIDS),,2010,298.80737
Small Island Developing States (SIDS),,2015,297.92279
Solomon Islands,SLB,2000,141.01
Solomon Islands,SLB,2005,141.01
Solomon Islands,SLB,2010,140.99
Solomon Islands,SLB,2015,140.73
Somalia,SOM,2000,100.07
Somalia,SOM,2005,99.85
Somalia,SOM,2010,100.19
Somalia,SOM,2015,99.64
South Africa,ZAF,2000,146.95
South Africa,ZAF,2005,146.95
South Africa,ZAF,2010,146.95
South Africa,ZAF,2015,146.95
South America,,2000,200.80699
South America,,2005,201.6572
South America,,2010,202.77619
South America,,2015,205.3209
South Eastern Asia,,2000,177.04411
South Eastern Asia,,2005,171.49333
South Eastern Asia,,2010,163.35749
South Eastern Asia,,2015,158.1748
South Korea,KOR,2000,59
South Korea,KOR,2005,73.86
South Korea,KOR,2010,90.65
South Korea,KOR,2015,104.95
Southern Africa,,2000,88.65582
Southern Africa,,2005,90.49237
Southern Africa,,2010,92.41742
Southern Africa,,2015,94.15596
Southern Asia,,2000,58.71259
Southern Asia,,2005,58.77873
Southern Asia,,2010,59.78485
Southern Asia,,2015,55.14832
Southern Europe,,2000,71.73202
Southern Europe,,2005,76.04748
Southern Europe,,2010,81.72906
Southern Europe,,2015,84.83433
Spain,ESP,2000,40.14
Spain,ESP,2005,45.03
Spain,ESP,2010,46.43
Spain,ESP,2015,49.74
Sri Lanka,LKA,2000,64.61
Sri Lanka,LKA,2005,62.98
Sri Lanka,LKA,2010,62.44
Sri Lanka,LKA,2015,61.76
Sub-Saharan Africa,,2000,162.5709
Sub-Saharan Africa,,2005,163.13871
Sub-Saharan Africa,,2010,163.98399
Sub-Saharan Africa,,2015,164.90544
Sub-Saharan Africa (inc. Sudan),,2000,162.98065
Sub-Saharan Africa (inc. Sudan),,2005,163.21455
Sub-Saharan Africa (inc. Sudan),,2010,164.13579
Sub-Saharan Africa (inc. Sudan),,2015,165.09621
Sudan,SDN,2000,174.47
Sudan,SDN,2005,165.37
Sudan,SDN,2010,168.53
Sudan,SDN,2015,170.73
Suriname,SUR,2000,236.43
Suriname,SUR,2005,236.43
Suriname,SUR,2010,236.44
Suriname,SUR,2015,236.43
Swaziland,SWZ,2000,73.94
Swaziland,SWZ,2005,70.06
Swaziland,SWZ,2010,66.96
Swaziland,SWZ,2015,63.99
Sweden,SWE,2000,54.15
Sweden,SWE,2005,58
Sweden,SWE,2010,58.91
Sweden,SWE,2015,59.53
Switzerland,CHE,2000,187.6
Switzerland,CHE,2005,188.17
Switzerland,CHE,2010,190.28
Switzerland,CHE,2015,192.19
Tajikistan,TJK,2000,9.76
Tajikistan,TJK,2005,9.76
Tajikistan,TJK,2010,9.76
Tajikistan,TJK,2015,9.71
Tanzania,TZA,2000,202.6
Tanzania,TZA,2005,202.6
Tanzania,TZA,2010,202.6
Tanzania,TZA,2015,202.6
Thailand,THA,2000,86.83
Thailand,THA,2005,91.3
Thailand,THA,2010,90.77
Thailand,THA,2015,88.24
Tonga,TON,2000,202.22
Tonga,TON,2005,202.22
Tonga,TON,2010,202.22
Tonga,TON,2015,202.22
Trinidad and Tobago,TTO,2000,148.24
Trinidad and Tobago,TTO,2005,148.96
Trinidad and Tobago,TTO,2010,146.95
Tunisia,TUN,2000,14.22
Tunisia,TUN,2005,14.21
Tunisia,TUN,2010,14.14
Tunisia,TUN,2015,14.02
Turkey,TUR,2000,93.98
Turkey,TUR,2005,95.79
Turkey,TUR,2010,101.85
Turkey,TUR,2015,109.6
Turkmenistan,TKM,2000,4.09
Turkmenistan,TKM,2005,4.24
Turkmenistan,TKM,2010,4.24
Turkmenistan,TKM,2015,4.24
Uganda,UGA,2000,60.48
Uganda,UGA,2005,60.54
Uganda,UGA,2010,61.17
Uganda,UGA,2015,61.68
Ukraine,UKR,2000,112.09
Ukraine,UKR,2005,119.69
Ukraine,UKR,2010,128.4
Ukraine,UKR,2015,131.2
United Arab Emirates,ARE,2000,74.35
