Entity,Code,Year,Annual freshwater withdrawals (m³)
Cote d'Ivoire,CIV,2000,1409000000
Cote d'Ivoire,CIV,2005,1549000000
Croatia,HRV,2012,669300000
Croatia,HRV,2013,633800000
Cuba,CUB,1995,5211000000
Cuba,CUB,2007,4937000000
Cuba,CUB,2013,6959000000
Cyprus,CYP,1975,155000000
Cyprus,CYP,1980,177000000
Cyprus,CYP,1985,200000000
Cyprus,CYP,1990,223000000
Cyprus,CYP,1993,208000000
Cyprus,CYP,2002,170700000
Cyprus,CYP,2007,164100000
Cyprus,CYP,2012,200300000
Cyprus,CYP,2013,221800000
Czech Republic,CZE,1997,2493000000
Czech Republic,CZE,2002,1908000000
Czech Republic,CZE,2007,1969000000
Czech Republic,CZE,2012,1841000000
Czech Republic,CZE,2013,1650000000
Democratic Republic of Congo,COD,2000,584100000
Democratic Republic of Congo,COD,2005,683600000
Denmark,DNK,1970,720000000
Denmark,DNK,1975,1205000000
Denmark,DNK,1980,1205000000
Denmark,DNK,1985,1705000000
Denmark,DNK,1990,1246000000
Denmark,DNK,1997,917500000
Denmark,DNK,2002,652900000
Denmark,DNK,2007,555800000
Denmark,DNK,2012,637000000
Djibouti,DJI,1985,8000000
Djibouti,DJI,2000,18800000
Dominica,DMA,1996,16600000
Dominica,DMA,2000,16600000
Dominica,DMA,2004,16600000
Dominica,DMA,2010,20000000
Dominican Republic,DOM,2000,4865000000
Dominican Republic,DOM,2005,5451000000
Dominican Republic,DOM,2010,7137000000
Ecuador,ECU,2000,9367000000
Ecuador,ECU,2005,9916000000
Egypt,EGY,1975,48200000000
Egypt,EGY,1995,58640000000
Egypt,EGY,2000,57030000000
Egypt,EGY,2010,73800000000
El Salvador,SLV,1992,728900000
El Salvador,SLV,2000,1376000000
El Salvador,SLV,2005,2118000000
Equatorial Guinea,GNQ,1987,10000000
Equatorial Guinea,GNQ,2000,17400000
Eritrea,ERI,2000,413400000
Eritrea,ERI,2004,582000000
Estonia,EST,1992,2630000000
Estonia,EST,1995,1358000000
Estonia,EST,2002,1413000000
Estonia,EST,2007,1834000000
Estonia,EST,2012,1631000000
Estonia,EST,2014,1720000000
Ethiopia,ETH,2002,5558000000
Ethiopia,ETH,2005,7861000000
Ethiopia,ETH,2016,10550000000
Fiji,FJI,1987,30000000
Fiji,FJI,2000,81700000
Fiji,FJI,2005,84900000
Finland,FIN,1970,3300000000
Finland,FIN,1975,3550000000
Finland,FIN,1980,3700000000
Finland,FIN,1985,4000000000
Finland,FIN,1990,2347000000
Finland,FIN,1995,2586000000
Finland,FIN,1999,2328000000
Finland,FIN,2006,6562000000
France,FRA,1980,30960000000
France,FRA,1985,34880000000
France,FRA,1992,39210000000
France,FRA,1997,30330000000
France,FRA,2002,32360000000
France,FRA,2007,30990000000
France,FRA,2012,29810000000
Gabon,GAB,1987,60000000
Gabon,GAB,2000,120300000
Gabon,GAB,2005,139100000
Gambia,GMB,1982,20000000
Gambia,GMB,2000,90500000
Georgia,GEO,2005,1813000000
Georgia,GEO,2008,1823000000
Germany,DEU,1991,46270000000
Germany,DEU,1995,45200000000
Germany,DEU,2001,39110000000
Germany,DEU,2007,32259999999.999996
Germany,DEU,2010,32990000000.000004
Ghana,GHA,1970,300000000
Ghana,GHA,2000,982000000
Greece,GRC,1970,4253999999.9999995
Greece,GRC,1975,4276000000
Greece,GRC,1980,5030000000
Greece,GRC,1985,5486000000
Greece,GRC,1992,8028000000
Greece,GRC,1997,8685000000
Greece,GRC,2002,9226000000
Greece,GRC,2007,9593000000
Grenada,GRD,2005,10000000
Grenada,GRD,2014,14100000
Guatemala,GTM,2006,3324000000
Guinea,GIN,1987,740000000
Guinea,GIN,2001,553300000
Guinea-Bissau,GNB,1991,16600000
Guinea-Bissau,GNB,1996,175000000
Guinea-Bissau,GNB,2000,175000000
Guyana,GUY,1992,1460000000
Guyana,GUY,2000,1640000000
Guyana,GUY,2010,1445000000
Haiti,HTI,1991,979900000
Haiti,HTI,1995,1285000000
Haiti,HTI,2009,1450000000
Honduras,HND,2003,1607000000
Hungary,HUN,1970,2980000000
Hungary,HUN,1975,3965000000
Hungary,HUN,1980,4805000000
Hungary,HUN,1985,6351000000
Hungary,HUN,1992,7137000000
Hungary,HUN,1996,6010000000
Hungary,HUN,2002,5720000000
Hungary,HUN,2007,5584000000
Hungary,HUN,2012,5051000000
Iceland,ISL,1980,108000000
Iceland,ISL,1985,112000000
Iceland,ISL,1992,167000000
Iceland,ISL,2002,165000000
Iceland,ISL,2004,165000000
Iceland,ISL,2012,3571000000
Iceland,ISL,2015,278300000
India,IND,1975,380000000000
India,IND,1980,438300000000
India,IND,1986,497400000000
India,IND,1990,500000000000
India,IND,2000,610400000000
India,IND,2010,647500000000
Indonesia,IDN,1990,74320000000
Indonesia,IDN,2000,113300000000
Iran,IRN,1975,45000000000
Iran,IRN,1995,83000000000
Iran,IRN,2001,89700000000
Iran,IRN,2004,93100000000
Iraq,IRQ,1975,40560000000
Iraq,IRQ,1980,40800000000
Iraq,IRQ,1985,41020000000
Iraq,IRQ,1990,42800000000
Iraq,IRQ,1995,54390000000
Iraq,IRQ,2000,65989999999.99999
Ireland,IRL,1980,1070000000.0000001
Ireland,IRL,1994,1176000000
Ireland,IRL,2007,729800000
Ireland,IRL,2009,757000000
Israel,ISR,1970,1542000000
Israel,ISR,1975,1598000000
Israel,ISR,1980,1643000000
Israel,ISR,1986,1720000000
Israel,ISR,1990,1584000000
Israel,ISR,1995,1532000000
Israel,ISR,2002,1543000000
Israel,ISR,2004,1419000000
Italy,ITA,1970,41600000000
Italy,ITA,2000,45080000000
Italy,ITA,2008,53750000000
Jamaica,JAM,1993,927500000
Jamaica,JAM,2007,811500000
Japan,JPN,1980,88200000000
Japan,JPN,1992,91400000000
Japan,JPN,1997,89190000000
Japan,JPN,2002,84460000000
Japan,JPN,2007,82750000000
Japan,JPN,2009,81220000000
Jordan,JOR,1975,451000000
Jordan,JOR,1980,535000000.00000006
Jordan,JOR,1985,619000000
Jordan,JOR,1992,937000000
Jordan,JOR,2002,738100000
Jordan,JOR,2007,922200000
Jordan,JOR,2012,849000000
Jordan,JOR,2015,1104000000
Kazakhstan,KAZ,1995,32070000000
Kazakhstan,KAZ,2002,18640000000
Kazakhstan,KAZ,2007,19820000000
Kazakhstan,KAZ,2010,19980000000
Kenya,KEN,1990,2049000000
Kenya,KEN,2003,2320000000
Kenya,KEN,2010,3218000000
Kuwait,KWT,1994,255000000
Kuwait,KWT,2002,415000000
Kyrgyzstan,KGZ,1994,9790000000
Kyrgyzstan,KGZ,2000,10080000000
Kyrgyzstan,KGZ,2006,7707000000
Laos,LAO,2005,3493000000
Latvia,LVA,1995,406200000
Latvia,LVA,2002,244500000
Latvia,LVA,2007,206600000
Latvia,LVA,2012,248200000
Latvia,LVA,2013,236000000
Lebanon,LBN,1975,751000000
Lebanon,LBN,1994,1291000000
Lebanon,LBN,2000,1266000000
Lebanon,LBN,2005,1096000000
Lesotho,LSO,1987,50000000
Lesotho,LSO,2000,43800000
Liberia,LBR,1987,130000000
Liberia,LBR,2000,130800000
Libya,LBY,1975,1200000000
Libya,LBY,1980,1470000000
Libya,LBY,1985,3115000000
Libya,LBY,1990,4760000000
Libya,LBY,1994,4600000000
Libya,LBY,2000,4308000000
Libya,LBY,2005,4822000000
Libya,LBY,2012,5760000000
Lithuania,LTU,1995,4347000000
Lithuania,LTU,2001,2768000000
Lithuania,LTU,2007,2264000000
Lithuania,LTU,2011,626400000
Luxembourg,LUX,1970,34800000
Luxembourg,LUX,1975,42500000
Luxembourg,LUX,1980,39700000
Luxembourg,LUX,1985,67000000.00000001
Luxembourg,LUX,1995,56500000
Luxembourg,LUX,1999,60500000
Luxembourg,LUX,2012,44500000
Luxembourg,LUX,2013,43100000
Macedonia,MKD,1996,1555000000
Macedonia,MKD,2002,633200000
Macedonia,MKD,2007,551200000
Madagascar,MDG,1984,16300000000
Madagascar,MDG,2000,13370000000
Madagascar,MDG,2006,13560000000
Malawi,MWI,1994,936000000
Malawi,MWI,2002,1325000000
Malawi,MWI,2005,1357000000
Malaysia,MYS,1990,10120000000
Malaysia,MYS,1996,5484000000
Malaysia,MYS,2000,9301000000
Malaysia,MYS,2005,11200000000
Maldives,MDV,1987,3400000
Maldives,MDV,2008,4700000
Mali,MLI,1987,1360000000
Mali,MLI,2006,5186000000
Malta,MLT,1980,20000000
Malta,MLT,1995,29500000
Malta,MLT,2002,34000000
Malta,MLT,2007,32800000.000000004
Malta,MLT,2012,17000000
Malta,MLT,2013,22400000
Mauritania,MRT,1980,730000000
Mauritania,MRT,2000,1599000000
Mauritania,MRT,2005,1348000000
Mauritius,MUS,1975,360000000
Mauritius,MUS,1990,566000000
Mauritius,MUS,1995,615000000
Mauritius,MUS,2000,610000000
Mauritius,MUS,2003,725000000
Mexico,MEX,1980,55970000000
Mexico,MEX,2002,72300000000
Mexico,MEX,2007,78650000000
Mexico,MEX,2012,81910000000
Mexico,MEX,2015,85660000000
Moldova,MDA,1992,1963000000
Moldova,MDA,2007,1065000000
Monaco,MCO,1990,6700000
Monaco,MCO,1997,6000000
Monaco,MCO,2002,5800000
Monaco,MCO,2007,5500000
Monaco,MCO,2009,5000000
Mongolia,MNG,1993,428000000
Mongolia,MNG,2006,540000000
Mongolia,MNG,2009,551000000
Montenegro,MNE,2010,160900000
Morocco,MAR,1975,9000000000
Morocco,MAR,1980,10050000000
Morocco,MAR,1985,11000000000
Morocco,MAR,1992,11040000000
Morocco,MAR,1995,11260000000
Morocco,MAR,2002,14820000000
Morocco,MAR,2010,10350000000
Mozambique,MOZ,1990,605000000
Mozambique,MOZ,2001,884200000
Mozambique,MOZ,2015,1473000000
Myanmar,MMR,1987,28260000000
Myanmar,MMR,2000,33229999999.999996
Namibia,NAM,1985,140000000
Namibia,NAM,1991,248700000
Namibia,NAM,1995,266900000.00000003
Namibia,NAM,2002,281900000
Nepal,NPL,2000,9562000000
Nepal,NPL,2006,9497000000
Netherlands,NLD,1980,9198000000
Netherlands,NLD,1985,9349000000
Netherlands,NLD,1991,7983000000
Netherlands,NLD,1996,6507000000
Netherlands,NLD,2002,8906000000
Netherlands,NLD,2007,10940000000
Netherlands,NLD,2012,10720000000
New Zealand,NZL,1980,1200000000
New Zealand,NZL,1985,1900000000
New Zealand,NZL,1999,3140000000
New Zealand,NZL,2006,4908000000
New Zealand,NZL,2010,5201000000
Nicaragua,NIC,2001,1387000000
Nicaragua,NIC,2011,1545000000
Niger,NER,1988,500000000
Niger,NER,2005,983600000
Nigeria,NGA,1987,5590000000
Nigeria,NGA,2000,10310000000
Nigeria,NGA,2005,11570000000
Nigeria,NGA,2010,12470000000
North Korea,PRK,2005,8658000000
Norway,NOR,1980,2000000000
Norway,NOR,1996,2420000000
Norway,NOR,2002,2399000000
Norway,NOR,2007,3026000000
Oman,OMN,1991,1197000000
Oman,OMN,2000,1300000000
Oman,OMN,2003,1186000000
Pakistan,PAK,1975,153400000000
Pakistan,PAK,1991,155600000000
Pakistan,PAK,2000,172600000000
Pakistan,PAK,2008,183500000000
Palestine,PSE,2001,269000000
Palestine,PSE,2005,408000000
Panama,PAN,2010,1036999999.9999999
Papua New Guinea,PNG,2000,271400000
Papua New Guinea,PNG,2005,392100000
Paraguay,PRY,1987,430000000
Paraguay,PRY,2000,490000000
Paraguay,PRY,2012,2413000000
Peru,PER,2008,13560000000
Philippines,PHL,2006,78900000000
Philippines,PHL,2009,81560000000
Poland,POL,1970,10110000000
Poland,POL,1975,13530000000
Poland,POL,1980,15130000000
Poland,POL,1985,16410000000
Poland,POL,1992,13380000000
Poland,POL,1997,12790000000
Poland,POL,2002,11720000000
Poland,POL,2007,12020000000
Poland,POL,2012,11470000000
Portugal,PRT,1991,8598000000
Portugal,PRT,1998,11140000000
Portugal,PRT,2007,9146000000
Puerto Rico,PRI,1990,797600000
Puerto Rico,PRI,2000,856400000
Puerto Rico,PRI,2005,998400000
Puerto Rico,PRI,2010,1016999999.9999999
Qatar,QAT,1975,150000000
Qatar,QAT,1994,160700000
Qatar,QAT,2000,163900000
Qatar,QAT,2005,217000000
Romania,ROU,1970,9590000000
Romania,ROU,1975,14400000000
Romania,ROU,1980,18800000000
Romania,ROU,1985,20500000000
Romania,ROU,1990,20410000000
Romania,ROU,1997,12460000000
Romania,ROU,2002,9222000000
Romania,ROU,2007,6884000000
Romania,ROU,2012,6482000000
Romania,ROU,2013,6418000000
Russia,RUS,1994,77100000000
Russia,RUS,2001,66200000000
Russia,RUS,2013,61000000000
Rwanda,RWA,2000,150000000
Saint Kitts and Nevis,KNA,2012,12300000
Saint Lucia,LCA,2007,42900000
Saint Vincent and the Grenadines,VCT,1995,10000000
Saint Vincent and the Grenadines,VCT,2013,7900000.000000001
Sao Tome and Principe,STP,1993,7000000
Saudi Arabia,SAU,1992,16120000000.000002
Saudi Arabia,SAU,2006,22640000000
Senegal,SEN,1987,1360000000
Senegal,SEN,2002,2221000000
Serbia,SRB,2007,3958000000
Serbia,SRB,2012,3869000000
Serbia,SRB,2013,4150000000.0000005
Seychelles,SYC,1989,11900000
Seychelles,SYC,2005,12700000
Sierra Leone,SLE,1987,370000000
Sierra Leone,SLE,2000,188900000
Sierra Leone,SLE,2005,212200000
Singapore,SGP,1975,190000000
Slovakia,SVK,1997,1310000000
Slovakia,SVK,2002,1094000000
Slovakia,SVK,2007,688000000
Slovakia,SVK,2012,665300000
Slovakia,SVK,2014,559300000
Slovenia,SVN,2002,899200000
Slovenia,SVN,2007,934900000
Slovenia,SVN,2012,928100000
Slovenia,SVN,2013,1156000000
Somalia,SOM,1987,810000000
Somalia,SOM,2000,3290000000
Somalia,SOM,2003,3298000000
South Africa,ZAF,1990,13290000000
South Africa,ZAF,1995,12880000000
South Africa,ZAF,2000,12730000000
South Africa,ZAF,2013,15500000000
South Korea,KOR,1990,20570000000
South Korea,KOR,1997,25440000000
South Korea,KOR,2002,29160000000
South Korea,KOR,2005,29040000000
South Sudan,SSD,2011,658000000
Spain,ESP,1975,36080000000
Spain,ESP,1980,39920000000
Spain,ESP,1986,45850000000
Spain,ESP,1991,36800000000
Spain,ESP,1997,34500000000
Spain,ESP,2002,35510000000
Spain,ESP,2007,34970000000
Spain,ESP,2012,36750000000
Sri Lanka,LKA,1990,9769000000
Sri Lanka,LKA,2000,13010000000
Sri Lanka,LKA,2005,12950000000
Sudan,SDN,2011,26930000000
Suriname,SUR,1987,460000000
Suriname,SUR,2000,670000000
Suriname,SUR,2006,615900000
Swaziland,SWZ,1980,657000000
Swaziland,SWZ,2000,1042000000
Sweden,SWE,1970,4073000000.0000005
Sweden,SWE,1975,4135000000
Sweden,SWE,1980,4106000000
Sweden,SWE,1985,2970000000
Sweden,SWE,1992,2973000000
Sweden,SWE,1997,2711000000
Sweden,SWE,2002,2676000000
Sweden,SWE,2007,2630000000
Sweden,SWE,2010,2689000000
Switzerland,CHE,1975,2598000000
Switzerland,CHE,1980,2589000000
Switzerland,CHE,1985,2646000000
Switzerland,CHE,1992,2695000000
Switzerland,CHE,1997,2559000000
Switzerland,CHE,2002,2518000000
Switzerland,CHE,2012,2005000000
Syrian Arab Republic,,1975,3340000000
Syrian Arab Republic,,1997,14430000000
Syrian Arab Republic,,2002,16360000000
Syrian Arab Republic,,2005,14140000000
Tajikistan,TJK,1994,11520000000
Tajikistan,TJK,2000,11660000000
Tajikistan,TJK,2006,11190000000
Tanzania,TZA,2002,5184000000
Thailand,THA,2007,57310000000
Timor,TLS,2004,1172000000
Togo,TGO,1987,91000000
Togo,TGO,2002,169000000
Trinidad and Tobago,TTO,1997,297000000
Trinidad and Tobago,TTO,2000,314000000
Trinidad and Tobago,TTO,2005,309000000
Trinidad and Tobago,TTO,2011,336200000
Tunisia,TUN,1975,1070000000.0000001
Tunisia,TUN,1980,1900000000
Tunisia,TUN,1985,2300000000
Tunisia,TUN,1990,3067000000
Tunisia,TUN,1995,2849000000
Tunisia,TUN,2001,2809000000
Tunisia,TUN,2011,3217000000
Turkey,TUR,1992,31600000000
Turkey,TUR,2000,42000000000
Turkey,TUR,2003,40050000000
Turkey,TUR,2008,41960000000
Turkmenistan,TKM,1994,23700000000
Turkmenistan,TKM,2000,24910000000
Turkmenistan,TKM,2004,27870000000
Uganda,UGA,1970,200000000
Uganda,UGA,2002,317400000
Uganda,UGA,2008,637000000
Ukraine,UKR,1992,26000000000
Ukraine,UKR,2000,18280000000
Ukraine,UKR,2005,15080000000
Ukraine,UKR,2010,14850000000
United Arab Emirates,ARE,1980,900000000
United Arab Emirates,ARE,1995,1723000000
United Arab Emirates,ARE,2000,2334000000
United Arab Emirates,ARE,2005,2800000000
United Kingdom,GBR,1980,13480000000
United Kingdom,GBR,1985,11500000000
United Kingdom,GBR,1990,12020000000
United Kingdom,GBR,1995,12090000000
United Kingdom,GBR,2002,15780000000
United Kingdom,GBR,2007,8480000000
United Kingdom,GBR,2012,8016999999.999999
United States,USA,1980,517600000000
United States,USA,1990,465100000000
United States,USA,2000,473500000000
United States,USA,2005,478600000000
United States,USA,2010,418700000000
Uruguay,URY,1965,650000000
Uruguay,URY,2000,3660000000
Uzbekistan,UZB,1994,53760000000
Uzbekistan,UZB,2001,53740000000
Uzbekistan,UZB,2005,49160000000
Venezuela,VEN,1970,4099999999.9999995
Venezuela,VEN,2000,9059000000
Venezuela,VEN,2007,22620000000
Vietnam,VNM,1980,37860000000
Vietnam,VNM,1985,45270000000
Vietnam,VNM,2005,81860000000
Yemen,YEM,1990,2922000000
Yemen,YEM,2000,3384000000
Yemen,YEM,2005,3540000000
Zambia,ZMB,1992,1747000000
Zambia,ZMB,1994,1706000000
Zambia,ZMB,2002,1572000000
Zimbabwe,ZWE,1987,1220000000
Zimbabwe,ZWE,2002,4205000000
Zimbabwe,ZWE,2007,3570000000
