Entity,Code,Year,Indicator:Alcohol expenditure as a per cent of total household expenditure (%)
Belarus,BLR,2009,2.2
Belarus,BLR,2010,2.2
Belarus,BLR,2011,2.2
Belarus,BLR,2012,2.6
Belarus,BLR,2013,2.6
Belarus,BLR,2014,2.5
Bhutan,BTN,2007,3.8
Bhutan,BTN,2012,4.3
Canada,CAN,1990,2.3
Canada,CAN,1991,2.2
Canada,CAN,1992,2.2
Canada,CAN,1993,2.2
Canada,CAN,1994,2.2
Canada,CAN,1995,2.2
Canada,CAN,1996,2
Canada,CAN,1997,2
Canada,CAN,1998,2.2
Canada,CAN,1999,2
Canada,CAN,2000,2.1
Canada,CAN,2001,2
Canada,CAN,2002,2.1
Canada,CAN,2003,2.1
Canada,CAN,2004,2.1
Canada,CAN,2005,2
Canada,CAN,2006,2
Canada,CAN,2007,2
Canada,CAN,2008,2
Canada,CAN,2009,2.1
Canada,CAN,2010,2
Canada,CAN,2011,2
Canada,CAN,2012,2
Canada,CAN,2013,2
Canada,CAN,2014,1.9
Cook Islands,COK,2005,1.2
Croatia,HRV,2005,1.6
Croatia,HRV,2006,1.6
Croatia,HRV,2007,1.6
Croatia,HRV,2009,1.5
Croatia,HRV,2010,1.5
Croatia,HRV,2011,1.5
Croatia,HRV,2014,1.3
Cyprus,CYP,1991,0.6
Czech Republic,CZE,2010,1.1
Czech Republic,CZE,2011,1.1
Czech Republic,CZE,2012,1.1
Czech Republic,CZE,2013,1.2
Czech Republic,CZE,2014,1.2
Czech Republic,CZE,2015,1.2
Denmark,DNK,1994,2.4
Denmark,DNK,1998,2.3
Denmark,DNK,1999,2.3
Denmark,DNK,2000,2.3
Denmark,DNK,2001,2.3
Denmark,DNK,2002,2.2
Denmark,DNK,2003,2.3
Denmark,DNK,2004,1.9
Denmark,DNK,2005,1.9
Denmark,DNK,2006,1.8
Denmark,DNK,2007,1.7
Denmark,DNK,2008,1.7
Denmark,DNK,2009,1.7
Denmark,DNK,2010,1.6
Denmark,DNK,2011,1.6
Denmark,DNK,2012,1.7
Denmark,DNK,2013,1.8
Denmark,DNK,2014,1.7
Denmark,DNK,2015,1.7
Estonia,EST,1996,1.7
Estonia,EST,1997,1.9
Estonia,EST,1998,1.9
Estonia,EST,1999,2
Estonia,EST,2000,2.1
Estonia,EST,2001,1.9
Estonia,EST,2002,2.1
Estonia,EST,2003,2.1
Estonia,EST,2004,1.9
Estonia,EST,2005,1.9
Estonia,EST,2006,1.9
Estonia,EST,2007,1.9
Estonia,EST,2010,2
Estonia,EST,2011,2
Estonia,EST,2012,2.5
Ethiopia,ETH,2010,3.6
Finland,FIN,1990,7.1
Finland,FIN,1991,7
Finland,FIN,1992,6.9
Finland,FIN,1993,6.5
Finland,FIN,1994,6.2
Finland,FIN,1998,5.6
Finland,FIN,1999,5.7
Finland,FIN,2000,5.4
Finland,FIN,2001,5.4
Finland,FIN,2002,5.5
Finland,FIN,2003,5.4
Finland,FIN,2004,4.8
Finland,FIN,2005,4.6
Finland,FIN,2006,4.6
Finland,FIN,2007,4.7
Finland,FIN,2008,4.6
Finland,FIN,2009,4.8
Finland,FIN,2010,4.7
Finland,FIN,2011,4.5
Finland,FIN,2012,4.4
Finland,FIN,2013,4.1
Finland,FIN,2014,4.2
Finland,FIN,2015,4.1
France,FRA,2006,1.4
Georgia,GEO,1990,1.3
Georgia,GEO,1991,1.1
Greece,GRC,2000,0.9
Greece,GRC,2002,0.9
Greece,GRC,2003,1
Greece,GRC,2004,1
Greece,GRC,2005,1
Greece,GRC,2006,1
Greece,GRC,2007,0.9
Greece,GRC,2008,0.9
Greece,GRC,2009,0.9
Hungary,HUN,2006,1.1
Hungary,HUN,2007,1.1
Hungary,HUN,2008,1.1
Hungary,HUN,2009,1.1
Hungary,HUN,2010,1.1
Hungary,HUN,2011,3.1
Hungary,HUN,2012,3.1
Hungary,HUN,2013,3
Hungary,HUN,2014,3.2
Hungary,HUN,2015,2.9
Iceland,ISL,1990,3.4
Iceland,ISL,1991,3.2
Iceland,ISL,1992,3.2
Iceland,ISL,1993,3.1
Iceland,ISL,1998,3.2
Iceland,ISL,1999,3.2
Iceland,ISL,2000,3.3
Iceland,ISL,2001,3.5
Iceland,ISL,2002,3.7
Iceland,ISL,2003,3.2
Iceland,ISL,2004,3
Iceland,ISL,2005,2.9
Iceland,ISL,2006,2.8
Iceland,ISL,2007,2.9
Ireland,IRL,2000,6
Ireland,IRL,2004,8.5
Ireland,IRL,2005,8.1
Ireland,IRL,2006,8
Ireland,IRL,2007,7.8
Ireland,IRL,2008,7.4
Ireland,IRL,2009,7.6
Ireland,IRL,2010,7.6
Ireland,IRL,2011,7.6
Ireland,IRL,2012,7.7
Italy,ITA,1990,1.1
Italy,ITA,1991,1.1
Italy,ITA,1992,1.1
Italy,ITA,1993,1
Italy,ITA,1994,0.9
Italy,ITA,1995,0.8
Italy,ITA,1996,0.9
Italy,ITA,1997,0.8
Italy,ITA,1998,0.8
Italy,ITA,1999,0.8
Italy,ITA,2000,0.8
Italy,ITA,2001,0.8
Italy,ITA,2002,0.8
Italy,ITA,2003,0.8
Italy,ITA,2004,0.8
Italy,ITA,2005,0.8
Italy,ITA,2006,0.8
Italy,ITA,2007,0.7
Italy,ITA,2008,0.7
Italy,ITA,2009,0.7
Italy,ITA,2010,0.7
Japan,JPN,1990,1.2
Japan,JPN,1991,1.3
Japan,JPN,1992,1.2
Japan,JPN,1993,1.2
Japan,JPN,1994,1.1
Japan,JPN,1995,1.2
Japan,JPN,1996,1.2
Japan,JPN,1997,1.2
Japan,JPN,1998,1.1
Japan,JPN,1999,1.2
Japan,JPN,2000,1.2
Japan,JPN,2001,1.1
Japan,JPN,2002,1.1
Japan,JPN,2003,1.1
Japan,JPN,2004,1.1
Japan,JPN,2005,1.1
Japan,JPN,2006,1.1
Japan,JPN,2007,1.1
Japan,JPN,2012,1.6
Kazakhstan,KAZ,1990,5
Kazakhstan,KAZ,1991,4.3
Kazakhstan,KAZ,1992,5.4
Kazakhstan,KAZ,1993,5
Kazakhstan,KAZ,1994,3.4
Kazakhstan,KAZ,1995,2.5
Kyrgyzstan,KGZ,1990,3.9
Kyrgyzstan,KGZ,1991,4.2
Kyrgyzstan,KGZ,1992,3.4
Kyrgyzstan,KGZ,1993,2.8
Kyrgyzstan,KGZ,1994,2.7
Kyrgyzstan,KGZ,1995,1.9
Latvia,LVA,1994,2
Lebanon,LBN,2005,0.06
Lebanon,LBN,2012,0.04
Lithuania,LTU,1990,6.1
Lithuania,LTU,1993,2
Lithuania,LTU,1998,3.4
Lithuania,LTU,2008,2.5
Lithuania,LTU,2012,2.4
Macedonia,MKD,2006,1.3
Macedonia,MKD,2007,1.4
Macedonia,MKD,2008,1.7
Macedonia,MKD,2009,1.8
Macedonia,MKD,2010,1.8
Macedonia,MKD,2011,1.6
Macedonia,MKD,2012,1.8
Macedonia,MKD,2013,1.3
Macedonia,MKD,2014,1
Macedonia,MKD,2015,1.2
Mexico,MEX,1994,1
Mexico,MEX,2006,2
Mexico,MEX,2008,1.9
Mexico,MEX,2010,1.9
Mexico,MEX,2012,1.9
Moldova,MDA,1990,2.6
Moldova,MDA,1991,2.5
Moldova,MDA,1992,2.2
Moldova,MDA,1993,2.2
Moldova,MDA,1994,2
Moldova,MDA,1995,1.9
Netherlands,NLD,2010,0.7
Netherlands,NLD,2011,0.07
Netherlands,NLD,2012,0.8
Netherlands,NLD,2013,0.8
Netherlands,NLD,2014,0.8
New Zealand,NZL,2007,2
New Zealand,NZL,2010,2.1
New Zealand,NZL,2013,1.9
Norway,NOR,1990,4.6
Norway,NOR,1991,4.6
Norway,NOR,1992,4.4
Norway,NOR,1993,4.2
Norway,NOR,1994,4.2
Norway,NOR,1995,4.1
Norway,NOR,1996,4
Norway,NOR,1997,4.1
Norway,NOR,1998,4.1
Norway,NOR,1999,3.9
Norway,NOR,2000,3.9
Norway,NOR,2001,3.9
Norway,NOR,2002,3.5
Norway,NOR,2003,3.2
Norway,NOR,2004,3.2
Norway,NOR,2005,3.1
Norway,NOR,2006,2.9
Norway,NOR,2007,2.8
Norway,NOR,2008,2.7
Norway,NOR,2009,2.2
Norway,NOR,2010,2.1
Norway,NOR,2011,2
Norway,NOR,2012,2.2
Norway,NOR,2013,2.3
Norway,NOR,2014,2.2
Palau,PLW,1990,5.4
Palau,PLW,2014,1.1
Philippines,PHL,2012,0.6
Poland,POL,1990,8.5
Poland,POL,1991,8.5
Poland,POL,1992,7.2
Poland,POL,1993,6.8
Poland,POL,2012,0.8
Romania,ROU,1991,11
Romania,ROU,2008,0.4
Romania,ROU,2009,0.4
Romania,ROU,2010,0.4
Romania,ROU,2011,0.4
Romania,ROU,2012,0.4
Romania,ROU,2013,0.4
Russia,RUS,1990,5
Russia,RUS,1991,4.2
Russia,RUS,1992,4
Russia,RUS,1993,3.1
Russia,RUS,1994,2.9
Russia,RUS,1995,2.5
Russia,RUS,2000,2.5
Russia,RUS,2005,1.9
Russia,RUS,2006,1.9
Russia,RUS,2007,1.7
Russia,RUS,2008,1.6
Russia,RUS,2009,1.7
Russia,RUS,2010,1.7
Russia,RUS,2011,1.7
Russia,RUS,2012,1.7
Russia,RUS,2013,1.7
Russia,RUS,2014,1.7
Samoa,WSM,2008,0.7
Seychelles,SYC,1993,22
Singapore,SGP,2012,0.3
Slovenia,SVN,2000,1.1
Slovenia,SVN,2001,1
Slovenia,SVN,2002,1
Slovenia,SVN,2003,1
Slovenia,SVN,2004,0.9
Slovenia,SVN,2005,0.9
Slovenia,SVN,2006,1
Slovenia,SVN,2007,1
Slovenia,SVN,2008,1
Slovenia,SVN,2009,1
Slovenia,SVN,2010,1
Slovenia,SVN,2012,1.1
South Africa,ZAF,1992,7.8
Spain,ESP,1992,1.3
Sweden,SWE,1992,3.7
Sweden,SWE,1995,3.1
Sweden,SWE,1997,3.2
Sweden,SWE,1999,3.4
Sweden,SWE,2000,3.3
Sweden,SWE,2001,3.1
Sweden,SWE,2002,3
Sweden,SWE,2003,3
Sweden,SWE,2004,2.8
Sweden,SWE,2005,2.8
Sweden,SWE,2007,2.7
Sweden,SWE,2008,2.7
Sweden,SWE,2009,2.9
Sweden,SWE,2010,1.9
Sweden,SWE,2011,1.9
Sweden,SWE,2012,1.9
Sweden,SWE,2013,1.9
Sweden,SWE,2014,1.9
Tajikistan,TJK,1990,1.8
Tajikistan,TJK,1991,1.7
Tajikistan,TJK,1992,2
Tajikistan,TJK,1993,2.2
Tajikistan,TJK,2006,0.2
Tajikistan,TJK,2007,0.2
Tajikistan,TJK,2008,0.1
Tajikistan,TJK,2009,0.1
Tajikistan,TJK,2010,0.1
Tajikistan,TJK,2011,0.1
Tajikistan,TJK,2012,0.1
Thailand,THA,1992,2.5
Thailand,THA,2007,1.6
Thailand,THA,2012,1.2
Thailand,THA,2013,1.1
Turkmenistan,TKM,1990,3.4
Turkmenistan,TKM,1991,2.6
Turkmenistan,TKM,1992,3.2
Turkmenistan,TKM,1993,3.9
Turkmenistan,TKM,1994,4
Ukraine,UKR,1990,3.7
Ukraine,UKR,1991,2.8
Ukraine,UKR,2007,1.7
Ukraine,UKR,2008,1.5
Ukraine,UKR,2009,1.6
Ukraine,UKR,2010,1.6
Ukraine,UKR,2011,1.4
Ukraine,UKR,2012,1.5
Ukraine,UKR,2013,1.5
Ukraine,UKR,2014,1.5
United Kingdom,GBR,1990,6.5
United Kingdom,GBR,1991,6.5
United Kingdom,GBR,1992,6.3
United Kingdom,GBR,1993,6.2
United Kingdom,GBR,1994,6.2
United Kingdom,GBR,1995,6
United Kingdom,GBR,1996,6.2
United Kingdom,GBR,1997,6.1
United Kingdom,GBR,1998,6.1
United Kingdom,GBR,1999,5.9
United Kingdom,GBR,2000,5.8
United Kingdom,GBR,2001,5.7
United Kingdom,GBR,2002,5.8
United Kingdom,GBR,2003,5.6
United Kingdom,GBR,2004,5.5
United Kingdom,GBR,2005,5.4
United Kingdom,GBR,2006,5.2
United Kingdom,GBR,2012,1.6
United States,USA,1990,0.9
United States,USA,1995,0.9
United States,USA,1998,0.9
United States,USA,1999,0.9
United States,USA,2000,1
United States,USA,2001,0.9
United States,USA,2002,0.9
United States,USA,2003,1
United States,USA,2004,1.1
United States,USA,2005,0.9
United States,USA,2006,1
United States,USA,2007,0.9
United States,USA,2008,0.9
United States,USA,2009,0.9
Uzbekistan,UZB,1990,2.9
Uzbekistan,UZB,1991,3.2
Uzbekistan,UZB,1992,3.2
Uzbekistan,UZB,1993,2.9
Uzbekistan,UZB,1994,2.5
Uzbekistan,UZB,1995,1.9
Zimbabwe,ZWE,1990,7
