Entity,Code,Year,Urban poverty headcount ratio at national poverty lines (% of urban population) (% of urban population)
Cameroon,CMR,2007,12.2
Cameroon,CMR,2014,8.9
Cape Verde,CPV,2007,13.2
Central African Republic,CAF,2008,49.6
Chad,TCD,2002,24.4
Chad,TCD,2011,20.9
Chile,CHL,1987,43.6
Chile,CHL,1990,38.5
Chile,CHL,1992,32.7
Chile,CHL,1994,27
Chile,CHL,1996,22
Chile,CHL,1998,20.7
Chile,CHL,2000,19.7
Chile,CHL,2003,18.5
Chile,CHL,2006,25.8
Chile,CHL,2009,22.6
Chile,CHL,2011,19.9
Chile,CHL,2013,12.4
Colombia,COL,2002,45.5
Colombia,COL,2003,44.9
Colombia,COL,2004,43.7
Colombia,COL,2005,41.1
Colombia,COL,2008,37.4
Colombia,COL,2009,36
Colombia,COL,2010,33.3
Colombia,COL,2011,30.3
Colombia,COL,2012,28.4
Colombia,COL,2013,26.9
Colombia,COL,2014,24.6
Colombia,COL,2015,24.1
Comoros,COM,2004,34.5
Congo,COG,2004,43.3
Costa Rica,CRI,2010,19
Costa Rica,CRI,2011,19.7
Costa Rica,CRI,2012,18.2
Costa Rica,CRI,2013,18.2
Costa Rica,CRI,2014,19.5
Costa Rica,CRI,2015,19.4
Cote d'Ivoire,CIV,2002,24.5
Cote d'Ivoire,CIV,2008,29.4
Cote d'Ivoire,CIV,2015,35.9
Dominican Republic,DOM,2000,23.7
Dominican Republic,DOM,2001,24.8
Dominican Republic,DOM,2002,24.9
Dominican Republic,DOM,2003,33.9
Dominican Republic,DOM,2004,44.4
Dominican Republic,DOM,2005,42.8
Dominican Republic,DOM,2006,38.8
Dominican Republic,DOM,2007,39.1
Dominican Republic,DOM,2008,38.8
Dominican Republic,DOM,2009,37.9
Dominican Republic,DOM,2010,37.3
Dominican Republic,DOM,2011,36.5
Dominican Republic,DOM,2012,36.8
Dominican Republic,DOM,2013,36.3
Ecuador,ECU,2000,54.6
Ecuador,ECU,2001,45.3
Ecuador,ECU,2003,38.8
Ecuador,ECU,2004,32.5
Ecuador,ECU,2005,31
Ecuador,ECU,2006,25.9
Ecuador,ECU,2007,24.3
Ecuador,ECU,2008,22.6
Ecuador,ECU,2009,25
Ecuador,ECU,2010,22.5
Ecuador,ECU,2011,17.4
Ecuador,ECU,2012,16.1
Ecuador,ECU,2013,17.6
Ecuador,ECU,2014,16.4
Egypt,EGY,2000,9.3
Egypt,EGY,2004,10.1
Egypt,EGY,2008,11
Egypt,EGY,2010,15.3
El Salvador,SLV,2005,30.9
El Salvador,SLV,2006,27.7
El Salvador,SLV,2007,29.8
El Salvador,SLV,2008,35.7
El Salvador,SLV,2009,33.3
El Salvador,SLV,2010,33
El Salvador,SLV,2011,35.4
El Salvador,SLV,2012,29.9
El Salvador,SLV,2013,26.2
El Salvador,SLV,2014,28.5
Equatorial Guinea,GNQ,2006,31.5
Eritrea,ERI,1993,62
Ethiopia,ETH,1995,33.2
Ethiopia,ETH,1999,36.9
Ethiopia,ETH,2004,35.1
Ethiopia,ETH,2010,25.7
Fiji,FJI,2002,34.5
Fiji,FJI,2008,26.2
Gabon,GAB,2005,29.8
Gambia,GMB,2010,32.7
Ghana,GHA,2005,12.4
Ghana,GHA,2012,10.6
Guatemala,GTM,2000,27.1
Guatemala,GTM,2006,30
Guatemala,GTM,2014,42.162316152966
Guinea,GIN,1994,17.5
Guinea,GIN,2002,23.5
Guinea,GIN,2007,30.5
Guinea,GIN,2012,35.4
Guinea-Bissau,GNB,2002,51.6
Guinea-Bissau,GNB,2010,51
Haiti,HTI,2012,40.6
Honduras,HND,2001,55.9
Honduras,HND,2002,58
Honduras,HND,2003,57.5
Honduras,HND,2004,57.1
Honduras,HND,2005,57.7
Honduras,HND,2006,52.9
Honduras,HND,2007,51
Honduras,HND,2008,55.2
Honduras,HND,2009,52.8
Honduras,HND,2010,54.3
Honduras,HND,2011,58.5
Honduras,HND,2012,63.6
Honduras,HND,2013,60.4
Honduras,HND,2014,61
India,IND,1993,31.8
India,IND,2004,25.7
India,IND,2009,20.9
India,IND,2011,13.7
Indonesia,IDN,1996,13.4
Indonesia,IDN,1999,19.4
Indonesia,IDN,2002,14.5
Indonesia,IDN,2003,13.6
Indonesia,IDN,2004,12.1
Indonesia,IDN,2005,11.7
Indonesia,IDN,2006,13.5
Indonesia,IDN,2007,12.5
Indonesia,IDN,2008,11.7
Indonesia,IDN,2009,10.7
Indonesia,IDN,2010,9.9
Indonesia,IDN,2011,9.2
Indonesia,IDN,2012,8.8
Indonesia,IDN,2013,8.4
Indonesia,IDN,2014,8.3
Iraq,IRQ,2006,15.7
Iraq,IRQ,2012,14.8
Jamaica,JAM,1991,16.1
Jamaica,JAM,1992,22.8
Jamaica,JAM,1998,5.5
Jamaica,JAM,1999,11.1
Jamaica,JAM,2000,12.6
Jamaica,JAM,2001,9.9
Jamaica,JAM,2002,10.6
Jordan,JOR,2010,13.9
Kazakhstan,KAZ,2001,36
Kazakhstan,KAZ,2002,33
Kazakhstan,KAZ,2003,24.7
Kazakhstan,KAZ,2004,23.4
Kazakhstan,KAZ,2005,20.2
Kazakhstan,KAZ,2006,13.6
Kazakhstan,KAZ,2007,6.9
Kazakhstan,KAZ,2008,8.1
Kazakhstan,KAZ,2009,4.1
Kazakhstan,KAZ,2010,3.7
Kazakhstan,KAZ,2011,2.4
Kazakhstan,KAZ,2012,1.9
Kazakhstan,KAZ,2013,1.3
Kazakhstan,KAZ,2014,1.3
Kazakhstan,KAZ,2015,1.3
Kenya,KEN,2005,33.7
Kyrgyzstan,KGZ,2006,26.7
Kyrgyzstan,KGZ,2007,23.2
Kyrgyzstan,KGZ,2008,22.6
Kyrgyzstan,KGZ,2009,21.9
Kyrgyzstan,KGZ,2010,23.6
Kyrgyzstan,KGZ,2011,30.7
Kyrgyzstan,KGZ,2012,35.4
Kyrgyzstan,KGZ,2013,28.5
Kyrgyzstan,KGZ,2014,26.9
Kyrgyzstan,KGZ,2015,29.3
Laos,LAO,1997,22.1
Laos,LAO,2002,19.7
Laos,LAO,2007,17.4
Laos,LAO,2012,10
Lesotho,LSO,1994,36.7
Lesotho,LSO,2002,41.5
Lesotho,LSO,2010,39.6
Liberia,LBR,2007,55.1
Madagascar,MDG,2001,45.6
Malawi,MWI,1997,54.9
Malawi,MWI,2004,25.4
Malawi,MWI,2010,17.3
Malaysia,MYS,2002,2.3
Malaysia,MYS,2004,2.5
Malaysia,MYS,2007,2
Malaysia,MYS,2009,1.7
Malaysia,MYS,2012,1
Malaysia,MYS,2014,0.3
Maldives,MDV,2002,17.5
Maldives,MDV,2009,18.2
Mali,MLI,2001,27.7
Mali,MLI,2006,18.5
Mali,MLI,2009,18.9
Mauritania,MRT,2000,28.5
Mauritania,MRT,2004,28.9
Mauritania,MRT,2008,20.8
Mexico,MEX,2008,44.8
Mexico,MEX,2010,47.8
Mexico,MEX,2012,48.3
Mexico,MEX,2014,50.5
Moldova,MDA,2006,24.8
Moldova,MDA,2007,18.4
Moldova,MDA,2008,15.2
Moldova,MDA,2009,12.6
Moldova,MDA,2010,10.4
Moldova,MDA,2011,7.4
Moldova,MDA,2012,8.2
Mongolia,MNG,2010,33.2
Mongolia,MNG,2011,28.7
Mongolia,MNG,2012,23.3
Mongolia,MNG,2014,18.8
Montenegro,MNE,2005,8.1
Montenegro,MNE,2006,7.4
Montenegro,MNE,2007,5.5
Montenegro,MNE,2008,2.4
Montenegro,MNE,2009,2.6
Montenegro,MNE,2010,4
Montenegro,MNE,2011,4.4
Montenegro,MNE,2012,8.1
Montenegro,MNE,2013,7.9
Morocco,MAR,1998,9.5
Morocco,MAR,2000,7.6
Morocco,MAR,2007,4.8
Mozambique,MOZ,1996,62
Mozambique,MOZ,2002,51.5
Mozambique,MOZ,2008,49.6
Namibia,NAM,1993,39
Namibia,NAM,2003,17
Namibia,NAM,2009,14.6
Nepal,NPL,2010,15.5
Nicaragua,NIC,2005,30.9
Nicaragua,NIC,2009,26.8
Nicaragua,NIC,2014,14.8
Niger,NER,2011,18.6
Nigeria,NGA,2003,37.9
Nigeria,NGA,2009,34.1
Pakistan,PAK,2013,18.24
Palestine,PSE,2010,25.8
Palestine,PSE,2011,26.1
Papua New Guinea,PNG,2009,29.3
Peru,PER,2004,48.2
Peru,PER,2005,44.5
Peru,PER,2006,37
Peru,PER,2007,30.1
Peru,PER,2008,25.4
Peru,PER,2009,21.3
Peru,PER,2010,20
Peru,PER,2011,18
Peru,PER,2012,16.6
Peru,PER,2013,16.1
Peru,PER,2014,15.3
Philippines,PHL,2006,12.62633
Philippines,PHL,2009,12.58961
Philippines,PHL,2012,13.03002
Rwanda,RWA,2005,28.5
Rwanda,RWA,2010,22.1
Senegal,SEN,2000,41.2
Senegal,SEN,2005,33.6
Senegal,SEN,2010,33.1
Seychelles,SYC,2006,39
Sierra Leone,SLE,2003,46.9
Sierra Leone,SLE,2011,31.2
South Africa,ZAF,2005,52
South Sudan,SSD,2009,24.4
Sri Lanka,LKA,2002,7.9
Sri Lanka,LKA,2006,6.7
Sri Lanka,LKA,2009,5.3
Sri Lanka,LKA,2012,2.1
Sudan,SDN,2009,26.5
Swaziland,SWZ,2000,35.5
Swaziland,SWZ,2009,31.1
Syria,SYR,2004,28.5
Syria,SYR,2007,30.8
Tajikistan,TJK,2013,27.8
Tajikistan,TJK,2014,23.5
Tajikistan,TJK,2015,23.2
Tanzania,TZA,2011,15.5
Thailand,THA,2000,22.2
Thailand,THA,2002,17
Thailand,THA,2004,14.6
Thailand,THA,2006,11.8
Thailand,THA,2007,11.3
Thailand,THA,2008,10.7
Thailand,THA,2009,10.2
Thailand,THA,2010,8.7
Thailand,THA,2011,9
Thailand,THA,2012,8.8
Thailand,THA,2013,7.7
Timor,TLS,2001,25.2
Timor,TLS,2007,45.2
Togo,TGO,2006,37.2
Togo,TGO,2011,34.6
Togo,TGO,2015,35.9
Turkey,TUR,2002,24.6
Turkey,TUR,2003,18.3
Turkey,TUR,2004,13.5
Turkey,TUR,2005,10.1
Turkey,TUR,2006,6.1
Turkey,TUR,2007,4.4
Turkey,TUR,2008,3.1
Turkey,TUR,2009,1
Turkey,TUR,2010,1
Turkey,TUR,2011,0.9
Turkey,TUR,2012,0.6
Turkey,TUR,2013,0.6
Tuvalu,TUV,2010,24.8
Uganda,UGA,1992,28.8
Uganda,UGA,1996,16.7
Uganda,UGA,1999,9.6
Uganda,UGA,2002,14.4
Uganda,UGA,2005,13.7
Uganda,UGA,2009,9.1
Uganda,UGA,2012,9.6
Uruguay,URY,2002,35.2
Uruguay,URY,2003,39.4
Uruguay,URY,2004,39.9
Uruguay,URY,2005,36.6
Uruguay,URY,2006,32.6
Uruguay,URY,2007,30
Uruguay,URY,2008,24.4
Uruguay,URY,2009,21.5
Uruguay,URY,2010,18.7
Uruguay,URY,2011,14.3
Uruguay,URY,2012,13.1
Uruguay,URY,2013,12
Uruguay,URY,2014,10.1
Vietnam,VNM,2010,6
Vietnam,VNM,2012,5.4
Vietnam,VNM,2014,3.8
Yemen,YEM,2005,20.7
Zimbabwe,ZWE,2011,46.5
