Entity,Code,Year,Number of people without access to safe sanitation (people)
Belgium,BEL,2004,2855947.147
Belgium,BEL,2005,2623778.938
Belgium,BEL,2006,2398962.634
Belgium,BEL,2007,2177600.409
Belgium,BEL,2008,1958230.542
Belgium,BEL,2009,1736981.274
Belgium,BEL,2010,1524579.31
Belgium,BEL,2011,1362152.379
Belgium,BEL,2012,1125419.768
Belgium,BEL,2013,860066.391
Belgium,BEL,2014,563416.8333
Belgium,BEL,2015,302659.4932
Bhutan,BTN,2000,573416
Bhutan,BTN,2001,589600
Bhutan,BTN,2002,606399
Bhutan,BTN,2003,623434
Bhutan,BTN,2004,640282
Bhutan,BTN,2005,656639
Bhutan,BTN,2006,672228
Bhutan,BTN,2007,686958
Bhutan,BTN,2008,700950
Bhutan,BTN,2009,714458
Bhutan,BTN,2010,727641
Bhutan,BTN,2011,740510
Bhutan,BTN,2012,752967
Bhutan,BTN,2013,764961
Bhutan,BTN,2014,776448
Bhutan,BTN,2015,787386
Bolivia,BOL,2000,7108598.412
Bolivia,BOL,2001,7217686.127
Bolivia,BOL,2002,7326005.47
Bolivia,BOL,2003,7433589.766
Bolivia,BOL,2004,7540561.836
Bolivia,BOL,2005,7647016.914
Bolivia,BOL,2006,7752858.762
Bolivia,BOL,2007,7858048.262
Bolivia,BOL,2008,7962686.53
Bolivia,BOL,2009,8066919.772
Bolivia,BOL,2010,8170856.37
Bolivia,BOL,2011,8274504.179
Bolivia,BOL,2012,8377808.139
Bolivia,BOL,2013,8480805.48
Bolivia,BOL,2014,8583493.899
Bolivia,BOL,2015,8685872.207
Bosnia and Herzegovina,BIH,2000,2884868.621
Bosnia and Herzegovina,BIH,2001,2888472.092
Bosnia and Herzegovina,BIH,2002,2891616.789
Bosnia and Herzegovina,BIH,2003,2893599.884
Bosnia and Herzegovina,BIH,2004,2893567.591
Bosnia and Herzegovina,BIH,2005,2891977.805
Bosnia and Herzegovina,BIH,2006,2888629.857
Bosnia and Herzegovina,BIH,2007,2882616.727
Bosnia and Herzegovina,BIH,2008,2872445.081
Bosnia and Herzegovina,BIH,2009,2856121.937
Bosnia and Herzegovina,BIH,2010,2832643.885
Bosnia and Herzegovina,BIH,2011,2800725.522
Bosnia and Herzegovina,BIH,2012,2761776.745
Bosnia and Herzegovina,BIH,2013,2720715.733
Bosnia and Herzegovina,BIH,2014,2684317.892
Bosnia and Herzegovina,BIH,2015,2656524.86
Brazil,BRA,2000,128962502.1
Brazil,BRA,2001,129635225.6
Brazil,BRA,2002,130169160.8
Brazil,BRA,2003,130559705.2
Brazil,BRA,2004,130813570.1
Brazil,BRA,2005,130937329.8
Brazil,BRA,2006,130929874.2
Brazil,BRA,2007,130791516.1
Brazil,BRA,2008,130531860.1
Brazil,BRA,2009,130162282.2
Brazil,BRA,2010,129688413.1
Brazil,BRA,2011,129111939.7
Brazil,BRA,2012,128429712.5
Brazil,BRA,2013,127631659.4
Brazil,BRA,2014,126704836.5
Brazil,BRA,2015,125639695.5
Bulgaria,BGR,2000,2424314.713
Bulgaria,BGR,2001,2287626.81
Bulgaria,BGR,2002,2137603.325
Bulgaria,BGR,2003,2097372.661
Bulgaria,BGR,2004,2059652.889
Bulgaria,BGR,2005,2178540.597
Bulgaria,BGR,2006,2316668.886
Bulgaria,BGR,2007,2457110.244
Bulgaria,BGR,2008,2600697.922
Bulgaria,BGR,2009,2749428.808
Bulgaria,BGR,2010,2898076.45
Bulgaria,BGR,2011,3048998.149
Bulgaria,BGR,2012,3205474.766
Bulgaria,BGR,2013,3364455.823
Bulgaria,BGR,2014,3527769.312
Bulgaria,BGR,2015,3684955.858
Cambodia,KHM,2000,12152354
Cambodia,KHM,2001,12402473
Cambodia,KHM,2002,12634729
Cambodia,KHM,2003,12853124
Cambodia,KHM,2004,13063377
Cambodia,KHM,2005,13270201
Cambodia,KHM,2006,13474489
Cambodia,KHM,2007,13676693
Cambodia,KHM,2008,13880509
Cambodia,KHM,2009,14090208
Cambodia,KHM,2010,14308740
Cambodia,KHM,2011,14537886
Cambodia,KHM,2012,14776866
Cambodia,KHM,2013,15022692
Cambodia,KHM,2014,15270790
Cambodia,KHM,2015,15517635
Canada,CAN,2000,8335094.946
Canada,CAN,2001,8435793.577
Canada,CAN,2002,8498702.063
Canada,CAN,2003,8447234.14
Canada,CAN,2004,8390244.939
Canada,CAN,2005,8319294.286
Canada,CAN,2006,8176576.128
Canada,CAN,2007,8080585.092
Canada,CAN,2008,8016949.362
Canada,CAN,2009,7976112.46
Canada,CAN,2010,7931683.135
Canada,CAN,2011,7852377.119
Canada,CAN,2012,7977388.155
Canada,CAN,2013,8100901.145
Canada,CAN,2014,8209621.329
Canada,CAN,2015,8236403.801
Channel Islands,OWID_CIS,2009,158603
Channel Islands,OWID_CIS,2010,159581
Channel Islands,OWID_CIS,2011,160497
Channel Islands,OWID_CIS,2012,161358
Channel Islands,OWID_CIS,2013,162180
Channel Islands,OWID_CIS,2014,162969
Channel Islands,OWID_CIS,2015,163758
Chile,CHL,2000,11145661.01
Chile,CHL,2001,10731289.8
Chile,CHL,2002,10292291.61
Chile,CHL,2003,9829302.981
Chile,CHL,2004,9343187.201
Chile,CHL,2005,8834402.057
Chile,CHL,2006,8303205.895
Chile,CHL,2007,7749150.572
Chile,CHL,2008,7171033.864
Chile,CHL,2009,6567281.364
Chile,CHL,2010,5936645.263
Chile,CHL,2011,5278409.878
Chile,CHL,2012,4592830.496
Chile,CHL,2013,3888665.402
Chile,CHL,2014,3149710.489
Chile,CHL,2015,2421226.988
China,CHN,2000,893529353.4
China,CHN,2001,899469126.7
China,CHN,2002,901202258.9
China,CHN,2003,883002505.4
China,CHN,2004,863243736.3
China,CHN,2005,842196967.5
China,CHN,2006,819546614.1
China,CHN,2007,794979612.6
China,CHN,2008,768991384.1
China,CHN,2009,741494906.1
China,CHN,2010,712468371.8
China,CHN,2011,682038604.8
China,CHN,2012,650464005.4
China,CHN,2013,617815697.8
China,CHN,2014,584282915.4
China,CHN,2015,549832485.8
Colombia,COL,2000,33633266.2
Colombia,COL,2001,34029846.28
Colombia,COL,2002,34424594.68
Colombia,COL,2003,34815473.92
Colombia,COL,2004,35199526.32
Colombia,COL,2005,35574420.09
Colombia,COL,2006,35939609.7
Colombia,COL,2007,36295329.3
Colombia,COL,2008,36641179.44
Colombia,COL,2009,36976911.77
Colombia,COL,2010,37302327.51
Colombia,COL,2011,37617022.45
Colombia,COL,2012,37920748.31
Colombia,COL,2013,38213958.57
Colombia,COL,2014,38497323.91
Colombia,COL,2015,38771177.19
Congo,COG,2000,3225727
Congo,COG,2001,3315806
Congo,COG,2002,3407180
Congo,COG,2003,3502519
Congo,COG,2004,3605439
Congo,COG,2005,3718243
Congo,COG,2006,3842365
Congo,COG,2007,3976246
Congo,COG,2008,4115435
Congo,COG,2009,4253712
Congo,COG,2010,4386693
Congo,COG,2011,4512730
Congo,COG,2012,4633363
Congo,COG,2013,4751393
Congo,COG,2014,4871101
Congo,COG,2015,4995648
Costa Rica,CRI,2000,3925443
Costa Rica,CRI,2001,3996798
Costa Rica,CRI,2002,4063204
Costa Rica,CRI,2003,4125971
Costa Rica,CRI,2004,4187038
Costa Rica,CRI,2005,4247841
Costa Rica,CRI,2006,4308794
Costa Rica,CRI,2007,4369469
Costa Rica,CRI,2008,4429508
Costa Rica,CRI,2009,4488263
Costa Rica,CRI,2010,4545280
Costa Rica,CRI,2011,4600474
Costa Rica,CRI,2012,4654122
Costa Rica,CRI,2013,4706401
Costa Rica,CRI,2014,4757575
Costa Rica,CRI,2015,4807852
Cote d'Ivoire,CIV,2000,16686561
Cote d'Ivoire,CIV,2001,17040152
Cote d'Ivoire,CIV,2002,17366517
Cote d'Ivoire,CIV,2003,17679355
Cote d'Ivoire,CIV,2004,17997738
Cote d'Ivoire,CIV,2005,18336303
Cote d'Ivoire,CIV,2006,18699435
Cote d'Ivoire,CIV,2007,19085941
Cote d'Ivoire,CIV,2008,19497986
Cote d'Ivoire,CIV,2009,19936366
Cote d'Ivoire,CIV,2010,20401331
Cote d'Ivoire,CIV,2011,20895311
Cote d'Ivoire,CIV,2012,21418603
Cote d'Ivoire,CIV,2013,21966312
Cote d'Ivoire,CIV,2014,22531350
Cote d'Ivoire,CIV,2015,23108472
Croatia,HRV,2000,1785321.977
Croatia,HRV,2001,1810358.748
Croatia,HRV,2002,1816218.622
Croatia,HRV,2003,1818906.681
Croatia,HRV,2004,1819802.812
Croatia,HRV,2005,1825686.375
Croatia,HRV,2006,1828036.339
Croatia,HRV,2007,1829451.57
Croatia,HRV,2008,1834258.531
Croatia,HRV,2009,1835547.417
Croatia,HRV,2010,1831060.173
Croatia,HRV,2011,1700886.736
Croatia,HRV,2012,1695191.217
Croatia,HRV,2013,1690927.246
Croatia,HRV,2014,1681264.609
Croatia,HRV,2015,1654013.947
Cuba,CUB,2000,7569386.726
Cuba,CUB,2001,7589516.076
Cuba,CUB,2002,7605930.827
Cuba,CUB,2003,7618330.319
Cuba,CUB,2004,7626930.281
Cuba,CUB,2005,7652782.912
Cuba,CUB,2006,7675457.176
Cuba,CUB,2007,7695439.366
Cuba,CUB,2008,7715001.721
Cuba,CUB,2009,7737132.828
Cuba,CUB,2010,7763882.889
Cuba,CUB,2011,7796421.408
Cuba,CUB,2012,7833863.672
Cuba,CUB,2013,7873719.604
Cuba,CUB,2014,7912412.043
Cuba,CUB,2015,7947302.681
Cyprus,CYP,2000,221979.3339
Cyprus,CYP,2001,224689.8119
Cyprus,CYP,2002,227531.1
Cyprus,CYP,2003,230607.4838
Cyprus,CYP,2004,234574.2659
Cyprus,CYP,2005,239747.8355
Cyprus,CYP,2006,246374.5376
Cyprus,CYP,2007,254108.6462
Cyprus,CYP,2008,262104.8902
Cyprus,CYP,2009,269164.0335
Cyprus,CYP,2010,274472.834
Cyprus,CYP,2011,277685.2836
Cyprus,CYP,2012,279144.8577
Cyprus,CYP,2013,279403.455
Cyprus,CYP,2014,279466.3867
Cyprus,CYP,2015,280023.4388
Czech Republic,CZE,2000,1288160.884
Czech Republic,CZE,2001,1267445.543
Czech Republic,CZE,2002,1265249.075
Czech Republic,CZE,2003,1274844.636
Czech Republic,CZE,2004,1323932.419
Czech Republic,CZE,2005,1367983.391
Czech Republic,CZE,2006,1407005.355
Czech Republic,CZE,2007,1462871.858
Czech Republic,CZE,2008,1537871.941
Czech Republic,CZE,2009,1591651.017
Czech Republic,CZE,2010,1630099.113
Czech Republic,CZE,2011,1676261.013
Czech Republic,CZE,2012,1729152.412
Czech Republic,CZE,2013,1779878.949
Czech Republic,CZE,2014,1840334.252
Czech Republic,CZE,2015,1907645.371
Denmark,DNK,2000,364059.7654
Denmark,DNK,2001,367921.5531
Denmark,DNK,2002,371690.902
Denmark,DNK,2003,373383.0649
Denmark,DNK,2004,372706.3505
Denmark,DNK,2005,369862.62
Denmark,DNK,2006,366261.7512
Denmark,DNK,2007,365922.2869
Denmark,DNK,2008,371715.2142
Denmark,DNK,2009,374669.581
Denmark,DNK,2010,373902.0754
Denmark,DNK,2011,372913.8085
Denmark,DNK,2012,371176.446
Denmark,DNK,2013,372800.1068
Denmark,DNK,2014,380273.184
Denmark,DNK,2015,399606.4506
Ecuador,ECU,2000,7284407.973
Ecuador,ECU,2001,7408348.272
Ecuador,ECU,2002,7530197.74
Ecuador,ECU,2003,7651203.211
Ecuador,ECU,2004,7774271.792
Ecuador,ECU,2005,7901170.218
Ecuador,ECU,2006,8032567.461
Ecuador,ECU,2007,8167988.218
Ecuador,ECU,2008,8306530.652
Ecuador,ECU,2009,8446776.235
Ecuador,ECU,2010,8587693.487
Ecuador,ECU,2011,8729068.357
Ecuador,ECU,2012,8871381.391
Ecuador,ECU,2013,9014637.006
Ecuador,ECU,2014,9159004.297
Ecuador,ECU,2015,9304574.68
Egypt,EGY,2000,33863004.8
Egypt,EGY,2001,34149231.98
Egypt,EGY,2002,34440782.92
Egypt,EGY,2003,34730758.51
Egypt,EGY,2004,35009481.22
Egypt,EGY,2005,35271561.48
Egypt,EGY,2006,35511812.06
Egypt,EGY,2007,35741357.56
Egypt,EGY,2008,35976194.36
Egypt,EGY,2009,36236349.9
Egypt,EGY,2010,36536264.2
Egypt,EGY,2011,36880258.11
Egypt,EGY,2012,37254104.21
Egypt,EGY,2013,37636264.74
Egypt,EGY,2014,37997973.42
Egypt,EGY,2015,38318516.56
Estonia,EST,2000,176942.736
Estonia,EST,2001,169808.8076
Estonia,EST,2002,164256.3291
Estonia,EST,2003,159626.996
Estonia,EST,2004,154462.5166
Estonia,EST,2005,148456.7439
Estonia,EST,2006,140885.481
Estonia,EST,2007,134145.1734
Estonia,EST,2008,129209.6959
Estonia,EST,2009,124978.9107
Estonia,EST,2010,120298.3976
Estonia,EST,2011,114727.0194
Estonia,EST,2012,108474.8439
Estonia,EST,2013,102211.9786
Estonia,EST,2014,97047.24739
Estonia,EST,2015,95992.13532
Ethiopia,ETH,2000,66537331
Ethiopia,ETH,2001,68492257
Ethiopia,ETH,2002,70497192
Ethiopia,ETH,2003,72545144
Ethiopia,ETH,2004,74624405
Ethiopia,ETH,2005,76727083
Ethiopia,ETH,2006,78850689
Ethiopia,ETH,2007,81000409
Ethiopia,ETH,2008,83184892
Ethiopia,ETH,2009,85416253
Ethiopia,ETH,2010,87702670
Ethiopia,ETH,2011,90046756
Ethiopia,ETH,2012,92444183
Ethiopia,ETH,2013,94887724
Ethiopia,ETH,2014,97366774
Ethiopia,ETH,2015,99873033
Finland,FIN,2000,579224.8591
Finland,FIN,2001,561159.7105
Finland,FIN,2002,544922.0319
Finland,FIN,2003,527689.2131
Finland,FIN,2004,511585.1902
Finland,FIN,2005,496062.4122
Finland,FIN,2006,480376.1238
Finland,FIN,2007,464718.5192
Finland,FIN,2008,464093.6058
Finland,FIN,2009,462907.7983
Finland,FIN,2010,459909.6052
Finland,FIN,2011,456466.7986
Finland,FIN,2012,453109.7434
Finland,FIN,2013,449360.4275
Finland,FIN,2014,444764.8468
Finland,FIN,2015,438166.8606
France,FRA,2000,8944024.449
France,FRA,2001,8922067.44
France,FRA,2002,8866539.696
France,FRA,2003,8778280.493
France,FRA,2004,8703840.523
France,FRA,2005,8651006.154
France,FRA,2006,8576587.017
France,FRA,2007,8463565.446
France,FRA,2008,8323854.722
France,FRA,2009,8166135.795
France,FRA,2010,8004881.009
France,FRA,2011,7848256.881
France,FRA,2012,7704147.897
France,FRA,2013,7589855.571
France,FRA,2014,7457912.533
France,FRA,2015,7286531.967
Georgia,GEO,2000,4418300
Georgia,GEO,2001,4386400
Georgia,GEO,2002,4357000
Georgia,GEO,2003,4301000
Georgia,GEO,2004,4245000
Georgia,GEO,2005,4190000
Georgia,GEO,2006,4136000
Georgia,GEO,2007,4082000
Georgia,GEO,2008,4030000
Georgia,GEO,2009,3978000
Georgia,GEO,2010,3926000
Georgia,GEO,2011,3875000
Georgia,GEO,2012,3825000
Georgia,GEO,2013,3776000
Georgia,GEO,2014,3727000
Georgia,GEO,2015,3717100
Germany,DEU,2000,3207244.179
Germany,DEU,2001,3427089.263
Germany,DEU,2002,3668745.32
Germany,DEU,2003,3837615.002
Germany,DEU,2004,4063606.83
Germany,DEU,2005,4278468.747
Germany,DEU,2006,4462809.891
Germany,DEU,2007,4637061.833
Germany,DEU,2008,4752496.158
Germany,DEU,2009,4775517.849
Germany,DEU,2010,4821499.13
Germany,DEU,2011,3420342.596
Germany,DEU,2012,3610847.11
Germany,DEU,2013,3738247.793
Germany,DEU,2014,3989826.756
Germany,DEU,2015,4644873.654
Ghana,GHA,2000,18938762
Ghana,GHA,2001,19421605
Ghana,GHA,2002,19924522
Ghana,GHA,2003,20446782
Ghana,GHA,2004,20986536
Ghana,GHA,2005,21542009
Ghana,GHA,2006,22113425
Ghana,GHA,2007,22700212
Ghana,GHA,2008,23298640
Ghana,GHA,2009,23903831
Ghana,GHA,2010,24512104
Ghana,GHA,2011,25121796
Ghana,GHA,2012,25733049
Ghana,GHA,2013,26346251
Ghana,GHA,2014,26962563
Ghana,GHA,2015,27582821
Gibraltar,GIB,2000,31180
Gibraltar,GIB,2001,31374
Gibraltar,GIB,2002,31544
Gibraltar,GIB,2003,31720
Gibraltar,GIB,2004,31896
Gibraltar,GIB,2005,32085
Gibraltar,GIB,2006,32296
Gibraltar,GIB,2007,32510
Gibraltar,GIB,2008,32732
Gibraltar,GIB,2009,32956
Gibraltar,GIB,2010,33189
Gibraltar,GIB,2011,33405
Gibraltar,GIB,2012,33623
Gibraltar,GIB,2013,33831
Gibraltar,GIB,2014,34038
Gibraltar,GIB,2015,34228
Greece,GRC,2000,2843650.991
Greece,GRC,2001,2860739.476
Greece,GRC,2002,2862610.37
Greece,GRC,2003,2854958.196
Greece,GRC,2004,2848410.482
Greece,GRC,2005,2844404.388
Greece,GRC,2006,2836554.958
Greece,GRC,2007,2820526.588
Greece,GRC,2008,2807807.18
Greece,GRC,2009,2804557.564
Greece,GRC,2010,2801619.071
Greece,GRC,2011,2787749.065
Greece,GRC,2012,2744965.1
Greece,GRC,2013,2691084.635
Greece,GRC,2014,2644640.646
Greece,GRC,2015,2577846.717
Greenland,GRL,2000,3842.915198
Greenland,GRL,2001,3843.787422
Greenland,GRL,2002,3924.766034
Greenland,GRL,2003,3901.812591
Greenland,GRL,2004,3906.141224
Greenland,GRL,2005,3851.849466
Greenland,GRL,2006,3690.892267
Greenland,GRL,2007,3537.151686
Greenland,GRL,2008,3418.30038
Greenland,GRL,2009,3537.303065
Greenland,GRL,2010,4235.865886
Greenland,GRL,2011,4326.300548
Greenland,GRL,2012,4344.352162
Greenland,GRL,2013,4098.680032
Greenland,GRL,2014,3968.766377
Greenland,GRL,2015,3818.893632
Guatemala,GTM,2000,11650743
Guatemala,GTM,2001,11924946
Guatemala,GTM,2002,12208848
Guatemala,GTM,2003,12500478
Guatemala,GTM,2004,12796925
Guatemala,GTM,2005,13096028
Guatemala,GTM,2006,13397008
Guatemala,GTM,2007,13700286
Guatemala,GTM,2008,14006366
Guatemala,GTM,2009,14316208
Guatemala,GTM,2010,14630417
Guatemala,GTM,2011,14948919
Guatemala,GTM,2012,15271056
Guatemala,GTM,2013,15596214
Guatemala,GTM,2014,15923559
Guatemala,GTM,2015,16252429
Hungary,HUN,2000,4866733.749
Hungary,HUN,2001,4857775.648
Hungary,HUN,2002,4842217.151
Hungary,HUN,2003,4825933.449
Hungary,HUN,2004,4576898.712
Hungary,HUN,2005,4327367.961
Hungary,HUN,2006,4078411.236
Hungary,HUN,2007,3826148.313
Hungary,HUN,2008,3569740.742
Hungary,HUN,2009,3315393.053
Hungary,HUN,2010,3055697.312
Hungary,HUN,2011,2793117.938
Hungary,HUN,2012,2510182.926
Hungary,HUN,2013,2408303.032
Hungary,HUN,2014,2396965.893
Hungary,HUN,2015,2388755.65
Iceland,ISL,2000,88418.45126
Iceland,ISL,2001,90170.51799
Iceland,ISL,2002,90710.20851
Iceland,ISL,2003,90604.01391
Iceland,ISL,2004,90847.72948
Iceland,ISL,2005,92922.59547
Iceland,ISL,2006,97053.81011
Iceland,ISL,2007,101655.5436
Iceland,ISL,2008,104258.5047
Iceland,ISL,2009,102313.6087
Iceland,ISL,2010,99236.35231
Iceland,ISL,2011,98084.46856
Iceland,ISL,2012,98083.44957
Iceland,ISL,2013,99699.92908
Iceland,ISL,2014,101931.5388
Iceland,ISL,2015,103847.9164
Iran,IRN,2000,66131854
Iran,IRN,2001,67096414
Iran,IRN,2002,67983330
Iran,IRN,2003,68812713
Iran,IRN,2004,69617100
Iran,IRN,2005,70421811
Iran,IRN,2006,71227880
Iran,IRN,2007,72031103
Iran,IRN,2008,72845542
Iran,IRN,2009,73687565
Iran,IRN,2010,74567511
Iran,IRN,2011,75491582
Iran,IRN,2012,76453574
Iran,IRN,2013,77435384
Iran,IRN,2014,78411092
Iran,IRN,2015,79360487
Iraq,IRQ,2000,18652432.09
Iraq,IRQ,2001,19082953.58
Iraq,IRQ,2002,19508581.88
Iraq,IRQ,2003,19928439.93
Iraq,IRQ,2004,20342091.12
Iraq,IRQ,2005,20599415.88
Iraq,IRQ,2006,20839618.26
Iraq,IRQ,2007,21066596.79
Iraq,IRQ,2008,21298633.65
Iraq,IRQ,2009,21558993.94
Iraq,IRQ,2010,21861554.31
Iraq,IRQ,2011,22211164.11
Iraq,IRQ,2012,22597057.25
Iraq,IRQ,2013,22998112.53
Iraq,IRQ,2014,23745061.35
Iraq,IRQ,2015,24482994.43
Ireland,IRL,2000,2428568.006
Ireland,IRL,2001,2382796.13
Ireland,IRL,2002,2332318.512
Ireland,IRL,2003,2273500.721
Ireland,IRL,2004,2217063.77
Ireland,IRL,2005,2167426.954
Ireland,IRL,2006,2133803.279
Ireland,IRL,2007,2104450.996
Ireland,IRL,2008,2036701.263
Ireland,IRL,2009,1926449.23
Ireland,IRL,2010,1802303.996
Ireland,IRL,2011,1684180.143
Ireland,IRL,2012,1576098.669
Ireland,IRL,2013,1479158.62
Ireland,IRL,2014,1396964.311
Ireland,IRL,2015,1407509.279
Isle of Man,IMN,2011,80759
Isle of Man,IMN,2012,81406
Isle of Man,IMN,2013,82013
Isle of Man,IMN,2014,82590
Isle of Man,IMN,2015,83167
Israel,ISR,2000,1547002.649
Israel,ISR,2001,1546383.592
Israel,ISR,2002,1529400.186
Israel,ISR,2003,1498738.444
Israel,ISR,2004,1458322.6
Israel,ISR,2005,1405405.562
Israel,ISR,2006,1337582.928
Israel,ISR,2007,1257012.025
Israel,ISR,2008,1169383.7
Israel,ISR,2009,1129926.863
Israel,ISR,2010,1058808.997
Israel,ISR,2011,1001769.764
Israel,ISR,2012,955134.5091
Israel,ISR,2013,917453.4699
