Entity,Code,Year,Top 1% share of net personal wealth (WID 2018)
United Kingdom,GBR,1922,61.7354929
United Kingdom,GBR,1923,60.2445841
United Kingdom,GBR,1924,59.464097
United Kingdom,GBR,1925,60.2700412
United Kingdom,GBR,1926,56.887579
United Kingdom,GBR,1927,59.1104269
United Kingdom,GBR,1928,56.4596176
United Kingdom,GBR,1929,56.3224077
United Kingdom,GBR,1930,56.9378138
United Kingdom,GBR,1931,53.1109333
United Kingdom,GBR,1932,54.3185711
United Kingdom,GBR,1933,55.9488893
United Kingdom,GBR,1934,53.7952662
United Kingdom,GBR,1935,53.9764106
United Kingdom,GBR,1936,53.4268081
United Kingdom,GBR,1937,53.1310618
United Kingdom,GBR,1938,54.0719152
United Kingdom,GBR,1939,51.1887729
United Kingdom,GBR,1940,50.9774387
United Kingdom,GBR,1941,49.8503119
United Kingdom,GBR,1946,46.0764378
United Kingdom,GBR,1947,44.949311
United Kingdom,GBR,1948,44.3857431
United Kingdom,GBR,1949,43.3793753
United Kingdom,GBR,1950,43.0416197
United Kingdom,GBR,1951,41.8526381
United Kingdom,GBR,1952,38.7755573
United Kingdom,GBR,1953,38.8871461
United Kingdom,GBR,1954,40.9309506
United Kingdom,GBR,1955,37.862289
United Kingdom,GBR,1956,37.9060745
United Kingdom,GBR,1957,36.5689844
United Kingdom,GBR,1958,35.2792561
United Kingdom,GBR,1959,36.0940844
United Kingdom,GBR,1960,35.044083
United Kingdom,GBR,1961,34.0330839
United Kingdom,GBR,1962,32.7640265
United Kingdom,GBR,1963,32.3827624
United Kingdom,GBR,1964,32.0717663
United Kingdom,GBR,1965,30.9360534
United Kingdom,GBR,1966,29.2706788
United Kingdom,GBR,1967,29.9123406
United Kingdom,GBR,1968,30.5295348
United Kingdom,GBR,1969,27.6011437
United Kingdom,GBR,1970,27.3867101
United Kingdom,GBR,1971,26.7274678
United Kingdom,GBR,1972,28.3523858
United Kingdom,GBR,1973,26.6657531
United Kingdom,GBR,1974,23.6672446
United Kingdom,GBR,1975,22.1263468
United Kingdom,GBR,1976,23.0811313
United Kingdom,GBR,1977,20.6281096
United Kingdom,GBR,1978,21.154739
United Kingdom,GBR,1979,18.5258687
United Kingdom,GBR,1980,18.7544435
United Kingdom,GBR,1981,17.3856139
United Kingdom,GBR,1982,17.2027171
United Kingdom,GBR,1983,17.4615592
United Kingdom,GBR,1984,15.2216196
United Kingdom,GBR,1985,15.7824695
United Kingdom,GBR,1986,16.3007736
United Kingdom,GBR,1987,16.6732639
United Kingdom,GBR,1988,15.2034149
United Kingdom,GBR,1989,16.5928423
United Kingdom,GBR,1990,16.3473308
United Kingdom,GBR,1991,15.5803174
United Kingdom,GBR,1992,16.9916749
United Kingdom,GBR,1993,18.2895437
United Kingdom,GBR,1994,17.6450878
United Kingdom,GBR,1995,16.2255585
United Kingdom,GBR,1996,16.5480733
United Kingdom,GBR,1997,19.2691386
United Kingdom,GBR,1998,19.9612394
United Kingdom,GBR,1999,19.3029419
United Kingdom,GBR,2000,18.4968188
United Kingdom,GBR,2001,18.8568175
United Kingdom,GBR,2002,18.0453092
United Kingdom,GBR,2003,16.7896494
United Kingdom,GBR,2005,18.7656656
United Kingdom,GBR,2006,19.8744088
United Kingdom,GBR,2009,20.5814272
United Kingdom,GBR,2012,19.8812425
United States,USA,1913,45.1159567
United States,USA,1914,44.5876867
United States,USA,1915,44.6417302
United States,USA,1916,43.30239
United States,USA,1917,40.531978
United States,USA,1918,37.0485157
United States,USA,1919,40.0082052
United States,USA,1920,35.6744081
United States,USA,1921,36.7974103
United States,USA,1922,39.9746984
United States,USA,1923,35.3841841
United States,USA,1924,37.4622136
United States,USA,1925,40.9176856
United States,USA,1926,42.5818741
United States,USA,1927,44.9193955
United States,USA,1928,47.8221893
United States,USA,1929,47.9869604
United States,USA,1930,43.3713257
United States,USA,1931,38.6238843
United States,USA,1932,38.0964369
United States,USA,1933,40.3371453
United States,USA,1934,40.9852207
United States,USA,1935,40.4845089
United States,USA,1936,42.9880589
United States,USA,1937,43.6633021
United States,USA,1938,39.7611558
United States,USA,1939,40.8158511
United States,USA,1940,37.6684159
United States,USA,1941,34.5669419
United States,USA,1942,34.1122896
United States,USA,1943,34.379977
United States,USA,1944,31.8380326
United States,USA,1945,32.0999265
United States,USA,1946,29.9287766
United States,USA,1947,28.6840111
United States,USA,1948,28.068918
United States,USA,1949,27.1918029
United States,USA,1950,28.5294443
United States,USA,1951,28.1015247
United States,USA,1952,27.7678013
United States,USA,1953,26.5440822
United States,USA,1954,27.2361696
United States,USA,1955,27.5404602
United States,USA,1956,27.8969228
United States,USA,1957,27.5299549
United States,USA,1958,27.1157712
United States,USA,1959,27.7656287
United States,USA,1960,27.7659446
United States,USA,1961,27.963987
United States,USA,1962,30.0370008
United States,USA,1963,27.6166141
United States,USA,1964,29.6909988
United States,USA,1965,26.8707424
United States,USA,1966,26.6117066
United States,USA,1967,26.5183896
United States,USA,1968,26.832217
United States,USA,1969,26.19977
United States,USA,1970,25.8576274
United States,USA,1971,27.6620001
United States,USA,1972,27.4489999
United States,USA,1973,25.9380013
United States,USA,1974,24.5729998
United States,USA,1975,22.8034481
United States,USA,1976,22.9090005
United States,USA,1977,21.8697205
United States,USA,1978,21.9569996
United States,USA,1979,22.4016905
United States,USA,1980,22.5449741
United States,USA,1981,23.364903
United States,USA,1982,24.6899992
United States,USA,1983,22.6988033
United States,USA,1984,22.933799
United States,USA,1985,24.2825002
United States,USA,1986,22.9797036
United States,USA,1987,25.3399998
United States,USA,1988,26.4964461
United States,USA,1989,27.2980005
United States,USA,1990,27.4340004
United States,USA,1991,26.8790007
United States,USA,1992,27.566269
United States,USA,1993,27.6868552
United States,USA,1994,28.8410008
United States,USA,1995,29.1429997
United States,USA,1996,30.0209999
United States,USA,1997,29.4624358
United States,USA,1998,30.704394
United States,USA,1999,31.4704895
United States,USA,2000,34.4399989
United States,USA,2001,31.3341588
United States,USA,2002,30.1581502
United States,USA,2003,32.1539998
United States,USA,2004,31.4759821
United States,USA,2005,33.5339993
United States,USA,2006,34.0860009
United States,USA,2007,33.9603633
United States,USA,2008,37.380001
United States,USA,2009,36.1490846
United States,USA,2010,37.5691384
United States,USA,2011,38.8309985
United States,USA,2012,38.8486475
United States,USA,2013,37.0316833
United States,USA,2014,37.2446179
