Entity,Code,Year,Share of global CO₂ emissions (production-based) (%),Share of global population (%),Share of global population (%)
France,FRA,2015,0.97,0.906,0.906
French Guiana,GUF,2015,0.002,0,0
French Polynesia,PYF,2015,0.002,0.004,0.004
Gabon,GAB,2015,0.015,0.026,0.026
Gambia,GMB,2015,0.001,0.027,0.027
Georgia,GEO,2015,0.026,0.051,0.051
Germany,DEU,2015,2.283,1.111,1.111
Ghana,GHA,2015,0.043,0.375,0.375
Gibraltar,GIB,2015,0.002,0,0
Greece,GRC,2015,0.216,0.147,0.147
Greenland,GRL,2015,0.002,0.001,0.001
Grenada,GRD,2015,0.001,0.001,0.001
Guadeloupe,GLP,2015,0.008,0.004,0.004
Guatemala,GTM,2015,0.055,0.221,0.221
Guinea,GIN,2015,0.007,0.164,0.164
Guinea-Bissau,GNB,2015,0.001,0.024,0.024
Guyana,GUY,2015,0.006,0.01,0.01
Haiti,HTI,2015,0.009,0.146,0.146
High income,,2015,38.87921257,16.18648855,16.18648855
Honduras,HND,2015,0.028,0.122,0.122
Hong Kong,HKG,2015,0.124,0.099,0.099
Hungary,HUN,2015,0.135,0.134,0.134
Iceland,ISL,2015,0.01,0.004,0.004
India,IND,2015,6.687,17.798,17.798
Indonesia,IDN,2015,1.351,3.51,3.51
Iran,IRN,2015,1.85,1.079,1.079
Iraq,IRQ,2015,0.481,0.491,0.491
Ireland,IRL,2015,0.111,0.064,0.064
Israel,ISR,2015,0.194,0.114,0.114
Italy,ITA,2015,1.029,0.826,0.826
Jamaica,JAM,2015,0.022,0.039,0.039
Japan,JPN,2015,3.531,1.729,1.729
Jordan,JOR,2015,0.074,0.125,0.125
Kazakhstan,KAZ,2015,0.664,0.239,0.239
Kenya,KEN,2015,0.041,0.642,0.642
Kiribati,KIR,2015,0,0.002,0.002
Kuwait,KWT,2015,0.301,0.054,0.054
Kyrgyzstan,KGZ,2015,0.029,0.081,0.081
Laos,LAO,2015,0.006,0.091,0.091
Latin America and the Caribbean,,2015,5.46,8.544,8.544
Latvia,LVA,2015,0.021,0.027,0.027
Lebanon,LBN,2015,0.067,0.08,0.08
Lesotho,LSO,2015,0.007,0.03,0.03
Liberia,LBR,2015,0.003,0.061,0.061
Libya,LBY,2015,0.171,0.085,0.085
Liechtenstein,LIE,2015,0,0.001,0.001
Lithuania,LTU,2015,0.038,0.039,0.039
Low income,,2015,0.421138456,8.585906084,8.585906084
Lower-middle income,,2015,12.76210798,40.11398358,40.11398358
Luxembourg,LUX,2015,0.027,0.008,0.008
Macao,MAC,2015,0.004,0.008,0.008
Macedonia,MKD,2015,0.023,0.028,0.028
Madagascar,MDG,2015,0.009,0.329,0.329
Malawi,MWI,2015,0.004,0.239,0.239
Malaysia,MYS,2015,0.718,0.418,0.418
Maldives,MDV,2015,0.004,0.006,0.006
Mali,MLI,2015,0.004,0.237,0.237
Malta,MLT,2015,0.005,0.006,0.006
Marshall Islands,MHL,2015,0,0.001,0.001
Martinique,MTQ,2015,0.007,0.004,0.004
Mauritania,MRT,2015,0.008,0.057,0.057
Mauritius,MUS,2015,0.012,0.017,0.017
Mexico,MEX,2015,1.375,1.712,1.712
Micronesia (country),FSM,2015,0,0.001,0.001
Moldova,MDA,2015,0.014,0.048,0.048
Mongolia,MNG,2015,0.063,0.04,0.04
Montenegro,MNE,2015,0.007,0.008,0.008
Montserrat,MSR,2015,0,0,0
Morocco,MAR,2015,0.173,0.473,0.473
Mozambique,MOZ,2015,0.025,0.381,0.381
Myanmar,MMR,2015,0.067,0.712,0.712
Namibia,NAM,2015,0.011,0.033,0.033
Nauru,NRU,2015,0,0,0
Nepal,NPL,2015,0.024,0.39,0.39
Netherlands,NLD,2015,0.476,0.23,0.23
New Caledonia,NCL,2015,0.013,0.004,0.004
New Zealand,NZL,2015,0.103,0.062,0.062
Nicaragua,NIC,2015,0.015,0.083,0.083
Niger,NER,2015,0.006,0.271,0.271
Nigeria,NGA,2015,0.296,2.463,2.463
North America,,2015,17.236,4.855,4.855
North Korea,PRK,2015,0.123,0.343,0.343
Norway,NOR,2015,0.129,0.071,0.071
Oceania,,2015,1.305,0.534,0.534
Oman,OMN,2015,0.188,0.057,0.057
Pakistan,PAK,2015,0.503,2.575,2.575
Palau,PLW,2015,0.001,0,0
Palestine,PSE,2015,0.008,0.06,0.06
Panama,PAN,2015,0.026,0.054,0.054
Papua New Guinea,PNG,2015,0.019,0.108,0.108
Paraguay,PRY,2015,0.017,0.09,0.09
Peru,PER,2015,0.185,0.427,0.427
Philippines,PHL,2015,0.332,1.383,1.383
Poland,POL,2015,0.895,0.516,0.516
Portugal,PRT,2015,0.15,0.141,0.141
Qatar,QAT,2015,0.37,0.034,0.034
Reunion,REU,2015,0.012,0.012,0.012
Romania,ROU,2015,0.225,0.269,0.269
Russia,RUS,2015,4.815,1.959,1.959
Rwanda,RWA,2015,0.002,0.158,0.158
Saint Helena,SHN,2015,0,0,0
Saint Kitts and Nevis,KNA,2015,0.001,0.001,0.001
Saint Lucia,LCA,2015,0.001,0.002,0.002
Saint Pierre and Miquelon,SPM,2015,0,0,0
Saint Vincent and the Grenadines,VCT,2015,0.001,0.001,0.001
Samoa,WSM,2015,0.001,0.003,0.003
Sao Tome and Principe,STP,2015,0,0.003,0.003
Saudi Arabia,SAU,2015,1.798,0.429,0.429
Senegal,SEN,2015,0.026,0.204,0.204
Serbia,SRB,2015,0.113,0.096,0.096
Seychelles,SYC,2015,0.001,0.001,0.001
Sierra Leone,SLE,2015,0.004,0.098,0.098
Singapore,SGP,2015,0.175,0.075,0.075
Sint Maarten (Dutch part),SXM,2015,0.002,0.001,0.001
Slovakia,SVK,2015,0.097,0.074,0.074
Slovenia,SVN,2015,0.039,0.028,0.028
Solomon Islands,SLB,2015,0.001,0.008,0.008
Somalia,SOM,2015,0.002,0.189,0.189
South Africa,ZAF,2015,1.33,0.748,0.748
South Korea,KOR,2015,1.706,0.694,0.694
South Sudan,SSD,2015,0.004,0.162,0.162
Spain,ESP,2015,0.783,0.631,0.631
Sri Lanka,LKA,2015,0.056,0.285,0.285
Sudan,SDN,2015,0.044,0.525,0.525
Suriname,SUR,2015,0.006,0.008,0.008
Swaziland,SWZ,2015,0.003,0.018,0.018
Sweden,SWE,2015,0.125,0.133,0.133
Switzerland,CHE,2015,0.112,0.113,0.113
Syria,SYR,2015,0.09,0.255,0.255
Taiwan,TWN,2015,0.754,0.319,0.319
Tajikistan,TJK,2015,0.015,0.116,0.116
Tanzania,TZA,2015,0.034,0.733,0.733
Thailand,THA,2015,0.93,0.933,0.933
Timor,TLS,2015,0.001,0.017,0.017
Togo,TGO,2015,0.008,0.101,0.101
Tonga,TON,2015,0,0.001,0.001
Trinidad and Tobago,TTO,2015,0.132,0.018,0.018
Tunisia,TUN,2015,0.09,0.153,0.153
Turkey,TUR,2015,1.105,1.064,1.064
Turkmenistan,TKM,2015,0.219,0.076,0.076
Turks and Caicos Islands,TCA,2015,0.001,0,0
Tuvalu,TUV,2015,0,0,0
Uganda,UGA,2015,0.015,0.546,0.546
Ukraine,UKR,2015,0.643,0.614,0.614
United Arab Emirates,ARE,2015,0.66,0.124,0.124
United Kingdom,GBR,2015,1.198,0.885,0.885
United States,USA,2015,15.595,4.363,4.363
Upper-middle income,,2015,47.93754099,35.11362179,35.11362179
Uruguay,URY,2015,0.02,0.047,0.047
Uzbekistan,UZB,2015,0.309,0.426,0.426
Vanuatu,VUT,2015,0,0.004,0.004
Venezuela,VEN,2015,0.52,0.424,0.424
Vietnam,VNM,2015,0.535,1.247,1.247
Wallis and Futuna,WLF,2015,0,0,0
Yemen,YEM,2015,0.064,0.366,0.366
Zambia,ZMB,2015,0.013,0.219,0.219
Zimbabwe,ZWE,2015,0.034,0.215,0.215
