Entity,Code,Year,9.3.1 - Proportion of small-scale industries in total industry value added (%) - NV_IND_SSIS (%)
Georgia,GEO,2016,17.45
Germany,DEU,2000,8.09
Germany,DEU,2001,8.97
Germany,DEU,2002,7.75
Germany,DEU,2003,8.03
Germany,DEU,2004,8.18
Germany,DEU,2005,8.67
Germany,DEU,2006,8.88
Germany,DEU,2007,8.53
Germany,DEU,2008,8.29
Germany,DEU,2009,8.28
Germany,DEU,2010,8.93
Germany,DEU,2011,9.01
Germany,DEU,2012,8.24
Germany,DEU,2013,8.28
Germany,DEU,2014,7.78
Germany,DEU,2015,7.3
Germany,DEU,2016,6.98
Greece,GRC,2003,33.8
Greece,GRC,2004,34.3
Greece,GRC,2005,34.88
Greece,GRC,2006,34.95
Greece,GRC,2007,34.58
Greece,GRC,2008,26.21
Greece,GRC,2009,32.96
Greece,GRC,2010,33.13
Greece,GRC,2011,32.19
Greece,GRC,2012,31.19
Greece,GRC,2013,28.04
Greece,GRC,2014,27.33
Greece,GRC,2015,17.3
Greece,GRC,2016,16.01
Hungary,HUN,2000,5.96
Hungary,HUN,2001,9.19
Hungary,HUN,2002,8.09
Hungary,HUN,2003,8.16
Hungary,HUN,2004,7.91
Hungary,HUN,2005,7.32
Hungary,HUN,2006,7.52
Hungary,HUN,2007,7.94
Hungary,HUN,2008,7.54
Hungary,HUN,2009,7.57
Hungary,HUN,2010,7.39
Hungary,HUN,2011,7.32
Hungary,HUN,2012,7.3
Hungary,HUN,2013,7.32
Hungary,HUN,2014,6.95
Hungary,HUN,2015,6.59
Hungary,HUN,2016,6.89
Iceland,ISL,2015,14.12
Iceland,ISL,2016,15.22
India,IND,2010,3.07
India,IND,2011,3.67
India,IND,2012,2.85
India,IND,2013,2.5
India,IND,2014,2.64
India,IND,2015,2.26
Indonesia,IDN,2010,11
Indonesia,IDN,2011,2.99
Indonesia,IDN,2012,10.26
Indonesia,IDN,2013,11.43
Indonesia,IDN,2014,10.68
Ireland,IRL,2000,2.56
Ireland,IRL,2001,2.51
Ireland,IRL,2002,2.65
Ireland,IRL,2003,2.37
Ireland,IRL,2004,2.85
Ireland,IRL,2005,2.87
Ireland,IRL,2006,2.48
Ireland,IRL,2007,4.29
Ireland,IRL,2008,11.28
Ireland,IRL,2009,12.61
Ireland,IRL,2010,14.29
Ireland,IRL,2011,19.17
Ireland,IRL,2012,10.34
Ireland,IRL,2013,22.89
Ireland,IRL,2014,10.14
Ireland,IRL,2015,3.98
Ireland,IRL,2016,3.35
Israel,ISR,2004,10.15
Israel,ISR,2005,9.52
Israel,ISR,2006,9.54
Israel,ISR,2007,10.58
Israel,ISR,2008,10.43
Israel,ISR,2009,8.47
Israel,ISR,2010,8.67
Israel,ISR,2011,8.56
Israel,ISR,2012,8.68
Israel,ISR,2013,8.44
Israel,ISR,2014,8.18
Israel,ISR,2015,7.02
Italy,ITA,2000,25.93
Italy,ITA,2001,26.77
Italy,ITA,2002,27.08
Italy,ITA,2003,26.89
Italy,ITA,2004,26.59
Italy,ITA,2005,26.44
Italy,ITA,2006,26.5
Italy,ITA,2007,26.76
Italy,ITA,2008,24.95
Italy,ITA,2009,25.43
Italy,ITA,2010,23.35
Italy,ITA,2011,22.84
Italy,ITA,2012,23.69
Italy,ITA,2013,23.6
Italy,ITA,2014,23.4
Italy,ITA,2015,22.96
Italy,ITA,2016,22.55
Japan,JPN,2001,11.19
Japan,JPN,2002,11.58
Japan,JPN,2003,11.25
Japan,JPN,2004,10.52
Japan,JPN,2005,10.06
Japan,JPN,2006,9.74
Japan,JPN,2007,9.95
Japan,JPN,2008,10.28
Japan,JPN,2009,10.73
Japan,JPN,2010,10.54
Japan,JPN,2011,11.96
Japan,JPN,2012,9.61
Japan,JPN,2013,9
Japan,JPN,2014,8.69
Kuwait,KWT,2002,9.29
Kuwait,KWT,2003,7.35
Kuwait,KWT,2004,6.01
Kuwait,KWT,2005,5.28
Kuwait,KWT,2006,5.8
Kuwait,KWT,2007,5.39
Kuwait,KWT,2008,5.65
Kuwait,KWT,2009,6.74
Kuwait,KWT,2010,5.7
Kuwait,KWT,2011,5.5
Kuwait,KWT,2012,4.58
Kuwait,KWT,2013,4.83
Kuwait,KWT,2014,5.69
Kuwait,KWT,2015,6.76
Kuwait,KWT,2016,6.87
Latvia,LVA,2000,9.13
Latvia,LVA,2001,13.2
Latvia,LVA,2002,10.66
Latvia,LVA,2003,9.88
Latvia,LVA,2004,8.03
Latvia,LVA,2005,10.19
Latvia,LVA,2006,11.43
Latvia,LVA,2007,12.03
Latvia,LVA,2008,12.4
Latvia,LVA,2009,12.13
Latvia,LVA,2010,11.82
Latvia,LVA,2011,9.73
Latvia,LVA,2012,10.78
Latvia,LVA,2013,11.9
Latvia,LVA,2014,10.79
Latvia,LVA,2015,11.19
Latvia,LVA,2016,11.46
Lithuania,LTU,2000,7.97
Lithuania,LTU,2001,5.01
Lithuania,LTU,2002,6.89
Lithuania,LTU,2003,6.86
Lithuania,LTU,2004,5.92
Lithuania,LTU,2005,6.37
Lithuania,LTU,2006,6.81
Lithuania,LTU,2007,6.68
Lithuania,LTU,2008,7.73
Lithuania,LTU,2009,6.45
Lithuania,LTU,2010,6.09
Lithuania,LTU,2011,6.06
Lithuania,LTU,2012,7.39
Lithuania,LTU,2013,8.6
Lithuania,LTU,2014,9.01
Lithuania,LTU,2015,8.13
Lithuania,LTU,2016,8.48
Luxembourg,LUX,2003,6.68
Luxembourg,LUX,2004,6.36
Luxembourg,LUX,2005,2.33
Luxembourg,LUX,2006,2.56
Luxembourg,LUX,2007,2.19
Luxembourg,LUX,2008,2.81
Luxembourg,LUX,2009,5.64
Luxembourg,LUX,2010,4.68
Luxembourg,LUX,2011,4.95
Luxembourg,LUX,2012,4.83
Luxembourg,LUX,2013,6.71
Luxembourg,LUX,2014,4.41
Luxembourg,LUX,2015,3.97
Luxembourg,LUX,2016,3.81
Macao,MAC,2015,26.69
Macao,MAC,2016,32.5
Macedonia,MKD,2009,19.78
Macedonia,MKD,2010,16.67
Macedonia,MKD,2011,14.62
Macedonia,MKD,2012,18.65
Macedonia,MKD,2013,16.71
Macedonia,MKD,2014,14.27
Macedonia,MKD,2015,13.28
Macedonia,MKD,2016,13.03
Malaysia,MYS,2005,8.17
Malaysia,MYS,2006,7.97
Malaysia,MYS,2007,9.6
Malaysia,MYS,2008,11
Malaysia,MYS,2009,2.33
Malaysia,MYS,2010,2.84
Malaysia,MYS,2012,1.84
Malaysia,MYS,2015,5.01
Malta,MLT,2000,12.09
Malta,MLT,2001,14.72
Malta,MLT,2002,15.12
Malta,MLT,2003,15.8
Malta,MLT,2004,15.82
Malta,MLT,2007,15.73
Malta,MLT,2009,47.52
Malta,MLT,2010,53.13
Malta,MLT,2011,89.59
Malta,MLT,2012,68.58
Malta,MLT,2013,61
Malta,MLT,2014,49.86
Malta,MLT,2015,35.27
Malta,MLT,2016,17.86
Mexico,MEX,2004,5.59
Mexico,MEX,2009,4.21
Mexico,MEX,2013,6.3
Mexico,MEX,2015,1.62
Mexico,MEX,2016,1.6
Nepal,NPL,2001,5.44
Nepal,NPL,2006,7.41
Nepal,NPL,2011,9.51
Netherlands,NLD,2000,14.46
Netherlands,NLD,2001,15.08
Netherlands,NLD,2002,14.72
Netherlands,NLD,2003,13.15
Netherlands,NLD,2004,12.78
Netherlands,NLD,2005,13.57
Netherlands,NLD,2006,12.99
Netherlands,NLD,2007,13.77
Netherlands,NLD,2008,10.49
Netherlands,NLD,2009,13.56
Netherlands,NLD,2010,14.22
Netherlands,NLD,2011,14.24
Netherlands,NLD,2012,13.48
Netherlands,NLD,2013,13.67
Netherlands,NLD,2014,13.95
Netherlands,NLD,2015,13.29
Netherlands,NLD,2016,12.73
Norway,NOR,2000,11.61
Norway,NOR,2002,13.76
Norway,NOR,2003,13.95
Norway,NOR,2004,14.48
Norway,NOR,2005,16.73
Norway,NOR,2006,15.81
Norway,NOR,2007,12.97
Norway,NOR,2008,13.24
Norway,NOR,2009,13.27
Norway,NOR,2010,12.74
Norway,NOR,2011,12.97
Norway,NOR,2012,12.71
Norway,NOR,2013,12.33
Norway,NOR,2014,11.75
Norway,NOR,2015,11.46
Norway,NOR,2016,12.57
Palestine,PSE,2015,57.19
Palestine,PSE,2016,59.45
Philippines,PHL,2001,6.54
Philippines,PHL,2003,5.83
Philippines,PHL,2005,5.17
Philippines,PHL,2008,2.15
Philippines,PHL,2009,3.9
Philippines,PHL,2010,2.83
Philippines,PHL,2013,3.03
Philippines,PHL,2014,2.51
Poland,POL,2000,13.4
Poland,POL,2001,4.51
Poland,POL,2003,8.74
Poland,POL,2004,8.32
Poland,POL,2005,8.41
Poland,POL,2006,8.86
Poland,POL,2007,9.67
Poland,POL,2008,10.2
Poland,POL,2009,9.55
Poland,POL,2010,9.47
Poland,POL,2011,9.62
Poland,POL,2012,9.56
Poland,POL,2013,9.37
Poland,POL,2014,10.05
Poland,POL,2015,9.78
Poland,POL,2016,9.31
Portugal,PRT,2000,16.56
Portugal,PRT,2001,17.02
Portugal,PRT,2002,17.83
Portugal,PRT,2003,18.69
Portugal,PRT,2004,19.18
Portugal,PRT,2005,18.28
Portugal,PRT,2006,17.87
Portugal,PRT,2007,17.62
Portugal,PRT,2008,19.31
Portugal,PRT,2009,20.58
Portugal,PRT,2010,19.11
Portugal,PRT,2011,18.62
Portugal,PRT,2012,18.61
Portugal,PRT,2013,18.73
Portugal,PRT,2014,19.34
Portugal,PRT,2015,18.77
Portugal,PRT,2016,18.49
Romania,ROU,2000,4.76
Romania,ROU,2001,4.94
Romania,ROU,2002,6.58
Romania,ROU,2003,7.53
Romania,ROU,2004,6.57
Romania,ROU,2005,8.5
Romania,ROU,2006,7.44
Romania,ROU,2007,7.31
Romania,ROU,2008,8.68
Romania,ROU,2009,9.22
Romania,ROU,2010,8.63
Romania,ROU,2011,8.32
Romania,ROU,2012,8.19
Romania,ROU,2013,8.55
Romania,ROU,2014,7.95
Romania,ROU,2015,7.19
Romania,ROU,2016,9.61
Singapore,SGP,2015,2.7
Singapore,SGP,2016,3.16
Slovakia,SVK,2000,7.38
Slovakia,SVK,2001,7.54
Slovakia,SVK,2002,6.43
Slovakia,SVK,2003,7.64
Slovakia,SVK,2004,7.02
Slovakia,SVK,2005,6.96
Slovakia,SVK,2006,7.93
Slovakia,SVK,2007,8.07
Slovakia,SVK,2008,9.64
Slovakia,SVK,2009,9.06
Slovakia,SVK,2010,15.73
Slovakia,SVK,2011,16.6
Slovakia,SVK,2012,15.15
Slovakia,SVK,2013,11.53
Slovakia,SVK,2014,12.43
Slovakia,SVK,2015,10.66
Slovakia,SVK,2016,9.39
Slovenia,SVN,2000,7.81
Slovenia,SVN,2001,14.31
Slovenia,SVN,2002,14.17
Slovenia,SVN,2003,13.58
Slovenia,SVN,2004,14.06
Slovenia,SVN,2005,14.13
Slovenia,SVN,2006,13.98
Slovenia,SVN,2007,15.36
Slovenia,SVN,2008,16.03
Slovenia,SVN,2009,16.54
Slovenia,SVN,2010,14.96
Slovenia,SVN,2011,15.4
Slovenia,SVN,2012,15.82
Slovenia,SVN,2013,15.64
Slovenia,SVN,2014,16.09
Slovenia,SVN,2015,15.76
Slovenia,SVN,2016,15.72
South Korea,KOR,2000,11.24
South Korea,KOR,2001,11.9
South Korea,KOR,2002,12.29
South Korea,KOR,2003,12.96
South Korea,KOR,2004,12.1
South Korea,KOR,2005,12.76
South Korea,KOR,2006,12.84
South Korea,KOR,2013,7.25
Spain,ESP,2000,19.52
Spain,ESP,2001,18.94
Spain,ESP,2002,18.22
Spain,ESP,2003,18.36
Spain,ESP,2004,18.07
Spain,ESP,2005,18.41
Spain,ESP,2006,17.59
Spain,ESP,2007,17.33
Spain,ESP,2008,20.31
Spain,ESP,2009,19.94
Spain,ESP,2010,18.74
Spain,ESP,2011,18.46
Spain,ESP,2012,18.12
Spain,ESP,2013,18.04
Spain,ESP,2014,16.57
Spain,ESP,2015,15.92
Spain,ESP,2016,14.23
Sri Lanka,LKA,2006,2.99
Sri Lanka,LKA,2007,4.14
Sri Lanka,LKA,2008,5.13
Sweden,SWE,2000,10.33
Sweden,SWE,2001,11.11
Sweden,SWE,2002,10.67
Sweden,SWE,2003,11.37
Sweden,SWE,2004,10.35
Sweden,SWE,2005,10.09
Sweden,SWE,2006,10.21
Sweden,SWE,2007,10.12
Sweden,SWE,2008,10.99
Sweden,SWE,2009,11.09
Sweden,SWE,2010,9.99
Sweden,SWE,2011,10.54
Sweden,SWE,2012,10.64
Sweden,SWE,2013,10.95
Sweden,SWE,2014,10.6
Sweden,SWE,2015,10.58
Sweden,SWE,2016,10.5
Switzerland,CHE,2009,12.44
Switzerland,CHE,2010,9.84
Switzerland,CHE,2011,10.38
Switzerland,CHE,2012,10.02
Switzerland,CHE,2013,9.76
Switzerland,CHE,2014,9.9
Switzerland,CHE,2015,9.55
Switzerland,CHE,2016,8.61
Turkey,TUR,2009,11.1
Turkey,TUR,2010,10.38
Turkey,TUR,2011,8.58
Turkey,TUR,2012,9.84
Turkey,TUR,2013,8.85
Turkey,TUR,2014,7.92
Turkey,TUR,2015,6.78
United Kingdom,GBR,2000,14
United Kingdom,GBR,2001,13.94
United Kingdom,GBR,2002,13.18
United Kingdom,GBR,2003,13.44
United Kingdom,GBR,2004,13.72
United Kingdom,GBR,2005,14.37
United Kingdom,GBR,2006,12.96
United Kingdom,GBR,2007,13.3
United Kingdom,GBR,2008,12.77
United Kingdom,GBR,2009,12.28
United Kingdom,GBR,2010,11.84
United Kingdom,GBR,2011,12.07
United Kingdom,GBR,2012,11.99
United Kingdom,GBR,2013,12.29
United Kingdom,GBR,2014,12.22
United Kingdom,GBR,2015,12.4
United Kingdom,GBR,2016,13.07
United States,USA,2007,5.62
United States,USA,2015,4.7
United States,USA,2016,4.76
