Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Dentists (per 1,000 population)"
Kenya,KEN,2014,2.37
Kiribati,KIR,2004,3.31
Kiribati,KIR,2008,18.29
Kiribati,KIR,2010,3.9000000000000004
Kiribati,KIR,2011,2.8699999999999997
Kiribati,KIR,2013,6.45
Kiribati,KIR,2016,7.359999999999999
Kuwait,KWT,2001,31.9
Kuwait,KWT,2006,31.21
Kuwait,KWT,2007,33.95
Kuwait,KWT,2008,36.230000000000004
Kuwait,KWT,2009,37.39
Kuwait,KWT,2010,54.5
Kuwait,KWT,2011,57.53999999999999
Kuwait,KWT,2012,60.37
Kuwait,KWT,2013,61.08
Kuwait,KWT,2014,59.989999999999995
Kuwait,KWT,2015,65.73
Kyrgyzstan,KGZ,2010,18.85
Kyrgyzstan,KGZ,2011,17.34
Kyrgyzstan,KGZ,2012,17.39
Kyrgyzstan,KGZ,2013,17.259999999999998
Kyrgyzstan,KGZ,2014,16.71
Laos,LAO,2009,3.71
Laos,LAO,2012,5
Laos,LAO,2014,5.19
Latvia,LVA,2000,53.61
Latvia,LVA,2001,52.779999999999994
Latvia,LVA,2002,54.36
Latvia,LVA,2003,55.82
Latvia,LVA,2004,60.99
Latvia,LVA,2005,64.39
Latvia,LVA,2006,70.14999999999999
Latvia,LVA,2007,70.59
Latvia,LVA,2008,67.87
Latvia,LVA,2009,67.96000000000001
Latvia,LVA,2010,70.22999999999999
Latvia,LVA,2011,69.58
Latvia,LVA,2012,69.93
Latvia,LVA,2013,71.49
Latvia,LVA,2014,69.44
Latvia,LVA,2015,71.21000000000001
Latvia,LVA,2016,71.61
Lebanon,LBN,2001,127.47
Lebanon,LBN,2006,100.00999999999999
Lebanon,LBN,2007,102.78
Lebanon,LBN,2009,118.67000000000002
Lebanon,LBN,2010,124.39
Lebanon,LBN,2011,136.45
Lebanon,LBN,2013,99.88
Lebanon,LBN,2014,97.6
Lebanon,LBN,2015,94.45
Lebanon,LBN,2016,109.78999999999999
Lebanon,LBN,2017,110.60000000000001
Lesotho,LSO,2003,0.16
Liberia,LBR,2004,0.09
Liberia,LBR,2008,0.10999999999999999
Liberia,LBR,2010,0.5800000000000001
Libya,LBY,2004,14.9
Libya,LBY,2008,33.8
Libya,LBY,2009,61.95
Libya,LBY,2014,73.86999999999999
Libya,LBY,2015,79.99
Libya,LBY,2017,90.61
Lithuania,LTU,2010,78.62
Lithuania,LTU,2011,80.72
Lithuania,LTU,2012,88.4
Lithuania,LTU,2013,89.35000000000001
Lithuania,LTU,2014,90.10999999999999
Lithuania,LTU,2015,90.18
Lithuania,LTU,2016,95.83
Luxembourg,LUX,2010,83.08999999999999
Luxembourg,LUX,2011,83.85999999999999
Luxembourg,LUX,2012,82.83
Luxembourg,LUX,2013,86.64999999999999
Luxembourg,LUX,2014,85.57000000000001
Luxembourg,LUX,2015,89.29
Luxembourg,LUX,2016,95.54
Luxembourg,LUX,2017,99.57000000000001
Macedonia,MKD,2009,68.86999999999999
Macedonia,MKD,2010,77.22
Macedonia,MKD,2011,78.27
Macedonia,MKD,2012,79.65
Macedonia,MKD,2013,82.14
Macedonia,MKD,2015,87.72
Madagascar,MDG,2002,0.71
Madagascar,MDG,2003,0.9199999999999999
Madagascar,MDG,2004,0.8999999999999999
Madagascar,MDG,2005,1.07
Madagascar,MDG,2006,1.04
Madagascar,MDG,2007,1
Madagascar,MDG,2008,1.05
Madagascar,MDG,2009,0.8699999999999999
Madagascar,MDG,2010,0.9199999999999999
Madagascar,MDG,2011,0.8300000000000001
Madagascar,MDG,2012,0.81
Malaysia,MYS,2000,9.25
Malaysia,MYS,2002,8.93
Malaysia,MYS,2008,13.43
Malaysia,MYS,2010,13.55
Malaysia,MYS,2011,14.850000000000001
Malaysia,MYS,2012,15.629999999999999
Malaysia,MYS,2015,34.489999999999995
Maldives,MDV,2004,3.22
Maldives,MDV,2009,12.69
Maldives,MDV,2010,8.78
Maldives,MDV,2015,14.82
Maldives,MDV,2016,2.3400000000000003
Mali,MLI,2004,0.36
Mali,MLI,2009,0.27
Mali,MLI,2010,0.22999999999999998
Malta,MLT,2010,44.22
Malta,MLT,2011,44.459999999999994
Malta,MLT,2012,45.15
Malta,MLT,2013,46.550000000000004
Malta,MLT,2014,47.23
Malta,MLT,2015,48.17999999999999
Marshall Islands,MHL,2007,11.52
Marshall Islands,MHL,2010,7.63
Marshall Islands,MHL,2012,7.59
Mauritania,MRT,2004,1.54
Mauritania,MRT,2009,2
Mauritius,MUS,2004,13.740000000000002
Mauritius,MUS,2007,18.48
Mauritius,MUS,2008,18.96
Mauritius,MUS,2009,20.099999999999998
Mauritius,MUS,2010,20.830000000000002
Mauritius,MUS,2011,21.419999999999998
Mauritius,MUS,2012,24.009999999999998
Mauritius,MUS,2013,27.959999999999997
Mauritius,MUS,2014,29.11
Mauritius,MUS,2015,30.169999999999998
Mexico,MEX,2000,58.67
Mexico,MEX,2010,11.27
Mexico,MEX,2011,11.29
Mexico,MEX,2012,11.319999999999999
Mexico,MEX,2013,11.83
Mexico,MEX,2014,12.39
Mexico,MEX,2015,12.64
Mexico,MEX,2016,10
Moldova,MDA,2010,40.18
Moldova,MDA,2011,41.01
Moldova,MDA,2012,40.99
Moldova,MDA,2013,43
Moldova,MDA,2014,43.019999999999996
Moldova,MDA,2015,43.730000000000004
Monaco,MCO,2011,101.32999999999998
Monaco,MCO,2012,97.88
Monaco,MCO,2013,100
Monaco,MCO,2014,99.74000000000001
Mongolia,MNG,2002,12.889999999999999
Mongolia,MNG,2008,19.52
Mongolia,MNG,2009,19.79
Mongolia,MNG,2010,19.650000000000002
Mongolia,MNG,2011,23.610000000000003
Mongolia,MNG,2012,28.290000000000003
Mongolia,MNG,2016,23.62
Montenegro,MNE,2010,4.16
Montenegro,MNE,2011,3.84
Montenegro,MNE,2012,3.99
Montenegro,MNE,2013,3.99
Montenegro,MNE,2014,3.9800000000000004
Montenegro,MNE,2015,3.9800000000000004
Morocco,MAR,2004,10.24
Morocco,MAR,2009,8.34
Morocco,MAR,2014,13.56
Morocco,MAR,2015,14
Morocco,MAR,2017,13.580000000000002
Mozambique,MOZ,2004,0.08
Mozambique,MOZ,2009,0.22999999999999998
Mozambique,MOZ,2010,0.25
Mozambique,MOZ,2011,0.3
Mozambique,MOZ,2012,0.27
Mozambique,MOZ,2013,0.51
Mozambique,MOZ,2017,0.75
Myanmar,MMR,2004,2.7600000000000002
Myanmar,MMR,2005,3.29
Myanmar,MMR,2006,3.55
Myanmar,MMR,2007,3.8
Myanmar,MMR,2008,4.66
Myanmar,MMR,2009,4.63
Myanmar,MMR,2010,5.11
Myanmar,MMR,2011,5.48
Myanmar,MMR,2012,5.91
Myanmar,MMR,2015,6.24
Myanmar,MMR,2016,18.16
Myanmar,MMR,2017,8.06
Namibia,NAM,2004,4.08
Namibia,NAM,2007,4.33
Nauru,NRU,2004,9.9
Nauru,NRU,2008,10.1
Nauru,NRU,2009,10.1
Nauru,NRU,2011,9.8
Nauru,NRU,2015,17.7
Nepal,NPL,2004,0.97
Nepal,NPL,2017,20.74
Netherlands,NLD,2010,50.019999999999996
Netherlands,NLD,2011,50.99
Netherlands,NLD,2012,52.39
Netherlands,NLD,2013,52.28
Netherlands,NLD,2014,51.81
Netherlands,NLD,2015,50.540000000000006
New Zealand,NZL,2001,36.62
New Zealand,NZL,2002,40.88
New Zealand,NZL,2007,44.34
New Zealand,NZL,2010,58.31
New Zealand,NZL,2012,59.61
New Zealand,NZL,2016,67.8
Nicaragua,NIC,2003,4.640000000000001
Nicaragua,NIC,2005,4.57
Nicaragua,NIC,2006,4.48
Nicaragua,NIC,2007,4.42
Nicaragua,NIC,2008,4.75
Nicaragua,NIC,2009,4.680000000000001
Nicaragua,NIC,2010,4.5
Nicaragua,NIC,2011,4.53
Nicaragua,NIC,2012,4.49
Nicaragua,NIC,2013,4.42
Nicaragua,NIC,2014,4.32
Nicaragua,NIC,2018,4.04
Niger,NER,2004,0.10999999999999999
Niger,NER,2008,0.10999999999999999
Niger,NER,2009,0.10999999999999999
Nigeria,NGA,2003,1.88
Nigeria,NGA,2005,1.52
Nigeria,NGA,2006,1.57
Nigeria,NGA,2007,1.7599999999999998
Nigeria,NGA,2008,1.7100000000000002
Nigeria,NGA,2009,1.6
Nigeria,NGA,2010,5.2700000000000005
Niue,NIU,2003,111.11000000000001
Niue,NIU,2004,117.65
Niue,NIU,2006,176.46999999999997
Niue,NIU,2008,125
North Korea,PRK,2003,16.8
North Korea,PRK,2008,17.73
North Korea,PRK,2012,18.57
North Korea,PRK,2017,21.95
Norway,NOR,2009,86.83999999999999
Norway,NOR,2010,87.87
Norway,NOR,2011,88.53
Norway,NOR,2012,86.59
Norway,NOR,2013,87.33000000000001
Norway,NOR,2014,86.57
Norway,NOR,2015,85.27
Norway,NOR,2016,86.15
Norway,NOR,2017,86.52
Oman,OMN,2000,11.55
Oman,OMN,2004,17.02
Oman,OMN,2005,17.84
Oman,OMN,2006,19.2
Oman,OMN,2007,19.68
Oman,OMN,2008,20.19
Oman,OMN,2009,21.61
Oman,OMN,2010,21.5
Oman,OMN,2011,22.43
Oman,OMN,2012,23.24
Oman,OMN,2013,23.63
Oman,OMN,2014,26
Oman,OMN,2015,27.360000000000003
Oman,OMN,2016,27.89
Oman,OMN,2017,29.119999999999997
Pakistan,PAK,2000,3.01
Pakistan,PAK,2001,3.2600000000000002
Pakistan,PAK,2004,4.28
Pakistan,PAK,2008,5.510000000000001
Pakistan,PAK,2009,5.88
Pakistan,PAK,2010,6.16
Pakistan,PAK,2011,6.69
Pakistan,PAK,2015,8.79
Palau,PLW,2007,24.88
Panama,PAN,2001,24.759999999999998
Panama,PAN,2002,28.479999999999997
Panama,PAN,2003,27.05
Panama,PAN,2004,28.23
Panama,PAN,2005,28.159999999999997
Panama,PAN,2006,28.1
Panama,PAN,2007,27.330000000000002
Panama,PAN,2008,28.15
Panama,PAN,2009,28.83
Panama,PAN,2010,29.950000000000003
Panama,PAN,2011,30.04
Panama,PAN,2012,32.65
