Entity,Code,Year,Suite of Food Security Indicators - Number of moderately or severely food insecure people (million) (3-year average) - 210081 - Value - 6132 - millions (people)
"Europe, Western",,2015,10600000
"Europe, Western",,2016,10000000
"Europe, Western",,2017,9700000
Finland,FIN,2015,500000
Finland,FIN,2016,500000
Finland,FIN,2017,500000
France,FRA,2015,4400000
France,FRA,2016,4000000
France,FRA,2017,4099999.9999999995
Gambia,GMB,2016,1100000
Gambia,GMB,2017,1100000
Georgia,GEO,2015,1200000
Georgia,GEO,2016,1300000
Georgia,GEO,2017,1300000
Germany,DEU,2015,3400000
Germany,DEU,2016,3100000
Germany,DEU,2017,3000000
Ghana,GHA,2015,13700000
Ghana,GHA,2016,14000000
Ghana,GHA,2017,14300000
Greece,GRC,2015,1800000
Greece,GRC,2016,1900000
Greece,GRC,2017,1900000
Guatemala,GTM,2015,7000000
Guatemala,GTM,2016,7400000
Guatemala,GTM,2017,7400000
Guinea,GIN,2015,8800000
Guinea,GIN,2016,9000000
Guinea,GIN,2017,9400000
High income,,2015,105500000
High income,,2016,103800000
High income,,2017,103900000
Honduras,HND,2015,4700000
Honduras,HND,2016,4600000
Honduras,HND,2017,4600000
Hong Kong,HKG,2015,600000
Hong Kong,HKG,2016,500000
Hong Kong,HKG,2017,400000
Hungary,HUN,2015,1000000
Hungary,HUN,2016,900000
Hungary,HUN,2017,800000
Indonesia,IDN,2016,22600000
Indonesia,IDN,2017,21300000
Ireland,IRL,2015,400000
Ireland,IRL,2016,300000
Ireland,IRL,2017,300000
Israel,ISR,2015,700000
Israel,ISR,2016,700000
Israel,ISR,2017,700000
Italy,ITA,2015,4800000
Italy,ITA,2016,4300000
Italy,ITA,2017,4200000
Japan,JPN,2015,3000000
Japan,JPN,2016,3100000
Japan,JPN,2017,3600000
Kazakhstan,KAZ,2015,1200000
Kazakhstan,KAZ,2016,1400000
Kazakhstan,KAZ,2017,1700000
Kenya,KEN,2015,26700000
Kenya,KEN,2016,27400000
Kenya,KEN,2017,28100000
Kyrgyzstan,KGZ,2015,1300000
Kyrgyzstan,KGZ,2016,1300000
Kyrgyzstan,KGZ,2017,1400000
Land Locked Developing Countries,,2015,223600000
Land Locked Developing Countries,,2016,240400000
Land Locked Developing Countries,,2017,255700000
Latvia,LVA,2015,200000
Latvia,LVA,2016,200000
Latvia,LVA,2017,200000
Least Developed Countries,,2015,473100000
Least Developed Countries,,2016,503500000
Least Developed Countries,,2017,526600000
Lesotho,LSO,2015,1700000
Lesotho,LSO,2016,1700000
Lesotho,LSO,2017,1700000
Liberia,LBR,2015,3800000
Liberia,LBR,2016,4000000
Liberia,LBR,2017,4099999.9999999995
Lithuania,LTU,2015,400000
Lithuania,LTU,2016,300000
Lithuania,LTU,2017,300000
Low income,,2015,376000000
Low income,,2016,405700000
Low income,,2017,427100000
Lower middle income,,2015,853700000
Lower middle income,,2016,859800000
Lower middle income,,2017,907300000
Macedonia,MKD,2015,300000
Macedonia,MKD,2016,300000
Macedonia,MKD,2017,300000
Malawi,MWI,2015,14400000
Malawi,MWI,2016,14800000
Malawi,MWI,2017,15300000
Mauritius,MUS,2015,200000
Mauritius,MUS,2016,200000
Mauritius,MUS,2017,200000
Mexico,MEX,2015,35900000
Mexico,MEX,2016,36700000
Mexico,MEX,2017,36200000
Moldova,MDA,2015,800000
Moldova,MDA,2016,900000
Moldova,MDA,2017,1000000
Mongolia,MNG,2015,600000
Mongolia,MNG,2016,800000
Mongolia,MNG,2017,800000
Montenegro,MNE,2015,100000
Montenegro,MNE,2017,100000
Mozambique,MOZ,2015,17800000
Mozambique,MOZ,2016,19400000
Mozambique,MOZ,2017,20400000
Namibia,NAM,2015,1600000
Namibia,NAM,2016,1700000
Namibia,NAM,2017,1700000
Nepal,NPL,2015,8400000
Nepal,NPL,2016,9000000
Nepal,NPL,2017,9300000
Netherlands,NLD,2015,900000
Netherlands,NLD,2016,900000
Netherlands,NLD,2017,700000
New Zealand,NZL,2015,500000
New Zealand,NZL,2016,500000
New Zealand,NZL,2017,700000
Niger,NER,2015,13200000
Niger,NER,2016,15300000
Niger,NER,2017,17800000
Nigeria,NGA,2015,66000000
Nigeria,NGA,2016,67800000
North Africa (exc Sudan),,2015,48400000
North Africa (exc Sudan),,2016,54500000
North Africa (exc Sudan),,2017,59600000
Northern Africa,,2015,58400000
Northern Africa,,2016,65800000
Northern Africa,,2017,72100000
Northern Africa and Western Asia,,2015,132699999.99999999
Northern Africa and Western Asia,,2016,142500000
Northern Africa and Western Asia,,2017,150500000
Northern America,,2015,35300000
Northern America,,2016,33700000
Northern America,,2017,31700000
Northern Europe,,2015,8800000
Northern Europe,,2016,7400000
Northern Europe,,2017,6300000
Norway,NOR,2015,300000
Norway,NOR,2016,300000
Norway,NOR,2017,300000
Palestine,PSE,2017,1300000
Philippines,PHL,2015,46200000
Philippines,PHL,2016,48900000
Philippines,PHL,2017,55100000
Poland,POL,2015,3300000
Poland,POL,2016,2300000
Poland,POL,2017,2000000
Portugal,PRT,2015,1600000
Portugal,PRT,2016,1500000
Portugal,PRT,2017,1200000
Romania,ROU,2015,3800000
Romania,ROU,2016,3300000
Romania,ROU,2017,2900000
Russia,RUS,2015,11800000
Russia,RUS,2016,12600000
Russia,RUS,2017,8900000
Serbia,SRB,2015,900000
Serbia,SRB,2016,1100000
Serbia,SRB,2017,1000000
Sierra Leone,SLE,2015,6000000
Sierra Leone,SLE,2016,6600000
Sierra Leone,SLE,2017,6900000
Singapore,SGP,2015,200000
Singapore,SGP,2016,200000
Singapore,SGP,2017,200000
Slovakia,SVK,2015,300000
Slovakia,SVK,2016,300000
Slovakia,SVK,2017,300000
South Africa,ZAF,2015,25100000
South Africa,ZAF,2016,27100000
South Africa,ZAF,2017,29000000
South America,,2015,99100000
South America,,2016,118500000
South America,,2017,130800000.00000001
South Asia (exc India),,2015,198300000
South Asia (exc India),,2016,187200000
South Asia (exc India),,2017,188500000
South Eastern Asia,,2015,118400000
South Eastern Asia,,2016,123800000
South Eastern Asia,,2017,131900000
South Korea,KOR,2015,2400000
South Korea,KOR,2016,2600000
South Korea,KOR,2017,2800000
Southern Africa,,2015,30600000
Southern Africa,,2016,32799999.999999996
Southern Africa,,2017,34900000
Southern Asia,,2015,562200000
Southern Asia,,2016,548900000
Southern Asia,,2017,578100000
Southern Europe,,2015,14900000
Southern Europe,,2016,14600000
Southern Europe,,2017,14300000
Spain,ESP,2015,3300000
Spain,ESP,2016,3500000
Spain,ESP,2017,3500000
Sub-Saharan Africa,,2015,533400000
Sub-Saharan Africa,,2016,568500000
Sub-Saharan Africa,,2017,595300000
Sub-Saharan Africa (inc. Sudan),,2015,543400000
Sub-Saharan Africa (inc. Sudan),,2016,579900000
Sub-Saharan Africa (inc. Sudan),,2017,607800000
Swaziland,SWZ,2017,900000
Sweden,SWE,2015,400000
Sweden,SWE,2016,500000
Sweden,SWE,2017,500000
Switzerland,CHE,2015,300000
Switzerland,CHE,2016,300000
Switzerland,CHE,2017,300000
Taiwan,TWN,2015,800000
Taiwan,TWN,2016,800000
Taiwan,TWN,2017,700000
Tajikistan,TJK,2015,1600000
Tajikistan,TJK,2016,2100000
Tajikistan,TJK,2017,2600000
Tanzania,TZA,2015,33000000
Tanzania,TZA,2016,37700000
Tanzania,TZA,2017,39700000
Togo,TGO,2015,5000000
Togo,TGO,2016,5200000
Togo,TGO,2017,5300000
United Kingdom,GBR,2015,6100000
United Kingdom,GBR,2016,4800000
United Kingdom,GBR,2017,3700000
United States,USA,2015,33500000
United States,USA,2016,31900000
United States,USA,2017,29900000
Upper middle income,,2015,304100000
Upper middle income,,2016,327000000
Upper middle income,,2017,340200000
Uruguay,URY,2015,700000
Uruguay,URY,2016,800000
Uruguay,URY,2017,900000
Vietnam,VNM,2015,15400000
Vietnam,VNM,2016,15200000
Vietnam,VNM,2017,13800000
Western Africa,,2015,160200000
Western Africa,,2016,169500000
Western Africa,,2017,177200000
Western Asia,,2015,74300000
Western Asia,,2016,76600000
Western Asia,,2017,78400000
World,OWID_WRL,2015,1736800000
World,OWID_WRL,2016,1814600000
World,OWID_WRL,2017,1915100000
