Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%) - DC_ODA_TOTG (%)"
Czech Republic,CZE,2017,0.15019
Czech Republic,CZE,2018,0.13944
Denmark,DNK,2000,1.06082
Denmark,DNK,2001,1.03014
Denmark,DNK,2002,0.96414
Denmark,DNK,2003,0.83797
Denmark,DNK,2004,0.84713
Denmark,DNK,2005,0.81167
Denmark,DNK,2006,0.79819
Denmark,DNK,2007,0.80758
Denmark,DNK,2008,0.81737
Denmark,DNK,2009,0.88039
Denmark,DNK,2010,0.90922
Denmark,DNK,2011,0.85212
Denmark,DNK,2012,0.83
Denmark,DNK,2013,0.85184
Denmark,DNK,2014,0.85601
Denmark,DNK,2015,0.84737
Denmark,DNK,2016,0.75203
Denmark,DNK,2017,0.73745
Denmark,DNK,2018,0.71491
Finland,FIN,2000,0.31083
Finland,FIN,2001,0.32362
Finland,FIN,2002,0.35188
Finland,FIN,2003,0.34818
Finland,FIN,2004,0.36678
Finland,FIN,2005,0.46121
Finland,FIN,2006,0.39587
Finland,FIN,2007,0.39407
Finland,FIN,2008,0.4385
Finland,FIN,2009,0.54227
Finland,FIN,2010,0.55042
Finland,FIN,2011,0.53112
Finland,FIN,2012,0.53392
Finland,FIN,2013,0.53534
Finland,FIN,2014,0.59407
Finland,FIN,2015,0.55049
Finland,FIN,2016,0.43996
Finland,FIN,2017,0.4245
Finland,FIN,2018,0.35756
France,FRA,2000,0.30483
France,FRA,2001,0.30943
France,FRA,2002,0.3749
France,FRA,2003,0.40315
France,FRA,2004,0.41153
France,FRA,2005,0.47359
France,FRA,2006,0.46769
France,FRA,2007,0.37958
France,FRA,2008,0.38523
France,FRA,2009,0.4706
France,FRA,2010,0.49545
France,FRA,2011,0.45952
France,FRA,2012,0.45269
France,FRA,2013,0.40585
France,FRA,2014,0.36811
France,FRA,2015,0.36765
France,FRA,2016,0.38426
France,FRA,2017,0.43
France,FRA,2018,0.44046
Germany,DEU,2000,0.27009
Germany,DEU,2001,0.27101
Germany,DEU,2002,0.26791
Germany,DEU,2003,0.28402
Germany,DEU,2004,0.27607
Germany,DEU,2005,0.36035
Germany,DEU,2006,0.35604
Germany,DEU,2007,0.36685
Germany,DEU,2008,0.38283
Germany,DEU,2009,0.35492
Germany,DEU,2010,0.3867
Germany,DEU,2011,0.38679
Germany,DEU,2012,0.37176
Germany,DEU,2013,0.38087
Germany,DEU,2014,0.41874
Germany,DEU,2015,0.52318
Germany,DEU,2016,0.6993
Germany,DEU,2017,0.66741
Germany,DEU,2018,0.63422
Greece,GRC,2000,0.20194
Greece,GRC,2001,0.17197
Greece,GRC,2002,0.20706
Greece,GRC,2003,0.20947
Greece,GRC,2004,0.15704
Greece,GRC,2005,0.17156
Greece,GRC,2006,0.17298
Greece,GRC,2007,0.16239
Greece,GRC,2008,0.21078
Greece,GRC,2009,0.18883
Greece,GRC,2010,0.17124
Greece,GRC,2011,0.1467
Greece,GRC,2012,0.13083
Greece,GRC,2013,0.099
Greece,GRC,2014,0.10548
Greece,GRC,2015,0.12192
Greece,GRC,2016,0.18915
Greece,GRC,2017,0.15625
Greece,GRC,2018,0.12847
Hungary,HUN,2003,0.02684
Hungary,HUN,2004,0.07374
Hungary,HUN,2005,0.10741
Hungary,HUN,2006,0.13009
Hungary,HUN,2007,0.07705
Hungary,HUN,2008,0.07514
Hungary,HUN,2009,0.09523
Hungary,HUN,2010,0.09232
Hungary,HUN,2011,0.10773
Hungary,HUN,2012,0.09919
Hungary,HUN,2013,0.10303
Hungary,HUN,2014,0.10893
Hungary,HUN,2015,0.13397
Hungary,HUN,2016,0.16605
Hungary,HUN,2017,0.11081
Hungary,HUN,2018,0.13979
Iceland,ISL,2000,0.10405
Iceland,ISL,2001,0.13211
Iceland,ISL,2002,0.15184
Iceland,ISL,2003,0.16678
Iceland,ISL,2004,0.17722
Iceland,ISL,2005,0.17538
Iceland,ISL,2006,0.26908
Iceland,ISL,2007,0.26524
Iceland,ISL,2008,0.3557
Iceland,ISL,2009,0.32538
Iceland,ISL,2010,0.25853
Iceland,ISL,2011,0.1992
Iceland,ISL,2012,0.20279
Iceland,ISL,2013,0.22831
Iceland,ISL,2014,0.22078
Iceland,ISL,2015,0.23952
Iceland,ISL,2016,0.28439
Iceland,ISL,2017,0.28377
Iceland,ISL,2018,0.31027
Ireland,IRL,2000,0.29495
Ireland,IRL,2001,0.3307
Ireland,IRL,2002,0.40232
Ireland,IRL,2003,0.39463
Ireland,IRL,2004,0.38892
Ireland,IRL,2005,0.4196
Ireland,IRL,2006,0.54088
Ireland,IRL,2007,0.55153
Ireland,IRL,2008,0.59047
Ireland,IRL,2009,0.54468
Ireland,IRL,2010,0.52269
Ireland,IRL,2011,0.5121
Ireland,IRL,2012,0.46981
Ireland,IRL,2013,0.46194
Ireland,IRL,2014,0.37511
Ireland,IRL,2015,0.31761
Ireland,IRL,2016,0.31869
Ireland,IRL,2017,0.3174
Ireland,IRL,2018,0.31231
Italy,ITA,2000,0.12811
Italy,ITA,2001,0.15016
Italy,ITA,2002,0.19857
Italy,ITA,2003,0.16733
Italy,ITA,2004,0.14746
Italy,ITA,2005,0.28997
Italy,ITA,2006,0.19715
Italy,ITA,2007,0.1899
Italy,ITA,2008,0.21767
Italy,ITA,2009,0.15844
Italy,ITA,2010,0.14805
Italy,ITA,2011,0.1982
Italy,ITA,2012,0.13699
Italy,ITA,2013,0.16661
Italy,ITA,2014,0.18722
Italy,ITA,2015,0.22096
Italy,ITA,2016,0.27468
Italy,ITA,2017,0.30102
Italy,ITA,2018,0.23476
Japan,JPN,2000,0.28097
Japan,JPN,2001,0.23196
Japan,JPN,2002,0.22836
Japan,JPN,2003,0.20293
Japan,JPN,2004,0.18749
Japan,JPN,2005,0.28076
Japan,JPN,2006,0.24823
Japan,JPN,2007,0.17014
Japan,JPN,2008,0.19041
Japan,JPN,2009,0.18274
Japan,JPN,2010,0.19643
Japan,JPN,2011,0.18208
Japan,JPN,2012,0.17315
Japan,JPN,2013,0.22486
Japan,JPN,2014,0.19813
Japan,JPN,2015,0.20211
Japan,JPN,2016,0.20367
Japan,JPN,2017,0.22771
Japan,JPN,2018,0.19561
Luxembourg,LUX,2000,0.69605
Luxembourg,LUX,2001,0.77376
Luxembourg,LUX,2002,0.78263
Luxembourg,LUX,2003,0.8566
Luxembourg,LUX,2004,0.79054
Luxembourg,LUX,2005,0.79322
Luxembourg,LUX,2006,0.88967
Luxembourg,LUX,2007,0.92399
Luxembourg,LUX,2008,0.96805
Luxembourg,LUX,2009,1.04284
Luxembourg,LUX,2010,1.04655
Luxembourg,LUX,2011,0.97295
Luxembourg,LUX,2012,1.0038
Luxembourg,LUX,2013,1.00163
Luxembourg,LUX,2014,1.06433
Luxembourg,LUX,2015,0.9523
Luxembourg,LUX,2016,1.00077
Luxembourg,LUX,2017,0.99574
Luxembourg,LUX,2018,0.98315
Netherlands,NLD,2000,0.83673
Netherlands,NLD,2001,0.82176
Netherlands,NLD,2002,0.81054
Netherlands,NLD,2003,0.79533
Netherlands,NLD,2004,0.73349
Netherlands,NLD,2005,0.81881
Netherlands,NLD,2006,0.80636
Netherlands,NLD,2007,0.80789
Netherlands,NLD,2008,0.80469
Netherlands,NLD,2009,0.82051
Netherlands,NLD,2010,0.81486
Netherlands,NLD,2011,0.75335
Netherlands,NLD,2012,0.7097
Netherlands,NLD,2013,0.66877
Netherlands,NLD,2014,0.63505
Netherlands,NLD,2015,0.74868
Netherlands,NLD,2016,0.64874
Netherlands,NLD,2017,0.60369
Netherlands,NLD,2018,0.61
New Zealand,NZL,2000,0.25151
New Zealand,NZL,2001,0.25429
New Zealand,NZL,2002,0.22241
New Zealand,NZL,2003,0.22571
New Zealand,NZL,2004,0.23405
New Zealand,NZL,2005,0.27119
New Zealand,NZL,2006,0.26789
New Zealand,NZL,2007,0.26637
New Zealand,NZL,2008,0.30394
New Zealand,NZL,2009,0.27772
New Zealand,NZL,2010,0.25533
New Zealand,NZL,2011,0.27612
New Zealand,NZL,2012,0.27651
New Zealand,NZL,2013,0.26248
New Zealand,NZL,2014,0.26946
New Zealand,NZL,2015,0.26514
New Zealand,NZL,2016,0.25307
New Zealand,NZL,2017,0.23
New Zealand,NZL,2018,0.28282
Norway,NOR,2000,0.76411
Norway,NOR,2001,0.79742
Norway,NOR,2002,0.8884
Norway,NOR,2003,0.91945
Norway,NOR,2004,0.87397
Norway,NOR,2005,0.94045
Norway,NOR,2006,0.88531
Norway,NOR,2007,0.95191
Norway,NOR,2008,0.88903
Norway,NOR,2009,1.05854
Norway,NOR,2010,1.05099
Norway,NOR,2011,0.96383
Norway,NOR,2012,0.92939
Norway,NOR,2013,1.07479
Norway,NOR,2014,1.00043
Norway,NOR,2015,1.04574
Norway,NOR,2016,1.12161
Norway,NOR,2017,0.99272
Norway,NOR,2018,0.94069
Poland,POL,2000,0.01826
Poland,POL,2001,0.02047
Poland,POL,2003,0.01315
Poland,POL,2004,0.04859
Poland,POL,2005,0.06846
Poland,POL,2006,0.08884
Poland,POL,2007,0.10143
Poland,POL,2008,0.07539
Poland,POL,2009,0.08946
Poland,POL,2010,0.08351
Poland,POL,2011,0.08417
Poland,POL,2012,0.08992
Poland,POL,2013,0.0961
Poland,POL,2014,0.08563
Poland,POL,2015,0.09584
Poland,POL,2016,0.14709
Poland,POL,2017,0.13469
Poland,POL,2018,0.134
Portugal,PRT,2000,0.26073
Portugal,PRT,2001,0.25098
Portugal,PRT,2002,0.27166
Portugal,PRT,2003,0.21966
Portugal,PRT,2004,0.62715
Portugal,PRT,2005,0.21107
Portugal,PRT,2006,0.21177
Portugal,PRT,2007,0.2196
Portugal,PRT,2008,0.2703
Portugal,PRT,2009,0.23421
Portugal,PRT,2010,0.2937
Portugal,PRT,2011,0.3089
Portugal,PRT,2012,0.28053
Portugal,PRT,2013,0.22671
Portugal,PRT,2014,0.18952
Portugal,PRT,2015,0.15819
Portugal,PRT,2016,0.1713
Portugal,PRT,2017,0.17912
Portugal,PRT,2018,0.14673
Slovakia,SVK,2000,0.03089
Slovakia,SVK,2001,0.04081
Slovakia,SVK,2002,0.02404
Slovakia,SVK,2003,0.04632
Slovakia,SVK,2004,0.07207
Slovakia,SVK,2006,0.10323
Slovakia,SVK,2007,0.09304
Slovakia,SVK,2008,0.10007
Slovakia,SVK,2009,0.08653
Slovakia,SVK,2010,0.08543
Slovakia,SVK,2011,0.09131
Slovakia,SVK,2012,0.08861
Slovakia,SVK,2013,0.09336
Slovakia,SVK,2014,0.08609
Slovakia,SVK,2015,0.10126
Slovakia,SVK,2016,0.12104
Slovakia,SVK,2017,0.13196
Slovakia,SVK,2018,0.12718
Slovenia,SVN,2005,0.10639
Slovenia,SVN,2006,0.11941
Slovenia,SVN,2007,0.12043
Slovenia,SVN,2008,0.12911
Slovenia,SVN,2009,0.1488
Slovenia,SVN,2010,0.12679
Slovenia,SVN,2011,0.1288
Slovenia,SVN,2012,0.13018
Slovenia,SVN,2013,0.12984
Slovenia,SVN,2014,0.12453
Slovenia,SVN,2015,0.14923
Slovenia,SVN,2016,0.18706
Slovenia,SVN,2017,0.15892
Slovenia,SVN,2018,0.15566
South Korea,KOR,2000,0.04162
South Korea,KOR,2001,0.05501
South Korea,KOR,2002,0.05092
South Korea,KOR,2003,0.06038
South Korea,KOR,2004,0.06203
South Korea,KOR,2005,0.09522
South Korea,KOR,2006,0.05131
South Korea,KOR,2007,0.07167
South Korea,KOR,2008,0.08584
South Korea,KOR,2009,0.09747
South Korea,KOR,2010,0.11569
South Korea,KOR,2011,0.11852
South Korea,KOR,2012,0.14069
South Korea,KOR,2013,0.13352
South Korea,KOR,2014,0.13067
South Korea,KOR,2015,0.13818
South Korea,KOR,2016,0.15903
South Korea,KOR,2017,0.14383
South Korea,KOR,2018,0.14931
Spain,ESP,2000,0.21643
Spain,ESP,2001,0.3028
Spain,ESP,2002,0.26272
Spain,ESP,2003,0.23362
Spain,ESP,2004,0.23934
Spain,ESP,2005,0.2719
Spain,ESP,2006,0.3151
Spain,ESP,2007,0.36706
Spain,ESP,2008,0.44664
Spain,ESP,2009,0.45924
Spain,ESP,2010,0.42841
Spain,ESP,2011,0.28635
Spain,ESP,2012,0.15585
Spain,ESP,2013,0.1739
Spain,ESP,2014,0.13443
Spain,ESP,2015,0.11676
Spain,ESP,2016,0.34268
Spain,ESP,2017,0.19495
Spain,ESP,2018,0.18084
Sweden,SWE,2000,0.80126
Sweden,SWE,2001,0.76625
Sweden,SWE,2002,0.83638
Sweden,SWE,2003,0.79454
Sweden,SWE,2004,0.77729
Sweden,SWE,2005,0.9422
Sweden,SWE,2006,1.02481
Sweden,SWE,2007,0.93472
Sweden,SWE,2008,0.97958
Sweden,SWE,2009,1.12141
Sweden,SWE,2010,0.96953
Sweden,SWE,2011,1.0188
Sweden,SWE,2012,0.9739
Sweden,SWE,2013,1.01378
Sweden,SWE,2014,1.0944
Sweden,SWE,2015,1.40455
Sweden,SWE,2016,0.94068
Sweden,SWE,2017,1.01888
Sweden,SWE,2018,1.04308
Switzerland,CHE,2000,0.3242
Switzerland,CHE,2001,0.33109
Switzerland,CHE,2002,0.31726
Switzerland,CHE,2003,0.36172
Switzerland,CHE,2004,0.38613
Switzerland,CHE,2005,0.42182
Switzerland,CHE,2006,0.37545
Switzerland,CHE,2007,0.37077
Switzerland,CHE,2008,0.42173
Switzerland,CHE,2009,0.44173
Switzerland,CHE,2010,0.39303
Switzerland,CHE,2011,0.45844
Switzerland,CHE,2012,0.46756
Switzerland,CHE,2013,0.45857
Switzerland,CHE,2014,0.50488
Switzerland,CHE,2015,0.51433
Switzerland,CHE,2016,0.5306
Switzerland,CHE,2017,0.4569
Switzerland,CHE,2018,0.43596
United Kingdom,GBR,2000,0.31749
United Kingdom,GBR,2001,0.31902
United Kingdom,GBR,2002,0.30902
United Kingdom,GBR,2003,0.34228
United Kingdom,GBR,2004,0.36267
United Kingdom,GBR,2005,0.47269
United Kingdom,GBR,2006,0.51408
United Kingdom,GBR,2007,0.35531
United Kingdom,GBR,2008,0.43037
United Kingdom,GBR,2009,0.50755
United Kingdom,GBR,2010,0.5726
United Kingdom,GBR,2011,0.56249
United Kingdom,GBR,2012,0.56192
United Kingdom,GBR,2013,0.70467
United Kingdom,GBR,2014,0.7007
United Kingdom,GBR,2015,0.70476
United Kingdom,GBR,2016,0.70011
United Kingdom,GBR,2017,0.69888
United Kingdom,GBR,2018,0.6975
United States,USA,2000,0.10027
United States,USA,2001,0.11251
United States,USA,2002,0.12669
United States,USA,2003,0.14862
United States,USA,2004,0.16905
United States,USA,2005,0.22603
United States,USA,2006,0.17747
United States,USA,2007,0.15645
United States,USA,2008,0.18346
United States,USA,2009,0.20578
United States,USA,2010,0.20263
United States,USA,2011,0.20357
United States,USA,2012,0.18561
United States,USA,2013,0.18174
United States,USA,2014,0.18569
United States,USA,2015,0.16753
United States,USA,2016,0.1861
United States,USA,2017,0.1768
United States,USA,2018,0.16459
