Entity,Code,Year, (% of households)
Ghana,GHA,2006,32.4
Ghana,GHA,2011,34.5
Guatemala,GTM,2002,40
Guatemala,GTM,2007,76
Guinea,GIN,2005,50.8
Guinea,GIN,2008,41.1
Guinea-Bissau,GNB,2010,11.7
Guyana,GUY,2009,10.2617182546249
Haiti,HTI,2005,2.5
Haiti,HTI,2006,3
Haiti,HTI,2012,18
Heavily indebted poor countries (HIPC),,2010,46.6283668450439
Honduras,HND,1998,80
IBRD only,,2010,78.836190364645
IDA & IBRD total,,2010,73.8480378821269
IDA blend,,2010,77.0851597033392
IDA only,,2010,50.6783867397216
IDA total,,2010,59.6983328344663
India,IND,2006,51.1
India,IND,2009,71.1
Indonesia,IDN,2003,73.24
Indonesia,IDN,2007,62.3
Indonesia,IDN,2010,62.3
Indonesia,IDN,2013,57.6
Iran,IRN,2005,98.7
Iraq,IRQ,2006,28.4
Iraq,IRQ,2011,29
Jordan,JOR,2000,88.3
Kazakhstan,KAZ,2006,92
Kazakhstan,KAZ,2011,85.4
Kenya,KEN,2009,93.4328515055057
Kyrgyzstan,KGZ,2006,76.1
Laos,LAO,2006,83.8
Laos,LAO,2012,79.5
Late-demographic dividend,,2010,89.8395527418999
Least developed countries: UN classification,,2010,51.361065244364
Lebanon,LBN,2004,92
Lebanon,LBN,2009,70.7
Lesotho,LSO,2004,90.7
Lesotho,LSO,2009,79.4130880755817
Libya,LBY,1993,90
Low & middle income,,2010,73.5752545019272
Low income,,2010,49.3986489287231
Lower middle income,,2010,67.3888369438701
Macedonia,MKD,2005,94
Madagascar,MDG,2003,75.4
Madagascar,MDG,2009,50.2991507690422
Malawi,MWI,2006,49.7
Malawi,MWI,2010,62.1
Malaysia,MYS,2008,17.6
Maldives,MDV,2001,44
Mali,MLI,2001,73.8
Mali,MLI,2006,74.3965855583381
Mauritania,MRT,2000,1.9
Mauritania,MRT,2010,7.3
Mauritius,MUS,1995,0
Mexico,MEX,2003,91
Middle income,,2010,76.778492926327
Moldova,MDA,2005,59.8
Moldova,MDA,2012,44.3
Mongolia,MNG,2005,83.1
Mongolia,MNG,2010,69.9
Montenegro,MNE,2000,70.7
Morocco,MAR,2006,21.2
Mozambique,MOZ,2003,53.7
Mozambique,MOZ,2008,25.1
Mozambique,MOZ,2009,25.1
Mozambique,MOZ,2011,44.8
Myanmar,MMR,2008,92.9
Myanmar,MMR,2011,68.8
Namibia,NAM,2000,57.4
Nepal,NPL,2000,62.6
Nepal,NPL,2011,80.0454434013612
New Zealand,NZL,1996,83
New Zealand,NZL,1999,83
Nicaragua,NIC,2003,96.8
Niger,NER,2006,46
Niger,NER,2010,32
Niger,NER,2012,18.6011406825141
Nigeria,NGA,2003,97.3
Nigeria,NGA,2008,51.5
Nigeria,NGA,2011,79.8
North Korea,PRK,2004,40.2
North Korea,PRK,2009,24.5
Oman,OMN,2000,68.5
Pakistan,PAK,2002,17
Pakistan,PAK,2011,69.1
Palestine,PSE,2006,85.7
Palestine,PSE,2010,76.6
Panama,PAN,1998,94.6
Papua New Guinea,PNG,2005,91.9
Papua New Guinea,PNG,2006,91.9
Paraguay,PRY,2006,94.4
Paraguay,PRY,2011,93.4
Peru,PER,2004,91.2
Peru,PER,2009,90.5
Peru,PER,2012,88.3
Philippines,PHL,2005,44.5
Philippines,PHL,2008,41.9
Philippines,PHL,2011,80.1
Pre-demographic dividend,,2010,60.5002515102547
Romania,ROU,2004,74
Russia,RUS,2002,35
Russia,RUS,2003,35
Rwanda,RWA,2005,87.4
Rwanda,RWA,2010,99.3
Saint Kitts and Nevis,KNA,2000,100
Saint Lucia,LCA,2012,45.5
Sao Tome and Principe,STP,2009,64.8055760582814
Senegal,SEN,2005,41.3
Senegal,SEN,2011,43.1351277072309
Serbia,SRB,2007,32.2
Sierra Leone,SLE,2008,58.2
Sierra Leone,SLE,2010,62.6
Somalia,SOM,2006,1.2
Somalia,SOM,2009,3.9
South Africa,ZAF,1998,62.4
South Asia,,2010,68.8556049932648
South Asia (IDA & IBRD),,2010,68.8556049932648
South Sudan,SSD,2010,45.3
Sri Lanka,LKA,2005,93.6
Sri Lanka,LKA,2007,92.4
Sub-Saharan Africa,,2010,58.3620974964657
Sub-Saharan Africa (IDA & IBRD),,2010,58.3620974964656
Sub-Saharan Africa (excluding high income),,2010,58.3620974964657
Sudan,SDN,2006,11
Sudan,SDN,2010,9.5
Swaziland,SWZ,2007,79.9
Swaziland,SWZ,2010,51.6
Syrian Arab Republic,,2003,79.3
Syrian Arab Republic,,2005,79.3
Tajikistan,TJK,2007,49
Tajikistan,TJK,2009,61.9
Tajikistan,TJK,2012,38.6
Tanzania,TZA,2005,43.4
Tanzania,TZA,2010,55.7189010831079
Thailand,THA,2006,47.2
Thailand,THA,2012,70.9
Timor,TLS,2007,59.9
Togo,TGO,2010,31.5
Trinidad and Tobago,TTO,2006,27.9
Tunisia,TUN,2000,96.7
Turkey,TUR,2003,63.6
Turkey,TUR,2008,68.9
Turkmenistan,TKM,2000,75.3
Turkmenistan,TKM,2006,86.5
Uganda,UGA,2006,86.8
Uganda,UGA,2011,99
Ukraine,UKR,2005,18.3
Ukraine,UKR,2012,20.7
Uzbekistan,UZB,2006,53.1
Vanuatu,VUT,2007,22.9
Venezuela,VEN,1998,90
Vietnam,VNM,2006,93.2
Vietnam,VNM,2011,45.1
World,OWID_WRL,2010,73.5859539426292
Yemen,YEM,2003,29.5
Zambia,ZMB,2002,63.9005087981018
Zimbabwe,ZWE,2007,90.9
Zimbabwe,ZWE,2011,94
