Entity,Code,Year,Vienna Convention and Montreal Protocol (Cumulative Parties) (total parties in Montreal Protocol)
Eastern Europe,,2005,7
Eastern Europe,,2006,7
Eastern Europe,,2007,7
Eastern Europe,,2008,7
Eastern Europe,,2009,7
Eastern Europe,,2010,7
Eastern Europe,,2011,7
Eastern Europe,,2012,7
Eastern Europe,,2013,7
Europe,,1985,0
Europe,,1986,0
Europe,,1987,0
Europe,,1988,20
Europe,,1989,24
Europe,,1990,26
Europe,,1991,28
Europe,,1992,33
Europe,,1993,39
Europe,,1994,40
Europe,,1995,42
Europe,,1996,46
Europe,,1997,46
Europe,,1998,48
Europe,,1999,50
Europe,,2000,51
Europe,,2001,51
Europe,,2002,51
Europe,,2003,51
Europe,,2004,51
Europe,,2005,51
Europe,,2006,52
Europe,,2007,52
Europe,,2008,53
Europe,,2009,55
Europe,,2010,55
Europe,,2011,55
Europe,,2012,55
Europe,,2013,55
Mashriq,,1985,0
Mashriq,,1986,0
Mashriq,,1987,0
Mashriq,,1988,0
Mashriq,,1989,2
Mashriq,,1990,2
Mashriq,,1991,2
Mashriq,,1992,2
Mashriq,,1993,3
Mashriq,,1994,3
Mashriq,,1995,3
Mashriq,,1996,3
Mashriq,,1997,3
Mashriq,,1998,3
Mashriq,,1999,3
Mashriq,,2000,3
Mashriq,,2001,3
Mashriq,,2002,3
Mashriq,,2003,3
Mashriq,,2004,3
Mashriq,,2005,3
Mashriq,,2006,3
Mashriq,,2007,3
Mashriq,,2008,4
Mashriq,,2009,4
Mashriq,,2010,4
Mashriq,,2011,4
Mashriq,,2012,4
Mashriq,,2013,4
Meso America,,1985,0
Meso America,,1986,0
Meso America,,1987,0
Meso America,,1988,1
Meso America,,1989,3
Meso America,,1990,3
Meso America,,1991,4
Meso America,,1992,5
Meso America,,1993,7
Meso America,,1994,7
Meso America,,1995,7
Meso America,,1996,7
Meso America,,1997,7
Meso America,,1998,8
Meso America,,1999,8
Meso America,,2000,8
Meso America,,2001,8
Meso America,,2002,8
Meso America,,2003,8
Meso America,,2004,8
Meso America,,2005,8
Meso America,,2006,8
Meso America,,2007,8
Meso America,,2008,8
Meso America,,2009,8
Meso America,,2010,8
Meso America,,2011,8
Meso America,,2012,8
Meso America,,2013,8
North America,,1985,0
North America,,1986,0
North America,,1987,0
North America,,1988,2
North America,,1989,2
North America,,1990,2
North America,,1991,2
North America,,1992,2
North America,,1993,2
North America,,1994,2
North America,,1995,2
North America,,1996,2
North America,,1997,2
North America,,1998,2
North America,,1999,2
North America,,2000,2
North America,,2001,2
North America,,2002,2
North America,,2003,2
North America,,2004,2
North America,,2005,2
North America,,2006,2
North America,,2007,2
North America,,2008,2
North America,,2009,2
North America,,2010,2
North America,,2011,2
North America,,2012,2
North America,,2013,2
North East Asia,,1985,0
North East Asia,,1986,0
North East Asia,,1987,0
North East Asia,,1988,1
North East Asia,,1989,1
North East Asia,,1990,1
North East Asia,,1991,2
North East Asia,,1992,3
North East Asia,,1993,3
North East Asia,,1994,3
North East Asia,,1995,4
North East Asia,,1996,5
North East Asia,,1997,5
North East Asia,,1998,5
North East Asia,,1999,5
North East Asia,,2000,5
North East Asia,,2001,5
North East Asia,,2002,5
North East Asia,,2003,5
North East Asia,,2004,5
North East Asia,,2005,5
North East Asia,,2006,5
North East Asia,,2007,5
North East Asia,,2008,5
North East Asia,,2009,5
North East Asia,,2010,5
North East Asia,,2011,5
North East Asia,,2012,5
North East Asia,,2013,5
Northern Africa,,1985,0
Northern Africa,,1986,0
Northern Africa,,1987,0
Northern Africa,,1988,1
Northern Africa,,1989,2
Northern Africa,,1990,3
Northern Africa,,1991,3
Northern Africa,,1992,4
Northern Africa,,1993,5
Northern Africa,,1994,5
Northern Africa,,1995,6
Northern Africa,,1996,6
Northern Africa,,1997,6
Northern Africa,,1998,6
Northern Africa,,1999,6
Northern Africa,,2000,6
Northern Africa,,2001,6
Northern Africa,,2002,6
Northern Africa,,2003,6
Northern Africa,,2004,6
Northern Africa,,2005,6
Northern Africa,,2006,6
Northern Africa,,2007,6
Northern Africa,,2008,6
Northern Africa,,2009,6
Northern Africa,,2010,6
Northern Africa,,2011,6
Northern Africa,,2012,6
Northern Africa,,2013,6
South Africa,ZAF,1985,0
South Africa,ZAF,1986,0
South Africa,ZAF,1987,0
South Africa,ZAF,1988,0
South Africa,ZAF,1989,0
South Africa,ZAF,1990,1
South Africa,ZAF,1991,2
South Africa,ZAF,1992,3
South Africa,ZAF,1993,4
South Africa,ZAF,1994,5
South Africa,ZAF,1995,6
South Africa,ZAF,1996,7
South Africa,ZAF,1997,8
South Africa,ZAF,1998,9
South Africa,ZAF,1999,10
South Africa,ZAF,2000,11
South Africa,ZAF,2001,12
South Africa,ZAF,2002,13
South Africa,ZAF,2003,14
South Africa,ZAF,2004,15
South Africa,ZAF,2005,16
South Africa,ZAF,2006,17
South Africa,ZAF,2007,18
South Africa,ZAF,2008,19
South Africa,ZAF,2009,20
South Africa,ZAF,2010,21
South Africa,ZAF,2011,22
South Africa,ZAF,2012,23
South Africa,ZAF,2013,24
South America,,1985,0
South America,,1986,0
South America,,1987,0
South America,,1988,0
South America,,1989,1
South America,,1990,5
South America,,1991,6
South America,,1992,7
South America,,1993,10
South America,,1994,11
South America,,1995,11
South America,,1996,11
South America,,1997,12
South America,,1998,12
South America,,1999,12
South America,,2000,12
South America,,2001,12
South America,,2002,12
South America,,2003,12
South America,,2004,12
South America,,2005,12
South America,,2006,12
South America,,2007,12
South America,,2008,12
South America,,2009,12
South America,,2010,12
South America,,2011,12
South America,,2012,12
South America,,2013,12
South Asia,,1985,0
South Asia,,1986,0
South Asia,,1987,0
South Asia,,1988,0
South Asia,,1989,2
South Asia,,1990,4
South Asia,,1991,4
South Asia,,1992,6
South Asia,,1993,6
South Asia,,1994,7
South Asia,,1995,7
South Asia,,1996,7
South Asia,,1997,7
South Asia,,1998,7
South Asia,,1999,7
South Asia,,2000,7
South Asia,,2001,7
South Asia,,2002,7
South Asia,,2003,7
South Asia,,2004,9
South Asia,,2005,9
South Asia,,2006,9
South Asia,,2007,9
South Asia,,2008,9
South Asia,,2009,9
South Asia,,2010,9
South Asia,,2011,9
South Asia,,2012,9
South Asia,,2013,9
South East Asia,,1985,0
South East Asia,,1986,0
South East Asia,,1987,0
South East Asia,,1988,0
South East Asia,,1989,3
South East Asia,,1990,3
South East Asia,,1991,4
South East Asia,,1992,5
South East Asia,,1993,7
South East Asia,,1994,8
South East Asia,,1995,8
South East Asia,,1996,8
South East Asia,,1997,8
South East Asia,,1998,9
South East Asia,,1999,9
South East Asia,,2000,9
South East Asia,,2001,10
South East Asia,,2002,10
South East Asia,,2003,10
South East Asia,,2004,10
South East Asia,,2005,10
South East Asia,,2006,10
South East Asia,,2007,10
South East Asia,,2008,10
South East Asia,,2009,11
South East Asia,,2010,11
South East Asia,,2011,11
South East Asia,,2012,11
South East Asia,,2013,11
South Pacific,,1985,0
South Pacific,,1986,0
South Pacific,,1987,0
South Pacific,,1988,0
South Pacific,,1989,1
South Pacific,,1990,1
South Pacific,,1991,1
South Pacific,,1992,3
South Pacific,,1993,7
South Pacific,,1994,8
South Pacific,,1995,9
South Pacific,,1996,9
South Pacific,,1997,9
South Pacific,,1998,10
South Pacific,,1999,10
South Pacific,,2000,10
South Pacific,,2001,12
South Pacific,,2002,12
South Pacific,,2003,14
South Pacific,,2004,14
South Pacific,,2005,14
South Pacific,,2006,14
South Pacific,,2007,14
South Pacific,,2008,14
South Pacific,,2009,14
South Pacific,,2010,14
South Pacific,,2011,14
South Pacific,,2012,14
South Pacific,,2013,14
Southern Africa,,1985,0
Southern Africa,,1986,0
Southern Africa,,1987,0
Southern Africa,,1988,0
Southern Africa,,1989,0
Southern Africa,,1990,2
Southern Africa,,1991,4
Southern Africa,,1992,6
Southern Africa,,1993,8
Southern Africa,,1994,10
Southern Africa,,1995,10
Southern Africa,,1996,10
Southern Africa,,1997,10
Southern Africa,,1998,10
Southern Africa,,1999,10
Southern Africa,,2000,11
Southern Africa,,2001,11
Southern Africa,,2002,11
Southern Africa,,2003,11
Southern Africa,,2004,11
Southern Africa,,2005,11
Southern Africa,,2006,11
Southern Africa,,2007,11
Southern Africa,,2008,11
Southern Africa,,2009,11
Southern Africa,,2010,11
Southern Africa,,2011,11
Southern Africa,,2012,11
Southern Africa,,2013,11
West Asia,,1985,0
West Asia,,1986,0
West Asia,,1987,0
West Asia,,1988,0
West Asia,,1989,3
West Asia,,1990,4
West Asia,,1991,4
West Asia,,1992,5
West Asia,,1993,7
West Asia,,1994,7
West Asia,,1995,7
West Asia,,1996,9
West Asia,,1997,9
West Asia,,1998,9
West Asia,,1999,10
West Asia,,2000,10
West Asia,,2001,10
West Asia,,2002,10
West Asia,,2003,10
West Asia,,2004,10
West Asia,,2005,10
West Asia,,2006,10
West Asia,,2007,10
West Asia,,2008,11
West Asia,,2009,11
West Asia,,2010,11
West Asia,,2011,11
West Asia,,2012,11
West Asia,,2013,11
Western Africa,,1985,0
Western Africa,,1986,0
Western Africa,,1987,0
Western Africa,,1988,1
Western Africa,,1989,3
Western Africa,,1990,4
Western Africa,,1991,5
Western Africa,,1992,7
Western Africa,,1993,10
Western Africa,,1994,12
Western Africa,,1995,12
Western Africa,,1996,13
Western Africa,,1997,13
Western Africa,,1998,13
Western Africa,,1999,13
Western Africa,,2000,13
Western Africa,,2001,15
Western Africa,,2002,16
Western Africa,,2003,16
Western Africa,,2004,16
Western Africa,,2005,16
Western Africa,,2006,16
Western Africa,,2007,16
Western Africa,,2008,16
Western Africa,,2009,16
Western Africa,,2010,16
Western Africa,,2011,16
Western Africa,,2012,16
Western Africa,,2013,16
Western Europe,,1985,0
Western Europe,,1986,0
Western Europe,,1987,0
Western Europe,,1988,17
Western Europe,,1989,20
Western Europe,,1990,20
Western Europe,,1991,20
Western Europe,,1992,21
Western Europe,,1993,22
Western Europe,,1994,22
Western Europe,,1995,22
Western Europe,,1996,22
Western Europe,,1997,22
Western Europe,,1998,22
Western Europe,,1999,22
Western Europe,,2000,22
Western Europe,,2001,22
Western Europe,,2002,22
Western Europe,,2003,22
Western Europe,,2004,22
Western Europe,,2005,22
Western Europe,,2006,22
Western Europe,,2007,22
Western Europe,,2008,23
Western Europe,,2009,25
Western Europe,,2010,25
Western Europe,,2011,25
Western Europe,,2012,25
Western Europe,,2013,25
Western Indian Ocean,,1985,0
Western Indian Ocean,,1986,0
Western Indian Ocean,,1987,0
Western Indian Ocean,,1988,0
Western Indian Ocean,,1989,0
Western Indian Ocean,,1990,0
Western Indian Ocean,,1991,0
Western Indian Ocean,,1992,1
Western Indian Ocean,,1993,2
Western Indian Ocean,,1994,3
Western Indian Ocean,,1995,3
Western Indian Ocean,,1996,4
Western Indian Ocean,,1997,4
Western Indian Ocean,,1998,4
Western Indian Ocean,,1999,4
Western Indian Ocean,,2000,4
Western Indian Ocean,,2001,4
Western Indian Ocean,,2002,4
Western Indian Ocean,,2003,4
Western Indian Ocean,,2004,4
Western Indian Ocean,,2005,4
Western Indian Ocean,,2006,4
Western Indian Ocean,,2007,4
Western Indian Ocean,,2008,4
Western Indian Ocean,,2009,4
Western Indian Ocean,,2010,4
Western Indian Ocean,,2011,4
Western Indian Ocean,,2012,4
Western Indian Ocean,,2013,4
World,OWID_WRL,1985,0
World,OWID_WRL,1986,0
World,OWID_WRL,1987,0
World,OWID_WRL,1988,29
World,OWID_WRL,1989,52
World,OWID_WRL,1990,65
World,OWID_WRL,1991,74
World,OWID_WRL,1992,98
World,OWID_WRL,1993,130
World,OWID_WRL,1994,145
World,OWID_WRL,1995,150
World,OWID_WRL,1996,160
World,OWID_WRL,1997,162
World,OWID_WRL,1998,167
World,OWID_WRL,1999,171
World,OWID_WRL,2000,174
World,OWID_WRL,2001,182
World,OWID_WRL,2002,183
World,OWID_WRL,2003,185
World,OWID_WRL,2004,187
World,OWID_WRL,2005,188
World,OWID_WRL,2006,190
World,OWID_WRL,2007,190
World,OWID_WRL,2008,192
World,OWID_WRL,2009,195
World,OWID_WRL,2010,195
World,OWID_WRL,2011,195
World,OWID_WRL,2012,196
World,OWID_WRL,2013,196
