Entity,Code,Year,Pump price for diesel fuel (US$ per liter) (US$ per liter)
Argentina,ARG,2010,1.05
Argentina,ARG,2012,1.33
Argentina,ARG,2014,1.33
Argentina,ARG,2016,1
Armenia,ARM,1998,0.25
Armenia,ARM,2000,0.31
Armenia,ARM,2002,0.29
Armenia,ARM,2004,0.56
Armenia,ARM,2006,0.77
Armenia,ARM,2008,1.11
Armenia,ARM,2010,0.99
Armenia,ARM,2012,1.15
Armenia,ARM,2014,1.16
Armenia,ARM,2016,0.67
Australia,AUS,1998,0.45
Australia,AUS,2000,0.57
Australia,AUS,2002,0.48
Australia,AUS,2004,0.83
Australia,AUS,2006,0.94
Australia,AUS,2008,0.94
Australia,AUS,2010,1.23
Australia,AUS,2012,1.57
Australia,AUS,2014,1.28
Australia,AUS,2016,0.92
Austria,AUT,1995,0.87
Austria,AUT,1998,0.82
Austria,AUT,2000,0.74
Austria,AUT,2002,0.73
Austria,AUT,2004,1.19
Austria,AUT,2006,1.26
Austria,AUT,2008,1.43
Austria,AUT,2010,1.55
Austria,AUT,2012,1.81
Austria,AUT,2014,1.55
Austria,AUT,2016,1.15
Azerbaijan,AZE,1998,0.22
Azerbaijan,AZE,2000,0.2
Azerbaijan,AZE,2002,0.16
Azerbaijan,AZE,2004,0.18
Azerbaijan,AZE,2006,0.41
Azerbaijan,AZE,2008,0.56
Azerbaijan,AZE,2010,0.56
Azerbaijan,AZE,2012,0.57
Azerbaijan,AZE,2014,0.77
Azerbaijan,AZE,2016,0.35
Bahrain,BHR,1998,0.18
Bahrain,BHR,2000,0.21
Bahrain,BHR,2002,0.19
Bahrain,BHR,2004,0.19
Bahrain,BHR,2006,0.13
Bahrain,BHR,2008,0.13
Bahrain,BHR,2010,0.13
Bahrain,BHR,2012,0.17
Bahrain,BHR,2016,0.32
Bangladesh,BGD,1995,0.31
Bangladesh,BGD,1998,0.26
Bangladesh,BGD,2000,0.29
Bangladesh,BGD,2002,0.29
Bangladesh,BGD,2004,0.34
Bangladesh,BGD,2006,0.45
Bangladesh,BGD,2008,0.7
Bangladesh,BGD,2010,0.63
Bangladesh,BGD,2012,0.76
Bangladesh,BGD,2014,0.9
Bangladesh,BGD,2016,0.84
Barbados,BRB,1998,0.62
Barbados,BRB,2000,0.75
Barbados,BRB,2002,0.53
Barbados,BRB,2004,0.62
Barbados,BRB,2006,0.79
Barbados,BRB,2008,1.03
Barbados,BRB,2010,1.14
Barbados,BRB,2014,1.44
Belarus,BLR,1998,0.13
Belarus,BLR,2000,0.36
Belarus,BLR,2002,0.36
Belarus,BLR,2004,0.44
Belarus,BLR,2006,0.55
Belarus,BLR,2008,1.06
Belarus,BLR,2010,0.86
Belarus,BLR,2012,0.9
Belarus,BLR,2014,1.06
Belarus,BLR,2016,0.62
Belgium,BEL,1995,0.82
Belgium,BEL,1998,0.85
Belgium,BEL,2000,0.78
Belgium,BEL,2002,0.8
Belgium,BEL,2004,1.07
Belgium,BEL,2006,1.34
Belgium,BEL,2008,1.34
Belgium,BEL,2010,1.62
Belgium,BEL,2012,1.98
Belgium,BEL,2014,1.69
Belgium,BEL,2016,1.32
Belize,BLZ,2004,0.8
Belize,BLZ,2006,0.91
Belize,BLZ,2008,0.53
Belize,BLZ,2010,0.98
Belize,BLZ,2012,1.21
Belize,BLZ,2016,1
Benin,BEN,1991,0.48
Benin,BEN,1992,0.47
Benin,BEN,1995,0.28
Benin,BEN,1998,0.31
Benin,BEN,2000,0.39
Benin,BEN,2002,0.41
Benin,BEN,2004,0.72
Benin,BEN,2006,0.81
Benin,BEN,2008,1.03
Benin,BEN,2010,1.21
Benin,BEN,2012,1.26
Benin,BEN,2014,1.1
Benin,BEN,2016,0.72
Bhutan,BTN,1998,0.26
Bhutan,BTN,2000,0.38
Bhutan,BTN,2004,0.59
Bhutan,BTN,2010,0.82
Bhutan,BTN,2012,0.86
Bhutan,BTN,2014,0.84
Bhutan,BTN,2016,0.82
Bolivia,BOL,1992,0.35
Bolivia,BOL,1995,0.31
Bolivia,BOL,1998,0.35
Bolivia,BOL,2000,0.5
Bolivia,BOL,2002,0.42
Bolivia,BOL,2004,0.4
Bolivia,BOL,2006,0.47
Bolivia,BOL,2008,0.53
Bolivia,BOL,2010,0.54
Bolivia,BOL,2012,0.54
Bolivia,BOL,2014,0.54
Bolivia,BOL,2016,0.55
Bosnia and Herzegovina,BIH,1998,0.6
Bosnia and Herzegovina,BIH,2000,0.57
Bosnia and Herzegovina,BIH,2002,0.74
Bosnia and Herzegovina,BIH,2004,0.97
Bosnia and Herzegovina,BIH,2006,1.24
Bosnia and Herzegovina,BIH,2008,1.18
Bosnia and Herzegovina,BIH,2010,1.42
Bosnia and Herzegovina,BIH,2012,1.62
Bosnia and Herzegovina,BIH,2014,1.54
Bosnia and Herzegovina,BIH,2016,0.99
Botswana,BWA,1991,0.61
Botswana,BWA,1992,0.37
Botswana,BWA,1995,0.35
Botswana,BWA,1998,0.29
Botswana,BWA,2000,0.39
Botswana,BWA,2002,0.38
Botswana,BWA,2004,0.61
Botswana,BWA,2006,0.74
Botswana,BWA,2008,1.02
Botswana,BWA,2010,0.97
Botswana,BWA,2012,1.25
Botswana,BWA,2014,1.07
Botswana,BWA,2016,0.67
Brazil,BRA,1992,0.38
Brazil,BRA,1995,0.39
Brazil,BRA,1998,0.34
Brazil,BRA,2000,0.34
Brazil,BRA,2002,0.31
Brazil,BRA,2004,0.49
Brazil,BRA,2006,0.84
Brazil,BRA,2008,1.03
Brazil,BRA,2010,1.14
Brazil,BRA,2012,1.02
Brazil,BRA,2014,1.02
Brazil,BRA,2016,0.95
Brunei,BRN,1998,0.18
Brunei,BRN,2000,0.18
Brunei,BRN,2002,0.18
Brunei,BRN,2004,0.19
Brunei,BRN,2006,0.21
Brunei,BRN,2008,0.21
Brunei,BRN,2010,0.24
Brunei,BRN,2012,0.26
Brunei,BRN,2016,0.22
Bulgaria,BGR,1995,0.26
Bulgaria,BGR,1998,0.52
Bulgaria,BGR,2000,0.58
Bulgaria,BGR,2002,0.59
Bulgaria,BGR,2004,0.89
Bulgaria,BGR,2006,1.08
Bulgaria,BGR,2008,1.37
Bulgaria,BGR,2010,1.58
Bulgaria,BGR,2012,1.68
Bulgaria,BGR,2014,1.51
Bulgaria,BGR,2016,1.09
Burkina Faso,BFA,1991,0.84
Burkina Faso,BFA,1992,0.85
Burkina Faso,BFA,1995,0.62
Burkina Faso,BFA,1998,0.5
Burkina Faso,BFA,2000,0.46
Burkina Faso,BFA,2002,0.62
Burkina Faso,BFA,2004,0.94
Burkina Faso,BFA,2006,1.12
Burkina Faso,BFA,2008,1.33
Burkina Faso,BFA,2010,1.28
Burkina Faso,BFA,2012,1.28
Burkina Faso,BFA,2014,1.25
Burkina Faso,BFA,2016,0.86
Burundi,BDI,1991,0.61
Burundi,BDI,1992,0.54
Burundi,BDI,1995,0.48
Burundi,BDI,1998,0.66
Burundi,BDI,2000,0.71
Burundi,BDI,2002,0.54
Burundi,BDI,2004,1.08
Burundi,BDI,2006,1.22
Burundi,BDI,2008,1.23
Burundi,BDI,2010,1.42
Burundi,BDI,2012,1.47
Burundi,BDI,2014,1.43
Burundi,BDI,2016,1.14
Cambodia,KHM,1998,0.28
Cambodia,KHM,2000,0.44
Cambodia,KHM,2002,0.44
Cambodia,KHM,2004,0.61
Cambodia,KHM,2006,0.78
Cambodia,KHM,2008,0.89
Cambodia,KHM,2010,0.98
Cambodia,KHM,2012,1.27
Cambodia,KHM,2014,1.24
Cambodia,KHM,2016,0.8
Cameroon,CMR,1991,0.58
Cameroon,CMR,1992,0.58
Cameroon,CMR,1995,0.5
Cameroon,CMR,1998,0.48
Cameroon,CMR,2000,0.47
Cameroon,CMR,2002,0.57
Cameroon,CMR,2004,0.83
Cameroon,CMR,2006,1.07
Cameroon,CMR,2008,1.04
Cameroon,CMR,2010,1.1
Cameroon,CMR,2012,1.01
Cameroon,CMR,2014,1.14
Cameroon,CMR,2016,0.94
Canada,CAN,1992,0.39
Canada,CAN,1995,0.36
Canada,CAN,1998,0.39
Canada,CAN,2000,0.47
Canada,CAN,2002,0.43
Canada,CAN,2004,0.68
Canada,CAN,2006,0.78
Canada,CAN,2008,0.9
Canada,CAN,2010,1.08
Canada,CAN,2012,1.23
Canada,CAN,2014,1.16
Canada,CAN,2016,0.73
Cape Verde,CPV,1991,0.4
Cape Verde,CPV,1998,0.43
Cape Verde,CPV,2000,0.39
Cape Verde,CPV,2004,0.81
Cape Verde,CPV,2008,1.43
Cape Verde,CPV,2010,1.33
Cape Verde,CPV,2012,1.58
Cape Verde,CPV,2014,1.31
Cape Verde,CPV,2016,0.81
Caribbean small states,,2000,0.41
Caribbean small states,,2004,0.615
Caribbean small states,,2006,0.85
Caribbean small states,,2010,0.98
Central African Republic,CAF,1991,0.99
Central African Republic,CAF,1992,0.98
Central African Republic,CAF,1995,0.64
Central African Republic,CAF,1998,0.65
Central African Republic,CAF,2002,0.87
Central African Republic,CAF,2004,1.14
Central African Republic,CAF,2006,1.27
Central African Republic,CAF,2008,1.44
Central African Republic,CAF,2010,1.69
Central African Republic,CAF,2012,1.69
Central African Republic,CAF,2014,1.66
Central African Republic,CAF,2016,1.4
Central Europe and the Baltics,,1995,0.4
Central Europe and the Baltics,,1998,0.52
Central Europe and the Baltics,,2000,0.6
Central Europe and the Baltics,,2002,0.67
Central Europe and the Baltics,,2004,1.07
Central Europe and the Baltics,,2006,1.22
Central Europe and the Baltics,,2008,1.37
Central Europe and the Baltics,,2010,1.53
Central Europe and the Baltics,,2012,1.76
Central Europe and the Baltics,,2014,1.59
Central Europe and the Baltics,,2016,1.14
Chad,TCD,1991,0.97
Chad,TCD,1992,0.95
Chad,TCD,1995,0.7
Chad,TCD,1998,0.61
Chad,TCD,2000,0.6
Chad,TCD,2002,0.77
Chad,TCD,2004,1.01
Chad,TCD,2006,1.2
Chad,TCD,2008,1.32
Chad,TCD,2010,1.31
Chad,TCD,2012,1.16
Chad,TCD,2014,0.99
Chad,TCD,2016,0.85
Chile,CHL,1992,0.31
Chile,CHL,1995,0.33
Chile,CHL,1998,0.29
Chile,CHL,2000,0.47
Chile,CHL,2002,0.39
Chile,CHL,2004,0.64
Chile,CHL,2006,0.86
Chile,CHL,2008,0.95
Chile,CHL,2010,1.02
Chile,CHL,2012,1.24
Chile,CHL,2014,1.09
Chile,CHL,2016,0.65
China,CHN,1995,0.24
China,CHN,1998,0.25
China,CHN,2000,0.45
China,CHN,2002,0.37
China,CHN,2004,0.43
China,CHN,2006,0.61
China,CHN,2008,1.01
China,CHN,2010,1.04
China,CHN,2012,1.28
China,CHN,2014,1.09
China,CHN,2016,0.81
Colombia,COL,1992,0.19
Colombia,COL,1995,0.27
Colombia,COL,1998,0.2
Colombia,COL,2000,0.35
Colombia,COL,2002,0.24
Colombia,COL,2004,0.36
Colombia,COL,2006,0.57
Colombia,COL,2008,0.73
Colombia,COL,2010,0.95
Colombia,COL,2012,1.18
Colombia,COL,2014,1.04
Colombia,COL,2016,0.64
Congo,COG,1991,0.71
Congo,COG,1998,0.4
Congo,COG,2000,0.3
Congo,COG,2002,0.48
Congo,COG,2004,0.59
Congo,COG,2006,0.67
Congo,COG,2008,0.57
Congo,COG,2010,0.84
Congo,COG,2012,0.92
Congo,COG,2014,0.9
Costa Rica,CRI,2002,0.44
Costa Rica,CRI,2004,0.56
Costa Rica,CRI,2006,0.67
Costa Rica,CRI,2008,1.1
Costa Rica,CRI,2010,0.97
Costa Rica,CRI,2012,1.36
Costa Rica,CRI,2014,1.21
Costa Rica,CRI,2016,0.79
Cote d'Ivoire,CIV,1991,1.15
Cote d'Ivoire,CIV,1992,0.86
Cote d'Ivoire,CIV,1995,0.56
Cote d'Ivoire,CIV,1998,0.45
Cote d'Ivoire,CIV,2000,0.51
Cote d'Ivoire,CIV,2002,0.6
Cote d'Ivoire,CIV,2004,0.95
Cote d'Ivoire,CIV,2006,1.06
Cote d'Ivoire,CIV,2008,1.2
Cote d'Ivoire,CIV,2010,1.3
Cote d'Ivoire,CIV,2012,1.2
Cote d'Ivoire,CIV,2014,1.17
Cote d'Ivoire,CIV,2016,0.93
Croatia,HRV,1995,0.64
Croatia,HRV,1998,0.61
Croatia,HRV,2000,0.6
Croatia,HRV,2002,0.74
Croatia,HRV,2004,1.13
Croatia,HRV,2006,1.22
Croatia,HRV,2008,1.37
Croatia,HRV,2010,1.49
Croatia,HRV,2012,1.7
Croatia,HRV,2014,1.59
Croatia,HRV,2016,1.17
Cuba,CUB,1998,0.18
Cuba,CUB,2002,0.45
Cuba,CUB,2004,0.55
Cuba,CUB,2006,0.91
Cuba,CUB,2008,1.51
Cuba,CUB,2010,1.24
Cuba,CUB,2012,1.3
Cuba,CUB,2014,1.2
Cyprus,CYP,1998,0.25
Cyprus,CYP,2000,0.18
Cyprus,CYP,2002,0.44
Cyprus,CYP,2004,0.95
Cyprus,CYP,2006,1.2
Cyprus,CYP,2008,1.25
Cyprus,CYP,2010,1.47
Cyprus,CYP,2012,1.78
Cyprus,CYP,2014,1.65
Cyprus,CYP,2016,1.23
Czech Republic,CZE,1995,0.6
Czech Republic,CZE,1998,0.6
Czech Republic,CZE,2000,0.68
Czech Republic,CZE,2002,0.71
Czech Republic,CZE,2004,1.07
Czech Republic,CZE,2006,1.29
Czech Republic,CZE,2008,1.45
Czech Republic,CZE,2010,1.69
Czech Republic,CZE,2012,1.87
Czech Republic,CZE,2014,1.6
Czech Republic,CZE,2016,1.11
Democratic Republic of Congo,COD,1991,0.73
Democratic Republic of Congo,COD,1992,0.67
Democratic Republic of Congo,COD,1995,0.7
Democratic Republic of Congo,COD,1998,0.5
Democratic Republic of Congo,COD,2000,0.93
Democratic Republic of Congo,COD,2002,0.69
Democratic Republic of Congo,COD,2004,0.81
Democratic Republic of Congo,COD,2006,1
Democratic Republic of Congo,COD,2008,1.21
Democratic Republic of Congo,COD,2010,1.27
Democratic Republic of Congo,COD,2012,1.48
Democratic Republic of Congo,COD,2014,1.67
Democratic Republic of Congo,COD,2016,1.2
Denmark,DNK,1995,0.87
Denmark,DNK,1998,0.85
Denmark,DNK,2000,0.9
Denmark,DNK,2002,0.94
Denmark,DNK,2004,1.35
Denmark,DNK,2006,1.45
Denmark,DNK,2008,1.54
Denmark,DNK,2010,1.79
Denmark,DNK,2012,1.89
Denmark,DNK,2014,1.8
Denmark,DNK,2016,1.35
Djibouti,DJI,2010,1.07
Djibouti,DJI,2012,1.18
Djibouti,DJI,2014,1.21
Djibouti,DJI,2016,0.98
Dominican Republic,DOM,1995,0.28
Dominican Republic,DOM,1998,0.22
Dominican Republic,DOM,2000,0.39
Dominican Republic,DOM,2002,0.27
Dominican Republic,DOM,2004,0.61
Dominican Republic,DOM,2006,0.75
Dominican Republic,DOM,2008,0.94
Dominican Republic,DOM,2010,1.03
Dominican Republic,DOM,2012,1.35
Dominican Republic,DOM,2014,1.21
Dominican Republic,DOM,2016,0.91
Early-demographic dividend,,1998,0.26
Early-demographic dividend,,2000,0.38
Early-demographic dividend,,2002,0.32
Early-demographic dividend,,2004,0.505
Early-demographic dividend,,2006,0.67
Early-demographic dividend,,2008,0.81
Early-demographic dividend,,2010,0.9
Early-demographic dividend,,2012,1.07
Early-demographic dividend,,2014,1.025
Early-demographic dividend,,2016,0.745
East Asia & Pacific,,1998,0.28
East Asia & Pacific,,2000,0.35
East Asia & Pacific,,2002,0.37
East Asia & Pacific,,2004,0.55
East Asia & Pacific,,2006,0.74
East Asia & Pacific,,2008,0.9
East Asia & Pacific,,2010,0.99
East Asia & Pacific,,2012,1.25
East Asia & Pacific,,2014,1.1
East Asia & Pacific,,2016,0.77
East Asia & Pacific (IDA & IBRD),,1998,0.245
East Asia & Pacific (IDA & IBRD),,2004,0.43
East Asia & Pacific (IDA & IBRD),,2006,0.7
East Asia & Pacific (IDA & IBRD),,2008,0.81
East Asia & Pacific (IDA & IBRD),,2010,0.95
East Asia & Pacific (IDA & IBRD),,2014,1.02
East Asia & Pacific (IDA & IBRD),,2016,0.675
East Asia & Pacific (excluding high income),,1998,0.25
East Asia & Pacific (excluding high income),,2000,0.33
East Asia & Pacific (excluding high income),,2004,0.455
East Asia & Pacific (excluding high income),,2006,0.73
East Asia & Pacific (excluding high income),,2008,0.85
East Asia & Pacific (excluding high income),,2010,0.95
East Asia & Pacific (excluding high income),,2012,1.2
East Asia & Pacific (excluding high income),,2014,1.02
East Asia & Pacific (excluding high income),,2016,0.68
Ecuador,ECU,1992,0.19
Ecuador,ECU,1995,0.28
Ecuador,ECU,1998,0.24
Ecuador,ECU,2000,0.18
Ecuador,ECU,2002,0.27
Ecuador,ECU,2004,0.27
Ecuador,ECU,2006,0.39
Ecuador,ECU,2008,0.27
Ecuador,ECU,2010,0.28
Ecuador,ECU,2012,0.29
Ecuador,ECU,2014,0.29
Ecuador,ECU,2016,0.29
Egypt,EGY,1991,0.07
Egypt,EGY,1992,0.09
Egypt,EGY,1995,0.12
Egypt,EGY,1998,0.12
Egypt,EGY,2000,0.1
Egypt,EGY,2002,0.08
Egypt,EGY,2004,0.1
Egypt,EGY,2006,0.12
Egypt,EGY,2008,0.2
Egypt,EGY,2010,0.19
Egypt,EGY,2012,0.18
Egypt,EGY,2014,0.25
Egypt,EGY,2016,0.15
El Salvador,SLV,1998,0.3
El Salvador,SLV,2000,0.4
El Salvador,SLV,2002,0.33
El Salvador,SLV,2004,0.58
El Salvador,SLV,2006,0.8
El Salvador,SLV,2008,0.81
El Salvador,SLV,2010,0.89
El Salvador,SLV,2012,1.17
El Salvador,SLV,2014,1.02
El Salvador,SLV,2016,0.7
Eritrea,ERI,1992,0.29
Eritrea,ERI,1995,0.19
Eritrea,ERI,1998,0.23
Eritrea,ERI,2000,0.33
Eritrea,ERI,2002,0.25
Eritrea,ERI,2004,0.4
Eritrea,ERI,2006,0.81
Eritrea,ERI,2008,1.07
Eritrea,ERI,2010,1.07
Eritrea,ERI,2012,1.71
Eritrea,ERI,2014,3
Eritrea,ERI,2016,1.33
Estonia,EST,1995,0.33
Estonia,EST,1998,0.36
Estonia,EST,2000,0.55
Estonia,EST,2002,0.56
Estonia,EST,2004,0.94
Estonia,EST,2006,1.22
Estonia,EST,2008,1.3
Estonia,EST,2010,1.57
Estonia,EST,2012,1.76
Estonia,EST,2014,1.51
Estonia,EST,2016,1.14
Ethiopia,ETH,1991,0.14
Ethiopia,ETH,1992,0.19
Ethiopia,ETH,1995,0.24
Ethiopia,ETH,1998,0.25
Ethiopia,ETH,2000,0.27
Ethiopia,ETH,2002,0.32
Ethiopia,ETH,2004,0.42
Ethiopia,ETH,2006,0.62
Ethiopia,ETH,2008,0.89
Ethiopia,ETH,2010,0.78
Ethiopia,ETH,2012,0.94
Ethiopia,ETH,2014,0.89
Ethiopia,ETH,2016,0.64
Euro area,,1995,0.735
Euro area,,1998,0.69
Euro area,,2000,0.68
Euro area,,2002,0.71
Euro area,,2004,1.11
Euro area,,2006,1.26
Euro area,,2008,1.41
Euro area,,2010,1.6
Euro area,,2012,1.81
Euro area,,2014,1.63
Euro area,,2016,1.21
Europe & Central Asia,,1995,0.69
Europe & Central Asia,,1998,0.47
Europe & Central Asia,,2000,0.59
Europe & Central Asia,,2002,0.67
Europe & Central Asia,,2004,1.06
Europe & Central Asia,,2006,1.24
Europe & Central Asia,,2008,1.31
Europe & Central Asia,,2010,1.515
Europe & Central Asia,,2012,1.775
Europe & Central Asia,,2014,1.595
Europe & Central Asia,,2016,1.15
Europe & Central Asia (IDA & IBRD),,1998,0.335
Europe & Central Asia (IDA & IBRD),,2000,0.36
Europe & Central Asia (IDA & IBRD),,2002,0.46
Europe & Central Asia (IDA & IBRD),,2004,0.76
Europe & Central Asia (IDA & IBRD),,2006,0.985
Europe & Central Asia (IDA & IBRD),,2008,1.12
Europe & Central Asia (IDA & IBRD),,2010,1.13
Europe & Central Asia (IDA & IBRD),,2012,1.55
Europe & Central Asia (IDA & IBRD),,2014,1.27
Europe & Central Asia (IDA & IBRD),,2016,0.88
Europe & Central Asia (excluding high income),,1998,0.26
Europe & Central Asia (excluding high income),,2000,0.35
Europe & Central Asia (excluding high income),,2002,0.385
Europe & Central Asia (excluding high income),,2004,0.63
Europe & Central Asia (excluding high income),,2006,0.88
Europe & Central Asia (excluding high income),,2008,1.11
Europe & Central Asia (excluding high income),,2010,1.08
Europe & Central Asia (excluding high income),,2012,1.4
Europe & Central Asia (excluding high income),,2014,1.24
Europe & Central Asia (excluding high income),,2016,0.74
European Union,,1995,0.68
European Union,,1998,0.64
European Union,,2000,0.68
European Union,,2002,0.715
European Union,,2004,1.12
European Union,,2006,1.26
European Union,,2008,1.405
European Union,,2010,1.605
European Union,,2012,1.83
European Union,,2014,1.635
European Union,,2016,1.2
Fiji,FJI,1998,0.37
Fiji,FJI,2004,0.73
Fiji,FJI,2006,0.94
Fiji,FJI,2008,1.04
Fiji,FJI,2012,1.29
Fiji,FJI,2014,1.18
Fiji,FJI,2016,0.67
Finland,FIN,1995,0.85
Finland,FIN,1998,0.79
Finland,FIN,2000,0.84
Finland,FIN,2002,0.8
Finland,FIN,2004,1.21
Finland,FIN,2006,1.26
Finland,FIN,2008,1.39
Finland,FIN,2010,1.6
Finland,FIN,2012,1.95
Finland,FIN,2014,1.78
Finland,FIN,2016,1.34
Fragile and conflict affected situations,,1998,0.365
Fragile and conflict affected situations,,2000,0.4
Fragile and conflict affected situations,,2002,0.4
Fragile and conflict affected situations,,2004,0.675
Fragile and conflict affected situations,,2006,0.93
Fragile and conflict affected situations,,2008,1.05
Fragile and conflict affected situations,,2010,1.07
Fragile and conflict affected situations,,2012,1.22
Fragile and conflict affected situations,,2014,1.21
Fragile and conflict affected situations,,2016,0.84
France,FRA,1995,0.78
France,FRA,1998,0.77
France,FRA,2000,0.82
France,FRA,2002,0.8
France,FRA,2004,1.25
France,FRA,2006,1.33
France,FRA,2008,1.45
France,FRA,2010,1.72
France,FRA,2012,1.78
France,FRA,2014,1.63
France,FRA,2016,1.2
French Polynesia,PYF,2006,1.19
French Polynesia,PYF,2008,1.39
French Polynesia,PYF,2010,1.56
Gabon,GAB,1991,0.83
Gabon,GAB,1992,0.7
Gabon,GAB,1998,0.39
Gabon,GAB,2000,0.37
Gabon,GAB,2002,0.53
Gabon,GAB,2004,0.69
Gabon,GAB,2006,0.39
Gabon,GAB,2008,0.9
Gabon,GAB,2012,0.91
Gabon,GAB,2014,0.9
Gabon,GAB,2016,0.79
Gambia,GMB,1991,0.52
Gambia,GMB,1992,0.48
Gambia,GMB,1998,0.63
Gambia,GMB,2000,0.47
Gambia,GMB,2002,0.4
Gambia,GMB,2004,0.73
Gambia,GMB,2006,1.01
Gambia,GMB,2008,0.75
Gambia,GMB,2014,1.29
Gambia,GMB,2016,1.06
Georgia,GEO,1998,0.25
Georgia,GEO,2002,0.41
Georgia,GEO,2004,0.67
Georgia,GEO,2006,0.89
Georgia,GEO,2008,1.16
Georgia,GEO,2010,1.13
Georgia,GEO,2012,1.37
Georgia,GEO,2014,1.24
Georgia,GEO,2016,0.74
Germany,DEU,1995,0.77
Germany,DEU,1998,0.69
Germany,DEU,2000,0.78
Germany,DEU,2002,0.82
Germany,DEU,2004,1.29
Germany,DEU,2006,1.38
Germany,DEU,2008,1.56
Germany,DEU,2010,1.68
Germany,DEU,2012,1.88
Germany,DEU,2014,1.58
Germany,DEU,2016,1.2
Ghana,GHA,1991,0.43
Ghana,GHA,1992,0.45
Ghana,GHA,1995,0.33
Ghana,GHA,1998,0.3
Ghana,GHA,2000,0.19
Ghana,GHA,2002,0.23
Ghana,GHA,2004,0.43
Ghana,GHA,2006,0.84
Ghana,GHA,2008,0.9
Ghana,GHA,2010,0.83
Ghana,GHA,2012,0.95
Ghana,GHA,2014,1.03
Ghana,GHA,2016,0.85
Greece,GRC,1995,0.59
Greece,GRC,1998,0.4
Greece,GRC,2000,0.71
Greece,GRC,2002,0.68
Greece,GRC,2004,1.23
Greece,GRC,2006,1.19
Greece,GRC,2008,1.41
Greece,GRC,2010,1.78
Greece,GRC,2012,2.08
Greece,GRC,2014,1.63
Greece,GRC,2016,1.22
Grenada,GRD,1998,0.41
Grenada,GRD,2000,0.41
Grenada,GRD,2002,0.41
Grenada,GRD,2004,0.68
Grenada,GRD,2006,0.89
Grenada,GRD,2008,1.34
Grenada,GRD,2010,1.02
Grenada,GRD,2012,1.07
Grenada,GRD,2016,1.04
Guatemala,GTM,1992,0.25
Guatemala,GTM,1995,0.28
Guatemala,GTM,1998,0.32
Guatemala,GTM,2000,0.42
Guatemala,GTM,2002,0.32
Guatemala,GTM,2004,0.63
Guatemala,GTM,2006,0.64
Guatemala,GTM,2008,0.82
Guatemala,GTM,2010,0.85
Guatemala,GTM,2012,1.04
Guatemala,GTM,2014,0.9
Guatemala,GTM,2016,0.65
Guinea,GIN,1991,0.61
Guinea,GIN,1992,0.56
Guinea,GIN,1998,0.56
Guinea,GIN,2000,0.69
Guinea,GIN,2002,0.56
Guinea,GIN,2004,0.69
Guinea,GIN,2006,0.82
Guinea,GIN,2008,1.02
Guinea,GIN,2010,0.95
Guinea,GIN,2012,1.34
Guinea,GIN,2014,1.45
Guinea,GIN,2016,0.9
Guyana,GUY,1998,0.27
Guyana,GUY,2000,0.37
Guyana,GUY,2002,0.27
Guyana,GUY,2004,0.61
Guyana,GUY,2008,0.85
Guyana,GUY,2010,0.85
Guyana,GUY,2012,1.05
Guyana,GUY,2014,1.11
Guyana,GUY,2016,0.78
Haiti,HTI,1998,0.36
Haiti,HTI,2000,0.35
Haiti,HTI,2002,0.3
