Entity,Code,Year,Black Rhino
World,OWID_WRL,1980,14785
World,OWID_WRL,1984,8800
World,OWID_WRL,1987,3665
World,OWID_WRL,1991,3450
World,OWID_WRL,1992,2475
World,OWID_WRL,1993,2550
World,OWID_WRL,1995,2410
World,OWID_WRL,2005,3726
World,OWID_WRL,2010,4880
World,OWID_WRL,2012,4845
World,OWID_WRL,2015,5214
World,OWID_WRL,2017,5495
Zambia,ZMB,1980,2750
Zambia,ZMB,1984,1650
Zambia,ZMB,1987,106
Zambia,ZMB,1991,40
Zambia,ZMB,1992,40
Zambia,ZMB,1993,33
Zambia,ZMB,1995,0
Zambia,ZMB,1997,0
Zambia,ZMB,2005,6
Zambia,ZMB,2010,27
Zambia,ZMB,2017,48
Zimbabwe,ZWE,1980,1400
Zimbabwe,ZWE,1984,1680
Zimbabwe,ZWE,1987,1775
Zimbabwe,ZWE,1991,1400
Zimbabwe,ZWE,1992,425
Zimbabwe,ZWE,1993,381
Zimbabwe,ZWE,1995,315
Zimbabwe,ZWE,1997,339
Zimbabwe,ZWE,2005,527
Zimbabwe,ZWE,2010,431
Zimbabwe,ZWE,2017,520
