Entity,Code,Year,12.c.1 - Fossil-fuel pre-tax subsidies (consumption and production) (billions of current United States dollars) - ER_FFS_PRTSST (current USD)
Dominican Republic,DOM,2015,1200650000
Eastern Africa,,2013,7424150000
Eastern Africa,,2015,7985970000
Eastern Asia,,2013,7526560000
Eastern Asia,,2015,133940000
Eastern Europe,,2013,53735810000
Eastern Europe,,2015,51671960000
Eastern and South-Eastern Asia,,2013,61110110000
Eastern and South-Eastern Asia,,2015,11567550000
Ecuador,ECU,2013,4495660000
Ecuador,ECU,2015,1635300000
Egypt,EGY,2013,29551560000
Egypt,EGY,2015,15666670000
El Salvador,SLV,2013,498600000
El Salvador,SLV,2015,512619999.99999994
Equatorial Guinea,GNQ,2013,0
Equatorial Guinea,GNQ,2015,0
Estonia,EST,2013,0
Estonia,EST,2015,0
Ethiopia,ETH,2013,738510000
Ethiopia,ETH,2015,672180000
Europe,,2013,61685810000
Europe,,2015,59719840000
Europe and Northern America,,2013,73963480000
Europe and Northern America,,2015,74408960000
"Europe, Western",,2013,6415140000
"Europe, Western",,2015,6582800000
Finland,FIN,2013,0
Finland,FIN,2015,0
France,FRA,2013,145870000
France,FRA,2015,147810000
Gabon,GAB,2013,36950000
Gabon,GAB,2015,0
Georgia,GEO,2013,0
Georgia,GEO,2015,0
Germany,DEU,2013,3169860000
Germany,DEU,2015,3260660000
Ghana,GHA,2013,33710000
Ghana,GHA,2015,0
Greece,GRC,2013,238010000
Greece,GRC,2015,246310000
Grenada,GRD,2013,4070000
Grenada,GRD,2015,4159999.9999999995
Guatemala,GTM,2013,215190000
Guatemala,GTM,2015,153120000
Guyana,GUY,2013,38870000
Guyana,GUY,2015,41700000
Haiti,HTI,2013,228380000
Haiti,HTI,2015,211360000
Honduras,HND,2013,166400000
Honduras,HND,2015,0
Hong Kong,HKG,2013,0
Hong Kong,HKG,2015,0
Hungary,HUN,2013,30000
Hungary,HUN,2015,40000
Iceland,ISL,2013,0
Iceland,ISL,2015,0
India,IND,2013,31986440000
India,IND,2015,11278370000
Indonesia,IDN,2013,46121870000
Indonesia,IDN,2015,9603050000
Iran,IRN,2013,76223800000
Iran,IRN,2015,62324050000
Iraq,IRQ,2013,1475760000
Iraq,IRQ,2015,414240000
Ireland,IRL,2013,106140000
Ireland,IRL,2015,113330000
Israel,ISR,2013,8640000
Israel,ISR,2015,9100000
Italy,ITA,2013,0
Italy,ITA,2015,0
Jamaica,JAM,2013,14200000
Jamaica,JAM,2015,0
Japan,JPN,2013,131560000.00000001
Japan,JPN,2015,133820000
Jordan,JOR,2013,1268730000
Jordan,JOR,2015,476870000
Kazakhstan,KAZ,2013,1892420000
Kazakhstan,KAZ,2015,1978920000
Kenya,KEN,2013,144470000
Kenya,KEN,2015,161560000
Kuwait,KWT,2013,10016720000
Kuwait,KWT,2015,3282290000
Kyrgyzstan,KGZ,2013,1066710000
Kyrgyzstan,KGZ,2015,672480000
Landlocked developing countries,,2013,30244050000
Landlocked developing countries,,2015,24818080000
Latin America and the Caribbean	,,2013,73046310000
Latin America and the Caribbean	,,2015,40873520000
Latvia,LVA,2013,0
Latvia,LVA,2015,0
Least Developed Countries (LDCs),,2013,17796510000
Least Developed Countries (LDCs),,2015,10852250000
Lebanon,LBN,2013,2279030000
Lebanon,LBN,2015,2276390000
Lesotho,LSO,2013,33000000
Lesotho,LSO,2015,36020000
Libya,LBY,2013,6709340000
Libya,LBY,2015,2690290000
Lithuania,LTU,2013,0
Lithuania,LTU,2015,0
Luxembourg,LUX,2013,0
Luxembourg,LUX,2015,0
Macedonia,MKD,2013,0
Macedonia,MKD,2015,0
Madagascar,MDG,2013,105500000
Madagascar,MDG,2015,113030000
Malawi,MWI,2013,107260000
Malawi,MWI,2015,120140000
Malaysia,MYS,2013,3549430000
Malaysia,MYS,2015,0
Mali,MLI,2013,119780000
Mali,MLI,2015,132950000.00000001
Malta,MLT,2013,0
Malta,MLT,2015,0
Mauritania,MRT,2013,40110000
Mauritania,MRT,2015,45720000
Melanesia,OWID_MNS,2013,0
Melanesia,OWID_MNS,2015,0
Mexico,MEX,2013,11368320000
Mexico,MEX,2015,0
Middle Africa,,2013,6542340000
Middle Africa,,2015,3092830000
Moldova,MDA,2013,0
Moldova,MDA,2015,0
Mongolia,MNG,2013,0
Mongolia,MNG,2015,0
Montenegro,MNE,2013,0
Montenegro,MNE,2015,0
Morocco,MAR,2013,358920000
Morocco,MAR,2015,251730000
Mozambique,MOZ,2013,896930000
Mozambique,MOZ,2015,1047790000
Myanmar,MMR,2013,5710000
Myanmar,MMR,2015,100490000
Namibia,NAM,2013,104590000
Namibia,NAM,2015,111660000
Nepal,NPL,2013,0
Nepal,NPL,2015,0
Netherlands,NLD,2013,0
Netherlands,NLD,2015,0
New Zealand,NZL,2013,0
New Zealand,NZL,2015,0
Nicaragua,NIC,2013,236370000
Nicaragua,NIC,2015,236870000
Nigeria,NGA,2013,3657330000
Nigeria,NGA,2015,921220000
Northern Africa,,2013,54365280000
Northern Africa,,2015,28964480000
Northern Africa and Western Asia,,2013,168639830000
Northern Africa and Western Asia,,2015,92260140000
Northern America,,2013,12277670000
Northern America,,2015,14689120000
Northern Europe,,2013,688060000
Northern Europe,,2015,727370000
Norway,NOR,2013,122240000
Norway,NOR,2015,126760000.00000001
Oceania,,2013,773570000
Oceania,,2015,818450000
Oman,OMN,2013,3451690000
Oman,OMN,2015,938300000
Other non-specified areas,,2013,314900000
Other non-specified areas,,2015,342950000
Pakistan,PAK,2013,8525100000
Pakistan,PAK,2015,3205110000
Panama,PAN,2013,202330000
Panama,PAN,2015,168630000
Papua New Guinea,PNG,2013,0
Papua New Guinea,PNG,2015,0
Paraguay,PRY,2013,29050000
Paraguay,PRY,2015,31570000
Peru,PER,2013,0
Peru,PER,2015,0
Philippines,PHL,2013,0
Philippines,PHL,2015,0
Poland,POL,2013,721110000
Poland,POL,2015,769190000
Portugal,PRT,2013,7720000
Portugal,PRT,2015,7910000
Qatar,QAT,2013,6832860000
Qatar,QAT,2015,3727060000
Romania,ROU,2013,0
Romania,ROU,2015,0
Russia,RUS,2013,43694260000
Russia,RUS,2015,42819410000
Rwanda,RWA,2013,25900000
Rwanda,RWA,2015,29270000
Saint Kitts and Nevis,KNA,2013,3880000
Saint Kitts and Nevis,KNA,2015,4139999.9999999995
Saudi Arabia,SAU,2013,65403819999.99999
Saudi Arabia,SAU,2015,37192400000
Senegal,SEN,2013,381480000
Senegal,SEN,2015,276080000
Serbia,SRB,2013,0
Serbia,SRB,2015,0
Singapore,SGP,2013,0
Singapore,SGP,2015,0
Slovakia,SVK,2013,6540000
Slovakia,SVK,2015,6870000
Slovenia,SVN,2013,9510000
Slovenia,SVN,2015,9780000
South Africa,ZAF,2013,2522710000
South Africa,ZAF,2015,2513320000
South America,,2013,57755910000
South America,,2015,37471070000
South Eastern Asia,,2013,52314830000
South Eastern Asia,,2015,10956740000
South Korea,KOR,2013,180300000
South Korea,KOR,2015,120000
Southern Africa,,2013,2755720000
Southern Africa,,2015,2765250000
Southern Asia,,2013,121353810000
Southern Asia,,2015,79480010000
Southern Europe,,2013,846810000
Southern Europe,,2015,737710000
Spain,ESP,2013,401580000
Spain,ESP,2015,413720000
Sri Lanka,LKA,2013,304760000
Sri Lanka,LKA,2015,164360000
Sub-Saharan Africa,,2013,21962210000
Sub-Saharan Africa,,2015,16390070000.000002
Sudan,SDN,2013,892340000
Sudan,SDN,2015,531869999.99999994
Suriname,SUR,2013,85650000
Suriname,SUR,2015,91790000
Sweden,SWE,2013,0
Sweden,SWE,2015,0
Switzerland,CHE,2013,0
Switzerland,CHE,2015,0
Tajikistan,TJK,2013,283400000
Tajikistan,TJK,2015,319940000
Tanzania,TZA,2013,653280000
Tanzania,TZA,2015,749570000
Thailand,THA,2013,1052100000
Thailand,THA,2015,0
Togo,TGO,2013,0
Trinidad and Tobago,TTO,2013,1084540000
Trinidad and Tobago,TTO,2015,802970000
Tunisia,TUN,2013,1212120000
Tunisia,TUN,2015,1036520000.0000001
Turkey,TUR,2013,188110000
Turkey,TUR,2015,199640000
Turkmenistan,TKM,2013,6626710000
Turkmenistan,TKM,2015,5801610000
Uganda,UGA,2013,287980000
Uganda,UGA,2015,324180000
Ukraine,UKR,2013,8849760000
Ukraine,UKR,2015,7977380000
United Arab Emirates,ARE,2013,18170880000
United Arab Emirates,ARE,2015,12643310000
United Kingdom,GBR,2013,459680000
United Kingdom,GBR,2015,487280000
United States,USA,2013,10939930000
United States,USA,2015,13287520000
Uruguay,URY,2013,0
Uruguay,URY,2015,0
Uzbekistan,UZB,2013,10342440000
Uzbekistan,UZB,2015,8087310000
Venezuela,VEN,2013,36493030000
Venezuela,VEN,2015,23667170000
Vietnam,VNM,2013,1148220000
Vietnam,VNM,2015,1115090000
Western Africa,,2013,5240010000
Western Africa,,2015,2546010000
Western Asia,,2013,115543280000
Western Asia,,2015,63772530000
World,OWID_WRL,2013,541375910000
World,OWID_WRL,2015,333001890000
Yemen,YEM,2013,1793560000
Yemen,YEM,2015,109470000
Zambia,ZMB,2013,1919660000
Zambia,ZMB,2015,2060110000
Zimbabwe,ZWE,2013,2538480000
Zimbabwe,ZWE,2015,2701240000
