Entity,Code,Year,Terrestrial protected areas (% of total land area) (% of total land area)
Lebanon,LBN,2017,2.59730862397557
Lesotho,LSO,2016,0.26
Lesotho,LSO,2017,0.261388681242792
Liberia,LBR,2016,2.49
Liberia,LBR,2017,4.05131092547338
Libya,LBY,2016,0.21
Libya,LBY,2017,0.211847868078981
Liechtenstein,LIE,2016,42.49
Liechtenstein,LIE,2017,11.9351041815517
Lithuania,LTU,2016,16.94
Lithuania,LTU,2017,17.0231009753366
Low & middle income,,2016,14.5368660586851
Low & middle income,,2017,14.5306923093116
Low income,,2016,15.3259480287501
Low income,,2017,16.3040923052581
Lower middle income,,2016,12.3493887630396
Lower middle income,,2017,12.3458835953984
Luxembourg,LUX,2016,32.27
Luxembourg,LUX,2017,40.87274137855
Macedonia,MKD,2016,9.65
Macedonia,MKD,2017,9.65406515792627
Madagascar,MDG,2016,5.25
Madagascar,MDG,2017,5.58955631461027
Malawi,MWI,2016,16.89
Malawi,MWI,2017,22.8760477102777
Malaysia,MYS,2016,19.14
Malaysia,MYS,2017,19.1193165594385
Maldives,MDV,2016,0.98
Maldives,MDV,2017,1.20909567705006
Mali,MLI,2016,8.23
Mali,MLI,2017,8.23161005507261
Malta,MLT,2016,23.69
Malta,MLT,2017,30.2863758326223
Marshall Islands,MHL,2016,12.06
Marshall Islands,MHL,2017,11.9157086072553
Mauritania,MRT,2016,0.62
Mauritania,MRT,2017,0.621988213831289
Mauritius,MUS,2016,4.75
Mauritius,MUS,2017,4.7253888127124
Mexico,MEX,2016,14.27
Mexico,MEX,2017,14.5005326014623
Micronesia (country),FSM,2016,4.28
Micronesia (country),FSM,2017,0.0491628404366948
Middle East & North Africa,,2016,6.58900537643634
Middle East & North Africa,,2017,6.71688078711898
Middle East & North Africa (IDA & IBRD),,2016,7.17191282909179
Middle East & North Africa (IDA & IBRD),,2017,7.16987664032207
Middle East & North Africa (excluding high income),,2016,7.17191282909179
Middle East & North Africa (excluding high income),,2017,7.17069257776432
Middle income,,2016,14.3842074642295
Middle income,,2017,14.2019037090759
Moldova,MDA,2016,4.15
Moldova,MDA,2017,4.15053454855149
Monaco,MCO,2016,62.5
Monaco,MCO,2017,33.1551035825643
Mongolia,MNG,2016,17.4
Mongolia,MNG,2017,17.7138825654778
Montenegro,MNE,2016,4.06
Montenegro,MNE,2017,6.40071102866758
Morocco,MAR,2016,30.81
Morocco,MAR,2017,30.7776011103996
Mozambique,MOZ,2016,21.59
Mozambique,MOZ,2017,21.5932282429122
Myanmar,MMR,2016,7.17
Myanmar,MMR,2017,6.37050102009697
Namibia,NAM,2016,37.89
Namibia,NAM,2017,37.8909310253112
Nepal,NPL,2016,23.63
Nepal,NPL,2017,23.6260419833246
Netherlands,NLD,2016,11.33
Netherlands,NLD,2017,11.2437344510112
New Caledonia,NCL,2016,54.41
New Caledonia,NCL,2017,54.4041576282141
New Zealand,NZL,2016,32.55
New Zealand,NZL,2017,32.5452558558454
Nicaragua,NIC,2016,37.23
Nicaragua,NIC,2017,37.2258679264252
Niger,NER,2016,17.32
Niger,NER,2017,17.3170925189084
Nigeria,NGA,2016,13.93
Nigeria,NGA,2017,13.9295836103116
North America,,2016,11.3173097506438
North America,,2017,11.326914667085
North Korea,PRK,2016,2.44
North Korea,PRK,2017,2.43534150328306
Northern Mariana Islands,MNP,2016,7.58
Northern Mariana Islands,MNP,2017,7.6694498339144
Norway,NOR,2016,16.97
Norway,NOR,2017,17.1064928744818
OECD members,,2016,14.4634641043053
OECD members,,2017,15.0897898239389
Oman,OMN,2016,2.57
Oman,OMN,2017,2.5727331813508
Other small states,,2016,29.0687124402851
Other small states,,2017,29.4823019250946
Pacific island small states,,2016,4.31602026715799
Pacific island small states,,2017,4.29880205732725
Pakistan,PAK,2016,12.31
Pakistan,PAK,2017,12.3145852779876
Palau,PLW,2016,27.94
Palau,PLW,2017,28.0001910270941
Palestine,PSE,2017,8.3592518432039
Panama,PAN,2016,20.89
Panama,PAN,2017,20.8919399833618
Papua New Guinea,PNG,2016,3.07
Papua New Guinea,PNG,2017,3.06592990438946
Paraguay,PRY,2016,6.51
Paraguay,PRY,2017,14.3147360800329
Peru,PER,2016,21.27
Peru,PER,2017,21.3141727885924
Philippines,PHL,2016,15.32
Philippines,PHL,2017,15.3166593209145
Poland,POL,2016,39.62
Poland,POL,2017,39.6501395273886
Portugal,PRT,2016,22.96
Portugal,PRT,2017,22.9011800781885
Post-demographic dividend,,2016,14.297796913075
Post-demographic dividend,,2017,14.9621152991359
Pre-demographic dividend,,2016,13.8329566244909
Pre-demographic dividend,,2017,14.4956323506261
Puerto Rico,PRI,2016,7.44
Puerto Rico,PRI,2017,7.26916490580618
Qatar,QAT,2016,2.45
Qatar,QAT,2017,13.2292354317909
Romania,ROU,2016,24.35
Romania,ROU,2017,24.461867500098
Russia,RUS,2016,9.72
Russia,RUS,2017,9.72691481458987
Rwanda,RWA,2016,9.12
Rwanda,RWA,2017,9.11408907313889
Saint Kitts and Nevis,KNA,2016,3.32
Saint Kitts and Nevis,KNA,2017,3.3166347171568
Saint Lucia,LCA,2016,18.8
Saint Lucia,LCA,2017,18.7452095914066
Saint Martin (French part),MAF,2016,16.78
Saint Martin (French part),MAF,2017,12.77155153357
Saint Vincent and the Grenadines,VCT,2016,22.44
Saint Vincent and the Grenadines,VCT,2017,22.4196222232063
Samoa,WSM,2016,6.77
Samoa,WSM,2017,7.34958500166056
Sao Tome and Principe,STP,2016,29.21
Sao Tome and Principe,STP,2017,29.2559098318401
Saudi Arabia,SAU,2016,4.33
Saudi Arabia,SAU,2017,4.76012714075407
Senegal,SEN,2016,25.21
Senegal,SEN,2017,25.3527742991175
Serbia,SRB,2016,6.15
Serbia,SRB,2017,6.61310734024645
Seychelles,SYC,2016,42.1
Seychelles,SYC,2017,42.0940459472333
Sierra Leone,SLE,2016,9.39
Sierra Leone,SLE,2017,9.38631962647526
Singapore,SGP,2016,5.62
Singapore,SGP,2017,5.55455982847758
Sint Maarten (Dutch part),SXM,2017,0.000372593988169995
Slovakia,SVK,2016,37.28
Slovakia,SVK,2017,37.6304133373472
Slovenia,SVN,2016,53.64
Slovenia,SVN,2017,53.6229604410885
Small states,,2016,25.8354731651538
Small states,,2017,26.1972250700288
Solomon Islands,SLB,2016,2.21
Solomon Islands,SLB,2017,2.21026612316804
Somalia,SOM,2016,0.83
South Africa,ZAF,2016,14.13
South Africa,ZAF,2017,7.99816492065785
South Asia,,2016,7.29287769069698
South Asia,,2017,7.2917522651321
South Asia (IDA & IBRD),,2016,7.29287769069698
South Asia (IDA & IBRD),,2017,7.2917522651321
South Korea,KOR,2016,11.23
South Korea,KOR,2017,11.6711249951255
South Sudan,SSD,2016,15.5
South Sudan,SSD,2017,15.5015012515745
Spain,ESP,2016,28.02
Spain,ESP,2017,28.0656336491221
Sri Lanka,LKA,2016,29.86
Sri Lanka,LKA,2017,29.8619988979122
Sub-Saharan Africa,,2016,16.0975537903352
Sub-Saharan Africa,,2017,16.4308264939311
Sub-Saharan Africa (IDA & IBRD),,2016,16.0975537903351
Sub-Saharan Africa (IDA & IBRD),,2017,16.4308264939311
Sub-Saharan Africa (excluding high income),,2016,16.0970613741684
Sub-Saharan Africa (excluding high income),,2017,16.4303273999802
Sudan,SDN,2016,2.28
Sudan,SDN,2017,2.28176318372903
Suriname,SUR,2016,14.52
Suriname,SUR,2017,14.5201387866369
Swaziland,SWZ,2016,4.1
Swaziland,SWZ,2017,4.23300820628733
Sweden,SWE,2016,14.47
Sweden,SWE,2017,14.8820274643842
Switzerland,CHE,2016,9.65
Switzerland,CHE,2017,9.66518426119506
Syrian Arab Republic,,2016,0.69
Syrian Arab Republic,,2017,0.685302813189004
Tajikistan,TJK,2016,22.28
Tajikistan,TJK,2017,22.2786610881726
Tanzania,TZA,2016,38.12
Tanzania,TZA,2017,38.1455762725252
Thailand,THA,2016,18.81
Thailand,THA,2017,18.8091720900762
Timor,TLS,2016,13.05
Timor,TLS,2017,13.0574664834943
Togo,TGO,2016,27.62
Togo,TGO,2017,27.621242705615
Tonga,TON,2016,15.92
Tonga,TON,2017,15.9127902459233
Trinidad and Tobago,TTO,2016,30.6
Trinidad and Tobago,TTO,2017,30.5928101253097
Tunisia,TUN,2016,7.91
Tunisia,TUN,2017,7.91467724685807
Turkey,TUR,2016,0.22
Turkey,TUR,2017,0.218488653218068
Turkmenistan,TKM,2016,3.25
Turkmenistan,TKM,2017,3.24826224726187
Turks and Caicos Islands,TCA,2016,44.39
Turks and Caicos Islands,TCA,2017,44.3674254967153
Tuvalu,TUV,2016,2.39
Tuvalu,TUV,2017,1.95194115592284
Uganda,UGA,2016,16.06
Uganda,UGA,2017,16.0639496289362
Ukraine,UKR,2016,3.96
Ukraine,UKR,2017,3.98675314313722
United Arab Emirates,ARE,2016,13.07
United Arab Emirates,ARE,2017,17.9549206384619
United Kingdom,GBR,2016,28.24
United Kingdom,GBR,2017,28.683437277978
United States,USA,2016,12.97
United States,USA,2017,12.9938720224773
United States Virgin Islands,VIR,2016,14.64
United States Virgin Islands,VIR,2017,13.7945741945059
Upper middle income,,2016,15.1790379194092
Upper middle income,,2017,14.9270889115337
Uruguay,URY,2016,3.5
Uruguay,URY,2017,3.44620192299909
Uzbekistan,UZB,2016,3.38
Uzbekistan,UZB,2017,3.37521371527249
Vanuatu,VUT,2016,4.2
Vanuatu,VUT,2017,4.20053186765401
Venezuela,VEN,2016,54.14
Venezuela,VEN,2017,54.1441744357702
Vietnam,VNM,2016,7.58
Vietnam,VNM,2017,7.57677987501149
World,OWID_WRL,2016,14.3858659073302
World,OWID_WRL,2017,14.5575231163874
Yemen,YEM,2016,0.77
Yemen,YEM,2017,0.771943980228183
Zambia,ZMB,2016,38.05
Zambia,ZMB,2017,37.8700104508234
Zimbabwe,ZWE,2016,27.21
Zimbabwe,ZWE,2017,27.2145851759138
