Entity,Code,Year,"Males (deaths per 100,000)"
Austria,AUT,1990,65.8
Austria,AUT,1991,66.2
Austria,AUT,1992,63.3
Austria,AUT,1993,66
Austria,AUT,1994,61
Austria,AUT,1995,60.4
Austria,AUT,1996,61.4
Austria,AUT,1997,60.2
Austria,AUT,1998,61.7
Austria,AUT,1999,58.9
Austria,AUT,2000,58.5
Austria,AUT,2001,57.6
Austria,AUT,2002,60.7
Austria,AUT,2003,59
Austria,AUT,2004,58.2
Austria,AUT,2005,57.9
Austria,AUT,2006,58.6
Austria,AUT,2007,55.6
Austria,AUT,2008,58.9
Austria,AUT,2009,58.6
Austria,AUT,2010,58.3
Austria,AUT,2011,56.5
Austria,AUT,2012,56.4
Austria,AUT,2013,58
Azerbaijan,AZE,1981,20.4
Azerbaijan,AZE,1982,20.6
Azerbaijan,AZE,1985,20.3
Azerbaijan,AZE,1986,23.4
Azerbaijan,AZE,1987,24.1
Azerbaijan,AZE,1988,23.2
Azerbaijan,AZE,1989,21.7
Azerbaijan,AZE,1990,17.8
Azerbaijan,AZE,1991,18.7
Azerbaijan,AZE,1992,20
Azerbaijan,AZE,1993,18.1
Azerbaijan,AZE,1994,16
Azerbaijan,AZE,1995,15.3
Azerbaijan,AZE,1996,16
Azerbaijan,AZE,1997,16.4
Azerbaijan,AZE,1998,14.8
Azerbaijan,AZE,1999,15.4
Azerbaijan,AZE,2000,15
Azerbaijan,AZE,2001,16.2
Azerbaijan,AZE,2002,16.4
Azerbaijan,AZE,2003,17.9
Azerbaijan,AZE,2004,17.1
Azerbaijan,AZE,2007,10.1
Barbados,BRB,1960,7.7
Barbados,BRB,1961,8.7
Barbados,BRB,1962,5.7
Barbados,BRB,1963,7.5
Barbados,BRB,1964,7.5
Barbados,BRB,1966,5.5
Barbados,BRB,1967,7.3
Barbados,BRB,1968,6.3
Barbados,BRB,1969,6.3
Barbados,BRB,1970,8
Barbados,BRB,1971,11.5
Barbados,BRB,1972,7
Barbados,BRB,1973,10.4
Barbados,BRB,1974,14.6
Barbados,BRB,1975,12.8
Barbados,BRB,1976,11.8
Barbados,BRB,1977,10.1
Barbados,BRB,1978,18.5
Barbados,BRB,1979,8.4
Barbados,BRB,1980,15
Barbados,BRB,1981,20
Barbados,BRB,1982,13.3
Barbados,BRB,1983,13.2
Barbados,BRB,1984,18.1
Barbados,BRB,1985,11.5
Barbados,BRB,1986,15.5
Barbados,BRB,1987,13
Barbados,BRB,1988,12.9
Barbados,BRB,1989,16.8
Barbados,BRB,1990,16.8
Barbados,BRB,1991,12.7
Barbados,BRB,1992,17.4
Barbados,BRB,1993,19.7
Barbados,BRB,1994,12.6
Barbados,BRB,1995,14.1
Barbados,BRB,2000,11.6
Barbados,BRB,2001,8.5
Barbados,BRB,2002,7.7
Barbados,BRB,2003,15.3
Barbados,BRB,2004,11.4
Barbados,BRB,2005,12.2
Barbados,BRB,2006,9.8
Barbados,BRB,2007,9.8
Barbados,BRB,2008,12
Barbados,BRB,2009,12
Barbados,BRB,2010,10.4
Barbados,BRB,2011,10.4
Barbados,BRB,2012,16.3
Barbados,BRB,2013,11.8
Belarus,BLR,1981,37.2
Belarus,BLR,1982,40.3
Belarus,BLR,1985,49.8
Belarus,BLR,1986,51.2
Belarus,BLR,1987,55.6
Belarus,BLR,1988,57.6
Belarus,BLR,1989,63
Belarus,BLR,1990,63
Belarus,BLR,1991,65.5
Belarus,BLR,1992,70.1
Belarus,BLR,1993,71.9
Belarus,BLR,1994,72.5
Belarus,BLR,1995,74.2
Belarus,BLR,1997,75.5
Belarus,BLR,1998,73.7
Belarus,BLR,1999,72.3
Belarus,BLR,2000,71
Belarus,BLR,2001,71.3
Belarus,BLR,2002,71.1
Belarus,BLR,2003,70.2
Belarus,BLR,2007,64.8
Belarus,BLR,2008,65.1
Belarus,BLR,2009,63.7
Belarus,BLR,2010,65.2
Belarus,BLR,2011,62.9
Belarus,BLR,2013,56.1
Belgium,BEL,1954,36
Belgium,BEL,1955,37.6
Belgium,BEL,1956,41.7
Belgium,BEL,1957,43.1
Belgium,BEL,1958,45.2
Belgium,BEL,1959,47.8
Belgium,BEL,1960,53.7
Belgium,BEL,1961,57.1
Belgium,BEL,1962,59.8
Belgium,BEL,1963,63.1
Belgium,BEL,1964,65.5
Belgium,BEL,1965,72
Belgium,BEL,1966,71.8
Belgium,BEL,1967,75.1
Belgium,BEL,1968,78
Belgium,BEL,1969,78.7
Belgium,BEL,1970,83.9
Belgium,BEL,1971,92.4
Belgium,BEL,1972,95.5
Belgium,BEL,1973,97.1
Belgium,BEL,1974,96.6
Belgium,BEL,1975,100.1
Belgium,BEL,1976,102.8
Belgium,BEL,1977,110.9
Belgium,BEL,1978,113.9
Belgium,BEL,1979,113
Belgium,BEL,1980,115.2
Belgium,BEL,1981,117.7
Belgium,BEL,1982,115.7
Belgium,BEL,1983,121.9
Belgium,BEL,1984,120.1
Belgium,BEL,1985,122.6
Belgium,BEL,1986,119.5
Belgium,BEL,1987,118.6
Belgium,BEL,1988,120.5
Belgium,BEL,1989,114
Belgium,BEL,1990,114.7
Belgium,BEL,1991,114.2
Belgium,BEL,1992,115.3
Belgium,BEL,1993,116.8
Belgium,BEL,1994,113.5
Belgium,BEL,1995,116.7
Belgium,BEL,1996,111.2
Belgium,BEL,1997,114.7
Belgium,BEL,1998,107
Belgium,BEL,1999,101.7
Belgium,BEL,2000,101.8
Belgium,BEL,2001,102.2
Belgium,BEL,2002,99.7
Belgium,BEL,2003,97.1
Belgium,BEL,2004,94
Belgium,BEL,2005,97.4
Belgium,BEL,2006,96.1
Belgium,BEL,2007,93.7
Belgium,BEL,2008,94.9
Belgium,BEL,2009,92.3
Belgium,BEL,2010,92.7
Belgium,BEL,2011,90.3
Belgium,BEL,2012,84.2
Belgium,BEL,2013,84
Belize,BLZ,1964,5.9
Belize,BLZ,1965,3.8
Belize,BLZ,1966,5.5
Belize,BLZ,1967,0
Belize,BLZ,1968,5.2
Belize,BLZ,1969,6.8
Belize,BLZ,1970,4.9
Belize,BLZ,1971,0
Belize,BLZ,1972,7.9
Belize,BLZ,1973,3.1
Belize,BLZ,1974,0
Belize,BLZ,1975,1.5
Belize,BLZ,1976,3
Belize,BLZ,1977,4.4
Belize,BLZ,1979,1.4
Belize,BLZ,1983,2.5
Belize,BLZ,1984,9.9
Belize,BLZ,1986,4.7
Belize,BLZ,1987,6.8
Belize,BLZ,1989,5.4
Belize,BLZ,1990,5.3
Belize,BLZ,1991,2.1
Belize,BLZ,1993,8
Belize,BLZ,1994,5.9
Belize,BLZ,1995,9.6
Belize,BLZ,1996,8.4
Belize,BLZ,1997,9.9
Belize,BLZ,1998,10.3
Belize,BLZ,1999,11.6
Belize,BLZ,2000,7.2
Belize,BLZ,2001,9.3
Belize,BLZ,2002,13.6
Belize,BLZ,2003,7.4
Belize,BLZ,2004,6.5
Belize,BLZ,2005,11.9
Belize,BLZ,2006,7.5
Belize,BLZ,2007,8.7
Belize,BLZ,2008,8.5
Belize,BLZ,2009,5.7
Belize,BLZ,2010,5.6
Belize,BLZ,2011,11.5
Belize,BLZ,2012,6.5
Belize,BLZ,2013,8.1
Brazil,BRA,1979,7.7
Brazil,BRA,1980,8.1
Brazil,BRA,1981,8.2
Brazil,BRA,1982,8.7
Brazil,BRA,1983,9
Brazil,BRA,1984,9.1
Brazil,BRA,1985,9.2
Brazil,BRA,1986,9.5
Brazil,BRA,1987,9.5
Brazil,BRA,1988,10
Brazil,BRA,1989,9.9
Brazil,BRA,1990,10.1
Brazil,BRA,1991,10.2
Brazil,BRA,1992,10.5
Brazil,BRA,1993,10.5
Brazil,BRA,1994,10.9
Brazil,BRA,1995,10.9
Brazil,BRA,1996,11
Brazil,BRA,1997,11.4
Brazil,BRA,1998,11.4
Brazil,BRA,1999,11.5
Brazil,BRA,2000,11.6
Brazil,BRA,2001,11.8
Brazil,BRA,2002,12
Brazil,BRA,2003,12.2
Brazil,BRA,2004,12.8
Brazil,BRA,2005,12.9
Brazil,BRA,2006,12.9
Brazil,BRA,2007,13.5
Brazil,BRA,2008,13.7
Brazil,BRA,2009,13.7
Brazil,BRA,2010,14
Brazil,BRA,2011,13.9
Brazil,BRA,2012,14.3
Brazil,BRA,2013,14.7
Bulgaria,BGR,1964,39.7
Bulgaria,BGR,1965,42.4
Bulgaria,BGR,1966,43.9
Bulgaria,BGR,1967,42.3
Bulgaria,BGR,1968,43.2
Bulgaria,BGR,1969,42.9
Bulgaria,BGR,1970,41.8
Bulgaria,BGR,1971,46.2
Bulgaria,BGR,1972,45.5
Bulgaria,BGR,1973,48.6
Bulgaria,BGR,1974,46.5
Bulgaria,BGR,1975,46.1
Bulgaria,BGR,1976,47.2
Bulgaria,BGR,1977,47.7
Bulgaria,BGR,1978,46.9
Bulgaria,BGR,1979,49.6
Bulgaria,BGR,1980,46.1
Bulgaria,BGR,1981,51
Bulgaria,BGR,1982,53.2
Bulgaria,BGR,1983,55.2
Bulgaria,BGR,1984,55.8
Bulgaria,BGR,1985,55.9
Bulgaria,BGR,1986,57.8
Bulgaria,BGR,1987,59
Bulgaria,BGR,1988,58.2
Bulgaria,BGR,1989,60.1
Bulgaria,BGR,1990,59.4
Bulgaria,BGR,1991,59.5
Bulgaria,BGR,1992,63.4
Bulgaria,BGR,1993,63.8
Bulgaria,BGR,1994,66.8
Bulgaria,BGR,1995,65.9
Bulgaria,BGR,1996,65.6
Bulgaria,BGR,1997,63.9
Bulgaria,BGR,1998,61.6
Bulgaria,BGR,1999,64
Bulgaria,BGR,2000,61.1
Bulgaria,BGR,2001,62.4
Bulgaria,BGR,2002,65
Bulgaria,BGR,2003,68
Bulgaria,BGR,2004,69.3
Bulgaria,BGR,2005,75.6
Bulgaria,BGR,2006,74.8
Bulgaria,BGR,2007,75.8
Bulgaria,BGR,2008,78.6
Bulgaria,BGR,2009,74.3
Bulgaria,BGR,2010,75.6
Bulgaria,BGR,2011,75.6
Bulgaria,BGR,2012,81.3
Bulgaria,BGR,2013,83.9
Canada,CAN,1950,14.8
Canada,CAN,1951,15.3
Canada,CAN,1952,17
Canada,CAN,1953,18.3
Canada,CAN,1954,19.3
Canada,CAN,1955,20.3
Canada,CAN,1956,21.7
Canada,CAN,1957,21.9
Canada,CAN,1958,22.8
Canada,CAN,1959,23.4
Canada,CAN,1960,24.5
Canada,CAN,1961,26.1
Canada,CAN,1962,27.6
Canada,CAN,1963,29.5
Canada,CAN,1964,30
Canada,CAN,1965,31.1
Canada,CAN,1966,32.7
Canada,CAN,1967,36.1
Canada,CAN,1968,36.5
Canada,CAN,1969,38
Canada,CAN,1970,40.1
Canada,CAN,1971,42
Canada,CAN,1972,43.2
Canada,CAN,1973,45.1
Canada,CAN,1974,47.5
Canada,CAN,1975,47.3
Canada,CAN,1976,49.5
Canada,CAN,1977,51.8
Canada,CAN,1978,53.7
Canada,CAN,1979,55.6
Canada,CAN,1980,58
Canada,CAN,1981,58
Canada,CAN,1982,62
Canada,CAN,1983,63.5
Canada,CAN,1984,65.8
Canada,CAN,1985,64.5
Canada,CAN,1986,65.9
Canada,CAN,1987,66.3
Canada,CAN,1988,69.2
Canada,CAN,1989,69.9
Canada,CAN,1990,69.5
Canada,CAN,1991,69.8
Canada,CAN,1992,69.4
Canada,CAN,1993,70.3
Canada,CAN,1994,69
Canada,CAN,1995,67.4
Canada,CAN,1996,67.7
Canada,CAN,1997,65.8
Canada,CAN,1998,67.1
Canada,CAN,1999,68.2
Canada,CAN,2000,63.5
Canada,CAN,2001,64.7
Canada,CAN,2002,65.8
Canada,CAN,2003,65.2
Canada,CAN,2004,64.1
Canada,CAN,2005,64.3
Canada,CAN,2006,63.2
Canada,CAN,2007,63.8
Canada,CAN,2008,62.5
Canada,CAN,2009,63.2
Canada,CAN,2010,62.2
Canada,CAN,2011,61.4
Chile,CHL,1955,7.7
Chile,CHL,1956,8.3
Chile,CHL,1957,7.5
Chile,CHL,1958,7.5
Chile,CHL,1959,8.2
Chile,CHL,1960,8.6
Chile,CHL,1961,8.3
Chile,CHL,1962,8.4
Chile,CHL,1963,9.5
Chile,CHL,1964,8.9
Chile,CHL,1965,9.1
Chile,CHL,1966,9.3
Chile,CHL,1967,10.3
Chile,CHL,1968,10.8
Chile,CHL,1969,11.4
Chile,CHL,1970,11
Chile,CHL,1971,11.4
Chile,CHL,1972,11.5
Chile,CHL,1973,12.8
Chile,CHL,1974,11.4
Chile,CHL,1975,12.1
Chile,CHL,1976,12.8
Chile,CHL,1977,13.5
Chile,CHL,1978,13.1
Chile,CHL,1979,13.6
Chile,CHL,1980,14.5
Chile,CHL,1981,14.1
Chile,CHL,1982,15.5
Chile,CHL,1984,15.2
Chile,CHL,1985,16.3
Chile,CHL,1986,15.2
Chile,CHL,1987,14.9
Chile,CHL,1988,15.4
Chile,CHL,1989,15.5
Chile,CHL,1990,15.8
Chile,CHL,1991,17.6
Chile,CHL,1992,17.1
Chile,CHL,1993,16.8
Chile,CHL,1994,16.1
Chile,CHL,1995,17.1
Chile,CHL,1996,17.9
Chile,CHL,1997,16.5
Chile,CHL,1998,17.1
Chile,CHL,1999,16.8
Chile,CHL,2000,17
Chile,CHL,2001,17.5
Chile,CHL,2002,17.6
Chile,CHL,2003,16.9
Chile,CHL,2004,18.6
Chile,CHL,2005,18.6
Chile,CHL,2006,19.2
Chile,CHL,2007,18.9
Chile,CHL,2008,17.7
Chile,CHL,2009,19.1
Chile,CHL,2010,20.2
Chile,CHL,2011,20.3
Chile,CHL,2012,19.6
Chile,CHL,2013,20.9
China,CHN,1987,28.9
China,CHN,1988,27.7
China,CHN,1989,30.1
China,CHN,1990,33.7
China,CHN,1991,32.3
China,CHN,1992,33.5
China,CHN,1993,34.1
China,CHN,1994,35.2
China,CHN,1995,37.2
China,CHN,1996,38.3
China,CHN,1997,39.7
China,CHN,1998,41
China,CHN,1999,40.6
China,CHN,2000,43.2
Colombia,COL,1953,2.5
Colombia,COL,1954,1.7
Colombia,COL,1955,1.8
Colombia,COL,1956,2.2
Colombia,COL,1957,2.2
Colombia,COL,1958,1.8
Colombia,COL,1959,2.2
Colombia,COL,1960,2.4
Colombia,COL,1961,2.3
Colombia,COL,1962,2.6
Colombia,COL,1963,2.9
Colombia,COL,1964,3.1
Colombia,COL,1965,2.9
Colombia,COL,1966,3.2
Colombia,COL,1967,3.4
Colombia,COL,1968,3.2
Colombia,COL,1969,3.2
Colombia,COL,1972,3.5
Colombia,COL,1974,3.9
Colombia,COL,1975,3.9
Colombia,COL,1976,4.7
Colombia,COL,1977,4.5
Colombia,COL,1984,6.4
Colombia,COL,1985,7
Colombia,COL,1986,7.2
Colombia,COL,1987,7.6
Colombia,COL,1988,7.2
Colombia,COL,1989,7.6
Colombia,COL,1990,7.5
Colombia,COL,1991,7.8
Colombia,COL,1992,7.7
Colombia,COL,1993,7.9
Colombia,COL,1994,8
Colombia,COL,1995,8
Colombia,COL,1996,8.3
Colombia,COL,1997,8.4
Colombia,COL,1998,8.2
Colombia,COL,1999,8.8
Colombia,COL,2000,8.9
Colombia,COL,2001,9.3
Colombia,COL,2002,9.4
Colombia,COL,2003,9.5
Colombia,COL,2004,10.4
Colombia,COL,2005,10.5
Colombia,COL,2006,10.6
Colombia,COL,2007,10.7
Colombia,COL,2008,10.6
Colombia,COL,2009,10.5
Colombia,COL,2010,10.5
Colombia,COL,2011,10.4
Colombia,COL,2012,10.1
Colombia,COL,2013,10.8
Costa Rica,CRI,1961,1.9
Costa Rica,CRI,1962,3.3
Costa Rica,CRI,1963,2.4
Costa Rica,CRI,1964,3.8
Costa Rica,CRI,1965,2.6
Costa Rica,CRI,1966,3.1
Costa Rica,CRI,1967,3.4
Costa Rica,CRI,1968,4.8
Costa Rica,CRI,1969,3.2
Costa Rica,CRI,1970,3.1
Costa Rica,CRI,1971,3
Costa Rica,CRI,1972,5.3
Costa Rica,CRI,1973,3.9
Costa Rica,CRI,1974,4.6
Costa Rica,CRI,1975,5.9
Costa Rica,CRI,1976,5.7
Costa Rica,CRI,1977,5.6
Costa Rica,CRI,1978,5.9
Costa Rica,CRI,1979,5.6
Costa Rica,CRI,1980,6.5
Costa Rica,CRI,1981,8.1
Costa Rica,CRI,1982,7.9
Costa Rica,CRI,1983,8.3
Costa Rica,CRI,1985,8.5
Costa Rica,CRI,1986,7
Costa Rica,CRI,1987,8.2
Costa Rica,CRI,1988,9.4
Costa Rica,CRI,1989,8.3
Costa Rica,CRI,1990,8.8
Costa Rica,CRI,1991,7.4
Costa Rica,CRI,1992,8.4
Costa Rica,CRI,1993,8.4
Costa Rica,CRI,1994,8.6
Costa Rica,CRI,1995,7.7
Costa Rica,CRI,1996,9.6
Costa Rica,CRI,1997,8.2
Costa Rica,CRI,1998,7.5
Costa Rica,CRI,1999,8.8
Costa Rica,CRI,2000,8.4
Costa Rica,CRI,2001,8.6
Costa Rica,CRI,2002,7.6
Costa Rica,CRI,2003,8.4
Costa Rica,CRI,2004,7.9
Costa Rica,CRI,2005,7.7
Costa Rica,CRI,2006,7.4
Costa Rica,CRI,2007,7.1
Costa Rica,CRI,2008,6.2
Costa Rica,CRI,2009,6.8
Costa Rica,CRI,2010,8.1
Costa Rica,CRI,2011,8.7
Costa Rica,CRI,2012,8.5
Costa Rica,CRI,2013,8.1
Croatia,HRV,1985,72.9
Croatia,HRV,1986,70.5
Croatia,HRV,1987,77.5
Croatia,HRV,1988,80.7
Croatia,HRV,1989,79.7
Croatia,HRV,1990,83.9
Croatia,HRV,1991,82.3
Croatia,HRV,1992,80.3
Croatia,HRV,1993,82.6
Croatia,HRV,1994,83.8
Croatia,HRV,1995,82.8
Croatia,HRV,1996,89.2
Croatia,HRV,1997,93.7
Croatia,HRV,1998,96.7
Croatia,HRV,1999,96.4
Croatia,HRV,2000,93.8
Croatia,HRV,2001,101.9
Croatia,HRV,2002,99.3
Croatia,HRV,2003,99.8
Croatia,HRV,2004,100.6
Croatia,HRV,2005,98.9
Croatia,HRV,2006,101.9
Croatia,HRV,2007,103.4
Croatia,HRV,2008,102.2
Croatia,HRV,2009,104.3
Croatia,HRV,2010,101.8
Croatia,HRV,2011,101.4
Croatia,HRV,2012,101.9
Croatia,HRV,2013,101.5
Cuba,CUB,1964,27.7
Cuba,CUB,1968,28.5
Cuba,CUB,1969,30.1
Cuba,CUB,1970,31.8
Cuba,CUB,1971,32.7
Cuba,CUB,1972,33.6
Cuba,CUB,1973,34.2
Cuba,CUB,1974,33.7
Cuba,CUB,1975,32.6
Cuba,CUB,1976,35.6
Cuba,CUB,1977,36.2
Cuba,CUB,1978,34.5
Cuba,CUB,1979,36.5
Cuba,CUB,1980,36.4
Cuba,CUB,1981,38.5
Cuba,CUB,1982,38.6
Cuba,CUB,1983,39.3
Cuba,CUB,1984,41.7
Cuba,CUB,1985,41
Cuba,CUB,1986,42.5
Cuba,CUB,1987,42.3
Cuba,CUB,1988,44.2
Cuba,CUB,1989,42.7
Cuba,CUB,1990,43
Cuba,CUB,1991,43.3
Cuba,CUB,1992,43
Cuba,CUB,1993,39.9
Cuba,CUB,1994,41.2
Cuba,CUB,1995,42.1
Cuba,CUB,1996,44
Cuba,CUB,1997,43.6
Cuba,CUB,1998,45.1
Cuba,CUB,1999,44.9
Cuba,CUB,2000,45.6
Cuba,CUB,2001,45.8
Cuba,CUB,2002,49.5
Cuba,CUB,2003,51.8
Cuba,CUB,2004,52.5
Cuba,CUB,2005,52.8
Cuba,CUB,2006,53.5
Cuba,CUB,2007,56.9
Cuba,CUB,2008,58.2
Cuba,CUB,2009,58.2
Cuba,CUB,2010,57.8
Cuba,CUB,2011,56.1
Cuba,CUB,2012,57.6
Cuba,CUB,2013,57.8
Cyprus,CYP,2004,39.8
Cyprus,CYP,2005,35.2
Cyprus,CYP,2006,32.7
Cyprus,CYP,2007,32.5
Cyprus,CYP,2008,36.6
Cyprus,CYP,2009,42.3
Cyprus,CYP,2010,36.9
Cyprus,CYP,2011,44.3
Cyprus,CYP,2012,47.6
Cyprus,CYP,2013,48.2
Czech Republic,CZE,1986,102.4
Czech Republic,CZE,1987,99.2
Czech Republic,CZE,1988,100
Czech Republic,CZE,1989,96.8
Czech Republic,CZE,1990,99.3
Czech Republic,CZE,1991,96.6
Czech Republic,CZE,1992,97.1
Czech Republic,CZE,1993,95.5
Czech Republic,CZE,1994,89.9
Czech Republic,CZE,1995,93.7
Czech Republic,CZE,1996,89.3
Czech Republic,CZE,1997,89.6
Czech Republic,CZE,1998,85.8
Czech Republic,CZE,1999,87.6
Czech Republic,CZE,2000,89.7
Czech Republic,CZE,2001,86.6
Czech Republic,CZE,2002,86.1
Czech Republic,CZE,2003,85.1
Czech Republic,CZE,2004,87.5
Czech Republic,CZE,2005,83.7
Czech Republic,CZE,2006,81.4
Czech Republic,CZE,2007,79.9
Czech Republic,CZE,2008,77.2
Czech Republic,CZE,2009,77.6
Czech Republic,CZE,2010,77.8
Czech Republic,CZE,2011,75.6
Czech Republic,CZE,2012,74.2
Czech Republic,CZE,2013,72.2
Czechoslovakia,OWID_CZS,1953,30.5
Czechoslovakia,OWID_CZS,1954,34.1
Czechoslovakia,OWID_CZS,1955,38.2
Czechoslovakia,OWID_CZS,1956,40.5
Czechoslovakia,OWID_CZS,1957,42.9
Czechoslovakia,OWID_CZS,1958,46.1
Czechoslovakia,OWID_CZS,1959,50.4
Czechoslovakia,OWID_CZS,1960,54.7
Czechoslovakia,OWID_CZS,1961,58.3
Czechoslovakia,OWID_CZS,1962,61.3
Czechoslovakia,OWID_CZS,1963,65.8
Czechoslovakia,OWID_CZS,1964,68.9
Czechoslovakia,OWID_CZS,1965,70.7
Czechoslovakia,OWID_CZS,1966,75.4
Czechoslovakia,OWID_CZS,1967,78
Czechoslovakia,OWID_CZS,1968,75.9
Czechoslovakia,OWID_CZS,1969,78.5
Czechoslovakia,OWID_CZS,1970,80.2
Czechoslovakia,OWID_CZS,1971,84.2
Czechoslovakia,OWID_CZS,1972,82.1
Czechoslovakia,OWID_CZS,1973,82.6
Czechoslovakia,OWID_CZS,1974,85.6
Czechoslovakia,OWID_CZS,1975,85.9
