Entity,Code,Year,Suite of Food Security Indicators: Domestic food price volatility (index) - Value (FAO (2017)) (index)
Aruba,ABW,2002,5.8
Aruba,ABW,2003,5.7
Aruba,ABW,2004,5.3
Aruba,ABW,2005,6.9
Aruba,ABW,2006,8
Aruba,ABW,2007,8.5
Aruba,ABW,2008,8.4
Aruba,ABW,2009,15.2
Aruba,ABW,2010,4.9
Aruba,ABW,2011,9.9
Aruba,ABW,2012,5.8
Aruba,ABW,2013,7.2
Asia,,2000,5.3
Asia,,2001,4
Asia,,2002,5.4
Asia,,2003,4.6
Asia,,2004,4.3
Asia,,2005,9.1
Asia,,2006,6.9
Asia,,2007,18
Asia,,2008,5.6
Asia,,2009,7.3
Asia,,2010,3.9
Asia,,2011,3.5
Asia,,2012,4.7
Asia,,2013,7
Asia,,2014,9.3
Austria,AUT,2000,3.6
Austria,AUT,2001,6.8
Austria,AUT,2002,5.5
Austria,AUT,2003,6.4
Austria,AUT,2004,5.6
Austria,AUT,2005,4.6
Austria,AUT,2006,5.5
Austria,AUT,2007,7.5
Austria,AUT,2008,6.5
Austria,AUT,2009,6.5
Austria,AUT,2010,6.8
Austria,AUT,2011,5.1
Austria,AUT,2012,6.5
Austria,AUT,2013,5.1
Austria,AUT,2014,5.9
Bahamas,BHS,2001,5.9
Bahamas,BHS,2002,6.1
Bahamas,BHS,2003,5.6
Bahamas,BHS,2004,3.9
Bahamas,BHS,2005,4.7
Bahamas,BHS,2006,5.9
Bahamas,BHS,2007,5.3
Bahamas,BHS,2008,6.2
Bahamas,BHS,2009,6.8
Bahamas,BHS,2010,2.6
Bahamas,BHS,2011,4.2
Bahamas,BHS,2012,6.2
Bahamas,BHS,2013,5.6
Bahamas,BHS,2014,5.4
Bahrain,BHR,2000,13.8
Bahrain,BHR,2001,9.1
Bahrain,BHR,2002,17
Bahrain,BHR,2003,10.1
Bahrain,BHR,2004,29.2
Bahrain,BHR,2005,8.1
Bahrain,BHR,2006,6.8
Bahrain,BHR,2007,7.8
Bahrain,BHR,2008,17.6
Bahrain,BHR,2009,20.6
Bahrain,BHR,2010,15.1
Bahrain,BHR,2011,23.1
Bahrain,BHR,2012,25.5
Bahrain,BHR,2013,16.1
Bahrain,BHR,2014,18.5
Bangladesh,BGD,2000,3.3
Bangladesh,BGD,2001,4.1
Bangladesh,BGD,2002,4.8
Bangladesh,BGD,2003,3.2
Bangladesh,BGD,2004,4.7
Bangladesh,BGD,2005,6.9
Bangladesh,BGD,2006,8.7
Bangladesh,BGD,2007,5.7
Bangladesh,BGD,2008,9.9
Bangladesh,BGD,2009,9
Bangladesh,BGD,2010,4.5
Bangladesh,BGD,2011,3.2
Bangladesh,BGD,2012,5.3
Bangladesh,BGD,2013,16.4
Bangladesh,BGD,2014,4.5
Barbados,BRB,2000,8.2
Barbados,BRB,2001,8.9
Barbados,BRB,2002,4.8
Barbados,BRB,2003,5
Barbados,BRB,2004,3.2
Barbados,BRB,2005,5.1
Barbados,BRB,2006,6.7
Barbados,BRB,2007,5.1
Barbados,BRB,2008,10.7
Barbados,BRB,2009,6.7
Barbados,BRB,2010,4.8
Barbados,BRB,2011,8.7
Barbados,BRB,2012,7.7
Barbados,BRB,2013,5.6
Barbados,BRB,2014,5.4
Belarus,BLR,2000,9.8
Belarus,BLR,2001,7.1
Belarus,BLR,2002,5.8
Belarus,BLR,2003,6.8
Belarus,BLR,2004,4.8
Belarus,BLR,2005,4.7
Belarus,BLR,2006,5.5
Belarus,BLR,2007,8.4
Belarus,BLR,2008,9
Belarus,BLR,2009,6.2
Belarus,BLR,2010,5.4
Belarus,BLR,2011,6
Belgium,BEL,2000,6.6
Belgium,BEL,2001,7.2
Belgium,BEL,2002,6.2
Belgium,BEL,2003,6.5
Belgium,BEL,2004,8.4
Belgium,BEL,2005,6.9
Belgium,BEL,2006,6.2
Belgium,BEL,2007,6.9
Belgium,BEL,2008,5.3
Belgium,BEL,2009,7
Belgium,BEL,2010,3.5
Belgium,BEL,2011,2.5
Belgium,BEL,2012,4.5
Belgium,BEL,2013,5.8
Belgium,BEL,2014,6
Belize,BLZ,2011,27.8
Belize,BLZ,2012,27.9
Benin,BEN,2000,14.6
Benin,BEN,2001,16.6
Benin,BEN,2002,20.4
Benin,BEN,2003,18.1
Benin,BEN,2004,9.7
Benin,BEN,2005,11.9
Benin,BEN,2006,26.8
Benin,BEN,2007,17.6
Benin,BEN,2008,24.8
Benin,BEN,2009,20.2
Benin,BEN,2010,19.2
Benin,BEN,2011,16.4
Benin,BEN,2012,25.4
Benin,BEN,2013,14
Benin,BEN,2014,21.8
Bermuda,BMU,2000,8.1
Bermuda,BMU,2001,4.3
Bermuda,BMU,2002,3.9
Bermuda,BMU,2003,5.1
Bermuda,BMU,2004,5.4
Bermuda,BMU,2005,4.4
Bermuda,BMU,2006,5.5
Bermuda,BMU,2007,6.7
Bermuda,BMU,2008,8.1
Bermuda,BMU,2009,8.9
Bermuda,BMU,2010,8.6
Bermuda,BMU,2011,11
Bermuda,BMU,2012,9.9
Bermuda,BMU,2013,7.8
Bermuda,BMU,2014,7.6
Bhutan,BTN,2013,6.8
Bhutan,BTN,2014,6.4
Bolivia,BOL,2000,14.6
Bolivia,BOL,2001,11.3
Bolivia,BOL,2002,4.4
Bolivia,BOL,2003,3.9
Bolivia,BOL,2004,6.3
Bolivia,BOL,2005,7
Bolivia,BOL,2006,7
Bolivia,BOL,2007,4.6
Bolivia,BOL,2008,78.4
Bolivia,BOL,2009,11
Bolivia,BOL,2010,6.2
Bolivia,BOL,2011,6.6
Bolivia,BOL,2012,5.8
Bolivia,BOL,2013,9.1
Bolivia,BOL,2014,12.2
Bosnia and Herzegovina,BIH,2005,9.4
Bosnia and Herzegovina,BIH,2006,13
Bosnia and Herzegovina,BIH,2007,10.2
Bosnia and Herzegovina,BIH,2008,7.7
Bosnia and Herzegovina,BIH,2009,10.2
Bosnia and Herzegovina,BIH,2010,6
Bosnia and Herzegovina,BIH,2011,8.3
Bosnia and Herzegovina,BIH,2012,6.3
Botswana,BWA,2000,5.5
Botswana,BWA,2001,4.3
Botswana,BWA,2002,3.8
Botswana,BWA,2003,5.4
Botswana,BWA,2004,6.4
Botswana,BWA,2005,7.5
Botswana,BWA,2006,8.6
Botswana,BWA,2007,8.8
Botswana,BWA,2008,10.2
Botswana,BWA,2009,11.7
Botswana,BWA,2010,4.9
Botswana,BWA,2011,5.8
Botswana,BWA,2012,5.1
Botswana,BWA,2013,5.6
Botswana,BWA,2014,3.6
Brazil,BRA,2000,6
Brazil,BRA,2001,8.4
Brazil,BRA,2002,6.2
Brazil,BRA,2003,7.9
Brazil,BRA,2004,4.8
Brazil,BRA,2005,4.8
Brazil,BRA,2006,4.1
Brazil,BRA,2007,5.3
Brazil,BRA,2008,7.2
Brazil,BRA,2009,8.1
Brazil,BRA,2010,6.7
Brazil,BRA,2011,6.1
Brazil,BRA,2012,3.6
Brazil,BRA,2013,6.2
Brazil,BRA,2014,4.4
Brunei,BRN,2000,5.6
Brunei,BRN,2001,5.8
Brunei,BRN,2002,8.4
Brunei,BRN,2003,7.1
Brunei,BRN,2004,6.7
Brunei,BRN,2005,6.7
Brunei,BRN,2006,8.4
Brunei,BRN,2007,4.9
Brunei,BRN,2008,5.3
Brunei,BRN,2009,9.8
Brunei,BRN,2010,2.6
Brunei,BRN,2011,3.2
Brunei,BRN,2012,5.5
Brunei,BRN,2013,12
Brunei,BRN,2014,4.7
Bulgaria,BGR,2000,12.6
Bulgaria,BGR,2001,7.1
Bulgaria,BGR,2002,13.5
Bulgaria,BGR,2003,14.5
Bulgaria,BGR,2004,14
Bulgaria,BGR,2005,13.4
Bulgaria,BGR,2006,12.7
Bulgaria,BGR,2007,11.9
Bulgaria,BGR,2008,10.2
Bulgaria,BGR,2009,8.2
Bulgaria,BGR,2010,8.3
Bulgaria,BGR,2011,9.2
Bulgaria,BGR,2012,8.7
Bulgaria,BGR,2013,9.1
Bulgaria,BGR,2014,5.9
Burkina Faso,BFA,2000,19.3
Burkina Faso,BFA,2001,23.5
Burkina Faso,BFA,2002,21.2
Burkina Faso,BFA,2003,27.8
Burkina Faso,BFA,2004,27.8
Burkina Faso,BFA,2005,24.4
Burkina Faso,BFA,2006,28.7
Burkina Faso,BFA,2007,20
Burkina Faso,BFA,2008,36.2
Burkina Faso,BFA,2009,24.4
Burkina Faso,BFA,2010,13.4
Burkina Faso,BFA,2011,8
Burkina Faso,BFA,2012,12.5
Burkina Faso,BFA,2013,14.6
Burkina Faso,BFA,2014,11.8
Burundi,BDI,2000,51.9
Burundi,BDI,2001,23.4
Burundi,BDI,2002,14.8
Burundi,BDI,2003,20.9
Burundi,BDI,2004,30.3
Burundi,BDI,2005,25.2
Burundi,BDI,2006,17.8
Burundi,BDI,2007,17.4
Burundi,BDI,2008,16.4
Burundi,BDI,2009,65.3
Burundi,BDI,2010,21.1
Burundi,BDI,2011,40.2
Burundi,BDI,2012,18.7
Burundi,BDI,2013,11.1
Burundi,BDI,2014,8.3
Cabo Verde,,2005,9.8
Cabo Verde,,2006,13.3
Cabo Verde,,2007,8.3
Cabo Verde,,2008,8.2
Cabo Verde,,2009,12
Cabo Verde,,2010,4.9
Cabo Verde,,2011,5.8
Cabo Verde,,2012,7.4
Cabo Verde,,2013,7.5
Cabo Verde,,2014,5.4
Cambodia,KHM,2000,17.5
Cambodia,KHM,2001,16.2
Cambodia,KHM,2002,11.5
Cambodia,KHM,2003,4.2
Cambodia,KHM,2004,8.3
Cambodia,KHM,2005,10.7
Cambodia,KHM,2006,8.3
Cambodia,KHM,2007,8.8
Cambodia,KHM,2008,24
Cambodia,KHM,2009,16.7
Cambodia,KHM,2010,4.8
Cambodia,KHM,2011,6.5
Cambodia,KHM,2012,4.5
Cambodia,KHM,2013,5.5
Cambodia,KHM,2014,4.7
Cameroon,CMR,2000,8.3
Cameroon,CMR,2001,7.5
Cameroon,CMR,2002,5.9
Cameroon,CMR,2003,7.6
Cameroon,CMR,2004,6.2
Cameroon,CMR,2005,6.3
Cameroon,CMR,2006,8.9
Cameroon,CMR,2007,10.3
Cameroon,CMR,2008,6.1
Cameroon,CMR,2009,7.8
Cameroon,CMR,2010,17.3
Cameroon,CMR,2011,5.8
Cameroon,CMR,2012,4.9
Cameroon,CMR,2013,5.6
Cameroon,CMR,2014,10
Canada,CAN,2000,5.3
Canada,CAN,2001,5.1
Canada,CAN,2002,5.9
Canada,CAN,2003,6.4
Canada,CAN,2004,4.7
Canada,CAN,2005,4.3
Canada,CAN,2006,3.8
Canada,CAN,2007,4.9
Canada,CAN,2008,4.8
Canada,CAN,2009,5
Canada,CAN,2010,4.7
Canada,CAN,2011,5.4
Canada,CAN,2012,5.2
Canada,CAN,2013,5.9
Canada,CAN,2014,7.1
Caribbean,,2000,4.4
Caribbean,,2001,9.8
Caribbean,,2002,4
Caribbean,,2003,7
Caribbean,,2004,11.5
Caribbean,,2005,8.7
Caribbean,,2006,7.3
Caribbean,,2007,6.1
Caribbean,,2008,7.3
Caribbean,,2009,8.2
Caribbean,,2010,6
Caribbean,,2011,5.4
Caribbean,,2012,7.1
Caribbean,,2013,7.1
Caribbean,,2014,8
Central America,,2000,4.7
Central America,,2001,6.1
Central America,,2002,6.6
Central America,,2003,4.4
Central America,,2004,4.4
Central America,,2005,7.6
Central America,,2006,7.2
Central America,,2007,9.7
Central America,,2008,6.8
Central America,,2009,7.3
Central America,,2010,5.4
Central America,,2011,4.9
Central America,,2012,4.3
Central America,,2013,6.9
Central America,,2014,6.6
Chad,TCD,2000,15.4
Chad,TCD,2001,29.2
Chad,TCD,2002,19.2
Chad,TCD,2003,12.2
Chad,TCD,2004,16.1
Chad,TCD,2005,15.9
Chad,TCD,2006,22.5
Chad,TCD,2007,22.3
Chad,TCD,2008,19.7
Chad,TCD,2009,24.4
Chad,TCD,2010,14
Chad,TCD,2011,11.7
Chile,CHL,2000,4
Chile,CHL,2001,5.3
Chile,CHL,2002,4.7
Chile,CHL,2003,5.1
Chile,CHL,2004,4.6
Chile,CHL,2005,5.5
Chile,CHL,2006,5.7
Chile,CHL,2007,6.9
Chile,CHL,2008,11.6
Chile,CHL,2009,8.2
Chile,CHL,2010,7.7
Chile,CHL,2011,6.4
Chile,CHL,2012,8.7
Chile,CHL,2013,8.4
Chile,CHL,2014,7.4
China,CHN,2000,10.8
China,CHN,2001,9.1
China,CHN,2002,10
China,CHN,2003,12.9
China,CHN,2004,8.9
China,CHN,2005,13.7
China,CHN,2006,11
China,CHN,2007,9
China,CHN,2008,12.9
China,CHN,2009,11.5
China,CHN,2010,9.4
China,CHN,2011,8.4
China,CHN,2012,9.5
China,CHN,2013,11.9
China,CHN,2014,8.1
Colombia,COL,2000,8.8
Colombia,COL,2001,7.5
Colombia,COL,2002,4.5
Colombia,COL,2003,6.4
Colombia,COL,2004,5.7
Colombia,COL,2005,6.2
Colombia,COL,2006,8.2
Colombia,COL,2007,9.3
Colombia,COL,2008,10.2
Colombia,COL,2009,8.4
Colombia,COL,2010,4
Colombia,COL,2011,4.1
Colombia,COL,2012,3
Colombia,COL,2013,4.1
Colombia,COL,2014,4.5
Congo,COG,2000,18.5
Congo,COG,2001,15.8
Congo,COG,2002,19.3
Congo,COG,2003,17
Congo,COG,2004,22.5
Congo,COG,2005,21.9
Congo,COG,2006,23.6
Congo,COG,2007,17.5
Congo,COG,2008,15.9
Congo,COG,2009,14.9
Congo,COG,2010,19.5
Congo,COG,2011,24.1
Congo,COG,2012,11.4
Congo,COG,2013,11.4
Congo,COG,2014,18.8
Costa Rica,CRI,2000,5.6
Costa Rica,CRI,2001,4.8
Costa Rica,CRI,2002,6.3
Costa Rica,CRI,2003,3.2
Costa Rica,CRI,2004,5.3
Costa Rica,CRI,2005,6
Costa Rica,CRI,2006,5.4
Costa Rica,CRI,2007,189.9
Costa Rica,CRI,2008,10.6
Costa Rica,CRI,2009,6.9
Costa Rica,CRI,2010,5.5
Costa Rica,CRI,2011,7.6
Costa Rica,CRI,2012,8.6
Costa Rica,CRI,2013,6.9
Costa Rica,CRI,2014,7.6
Cote d'Ivoire,CIV,2000,20.3
Cote d'Ivoire,CIV,2001,14.8
Cote d'Ivoire,CIV,2002,11.2
Cote d'Ivoire,CIV,2003,8.6
Cote d'Ivoire,CIV,2004,10.4
Cote d'Ivoire,CIV,2005,11.5
Cote d'Ivoire,CIV,2006,11.4
Cote d'Ivoire,CIV,2007,13
Cote d'Ivoire,CIV,2008,15.1
Cote d'Ivoire,CIV,2009,15.7
Cote d'Ivoire,CIV,2010,13.5
Cote d'Ivoire,CIV,2011,32
Cote d'Ivoire,CIV,2012,9.7
Cote d'Ivoire,CIV,2013,5.9
Cote d'Ivoire,CIV,2014,8.8
Croatia,HRV,2000,12.4
Croatia,HRV,2001,10.3
Croatia,HRV,2002,9.3
Croatia,HRV,2003,7.9
Croatia,HRV,2004,11.1
Croatia,HRV,2005,12.3
Croatia,HRV,2006,9.5
Croatia,HRV,2007,8.3
Croatia,HRV,2008,8.3
Croatia,HRV,2009,8.3
Croatia,HRV,2010,3
Croatia,HRV,2011,7.4
Croatia,HRV,2012,8
Croatia,HRV,2013,8.8
Croatia,HRV,2014,2.7
Cyprus,CYP,2000,17.1
Cyprus,CYP,2001,13.4
Cyprus,CYP,2002,16.4
Cyprus,CYP,2003,18.2
Cyprus,CYP,2004,13.4
Cyprus,CYP,2005,11.6
Cyprus,CYP,2006,14.3
Cyprus,CYP,2007,14.7
Cyprus,CYP,2008,18.7
Cyprus,CYP,2009,24.6
Cyprus,CYP,2010,18.6
Cyprus,CYP,2011,22.6
Cyprus,CYP,2012,15.9
Cyprus,CYP,2013,13.3
Cyprus,CYP,2014,12.7
Czech Republic,CZE,2000,6.6
Czech Republic,CZE,2001,5.6
Czech Republic,CZE,2002,11.6
Czech Republic,CZE,2003,14.4
Czech Republic,CZE,2004,6.8
Czech Republic,CZE,2005,5.9
Czech Republic,CZE,2006,8.4
Czech Republic,CZE,2007,6
Czech Republic,CZE,2008,8.3
Czech Republic,CZE,2009,6.4
Czech Republic,CZE,2010,28.3
Czech Republic,CZE,2011,9.8
Czech Republic,CZE,2012,11.7
Czech Republic,CZE,2013,12.6
Czech Republic,CZE,2014,10.7
Denmark,DNK,2000,5.6
Denmark,DNK,2001,7.1
Denmark,DNK,2002,5.4
Denmark,DNK,2003,4.8
Denmark,DNK,2004,5.8
Denmark,DNK,2005,6.8
Denmark,DNK,2006,6.2
Denmark,DNK,2007,8.4
Denmark,DNK,2008,8.8
Denmark,DNK,2009,7.7
Denmark,DNK,2010,6.5
Denmark,DNK,2011,6
Denmark,DNK,2012,5.4
Denmark,DNK,2013,5.5
Denmark,DNK,2014,6
Developed countries,,2000,2.2
Developed countries,,2001,5.4
Developed countries,,2002,4.3
Developed countries,,2003,5.4
Developed countries,,2004,5.1
Developed countries,,2005,4
Developed countries,,2006,8.4
Developed countries,,2007,5
Developed countries,,2008,8.1
Developed countries,,2009,5.2
Developed countries,,2010,3.8
Developed countries,,2011,5.1
Developed countries,,2012,4
Developed countries,,2013,4.8
Developed countries,,2014,3.9
Developing countries,,2000,4.8
Developing countries,,2001,3.7
Developing countries,,2002,4
Developing countries,,2003,3.7
Developing countries,,2004,4.3
Developing countries,,2005,7.7
Developing countries,,2006,6.2
Developing countries,,2007,14.1
Developing countries,,2008,5.1
Developing countries,,2009,7.4
Developing countries,,2010,3.2
Developing countries,,2011,2.9
Developing countries,,2012,4.4
Developing countries,,2013,6.3
Developing countries,,2014,7.2
Dominican Republic,DOM,2000,8
Dominican Republic,DOM,2001,5.8
Dominican Republic,DOM,2002,4.9
Dominican Republic,DOM,2003,9.6
Dominican Republic,DOM,2004,18.7
Dominican Republic,DOM,2005,7
Dominican Republic,DOM,2006,4.1
Dominican Republic,DOM,2007,5.7
Dominican Republic,DOM,2008,10.6
Dominican Republic,DOM,2009,6.9
Dominican Republic,DOM,2010,5.5
Dominican Republic,DOM,2011,8.3
Dominican Republic,DOM,2012,5.6
Dominican Republic,DOM,2013,4.5
Dominican Republic,DOM,2014,5.2
East Asia,,2000,9.2
East Asia,,2001,7.9
East Asia,,2002,9.5
East Asia,,2003,12.3
East Asia,,2004,8.7
East Asia,,2005,13.8
East Asia,,2006,11.7
East Asia,,2007,8.9
East Asia,,2008,12.1
East Asia,,2009,11.9
East Asia,,2010,9.3
East Asia,,2011,8.6
East Asia,,2012,9.8
East Asia,,2013,11.9
East Asia,,2014,8
East Asia (exc China),,2000,8.7
East Asia (exc China),,2001,8.5
East Asia (exc China),,2002,9.2
East Asia (exc China),,2003,10.6
East Asia (exc China),,2004,9.2
East Asia (exc China),,2005,51.3
East Asia (exc China),,2006,17.2
East Asia (exc China),,2007,13.7
East Asia (exc China),,2008,9.4
East Asia (exc China),,2009,13.4
East Asia (exc China),,2010,13.2
East Asia (exc China),,2011,17
East Asia (exc China),,2012,12.6
East Asia (exc China),,2013,14.2
East Asia (exc China),,2014,9.1
Eastern Africa,,2000,6.1
Eastern Africa,,2001,6.6
Eastern Africa,,2002,8.2
Eastern Africa,,2003,5.1
Eastern Africa,,2004,7.6
Eastern Africa,,2005,4.9
Eastern Africa,,2006,7.7
Eastern Africa,,2007,8.2
Eastern Africa,,2008,9.8
Eastern Africa,,2009,12.2
Eastern Africa,,2010,3.9
Eastern Africa,,2011,5.3
Eastern Africa,,2012,6.3
Eastern Africa,,2013,7.4
Eastern Africa,,2014,18.2
Ecuador,ECU,2000,22.2
Ecuador,ECU,2001,14.6
Ecuador,ECU,2002,7.5
Ecuador,ECU,2003,7.6
Ecuador,ECU,2004,10.3
Ecuador,ECU,2005,99.6
Ecuador,ECU,2006,7.7
Ecuador,ECU,2007,5.6
Ecuador,ECU,2008,10.3
Ecuador,ECU,2009,10.5
Ecuador,ECU,2010,4.4
Ecuador,ECU,2011,5.2
Ecuador,ECU,2012,8.9
Ecuador,ECU,2013,5.8
Ecuador,ECU,2014,5.7
Egypt,EGY,2000,3.7
Egypt,EGY,2001,4.7
Egypt,EGY,2002,3.2
Egypt,EGY,2003,4.1
Egypt,EGY,2004,19.4
Egypt,EGY,2005,9.6
Egypt,EGY,2006,9.2
Egypt,EGY,2007,9.5
Egypt,EGY,2008,14.3
Egypt,EGY,2009,14.1
Egypt,EGY,2010,11.7
Egypt,EGY,2011,14.3
Egypt,EGY,2012,10.5
Egypt,EGY,2013,10.2
Egypt,EGY,2014,9.8
El Salvador,SLV,2000,14.3
El Salvador,SLV,2001,8.2
El Salvador,SLV,2002,13.6
El Salvador,SLV,2003,8.4
El Salvador,SLV,2004,6.9
El Salvador,SLV,2005,7.1
El Salvador,SLV,2006,14.2
El Salvador,SLV,2007,11.9
El Salvador,SLV,2008,12.9
El Salvador,SLV,2009,8.7
El Salvador,SLV,2010,87.6
El Salvador,SLV,2011,7.6
El Salvador,SLV,2012,5.2
El Salvador,SLV,2013,5.1
El Salvador,SLV,2014,3
Estonia,EST,2000,3.4
Estonia,EST,2001,4.3
Estonia,EST,2002,7.3
Estonia,EST,2003,5.4
Estonia,EST,2004,7.1
Estonia,EST,2005,6.4
Estonia,EST,2006,6.3
Estonia,EST,2007,8.2
Estonia,EST,2008,11.3
Estonia,EST,2009,9.7
Estonia,EST,2010,8
Estonia,EST,2011,9.3
Estonia,EST,2012,6.1
Estonia,EST,2013,9.2
Estonia,EST,2014,7.4
Ethiopia,ETH,2000,8.8
Ethiopia,ETH,2001,11.1
Ethiopia,ETH,2002,8.3
Ethiopia,ETH,2003,6.9
Ethiopia,ETH,2004,13.1
Ethiopia,ETH,2005,8.7
Ethiopia,ETH,2006,7.3
Ethiopia,ETH,2007,6.9
Ethiopia,ETH,2008,15.3
Ethiopia,ETH,2009,17.8
Ethiopia,ETH,2010,4
Ethiopia,ETH,2011,12.2
Ethiopia,ETH,2012,11.4
Ethiopia,ETH,2013,10.8
Ethiopia,ETH,2014,9
Fiji,FJI,2000,13.6
Fiji,FJI,2001,13.9
Fiji,FJI,2002,7.1
Fiji,FJI,2003,13
Fiji,FJI,2004,12.5
Fiji,FJI,2005,7.3
Fiji,FJI,2006,9.5
Fiji,FJI,2007,13
Fiji,FJI,2008,12.9
Fiji,FJI,2009,17.8
Fiji,FJI,2010,10.8
Fiji,FJI,2011,16.3
Fiji,FJI,2012,9.7
Fiji,FJI,2013,8.2
Fiji,FJI,2014,8.3
Finland,FIN,2000,4.5
Finland,FIN,2001,7.2
Finland,FIN,2002,10.1
Finland,FIN,2003,8.3
Finland,FIN,2004,8.9
Finland,FIN,2005,8.4
Finland,FIN,2006,6.4
Finland,FIN,2007,8.7
Finland,FIN,2008,12.9
Finland,FIN,2009,11.7
Finland,FIN,2010,14.2
Finland,FIN,2011,6.7
Finland,FIN,2012,6.8
Finland,FIN,2013,7.7
Finland,FIN,2014,6.2
France,FRA,2000,4.6
France,FRA,2001,6
France,FRA,2002,4.2
France,FRA,2003,5.3
France,FRA,2004,8.8
France,FRA,2005,6.3
France,FRA,2006,4.9
France,FRA,2007,5.8
France,FRA,2008,6.9
France,FRA,2009,7.9
France,FRA,2010,5.5
France,FRA,2011,4.6
France,FRA,2012,4.8
France,FRA,2013,6.2
France,FRA,2014,4.8
Gabon,GAB,2000,5.9
Gabon,GAB,2001,7.8
Gabon,GAB,2002,9
Gabon,GAB,2003,10.6
Gabon,GAB,2004,5.6
Gabon,GAB,2005,6.4
Gabon,GAB,2006,13.3
Gabon,GAB,2007,15.1
Gabon,GAB,2008,8.6
Gabon,GAB,2009,11.7
Gabon,GAB,2010,11.7
Gabon,GAB,2011,15.3
Gabon,GAB,2012,13.9
Gabon,GAB,2013,22.3
Gabon,GAB,2014,21
Gambia,GMB,2000,3.7
Gambia,GMB,2001,3.5
Gambia,GMB,2002,5.2
Gambia,GMB,2003,6.3
Gambia,GMB,2004,5.4
Gambia,GMB,2005,4.1
Gambia,GMB,2006,6
Gambia,GMB,2007,9
Gambia,GMB,2008,5.4
Gambia,GMB,2009,7
Gambia,GMB,2010,2.9
Gambia,GMB,2011,2.6
Gambia,GMB,2012,3.4
Gambia,GMB,2013,4.3
Gambia,GMB,2014,2.7
Germany,DEU,2000,5.6
Germany,DEU,2001,7.9
Germany,DEU,2002,7.2
Germany,DEU,2003,7.1
Germany,DEU,2004,7.6
Germany,DEU,2005,6.1
Germany,DEU,2006,7.5
Germany,DEU,2007,6.9
Germany,DEU,2008,9.8
Germany,DEU,2009,8.4
Germany,DEU,2010,7.6
Germany,DEU,2011,5.1
Germany,DEU,2012,6.6
Germany,DEU,2013,6.5
Germany,DEU,2014,5.6
Ghana,GHA,2000,9.8
Ghana,GHA,2001,8.4
Ghana,GHA,2002,12.4
Ghana,GHA,2003,16.8
Ghana,GHA,2004,11
Ghana,GHA,2005,6.6
Ghana,GHA,2006,10.3
Ghana,GHA,2007,15.7
Ghana,GHA,2008,12.4
Ghana,GHA,2009,14.1
Ghana,GHA,2010,7.6
Ghana,GHA,2011,7.4
Ghana,GHA,2012,11.3
Ghana,GHA,2013,12.9
Ghana,GHA,2014,18.3
Greece,GRC,2000,10.2
Greece,GRC,2001,11.9
Greece,GRC,2002,15.1
Greece,GRC,2003,12.5
Greece,GRC,2004,16.9
Greece,GRC,2005,15.7
Greece,GRC,2006,15.2
Greece,GRC,2007,8.3
Greece,GRC,2008,9.6
