Entity,Code,Year,"Annual freshwater withdrawals, total (% of internal resources) (% of internal resources)"
Cyprus,CYP,1977,19.8717948717949
Cyprus,CYP,1982,22.6923076923077
Cyprus,CYP,1987,25.6410256410256
Cyprus,CYP,1992,28.5897435897436
Cyprus,CYP,1997,26.6666666666667
Cyprus,CYP,2002,21.8846153846154
Cyprus,CYP,2007,21.0384615384615
Cyprus,CYP,2012,25.6794871794872
Cyprus,CYP,2014,28.4358974358974
Czech Republic,CZE,1997,18.958174904943
Czech Republic,CZE,2002,14.5095057034221
Czech Republic,CZE,2007,14.9733840304183
Czech Republic,CZE,2012,14
Czech Republic,CZE,2014,12.5475285171103
Democratic Republic of Congo,COD,2002,0.0649
Democratic Republic of Congo,COD,2007,0.0759555555555556
Denmark,DNK,1972,12
Denmark,DNK,1977,20.0833333333333
Denmark,DNK,1982,20.0833333333333
Denmark,DNK,1987,28.4166666666667
Denmark,DNK,1992,20.7666666666667
Denmark,DNK,1997,15.2916666666667
Denmark,DNK,2002,10.8816666666667
Denmark,DNK,2007,9.26333333333333
Denmark,DNK,2012,10.6166666666667
Denmark,DNK,2014,10.6166666666667
Djibouti,DJI,1987,2.66666666666667
Djibouti,DJI,2002,6.26666666666667
Dominica,DMA,1997,8.3
Dominica,DMA,2002,8.3
Dominica,DMA,2007,8.3
Dominica,DMA,2012,10
Dominica,DMA,2014,10
Dominican Republic,DOM,2002,20.7021276595745
Dominican Republic,DOM,2007,23.1957446808511
Dominican Republic,DOM,2012,30.3702127659574
Dominican Republic,DOM,2014,30.3702127659574
Ecuador,ECU,2002,2.11731464737794
Ecuador,ECU,2007,2.24141048824593
Egypt,EGY,1977,2677.77777777778
Egypt,EGY,1997,3257.77777777778
Egypt,EGY,2002,3168.33333333333
Egypt,EGY,2012,4100
Egypt,EGY,2014,4100
El Salvador,SLV,1992,4.66346769033909
El Salvador,SLV,2002,8.80358285348688
El Salvador,SLV,2007,13.5508637236084
Equatorial Guinea,GNQ,1987,0.0384615384615385
Equatorial Guinea,GNQ,2002,0.0669230769230769
Eritrea,ERI,2002,14.7642857142857
Eritrea,ERI,2007,20.7857142857143
Estonia,EST,1992,20.6923682140047
Estonia,EST,1997,10.684500393391
Estonia,EST,2002,11.117230527144
Estonia,EST,2007,14.4295830055075
Estonia,EST,2012,12.8324154209284
Estonia,EST,2014,13.5326514555468
Ethiopia,ETH,2002,4.55573770491803
Ethiopia,ETH,2007,6.44344262295082
Europe & Central Asia,,2014,4.88379351280641
Europe & Central Asia (IDA & IBRD),,2014,3.01280975830149
Europe & Central Asia (excluding high income),,2014,2.80893674427182
European Union,,2014,15.1787613496176
Fiji,FJI,1987,0.10507880910683
Fiji,FJI,2002,0.286164623467601
Fiji,FJI,2007,0.297373029772329
Finland,FIN,1972,3.08411214953271
Finland,FIN,1977,3.31775700934579
Finland,FIN,1982,3.45794392523364
Finland,FIN,1987,3.73831775700935
Finland,FIN,1992,2.19345794392523
Finland,FIN,1997,2.41682242990654
Finland,FIN,2002,2.17570093457944
Finland,FIN,2007,6.13271028037383
France,FRA,1982,15.48
France,FRA,1987,17.44
France,FRA,1992,19.605
France,FRA,1997,15.165
France,FRA,2002,16.18
France,FRA,2007,15.495
France,FRA,2012,14.905
France,FRA,2014,14.905
Gabon,GAB,1987,0.0365853658536585
Gabon,GAB,2002,0.0733536585365854
Gabon,GAB,2007,0.0848170731707317
Gambia,GMB,1982,0.666666666666667
Gambia,GMB,2002,3.01666666666667
Georgia,GEO,2007,3.11887149492517
Georgia,GEO,2012,3.13607431618785
Germany,DEU,1992,43.2429906542056
Germany,DEU,1997,42.2429906542056
Germany,DEU,2002,36.5514018691589
Germany,DEU,2007,30.1495327102804
Germany,DEU,2012,30.8317757009346
Germany,DEU,2014,30.8317757009346
Ghana,GHA,1972,0.99009900990099
Ghana,GHA,2002,3.24092409240924
Greece,GRC,1972,7.33448275862069
Greece,GRC,1977,7.37241379310345
Greece,GRC,1982,8.67241379310345
Greece,GRC,1987,9.45862068965517
Greece,GRC,1992,13.8413793103448
Greece,GRC,1997,14.9741379310345
Greece,GRC,2002,15.9068965517241
Greece,GRC,2007,16.5396551724138
Grenada,GRD,2007,5
Grenada,GRD,2014,7.05
Guatemala,GTM,2007,3.04395604395604
Guinea,GIN,1987,0.327433628318584
Guinea,GIN,2002,0.244823008849558
Guinea-Bissau,GNB,1992,0.10375
Guinea-Bissau,GNB,1997,1.09375
Guinea-Bissau,GNB,2002,1.09375
Guyana,GUY,1992,0.605809128630705
Guyana,GUY,2002,0.680497925311203
Guyana,GUY,2012,0.599585062240664
Guyana,GUY,2014,0.599585062240664
Haiti,HTI,1992,7.53189853958493
Haiti,HTI,1997,9.87701767870869
Haiti,HTI,2012,11.1452728670254
Honduras,HND,2007,1.77255680564747
Hungary,HUN,1972,49.6666666666667
Hungary,HUN,1977,66.0833333333333
Hungary,HUN,1982,80.0833333333333
Hungary,HUN,1987,105.85
Hungary,HUN,1992,118.95
Hungary,HUN,1997,100.166666666667
Hungary,HUN,2002,95.3333333333333
Hungary,HUN,2007,93.0666666666667
Hungary,HUN,2012,84.1833333333333
Hungary,HUN,2014,84.1833333333333
Iceland,ISL,1982,0.0635294117647059
Iceland,ISL,1987,0.0658823529411765
Iceland,ISL,1992,0.0982352941176471
Iceland,ISL,2002,0.0970588235294118
Iceland,ISL,2007,0.0970588235294118
Iceland,ISL,2012,2.10058823529412
Iceland,ISL,2014,2.10058823529412
India,IND,1977,26.2793914246196
India,IND,1982,30.3112033195021
India,IND,1987,34.3983402489627
India,IND,1992,34.5781466113416
India,IND,2002,42.2130013831259
India,IND,2012,44.7786998616874
India,IND,2014,44.7786998616874
Indonesia,IDN,1992,3.68103021297672
Indonesia,IDN,2002,5.61168895492818
Iran,IRN,1977,35.0194552529183
Iran,IRN,1997,64.591439688716
Iran,IRN,2002,69.8054474708171
Iran,IRN,2007,72.4513618677043
Iraq,IRQ,1977,115.227272727273
Iraq,IRQ,1982,115.909090909091
Iraq,IRQ,1987,116.534090909091
Iraq,IRQ,1992,121.590909090909
Iraq,IRQ,1997,154.517045454545
Iraq,IRQ,2002,187.471590909091
Ireland,IRL,1982,2.18367346938776
Ireland,IRL,1997,2.4
Ireland,IRL,2007,1.48938775510204
Ireland,IRL,2012,1.54489795918367
Israel,ISR,1972,205.6
Israel,ISR,1977,213.066666666667
Israel,ISR,1982,219.066666666667
Israel,ISR,1987,229.333333333333
Israel,ISR,1992,211.2
Israel,ISR,1997,204.266666666667
Israel,ISR,2002,205.733333333333
Israel,ISR,2007,189.2
Italy,ITA,1972,22.7945205479452
Italy,ITA,2002,24.7013698630137
Italy,ITA,2012,29.4520547945205
Jamaica,JAM,1997,8.5720887245841
Jamaica,JAM,2007,7.5
Japan,JPN,1982,20.5116279069767
Japan,JPN,1992,21.2558139534884
Japan,JPN,1997,20.7418604651163
Japan,JPN,2002,19.6418604651163
Japan,JPN,2007,19.2441860465116
Japan,JPN,2012,18.8883720930233
Jordan,JOR,1977,66.1290322580645
Jordan,JOR,1982,78.4457478005865
Jordan,JOR,1987,90.7624633431085
Jordan,JOR,1992,137.390029325513
Jordan,JOR,2002,108.225806451613
Jordan,JOR,2007,135.219941348974
Jordan,JOR,2012,124.486803519062
Jordan,JOR,2014,124.486803519062
Kazakhstan,KAZ,1997,49.8368298368298
Kazakhstan,KAZ,2002,28.966588966589
Kazakhstan,KAZ,2007,30.8003108003108
Kazakhstan,KAZ,2012,31.0489510489511
Kazakhstan,KAZ,2014,31.0489510489511
Kenya,KEN,1992,9.89855072463768
Kenya,KEN,2007,11.207729468599
Kenya,KEN,2012,15.5458937198068
Kenya,KEN,2014,15.5458937198068
Kyrgyzstan,KGZ,1997,20.0081749437973
Kyrgyzstan,KGZ,2002,20.6008583690987
Kyrgyzstan,KGZ,2007,15.7510729613734
Laos,LAO,2007,1.83455882352941
Late-demographic dividend,,2014,6.01972347200967
Latvia,LVA,1997,2.39787485242031
Latvia,LVA,2002,1.44332939787485
Latvia,LVA,2007,1.21959858323495
Latvia,LVA,2012,1.46517119244392
Latvia,LVA,2014,1.39315230224321
Lebanon,LBN,1977,15.6458333333333
Lebanon,LBN,1997,26.8958333333333
Lebanon,LBN,2002,26.375
Lebanon,LBN,2007,22.8333333333333
Lesotho,LSO,1987,0.956022944550669
Lesotho,LSO,2002,0.837476099426386
Liberia,LBR,1987,0.065
Liberia,LBR,2002,0.0654
Libya,LBY,1977,171.428571428571
Libya,LBY,1982,210
Libya,LBY,1987,445
Libya,LBY,1992,680
Libya,LBY,1997,657.142857142857
Libya,LBY,2002,615.428571428571
Libya,LBY,2007,688.857142857143
Libya,LBY,2012,822.857142857143
Libya,LBY,2014,822.857142857143
Lithuania,LTU,1997,28.117723156533
Lithuania,LTU,2002,17.9042690815006
Lithuania,LTU,2007,14.6442432082794
Lithuania,LTU,2012,4.05174644243208
Lithuania,LTU,2014,4.05174644243208
Luxembourg,LUX,1972,3.48
Luxembourg,LUX,1977,4.25
Luxembourg,LUX,1982,3.97
Luxembourg,LUX,1987,6.7
Luxembourg,LUX,1997,5.65
Luxembourg,LUX,2002,6.05
Luxembourg,LUX,2012,4.45
Luxembourg,LUX,2014,4.31
Macedonia,MKD,1997,28.7962962962963
Macedonia,MKD,2002,11.7259259259259
Macedonia,MKD,2007,10.2074074074074
Madagascar,MDG,1987,4.83679525222552
Madagascar,MDG,2002,3.9673590504451
Madagascar,MDG,2007,4.02373887240356
Malawi,MWI,1997,5.79925650557621
Malawi,MWI,2002,8.2094175960347
Malawi,MWI,2007,8.40768277571251
Malaysia,MYS,1992,1.7448275862069
Malaysia,MYS,1997,0.94551724137931
Malaysia,MYS,2002,1.60362068965517
Malaysia,MYS,2007,1.93103448275862
Maldives,MDV,1987,11.3333333333333
Maldives,MDV,2012,15.6666666666667
Mali,MLI,1987,2.26666666666667
Mali,MLI,2007,8.64333333333333
Malta,MLT,1982,39.6039603960396
Malta,MLT,1997,58.4158415841584
Malta,MLT,2002,67.3267326732673
Malta,MLT,2007,64.950495049505
Malta,MLT,2012,33.6633663366337
Malta,MLT,2014,44.3564356435644
Mauritania,MRT,1982,182.5
Mauritania,MRT,2002,399.75
Mauritania,MRT,2007,337
Mauritius,MUS,1977,13.0861504907306
Mauritius,MUS,1992,20.574336604871
Mauritius,MUS,1997,22.3555070883315
Mauritius,MUS,2002,22.1737549981825
Mauritius,MUS,2007,26.3540530716103
Mexico,MEX,1982,13.6845965770171
Mexico,MEX,2002,17.6772616136919
Mexico,MEX,2007,19.2298288508557
Mexico,MEX,2012,20.0268948655257
Mexico,MEX,2014,20.0268948655257
Moldova,MDA,1992,121.172839506173
Moldova,MDA,2007,65.7407407407407
Mongolia,MNG,1997,1.22988505747126
Mongolia,MNG,2007,1.55172413793103
Mongolia,MNG,2012,1.58333333333333
Morocco,MAR,1977,31.0344827586207
Morocco,MAR,1982,34.6551724137931
Morocco,MAR,1987,37.9310344827586
Morocco,MAR,1992,38.0689655172414
Morocco,MAR,1997,38.8275862068966
Morocco,MAR,2002,51.1034482758621
Morocco,MAR,2012,35.6896551724138
Morocco,MAR,2014,35.6896551724138
Mozambique,MOZ,1992,0.603190428713858
Mozambique,MOZ,2002,0.881555333998006
Myanmar,MMR,1987,2.81754735792622
Myanmar,MMR,2002,3.31306081754736
Namibia,NAM,1987,2.27272727272727
Namibia,NAM,1992,4.03733766233766
Namibia,NAM,1997,4.33279220779221
Namibia,NAM,2002,4.5762987012987
Nepal,NPL,2002,4.82441977800202
Nepal,NPL,2007,4.79162462159435
Netherlands,NLD,1982,83.6181818181818
Netherlands,NLD,1987,84.9909090909091
Netherlands,NLD,1992,72.5727272727273
Netherlands,NLD,1997,59.1545454545454
Netherlands,NLD,2002,80.9636363636364
Netherlands,NLD,2007,99.4545454545455
Netherlands,NLD,2012,97.4545454545455
Netherlands,NLD,2014,97.4545454545455
New Zealand,NZL,1982,0.36697247706422
New Zealand,NZL,1987,0.581039755351682
New Zealand,NZL,2002,0.960244648318043
New Zealand,NZL,2007,1.50091743119266
New Zealand,NZL,2012,1.59051987767584
New Zealand,NZL,2014,1.59051987767584
Nicaragua,NIC,2002,0.887964148527529
Nicaragua,NIC,2012,0.989116517285531
Nicaragua,NIC,2014,0.989116517285531
Niger,NER,1992,14.2857142857143
Niger,NER,2007,28.1028571428571
Nigeria,NGA,1987,2.52941176470588
Nigeria,NGA,2002,4.66515837104072
Nigeria,NGA,2007,5.23529411764706
Nigeria,NGA,2012,5.64253393665158
Nigeria,NGA,2014,5.64253393665158
North Korea,PRK,2007,12.9223880597015
Norway,NOR,1982,0.523560209424084
Norway,NOR,1997,0.633507853403141
Norway,NOR,2002,0.628010471204188
Norway,NOR,2007,0.792146596858639
Oman,OMN,1992,85.5
Oman,OMN,2002,92.8571428571429
Oman,OMN,2007,84.7142857142857
Pakistan,PAK,1977,278.909090909091
Pakistan,PAK,1992,282.909090909091
Pakistan,PAK,2002,313.818181818182
Pakistan,PAK,2012,333.636363636364
Palestine,PSE,2002,33.128078817734
Palestine,PSE,2007,50.2463054187192
Panama,PAN,2012,0.759150805270864
Panama,PAN,2014,0.759150805270864
Papua New Guinea,PNG,2002,0.0338826466916355
Papua New Guinea,PNG,2007,0.0489513108614232
Paraguay,PRY,1987,0.367521367521367
Paraguay,PRY,2002,0.418803418803419
Paraguay,PRY,2012,2.06239316239316
Paraguay,PRY,2014,2.06239316239316
Peru,PER,2012,0.826325411334552
Philippines,PHL,2007,16.4718162839248
Philippines,PHL,2012,17.027139874739
Poland,POL,1972,18.8619402985075
Poland,POL,1977,25.2425373134328
Poland,POL,1982,28.2276119402985
Poland,POL,1987,30.615671641791
Poland,POL,1992,24.9626865671642
Poland,POL,1997,23.8619402985075
Poland,POL,2002,21.865671641791
Poland,POL,2007,22.4253731343284
Poland,POL,2012,21.3992537313433
Poland,POL,2014,21.3992537313433
Portugal,PRT,1992,22.6263157894737
Portugal,PRT,2002,29.3157894736842
Portugal,PRT,2007,24.0684210526316
Puerto Rico,PRI,1992,11.2338028169014
Puerto Rico,PRI,2002,12.0619718309859
Puerto Rico,PRI,2007,14.0619718309859
Puerto Rico,PRI,2012,14.3239436619718
Puerto Rico,PRI,2014,14.3239436619718
Qatar,QAT,1977,267.857142857143
Qatar,QAT,1997,286.964285714286
Qatar,QAT,2002,292.678571428571
Qatar,QAT,2007,387.5
Romania,ROU,1972,22.6285983954696
Romania,ROU,1977,33.9782916470033
Romania,ROU,1982,44.3605474280321
Romania,ROU,1987,48.3718735252478
Romania,ROU,1992,48.159509202454
Romania,ROU,1997,29.4006606890042
Romania,ROU,2002,21.7602642756017
Romania,ROU,2007,16.2435110901369
Romania,ROU,2012,15.2949504483247
Romania,ROU,2014,15.1439358187824
Russia,RUS,1997,1.78803339517625
Russia,RUS,2002,1.53525046382189
Russia,RUS,2014,1.41465677179963
Rwanda,RWA,2002,1.57894736842105
Saint Kitts and Nevis,KNA,2012,51.25
Saint Kitts and Nevis,KNA,2014,51.25
Saint Lucia,LCA,2007,14.3
Saint Vincent and the Grenadines,VCT,1997,10
Saint Vincent and the Grenadines,VCT,2014,7.9
Sao Tome and Principe,STP,1997,0.321100917431193
Saudi Arabia,SAU,1992,671.666666666667
Saudi Arabia,SAU,2007,943.333333333333
Senegal,SEN,1987,5.27131782945736
Senegal,SEN,2002,8.60852713178295
Serbia,SRB,2007,47.0798144403473
Serbia,SRB,2012,46.0211728321637
Serbia,SRB,2014,49.3636255501368
Sierra Leone,SLE,1987,0.23125
Sierra Leone,SLE,2002,0.1180625
Sierra Leone,SLE,2007,0.132625
Singapore,SGP,1977,31.6666666666667
Slovakia,SVK,1997,10.3968253968254
Slovakia,SVK,2002,8.68253968253968
Slovakia,SVK,2007,5.46031746031746
Slovakia,SVK,2012,5.28015873015873
Slovakia,SVK,2014,4.43888888888889
Slovenia,SVN,2002,4.81628280664167
Slovenia,SVN,2007,5.0074986609534
Slovenia,SVN,2012,4.97107659346545
Slovenia,SVN,2014,6.19175147295126
Somalia,SOM,1987,13.5
Somalia,SOM,2002,54.8333333333333
Somalia,SOM,2007,54.9666666666667
South Africa,ZAF,1992,29.6651785714286
South Africa,ZAF,1997,28.75
South Africa,ZAF,2002,28.4151785714286
South Africa,ZAF,2014,34.5982142857143
South Asia,,2014,44.7786998616874
South Asia (IDA & IBRD),,2014,44.7786998616874
South Korea,KOR,1992,31.7193523515806
South Korea,KOR,1997,39.2289899768697
South Korea,KOR,2002,44.9653045489591
South Korea,KOR,2007,44.7802621434079
South Sudan,SSD,2012,2.53076923076923
South Sudan,SSD,2014,2.53076923076923
Spain,ESP,1977,32.4460431654676
Spain,ESP,1982,35.8992805755396
Spain,ESP,1987,41.2320143884892
Spain,ESP,1992,33.0935251798561
Spain,ESP,1997,31.0251798561151
Spain,ESP,2002,31.9334532374101
Spain,ESP,2007,31.4478417266187
Spain,ESP,2012,33.0485611510791
Spain,ESP,2014,33.0485611510791
Sri Lanka,LKA,1992,18.5018939393939
Sri Lanka,LKA,2002,24.6401515151515
Sri Lanka,LKA,2007,24.5265151515152
Sudan,SDN,2012,673.25
Sudan,SDN,2014,673.25
Suriname,SUR,1987,0.464646464646465
Suriname,SUR,2002,0.676767676767677
Suriname,SUR,2007,0.622121212121212
Swaziland,SWZ,1982,24.8863636363636
Swaziland,SWZ,2002,39.469696969697
Sweden,SWE,1972,2.38187134502924
Sweden,SWE,1977,2.41812865497076
Sweden,SWE,1982,2.40116959064327
Sweden,SWE,1987,1.73684210526316
Sweden,SWE,1992,1.73859649122807
Sweden,SWE,1997,1.58538011695906
Sweden,SWE,2002,1.56491228070175
Sweden,SWE,2007,1.53801169590643
Sweden,SWE,2012,1.57251461988304
Sweden,SWE,2014,1.57251461988304
Switzerland,CHE,1977,6.43069306930693
Switzerland,CHE,1982,6.40841584158416
Switzerland,CHE,1987,6.54950495049505
Switzerland,CHE,1992,6.67079207920792
Switzerland,CHE,1997,6.33415841584158
Switzerland,CHE,2002,6.23267326732673
Switzerland,CHE,2012,4.96287128712871
Switzerland,CHE,2014,4.96287128712871
Syrian Arab Republic,,1977,46.8311833987661
Syrian Arab Republic,,1997,202.327537857543
Syrian Arab Republic,,2002,229.388670779585
Syrian Arab Republic,,2007,198.26135726304
Tajikistan,TJK,1997,18.1531673495115
Tajikistan,TJK,2002,18.3737787582729
Tajikistan,TJK,2007,17.6331547431453
Tanzania,TZA,2002,6.17142857142857
Thailand,THA,2007,25.5278396436526
Timor,TLS,2007,14.2665855143031
Togo,TGO,1987,0.791304347826087
Togo,TGO,2002,1.4695652173913
Trinidad and Tobago,TTO,1997,7.734375
Trinidad and Tobago,TTO,2002,8.17708333333333
Trinidad and Tobago,TTO,2007,8.046875
Trinidad and Tobago,TTO,2012,8.75520833333333
Trinidad and Tobago,TTO,2014,8.75520833333333
Tunisia,TUN,1977,25.5065554231228
Tunisia,TUN,1982,45.2920143027414
Tunisia,TUN,1987,54.8271752085816
Tunisia,TUN,1992,73.1108462455304
Tunisia,TUN,1997,67.9141835518474
Tunisia,TUN,2002,66.9606674612634
Tunisia,TUN,2012,76.6865315852205
Tunisia,TUN,2014,76.6865315852205
Turkey,TUR,1992,13.920704845815
Turkey,TUR,2002,18.5022026431718
Turkey,TUR,2007,17.6431718061674
Turkey,TUR,2012,18.4845814977974
Turkmenistan,TKM,1997,1686.83274021352
Turkmenistan,TKM,2002,1772.9537366548
Turkmenistan,TKM,2007,1983.62989323843
Uganda,UGA,1972,0.512820512820513
Uganda,UGA,2002,0.813846153846154
Uganda,UGA,2012,1.63333333333333
Ukraine,UKR,1992,47.1869328493648
Ukraine,UKR,2002,33.1760435571688
Ukraine,UKR,2007,27.3684210526316
Ukraine,UKR,2012,26.950998185118
Ukraine,UKR,2014,26.950998185118
United Arab Emirates,ARE,1982,600
United Arab Emirates,ARE,1997,1148.66666666667
United Arab Emirates,ARE,2002,1556
United Arab Emirates,ARE,2007,1866.66666666667
United Kingdom,GBR,1982,9.29655172413793
United Kingdom,GBR,1987,7.93103448275862
United Kingdom,GBR,1992,8.28965517241379
United Kingdom,GBR,1997,8.33793103448276
United Kingdom,GBR,2002,10.8827586206897
United Kingdom,GBR,2007,5.84827586206897
United Kingdom,GBR,2012,5.52896551724138
United Kingdom,GBR,2014,5.52896551724138
United States,USA,1982,18.3676366217175
United States,USA,1992,16.5046132008517
United States,USA,2002,16.8026969481902
United States,USA,2007,16.9836763662172
United States,USA,2012,14.8580553584102
United States,USA,2014,14.8580553584102
Upper middle income,,2014,6.57401959408869
Uruguay,URY,1967,0.704989154013015
Uruguay,URY,2002,3.96963123644252
Uzbekistan,UZB,1997,329.008567931457
Uzbekistan,UZB,2002,328.886168910649
Uzbekistan,UZB,2007,300.856793145655
Venezuela,VEN,1972,0.509316770186335
Venezuela,VEN,2002,1.12534161490683
Venezuela,VEN,2007,2.80993788819876
Vietnam,VNM,1982,10.534223706177
Vietnam,VNM,1987,12.5959933222037
Vietnam,VNM,2007,22.7768503060657
Yemen,YEM,1992,139.142857142857
Yemen,YEM,2002,161.142857142857
Yemen,YEM,2007,168.571428571429
Zambia,ZMB,1992,2.1783042394015
Zambia,ZMB,1997,2.12718204488778
Zambia,ZMB,2002,1.96009975062344
Zimbabwe,ZWE,1987,9.9510603588907
Zimbabwe,ZWE,2002,34.2985318107667
Zimbabwe,ZWE,2007,29.1190864600326
