Entity,Code,Year,Crops - Avocados - 572 - Production - 5510 - tonnes (tonnes)
Argentina,ARG,1982,3000
Argentina,ARG,1983,3100
Argentina,ARG,1984,3300
Argentina,ARG,1985,2600
Argentina,ARG,1986,2700
Argentina,ARG,1987,3000
Argentina,ARG,1988,3000
Argentina,ARG,1989,3000
Argentina,ARG,1990,2843
Argentina,ARG,1991,3100
Argentina,ARG,1992,3200
Argentina,ARG,1993,3300
Argentina,ARG,1994,3400
Argentina,ARG,1995,3500
Argentina,ARG,1996,3417
Argentina,ARG,1997,3373
Argentina,ARG,1998,3300
Argentina,ARG,1999,3350
Argentina,ARG,2000,3391
Argentina,ARG,2001,3439
Argentina,ARG,2002,3500
Argentina,ARG,2003,3486
Argentina,ARG,2004,3433
Argentina,ARG,2005,3459
Argentina,ARG,2006,3450
Argentina,ARG,2007,3600
Argentina,ARG,2008,3500
Argentina,ARG,2009,3600
Argentina,ARG,2010,3726
Argentina,ARG,2011,3840
Argentina,ARG,2012,4100
Argentina,ARG,2013,4052
Argentina,ARG,2014,4031
Argentina,ARG,2015,4046
Argentina,ARG,2016,4095
Argentina,ARG,2017,4125
Argentina,ARG,2018,4154
Asia,,1961,44160
Asia,,1962,44245
Asia,,1963,45495
Asia,,1964,51018
Asia,,1965,52335
Asia,,1966,68235
Asia,,1967,70511
Asia,,1968,69181
Asia,,1969,60434
Asia,,1970,55245
Asia,,1971,50844
Asia,,1972,68468
Asia,,1973,69814
Asia,,1974,90250
Asia,,1975,94018
Asia,,1976,86535
Asia,,1977,107529
Asia,,1978,98515
Asia,,1979,99480
Asia,,1980,105934
Asia,,1981,105553
Asia,,1982,116580
Asia,,1983,128520
Asia,,1984,132411
Asia,,1985,160932
Asia,,1986,161482
Asia,,1987,214071
Asia,,1988,120564
Asia,,1989,106152
Asia,,1990,160943
Asia,,1991,192521
Asia,,1992,235526
Asia,,1993,209887
Asia,,1994,231021
Asia,,1995,304674
Asia,,1996,314649
Asia,,1997,304881
Asia,,1998,293115
Asia,,1999,300415
Asia,,2000,342027
Asia,,2001,341049
Asia,,2002,454760
Asia,,2003,441528
Asia,,2004,435833
Asia,,2005,477262
Asia,,2006,451118
Asia,,2007,417790
Asia,,2008,430418
Asia,,2009,480491
Asia,,2010,440030
Asia,,2011,501277
Asia,,2012,526207
Asia,,2013,529078
Asia,,2014,565772
Asia,,2015,647978
Asia,,2016,602586
Asia,,2017,667254
Asia,,2018,759310
Australia,AUS,1961,400
Australia,AUS,1962,400
Australia,AUS,1963,500
Australia,AUS,1964,500
Australia,AUS,1965,600
Australia,AUS,1966,600
Australia,AUS,1967,700
Australia,AUS,1968,700
Australia,AUS,1969,800
Australia,AUS,1970,800
Australia,AUS,1971,900
Australia,AUS,1972,941
Australia,AUS,1973,688
Australia,AUS,1974,664
Australia,AUS,1975,710
Australia,AUS,1976,570
Australia,AUS,1977,662
Australia,AUS,1978,980
Australia,AUS,1979,1400
Australia,AUS,1980,1700
Australia,AUS,1981,2400
Australia,AUS,1982,3400
Australia,AUS,1983,5400
Australia,AUS,1984,6200
Australia,AUS,1985,7000
Australia,AUS,1986,9700
Australia,AUS,1987,9798
Australia,AUS,1988,11082
Australia,AUS,1989,11414
Australia,AUS,1990,12005
Australia,AUS,1991,11542
Australia,AUS,1992,12925
Australia,AUS,1993,12925
Australia,AUS,1994,14000
Australia,AUS,1995,15640
Australia,AUS,1996,16416
Australia,AUS,1997,20072
Australia,AUS,1998,20174
Australia,AUS,1999,24311
Australia,AUS,2000,23976
Australia,AUS,2001,29834
Australia,AUS,2002,28485
Australia,AUS,2003,40531
Australia,AUS,2004,41897
Australia,AUS,2005,32634
Australia,AUS,2006,34452
Australia,AUS,2007,47238
Australia,AUS,2008,45000
Australia,AUS,2009,38478
Australia,AUS,2010,42486
Australia,AUS,2011,36325
Australia,AUS,2012,48951
Australia,AUS,2013,52982
Australia,AUS,2014,43969
Australia,AUS,2015,49397
Australia,AUS,2016,67600
Australia,AUS,2017,56501
Australia,AUS,2018,63486
Australia & New Zealand,,1961,400
Australia & New Zealand,,1962,400
Australia & New Zealand,,1963,500
Australia & New Zealand,,1964,500
Australia & New Zealand,,1965,600
Australia & New Zealand,,1966,600
Australia & New Zealand,,1967,700
Australia & New Zealand,,1968,700
Australia & New Zealand,,1969,800
Australia & New Zealand,,1970,800
Australia & New Zealand,,1971,900
Australia & New Zealand,,1972,941
Australia & New Zealand,,1973,688
Australia & New Zealand,,1974,683
Australia & New Zealand,,1975,722
Australia & New Zealand,,1976,600
Australia & New Zealand,,1977,676
Australia & New Zealand,,1978,1058
Australia & New Zealand,,1979,1489
Australia & New Zealand,,1980,1767
Australia & New Zealand,,1981,2630
Australia & New Zealand,,1982,3720
Australia & New Zealand,,1983,6010
Australia & New Zealand,,1984,6860
Australia & New Zealand,,1985,7680
Australia & New Zealand,,1986,10500
Australia & New Zealand,,1987,10798
Australia & New Zealand,,1988,12382
Australia & New Zealand,,1989,12602
Australia & New Zealand,,1990,14482
Australia & New Zealand,,1991,14750
Australia & New Zealand,,1992,14955
Australia & New Zealand,,1993,15425
Australia & New Zealand,,1994,16550
Australia & New Zealand,,1995,18640
Australia & New Zealand,,1996,19916
Australia & New Zealand,,1997,24072
Australia & New Zealand,,1998,25474
Australia & New Zealand,,1999,33611
Australia & New Zealand,,2000,36582
Australia & New Zealand,,2001,41894
Australia & New Zealand,,2002,41883
Australia & New Zealand,,2003,51173
Australia & New Zealand,,2004,53649
Australia & New Zealand,,2005,55604
Australia & New Zealand,,2006,49452
Australia & New Zealand,,2007,67238
Australia & New Zealand,,2008,62000
Australia & New Zealand,,2009,58978
Australia & New Zealand,,2010,63486
Australia & New Zealand,,2011,57825
Australia & New Zealand,,2012,74451
Australia & New Zealand,,2013,77582
Australia & New Zealand,,2014,66584
Australia & New Zealand,,2015,73262
Australia & New Zealand,,2016,91969
Australia & New Zealand,,2017,79404
Australia & New Zealand,,2018,89011
Bahamas,BHS,2010,1200
Bahamas,BHS,2011,1216
Bahamas,BHS,2012,1232
Bahamas,BHS,2013,1266
Bahamas,BHS,2014,1300
Bahamas,BHS,2015,1332
Bahamas,BHS,2016,1345
Bahamas,BHS,2017,1371
Bahamas,BHS,2018,1396
Barbados,BRB,1961,160
Barbados,BRB,1962,155
Barbados,BRB,1963,160
Barbados,BRB,1964,175
Barbados,BRB,1965,180
Barbados,BRB,1966,181
Barbados,BRB,1967,200
Barbados,BRB,1968,220
Barbados,BRB,1969,299
Barbados,BRB,1970,260
Barbados,BRB,1971,271
Barbados,BRB,1972,290
Barbados,BRB,1973,310
Barbados,BRB,1974,330
Barbados,BRB,1975,350
Barbados,BRB,1976,360
Barbados,BRB,1977,370
Barbados,BRB,1978,380
Barbados,BRB,1979,390
Barbados,BRB,1980,400
Barbados,BRB,1981,410
Barbados,BRB,1982,420
Barbados,BRB,1983,430
Barbados,BRB,1984,440
Barbados,BRB,1985,450
Barbados,BRB,1986,460
Barbados,BRB,1987,460
Barbados,BRB,1988,470
Barbados,BRB,1989,470
Barbados,BRB,1990,470
Barbados,BRB,1991,470
Barbados,BRB,1992,470
Barbados,BRB,1993,470
Barbados,BRB,1994,470
Barbados,BRB,1995,470
Barbados,BRB,1996,470
Barbados,BRB,1997,470
Barbados,BRB,1998,470
Barbados,BRB,1999,390
Barbados,BRB,2000,440
Barbados,BRB,2001,470
Barbados,BRB,2002,490
Barbados,BRB,2003,510
Barbados,BRB,2004,530
Barbados,BRB,2005,550
Barbados,BRB,2006,580
Barbados,BRB,2007,580
Barbados,BRB,2008,600
Barbados,BRB,2009,624
Barbados,BRB,2010,649
Barbados,BRB,2011,671
Barbados,BRB,2012,700
Barbados,BRB,2013,697
Barbados,BRB,2014,700
Barbados,BRB,2015,707
Barbados,BRB,2016,733
Barbados,BRB,2017,746
Barbados,BRB,2018,758
Bolivia,BOL,1961,1500
Bolivia,BOL,1962,1610
Bolivia,BOL,1963,1650
Bolivia,BOL,1964,1760
Bolivia,BOL,1965,1570
Bolivia,BOL,1966,1800
Bolivia,BOL,1967,1830
Bolivia,BOL,1968,1860
Bolivia,BOL,1969,1920
Bolivia,BOL,1970,1950
Bolivia,BOL,1971,2040
Bolivia,BOL,1972,2200
Bolivia,BOL,1973,2200
Bolivia,BOL,1974,2400
Bolivia,BOL,1975,2900
Bolivia,BOL,1976,2905
Bolivia,BOL,1977,2905
Bolivia,BOL,1978,2035
Bolivia,BOL,1979,3235
Bolivia,BOL,1980,3260
Bolivia,BOL,1981,3095
Bolivia,BOL,1982,3640
Bolivia,BOL,1983,3633
Bolivia,BOL,1984,4355
Bolivia,BOL,1985,4156
Bolivia,BOL,1986,4264
Bolivia,BOL,1987,4375
Bolivia,BOL,1988,5300
Bolivia,BOL,1989,5250
Bolivia,BOL,1990,5410
Bolivia,BOL,1991,5550
Bolivia,BOL,1992,5695
Bolivia,BOL,1993,5835
Bolivia,BOL,1994,5960
Bolivia,BOL,1995,5960
Bolivia,BOL,1996,6110
Bolivia,BOL,1997,6230
Bolivia,BOL,1998,6230
Bolivia,BOL,1999,7500
Bolivia,BOL,2000,7600
Bolivia,BOL,2001,7610
Bolivia,BOL,2002,7612
Bolivia,BOL,2003,2977
Bolivia,BOL,2004,3046
Bolivia,BOL,2005,3120
Bolivia,BOL,2006,3197
Bolivia,BOL,2007,3242
Bolivia,BOL,2008,3306
Bolivia,BOL,2009,5568
Bolivia,BOL,2010,5514
Bolivia,BOL,2011,5426
Bolivia,BOL,2012,5541
Bolivia,BOL,2013,5681
Bolivia,BOL,2014,11873
Bolivia,BOL,2015,12032
Bolivia,BOL,2016,12497
Bolivia,BOL,2017,12509
Bolivia,BOL,2018,12452
Bosnia and Herzegovina,BIH,2005,1100
Bosnia and Herzegovina,BIH,2006,1100
Bosnia and Herzegovina,BIH,2007,1000
Bosnia and Herzegovina,BIH,2008,1031
Bosnia and Herzegovina,BIH,2009,1031
Bosnia and Herzegovina,BIH,2010,1000
Bosnia and Herzegovina,BIH,2011,1034
Bosnia and Herzegovina,BIH,2012,1100
Bosnia and Herzegovina,BIH,2013,1100
Bosnia and Herzegovina,BIH,2014,1000
Bosnia and Herzegovina,BIH,2015,1024
Bosnia and Herzegovina,BIH,2016,1049
Bosnia and Herzegovina,BIH,2017,1051
Bosnia and Herzegovina,BIH,2018,1051
Brazil,BRA,1961,82500
Brazil,BRA,1962,93750
Brazil,BRA,1963,100000
Brazil,BRA,1964,100406
Brazil,BRA,1965,110780
Brazil,BRA,1966,117459
Brazil,BRA,1967,128016
Brazil,BRA,1968,140249
Brazil,BRA,1969,143852
Brazil,BRA,1970,153173
Brazil,BRA,1971,161527
Brazil,BRA,1972,182924
Brazil,BRA,1973,125355
Brazil,BRA,1974,134378
Brazil,BRA,1975,145837
Brazil,BRA,1976,139674
Brazil,BRA,1977,139520
Brazil,BRA,1978,128221
Brazil,BRA,1979,132206
Brazil,BRA,1980,133956
Brazil,BRA,1981,135638
Brazil,BRA,1982,141542
Brazil,BRA,1983,142512
Brazil,BRA,1984,147824
Brazil,BRA,1985,126446
Brazil,BRA,1986,122291
Brazil,BRA,1987,114637
Brazil,BRA,1988,114372
Brazil,BRA,1989,114923
Brazil,BRA,1990,118635
Brazil,BRA,1991,111340
Brazil,BRA,1992,111742
Brazil,BRA,1993,105801
Brazil,BRA,1994,102644
Brazil,BRA,1995,93767
Brazil,BRA,1996,80733
Brazil,BRA,1997,84043
Brazil,BRA,1998,84231
Brazil,BRA,1999,86418
Brazil,BRA,2000,86146
Brazil,BRA,2001,154224
Brazil,BRA,2002,173948
Brazil,BRA,2003,156661
Brazil,BRA,2004,170534
Brazil,BRA,2005,169335
Brazil,BRA,2006,164441
Brazil,BRA,2007,154096
Brazil,BRA,2008,147214
Brazil,BRA,2009,139089
Brazil,BRA,2010,153189
Brazil,BRA,2011,160376
Brazil,BRA,2012,159903
Brazil,BRA,2013,157482
Brazil,BRA,2014,156699
Brazil,BRA,2015,180652
Brazil,BRA,2016,196545
Brazil,BRA,2017,212873
Brazil,BRA,2018,235788
Cameroon,CMR,1961,12000
Cameroon,CMR,1962,13000
Cameroon,CMR,1963,13000
Cameroon,CMR,1964,14000
Cameroon,CMR,1965,14000
Cameroon,CMR,1966,15000
Cameroon,CMR,1967,15000
Cameroon,CMR,1968,16000
Cameroon,CMR,1969,16000
Cameroon,CMR,1970,17000
Cameroon,CMR,1971,18000
Cameroon,CMR,1972,20000
Cameroon,CMR,1973,15000
Cameroon,CMR,1974,15000
Cameroon,CMR,1975,20000
Cameroon,CMR,1976,20000
Cameroon,CMR,1977,21000
Cameroon,CMR,1978,22000
Cameroon,CMR,1979,23000
Cameroon,CMR,1980,24000
Cameroon,CMR,1981,25000
Cameroon,CMR,1982,26000
Cameroon,CMR,1983,27000
Cameroon,CMR,1984,28000
Cameroon,CMR,1985,29000
Cameroon,CMR,1986,30000
Cameroon,CMR,1987,32000
Cameroon,CMR,1988,33000
Cameroon,CMR,1989,34000
Cameroon,CMR,1990,35000
Cameroon,CMR,1991,38000
Cameroon,CMR,1992,40000
Cameroon,CMR,1993,42000
Cameroon,CMR,1994,44000
Cameroon,CMR,1995,45000
Cameroon,CMR,1996,46000
Cameroon,CMR,1997,47000
Cameroon,CMR,1998,48000
Cameroon,CMR,1999,49000
Cameroon,CMR,2000,50000
Cameroon,CMR,2001,50563
Cameroon,CMR,2002,52000
Cameroon,CMR,2003,52184
Cameroon,CMR,2004,53000
Cameroon,CMR,2005,54284
Cameroon,CMR,2006,55000
Cameroon,CMR,2007,53000
Cameroon,CMR,2008,55000
Cameroon,CMR,2009,54000
Cameroon,CMR,2010,56000
Cameroon,CMR,2011,61887
Cameroon,CMR,2012,72000
Cameroon,CMR,2013,73700
Cameroon,CMR,2014,74298
Cameroon,CMR,2015,72037
Cameroon,CMR,2016,73479
Cameroon,CMR,2017,74363
Cameroon,CMR,2018,75221
Caribbean,,1961,193119
Caribbean,,1962,193861
Caribbean,,1963,198099
Caribbean,,1964,208573
Caribbean,,1965,204190
Caribbean,,1966,185375
Caribbean,,1967,202541
Caribbean,,1968,193785
Caribbean,,1969,197092
Caribbean,,1970,199171
Caribbean,,1971,197129
Caribbean,,1972,205790
Caribbean,,1973,210017
Caribbean,,1974,213710
Caribbean,,1975,218990
Caribbean,,1976,218893
Caribbean,,1977,217894
Caribbean,,1978,225772
Caribbean,,1979,219615
Caribbean,,1980,207020
Caribbean,,1981,212857
Caribbean,,1982,226899
Caribbean,,1983,229330
Caribbean,,1984,227010
Caribbean,,1985,214226
Caribbean,,1986,219368
Caribbean,,1987,213886
Caribbean,,1988,204747
Caribbean,,1989,216983
Caribbean,,1990,85586
Caribbean,,1991,91804
Caribbean,,1992,76630
Caribbean,,1993,78165
Caribbean,,1994,92003
Caribbean,,1995,111126
Caribbean,,1996,75195
Caribbean,,1997,96902
Caribbean,,1998,122597
Caribbean,,1999,133169
Caribbean,,2000,142974
Caribbean,,2001,169838
Caribbean,,2002,212091
Caribbean,,2003,339646
Caribbean,,2004,284364
Caribbean,,2005,180522
Caribbean,,2006,284531
Caribbean,,2007,254890
Caribbean,,2008,246629
Caribbean,,2009,253837
Caribbean,,2010,362695
Caribbean,,2011,380840
Caribbean,,2012,384161
Caribbean,,2013,489958
Caribbean,,2014,623204
Caribbean,,2015,626611
Caribbean,,2016,704799
Caribbean,,2017,741469
Caribbean,,2018,746373
Cayman Islands,CYM,1966,2
Cayman Islands,CYM,1967,2
Cayman Islands,CYM,1968,2
Cayman Islands,CYM,1969,2
Cayman Islands,CYM,1970,2
Cayman Islands,CYM,1971,2
Cayman Islands,CYM,1972,2
Cayman Islands,CYM,1973,2
Cayman Islands,CYM,1974,2
Cayman Islands,CYM,1975,2
Cayman Islands,CYM,1976,2
Cayman Islands,CYM,1977,2
Cayman Islands,CYM,1978,2
Cayman Islands,CYM,1979,2
Cayman Islands,CYM,1980,2
Cayman Islands,CYM,1981,2
Cayman Islands,CYM,1982,2
Cayman Islands,CYM,1983,3
Cayman Islands,CYM,1984,1
Cayman Islands,CYM,1985,1
Cayman Islands,CYM,1986,2
Cayman Islands,CYM,1987,2
Cayman Islands,CYM,1988,1
Cayman Islands,CYM,1989,3
Cayman Islands,CYM,1990,3
Cayman Islands,CYM,1991,12
Cayman Islands,CYM,1992,5
Cayman Islands,CYM,1993,13
Cayman Islands,CYM,1994,10
Cayman Islands,CYM,1995,11
Cayman Islands,CYM,1996,12
Cayman Islands,CYM,1997,12
Cayman Islands,CYM,1998,12
Cayman Islands,CYM,1999,12
Cayman Islands,CYM,2000,13
Cayman Islands,CYM,2001,13
Cayman Islands,CYM,2002,13
Cayman Islands,CYM,2003,14
Cayman Islands,CYM,2004,15
Cayman Islands,CYM,2005,15
Cayman Islands,CYM,2006,15
Cayman Islands,CYM,2007,15
Cayman Islands,CYM,2008,16
Cayman Islands,CYM,2009,17
Cayman Islands,CYM,2010,18
Cayman Islands,CYM,2011,18
Cayman Islands,CYM,2012,20
Cayman Islands,CYM,2013,20
Cayman Islands,CYM,2014,20
Cayman Islands,CYM,2015,21
Cayman Islands,CYM,2016,21
Cayman Islands,CYM,2017,21
Cayman Islands,CYM,2018,22
Central African Republic,CAF,1961,200
Central African Republic,CAF,1962,200
Central African Republic,CAF,1963,200
Central African Republic,CAF,1964,200
Central African Republic,CAF,1965,250
Central African Republic,CAF,1966,250
Central African Republic,CAF,1967,260
Central African Republic,CAF,1968,250
Central African Republic,CAF,1969,300
Central African Republic,CAF,1970,300
Central African Republic,CAF,1971,350
Central African Republic,CAF,1972,350
Central African Republic,CAF,1973,400
Central African Republic,CAF,1974,500
Central African Republic,CAF,1975,600
Central African Republic,CAF,1976,700
Central African Republic,CAF,1977,800
Central African Republic,CAF,1978,900
Central African Republic,CAF,1979,1000
Central African Republic,CAF,1980,1000
Central African Republic,CAF,1981,1100
Central African Republic,CAF,1982,1100
Central African Republic,CAF,1983,1200
Central African Republic,CAF,1984,1300
Central African Republic,CAF,1985,1300
Central African Republic,CAF,1986,1400
Central African Republic,CAF,1987,1700
Central African Republic,CAF,1988,2000
Central African Republic,CAF,1989,2600
Central African Republic,CAF,1990,2800
Central African Republic,CAF,1991,3000
Central African Republic,CAF,1992,3200
Central African Republic,CAF,1993,3500
Central African Republic,CAF,1994,3800
Central African Republic,CAF,1995,4000
Central African Republic,CAF,1996,4100
Central African Republic,CAF,1997,4200
Central African Republic,CAF,1998,4300
Central African Republic,CAF,1999,4400
Central African Republic,CAF,2000,4500
Central African Republic,CAF,2001,4600
Central African Republic,CAF,2002,4500
Central African Republic,CAF,2003,4400
Central African Republic,CAF,2004,4429
Central African Republic,CAF,2005,4474
Central African Republic,CAF,2006,4500
Central African Republic,CAF,2007,4600
Central African Republic,CAF,2008,4700
Central African Republic,CAF,2009,4800
Central African Republic,CAF,2010,5000
Central African Republic,CAF,2011,5598
Central African Republic,CAF,2012,6300
Central African Republic,CAF,2013,6500
Central African Republic,CAF,2014,6000
Central African Republic,CAF,2015,6600
Central African Republic,CAF,2016,8800
Central African Republic,CAF,2017,7133
Central African Republic,CAF,2018,7511
Central America,,1961,155943
Central America,,1962,163617
Central America,,1963,182869
Central America,,1964,186481
Central America,,1965,219214
Central America,,1966,230255
Central America,,1967,236311
Central America,,1968,257474
Central America,,1969,269612
Central America,,1970,291435
Central America,,1971,304301
Central America,,1972,306670
Central America,,1973,363643
Central America,,1974,339490
Central America,,1975,360668
Central America,,1976,361768
Central America,,1977,418910
Central America,,1978,482018
Central America,,1979,448089
Central America,,1980,529273
Central America,,1981,551172
Central America,,1982,571424
Central America,,1983,513254
Central America,,1984,527621
Central America,,1985,656335
Central America,,1986,718539
Central America,,1987,610251
Central America,,1988,767755
Central America,,1989,560330
Central America,,1990,778252
Central America,,1991,876757
Central America,,1992,815410
Central America,,1993,799523
Central America,,1994,891287
Central America,,1995,882491
Central America,,1996,931214
Central America,,1997,856387
Central America,,1998,971311
Central America,,1999,974710
Central America,,2000,999437
Central America,,2001,1027870
Central America,,2002,979301
Central America,,2003,1000797
Central America,,2004,1076226
Central America,,2005,1107956
Central America,,2006,1248239
Central America,,2007,1255361
Central America,,2008,1272144
Central America,,2009,1338906
Central America,,2010,1221923
Central America,,2011,1378688
Central America,,2012,1426767
Central America,,2013,1590047
Central America,,2014,1649353
Central America,,2015,1790388
Central America,,2016,2045598
Central America,,2017,2215944
Central America,,2018,2353651
Chile,CHL,1961,8000
Chile,CHL,1962,9000
Chile,CHL,1963,10000
Chile,CHL,1964,10500
Chile,CHL,1965,11150
Chile,CHL,1966,10000
Chile,CHL,1967,10500
Chile,CHL,1968,11000
Chile,CHL,1969,11300
Chile,CHL,1970,11500
Chile,CHL,1971,12000
Chile,CHL,1972,12500
Chile,CHL,1973,13400
Chile,CHL,1974,14500
Chile,CHL,1975,14700
Chile,CHL,1976,15000
Chile,CHL,1977,17300
Chile,CHL,1978,18800
Chile,CHL,1979,19363
Chile,CHL,1980,21700
Chile,CHL,1981,25000
Chile,CHL,1982,27700
Chile,CHL,1983,29600
Chile,CHL,1984,31500
Chile,CHL,1985,29800
Chile,CHL,1986,35000
Chile,CHL,1987,32000
Chile,CHL,1988,28000
Chile,CHL,1989,39000
Chile,CHL,1990,37580
Chile,CHL,1991,39000
Chile,CHL,1992,48000
Chile,CHL,1993,42000
Chile,CHL,1994,58000
Chile,CHL,1995,50000
Chile,CHL,1996,60000
Chile,CHL,1997,55000
Chile,CHL,1998,99000
Chile,CHL,1999,82000
Chile,CHL,2000,98000
Chile,CHL,2001,110000
Chile,CHL,2002,140000
Chile,CHL,2003,140000
Chile,CHL,2004,160000
Chile,CHL,2005,160000
Chile,CHL,2006,205000
Chile,CHL,2007,209645
Chile,CHL,2008,122633
Chile,CHL,2009,232202
Chile,CHL,2010,166382
Chile,CHL,2011,156247
Chile,CHL,2012,160000
Chile,CHL,2013,165000
Chile,CHL,2014,160000
Chile,CHL,2015,146580
Chile,CHL,2016,139013
Chile,CHL,2017,131950
Chile,CHL,2018,124506
China,CHN,1992,18000
China,CHN,1993,20000
China,CHN,1994,30000
China,CHN,1995,35000
China,CHN,1996,45000
China,CHN,1997,48000
China,CHN,1998,51000
China,CHN,1999,70000
China,CHN,2000,70000
China,CHN,2001,74500
China,CHN,2002,75000
China,CHN,2003,81000
China,CHN,2004,100000
China,CHN,2005,125000
China,CHN,2006,90000
China,CHN,2007,92000
China,CHN,2008,95000
China,CHN,2009,100000
China,CHN,2010,103000
China,CHN,2011,105000
China,CHN,2012,108000
China,CHN,2013,112000
China,CHN,2014,116000
China,CHN,2015,118238
China,CHN,2016,124863
China,CHN,2017,126103
China,CHN,2018,128743
Colombia,COL,1961,12000
Colombia,COL,1962,12200
Colombia,COL,1963,12300
Colombia,COL,1964,12400
Colombia,COL,1965,12500
Colombia,COL,1966,12600
Colombia,COL,1967,12700
Colombia,COL,1968,12800
Colombia,COL,1969,12900
Colombia,COL,1970,13000
Colombia,COL,1971,13000
Colombia,COL,1972,13100
Colombia,COL,1973,13200
Colombia,COL,1974,13300
Colombia,COL,1975,13298
Colombia,COL,1976,15370
Colombia,COL,1977,15420
Colombia,COL,1978,15500
Colombia,COL,1979,15650
Colombia,COL,1980,15700
Colombia,COL,1981,18340
Colombia,COL,1982,16470
Colombia,COL,1983,25900
Colombia,COL,1984,18843
Colombia,COL,1985,32500
Colombia,COL,1986,49006
Colombia,COL,1987,51351
Colombia,COL,1988,76166
Colombia,COL,1989,81075
Colombia,COL,1990,57064
Colombia,COL,1991,72102
Colombia,COL,1992,73815
Colombia,COL,1993,74000
Colombia,COL,1994,86924
Colombia,COL,1995,100000
Colombia,COL,1996,114000
Colombia,COL,1997,126000
Colombia,COL,1998,74000
Colombia,COL,1999,158505
Colombia,COL,2000,131664
Colombia,COL,2001,137065
Colombia,COL,2002,142700
Colombia,COL,2003,163177
Colombia,COL,2004,170985
Colombia,COL,2005,171603
Colombia,COL,2006,191710
Colombia,COL,2007,193996
Colombia,COL,2008,183968
Colombia,COL,2009,189029
Colombia,COL,2010,205443
Colombia,COL,2011,215089
Colombia,COL,2012,255384
Colombia,COL,2013,294997
Colombia,COL,2014,288739
Colombia,COL,2015,309852
Colombia,COL,2016,294389
Colombia,COL,2017,308166
Colombia,COL,2018,326666
Congo,COG,1961,6500
Congo,COG,1962,6500
Congo,COG,1963,6500
Congo,COG,1964,6000
Congo,COG,1965,6000
Congo,COG,1966,6000
Congo,COG,1967,6500
