Entity,Code,Year,Urban population (% of urban population),Rural population (% of rural population),Total population (% of population)
Bolivia,BOL,2008,48.7,73.6,57.3
Bolivia,BOL,2009,43.5,66.4,51.3
Bolivia,BOL,2011,36.8,61.3,45.1
Bolivia,BOL,2012,34.7,61.2,43.3
Bolivia,BOL,2013,29,59.9,38.9
Bolivia,BOL,2014,30.6,57.6,39.1
Bolivia,BOL,2015,,,38.6
Bosnia and Herzegovina,BIH,2007,,,18.2
Bosnia and Herzegovina,BIH,2011,,,17.9
Bosnia and Herzegovina,BIH,2015,,,16.9
Botswana,BWA,1985,30,68,59
Botswana,BWA,1993,24.7,40.4,32.9
Botswana,BWA,2002,19.4,44.8,30.6
Botswana,BWA,2009,11,24.3,19.3
Brazil,BRA,2001,,,24.7
Brazil,BRA,2002,,,23.3
Brazil,BRA,2003,,,24.9
Brazil,BRA,2004,,,22.4
Brazil,BRA,2005,,,21
Brazil,BRA,2006,,,17.3
Brazil,BRA,2007,,,16.1
Brazil,BRA,2008,,,14.1
Brazil,BRA,2009,,,13.3
Brazil,BRA,2011,,,11.1
Brazil,BRA,2012,,,9
Brazil,BRA,2013,,,8.9
Brazil,BRA,2014,,,7.4
Brazil,BRA,2015,,,8.7
Bulgaria,BGR,2005,,,18.4
Bulgaria,BGR,2006,,,22
Bulgaria,BGR,2007,,,21.4
Bulgaria,BGR,2008,,,21.8
Bulgaria,BGR,2009,,,20.7
Bulgaria,BGR,2010,,,22.2
Bulgaria,BGR,2011,,,21.2
Bulgaria,BGR,2012,,,21
Bulgaria,BGR,2013,,,21.8
Bulgaria,BGR,2014,,,22
Burkina Faso,BFA,2003,22.2,65.8,51.1
Burkina Faso,BFA,2009,25.2,52.8,46.7
Burkina Faso,BFA,2014,13.7,47.5,40.1
Burundi,BDI,2006,,,67.1
Burundi,BDI,2014,27.6,68.8,64.6
Cambodia,KHM,2003,28.5,54.2,50.2
Cambodia,KHM,2006,18.3,51.4,45
Cambodia,KHM,2008,15.1,38.5,34
Cambodia,KHM,2009,8,27.5,23.9
Cambodia,KHM,2010,8.5,25.3,22.1
Cambodia,KHM,2011,8.7,23.6,20.5
Cambodia,KHM,2012,6.4,20.8,17.7
Cameroon,CMR,1996,41.4,59.6,53.3
Cameroon,CMR,2001,17.9,52.1,40.2
Cameroon,CMR,2007,12.2,55,39.9
Cameroon,CMR,2014,8.9,56.8,37.5
Cape Verde,CPV,2007,13.2,44.3,26.6
Central African Republic,CAF,2008,49.6,69.4,62
Chad,TCD,2002,24.4,58.4,54.8
Chad,TCD,2011,20.9,52.5,46.7
Chile,CHL,1987,43.6,51.5,45.1
Chile,CHL,1990,38.5,38.8,38.6
Chile,CHL,1992,32.7,33.9,32.8
Chile,CHL,1994,27,31,27.7
Chile,CHL,1996,22,30.3,23.2
Chile,CHL,1998,20.7,27.5,21.6
Chile,CHL,2000,19.7,23.7,20.2
Chile,CHL,2003,18.5,19.9,18.7
Chile,CHL,2006,25.8,51.8,29.1
Chile,CHL,2009,22.6,43.6,25.3
Chile,CHL,2011,19.9,37.7,22.2
Chile,CHL,2013,12.4,27.9,14.4
Chile,CHL,2015,,,11.7
China,CHN,2013,,8.5,
China,CHN,2014,,7.2,
Colombia,COL,2002,45.5,61.7,49.7
Colombia,COL,2003,44.9,56.8,48
Colombia,COL,2004,43.7,58.3,47.4
Colombia,COL,2005,41.1,56.4,45
Colombia,COL,2008,37.4,56.6,42
Colombia,COL,2009,36,53.7,40.3
Colombia,COL,2010,33.3,49.7,37.2
Colombia,COL,2011,30.3,46.1,34.1
Colombia,COL,2012,28.4,46.8,32.7
Colombia,COL,2013,26.9,42.8,30.6
Colombia,COL,2014,24.6,41.4,28.5
Colombia,COL,2015,24.1,40.3,27.8
Colombia,COL,2016,,,28
Comoros,COM,2004,34.5,48.7,44.8
Congo,COG,2004,43.3,65.2,50.7
Congo,COG,2011,,74.8,46.5
Costa Rica,CRI,2010,19,27.4,21.2
Costa Rica,CRI,2011,19.7,27.1,21.7
Costa Rica,CRI,2012,18.2,27.1,20.6
Costa Rica,CRI,2013,18.2,27.8,20.7
Costa Rica,CRI,2014,19.5,30.3,22.4
Costa Rica,CRI,2015,19.4,27.9,21.7
Costa Rica,CRI,2016,,,20.5
Cote d'Ivoire,CIV,2002,24.5,49,38.4
Cote d'Ivoire,CIV,2008,29.4,62.5,48.9
Cote d'Ivoire,CIV,2015,35.9,56.8,46.3
Croatia,HRV,2009,,,20.6
Croatia,HRV,2010,,,20.9
Croatia,HRV,2011,,,20.4
Croatia,HRV,2012,,,19.5
Croatia,HRV,2013,,,19.4
Croatia,HRV,2014,,,20
Croatia,HRV,2015,,,19.5
Czech Republic,CZE,2004,,,10.4
Czech Republic,CZE,2005,,,9.9
Czech Republic,CZE,2006,,,9.6
Czech Republic,CZE,2007,,,9
Czech Republic,CZE,2008,,,8.6
Czech Republic,CZE,2009,,,9
Czech Republic,CZE,2010,,,9.8
Czech Republic,CZE,2011,,,9.6
Czech Republic,CZE,2012,,,8.6
Czech Republic,CZE,2013,,,9.7
Democratic Republic of Congo,COD,2004,,,69.3
Democratic Republic of Congo,COD,2012,,,63.9
Djibouti,DJI,2013,,,23
Dominican Republic,DOM,2000,23.7,47.4,32
Dominican Republic,DOM,2001,24.8,47.5,32.8
Dominican Republic,DOM,2002,24.9,47.2,32.7
Dominican Republic,DOM,2003,33.9,55.4,41.5
Dominican Republic,DOM,2004,44.4,60,50
Dominican Republic,DOM,2005,42.8,57,47.9
Dominican Republic,DOM,2006,38.8,54,44.2
Dominican Republic,DOM,2007,39.1,51.8,43.6
Dominican Republic,DOM,2008,38.8,55.2,44.2
Dominican Republic,DOM,2009,37.9,50.8,42.1
Dominican Republic,DOM,2010,37.3,50.4,41.6
Dominican Republic,DOM,2011,36.5,48.4,40.4
Dominican Republic,DOM,2012,36.8,49.4,40.9
Dominican Republic,DOM,2013,36.3,51.2,41.1
Dominican Republic,DOM,2014,,,36.4
Dominican Republic,DOM,2015,,,32.4
Ecuador,ECU,2000,54.6,82.2,64.4
Ecuador,ECU,2001,45.3,72.4,54.9
Ecuador,ECU,2003,38.8,71.3,49.9
Ecuador,ECU,2004,32.5,68.8,44.6
Ecuador,ECU,2005,31,64.3,42.2
Ecuador,ECU,2006,25.9,60.6,37.6
Ecuador,ECU,2007,24.3,61.3,36.7
Ecuador,ECU,2008,22.6,59.7,35.1
Ecuador,ECU,2009,25,57.5,36
Ecuador,ECU,2010,22.5,53,32.8
Ecuador,ECU,2011,17.4,50.9,28.6
Ecuador,ECU,2012,16.1,49.1,27.3
Ecuador,ECU,2013,17.6,42,25.6
Ecuador,ECU,2014,16.4,35.3,22.5
Ecuador,ECU,2015,,,23.3
Ecuador,ECU,2016,,,22.9
Egypt,EGY,1999,,,16.7
Egypt,EGY,2000,9.3,22.1,
Egypt,EGY,2004,10.1,26.8,19.6
Egypt,EGY,2008,11,28.9,21.6
Egypt,EGY,2010,15.3,32.3,25.2
Egypt,EGY,2012,,,26.3
Egypt,EGY,2015,,,27.8
El Salvador,SLV,2005,30.9,42.4,35.2
El Salvador,SLV,2006,27.7,35.8,30.7
El Salvador,SLV,2007,29.8,43.8,34.6
El Salvador,SLV,2008,35.7,49,40
El Salvador,SLV,2009,33.3,46.5,37.8
El Salvador,SLV,2010,33,43.2,36.5
El Salvador,SLV,2011,35.4,50.2,40.6
El Salvador,SLV,2012,29.9,43.3,34.5
El Salvador,SLV,2013,26.2,36,29.6
El Salvador,SLV,2014,28.5,37.9,31.8
El Salvador,SLV,2015,,,34.9
El Salvador,SLV,2016,,,32.7
Equatorial Guinea,GNQ,2006,31.5,79.9,76.8
Eritrea,ERI,1993,62,,69
Estonia,EST,2013,,,21.8
Ethiopia,ETH,1995,33.2,47.5,45.5
Ethiopia,ETH,1999,36.9,45.4,44.2
Ethiopia,ETH,2004,35.1,39.3,38.9
Ethiopia,ETH,2010,25.7,30.4,29.6
Fiji,FJI,2002,34.5,44.6,39.8
Fiji,FJI,2008,26.2,44,35.2
Fiji,FJI,2013,,,34
Gabon,GAB,2005,29.8,44.6,32.7
Gambia,GMB,2010,32.7,73.9,48.4
Georgia,GEO,2002,,,32.6
Georgia,GEO,2003,,,33.2
Georgia,GEO,2004,,,32.6
Georgia,GEO,2005,,,33.2
Georgia,GEO,2006,,,34.7
Georgia,GEO,2007,,,37.4
Georgia,GEO,2008,,,33.4
Georgia,GEO,2009,,,33.5
Georgia,GEO,2010,,,36.1
Georgia,GEO,2011,,,32.5
Georgia,GEO,2012,,,28.9
Georgia,GEO,2013,,,25.6
Georgia,GEO,2014,,,22.4
Georgia,GEO,2015,,,20.8
Georgia,GEO,2016,,,21.3
Ghana,GHA,2005,12.4,43.7,31.9
Ghana,GHA,2012,10.6,37.9,24.2
Guatemala,GTM,2000,27.1,74.5,56
Guatemala,GTM,2006,30,70.5,51
Guatemala,GTM,2014,42.162316152966,76.10289582453,59.3
Guinea,GIN,1994,17.5,82.1,62.6
Guinea,GIN,2002,23.5,59.9,49.1
Guinea,GIN,2007,30.5,63,53
Guinea,GIN,2012,35.4,64.7,55.2
Guinea-Bissau,GNB,2002,51.6,69.7,64.7
Guinea-Bissau,GNB,2010,51,75.6,69.3
Haiti,HTI,2012,40.6,74.9,58.5
Honduras,HND,2001,55.9,71.3,63.7
Honduras,HND,2002,58,71.3,64.8
Honduras,HND,2003,57.5,72.7,65.3
Honduras,HND,2004,57.1,71.9,64.6
Honduras,HND,2005,57.7,69.5,63.7
Honduras,HND,2006,52.9,66.8,59.9
Honduras,HND,2007,51,65.2,58.2
Honduras,HND,2008,55.2,63.1,59.2
Honduras,HND,2009,52.8,64.4,58.8
Honduras,HND,2010,54.3,65.4,60
Honduras,HND,2011,58.5,65.2,61.9
Honduras,HND,2012,63.6,69.3,66.5
Honduras,HND,2013,60.4,68.5,64.5
Honduras,HND,2014,61,65,62.8
Honduras,HND,2015,,,63.8
Hungary,HUN,2004,,,13.5
Hungary,HUN,2005,,,15.9
Hungary,HUN,2006,,,12.3
Hungary,HUN,2007,,,12.4
Hungary,HUN,2008,,,12.4
Hungary,HUN,2009,,,12.3
Hungary,HUN,2010,,,14.1
Hungary,HUN,2011,,,14.3
Hungary,HUN,2012,,,15
Hungary,HUN,2013,,,15
Hungary,HUN,2014,,,14.9
India,IND,1993,31.8,50.1,45.3
India,IND,2004,25.7,41.8,37.2
India,IND,2009,20.9,33.8,29.8
India,IND,2011,13.7,25.7,21.9
Indonesia,IDN,1996,13.4,19.8,17.5
Indonesia,IDN,1999,19.4,26,23.4
Indonesia,IDN,2002,14.5,21.1,18.2
Indonesia,IDN,2003,13.6,20.2,17.4
Indonesia,IDN,2004,12.1,20.1,16.7
Indonesia,IDN,2005,11.7,20,16
Indonesia,IDN,2006,13.5,21.8,17.8
Indonesia,IDN,2007,12.5,20.4,16.6
Indonesia,IDN,2008,11.7,18.9,15.4
Indonesia,IDN,2009,10.7,17.4,14.2
Indonesia,IDN,2010,9.9,16.6,13.3
Indonesia,IDN,2011,9.2,15.7,12.5
Indonesia,IDN,2012,8.8,15.1,12
Indonesia,IDN,2013,8.4,14.3,11.4
Indonesia,IDN,2014,8.3,14.2,11.3
Indonesia,IDN,2015,,,11.2
Indonesia,IDN,2016,,,10.9
Iraq,IRQ,2006,15.7,39,22.4
Iraq,IRQ,2012,14.8,30.6,18.9
Jamaica,JAM,1990,,,28.4
Jamaica,JAM,1991,16.1,63.9,44.6
Jamaica,JAM,1992,22.8,42.2,33.9
Jamaica,JAM,1993,,,24.4
Jamaica,JAM,1994,,,22.8
Jamaica,JAM,1995,,,27.5
Jamaica,JAM,1996,,,26.1
Jamaica,JAM,1997,,,19.9
Jamaica,JAM,1998,5.5,19.5,15.9
Jamaica,JAM,1999,11.1,22,16.9
Jamaica,JAM,2000,12.6,25.1,18.7
Jamaica,JAM,2001,9.9,24.1,16.9
Jamaica,JAM,2002,10.6,25.1,19.7
Jamaica,JAM,2003,,,19.1
Jamaica,JAM,2004,,,16.9
Jamaica,JAM,2005,,,14.8
Jamaica,JAM,2006,,,14.3
Jamaica,JAM,2007,,,9.9
Jamaica,JAM,2008,,,12.3
Jamaica,JAM,2009,,,16.5
Jamaica,JAM,2010,,,17.6
Jamaica,JAM,2012,,,19.9
Jamaica,JAM,1989,,,30.5
Jordan,JOR,2008,,,13.3
Jordan,JOR,2010,13.9,16.8,14.4
Kazakhstan,KAZ,2001,36,59.4,46.7
Kazakhstan,KAZ,2002,33,58.4,44.5
Kazakhstan,KAZ,2003,24.7,53.2,37.5
Kazakhstan,KAZ,2004,23.4,47.1,33.9
Kazakhstan,KAZ,2005,20.2,45.6,31.6
Kazakhstan,KAZ,2006,13.6,24.4,18.2
Kazakhstan,KAZ,2007,6.9,18.1,12.7
Kazakhstan,KAZ,2008,8.1,15.9,12.1
Kazakhstan,KAZ,2009,4.1,12.1,8.2
Kazakhstan,KAZ,2010,3.7,10.1,6.5
Kazakhstan,KAZ,2011,2.4,8.8,5.5
Kazakhstan,KAZ,2012,1.9,6.1,3.8
Kazakhstan,KAZ,2013,1.3,4.9,2.9
Kazakhstan,KAZ,2014,1.3,4.7,2.8
Kazakhstan,KAZ,2015,1.3,4.4,2.7
Kenya,KEN,2005,33.7,49.1,45.9
Kiribati,KIR,2006,,,21.8
Kosovo,OWID_KOS,2012,,,22.9
Kosovo,OWID_KOS,2013,,,17.6
Kosovo,OWID_KOS,2014,,,21.1
Kosovo,OWID_KOS,2015,,,17.6
Kyrgyzstan,KGZ,2006,26.7,47.7,39.9
Kyrgyzstan,KGZ,2007,23.2,41.7,35
Kyrgyzstan,KGZ,2008,22.6,36.8,31.7
Kyrgyzstan,KGZ,2009,21.9,37.1,31.7
Kyrgyzstan,KGZ,2010,23.6,39.5,33.7
Kyrgyzstan,KGZ,2011,30.7,40.4,36.8
Kyrgyzstan,KGZ,2012,35.4,39.6,38
Kyrgyzstan,KGZ,2013,28.5,41.4,37
Kyrgyzstan,KGZ,2014,26.9,32.6,30.6
Kyrgyzstan,KGZ,2015,29.3,33.6,32.1
Laos,LAO,1997,22.1,42.5,39.1
Laos,LAO,2002,19.7,37.6,33.5
Laos,LAO,2007,17.4,31.7,27.6
Laos,LAO,2012,10,28.6,23.2
Latvia,LVA,2004,,,19.4
Latvia,LVA,2005,,,23.5
Latvia,LVA,2006,,,21.2
Latvia,LVA,2007,,,25.9
Latvia,LVA,2008,,,26.4
Latvia,LVA,2009,,,20.9
Latvia,LVA,2010,,,19
Latvia,LVA,2011,,,19.2
Latvia,LVA,2012,,,19.4
Latvia,LVA,2013,,,21.2
Latvia,LVA,2014,,,22.5
Lebanon,LBN,2012,,,27.4
Lesotho,LSO,1994,36.7,68.9,66.6
Lesotho,LSO,2002,41.5,60.5,56.6
Lesotho,LSO,2010,39.6,61.2,57.1
Liberia,LBR,2007,55.1,67.7,63.8
Lithuania,LTU,2004,,,20.5
Lithuania,LTU,2005,,,20
Lithuania,LTU,2006,,,19.1
Lithuania,LTU,2007,,,20.9
Lithuania,LTU,2008,,,20.3
Lithuania,LTU,2009,,,20.5
Lithuania,LTU,2010,,,19.2
Lithuania,LTU,2011,,,18.6
Lithuania,LTU,2012,,,20.6
Lithuania,LTU,2013,,,19.1
Lithuania,LTU,2014,,,22.2
Macedonia,MKD,2011,,,26.8
Macedonia,MKD,2012,,,26.2
Macedonia,MKD,2013,,,24.2
Macedonia,MKD,2014,,,22.1
Madagascar,MDG,2001,45.6,78.2,70.8
Madagascar,MDG,2005,,,73.2
Madagascar,MDG,2010,,,71.7
Madagascar,MDG,2012,,,70.7
Malawi,MWI,1997,54.9,66.5,65.3
Malawi,MWI,2004,25.4,55.9,52.4
Malawi,MWI,2010,17.3,56.6,50.7
Malaysia,MYS,2002,2.3,13.5,6
Malaysia,MYS,2004,2.5,11.9,5.7
Malaysia,MYS,2007,2,7.1,3.6
Malaysia,MYS,2009,1.7,8.4,3.8
Malaysia,MYS,2012,1,3.4,1.7
Malaysia,MYS,2014,0.3,1.6,0.6
Maldives,MDV,2002,17.5,25.1,23
Maldives,MDV,2009,18.2,14.3,15.7
Mali,MLI,2001,27.7,64.8,55.6
Mali,MLI,2006,18.5,57,47.5
Mali,MLI,2009,18.9,50.6,43.6
Mauritania,MRT,2000,28.5,66.2,51
Mauritania,MRT,2004,28.9,59,46.7
Mauritania,MRT,2008,20.8,59.4,42
Mauritania,MRT,2014,,,31
Mexico,MEX,2008,44.8,63.1,49
Mexico,MEX,2010,47.8,65.9,52
Mexico,MEX,2012,48.3,62.8,51.6
Mexico,MEX,2014,50.5,62.4,53.2
Mexico,MEX,2016,,,50.6
Micronesia (country),FSM,2013,,,41.2
Moldova,MDA,2003,,,29
Moldova,MDA,2004,,,26.5
Moldova,MDA,2005,,,29
Moldova,MDA,2006,24.8,34.1,30.2
Moldova,MDA,2007,18.4,31.3,25.8
Moldova,MDA,2008,15.2,34.6,26.4
Moldova,MDA,2009,12.6,36.3,26.3
Moldova,MDA,2010,10.4,30.3,21.9
Moldova,MDA,2011,7.4,25,17.5
Moldova,MDA,2012,8.2,22.8,16.6
Moldova,MDA,2013,,18.8,12.7
Moldova,MDA,2014,,,11.4
Moldova,MDA,2015,,,9.6
Mongolia,MNG,2010,33.2,49,38.8
Mongolia,MNG,2011,28.7,43.2,33.7
Mongolia,MNG,2012,23.3,35.4,27.4
Mongolia,MNG,2014,18.8,26.4,21.6
Montenegro,MNE,2005,8.1,16.5,11.2
Montenegro,MNE,2006,7.4,17.6,11.3
Montenegro,MNE,2007,5.5,12,8
Montenegro,MNE,2008,2.4,8.9,4.9
Montenegro,MNE,2009,2.6,14.8,6.8
Montenegro,MNE,2010,4,11.3,6.6
Montenegro,MNE,2011,4.4,18.4,9.3
Montenegro,MNE,2012,8.1,18.1,11.3
Montenegro,MNE,2013,7.9,9.7,8.6
Morocco,MAR,1998,9.5,24.2,16.3
Morocco,MAR,2000,7.6,25.1,15.3
Morocco,MAR,2007,4.8,14.4,8.9
Mozambique,MOZ,1996,62,71.3,69.4
Mozambique,MOZ,2002,51.5,55.3,54.1
Mozambique,MOZ,2008,49.6,56.9,54.7
Mozambique,MOZ,2014,,,46.1
Myanmar,MMR,2005,,,32.1
Myanmar,MMR,2010,,,25.6
Myanmar,MMR,2015,,,19.4
Namibia,NAM,1993,39,81.6,69.3
Namibia,NAM,2003,17,48.7,37.7
Namibia,NAM,2009,14.6,37.4,28.7
Nepal,NPL,2010,15.5,27.4,25.2
Nicaragua,NIC,2005,30.9,70.3,48.3
Nicaragua,NIC,2009,26.8,63.3,42.5
Nicaragua,NIC,2014,14.8,50.1,29.6
Nicaragua,NIC,2016,,,24.9
Niger,NER,2011,18.6,55.2,48.9
Niger,NER,2014,,,44.5
Nigeria,NGA,2003,37.9,56.6,48.4
Nigeria,NGA,2009,34.1,52.8,46
Pakistan,PAK,1998,,,57.9
Pakistan,PAK,2001,,,64.3
Pakistan,PAK,2004,,,51.7
Pakistan,PAK,2005,,,50.4
Pakistan,PAK,2007,,,44.1
Pakistan,PAK,2010,,,36.8
Pakistan,PAK,2011,,,36.3
Pakistan,PAK,2013,18.24,35.6,29.5
Palau,PLW,2006,,,24.9
Palestine,PSE,2009,,,22.6
Palestine,PSE,2010,25.8,21.9,25.7
Palestine,PSE,2011,26.1,19.4,25.8
Panama,PAN,2015,,,23
Panama,PAN,2016,,,22.1
Papua New Guinea,PNG,2009,29.3,41.6,39.9
Paraguay,PRY,2002,,,57.7
Paraguay,PRY,2003,,,51.4
Paraguay,PRY,2004,,,48.8
Paraguay,PRY,2005,,,44.9
Paraguay,PRY,2006,,,48.9
Paraguay,PRY,2007,,,45.3
Paraguay,PRY,2008,,,43.2
Paraguay,PRY,2009,,,41.6
Paraguay,PRY,2010,,,39
Paraguay,PRY,2011,,,37
Paraguay,PRY,2012,,,31.4
Paraguay,PRY,2013,,,28
Paraguay,PRY,2014,,,27.2
Paraguay,PRY,2015,,,26.6
Peru,PER,2004,48.2,83.4,58.7
Peru,PER,2005,44.5,82.5,55.6
Peru,PER,2006,37,79.3,49.2
Peru,PER,2007,30.1,74,42.4
Peru,PER,2008,25.4,68.8,37.3
Peru,PER,2009,21.3,66.7,33.5
Peru,PER,2010,20,61,30.8
Peru,PER,2011,18,56.1,27.8
Peru,PER,2012,16.6,53,25.8
Peru,PER,2013,16.1,48,23.9
Peru,PER,2014,15.3,46,22.7
Peru,PER,2015,,,21.8
Peru,PER,2016,,,20.7
Philippines,PHL,2003,,,24.9
Philippines,PHL,2006,12.62633,,26.6
Philippines,PHL,2009,12.58961,,26.3
Philippines,PHL,2012,13.03002,,25.2
Philippines,PHL,2015,,,21.6
Poland,POL,2000,,,14.8
Poland,POL,2001,,,15.6
Poland,POL,2002,,,16.6
Poland,POL,2004,,,20.5
Poland,POL,2005,,,19.1
Poland,POL,2006,,,17.3
Poland,POL,2007,,,16.9
Poland,POL,2008,,,17.1
Poland,POL,2009,,,17.6
Poland,POL,2010,,,17.7
Poland,POL,2011,,,17.1
Poland,POL,2012,,,17.3
Poland,POL,2013,,,17
Poland,POL,2014,,,17.6
Romania,ROU,2006,,,24.8
Romania,ROU,2007,,,23.4
Romania,ROU,2008,,,22.4
Romania,ROU,2009,,,21.1
Romania,ROU,2010,,,22.2
Romania,ROU,2011,,,22.6
Romania,ROU,2012,,,22.4
Romania,ROU,2013,,,25.4
Russia,RUS,2002,,,24.6
Russia,RUS,2003,,,20.3
Russia,RUS,2004,,,17.6
Russia,RUS,2005,,,17.8
Russia,RUS,2006,,,15.2
Russia,RUS,2007,,,13.3
Russia,RUS,2008,,,13.4
Russia,RUS,2009,,,13
Russia,RUS,2010,,,12.5
Russia,RUS,2011,,,12.7
Russia,RUS,2012,,,10.7
Russia,RUS,2013,,,10.8
Russia,RUS,2014,,,11.2
Russia,RUS,2015,,,13.3
Russia,RUS,2016,,,13.5
Rwanda,RWA,2005,28.5,61.9,56.7
Rwanda,RWA,2010,22.1,48.7,44.9
Rwanda,RWA,2013,,,39.1
Samoa,WSM,2008,,,26.9
Sao Tome and Principe,STP,2000,,,68.3
Sao Tome and Principe,STP,2010,,,66.2
Senegal,SEN,2000,41.2,65.1,55.2
Senegal,SEN,2005,33.6,58.8,48.3
Senegal,SEN,2010,33.1,57.1,46.7
Serbia,SRB,2012,,,24.5
Serbia,SRB,2013,,,25.4
Serbia,SRB,2014,,,25.4
Serbia,SRB,2015,,,25.5
Seychelles,SYC,2006,39,37.2,37.8
Seychelles,SYC,2013,,,39.3
Sierra Leone,SLE,2003,46.9,78.7,66.4
Sierra Leone,SLE,2011,31.2,66.1,52.9
Slovakia,SVK,2004,,,13.3
Slovakia,SVK,2005,,,11.6
Slovakia,SVK,2006,,,10.6
Slovakia,SVK,2007,,,10.9
Slovakia,SVK,2008,,,11
Slovakia,SVK,2009,,,12
Slovakia,SVK,2010,,,13
Slovakia,SVK,2011,,,13.2
Slovakia,SVK,2012,,,12.8
Slovakia,SVK,2013,,,12.6
Slovenia,SVN,2004,,,12.2
Slovenia,SVN,2005,,,11.6
Slovenia,SVN,2006,,,11.5
Slovenia,SVN,2007,,,12.3
Slovenia,SVN,2008,,,11.3
Slovenia,SVN,2009,,,12.7
Slovenia,SVN,2010,,,13.6
Slovenia,SVN,2011,,,13.5
Slovenia,SVN,2012,,,14.5
Slovenia,SVN,2013,,,14.5
Slovenia,SVN,2014,,,14.3
Solomon Islands,SLB,2013,,,12.7
South Africa,ZAF,2005,52,87.6,66.6
South Africa,ZAF,2008,,,62.1
South Africa,ZAF,2010,,,53.2
South Africa,ZAF,2014,,,55.5
South Sudan,SSD,2009,24.4,55.4,50.6
Sri Lanka,LKA,2002,7.9,24.7,22.7
Sri Lanka,LKA,2006,6.7,15.7,15.2
Sri Lanka,LKA,2009,5.3,9.4,8.9
Sri Lanka,LKA,2012,2.1,7.6,6.7
Sudan,SDN,2009,26.5,57.6,46.5
Swaziland,SWZ,2000,35.5,79.7,69
Swaziland,SWZ,2009,31.1,73.1,63
Syria,SYR,2004,28.5,31.8,30.1
Syria,SYR,2007,30.8,36.9,35.2
Tajikistan,TJK,2013,27.8,37.4,34.3
Tajikistan,TJK,2014,23.5,36.1,32
Tajikistan,TJK,2015,23.2,35.2,31.3
Tanzania,TZA,2011,15.5,33.3,28.2
Thailand,THA,2000,22.2,51.4,42.3
Thailand,THA,2002,17,40.2,32.4
Thailand,THA,2004,14.6,33.6,26.8
Thailand,THA,2006,11.8,28.3,21.9
Thailand,THA,2007,11.3,25.9,20
Thailand,THA,2008,10.7,27.3,20.4
Thailand,THA,2009,10.2,23.6,17.9
