Entity,Code,Year,Suite of Food Security Indicators - Number of severely food insecure people (million) (3-year average) - 210071 - Value - 6132 - millions (people)
Sub-Saharan Africa (inc. Sudan),,2016,243900000
Sub-Saharan Africa (inc. Sudan),,2017,260000000
Swaziland,SWZ,2017,400000
Sweden,SWE,2015,100000
Sweden,SWE,2017,100000
Switzerland,CHE,2015,100000
Switzerland,CHE,2016,100000
Switzerland,CHE,2017,100000
Taiwan,TWN,2015,100000
Taiwan,TWN,2016,100000
Taiwan,TWN,2017,100000
Tajikistan,TJK,2015,500000
Tajikistan,TJK,2016,700000
Tajikistan,TJK,2017,900000
Tanzania,TZA,2015,16600000.000000002
Tanzania,TZA,2016,20100000
Tanzania,TZA,2017,21100000
Togo,TGO,2015,2500000
Togo,TGO,2016,2600000
Togo,TGO,2017,2500000
Ukraine,UKR,2015,800000
Ukraine,UKR,2016,900000
Ukraine,UKR,2017,800000
United Kingdom,GBR,2015,2600000
United Kingdom,GBR,2016,2200000
United Kingdom,GBR,2017,1200000
United States,USA,2015,3400000
United States,USA,2016,3400000
United States,USA,2017,3300000
Upper middle income,,2015,87300000
Upper middle income,,2016,95300000
Upper middle income,,2017,103200000
Uruguay,URY,2015,200000
Uruguay,URY,2016,300000
Uruguay,URY,2017,300000
Vietnam,VNM,2015,1600000
Vietnam,VNM,2016,2200000
Vietnam,VNM,2017,2200000
Western Africa,,2015,51600000
Western Africa,,2016,58900000
Western Africa,,2017,64300000
Western Asia,,2015,23100000
Western Asia,,2016,25000000
Western Asia,,2017,26400000
World,OWID_WRL,2015,584600000
World,OWID_WRL,2016,608700000
World,OWID_WRL,2017,654100000
