Entity,Code,Year,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal) (% of total freshwater withdrawal)"
Ecuador,ECU,2005,5.535
Egypt,EGY,1995,7.523
Egypt,EGY,2000,5.857
Egypt,EGY,2010,2.564
El Salvador,SLV,1992,20.16
El Salvador,SLV,2000,17.22
El Salvador,SLV,2005,10.06
Equatorial Guinea,GNQ,1987,13
Equatorial Guinea,GNQ,2000,14.94
Eritrea,ERI,2000,14.93
Eritrea,ERI,2004,0.1718
Estonia,EST,1992,85.67
Estonia,EST,1995,92.93
Estonia,EST,2014,96.22
Ethiopia,ETH,2002,0.3778
Ethiopia,ETH,2005,0.65
Euro area,,2014,96.22
Europe & Central Asia,,2014,96.22
Europe & Central Asia,,2015,46.0154679550728
Europe & Central Asia (IDA & IBRD),,2015,45.2296079092237
Europe & Central Asia (excluding high income),,2015,45.2296079092237
European Union,,2014,96.22
European Union,,2015,69.3
Fiji,FJI,1987,20
Fiji,FJI,2000,10.77
Fiji,FJI,2005,11.31
Finland,FIN,1990,81.08
Finland,FIN,1995,82.13
Fragile and conflict affected situations,,2015,1.697
France,FRA,1985,70.25
France,FRA,1992,72.21
France,FRA,1997,69.55
France,FRA,2002,68.3
France,FRA,2007,69.37
France,FRA,2012,71.49
Gabon,GAB,1987,22
Gabon,GAB,2000,9.476
Gabon,GAB,2005,10.14
Gambia,GMB,1982,2
Gambia,GMB,2000,19.23
Georgia,GEO,2005,22.06
Germany,DEU,1995,83.63
Germany,DEU,2001,83.27
Ghana,GHA,1970,13
Ghana,GHA,2000,9.674
Greece,GRC,1975,2.685
Greece,GRC,1985,4.367
Greece,GRC,1997,2.69
Greece,GRC,2007,3.38
Grenada,GRD,2014,0
Guatemala,GTM,2006,18.14
Guinea,GIN,1987,2.973
Guinea,GIN,2001,9.416
Guinea-Bissau,GNB,1991,3.614
Guinea-Bissau,GNB,1996,4.571
Guinea-Bissau,GNB,2000,4.571
Guyana,GUY,1992,0.4795
Guyana,GUY,2000,0.6098
Guyana,GUY,2010,1.412
Haiti,HTI,1991,0.5511
Haiti,HTI,1995,0.358
Haiti,HTI,2009,3.517
Heavily indebted poor countries (HIPC),,2015,1.697
High income,,2014,96.22
High income,,2015,16.8417885000264
Honduras,HND,2003,7.094
Hungary,HUN,1970,55.94
Hungary,HUN,1975,58.31
Hungary,HUN,1985,55
Hungary,HUN,1992,72.92
Hungary,HUN,1996,78.64
Hungary,HUN,2002,73.58
Hungary,HUN,2007,80.34
Hungary,HUN,2012,79.45
IBRD only,,2015,20.9482098787444
IDA & IBRD total,,2014,0
IDA & IBRD total,,2015,20.9071922691939
IDA blend,,2014,0
IDA only,,2015,1.697
IDA total,,2014,0
IDA total,,2015,1.697
Iceland,ISL,1980,9.259
Iceland,ISL,1985,8.929
Iceland,ISL,1992,5.988
Iceland,ISL,2002,8.485
Iceland,ISL,2004,8.485
Iceland,ISL,2012,5.601
Iceland,ISL,2015,71.15
India,IND,1975,4
India,IND,1980,2.875
India,IND,1986,2.211
India,IND,1990,3
India,IND,2000,1.638
India,IND,2010,2.234
Indonesia,IDN,1990,0.5058
Indonesia,IDN,2000,6.53
Iran,IRN,1995,1.205
Iran,IRN,2001,1.143
Iran,IRN,2004,1.179
Iraq,IRQ,1975,1.109
Iraq,IRQ,1980,0.7598
Iraq,IRQ,1985,0.4144
Iraq,IRQ,1990,5
Iraq,IRQ,1995,10.88
Iraq,IRQ,2000,14.7
Ireland,IRL,1980,49.25
Ireland,IRL,1994,44.81
Ireland,IRL,2007,6.986
Israel,ISR,1970,4.795
Israel,ISR,1975,5.055
Israel,ISR,1980,5.294
Israel,ISR,1990,5.876
Israel,ISR,2002,6.663
Israel,ISR,2004,5.783
Italy,ITA,1970,21.63
Italy,ITA,2000,35.87
Jamaica,JAM,1993,7.004
Jamaica,JAM,2007,9.36
Japan,JPN,1980,18.71
Japan,JPN,1992,17.29
Japan,JPN,1997,15.7
Japan,JPN,2002,14.55
Japan,JPN,2007,15.4
Japan,JPN,2009,14.25
Jordan,JOR,1975,5.987
Jordan,JOR,1980,4.673
Jordan,JOR,1985,3.716
Jordan,JOR,1992,3.354
Jordan,JOR,2002,4.608
Jordan,JOR,2007,5.258
Jordan,JOR,2012,3.887
Jordan,JOR,2015,3.442
Kazakhstan,KAZ,1995,16.86
Kazakhstan,KAZ,2002,20.66
Kazakhstan,KAZ,2007,28.18
Kazakhstan,KAZ,2010,29.63
Kenya,KEN,1990,3.904
Kenya,KEN,2003,4.31
Kenya,KEN,2010,3.884
Kuwait,KWT,1994,2.416
Kuwait,KWT,2002,2.278
Kyrgyzstan,KGZ,1994,2.864
Kyrgyzstan,KGZ,2000,3.075
Kyrgyzstan,KGZ,2006,4.196
Laos,LAO,2005,4.867
Late-demographic dividend,,2014,96.22
Late-demographic dividend,,2015,22.2414678587363
Latin America & Caribbean,,2014,0
Latin America & Caribbean,,2015,9.135
Latin America & Caribbean (IDA & IBRD),,2014,0
Latin America & Caribbean (IDA & IBRD),,2015,9.135
Latin America & Caribbean (excluding high income),,2014,0
Latin America & Caribbean (excluding high income),,2015,9.135
Latvia,LVA,2007,19.52
Latvia,LVA,2012,21.64
Latvia,LVA,2013,21.07
Least developed countries: UN classification,,2015,1.697
Lebanon,LBN,1975,3.995
Lebanon,LBN,1994,3.867
Lebanon,LBN,2000,5.506
Lebanon,LBN,2005,11.45
Lesotho,LSO,1987,22
Lesotho,LSO,2000,45.66
Liberia,LBR,1987,13
Liberia,LBR,2000,36.24
Libya,LBY,1990,1.471
Libya,LBY,1994,2.174
Libya,LBY,2000,3.051
Libya,LBY,2012,4.803
Lithuania,LTU,1995,95.11
Lithuania,LTU,2001,91.87
Lithuania,LTU,2011,65.87
Low & middle income,,2014,0
Low & middle income,,2015,20.9071922691939
Low income,,2015,1.697
Luxembourg,LUX,1995,25.49
Luxembourg,LUX,1999,23.47
Luxembourg,LUX,2012,8.315
Luxembourg,LUX,2013,4.64
Macedonia,MKD,1996,17.62
Macedonia,MKD,2002,22.06
Macedonia,MKD,2007,36.16
Madagascar,MDG,1984,0
Madagascar,MDG,2000,0.9783
Madagascar,MDG,2006,1.194
Malawi,MWI,1994,3.419
Malawi,MWI,2002,3.011
Malawi,MWI,2005,3.515
Malaysia,MYS,1990,9.872
Malaysia,MYS,1996,29.9
Malaysia,MYS,2000,40.27
Malaysia,MYS,2005,42.75
Maldives,MDV,1987,2.941
Maldives,MDV,2008,5.085
Mali,MLI,1987,1.029
Mali,MLI,2006,0.0771
Malta,MLT,1995,0
Malta,MLT,2002,0.9294
Malta,MLT,2007,1.795
Malta,MLT,2012,2.506
Malta,MLT,2013,2.208
Mauritania,MRT,1980,3.973
Mauritania,MRT,2000,1.58
Mauritania,MRT,2005,2.356
Mauritius,MUS,1975,6.889
Mauritius,MUS,1995,7.642
Mauritius,MUS,2003,2.759
Mexico,MEX,2002,9.504
Mexico,MEX,2007,9.145
Mexico,MEX,2012,8.948
Mexico,MEX,2015,9.135
Middle East & North Africa,,2015,3.442
Middle East & North Africa (IDA & IBRD),,2015,3.442
Middle East & North Africa (excluding high income),,2015,3.442
Middle income,,2014,0
Middle income,,2015,20.9482098787444
Moldova,MDA,1992,46.82
Moldova,MDA,2007,82.86
Monaco,MCO,1990,0
Monaco,MCO,1997,0
Monaco,MCO,2002,0
Monaco,MCO,2007,0
Monaco,MCO,2009,0
Mongolia,MNG,1993,27.1
Mongolia,MNG,2006,40.37
Mongolia,MNG,2009,43.19
Montenegro,MNE,2010,39.03
Morocco,MAR,1992,2.917
Morocco,MAR,2002,5.169
Morocco,MAR,2010,2.033
Mozambique,MOZ,1990,1.983
Mozambique,MOZ,2001,2.748
Mozambique,MOZ,2015,1.697
Myanmar,MMR,1987,0.4204
Myanmar,MMR,2000,1
Namibia,NAM,1991,3.213
Namibia,NAM,1995,3.846
Namibia,NAM,2002,4.861
Nepal,NPL,2000,0.4225
Nepal,NPL,2006,0.3106
Netherlands,NLD,1991,81.66
Netherlands,NLD,1996,76.99
Netherlands,NLD,2002,84.79
Netherlands,NLD,2007,87.94
Netherlands,NLD,2012,88.12
New Zealand,NZL,1985,10
New Zealand,NZL,2000,6.369
New Zealand,NZL,2006,19.13
New Zealand,NZL,2010,22.76
Nicaragua,NIC,2001,1.945
Nicaragua,NIC,2011,4.764
Niger,NER,1988,2
Niger,NER,2005,3.325
Nigeria,NGA,1987,9.75
Nigeria,NGA,2000,15.07
Nigeria,NGA,2005,16.98
Nigeria,NGA,2010,15.76
North Korea,PRK,2005,13.22
Norway,NOR,1996,37.56
Norway,NOR,2002,32.64
Norway,NOR,2007,40.75
OECD members,,2014,96.22
OECD members,,2015,10.4136051424415
Oman,OMN,1991,1.554
Oman,OMN,2000,2.206
Oman,OMN,2003,1.438
Other small states,,2014,96.22
Other small states,,2015,71.15
Pakistan,PAK,1975,1
Pakistan,PAK,1991,1.607
Pakistan,PAK,2000,2.01
Pakistan,PAK,2008,0.7629
Palestine,PSE,2001,5.233
Palestine,PSE,2005,6.938
Panama,PAN,2010,0.9643
Papua New Guinea,PNG,2000,42.7
Papua New Guinea,PNG,2005,42.74
Paraguay,PRY,1987,7
Paraguay,PRY,2000,8.163
Paraguay,PRY,2012,6.382
Peru,PER,2008,2.116
Philippines,PHL,2006,9.452
Philippines,PHL,2009,10.12
Poland,POL,1992,68.56
Poland,POL,1997,73.63
Portugal,PRT,1991,36.05
Portugal,PRT,1998,13.44
Post-demographic dividend,,2015,29.3556701951851
Pre-demographic dividend,,2015,1.697
Puerto Rico,PRI,1990,81.59
Puerto Rico,PRI,2000,78.36
Puerto Rico,PRI,2005,76.5
Puerto Rico,PRI,2010,75.85
Qatar,QAT,1994,2.948
Qatar,QAT,2000,4.729
Qatar,QAT,2005,1.802
Romania,ROU,1970,49.22
Romania,ROU,1975,46.18
Romania,ROU,1980,52.18
Romania,ROU,1985,45.56
Romania,ROU,1990,44.39
Romania,ROU,1997,59.63
Romania,ROU,2002,66.91
Romania,ROU,2012,66.89
Romania,ROU,2013,67.05
Russia,RUS,1994,61.61
Russia,RUS,2001,59.82
Rwanda,RWA,2000,8
Saint Kitts and Nevis,KNA,2012,0
Saint Lucia,LCA,2007,0
Saint Vincent and the Grenadines,VCT,2013,0.0235
Saudi Arabia,SAU,1992,1.134
Saudi Arabia,SAU,2006,3
Senegal,SEN,1987,3.015
Senegal,SEN,2002,2.611
Seychelles,SYC,1989,9.244
Seychelles,SYC,2005,27.74
Sierra Leone,SLE,1987,4.054
Sierra Leone,SLE,2000,25.25
Sierra Leone,SLE,2005,26.15
Singapore,SGP,1975,51
Slovakia,SVK,1997,58.09
Slovakia,SVK,2002,56.9
Slovakia,SVK,2007,44.62
Slovakia,SVK,2012,49.42
Slovenia,SVN,2002,78.46
Slovenia,SVN,2007,81.6
Slovenia,SVN,2012,82.33
Slovenia,SVN,2013,85.47
Small states,,2014,95.4376333544778
Small states,,2015,71.15
Somalia,SOM,1987,0
Somalia,SOM,2000,0
Somalia,SOM,2003,0.0606
South Africa,ZAF,1990,10.88
South Africa,ZAF,1995,8.543
South Africa,ZAF,2000,8.225
South Africa,ZAF,2013,10.48
South Korea,KOR,1990,9.723
South Korea,KOR,1997,12.89
South Korea,KOR,2002,15.26
South Sudan,SSD,2011,34.19
Spain,ESP,1986,26
Spain,ESP,1991,17.34
Spain,ESP,1997,19.31
Spain,ESP,2002,20.72
Spain,ESP,2007,18.26
Spain,ESP,2012,17.6
Sri Lanka,LKA,1990,1.996
Sri Lanka,LKA,2000,3.948
Sri Lanka,LKA,2005,6.417
Sub-Saharan Africa,,2015,1.697
Sub-Saharan Africa (IDA & IBRD),,2015,1.697
Sub-Saharan Africa (excluding high income),,2015,1.697
Sudan,SDN,2011,0.2785
Suriname,SUR,1987,4.783
Suriname,SUR,2000,2.985
Suriname,SUR,2006,22
Swaziland,SWZ,1980,2.435
Swaziland,SWZ,2000,1.152
Sweden,SWE,1970,72.67
Sweden,SWE,1975,71.58
Sweden,SWE,1980,72.09
Sweden,SWE,1992,59.97
Sweden,SWE,1997,55.66
Sweden,SWE,2002,56.17
Sweden,SWE,2007,57.91
Sweden,SWE,2010,58.46
Switzerland,CHE,2012,32.05
Syrian Arab Republic,,1997,2.897
Syrian Arab Republic,,2002,3.478
Syrian Arab Republic,,2005,3.672
Tajikistan,TJK,1994,4.221
Tajikistan,TJK,2000,4.682
Tajikistan,TJK,2006,3.549
Tanzania,TZA,2002,0.4823
Thailand,THA,2007,4.846
Timor,TLS,2004,0.1706
Togo,TGO,1987,13.19
Togo,TGO,2002,2.367
Trinidad and Tobago,TTO,1997,31.58
Trinidad and Tobago,TTO,2000,31.53
Trinidad and Tobago,TTO,2005,33.62
Trinidad and Tobago,TTO,2011,33.64
Tunisia,TUN,1990,2.797
Tunisia,TUN,1995,3.43
Tunisia,TUN,2001,3.86
Tunisia,TUN,2011,4.992
Turkey,TUR,1992,11.08
Turkey,TUR,2000,9.762
Turkey,TUR,2003,10.72
Turkmenistan,TKM,1994,0.5845
Turkmenistan,TKM,2000,1.084
Turkmenistan,TKM,2004,3.002
Uganda,UGA,1970,8
Uganda,UGA,2002,14.49
Uganda,UGA,2008,7.849
Ukraine,UKR,1992,51.92
Ukraine,UKR,2000,51.89
Ukraine,UKR,2005,48.01
Ukraine,UKR,2010,47.99
United Arab Emirates,ARE,1980,9
United Arab Emirates,ARE,1995,9.488
United Arab Emirates,ARE,2000,3.833
United Arab Emirates,ARE,2005,1.726
United Kingdom,GBR,2002,45.48
United Kingdom,GBR,2007,14.01
United States,USA,1990,54.34
United States,USA,2000,53.42
United States,USA,2005,54.25
United States,USA,2010,51.15
Upper middle income,,2014,0
Upper middle income,,2015,20.9482098787444
Uruguay,URY,1965,3
Uruguay,URY,2000,2.186
Uzbekistan,UZB,1994,1.9
Uzbekistan,UZB,2001,3.879
Uzbekistan,UZB,2005,2.679
Venezuela,VEN,1970,11
Venezuela,VEN,2000,7.536
Venezuela,VEN,2007,3.506
Vietnam,VNM,1980,3.962
Vietnam,VNM,1985,6.34
Vietnam,VNM,2005,3.747
World,OWID_WRL,2014,95.4376333544778
World,OWID_WRL,2015,20.8094086913975
Yemen,YEM,1990,1.057
Yemen,YEM,2000,2
Yemen,YEM,2005,1.823
Zambia,ZMB,1992,6.125
Zambia,ZMB,1994,6.917
Zambia,ZMB,2002,8.27
Zimbabwe,ZWE,1987,6.967
Zimbabwe,ZWE,2002,7.087
Zimbabwe,ZWE,2007,6.022
