Entity,Code,Year,Number of executions (Amnesty International)
United States,USA,2014,35
United States,USA,2015,28
United States,USA,2016,20
Vietnam,VNM,2007,25
Vietnam,VNM,2008,19
Vietnam,VNM,2009,9
Vietnam,VNM,2011,5
Vietnam,VNM,2014,3
Vietnam,VNM,2015,>1
Vietnam,VNM,2016,>1
World (excluding China),,2007,1248
World (excluding China),,2008,2390
World (excluding China),,2009,712
World (excluding China),,2010,521
World (excluding China),,2011,670
World (excluding China),,2012,680
World (excluding China),,2013,767
World (excluding China),,2014,603
World (excluding China),,2015,1626
World (excluding China),,2016,613
Yemen,YEM,2007,15
Yemen,YEM,2008,13
Yemen,YEM,2009,30
Yemen,YEM,2010,53
Yemen,YEM,2011,41
Yemen,YEM,2012,28
Yemen,YEM,2013,13
Yemen,YEM,2014,22
Yemen,YEM,2015,8
